Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
14,"Real Estate Intern","Kroger","Cincinnati, OH","Company Name: Kroger General Office
Position Type: Intern
FLSA Status: Non-exempt

Complete an 8-10 week program in the General Office, working with managers, to gain an understanding of the Corporate Real Estate Department. Role modeland demonstrate the company's core values of respect, honesty, integrity, diversity, inclusion and safety of others.

Essential Job Functions
Train at General Office Real Estate.
Participate in department meetings.
Complete specific internship assignments, as requested.
Complete cumulative project (summary of internship accomplishments) and present to appropriate Managers.
Must be able to perform the essential functions of this position with or without reasonable accommodation.
Minimum Position Qualifications:
Junior standing or higher at an accredited college or university
Major in Real Estate or Finance
Minimum 3.0 GPA in Major
Proven financial analysis skills required
Proven verbal and written communication skills required
Responds to change as a positive challenge
Significant level of multi-tasking required
Ability to preserve confidentiality of information
Accuracy and attention to detail
Ability to work on own initiative
Commitment to providing customer service
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook, etc.)
Desired Previous Job Experience
Completion of some coursework in the field of Real Estate
Experience in a professional work environment
Managing multiple priorities between school, work, or extra-curricular activities
Involvement in high school or college leadership and community activities
Education Level: High School Diploma/ GED Required
Required Certifications/Licenses: None
Position Type: Intern
Shift(s): [[mfield4]]
Regions: General Office- Cincinnati

States: Indiana; Kentucky; Ohio
Keywords: Real Estate Intern

Jobs at Kroger: At Kroger, we hire people who have a passion for helping others and who want to build a relationship with our Customers. No matter what stage of your career, you can build your future at Kroger. We look for people who want more, aspire to be more and work hard to achieve their goals. Our focus on keeping the Customer first is what makes us successful. As the largest traditional grocery chain in the U.S. and one of the world's largest retailers, we employee nearly half a million Associates across 35 states. We offer many opportunities not only in our stores, but in Manufacturing, Logistics, Marketing, Finance, Human Resources, and many other fields.

Company Overview: Kroger Family of Companies employs nearly half a million associates who serve over 11 million customers daily through a seamless shopping experience under a variety of banner names . At The Kroger Co., we are Fresh for Everyone™ and dedicated to our Purpose: To Feed the Human Spirit®. We are committed to creating #ZeroHungerZeroWaste communities by 2025. Careers with The Kroger Co. and our family of companies offer competitive wages, flexible schedules, benefits and room for advancement.

Posting Notes: OH || Cincinnati || 1014 Vine Street || 45202 || Kroger General Office || [[mfield2]] || Real Estate || Intern || Non-Exempt || Intern || None","https://www.linkedin.com/jobs/view/externalApply/2482397331?url=https%3A%2F%2Fjobs%2Ekroger%2Ecom%2Fkroger%2Fjob%2FCincinnati-Real-Estate-Intern-OH-45202%2F728439800%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=YseX&refId=7582830c-f642-42c0-9c06-888cf3a5301d&trackingId=Fzt3V61ciq5RnQ%2BjZgv31w%3D%3D&trk=public_jobs_apply-link-offsite",0.012196348632764099,
20,"Real Estate Operations Summer Intern","Citizens Financial Group","Johnston, RI","Job Information

Citizens Bank Real Estate Operations Summer Internship in Johnston, Rhode Island

Description

Real Estate Operations provides facility related services and amenities to all our buildings and branches. These include:
• Repairs & Maintenance
• Energy Services
• Fire, Life and Safety
• Cafeteria Services
• Building Improvements
• Janitorial Services
• Snow Removal

In this internship you will assist the Property, Real Estate Operations team as needed. The intern role will work closely with the Facility Management team; work responsibilities include supporting the creation of the Back Office Etiquette Program Playbook, updating the existing FM Playbook, supporting our new Capital Planning software, creating a reporting dashboard of Key Performance Indicators (KPIs) for the Real Estate Operations team, and other tasks as assigned.

Other responsibilities will include:
• Fulfilling project administrative reporting requirements
• Providing assistance to department as needed
• Preparing status reports and documenting through the use of computerized systems and project management software applications
• Assisting in designing, organizing, documenting and implementing all phases of assigned projects to satisfy project requirements and achieve business goals
• Collaborating with other business areas to support project, as needed
• The position is a technical and analytical position which will support strategic responsibility that will be part of the Real Estate Operations team
• The position will support creating and analyzing various technical, engineering service reports to support initiatives and projects that are part of the 2021 Business Plan

Qualifications
• Currently pursuing a Bachelor's or Master's Degree in Business related area
• Expected graduation date of May 2022
• Microsoft Office Word, Excel, Power Point, Outlook (Beginner to Advanced)
• Communication strong written and verbal
• Excellent attention to detail
• Ability to operate independently

Hours and Work Schedule

Hours per Week: 40

Work Schedule: M - Th

Why Work for Us

At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth.

Equal Employment Opportunity

It is the policy of Citizens to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, colleague or a dependents reproductive health decision making, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, genetic characteristic, citizenship, veteran or military status, marital or domestic partner status, family status/parenthood, victim of domestic violence, or any other category protected by federal, state and/or local laws.

Equal Employment and Opportunity Employer/Disabled/Veteran

Citizens is a brand name of Citizens Bank, N.A. and each of its respective affiliates","https://www.internships.com/posting/bug_38973128144?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03744997485122799,
12,"Real Estate Research Intern - LLH","Thompson Thrift","Indianapolis, IN","Thompson Thrift is one of the fastest growing real estate companies in North America and we are looking for you!
Are you a student looking for experience that helps you grow and expand your horizons?
Do you like a fast paced environment working with cutting-edge technologies?
Do you want to come back from your summer internship and brag to your friends about all of the cool projects and experiences you had?

If you answered YES to any of these questions, then we need you! Apply now

Position Overview
The intern will be splitting time between Research and Eric Wojak, SR. Development Director -Mixed Use, in the Luxury Leased Homes division. In Research, you will be monitoring and compiling information from a new research website, a subscription to the John Burns Real Estate Consulting platform and drawing data insights from that. In LLH, it will involve deep dives into selected target markets, pulling market data from desired submarkets using CoStar and other available secondary sources.","https://www.linkedin.com/jobs/view/externalApply/2495153127?url=https%3A%2F%2Fjsco%2Ere%2F9l3mp&urlHash=6GDs&refId=7582830c-f642-42c0-9c06-888cf3a5301d&trackingId=O4ddA%2FeqMyU2w%2BqTFdFgGQ%3D%3D&trk=public_jobs_apply-link-offsite",0.01593693166306953,
27,"Credit Operations Intern","Berkadia","Ambler, PA (+1 other)","Berkadia, a joint venture of Berkshire Hathaway and Jefferies Financial Group, is a leader in the commercial real estate industry, offering a robust suite of services to our multifamily and commercial property clients. Powered by deep relationships and industry-changing technology, our people sell, finance, and service commercial real estate, providing support for the entire life cycle of our clients' assets. Our unique ownership structure allows us to put the client's interests first and creates a marketplace that delivers a superior experience.

Overall, Berkadia's Credit Group Has Wide Ranging Responsibility Including
• Credit Policy and Decision-making with respect to FNMA and PLG, SBL, and w/r/t HUD, credit recommendations
• Credit Underwriting and compliance with applicable guidelines for FMNA, PLG, SBL, HUD, Targeted Affordable and to the extent requested, FMLC loans through the CPO group
• Monitoring and Reporting to the shareholders on Berkadia's risk, particularly with respect to FNMA and PLG
• Surveillance and Decision-Making on all PLG loans post-closing
• Collaboration with Servicing on all material issues regarding FNMA loans post-closing
• Management / oversight of Berkadia Credit's India Operations
• Dotted Line responsibility for the Small Balance Loan Product
• Collaboration with Innovative Technology Products related to data and underwriting

The Opportunity

The Credit Operations Intern will work with senior underwriting leadership to shape Underwriting strategy, provide ad-hoc strategic decision support, and deliver process / technology improvements. This role reports directly to the VP, Credit Operations but will be responsible for stakeholder relationships across the firm.
• Credit Policy and Decision-making with respect to FNMA and PLG, SBL, and w/r/t HUD, credit recommendations
• Credit Underwriting and compliance with applicable guidelines for FMNA, PLG, SBL, HUD, Targeted Affordable and to the extent requested, FMLC loans through the CPO group
• Monitoring and Reporting to the shareholders on Berkadia's risk, particularly with respect to FNMA and PLG
• Surveillance and Decision-Making on all PLG loans post-closing
• Collaboration with Servicing on all material issues regarding FNMA loans post-closing
• Management / oversight of Berkadia Credit's India Operations
• Dotted Line responsibility for the Small Balance Loan Product
• Collaboration with Innovative Technology Products related to data and underwriting

What someone will need to be successful in this role
• Currently enrolled in a bachelor's or master's degree program. A real estate, finance. or business data analytics related major is helpful.
• Someone who is ready to be an owner – can take ambiguous problems, structure them, and determine a path forward, including requesting the resources necessary to accomplish the task
• Ability to work successfully with minimum oversight under a matrix management structure
• Experience in Microsoft Office including Outlook, Word, PowerPoint, and Excel
• Power BI skills strongly preferred, but not required
• Strong organizational skills and ability to multitask in a fast-paced environment with competing priorities
• Outstanding attention to detail
• Ability to manage expectations, informing stakeholders of potential delays due to conflicting priorities
• Can-do, proactive attitude that can mean making suggestions and giving options rather than waiting for answers
• Able to communicate clearly both verbally and in writing with all levels of an organization
• Desire to learn about careers in the Commercial Real Estate industry

Applicants who require accommodations to participate in the interview process should contact the Talent Acquisition Team to arrange for such accommodations by emailing: Talent.Acquisition@Berkadia.com

Berkadia does not share salary ranges in its job postings. Any salary-related information you see posted externally has not been provided or verified by Berkadia and may not be accurate.

Berkadia is an equal opportunity employer and affords equal opportunity to all applicants and employees for all positions without regard to race, color, religion, gender, national origin, age, disability, veteran status or any other status protected under local, state or federal laws.

By applying to this job opportunity you are acknowledging Berkadia's Privacy Policy","https://www.linkedin.com/jobs/view/credit-operations-intern-at-berkadia-2496794563?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.02758245449892099,
3,"Intern, Corporate Real Estate","Corning Incorporated","Corning, NY","Requisition Number: 42711

Corning is one of the world’s leading innovators in materials science. For more than 160 years, Corning has applied its unparalleled expertise in specialty glass, ceramics, and optical physics to develop products that have created new industries and transformed people’s lives.

Corning succeeds through sustained investment in R&D, a unique combination of material and process innovation, and close collaboration with customers to solve tough technology challenges.

Corning’s summer internship experience is rich with hands-on learning. You’ll live, work, and experience the communities in which Corning operates, while building on-the-job skills.

The purpose of our Intern Program is to raise the bar on talent by strengthening our pipeline for entry level roles for our immediate and future needs.

To be considered for an internship at Corning Incorporated, you must be actively enrolled at a college or university as a full-time student seeking a bachelor’s degree or higher. You must also have a current cumulative GPA of 3.00 or higher (on a 0.00 to 4.00 scale).

Shape your future; apply today!

Program Benefits
Competitive salaries
Housing assistance
Travel reimbursement
Intern Activities
Social and networking events
Volunteer opportunities
Community Involvement
Travel Requirements (please Note If International)
Open to possible 1- or 2-week travel during the internship
Hours Of Work/work Schedule/flex-time
M-F 8am – 5pm
Duration: Summer 2021, 8-12 weeks
Responsibilities
Participate in corporate real estate transaction meetings
Perform initial real estate market research for newly initiated projects
Work to prepare financial analysis and review those performed by consultant
Assist performing Decision Analysis for real estate options
Review, Draft and propose edits to request for proposals, letter of intent and draft lease documents
Review draft leases based on CRE Lease Guidelines to make suggestions
Records Research – Easements, Access Agreements, Right of Way – Research at Office of Records to obtain copies for CRE files.
Cross check documents found at Office of Records with Harbor Flex System, scan missing docs for COA to upload to share drive and send to LSA.
Owned Properties - Organization of Folders
Review real estate files and make improvements on filing and cleaning out of duplicate material
Qualifications
BS in Finance, Interior Design, Architecture, Urban Planning or Construction/Project Management
Master’s degree or MBA in process
A degree of cultural awareness and demonstrated experience working with and understanding various cultures
Ability to analyze problems and opportunities, conclude direction and make critical decisions
Strong communications (written and verbal) skills.
This position does not support immigration sponsorship.

We prohibit discrimination on the basis of race, color, gender, age, religion, national origin, sexual orientation, gender identity or expression, disability, or veteran status or any other legally protected status.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.","https://www.linkedin.com/jobs/view/externalApply/2455096191?url=https%3A%2F%2Fcorningjobs%2Ecorning%2Ecom%2Fjob%2FCorning-Intern%252C-Corporate-Real-Estate-NY-14831%2F690603900%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=SGf0&refId=7582830c-f642-42c0-9c06-888cf3a5301d&trackingId=Qe5jXM%2FKfEOt8CASsiIqdg%3D%3D&trk=public_jobs_apply-link-offsite",0.015254493790299726,
28,"2021 Summer Analyst, Real Estate Management and Operations","Berkadia","Ambler, PA (+1 other)","","https://www.linkedin.com/jobs/view/credit-operations-intern-at-berkadia-2496794563?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.012196348632764099,
8,"Intern, Real Estate Development","Enterprise Community Partners","Baltimore, MD","Enterprise is a national nonprofit on a mission to make home and community places of pride, power and belonging for all. To make that possible, we operate the only organization designed to address America’s affordable housing crisis from every angle: we develop and deploy programs and support community organizations on the ground; we advocate for policy on a nonpartisan basis at every level of government; we invest capital to build and preserve rental homes people can afford; and we own, operate and provide resident services for affordable communities. All so that people not only make rent, they build futures. With this end-to-end approach, 40 years of experience and thousands of local partners, Enterprise has built and preserved 793,000 affordable homes, invested $61 billion in communities and changed millions of lives.

Enterprise offers career opportunities in our offices across the country with an exceptional benefits package .

Job Description Summary

Enterprise Community Development, Inc. (“ECD”) is the leading Mid-Atlantic nonprofit developer, owner, and operator of a $1 billion portfolio of 110+ apartment communities and 16,000+ homes. As part of the Enterprise family, ECD has access to a full suite of capital resources, housing solutions, and public policy support. Formed from two legacy organizations, Enterprise Homes, Inc., and Community Preservation and Development Corporation (CPDC), ECD has a combined 60 years of experience building and preserving affordable housing to uplift communities for economic stability and mobility.

The Intern will work with the Real Estate Development team to build and refine complicated Microsoft Excel models regarding the financing of affordable and mixed income housing projects, while providing support for project specific tasks that may include non-financial areas of the development process

Responsibilities

Job Description
Collect existing financial proformas from real estate development staff and create a consolidated Excel spreadsheet that integrates the presentation and functionality of existing models while making enhancement under direction of supervisor.
Develop a “feasibility” model in Microsoft Excel that builds off existing examples within ECD but integrates financial feasibility with zoning and construction inputs.
Work closely with one ongoing project in one of these key areas; prospective project, predevelopment project, or construction. Assist and shadow the development associate or officer on the project to help with daily needs and learn about this stage of the development process. Examples of tasks will be creating spreadsheets, looking at market research, mapping, creating presentations, and attending onsite meetings.

Qualifications
College graduate student with coursework and/or experience in real estate development, finance or urban planning is required.
Awareness of underlying formulas of real estate finance is essential.
Basic and advanced Excel modeling skills are a requirement including the ability to program Look Up and If Than functions.
Knowledge of land use and neighborhood planning and real estate development concepts are a plus
Training and Support
Orientation to ECD and its communities. Development of initial work plan and timeline with supervisor related to above tasks. Weekly meetings to review, plan, and provide coaching around various aspects of the internship experience. Participate in staff meetings, external meetings, and trainings as available and relevant to the scope of the position. Participate in an intern program feedback process.
Learning Opportunities
Witness the affordable housing development process from project selection to construction to asset management and resident engagement.
Experience the day to day operations of a real estate development in an affordable housing corporation and understand the federal, state, and local policies and programs used in this industry and how they influence operations of a nonprofit developer.
Gain exposure to the financing tools used in the industry, including Low-Income Housing Tax Credits (LIHTC), HUD financing products, and programs (e.g. Section 8), GSE products (e.g.’ Fannie Mae) and typical local government programs.
Develop a working knowledge of the policies and tools that local governments use in urban planning, land use, and real property development (e.g. comprehensive plans, small area plans and affordable housing policies.
Learn to function in a team environment and experience how the work develops through team meetings on a project, with staff, lenders, government stakeholders, and development consultants (e.g. architects and civil engineers).
Remote and virtual work available.","https://www.linkedin.com/jobs/view/externalApply/2442900237?url=https%3A%2F%2Fwd5%2Emyworkdaysite%2Ecom%2Fen-US%2Frecruiting%2Fenterprisecommunity%2FEnterpriseCareers%2Fjob%2FSilver-Spring-MD%2FIntern--Real-Estate-Development_REQ199&urlHash=kZPz&refId=7582830c-f642-42c0-9c06-888cf3a5301d&trackingId=ximcUVsGMpFEK6AOeK53UQ%3D%3D&trk=public_jobs_apply-link-offsite",0.01845494608581809,
24,"2021 Summer Analyst, Real Estate Management and Operations","New Empire Corp","New York, NY (+1 other)","","https://www.uzoes.com/us/details/2021-04-08_2e94c7cc2ffd39fb69829e465325ec02?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.012196348632764099,
9,"Campus Intern - Real Estate","JE Dunn Construction","Kansas City, MO","Best people + right culture. These are the driving forces behind JE Dunn’s strategy for success. By hiring the best people we can find, giving them interesting and challenging work, and letting them share in the company’s rewards, we’ve found a sustainable way to grow in our industry for the last 90+ years.

JE Dunn believes in providing the best tools for employees to get the job done right. Lean operation processes. Digital document collaboration. LEED-certified, occupant-focused environments. We make sure our workforce is prepared for the job, and we expect the best. Our diverse teams around the country strive to enrich lives through inspired people and places every day, and we need inspired people like you to join us in our pursuit of building perfection.

Role Summary

Key Role Responsibilities - Core

Internship Overview – Projects And Responsibilities
Assist in screening of new investment opportunities, financial modeling, due diligence, and SREO updates as needed.
Intern will review and underwrite live investments with investment team members. An intern will gain proficiency in underwriting different property sectors and an understanding of the full investment process.
Assist in identifying and researching industry trends, and the competitive landscape of the markets across the country.
Entails reviewing third party research reports and preparing summarized reports for team members to review.
Collaborate with company employees in Pre-construction Services for new development opportunities.
Assist in researching and making recommendations on property/asset management issues and coordination.
Obtain additional estimates for ongoing maintenance requirements on company owned properties and compare and make recommendations. Investment managers will provide the agreement and communication from current providers and other pending bids for reference/comparison.
Work with project leads to obtain project related bids for certain properties.


Key Role Responsibilities - Additional Core
Assist in consolidating relevant information/questions in the focus areas where the team needs coordination help. This could be lead generation, and/or partnership opportunities.
Help interface with cross-functional teams
Property and asset management coordination as needed
Scope of internship is varied and complex and requires independent judgement, as it is required to assist where needed.


Knowledge, Skills & Abilities
Able to be flexible
High energy
Leadership potential
Strong work ethic
Excellent written and verbal communication skills
Works well under pressure and in deadline situations


Education
Enrollment in accredited Bachelors Degree program or higher, and coursework in the area(s) related to the internship opportunity


Experience

N/A

Working Environment

At JE Dunn, you’ll receive an abundance of resources dedicated to ensuring your success and future development

Employee-focused culture
Whether it’s our Employee Stock Ownership Plan (ESOP), company wellness program, or modern workspaces, we put the satisfaction of our employees at the forefront of everything we do.

Award-winning Benefits Package

Named one of Plan Sponsor Magazine’s 2015 Plan Sponsors of the Year, JE Dunn’s employee benefits package ranks among the top of our peer group, meeting and exceeding standard expectations.

Professional training opportunities
Our employee development team works full-time to create growth opportunities across the company. We encourage employees to take command of their own development, and we make sure they have what they need to take that next step.

Community-driven workforce
Corporate and personal involvement in the communities in which we work is simply part of the job--JE Dunn as an organization is proud to donate over 10 percent of our pre-tax earnings to charities around the country each year.

JE Dunn Construction is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer and it is our policy to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. JE Dunn Construction is a background screening, drug-free workplace.

Accessibility: If you need an accommodation as part of the employment process please contact Human Resources at accommodations@jedunn.com

JE Dunn Construction Company does not accept unsolicited resumes from search firms or agencies. Any resume submitted to any employee of JE Dunn Construction without a prior written search agreement will be considered unsolicited and the property of JE Dunn Construction Company. Please, no phone calls or emails.","https://www.linkedin.com/jobs/view/externalApply/2485415736?url=https%3A%2F%2Fjobs%2Ejedunn%2Ecom%2Fjob%2FKansas-City-Campus-Intern-Real-Estate-MO-64106%2F722852600%2F&urlHash=2kZP&refId=7582830c-f642-42c0-9c06-888cf3a5301d&trackingId=1xQHtVnhlcO8J4eYr6pj0Q%3D%3D&trk=public_jobs_apply-link-offsite",0.01752398442354719,
4,"Real Estate Development Intern","PulteGroup","Tucson, AZ","We know that BUILDING HOMES & COMMUNITIES BEGINS WITH BUILDING THE BEST TEAM!

How would you like to be a part of team that has been providing the American Dream of homeownership to families for more than 60 years? PulteGroup is a FORTUNE 500 company and one of America’s top residential builders. We put the consumer at the center of everything we do and we stand above the competition in our commitment to quality.

Our Vision is to Build Consumer Inspired Homes & Communities to Make Lives Better and we believe that success starts with having the right people.

At PulteGroup, we are committed to diversity and inclusion. We value the differences of each employee and understand that being consumer inspired means that we reflect the diversity of the consumers we serve.

A position with PulteGroup offers a rich, fulfilling and rewarding career across multiple geographies and brands. If you are interested in being a part of our team, let’s talk about your career with PulteGroup!



PulteGroup is offering a unique opportunity to join our team in Tucson as an Intern. The development team at PulteGroup is a small, highly focused group supported by the Arizona Division for back office functions. The Tucson team is constantly evaluating sites for development, project managing new developments, and overseeing construction of new neighborhoods. PulteGroup in Tucson offers three distinct brands to consumers- Pulte Homes, Del Webb, and Centex. We are growing our pipeline of projects and have opened an opportunity for an internship in our Tucson office. Depending on the applicant’s schedule, this position will be around 20 hours per week and pays $20/hour. The Internship begins on April 1st and will run through Summer of 2021.




JOB RESPONSIBILITIES:


Assist in the evaluation and underwriting process for potential residential real estate developments
Attend meetings with consultants and contractors to assist planning a large, multi-phase development
Analyze past costs of development to help create a database of key figures for use in future investment analysis
Visit construction sites to advance knowledge of development and review status
More detailed responsibilities will be assigned depending on the Intern’s strengths and interests. In general, assist the team with acquisition, project management and development.","https://www.linkedin.com/jobs/view/externalApply/2457430623?url=https%3A%2F%2Frecruiting%2Eadp%2Ecom%2Fsrccar%2Fpublic%2FRTI%2Ehome%3Fr%3D5000698749406%26c%3D2160113%26d%3DExternalCareerSite&urlHash=MeIK&refId=7582830c-f642-42c0-9c06-888cf3a5301d&trackingId=u%2FqC4L8zvdxK5yx%2Bh6u7sQ%3D%3D&trk=public_jobs_apply-link-offsite",0.022037160084430622,
