Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
39,"Operations Intern","Speedway LLC","Greenville, NC","Start Your Story at Speedway!

We're committed to bringing passion and customer focus to the business.

The Region Intern position is intended to give college students practical experience in retail operations within Speedway’s gasoline/convenience stores and to expose them to the variety of careers available within the retail industry.

This is an innovative and demanding program offering highly motivated students the opportunity to refine their skills and gain new experiences in working with groups, understanding business metrics, and making a presentation to upper management. The intern has the opportunity to make a real difference by completing a group project and giving assessments of our company programs. The intern will also spend a large amount of time in the stores running register, checking in vendors, learning store operations and management duties, and will have an opportunity to actually manage the business for a few weeks.

After completion of the Intern program, and upon graduation, outstanding performers will have an opportunity to begin a career with Speedway by entering into the District Manager Trainee program or Assistant Manager Trainee program.

Responsibilities
Trains as a pre-professional analyst and gains business exposure and experience
Applies knowledge learned to analyst level assignments within the Company
Assists assigned area with special projects and daily operations
Assists project team members and Management with document preparation and review
Conducts research into relevant market sectors and trends
Researches projects and proposes ideas and solutions
Assists in preparing information and research materials; creates and maintains presentations
Researches and gathers information on Company position in the industry
Provides ideas to grow and improve the business
Provides suggestions to Management for improving customer service and internal processes
Shadows multiple office positions and trains in a variety of tasks
Applies Company policies, laws and regulations governing assigned area
Communicates with internal and external customers and provides necessary assistance and information
Learns and becomes proficient on internal software systems
Utilizes applicable system and software within assigned area of study
Manages databases and input information, data and records
Completes other duties, including reports and projects, as assigned by Management

Requirements For Consideration
Must be between Sophomore and Senior year of College
Must have a Business related major
Must have a minimum GPA of 3.00
Must have a demonstrated interest in retail operations as a career
EEO Statement

Speedway is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.

In Compliance with the Americans with Disabilities Act and other applicable laws, we offer reasonable accommodation in the employment process. If you are unable to complete the application process due to a disability, please contact 1-888-225-5735, option 4.","https://www.linkedin.com/jobs/view/externalApply/2453514209?url=https%3A%2F%2Fspeedway%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSpeedway_External_Career_Site%2Fjob%2FOffice-Greenville-NC-RC%2FOperations-Intern_R-7974%3Fsource%3DLinkedin&urlHash=E5YI&refId=2015d194-63d6-4ff9-8c15-9029d38ab796&trackingId=Y4Xu433lbmip6Y3IHL4hOw%3D%3D&trk=public_jobs_apply-link-offsite",0.05298324392635241,
13,"Retail Operations - Communications Intern, Calvin Klein","Calvin Klein","New York, NY","The PVH Summer Internship Program offers motivated students the opportunity to gain fashion industry experience, with a realistic preview of what it would be like to work at PVH and our iconic brands. This is a paid internship, and you will be provided with meaningful, challenging hands-on tasks, as well as exposure to various parts of our organization. We have a variety of internship opportunities available, supporting one of our brands such as Calvin Klein, Tommy Hilfiger, Van Heusen, IZOD, Arrow; or within one of our Corporate Functions. You will also attend various professional development workshops, industry learning sessions with senior leadership and have the opportunity to meet other interns across brands and functions.

Specifically, for Summer 2021, while we would like to have an in person Internship Program at our office locations, we may need to shift the Program to a virtual or a hybrid approach, pending directed health measures for our local associates. Throughout the recruiting process, we will do our best to share real-time updates on the decision, but interns must be available to work at the planned office location should we have the ability to have part of our Program in person.

The Summer 2021 Internship Program will be 10 weeks and run from June 1st – August 6th.

Here are important dates and expectations to keep in mind (estimated timeframe, subject to change):
We have a rolling application deadline for each internship, starting in February. Apply early for greater consideration in the process.
Initial screening will be conducted by our recruiting team members via phone or video screen.
If you are applying to a design or creative internship (fashion design/technical design/graphic design), please plan to provide 1-2 pages of sample work (such as an online portfolio, illustrations, flat sketches and/or 3D renderings) as a part of the recruiting process.
Final interviews will be conducted by our hiring teams via phone or video interview starting late February into early March.
Offers will be extended beginning in March and may carry into April, if necessary.

Job Summary

We are seeking an energetic, responsible, detail-oriented, and process-driven intern to join Calvin Klein Retail Operations & Communications. In this position, you will to learn about communications support for Calvin Klein stores. You will be involved in making document updates, managing projects, and assisting with internal social media. You will gain exposure to different departments within the organization as part of the assigned projects.

Your Primary Responsibilities Will Include
Edit and update process, procedural, and training documents for stores.
Work with various department representatives to ensure store directives are current.
Assist with social media platform communication.
Support video filming and editing.
Manage operations and communications projects.
Participate in inter-departmental meetings to provide updates on projects.

Education
Rising junior or senior undergrad student with a declared major in Business Administration, Communications, or other related field. Project Management is preferred, but not required.
Minimum 2.5 GPA in core major classes preferred.

Experience / Skills
Previous relevant internship / work experience or demonstrated interest in the industry
Demonstrated academic leadership or extra-curricular activity preferred
Proficient computer skills, including Microsoft Office Suite (Word, PowerPoint, and Excel)
InDesign, Illustrator, and/or Photoshop experience preferred
Video editing experience preferred (iMovie, Adobe Premier, etc.)
Self-directed and able to work remotely with minimal supervision
Problem-solving abilities that adapt to a variety of situations

PVH Corp. or its subsidiary (PVH) is an equal opportunity employer and considers all applicants for employment on the basis of their individual capabilities and qualifications, consistent with applicable law and without regard to race, color, sex, gender identity or expression, age, religion, creed, national origin, citizenship status, sexual orientation, genetic information, physical or mental disability, military status or any other characteristic protected under federal, state or local law. In addition to complying with all applicable laws, PVH also has a strong corporate commitment to inclusion, diversity and to ensuring that all current and future PVH associates are compensated solely on job-related factors such as skill, ability, educational background, work quality, experience and potential. To achieve these goals, across the United States and its territories, PVH prohibits any PVH employee, agent or representative from requesting or otherwise considering any job applicant’s current or prior wages, salary or other compensation information in connection with the hiring process. Accordingly, applicants are asked not to disclose this salary history information to PVH","https://www.linkedin.com/jobs/view/externalApply/2468116913?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR21081WDINTERNALENGLOBALEXTERNAL%2FRetail-Operations-Communications-Intern-Calvin-Klein%3Futm_source%3Dindeed%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=MU9o&refId=02e98cc5-2895-4a68-910c-c45d27790a3b&trackingId=eeh6Y7j9vICr0OBhtX5uCA%3D%3D&trk=public_jobs_apply-link-offsite",0.007563595477462943,
10,"CE Retail Operations Intern, Summer 2021","Samsung Electronics America","Ridgefield Park, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities



You’ll enter as part of the CE Retail Operations team, which manages the last mile of the retail business for Samsung Home Appliances and Home Entertainment divisions, and consists of the Retail Operations and Retail Merchandising organizations. The Retail Operations organization manages a team of Field Marketing Reps who influence and train Retail Sales Associates to maximize sell-through and increase Samsung brand loyalty. The Retail Merchandising team is responsible for the design, development and deployment of interactive digital displays and fixtures that showcase our product at Retail, increase consumer engagement at POS and impact purchase decision. This project is in the Retail Merchandising organization.



Project Details:



The project focuses on developing frameworks for cross-functional alignment between internal and external teams/vendors. You’ll be at the core of several cross-functional groups working together to drive the business, and will get insight into the interactions between several teams in Samsung.

Analyze, review/map current intake processes for Merchandising and Training teams
Create As-Is process flow diagram, document hand-offs, bottlenecks and specify improvement opportunities
Lead and participate in cross-functional brain storming sessions to determine the To-Be processes and recommend actions/tools for process improvement including but not limited to creating forms, data repositories/libraries of current Merchandising and Training materials.

Skills and Qualifications



Qualifications:

Strong analytical, data-driven problem solving and decision-making skills.
Entrepreneurial spirit and excellent communication skills (verbal and written)
A thirst to learn, drive insights, and roll-up your sleeves to get things done and make a difference.
Ability to facilitate cross-functional teams and navigate matrixed organizations.

Internship Eligibility:

Must be enrolled in an accredited University
Proper work authorization
Maintain a 3.0 or higher GPA
Attend New Hire Orientation on first day

* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .



* Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and  provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.","https://www.linkedin.com/jobs/view/externalApply/2491390222?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F85-Challenger-Rd-Ridgefield-Park-NJ-USA%2FCE-Retail-Operations-Intern--Summer-2021_R38850&urlHash=KuUD&refId=02e98cc5-2895-4a68-910c-c45d27790a3b&trackingId=Wj5JbbiEwNUgN3tGbjpOWw%3D%3D&trk=public_jobs_apply-link-offsite",0.008353405128688818,
19,"International Retail Operations & Pop Coordinator","Skechers","Manhattan Beach, CA","Company Description

Join the thousands of innovators, advocates and forces who are making an impact every day at one of the biggest footwear brands in the world. Whether you love to connect with consumers on the retail floor or want to drive our award-winning powerhouse in new directions, the SKECHERS team is the place to be. Learn more about our brand at skx.com.

Job Description

The International Retail Operations and POP Coordinator will leverage sales data and select retail metrics to provide analytical reports to international partners to enhance their business. This role will also help execute operational and visual merchandising activities in the more than 2,500 distributor and JV owned retail locations.

Essential Job Results-
Track and sort KPI results from each partner and summarize trends and opportunities
Act as a liaison between corporate retail and distributor/JV retail partners
Support all aspects of international development in targeted countries
Maintain warehouse inventory for select retail POP and marketing items
Upkeep international retail POP catalog/starter pack
Collect and process international POP orders from start to finish
Liaise with the VM team to ensure there is sufficient stock of POP to support our international partner’s needs
Partner with the planning and merchandising team on key initiatives to guarantee that international partners have the appropriate POP to support each product launch
Provide feedback to international partners on areas of opportunity through photo reviews

Additional Responsibilities-
Other duties as assigned

Supervisory Responsibilities-
No.
Job Requirements-
Detail oriented with ability to keep track of timelines
Ability to develop strong interpersonal relationships across functional groups
Self starter with initiative and a strong sense of ownership and urgency
Must display a high degree of professionalism, tact, and diplomacy
Must be able to multi-task and have strong organizational and time management skills
Must be adaptive and flexible
Excellent oral and written communication skills

Education And Experience-
BA or BS required; degree in business or marketing preferred
2 to 5 years of retail, planning, sales analytics, and/or marketing experience a plus
Proficient in Excel, Word, PowerPoint, and Outlook
Bilingual a plus

Qualifications

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The skills, abilities and physical demands described are representative of those duties that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodation may be made to enable individuals with disabilities, who are otherwise qualified for the job position, to perform the essential functions.

Additional Information

While performing the duties of this job, the employee is regularly required to stand; use hands to finger, handle, or feel, and talk or hear. The employee frequently is required to walk; sit, reach with hands and arms, and stoop, kneel. The employee is occasionally required to sit for long period of times.","https://www.linkedin.com/jobs/view/externalApply/2431591568?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1414272%2Farea-manager-intern-west-united-states%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=M9in&refId=02e98cc5-2895-4a68-910c-c45d27790a3b&trackingId=G9OdJ8W7p7XCQyUklruCcg%3D%3D&trk=public_jobs_apply-link-offsite",0.00625114674203606,
38,"Operations Intern","Speedway LLC","Greenville, NC","Start Your Story at Speedway!

We're committed to bringing passion and customer focus to the business.

The Region Intern position is intended to give college students practical experience in retail operations within Speedway’s gasoline/convenience stores and to expose them to the variety of careers available within the retail industry.

This is an innovative and demanding program offering highly motivated students the opportunity to refine their skills and gain new experiences in working with groups, understanding business metrics, and making a presentation to upper management. The intern has the opportunity to make a real difference by completing a group project and giving assessments of our company programs. The intern will also spend a large amount of time in the stores running register, checking in vendors, learning store operations and management duties, and will have an opportunity to actually manage the business for a few weeks.

After completion of the Intern program, and upon graduation, outstanding performers will have an opportunity to begin a career with Speedway by entering into the District Manager Trainee program or Assistant Manager Trainee program.

Responsibilities
Trains as a pre-professional analyst and gains business exposure and experience
Applies knowledge learned to analyst level assignments within the Company
Assists assigned area with special projects and daily operations
Assists project team members and Management with document preparation and review
Conducts research into relevant market sectors and trends
Researches projects and proposes ideas and solutions
Assists in preparing information and research materials; creates and maintains presentations
Researches and gathers information on Company position in the industry
Provides ideas to grow and improve the business
Provides suggestions to Management for improving customer service and internal processes
Shadows multiple office positions and trains in a variety of tasks
Applies Company policies, laws and regulations governing assigned area
Communicates with internal and external customers and provides necessary assistance and information
Learns and becomes proficient on internal software systems
Utilizes applicable system and software within assigned area of study
Manages databases and input information, data and records
Completes other duties, including reports and projects, as assigned by Management

Requirements For Consideration
Must be between Sophomore and Senior year of College
Must have a Business related major
Must have a minimum GPA of 3.00
Must have a demonstrated interest in retail operations as a career
EEO Statement

Speedway is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.

In Compliance with the Americans with Disabilities Act and other applicable laws, we offer reasonable accommodation in the employment process. If you are unable to complete the application process due to a disability, please contact 1-888-225-5735, option 4.","https://www.linkedin.com/jobs/view/externalApply/2453514209?url=https%3A%2F%2Fspeedway%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSpeedway_External_Career_Site%2Fjob%2FOffice-Greenville-NC-RC%2FOperations-Intern_R-7974%3Fsource%3DLinkedin&urlHash=E5YI&refId=2015d194-63d6-4ff9-8c15-9029d38ab796&trackingId=Y4Xu433lbmip6Y3IHL4hOw%3D%3D&trk=public_jobs_apply-link-offsite",0.05298324392635242,
40,"Fulfillment Center Assets Protection Operations Intern (Current Students) (Rialto, CA)","Target","Rialto, CA","Description

Assets Protection Operations Intern

All About Target

Target is one of the world’s most recognized brands and one of America’s leading retailers. And our Distribution Centers are key to that success, whether guests shop our stores or online. It’s our DC team who make sure that products arrive at our stores (and guests’ doorsteps) on time, every time.

As part of our collaborative and guest-obsessed team, you help us create an experience that makes guests say, “I love Target!” When you work at Target, you’re helping every family discover the joy in everyday life. You’re working alongside a dedicated team that brings their passion and pride to all that they do.

All About Supply Chain Leadership

As an Assets Protection Operations Intern, you’ll gain a realistic job preview into life as an Assets Protection Operations Manager. You will have the opportunity to learn to lead, motivate and influence a team, and be responsible for the execution of Assets Protection routines and initiatives to support secure environments and protect Target’s profitability. You will also learn to lead a secure work environment that ensures the security of our teams, vendors, buildings and merchandise. The Assets Protection team’s function is to provide a secure environment for our team members and mitigate shortage to increase profitability in a Target distribution center. Assets Protection teams will do this by leading a physical security culture and responding to crisis events, investigating and resolving theft, and educating team members on operational shortage priorities. It’s the leadership you will learn that will guide your team to proactively plan to increase supply chain efficiencies. We’ll be supporting you with extensive training to help you grow as a strong assets protection operations intern. During our 8-week summer program, you will work closely with a mentor while learning different business areas and functions within our buildings. You will spend your days learning to lead and motivate a team and drive results. It will be your acquired leadership that guides your team to grow and achieve goals.

Role

The role of an Assets Protection Operations Intern can provide you with the

At Target, we believe in our leaders having meaningful experiences that help them build and develop skills for a career.

Experience in building and managing a team culture
Skills on how to make an impact on our guests; problem solving and resolution
Knowledge of retail business fundamentals
Experience setting and planning department(s) daily/weekly workload to support business priorities and managing a team to deliver goals
Experience managing a team of hourly team members and creating business strategies and goals

Responsibilities

As an Assets Protection Operations Intern, no two days are ever the same, but a typical day will most likely include the following responsibilities

Provide new ideas and recommend solutions to business or team opportunities
Take initiative to learn how to be a Target leader by seeking out opportunities for growth and development; continuously learn throughout the internship experience
Commit to learning Target’s expectations of leaders and use them to personally develop by asking questions and seeking feedback
Actively participate in internship program training activities, developmental opportunities and events.
Demonstrate willingness to take risks; step out of comfort zone and take on new assignments
Partner with leaders regarding TM performance by teaching, coaching, training and delivering timely performance feedback
Demonstrate a culture of ethical conduct, safety, and compliance; learn to lead the team to work in the same way and hold others accountable to this commitment
Understand business reporting and guest insights to understand, troubleshoot and follow-up on opportunity areas. Work with buildings leaders each day to set goals and expectations
Gain understanding of all business areas to develop business acumen
Foster an inclusive, diverse, safe and secure culture
Carry out principle duties and responsibilities by department through internship rotations as trained.
All other duties based on business needs

What We Are Looking For

We might be a great match if:

Working in a fun and energetic environment makes you excited… We work efficiently and as a team to deliver for our guests
Providing service to our guests that makes them say “I LOVE TARGET!” excites you… That’s why we love working at Target
You enjoy leading teams who are working to get products to our stores and guests… That’s the core of what we do
You aren’t looking for a Monday thru Friday job where you are at a computer all day… We are busy all day (especially on the weekends), getting merchandise to our teams and guests

Skills

But there are a few skills you should have from the get-go

The good news is that we have some amazing training that will help teach you everything you need to know to be an Assets Protection Operations Intern.
College Senior class standing or entering senior year; G.P.A. of 3.0 or higher
Participation in school or extracurricular activities and experience in leadership roles
Ability to communicate clearly and effectively
Strong critical thinking, reasoning, analytical and problem solving skills
Team-oriented thinking with enthusiasm for continuous learning
Proven ability to motivate teams and manage conflict
Ability to access all levels and areas of the facility
Ability to interpret instructions, reports, and other data
Ability to climb up and down ladders
Ability to scan, handle and move merchandise efficiently and safely, including frequently lifting or moving merchandise up to 15 pounds and occasionally or moving merchandise up to 40 pounds
Flexible work schedule (e.g., nights, weekends and holidays) and regular work attendance necessary

Americans With Disabilities Act (ADA)

Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information.","https://www.linkedin.com/jobs/view/externalApply/2427857074?url=https%3A%2F%2Fjobs%2Etarget%2Ecom%2Fjob%2F-%2F-%2F1118%2F4994215248&urlHash=NmhX&refId=8a0a86c6-e159-4aa8-8853-aa659fd7d164&trackingId=KEfLxgRYnV9YVRycBYSm9g%3D%3D&trk=public_jobs_apply-link-offsite",0.008149663542115472,
45,"Summer 21' Intern - Women's Creative Marketing/Graphic Design - BILLABONG","Boardriders","Huntington Beach, CA","Company Overview

Boardriders, Inc., is the world’s leading action sports and lifestyle company that designs, produces and distributes branded apparel, footwear and accessories for Boardriders around the world. The Company’s apparel and footwear brands, represent a casual lifestyle for young‐minded people who are inspired by a passion for outdoor action sports. The Company’s Quiksilver, Billabong, Roxy, DC Shoes, RVCA, Element, VonZipper, Xcel, Kustom and Palmers brands have authentic roots and heritage in surf, snow and skate. With approximately 10,000 team members globally, the Company’s products are sold in more than 110 countries in a wide range of distribution, including surf shops, skate shops, snow shops, its proprietary Boardriders stores and other Company‐owned retail stores, select department stores and through various e‐ commerce channels.

Summary

**This is an un-paid, for college credit internship**
Internship Duration: College/University course semester dates

Boardriders, Inc. offers internships in various departments and provides college students with supervised practical experience in the workplace. You can intern in departments suchas Merchandising & Design, Retail Buying, Marketing, Public Relations, Operations and Human Resources to name a few.

To Be Considered For The Internship Program You MUST

Be a Junior or Senior currently enrolled at a college or university; or enrolled in an MBA program AND
Receive academic credit for your internship AND
Able to provide proof of health insurance

(Please note: Students are eligible to intern during their course dates. Students may not begin before course date or continue past course date unless authorization letter is provided)

WHAT WOULD YOU BE DOING?
Women's Graphic design intern will learn how a brand creative team services all channels, ecomm, vertical & wholesale
Designing & production of graphic design assets for print and digital
Intern will be exposed to various levels of creative deliverables & launches
Involved in social media design, video & instore
Gain understanding of how a global brand creative team functions and creates 360 marketing campaign approach


WHAT SKILLS, MAJOR OR EXPERIENCE ARE WE LOOKING FOR?
Basic computer skills including Microsoft Office (Word, Excel and Outlook)
Visual Communications
Graphic Design


PERKS!

Corporate discount at our campus store

Attend company events

Unlimited networking opportunities

Casual work environment- “shorts, flip flops and tee shirts are acceptable!”

“Boardriders is an Equal Opportunity and Affirmative Action Employer including: Minorities/Women/Individuals with Disabilities/Protected Veterans”","https://www.linkedin.com/jobs/view/externalApply/2481161232?url=https%3A%2F%2Fjobs%2Eboardriders%2Ecom%2Fjob%2FHuntington-Beach-Summer-21-Intern-Womens-Creative-MarketingGraphic-Design-BILLABONG-CA-92605%2F665270201%2F&urlHash=-nr-&refId=4033efa7-bdc3-4acd-ac20-267e9f8d76bd&trackingId=XnttwN5S4x%2FQRJiQss5grg%3D%3D&trk=public_jobs_apply-link-offsite",0.015068846747572369,
27,"Summer 21' Intern - Sales Team Assistant - BILLABONG -","Boardriders","Huntington Beach, CA","Company Overview

Boardriders, Inc., is the world’s leading action sports and lifestyle company that designs, produces and distributes branded apparel, footwear and accessories for Boardriders around the world. The Company’s apparel and footwear brands, represent a casual lifestyle for young‐minded people who are inspired by a passion for outdoor action sports. The Company’s Quiksilver, Billabong, Roxy, DC Shoes, RVCA, Element, VonZipper, Xcel, Kustom and Palmers brands have authentic roots and heritage in surf, snow and skate. With approximately 10,000 team members globally, the Company’s products are sold in more than 110 countries in a wide range of distribution, including surf shops, skate shops, snow shops, its proprietary Boardriders stores and other Company‐owned retail stores, select department stores and through various e‐ commerce channels.

Summary

**This is an un-paid, for college credit internship**
Internship Duration: College/University course semester dates

Boardriders, Inc. offers internships in various departments and provides college students with supervised practical experience in the workplace. You can intern in departments suchas Merchandising & Design, Retail Buying, Marketing, Public Relations, Operations and Human Resources to name a few.

To Be Considered For The Internship Program You MUST

Be a Junior or Senior currently enrolled at a college or university; or enrolled in an MBA program AND
Receive academic credit for your internship AND
Able to provide proof of health insurance

(Please note: Students are eligible to intern during their course dates. Students may not begin before course date or continue past course date unless authorization letter is provided)

WHAT WOULD YOU BE DOING?
Complete seasonal templates for PO’s to be issued – including style number, style name, final costing, NRF codes, UPC’s, category/subclass
Create and provide account with All In Ones for each seasonal buy
Coordinate SMU samples with our team
Provide weekly ATS reports and when requested
Meeting Support – including selling reports, All In Ones for reference, meeting set up and sample coordination Travel Support – coordinating sample shipping and return
Work with M&D/Marketing for sample coordinating
General maintenance of the mock shop for both in house and visiting reps


WHAT SKILLS, MAJOR OR EXPERIENCE ARE WE LOOKING FOR?
Great communication skills and high energy personality
Basic computer skills including Microsoft Office (Word, Excel and Outlook)


PERKS!

Corporate discount at our campus store

Attend company events

Unlimited networking opportunities

Casual work environment- “shorts, flip flops and tee shirts are acceptable!”

“Boardriders is an Equal Opportunity and Affirmative Action Employer including: Minorities/Women/Individuals with Disabilities/Protected Veterans”","https://www.linkedin.com/jobs/view/externalApply/2481158427?url=https%3A%2F%2Fjobs%2Eboardriders%2Ecom%2Fjob%2FHuntington-Beach-Summer-21-Intern-Sales-Team-Assistant-BILLABONG-CA-92605%2F665269601%2F&urlHash=HRBv&refId=5506e33d-6a66-4db1-84fb-3186ff00c8fd&trackingId=T5kDKRPUg%2BFJ3uhaUf9RCA%3D%3D&trk=public_jobs_apply-link-offsite",0.013663477454305694,
11,"Operations Intern","Speedway LLC","Remote, OR","Start Your Story at Speedway!

We're committed to bringing passion and customer focus to the business.

The Region Intern position is intended to give college students practical experience in retail operations within Speedway’s gasoline/convenience stores and to expose them to the variety of careers available within the retail industry.

This is an innovative and demanding program offering highly motivated students the opportunity to refine their skills and gain new experiences in working with groups, understanding business metrics, and making a presentation to upper management. The intern has the opportunity to make a real difference by completing a group project and giving assessments of our company programs. The intern will also spend a large amount of time in the stores running register, checking in vendors, learning store operations and management duties, and will have an opportunity to actually manage the business for a few weeks.

After completion of the Intern program, and upon graduation, outstanding performers will have an opportunity to begin a career with Speedway by entering into the District Manager Trainee program or Assistant Manager Trainee program.

Responsibilities
Trains as a pre-professional analyst and gains business exposure and experience
Applies knowledge learned to analyst level assignments within the Company
Assists assigned area with special projects and daily operations
Assists project team members and Management with document preparation and review
Conducts research into relevant market sectors and trends
Researches projects and proposes ideas and solutions
Assists in preparing information and research materials; creates and maintains presentations
Researches and gathers information on Company position in the industry
Provides ideas to grow and improve the business
Provides suggestions to Management for improving customer service and internal processes
Shadows multiple office positions and trains in a variety of tasks
Applies Company policies, laws and regulations governing assigned area
Communicates with internal and external customers and provides necessary assistance and information
Learns and becomes proficient on internal software systems
Utilizes applicable system and software within assigned area of study
Manages databases and input information, data and records
Completes other duties, including reports and projects, as assigned by Management
Requirements for Consideration
Must have a Business related major
Must have a minimum GPA of 3.00
Must have a demonstrated interest in retail operations as a career

EEO Statement

Speedway is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.

In Compliance with the Americans with Disabilities Act and other applicable laws, we offer reasonable accommodation in the employment process. If you are unable to complete the application process due to a disability, please contact 1-888-225-5735, option 4.","https://www.linkedin.com/jobs/view/externalApply/2499834435?url=https%3A%2F%2Fspeedway%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSpeedway_External_Career_Site%2Fjob%2FRemote-KY%2FOperations-Intern_R-8125%3Fsource%3DLinkedin&urlHash=I2tv&refId=02e98cc5-2895-4a68-910c-c45d27790a3b&trackingId=%2Bd4w1UL2OaDFEDDsjtB8mA%3D%3D&trk=public_jobs_apply-link-offsite",0.05941692345360232,
24,"Retail Operations Intern","Speedway LLC","Remote, OR","Start Your Story at Speedway!

We're committed to bringing passion and customer focus to the business.

We're committed to bringing passion and customer focus to the business.

The Region Intern position is intended to give college students practical experience in retail operations within Speedway’s gasoline/convenience stores and to expose them to the variety of careers available within the retail industry.

This is an innovative and demanding program offering highly motivated students the opportunity to refine their skills and gain new experiences in working with groups, understanding business metrics, and making a presentation to upper management. The intern has the opportunity to make a real difference by completing a group project and giving assessments of our company programs. The intern will also spend a large amount of time in the stores running register, checking in vendors, learning store operations and management duties, and will have an opportunity to actually manage the business for a few weeks.

After completion of the Intern program, and upon graduation, outstanding performers will have an opportunity to begin a career with Speedway by entering into the District Manager Trainee program or Assistant Manager Trainee program.

EEO Statement

Speedway is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.

In Compliance with the Americans with Disabilities Act and other applicable laws, we offer reasonable accommodation in the employment process. If you are unable to complete the application process due to a disability, please contact 1-888-225-5735, option 4.","https://www.linkedin.com/jobs/view/externalApply/2466818961?url=https%3A%2F%2Fspeedway%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSpeedway_External_Career_Site%2Fjob%2FRemote-MI%2FRetail-Operations-Intern_R-8035%3Fsource%3DLinkedin&urlHash=uhd5&refId=5506e33d-6a66-4db1-84fb-3186ff00c8fd&trackingId=cf3xDmhkqkFJhJu7%2BEwYJA%3D%3D&trk=public_jobs_apply-link-offsite",0.08466911555186898,
