Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
56,"Social Media Internship","AFL","Duncan, SC","AFL provides industry-leading fiber optic products and services across the globe. Our company was founded in 1984 with a single fiber optic cable and now we manufacture over two thousand products, employ over 5,000 associates and consistently generate annual sales in excess of one billion dollars in revenue. With our commitment to professional growth and employee development, let AFL “Connect” you to your next career opportunity!

Social Media Internship

The Social Media Marketing Intern is responsible for content strategy, developing brand awareness, generating inbound traffic and cultivating leads and sales through the various social media channels. The goal is to increase customer engagement and intimacy, website traffic and revenue by strategically utilizing all aspects of our social media marketing strategy.

Responsibilities
Assist with specific writing assignments (press releases, case studies, collateral research and preparation, website research, etc.)
Prepare documents and assist with website content entry
Work closely on various community-related projects, including creative development, event planning, and writing
Support new product launches including email campaigns, web updates, PR and more
Assist with a variety of special projects as needed
Contribute to the overall success of the Marketing Communications team


Requirements
Pursuing a Bachelor’s Degree in Journalism, Marketing, Communications, Business Administration or related field
At least a sophomore at a 4 year accredited university with a minimum 2.75 GPA. In certain instances, other liberal arts majors may be applicable to this internship.
Computer/Technical skills: Proficient in MS Office Suite (particularly Word and PowerPoint).
Available terms- Summer 2021 (June 1st - August 6th)


Competencies For Success
Detail-oriented with strong writing skills
Ability to multi-task
Ability to work independently, but also work as a contributing member of the Marketing Communications team
Ability to adapt and learn quickly
Basic knowledge of Adobe Photoshop and InDesign is advantageous


Personal Profile Attributes
Ability to work effectively under pressure and in time-sensitive situations; aptitude to coordinate multiple tasks and projects simultaneously; tireless attention to detail; customer-focused and quality-driven.

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)","https://www.linkedin.com/jobs/view/externalApply/2454869847?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FAFL1002%2FJobBoard%2Fd535bad2-e3ea-c8c8-2fb2-63621892e293%2F%2F%2FOpportunityDetail%3FopportunityId%3D7782e28d-8c4c-49db-83e1-5732f7664422%26utm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=2dj1&refId=b3764ef5-eb9b-46c0-9518-3b47d31c2282&trackingId=5bKkukOMuoKTk7yZoxGLcA%3D%3D&trk=public_jobs_apply-link-offsite",0.002457994194447875,
90,"Digital Marketing Intern","Sharecare","San Diego, CA","Sharecare is the leading digital health company that helps people -- no matter where they are in their health journey -- unify and manage all their health in one place. Our comprehensive and data-driven virtual health platform is designed to help people, providers, employers, health plans, government organizations, and communities optimize individual and population-wide well-being by driving positive behavior change. Driven by our philosophy that we are all together better, at Sharecare, we are committed to supporting each individual through the lens of their personal health and making high-quality care more accessible and affordable for everyone. To learn more, visit www.sharecare.com.

Job Summary

The digital marketing intern will support the various needs of the team including social media management, email marketing, campaign reporting and collecting data. The intern will work under the direction of the Sr. Digital Marketing Specialist on a variety of demand generation campaigns and assist with sales enablement activities. During this internship, s/he will learn fundamental marketing tactics, gain an understanding of the marketing funnel and buyer's journey and how to effectively utilize an omni-channel marketing approach. This position focuses on the digital aspect of marketing. The intern will learn how to work with a variety of platforms from the MarTech stack. This is a paid internship.

Essential Job Functions
Monitors company's social media channels, captures data, coordinates calendar and schedules posts
Assists with company's newsletter, captures data, and keeps the team organized
Assists the team with developing digital marketing campaigns: landing pages, emails, ads
Monitors campaigns and builds reports/ presentations using PowerPoint and Excel
Coordinates some ad-hoc daily tasks and update a variety of stakeholders on progress
Monitors and coordinates requests for new assets and updates in the tracking system
Specific Skills/ Attributes
Familiar with social media marketing platforms and particularly LinkedIn is strongly desired
Ability to work with MS Office: Excel, PowerPoint, Word, etc. is a must
Basic understanding of the concept of digital marketing
Self-motivated, eager to learn, and proactive
Flexible and able to be responsive when priorities change
Basic understanding of advertising targeting
Basic understanding of email marketing
Qualifications
Last year student or recent graduate BA degree in Marketing, Communication, or related fields
Some marketing experience desired or examples of class projects related to marketing
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled","https://www.linkedin.com/jobs/view/externalApply/2493620838?url=https%3A%2F%2Frecruiting%2Eadp%2Ecom%2Fsrccsh%2Fpublic%2FRTI%2Ehome%3Fr%3D5000707015306%26c%3D2176007%26d%3DExternalCareerSite%26rb%3DLINKEDIN&urlHash=TTs-&refId=9e3ec3da-ab54-4e91-b94e-836587afa861&trackingId=984m41nkOFNKif4jE%2BZJ%2Bg%3D%3D&trk=public_jobs_apply-link-offsite",0.004100004878582458,
1,"Marketing & Social Media Intern","Farm.One","New York, United States","This is a paid, flexible, part-time role for a talented, visionary intern looking to build experience in marketing and social media in the food scene.

Founded in 2016, Farm.One is a global pioneer of indoor vertical farming. The company’s mission is to surprise and delight our Members with fresh, local, specialty ingredients and amazing experiences. The job of our marketing is to grow our audience of Members and fans of Farm.One around the world.

Role & Responsibilities
Manage the company’s social media accounts and post content
Brainstorms campaign ideas
Monitor various social media platforms such as Facebook, Instagram, and Twitter
Analyze analytics to gauge the success of campaigns and conduct basic reporting
Understand the overall concept of the company, our brand, customer, product goals, and all other aspects of service
Engage with customers or clients and provides service and/or sales
Provide suggestions to management for improving customer experience on social platforms and internal processes
Learns and becomes proficient on internal software systems


Requirements
Ability to create a real, honest and engaging cover letter or a visual presentation that persuades us you're the right person to take Farm.One's social media to the next level

Benefits
This is an hourly position paying $17/hour
May develop into full-time, permanent position, initial engagement is for 3-4 months","https://www.linkedin.com/jobs/view/externalApply/2473692454?url=https%3A%2F%2Fwww%2Ecareershbc%2Ecom%2Fen%2Fjob%2F210001AH%2FSocial_Media_Intern%3Fsrc%3DSNS-102&urlHash=Pl0Z&refId=936440e2-d108-4b32-9b58-f010848ed9e6&trackingId=J5hRcseJZZOEF%2Fi3Uo670w%3D%3D&trk=public_jobs_apply-link-offsite",0.01094812381726909,
66,"2021 Social Media & Communications Intern","Five9","San Ramon, CA","2021 Social Media & Communications Intern

About Five9

Five9 provides businesses reliable, scalable, and secure cloud contact center software designed to create exceptional customer experiences, increase agent productivity, and deliver tangible business results.

We are driven by a passion to transform contact centers into customer engagement centers of excellence.  Since 2001, Five9 has led the cloud revolution in contact centers, helping organizations transition from legacy premise-based solutions to the cloud.

Internship Program

At Five9 we are committed to providing an exceptional experience for our interns.  We tailor our program to provide participants with real, impactful work, contributing directly to the continued success of Five9.  Through our Speaker Series and Events, you’ll have the opportunity to meet and learn from some of the best in the business.

The internship is a full time, paid internship. The program runs 12 weeks with the opportunity to start in late May or early June.

As An Intern At Five9, You Can Expect To

Learn. Learn about yourself, your field and what makes Five9 special.
“I am proud that I was able to learn so many new concepts and systems in such a short amount of time and was able to contribute on a team to actual software development projects.” – 2020 VoIP Software Engineering Intern

Contribute. Contribute to the success of the company, your team, and real, impactful projects.
“I am most proud of owning the entire provisioning portal as part of the new cloud train, which will hugely impact how we release new products in the future!” – 2020 Associate Product Manager

Grow. Grow as a student, an employee, as a person!
“My proudest achievement from my internship is my professional growth. I have learned so much about how to interact professionally with various individuals from both within Five9 and from outside the company and have grown so much in my professional communications skill set.” 2020 Integrated Marketing Intern

Responsibilities
Support corporate communications activities, which include public relations, internal communications, social media and working closely with product marketing, customer reference and digital media teams to advance Five9’s corporate reputation in priority areas
Support social media strategy with content curation that aligns with the integrated corporate communication plan
Draft and edit various communications documents (blogs, internal memos, press releases, media briefs)
Assist with the corporate employee advocacy program using Bambu
Support Five9 podcast program; content curation, scheduling and social promotions.
Work closely with various external agencies


Qualifications
Rising senior or above, pursuing an undergrad degree in Marketing, Communications or Journalism
Professional attitude and enthusiasm; ability to successfully work with various teams internally and externally
Ability to work under tight deadlines and manage multiple projects
Excellent verbal and written communication skills


Five9 embraces diversity and is committed to building a team that represents a variety of backgrounds, perspectives, and skills.  The more inclusive we are, the better we are.  Five9 is an equal opportunity employer.","https://www.linkedin.com/jobs/view/externalApply/2418261445?url=https%3A%2F%2Fwww%2Efive9%2Ecom%2Fabout%2Fcareers%2Fjobs%3Fgnk%3Djob%26gni%3D8a78879e77ac646d0177b66f28cc7213%26lang%3Den%26gns%3DLinkedIn&urlHash=ivsO&refId=b3764ef5-eb9b-46c0-9518-3b47d31c2282&trackingId=NpIWtcgDgCn4SkPxzDSrSA%3D%3D&trk=public_jobs_apply-link-offsite",0.0027281872685085444,
95,"Social Media Management Intern","Rescue | The Behavior Change Agency","Seattle, WA","The Company
Rescue provides behavior change marketing services (or social marketing) to government, non-profit and corporate organizations. Rescue's current work focuses on tobacco, obesity, violence and alcohol prevention; the promotion of exercise, fresh foods and after school programs; and other products and services that promote healthy living. Rescue’s behavior change campaigns focus on diverse populations within teen (13 - 17), young adult (18 - 26), and adult (18+) populations in both rural and urban areas, resulting in a vast array of campaign styles and strategies.

Rescue is a full-service agency, providing research, strategy, creative, production, web, traditional media, social media, policy change, youth engagement and experiential marketing services to clients in over 25 states and provinces, as well as to federal government agencies.

We believe that marketing can do more than sell goods, it can create good.

The Job
We are looking for a dynamic, high performing Social Media Management Intern to gain hands-on experience in social media marketing and online community management. The ideal candidate has a passion for behavior change, a history of excelling in previous roles, and is capable of working in a fast-paced agency environment.

Day-To-Day Activities
Work with the Social Media Manager to collect culturally relevant content for each of Rescue’s social brands on Facebook, Twitter, and Instagram;
Write creative copy and other communication materials for social media;
Research digital trends and the online behaviors of specific target audiences;
Work closely with the Strategy & Communications Team and Social Media Manager to respond to comments on social media, both positive and negative;
Pull post-campaign user comments and work with the Marketing Analytics team to discuss engagement learnings for client reports;
Assist Social Media Managers in sourcing content for monthly media email newsletters
Track social media performance across multiple platforms and provide insights into what works best.


Required Qualifications
High School Diploma or GED;
A strong interest in social media marketing;
First-hand experience using social media for professional efforts, specifically Facebook, Twitter, Instagram, TikTok and/or Snapchat;
An eye for design and basic experience creating visual content (i.e. Canva);
Working in a fast-paced environment;
Consistent schedule and availability.


Preferred Qualifications
An academic background or strong interest in public health, health communications or policy change efforts;
An academic background or strong interest in marketing, communications, public relations, journalism, creative writing, and/or social media;
Non-tobacco-use is highly preferred because we only have tobacco-free environments and also to be consistent with our tobacco prevention campaign goals.

Location: San Diego, CA; Los Angeles, CA; Seattle, WA; or Sacramento, CA.
Status: Internship (Temporary, Part-Time)
Benefits: Learn more about the benefits of working at Rescue here: http://rescueagency.com/careers/
Travel: None

If you’re ready to join our team of mission driven talent challenging the status quo, we’d love to meet you! Check out our Careers page at rescueagency.com/careers for more information about what it’s like to work at Rescue, and the benefits that we offer to our team members.

The Fine Print

Environment

All business-related environments are tobacco-free. Must have valid driver's license, reliable transportation, and computer and Internet access. Must be available to work non-traditional hours such as late nights and weekends.

Physical Requirements

Able to remain in a sitting position for prolonged periods of time and stoop, bend, reach, climb stairs, and move freely throughout the building for the performance of duties. Able to read from a computer or laptop monitor for several hours at a time including fonts of various sizes from a variety of sources. Able to travel nationwide as needed to meet with clients, coworkers, or attend meetings and seminars. Must be able to move boxed work documents (surveys & materials), up to 40 pounds, in and out of office for travel by car and by air.

The Application
All applications must be submitted through Rescue’s online careers system (unless you qualify to request a reasonable accommodation, as detailed at RescueAgency.com/careers). We do not accept applications via email, mail, fax or in-person delivery. Please send questions to careers@rescueagency.com.

PLEASE NOTE: All email correspondence that you receive from Rescue Agency will be sent through an ‘@rescueagency.com’ email address. We recommend that you disregard any emails posing as authentic Rescue Agency accounts (e.g. @rescueaggency.com or rescueagency.jobs@gmail.com). If you receive a message from a Rescue employee, you can verify the legitimacy of the message by contacting us at careers@rescueagency.com.

Rescue | The Behavior Change Agency is an EEO/Minority/Female/Disability/Protected Veteran Employer","https://www.linkedin.com/jobs/view/externalApply/2490840234?url=http%3A%2F%2Frescueagency%2Ecom%2Fcareers%2Fposition-description%2F%3Fgnk%3Djob%26gni%3D8a78839f789e32c30178a4d4e8096310%26gns%3DLinkedIn%252BLimited&urlHash=TkCI&refId=9e3ec3da-ab54-4e91-b94e-836587afa861&trackingId=URU%2BsH6ZmiRtrpT423sG0g%3D%3D&trk=public_jobs_apply-link-offsite",0.002380340912287229,
113,"Communications and Social Media Intern","The Heritage Group","Indianapolis, IN","The Heritage Group is looking for a motivated communications or marketing student who is ready for hands-on experience in social media and other digital marketing platforms within our business. You will work closely with the director of marketing & communication to develop strategies and create dynamic content that tells THG's brand story across our marketing channels.

Job Responsibilities
Manage the company's social media accounts and post content.
Brainstorm campaign ideas using external research and best practices.
Develop, write, and edit engaging blog, website, and social content.
Identify target audiences on each platform and create personas to drive content.
Analyze analytics to gauge the success of campaigns and overall social presence.
Become a THG brand ambassador, versed in our company mission, vision, values and purpose.
Engage with key stakeholders across the business to help generate content.
Provide suggestions for improving experience on social platforms and internal processes, including extension of THG's social presence onto additional channels.
Create social media best practices and style guide for THG's family of companies.


Qualifications / Skills
Creative problem-solver
Excellent oral and written communication skills
Proven relationship-builder
Organized with ability to manage multiple projects at once
Experience with social media marketing and analytics
Adobe Creative Suite experience a plus, but not required


Education/Experience Requirements
In 3rd or 4th year of college program
Prior marketing experience preferred
Writing samples required, social media content preferred","https://www.linkedin.com/jobs/view/externalApply/2472533910?url=https%3A%2F%2Fthgrp%2Eapplicantpool%2Ecom%2Fjobs%2F548221%2Ehtml&urlHash=Rcwd&refId=c0b7d904-bb2e-40b5-a590-3e4fef0a09fc&trackingId=pUL0w83W8T1XYXTzw26gKQ%3D%3D&trk=public_jobs_apply-link-offsite",0.01809376939414298,
119,"Marketing & Social Media Intern","Hometown Poké","Providence, RI (+1 other)","Part-time Internship (8-12 hours/week)

Are you social media savvy with a knack for marketing? We are looking for a marketing and social media intern to work with us to increase brand awareness and customer engagement. Candidate must be able to take initiative and work independently and alongside management on multiple marketing initiatives.

Please note this internship is unpaid but may be eligible for college credit depending on your program. For the exceptionally motivated candidate, this internship can lead to a part-time paid position as we continue to grow. Hours and start and end dates are flexible.

Required qualifications:
• Proficiency and understanding of social media platforms (Instagram, Facebook, Snapchat, Twitter)
• Strong verbal and written communication skills
• Proficiency with Microsoft Office Suite (Word, Excel, PowerPoint)
• Familiarity with the Hometown brand and values
• A thirst for knowledge and problem solving
• Experience with Photoshop and graphic design tools is a plus!

Responsibilities include but are not limited to:
• Drafting monthly newsletters and updating the mailing list
• Taking photographs (food, storefront, lifestyle, etc.)
• Posting to social media and engaging with customers
• Design custom marketing materials for print and online
• Identifying partnership opportunities and building relationships
• Acting as a communication liaison to keep local publications informed of upcoming events

Benefits to working at Hometown Café and Poké Bar include:
• Starting wages above state minimum
• A meal on us during your shift
• Periodic team events (dinners, activities, and more)
• Continuous on-the-job training and development
• Exposure to business building and working in the start-up environment

As a member of the Hometown team, you will bring a positive attitude and be willing to help with any task, no matter how big or small. We are a tight-knit family that is passionate about the Hometown values, serving quality food, and providing great customer service. We hope you’ll fit right into our weird, but loving family and embody our same values","https://www.glassdoor.com/job-listing/marketing-social-media-intern-hometown-pok%C3%A9-JV_IC1151289_KO0,29_KE30,43.htm?jl=3669659160&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.01045444184710334,
79,"Social Media Intern","Ryze Agency","Fort Lauderdale, FL","Ryze Agency is looking for a part-time social media intern. This role involves working for an agency, with an existing foundation of clientele.

Ideally, we are seeking an ambitious, willing to learn, doesn't already know everything person who wants to work hard and make his/her way in the industry. We do a lot of fun stuff, and we need someone who understands that the art of advertising is the art of selling - not just art for the sake of art.

Is this you? You have a basic understanding of digital advertising (Facebook, Google, etc.), but also understand e-commerce and consumer behavior. You are willing to work hard. You have impeccable spelling and proofreading skills. You want to constantly improve your skills and learn new things. You never worry about your job title and embrace new challenges.

The ideal candidate is out there, I'm convinced, but we need to hear from you.

Samples of your work or website portfolio expected.

Responsibilities And Duties
Research audience preferences and discover current trends.
Create engaging text, image and video content for social platforms.
Measure and implement social tactics for growth hacking.
Stay up-to-date with changes in all social platforms ensuring maximum effectiveness.
Team player.
Facilitate online conversations with customers and respond to queries.
Report on online reviews and feedback from customers and fans.
Suggest new ways to attract prospective customers, like promotions and competitions.
Fluent in all social platforms (not just IG).

Requirements
Proven work experience in social media
Experience in multiple social media platforms
Ability to deliver creative content (text, image and video)
Familiarity with online marketing strategies and marketing channels
Ability to gasp future trends in digital technologies and act proactively
Excellent communication skills
Multitasking and analytical skills
Photoshop skills a plus
Google Certifications a plus
DM Certification a plus
Job Type: Part-time

Ryze is a full-service, boutique agency that provides our clients with communications planning and buying across all traditional and emerging channels, including digital, social and mobile. These services encompass consumer insights, data and analytics management, campaign measurement, media and competitive research as well as direct marketing services.

We were born to change the world, yet the world changes daily. As a result, we believe the future belongs to the curious: those independent and agile enough to take advantage of it. Curiosity confers massive competitive advantage to our clients, inventing new ways to transform their business. Plus, it’s always important to remember that curious people never settle. Ryze is full of curious people.

Are you curious?","https://www.linkedin.com/jobs/view/externalApply/2481744440?url=https%3A%2F%2Fwww%2Eziprecruiter%2Ecom%2Fjobs%2Fryze-agency-7cbdb08f%2Fsocial-media-intern-3bf93a86%3Ftsid%3D122001595%26enc_campaign_id%3Dd88adbe2&urlHash=WApX&refId=4cb14c9a-444e-422e-8132-4c6984fa6f79&trackingId=PQ8Vxe21iRvtQagrFNm7Dg%3D%3D&trk=public_jobs_apply-link-offsite",0.0030726448035634135,
26,"Social Media Content Intern","Teen Readers Society","United States","Teen Readers Society (TRS) a Santa Monica, California-based 501 (c) (3) nonprofit start-up working to reverse the decline of reading rates among teenagers, fostering a culture of reading books for pleasure and managing book donations to underserved youth, is accepting applications for part-time interns.
 We are looking for curious, intelligent and creative self-starters with a serious work ethic and a desire to learn.
 What You’ll Be Working On:
Write and design social media (primarily Instagram) content about books and reading
Work with social media coordinators to brainstorm and execute new content ideas for our social media channels, newsletter and website.
 Preferred Qualifications:
Prior experience using Adobe Photoshop, Canva or similar tools
Alignment with our mission and an interest in working with nonprofits
Excellent writing skills
Interest in design and the arts
Avid reader a plus
Ability to work in a start-up environment.
 This is an unpaid internship. However, we provide close mentoring and work with you to shape your experience and gain real-world experience that can be added to your portfolio and resume. We view TRS as a platform to connect your own personal interests and background to our work that ultimately advances our organization’s mission.
 Though for the time being all work is done remotely, we are a team of supportive and collaborative individuals and we have managed to create a fun work environment.
 Hours are flexible, but participation in at least one weekly team call is expected.
 The initial requirement is about 1.5 hours/day, five days a week.
  Please send applications to
submissions@teenreaderssociety.org
 More about the company at https://teenreaderssociety.org
 ","https://www.linkedin.com/jobs/view/externalApply/2474622121?url=https%3A%2F%2Ftheclimatemuseum%2Esubmittable%2Ecom%2Fsubmit%2F192180%2Fclimate-museum-summer-2021-social-media-internship-remote&urlHash=9NUv&refId=a9f1b4b0-bee6-4ed7-b071-478a37d2cb1a&trackingId=ZyEkaraODmlq%2FWwjA%2B%2Fh7g%3D%3D&trk=public_jobs_apply-link-offsite",0.0033216012878913253,
23,"Social Media Intern","HedgeApple","Lawrence, KS","Are you an interior design enthusiast who pours through home decor blogs, magazines, and Instagram accounts? Someone who lives for creating the perfect grid, pins that get saved and shared over and over again, IG stories that build engagement, and growing an audience?

We are looking for someone who wants to learn more about social media and digital content creation with a passion for interior design. This unpaid remote internship would be perfect for a student looking to gain professional experience and build their resume while working for an established brand.

Layla Grayce is a luxury furniture and decor eCommerce retailer. We offer designer furniture, lighting, and home decor to elevate the home. We work with top brands, designers, influencers, and press partners to match the right products with the right homes and deliver inspiring content to a wide digital audience of more than 125K Instagram followers as well as features in popular publications like Domino and Elle Decor.

Responsibilities:

Pitch content ideas for the editorial calendar; work with the marketing team to help execute them
Schedule social media posts with optimal images, copy, tags, and links, on Instagram, Pinterest, Facebook, and Twitter
Work with influencers, interior designers, and social media partners across the industry to elevate the brand and create engaging content
Create content for the blog
Monitor social platforms and communication to consumers daily
Other marketing tasks as needed
Qualifications:

A student with a concentration in Social Media, Public Relations, Marketing, or Journalism with a passion for Interior Design
Basic graphic design skills
A people person, good at building and nurturing relationships, and full of creative ideas
This unpaid internship is an work from home telecommute position

Powered by JazzHR

Jj2lHWB6Lw","https://www.linkedin.com/jobs/view/externalApply/2498403013?url=https%3A%2F%2Ftldef%2Etalentify%2Eio%2Fjob%2Fsocial-media-intern-remote-new-york-tldef-28%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGo0MXJocyxlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=SLRR&refId=3443377e-5c39-4faa-a682-8ed23a6cc751&trackingId=XPx2mbRJCMUk8%2BbYy37EUw%3D%3D&trk=public_jobs_apply-link-offsite",0.012106230025336215,
