Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
14,"Wealth Management Branch Intern","UBS","Colorado Springs, CO","Job Reference #
226035BR

City
Colorado Springs, United States - Colorado

Job Type
Full Time

Your role
Are you a motivated self-starter? Can you take an assignment and run with it? If you're ready to dive into a
fast-paced, client-focused work environment, an internship may be the right fit for you.

We're looking for an intern to:

work on projects that have real impact on clients
support our team of wealth management experts
gain product knowledge from internal and external partner sessions to support your team
plan team marketing events and material
assist with the responsibilities of running an entrepreneurial business model

We welcome interns to become a part of our team. You will work with our experts and learn about the industry, our clients and our firm. This is an opportunity to gain valuable insight, develop new skills, and establish a network of mentors and business contacts. You'll leave with a lot more than a job listing on your resume.

Your team
You’ll be working within a WMA branch office where we provide advice-based solutions. Our financial
advisors deliver a fully integrated set of products and services specifically designed to address the needs of
ultra-high net worth and high-net worth individuals and families.

The base rate of pay offered for this role is $20.00/hour.

Your expertise

at least a 3.2 GPA
a balanced resume which includes solid academic performance and campus involvement
a genuine interest in developing a career in Wealth Management
positive with a can-do approach
analyze a problem, come up with ideas and make a decision
show good judgment
a planner; organized and can make things happen
communicate well and work within a team
able to stick with a task

Have you participated in teams sports? Organized a volunteer project? Taken a challenging class and aced it?
Think about your achievements and how they match the skills we’re after.

About Us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?

Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.

Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.","https://www.linkedin.com/jobs/view/externalApply/2454044723?url=https%3A%2F%2Fjobs%2Eubs%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25008%26siteid%3D5012%26jobid%3D228520%26codes%3DILINKEDIN&urlHash=kYZ2&refId=a3c78d76-b498-4a84-bb7c-abaf66994741&trackingId=FZvEvWkOEjSGLQDBWcu4xg%3D%3D&trk=public_jobs_apply-link-offsite",0.0061766159893396795,
36,"PWM Intern","Morgan Stanley","McLean, VA","DUTIES And RESPONSIBILITIES
Gain industry and organizational knowledge through daily business interactions and job assignments.
Develop business, financial and analytical skills needed for career in global wealth management and financial services.
Provide marketing and sales support to branches and their teams.
Perform market research.
Gain exposure to wealth management business, products, services and clients’ financial needs.

Requirements
High school diploma required. In pursuit of college degree preferable.
At least 18 years of age.
Internships are intended to be positions that are for limited duration, with a maximum duration ten months.
Strong desire to gain further understanding of the global wealth management business.
Effective communication and interpersonal skills (both written and verbal)
Ability to work on a team.
Strong analytical skills and ability to interpret.

Morgan Stanley
EOE committed to diversifying its workforce.
M/F/D/V

Posting Date

Mar 18, 2021

Primary Location

Americas-United States of America-Virginia-Mclean

Education Level

Refer to Position Description

Job

Wealth Management

Employment Type

Intern

Job Level

Non-Exempt","https://www.linkedin.com/jobs/view/externalApply/2444461142?url=https%3A%2F%2Fms%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D3169436%26lang%3Den%26src%3DJB-10109&urlHash=58oq&refId=85c968df-0655-4f02-add0-4c2c41d5ebc9&trackingId=uJCVHYCn%2FzsmoDjN2lFlWQ%3D%3D&trk=public_jobs_apply-link-offsite",0.048000674323774424,
13,"Summer Tax Intern - June 2021 Start","Brighton Jones","Seattle, WA","Brighton Jones, one of the country’s fastest-growing wealth management + tax advisory firms, is looking for an outstanding summer intern to join our team. This role will be multi-faceted with the opportunity to work across various departments within our organization.

Our summer internship program offers daily responsibilities and challenging project experience in a professional and fun setting. You’ll jump into the starting line-up of an award-winning team with an incredible company culture.

Our Intern Program Offers The Following And More

Come see firsthand why Brighton Jones has been nominated a “100 Best Places to Work” now 11 consecutive years.
Work alongside our seasoned tax advisory staff to prepare and file returns for high-net worth individuals and entities
Assist with the process of collecting data, and preparing it for electronic work papers
Input tax data into appropriate software systems
Produce electronic work papers for next level review in conformance with department standards
Collaborate on various departmental projects and initiatives
Interact with bright, driven team members and senior leadership
Participate in team activities and “fun committee” events

Qualifications
Internship set to begin June 2021
Internship to be held virtually unless otherwise determined by the company. Must be able to work during PST business hours
Eligibility includes current and newly graduated university students
Availability to work 30 - 40 hours per week during summer (approximate start and end dates of internship are flexible).
Academic success and other internships or work-related experience encouraged
Majors such as Business, Accounting/Finance or Economics preferred
Desire to pursue a career in personal tax advisory preferred
Excellent references required
At Brighton Jones, we are passionate about building a team of people with diverse backgrounds, ideas, and experiences. Varied voices and perspectives make us stronger and we believe that individuality—your secret sauce! — allows us to be more successful as a group, raise the bar in all that we do, and enables us to better serve our clients and the global community.

Our strong cultural DNA is vital to who we are and the services we provide as a firm. Our MESI program (Mindfulness-based Social and Emotional Intelligence) empowers our employees, clients, and community to be present and act with intention and compassion. Through a growth mindset, we work to inspire, support, challenge, and motivate each other to be the best version of ourselves every day.

Our Team Personality Is

Genuine: Our unquestioned commitment to integrity is reflected in all our personal and professional activities.
Focused: We work together to manage heavy workloads and time-sensitive projects. We thrive in a fast-paced environment that fosters continued growth and development.
Approachable: We enjoy interacting with each other and our clients, always projecting a professional, friendly, and capable image in everything we do.
Invested: Our commitment to our clients and each other means that we are willing to maintain a flexible schedule to address cyclical work periods.
Driven: We possess sound judgment, initiative, and decision-making skills. We anticipate problems, determine the appropriate level of response, and act accordingly.

Our Team Values Are

Compassion

Community

Collaboration

Continuous Growth

Curiosity

Our Company

We are a company that uses creativity and passion to help our clients, colleagues, and the global community live richer lives. We are a nationally recognized wealth management firm with a strong talent focus.

To the right individual, we offer a very competitive compensation and benefits package for our industry. If you meet the above requirements, please apply online. In your cover letter, please describe your professional passions and ultimate career objectives.

Brighton Jones provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Brighton Jones complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has offices. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Brighton Jones expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Brighton Jones’s employees to perform their job duties may result in discipline up to and including discharge.","https://www.linkedin.com/jobs/view/externalApply/2400733659?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fbrightonjones%2F0dc56ee6-ad59-408b-9500-dbe66140ae5a%2Fapply%3Flever-source%3DLinkedIn&urlHash=llo7&refId=a3c78d76-b498-4a84-bb7c-abaf66994741&trackingId=lGtC5K4LOGr0Sslvp%2F3dEg%3D%3D&trk=public_jobs_apply-link-offsite",0.004955365212629398,
37,"Intern *","Morgan Stanley","Seattle, WA","Responsibilities
Gain industry and organizational knowledge through daily business interactions and job assignments.
Develop business, financial and analytical skills needed for career in global wealth management and financial services.
Provide marketing and sales support to branches and their teams.
Perform market research.
Gain exposure to wealth management business, products, services and clients’ financial needs.

Requirements
High school diploma required. In pursuit of college degree preferable.
At least 18 years of age.
Internships are intended to be positions that are for limited duration, with a maximum duration ten months.
Strong desire to gain further understanding of the global wealth management business.
Effective communication and interpersonal skills (both written and verbal)
Ability to work on a team.
Strong analytical skills and ability to interpret.

Morgan Stanley

EOE committed to diversifying its workforce.

M/F/D/V.

Posting Date

Feb 13, 2020

Primary Location

Americas-United States of America-Washington-Seattle

Education Level

Refer to Position Description

Job

Wealth Management

Employment Type

Intern

Job Level

Non-Exempt","https://www.linkedin.com/jobs/view/externalApply/2272653699?url=https%3A%2F%2Fms%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D3146092%26lang%3Den%26src%3DJB-10109&urlHash=oLP0&refId=85c968df-0655-4f02-add0-4c2c41d5ebc9&trackingId=3ZPHyK86ampCgHP07Ngmsg%3D%3D&trk=public_jobs_apply-link-offsite",0.021828394349354113,
9,"Intern","Peapack-Gladstone Bank Private Banking since 1921","Bedminster, NJ","Retail Administration
The Retail Administration Department supports PGB’s 19 Retail Branches and assists with all areas of branch operations, compliance and branch security. The Retail Administration Department works with every department and a RA Intern will have exposure to the processes and operations of many business lines throughout the bank. The RA Intern must be flexible and able to assist in any type of emergency throughout the branches.
Duties as a Retail Administration intern would include maintaining the confidentiality of the Bank and it’s clients, preparing letters of correspondence for the department, compiling & organizing branch reports, answering branch employee questions within the scope of responsibilities, and maintaining a weekly report that surveys our interest rate competition across local banks- this is integral information to the bank that is provided to executives to make business decisions.


Commercial Banking
Our Commercial Private Bankers, who specialize in Commercial and Industrial (C&I), Commercial Real Estate, Multi-Family and Small Business Administration lending, provide customized solutions for each transaction, focusing on helping clients achieve their goals. From acquisition, equipment, working capital and owner occupied real estate financing, we provide solutions designed specifically to fit your needs, not ours. What do we focus on? Building long term relationships and helping clients build their legacy. Credit/Underwriting
A. participate in C&I zoom calls with prospects, clients, COIS while documenting all calls for the bankers in banksite
Assist SBA team with banksite pipeline updates as they are short staffed. General Banksite pipe updates for me and other bankers in LOB as well
Assist in annual reviews in assisting both banker and underwriting in this important compliance task occurs
Real Estate visits for annual site reviews of the physical properties
Basic review and understanding of the credit process from beginning to end
Shadowing Me and Stu as well as bankers throughout the process to see what a day in the life is


SBA Loan Department

The SBA Team currently consists of 3 individuals and one Banker Development Associate. We provide SBA loans and service our clients through the pre-closing, closing and post-closing stage of the loan, in addition to other duties required by each respective position.

Interns would be exposed to all aspects of each loan stage by supporting the SBA Team as well as interacting with other departments of the Bank. Other departments include but are not limited to Loan Operations and Retail Banking.

In addition, interns also prepare day to day reports and assist with various systems such as Silverlake/Xperience, Microsoft Office, Microsoft Teams and Zoom. Interns are also required to communicate with clients, when needed, and occasionally go onsite visits.

Information Technology

Information Technology is a critical part of bank operations across all business lines. IT deploys, manages, and supports the bank’s technology solutions.

An Information Technology intern will learn about the various technology platforms and infrastructure used within a bank. Through supporting bank wide technology, an IT intern will have exposure to the processes of many business lines throughout the bank. An IT intern will also work with the IT team on large projects and learn how to support major technology roll outs.

Platinum Service Team

The Platinum Service Team currently consists of 8 individuals with varied banking experience. We open accounts for and service the bank’s high-net worth client base across all of the bank’s various divisions. Most of the relationships housed with Platinum are from the Commercial & Industrial banking group, followed by Commercial Real Estate and Peapack Private Wealth Management. These relationships can be highly complex and the Team partners with all areas of the bank to setup and service the clients’ needs. The team also prepares various reports for the executive business line heads including a bi-weekly deposit pipeline.

Interns would be exposed to bankers from all divisions as well as the Treasury Management teams, Deposit Operations, Lending and Loan Ops as well as the bank’s executive team through meetings and conference calls. They would also be exposed to various systems like Silverlake/Xperience, OnBoard Deposits, Microsoft Power BI, and the Microsoft Office suite including Teams. The intern would assist the team in opening new accounts, the KYC process, coordinating with Treasury Management and other Ops teams to ensure the client has the services they require. They would also learn about the bank’s product offerings and day-to-day business like wire transfers, client correspondence, compliance and audit guidelines, and the team’s approach to white-glove service. The Platinum Service Team intern would also be responsible for completing documentation request for Enhanced Due Diligence from compliance as well as client experience projects for the team.

Wealth
Peapack Private Wealth Management division includes investment management services provided for individuals and institutions; personal trust services, including services as executor, trustee, administrator, custodian and guardian, and other financial planning, tax preparation and advisory services. Officers from the Peapack Private Wealth Management Division are available to provide wealth management, trust and investment services at the Bank’s headquarters in Bedminster, at private banking locations in Morristown, Princeton and Teaneck, New Jersey and at the Bank’s subsidiaries, PGB Trust & Investments of Delaware, in Greenville, Delaware, Murphy Capital Management, in Gladstone, New Jersey, Quadrant Capital Management in Fairfield, New Jersey and Lassus Wherley in New Providence, New Jersey and Bonita Springs, Florida.

Credit/Underwriting
Commercial banking is divided into two sub-sectors, commercial real estate lending, which involves financing the acquisitions of properties, and commercial and industrial/community banking loans, which help companies get started, expand, and buy equipment. Peapack-Gladstone Bank Credit Risk Management (CRM) is responsible for lending production, underwriting, and closing of investment grade loans and the credit administration of these loan assets thereafter. Loan assets is an important revenue stream for Peapack-Gladstone Bank.
Interns will spread and analyze business. Perform due diligence on prospective clients in order to obtain information used in the preparation of analysis. Attend meetings to discuss commercial credit proposals being presented by Loan Officers. Assist in evaluating proposed loans for credit risk and preparation of loan proposals. Perform due diligence on prospective clients in order to obtain information used in the preparation of analysis. Conduct industry analysis, market analysis, property inspections. Attend loan discussion meetings and assist in the management and monitoring activities of the Commercial/Community Banking loan portfolio.


Electronic Banking

The Electronic Banking Department supports Peapack Gladstone Bank’s digital banking platform and works to operationally support internal and external client needs and enhance the “PGB Client Experience”.

On a daily basis, team members specialize in debit card issuance and maintenance, branch ATM support, online and mobile banking support, client disputes, annual reviews of ACH clients and remote deposit capture, and fraud monitoring.

Additionally, the department supports Peapack Gladstone Bank’s ‘Digital Strategic Initiative” with projects that include replacement of the entire fleet of ATM’s, upgrading of the online and mobile consumer banking platforms and incorporation of Zelle as a form of electronic payment processing for PGB Clients. These initiatives allow PGB to expand the digital functionality of our products and enhance our client’s banking experience.

During an interns time in Electronic Banking, they can expect to be remotely exposed to daily functions which will include: daily fraud monitoring, debit card and online banking issues and resolution and will focus heavily on supporting the Electronic Banking Supervisor with annual compliance and NACHA regulated reviews of ACH originating clients.

ERM and Regulatory Compliance

ERM

Enterprise risk management (ERM) is the Bank’s enterprise risk competence—the ability to understand, control, and articulate the nature and level of risks taken in pursuit of business strategies—coupled with accountability for risks taken and activities engaged in. One of the main benefits of ERM is an enhanced perspective and focus on risk management across the institution. The changing regulatory environment, economic turmoil, and growing complexity of products, tools, and risks has, among other influences, helped to launch the practice of enterprise risk management into the financial services area. By definition, the business of banking exposes the organization to a wide variety of risks. The ERM framework is designed to support the depth and breadth of activities by providing a structured approach for identifying, measuring, controlling, and reporting on the significant risks faced by an organization. Specific risk management (e.g., credit, operational, market), capital management, and liquidity management provide the essential underpinnings to an ERM framework. ERM is the governance structure that provides the horizontal view of the risk disciplines and operational risks of an institution.

Enterprise Risk Management (ERM) is defined as an organization’s ability to understand, control, and articulate the nature and level of risks taken in pursuit of business strategies, coupled with accountability for risks taken and activities engaged in. One of the main benefits of ERM is an enhanced perspective and focus on risk management across the institution.

Regulatory Compliance

Various consumer protection, fair lending, fair housing, and community reinvestment laws apply to financial institutions’ interactions with customers and communities. The Regulatory Compliance Department is responsible for overseeing the Bank’s compliance with all applicable laws and regulations established by Congress and the federal and state regulatory agencies, including the Bank Secrecy Act and Anti-Money Laundering (AML) Regulations, Office of Foreign Asset Control (OFAC), and Community Reinvestment Act (CRA).","https://www.linkedin.com/jobs/view/externalApply/2344702600?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FPEA1006PEAA%2FJobBoard%2Fc36308a9-3cc9-405a-a034-40797ac7607e%2F%2FOpportunityDetail%3FopportunityId%3D66b269cc-fe13-4ee8-8f60-b7890bae0097%26utm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=0OPl&refId=a3c78d76-b498-4a84-bb7c-abaf66994741&trackingId=y3WC9nfxu44hHp9jX1jECA%3D%3D&trk=public_jobs_apply-link-offsite",0.004431322842788001,
55,"Wealth Management Investment Intern","The Washington Trust Company","Providence, RI (+1 other)","Wealth Management Investment InternProvidence, RI, USA Req #666

Wednesday, March 17, 2021

Washington Trust is a special place because of our people. We believe employees who are valued, recognized, rewarded and empowered will achieve personal and professional goals. We hire the best people in the business and are always looking for professionals who will uphold our core values of quality, integrity and community.
Washington Trust is looking for an Intern to participate with its Wealth Management Investment Research team for the summer (May - August). This is an excellent opportunity for college students to participate in investment analysis and research projects in a professional Wealth Management environment.

Applicants should be entering their senior year of college with a degree in Finance or similar business related field, with experience in investment analysis through school organizations or previous internships. This opportunity requires proficiency in Microsoft products especially Excel, excellent organizational skills and strong language / communication skills.

This position will initially be remote with the possibility to move in office, located at The Washington Trust Company Wealth Management Office in Providence, RI. Availability to work 30 – 40 hours a week, hours are flexible, so please include your available days and hours.

Our intern program offers the following:
• The opportunity to immerse yourself in the daily responsibilities, projects, and initiatives.
• Collaborate with seasoned professionals
• Interact with team members and senior leadership
• Gain exposure to different areas of the business
We believe employees who are valued, recognized, rewarded and empowered, will achieve personal and professional growth. Apply today and find out why we have been selected one of the Best Places to Work in Rhode Island since 2011.

The Washington Trust Company, and each of its subsidiaries and affiliates are committed to cultivating and promoting a diverse and inclusive workforce. We seek to provide an environment of equal employment opportunity and advancement to all employees and applicants. It is our policy to provide equal employment and advancement opportunities without regard to race, color, ethnicity, age, religion, gender, pregnancy/childbirth, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, citizenship, veteran or military status, or any other category protected by federal, state and/or local laws. Click Here to view “EEO is the law poster”. For additional information, please Click Here for EEO supplement poster.

Other details
• Job Family

Entry Clerical
• Job Function

Clerical/Other
• Pay Type

Hourly","https://www.internships.com/posting/sam_4035736829?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.006698799112868848,
0,"Wealth Management Summer Intern","Morgan Stanley","Chicago, IL","PROGRAM DESCRIPTION: At Morgan Stanley, we know that the diversity of our people is one of our greatest strengths. We strive to build an organization that is diverse in experience and background, reflecting our standards of integrity and excellence. Our Pathways Summer Internship Program is an integral part of our long-term diversity recruiting strategy, open to outstanding rising junior and seniors.

During this 10-week internship, you’ll work side-by-side with a successful, established FA Advisory team. The program includes course work in industry and product-specific training, an overview of wealth management and the roles within, and an overall education about the depth and breadth of Morgan Stanley’s platform and capabilities. Throughout the program, Associates will share experiences with a virtual cohort community, participate in weekly mentoring and learning sessions, and add value through their unique perspective and strong academic background.

Pathways Summer Associate opportunities are available for students in various branches located throughout the Great Lakes Region of Morgan Stanley Wealth Management.

DUTIES And RESPONSIBILITIES
Assist in sales and operation functions to streamline processes and strengthen the client experience.
Learn how Financial Advisors identify new opportunities and develop client relationships.
Support Branch Management and attend branch meetings and events.
Establish a strong FA team marketing presence, including digital and print assets, website optimization, social media campaigns and niche target market outreach.
Perform market research and analyze financial data for client portfolios.
Complete special projects designed to build WM capabilities, client experiences and office operations.
Learn about various departments within Morgan Stanley and the role they play in achieving the organizations goals.


Qualifications/Skills/Requirements
Applicants must be in their sophomore or junior year at a 4-year accredited college or university.
Minimum GPA of 3.0.
Strong desire to gain further understanding of the global wealth management business.
Basic knowledge and a keen interest in finance.
Marketing expertise preferred.
An ability to understand and interpret numeric data.
Effective written and oral communication and interpersonal skills.
Demonstrates leadership abilities.
Self-starter with an entrepreneurial spirit
The ability to collaborate and work effectively on a team.


Posting Date

Feb 4, 2021

Primary Location

Americas-United States of America-Illinois-Chicago

Job

Wealth Management

Employment Type

Intern

Job Level

Non-Exempt","https://www.linkedin.com/jobs/view/externalApply/2431170984?url=https%3A%2F%2Fms%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D3163239%26lang%3Den%26src%3DJB-10109&urlHash=qz8w&refId=a3c78d76-b498-4a84-bb7c-abaf66994741&trackingId=2l%2B2K1WjZuUDVKWibzhf8A%3D%3D&trk=public_jobs_apply-link-offsite",0.012652616295779738,
24,"Relationship Management Support Intern","First Republic Bank","New York, NY","Description

At First Republic, we care about our people. Founded in 1985, we offer extraordinary client service in private banking, private business banking and private wealth management. We believe that personal connections are everything and our success is driven by the relationships we form with our colleagues and clients. You'll always feel empowered and valued here.

Putting you first
As an intern, you will gain hands-on experience at a high-growth company that values its people. You'll earn a competitive starting wage while absorbing a culture that emphasizes collaboration, entrepreneurial thinking and quick decision-making. Start doing the best work of your life here.

Responsibilities

RM Support Intern
The assigned intern will be a resource to the Regional Managing Director and the region's Community Outreach Manager. You will coordinate with the regional leadership team on efforts to support business initiatives, and you will engage with the Community Outreach Manager and volunteer ambassadors on various projects to support our market.

What You'll Do As a Relationship Management Support Intern
Administrative Coordination
Presentation Preparation
Internal Data Collection & Performance Reporting
Internal Communication
Assist volunteer manager in creating calendar invites and adding new participants
Collect required documentation for donation requests and process donations
Assist in tech requirements for virtual volunteer events - zoom breakout rooms
Qualifications

You could be a great fit if you have:
Microsoft office suite computer skills, including but not limited to Excel, Powerpoint, Word, and other general computer navigation skills
Must be extremely detail oriented and able to manage multiple complex tasks concurrently. Discretion with confidential information is also necessary.
Strong communication, decision-making and interpersonal skills
Enjoy working in a team-based, collaborative environment
Job Demands
Must be able to review and analyze data reports and manuals; must be computer proficient.
Must be able to communicate effectively via telephone and in person.
Own your work and your career - apply now
Are you willing to take initiative and make decisions? Are you willing to go the extra mile because you love what you do and how you can contribute as a team? Do you want the freedom to grow and the opportunity to take charge of your own career? If so, then come join us.

We want hard working team players. You'll have the independence to learn, lead and drive change. A culture of extraordinary service, empowerment and stability - that's the First Republic way. Come join us!

This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the organization. The Company is an equal opportunity employer. In this regard, the Company makes reasonable accommodations for qualified applicants and employees with disabilities in order to enable them to perform all essential job functions, unless doing so creates an undue hardship.

First Republic is subject to federal laws that restrict the employment of individuals with certain types of criminal histories, including FDIA Section 19 and FINRA. To the extent not inconsistent with our obligations under those federal laws and regulations, First Republic will consider qualified candidates with criminal histories in a manner consistent with the Los Angeles and San Francisco ban-the-box laws.","https://www.linkedin.com/jobs/view/externalApply/2414718029?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F74dy9ur-org%3Fcs%3D4c%26jg%3D1oei%26bid%3DlUf2CslKyPxm6i440ZgUYA%253D%253D%26mode%3Djob%26iis%3DJob%252BBoard%26iisn%3DLinkedIn&urlHash=OKkV&refId=85c968df-0655-4f02-add0-4c2c41d5ebc9&trackingId=%2Bir6HzYfvmfix0yglF7M4Q%3D%3D&trk=public_jobs_apply-link-offsite",0.01387958709843387,
33,"Summer Internship – EBT Administrator","Societe Generale Corporate and Investment Banking - SGCIB","Mystic Islands, NJ","Responsibilities

Description of the Business Line or Department

SG Kleinwort Hambros is a leading private banking and wealth management own by Société Générale that offers financial services in the UK, Channel Islands and Gibraltar.

Summary Of The Key Purposes Of The Role

The purpose of the Summer Intern role is to support the designated team that they are assigned to. The role will initially be to shadow colleagues within the team to gain a better understanding of how a Private Banking business operates and to understand the specialist nature of the function that the intern is aligned to.

The role will provide administration support, assist with adhoc projects, peer networking and undertake an interesting CSR (Corporate Social Responsibility) challenge with your peers. At the end of the Internship there may be longer term trainee apprenticeship opportunities to apply for in the bank

Summary Of Responsibilities
12-week internship plan, including; various face to face training and online training to help build the necessary skills to work in the finance industry
Undertake a corporate challenge that is linked to Corporate Social Responsibility to work on with other interns across the company, will then be expected to deliver to Senior Management at the end of the program.
Provide administrative support to the team.
Involvement with any adhoc projects the team are working on.
Shadow colleagues to gain a better understanding of the business proposition and operations
Must seek advice in case of doubt
Perform all duties in accordance with the principles outlined in the SGP Code of Conduct, as well as the policies and procedures relevant to your responsibilities. To ensure that you adhere to a culture that treats clients fairly and focuses on the long-term sustainability of client relationship.


Profile Required

Competencies
Individual contributor competencies as defined in the SG Leadership Model
Knowledge of business processes, standards, policies and procedures
Verbal and written communication skills
Numeracy
Word, Excel, PowerPoint and other relevant IT skills
Knowledge of regulations applying to the bank, its staff and our clients
Knowledge of internal risk management, compliance, AML procedures and constant vigilance in respect of them
Reliability and attention to detail
Strong interpersonal and client relationship building skills
Team Player & Collaboration
Exercise good judgement skills to prevent fraud and raise alerts as necessary


Work Experience

Previous internships in the financial services is desirable but not essential

EDUCATION

University degree: 2:1 or above

Strong academic achievement

LANGUAGES
Only applicable if the job holder is to work on an international team

Why join us

People join for the impact they can have on us. They stay for the impact we have on them. A flatter structure offers visibility and exposure beyond that of our competitors, so you know our names, and we know yours. It's personable, human, and inspires success through passion. By encouraging open mindedness and a willingness to share ideas, we have adapted to market changes and thrived through innovation. Bringing words like “hard work” and “dedication” together with “community” and “respect” has enabled us to work collaboratively and build our future together. We call this Team Spirit and it's what makes us different. It's what makes you different.

Business insight

If you feel you have the required experience and qualifications, then please apply to the SG Resourcing Team, and we will manage your application. At Société Générale, we believe our people are our strength and are core to the success of our business. As such, we search for, recruit and appoint the best available person on the basis of aptitude and ability, regardless of sex, marital or civil partnership status, race, colour, nationality, ethnic or national origins, pregnancy, disability, age, sexual orientation, religion, belief or gender reassignment.","https://www.linkedin.com/jobs/view/externalApply/2457254667?url=https%3A%2F%2Fcareers%2Esocietegenerale%2Ecom%2Fen%2Fjob-offers%2Fsummer-internship-ebt-administrator-21000722-en%3Fsrc%3DJB-14381&urlHash=GzED&refId=85c968df-0655-4f02-add0-4c2c41d5ebc9&trackingId=%2BGDATvMXv39vA1uHqwuO6w%3D%3D&trk=public_jobs_apply-link-offsite",0.008822041686099262,
10,"Wealth Management Summer Intern","Morgan Stanley","Oak Brook, IL","PROGRAM DESCRIPTION: At Morgan Stanley, we know that the diversity of our people is one of our greatest strengths. We strive to build an organization that is diverse in experience and background, reflecting our standards of integrity and excellence. Our Pathways Summer Internship Program is an integral part of our long-term diversity recruiting strategy, open to outstanding rising junior and seniors.

During this 10-week internship, you’ll work side-by-side with a successful, established FA Advisory team. The program includes course work in industry and product-specific training, an overview of wealth management and the roles within, and an overall education about the depth and breadth of Morgan Stanley’s platform and capabilities. Throughout the program, Associates will share experiences with a virtual cohort community, participate in weekly mentoring and learning sessions, and add value through their unique perspective and strong academic background.

Pathways Summer Associate opportunities are available for students in various branches located throughout the Great Lakes Region of Morgan Stanley Wealth Management.

DUTIES And RESPONSIBILITIES
Assist in sales and operation functions to streamline processes and strengthen the client experience.
Learn how Financial Advisors identify new opportunities and develop client relationships.
Support Branch Management and attend branch meetings and events.
Establish a strong FA team marketing presence, including digital and print assets, website optimization, social media campaigns and niche target market outreach.
Perform market research and analyze financial data for client portfolios.
Complete special projects designed to build WM capabilities, client experiences and office operations.
Learn about various departments within Morgan Stanley and the role they play in achieving the organizations goals.


Qualifications/Skills/Requirements
Applicants must be in their sophomore or junior year at a 4-year accredited college or university.
Minimum GPA of 3.0.
Strong desire to gain further understanding of the global wealth management business.
Basic knowledge and a keen interest in finance.
Marketing expertise preferred.
An ability to understand and interpret numeric data.
Effective written and oral communication and interpersonal skills.
Demonstrates leadership abilities.
Self-starter with an entrepreneurial spirit
The ability to collaborate and work effectively on a team.


Posting Date

Feb 4, 2021

Primary Location

Americas-United States of America-Illinois-Oak Brook

Job

Wealth Management

Employment Type

Intern

Job Level

Non-Exempt","https://www.linkedin.com/jobs/view/externalApply/2433916055?url=https%3A%2F%2Fms%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D3163251%26lang%3Den%26src%3DJB-10109&urlHash=saGQ&refId=a3c78d76-b498-4a84-bb7c-abaf66994741&trackingId=Hvcx4wbTdF0Pr5p7Cmn3Qw%3D%3D&trk=public_jobs_apply-link-offsite",0.011142821067070511,
