title,company,location,requirements,link
Remote Business Development Internship,Maximus,Anywhere,"The Business Development Intern is responsible for leveraging quantitative and independent research skills in analysis of large, complex and incomplete data sets to identify and assess potential business opportunities that result in measurable revenue growth. The Intern will learn to develop an overall win strategy as well as internal and external partnerships, business plans and associated marketing assigned with designated opportunities.
• *Essential Duties and Responsibilities**:

- Evaluate and manage new strategic business opportunities, initiatives, mergers, acquisitions, partnerships, alliances and joint ventures

- Oversee market analysis, monitors competitive activity, and identifies customer needs

- Provide leadership in the planning, designing, due diligence, and implementing of strategic business objectives

- Define vision, strategies, and tactics

- Select, develop, and evaluate personnel to ensure the efficient operation of the function

- Identify and develop strategic relationships with partners or potential customers

- Work with marketing, sales, and product development teams to implement business development initiatives

- Conduct business planning activities, to include operating plan development, bid agenda development, opportunity gate reviews, win theme and proposal reviews

- Brief capture status to senior management at specified milestones in the capture process

- Conduct after action reviews to document lessons learned and identify necessary adjustments to capture technique, strategy, and actions

- Brief segment and corporate leadership in the bid review process, execute action item outputs and maintain accountability for bid delivery

- Lead proposal response activities, directing the work of writing team, print and production team, and desktop publishing team

- Perform other duties as assigned by leadership",https://www.zippia.com/cranston-ri-jobs/business-development-internship-dlp/?545daeb49d6de70d14a2e52c1de2b89b4ea1cf63&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development Internship,Social Enterprise Greenhouse,"Fall River, MA","About us: Gnome Surf is a 501c3 Non-Profit Surf Therapy Organization focused on creating a culture shift towards happiness, kindness, love, and acceptance for all kids of all abilities regardless of socio-economic status. We accomplish this by providing life-changing surf therapy, art therapy, yoga, and eco-therapy experiences.

Internship Description: Gnome Surf is looking for a Business Development Intern to assist us with corporate sponsorships, partnerships, and marketing. We are working on obtaining corporate support for our events and looking at additional locations to provide our services. The Intern will build relationships with businesses and partners and assist in creating proposals. The Intern will also help with our marketing efforts to expand our audience.

Qualifications:

Experience with marketing and graphic design
Strong communication and relationship building skills
Interest/Experience in Nonprofit Operations
Schedule: 10 - 15 hours per week

Compensation: Academic credit

Social Enterprise Greenhouse is recruiting this position",https://www.barefootstudent.com/jobs/internships/business_development_internship_remote_1920486694?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development & Sales Internship,Boston Institute of Biotechnology,"Southborough, MA (+1 other)","As an intern for Sales and Business Development Department, you will work on assignment related to BD initiatives including but not limited to website update, social media release, email marketing, market research and customer relationship development.

BIB has an engaging and experienced team and will work with you to have opportunities to be mentored throughout the program, cultivate professional connections, receive academic credit and work reference for future purposes.

BIB has prepared an orientation and essential on-job trainings that will help you being successful from the first day of your internship. All the interns will be evaluated periodically with specific goals and selected candidate will be considered an offer of employment with a satisfactory completion of the program.

Skills and Qualifications
• Master degree in Business Administration/Marketing/Business Analysis
• Experience in digital marketing, sales and business development projects
• Biopharma or biotech background preferred
• Proven time management, facilitation, and organizational skills
• Proficient in Microsoft Office (Word, Excel, PowerPoint, etc.), CRM tools (HubSpot, LinkedIn)
• Strong communication and interpersonal skills, bilingual preferred
• Ability to work independently and with cross-functional teams
• Work authorization either CPT or OPT in the U.S. is required","https://www.glassdoor.com/job-listing/business-development-sales-internship-boston-institute-of-biotechnology-JV_IC1154940_KO0,37_KE38,71.htm?jl=3725067025&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Small, Medium Business Development Intern",RingCentral,"Providence, RI","Want to change the way work...works? This is your moment.

RingCentral Glip integrates messaging with video to make conversation, collaboration and connection more meaningful than ever, no matter where or how people want to work.
At RingCentral we call our interns RingTerns because, by the end of your 10-week program, you'll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).

If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can't teach, is drive and a passion to succeed.
Here are a few reasons to consider being a RingTern at RingCentral:

1) YOU HAVE A COMPETITIVE EDGE AND LIKE TO WIN . Here, you'll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it's a great way to experience the way we work.
2) HYPER-GROWTH, FOR YOU AND YOUR CAREER. RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.
3) MENTORS WHO ARE IN IT FOR YOU. Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.

So, join RingCentral as an intern this summer and discover what it feels like to win, together.

FINAL INTERN APPLICATION DEADLINE: APRIL 23, 2021

JOB SCOPE:

- Work closely with the team to set the framework for an incremental growth program
- Bring fresh ideas to the concept based on market feedback and real world interactions
- Create business case based on learnings",https://www.usajobcentral.com/job/small-medium-business-development-intern-in-providence-rhode-island/5836-114588684981?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Corporate Strategy Intern,Chegg Inc.,Anywhere,"Corporate Strategy Intern

Corporate Development and Strategy Team | Chegg
Remote, United States

Your goal - to improve the education process and better the lives of students -- by interning in Chegg’s Corporate Development and Strategy group.

Organization: Corporate Development and Strategy

The Corporate Development and Strategy team is an integral part of Chegg - We work closely with the C-team to develop and execute the company’s overall strategy. Execution of strategy includes making decisions around whether the company should buy, build or partner, and therefore is closely tied to the Corporate Development function. Our small team is comprised of analysts, strategists, thought leaders, relationship builders, and dealmakers. The team drives to an understanding of relevant markets, builds out the landscape, sources deals, negotiates and closes transactions, and then develops and manages the integration plan. We also conduct market and competitive research into education trends and areas of future opportunity.

Role: Corporate Development and Strategy Intern

We’re looking for a highly motivated intern to help our team work on strategic projects in concert with the company’s business and product leaders. You will conduct research in support of our strategic roadmap and work across a number of business units, including Learning Services, Skills, and Life. The right candidate will be a self-starter with strong organizational skills and have the ability to think critically about industry and company trends.

Responsibilities
• Research EdTech trends to help determine areas of opportunity and further develop our thesis on the education market and its competitive landscape
• Analyze other education companies and make assessments regarding their potential as partners, competitors, investment candidates, or acquisition opportunities
• Support strategic initiatives such as international expansion, product and audience expansion, partnerships, and investment opportunities
• Partner with business and product leaders to develop business cases
• Present key findings and recommendations to executives

Requirements
• A rising sophomore or junior currently pursuing a bachelor’s degree in business, finance, economics, or a related field from an accredited four-year college or university
• Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder).
• Have the ability to work for a continuous 12 weeks in the summer
• Have the ability to work 40 hours per week
• Strong analytical and communication skills
• Advanced knowledge of MS Office (Outlook, Excel, Word, and PowerPoint)
• Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple teams; interest in Chegg’s mission
• Ability to think critically and work autonomously in both well-defined and ambiguous project environments

Nice To Have
• Experience with market research and business analysis
• Demonstrated passion for education and technology
• Project or internship experience in investment banking, private equity, venture capital, or consulting
• Project or internship experience in the education industry

What project will the intern work on?

The strategy intern will support a variety of initiatives, including contributing to the strategic planning of Chegg’s expansion into new international markets for our Learning Services and Skills business units and new non-academic verticals related to our Life business unit. Through primary and secondary research, the intern will develop an understanding of our focus markets, map the competitive landscape in each of these markets, and meaningfully shape Chegg’s entry strategy in these markets. Through their support of these initiatives, the intern will work closely with the Strategy & Corporate development team, as well as cross-functionally with a variety of Chegg’s business units.

What skills will the intern gain?
• Advanced Excel
• Market research
• Business analysis
• Basic accounting

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/corporate-strategy-intern-at-chegg-inc-2446378403?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Business Development Internship,Maximus,"Providence, RI","The Business Development Intern is responsible for leveraging quantitative and independent research skills in analysis of large, complex and incomplete data sets to identify and assess potential business opportunities that result in measurable revenue growth. The Intern will learn to develop an overall win strategy as well as internal and external partnerships, business plans and associated marketing assigned with designated opportunities.
• *Essential Duties and Responsibilities**:

- Evaluate and manage new strategic business opportunities, initiatives, mergers, acquisitions, partnerships, alliances and joint ventures
- Oversee market analysis, monitors competitive activity, and identifies customer needs
- Provide leadership in the planning, designing, due diligence, and implementing of strategic business objectives
- Define vision, strategies, and tactics
- Select, develop, and evaluate personnel to ensure the efficient operation of the function
- Identify and develop strategic relationships with partners or potential customers
- Work with marketing, sales, and product development teams to implement business development initiatives
- Conduct business planning activities, to include operating plan development, bid agenda development, opportunity gate reviews, win theme and proposal reviews
- Brief capture status to senior management at specified milestones in the capture process
- Conduct after action reviews to document lessons learned and identify necessary adjustments to capture technique, strategy, and actions
- Brief segment and corporate leadership in the bid review process, execute action item outputs and maintain accountability for bid delivery
- Lead proposal response activities, directing the work of writing team, print and production team, and desktop publishing team
- Perform other duties as assigned by leadership",https://www.fox8jobs.com/jobs/remote-business-development-internship-providence-rhode-island/256447171-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Enablement Interns,New Directions IT Staffing,"East Greenwich, RI (+1 other)","Business Enablement Interns

New Directions is an Information Technology and Digital Talent Solutions Firms that provides its clients with consulting, project staff augmentation and very select direct hire services.

Our talent solution delivery supports our clients ability to leverage technology and improve business outcomes in the areas of: Business Intelligence and Data Analytics; Enterprise Software; Applications Development; IT Infrastructure & Operations; and a range of Digital and Innovation Solutions.

Since inception, our highly successful Internship Program has included undergraduate students from: The New England Institute of Technology, Rhode Island College, the Community College of Rhode Island, Bryant University and Providence College.

Due to our growth, we are seeking Business Enablement Interns to assist our Engagement and Account Management teams. In this role, the Business Enablement Interns will:
• Provide advanced business development and account management support through the utilization of a number of web-based tools.
• Proactively conduct research and investigate new ideas and technology to support our account management strategies.
• Develop as a search expert for functional area(s) by understanding client hiring needs, position specifications, and search requirements.
• Assist in researching and presenting compelling technology market data.
• Assist in formatting outgoing resumes presented to support our active client base.

The appropriate individual will have demonstrated experience in the following:
• A course of undergraduate study concentrating in: Business, Marketing, Digital Solutions or Technology.
• Highly technical and savvy Internet user that includes a combination of: Web Application, Social Networking (i.e. LinkedIn, Facebook, Twitter, Instagram).
• Excellent written and verbal communications skills.
• PC proficiency in MS Office, including Word, Excel and Outlook.
• Self-directed, detail-oriented, problem solver with a desire to contribute to the organization’s reputation and overall success.
• Business acumen.

Interview Now

In order to arrange a preliminary interview, please forward a Word copy of your resume with your complete contact information.

About Us

New Directions is a Rhode Island based Information Technology & Digital Talent Solutions Firm. Ranked as one of the Fastest Growing and Innovative Privately held companies for three years by the Providence Business News, our success and subsequent growth has been based on leveraging our clients’ technology with talented people",https://www.newdirectionsstaffing.com/it/job/business-enablement-interns-east-greenwich-ri/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development Intern,Sketchfab,"New York, NY (+1 other)","As Business Development Intern, you will help us expand our enterprise business and provide excellent service to new customers. You will handle account management responsibilities such as performance analytics, project workflow in the creation of 3D models and 3D advertising, communication with clients and partners. You will help us perform market research on new industries such as 3D/VR configurators. We need someone passionate about creative technology, able to multi-task, and take initiative to help define our account management strategy in a growing industry.

Missions
• Assist in establishment of a new account management team
• Monitor and analyze competitive landscape of clients
• Manage workflow on assigned projects to ensure deadlines are met
• Work closely with 3D and sales teams to deliver production of 3D assets, 3D configurators, 3D ads
• Help identify new clients
• Seek new production partners/artists to respond to growing demand from enterprise clients

You
• Passionate about creative technology
• Outstanding organization and communication skills
• Ability to build relationships with customers, understand their environment, and introduce new concepts to solve problems
• Team player who will thrive in a dynamic startup environment
• Represent the company and our products with professionalism
• Experience in VR, AR, 3D technology is a plus

Us
• We are creative and share an explorer, curious, art-loving and geeky mindset
• We are passionate about what we do, and bring to the team our skills, perseverance, dynamism, autonomy and ambition
• We care about people and the way things are done
• We have fun, and are comfortable being our true self
• We are an international and English-speaking team

This internship is compensated, and based in New York City.

Sketchfab is committed to being a diverse and inclusive workplace. We strongly encourage applicants of different backgrounds, cultures, genders, experiences, abilities and perspectives to apply. Everyone receives consideration for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity, age, physical disability, or length of time spent unemployed.

Sketchfab

Sketchfab is empowering a new era of creativity by making it easy for anyone to publish and find 3D content online. With a community of millions of creators who have published millions of models, we are the largest platform for immersive and interactive 3D. Additionally, our store lets buyers and sellers transact 3D models with confidence using our realtime viewer and model inspector.
Our technology is integrated with every major 3D creation tool and publishing platform, and is compatible across modern browsers, operating systems, desktop and mobile. We also support VR and AR on compatible hardware. Our robust APIs let developers support direct uploading and downloading of 3D models; and configure our embeddable 3D viewer as needed.

Learn more on https://sketchfab.com/about and https://sketchfab.com/careers","https://www.glassdoor.com/job-listing/business-development-intern-sketchfab-JV_IC1132348_KO0,27_KE28,37.htm?jl=3809178565&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Enterprise Account Based Marketing Intern,RingCentral,"Providence, RI","Want to change the way work...works? This is your moment.

RINGCENTRAL GLIP integrates messaging with video to make conversation, collaboration and connection more meaningful than ever, no matter where or how people want to work.

At RingCentral we call our interns RingTerns because, by the end of your 10-week program, you'll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).

If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can't teach, is drive and a passion to succeed.

Here are a few reasons to consider being a RingTern at RingCentral:

- YOU HAVE A COMPETITIVE EDGE AND LIKE TO WIN . Here, you'll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it's a great way to experience the way we work.
- HYPER-GROWTH, FOR YOU AND YOUR CAREER. RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.
- MENTORS WHO ARE IN IT FOR YOU. Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.

So, join RingCentral as an intern this summer and discover what it feels like to win, together.

- EARLY INTERN APPLICATION DEADLINE: MARCH 19, 2021
- FINAL INTERN APPLICATION DEADLINE: APRIL 23, 2021
• *JOB SCOPE:**

- Develop a keen understanding of demand generation and business development.
- Partner with Product Marketing, Creative and Digital Channel leads on targeted content strategy, planning and executing multi-channel programs: emails, events, digital, direct mail etc.
- Communicate program status to key stakeholders, making sure programs are executed on time and actionable accounts/leads insights are shared on a timely basis
- Use data and industry best practices to formulate in-depth analysis, insights and interpretation to optimize programs and plays for target account
• *LEARNING SKILLS/OUTCOMES:**

- Learn essential SaaS technologies and tools including SFDC, Marketo, G-Suite, and other tools.
- End-to-end exposure to all demand generation roles and business development that will
- First-hand experience learning operations, campaign management, digital marketing, and interfacing with numerous sales stakeholders.
- Build campaigns and develop a keen understanding of enterprise marketing and how a technology marketing team is run and the kpis + metrics that drive it.
• *AVAILABILITY:**

- Full-time [10-week internship]
- Must be available to start either June 8th, 2021 or June 15th, 2021
• *ABOUT RINGCENTRAL**

RingCentral is the worldwide leader in cloud-based communications. Our software communications platform delivers phone, group chat, mobile communications, video calls, videoconference, contact center and AI-driven digital engagement. It's a powerful, global presence that allows businesses to communicate anywhere, anytime with anyone.

RingCentral is headquartered in Belmont, California and has offices around the world.

RingCentral is an equal opportunity employer that truly values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",https://www.internships.com/posting/wup_83166094122477-1068?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development Intern,PartRunner,Anywhere,"Position: Business Development Intern, Boston. Duration: 2-6 Months (Part/Full-time)

Description of Company:

PartRunner is a new Boston-based startup that is revolutionizing how logistics are done in the Trades, Construction, Service, and Wholesale Distribution Industries. We are a B2B on-demand delivery service and leverage a network of independent drivers that have all types of vehicles from small cars to 24ft Box Trucks. Our platform allows companies to request, manage and track all deliveries.

Our mission is to help companies in their logistics and supply chain efforts to allow them to work more efficiently while at the same time reducing costs.

Position Overview:

We are looking for a flexible, customer-driven, and positive thinker who likes challenges and can adapt to different scenarios when needed. The primary role will be to help in the business development and strategy growth side of the startup.

Responsibilities:

• Develop growth strategies to increase brand awareness and attract a wide variety of customer via marketing campaigns, social media campaigns, etc.

• Engage in Business Development by reaching out to customers & Supply Houses within the Electric, Construction, Plumbing, HVAC, Hardware and other related industries

• Validate sales & marketing strategies to develop ways on how to penetrate market and understand customer’s mindset using social media platforms and related trade events.

• Follow up with current customers and create feedback forms.

• Update Customer Relationship Database (HubSpot) as needed.

• Promote service by different channels, attending (Supply House events, Association Meetings, and bi-annually trade shows).

• On job training will be provided on HubSpot CRM and PartRunner software applications and services with focus on customer types and user breakdown along with general sales and industry knowledge.

Qualifications:

• Bachelor’s in management studies or similar

• Entrepreneurial minded and self-driven

• 3-6 Months of Sales Experience

• Have some knowledge of the logistics in the basic trades or construction industry

• Hungry and eager to grow

• Basic technical knowledge and available to work remotely if required

This will be a remotely administered internship with an immediate starting date upon hire. We will be able to accommodate different schedules and time zones including your academic calendar. In this role you will receive considerable levels of autonomy and ownership over your projects. Due to current market conditions, there will not be any compensation for this role. We will be happy to provide recommendation letters, references, and resume items for your time at PartRunner

PartRunner focuses on Transportation, Construction, B2B Express Delivery, Electrical Distribution, and Hvac. Their company has offices in Boston and Massachusetts. They have a small team that's between 1-10 employees. To date, PartRunner has raised $300K of funding; their latest round was closed on February 2020 at a valuation of $2.5M.

You can view their website at https://www.partrunner.com or find them on Twitter, Facebook, and LinkedIn",https://angel.co/company/partrunner-1/jobs/874873-business-development-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
