title,company,location,requirements,link
2022 - Summer - Consulting Intern - Strategy & Management - Project Management,RSM,"Nashua, NH","As a management consulting intern at RSM, you will workwith businesses in diverse industries and receive hands-on client experiencewith direct access to executive management. Assigned to numerous projects, youwill work on several components of any particular assignment—not just one smallpart—and you will feel a great sense of accomplishment with what youaccomplish. Working in a mutually respectful team environment helps ourconsultants perform at their best and advance their career and professionalcapabilities.

RSM’s management consulting practice helps businessesaccelerate their future. Our management consultants are passionate aboutinnovating to drive business growth. Our collaborative approach incorporatesindustry and functional expertise with a focus on intelligent automation tooptimize and enhance the efficiency of business operations. Our core offeringsinclude business transformation and improvement services for finance andaccounting, technology, human capital, supply chain and operations leaders,along with strategy execution services to drive projects from start to finish.

Consultants provide high value professional services toRSM's clients by performing the duties and responsibilities listed below:

- Meet with clients and conduct management consulting projects based on client needs
- Facilitate workshops to gather and document business needs, requirements, opportunities and challenges
- Assist business representatives, project managers and functional leadership in optimizing the scope, benefits and risks of proposed projects
- Conduct benchmarking research and analysis for business spend, innovation trends and industry practices
- Provide leadership when working with solution vendors
- Prepare reports on RSM services performed for clients, delivering reports where appropriate and discussing results and recommendations with clients
- Work with clients to provide analysis, development and documentation of improvement opportunities; this may include implementation and training components
- Complete client projects effectively and efficiently and maintaining a high level of proficiency and integrity
- Travel to client locations as required

RSM’S MANAGEMENTCONSULTING PRACTICE INCLUDES THE FOLLOWING SPECIALTY AREAS:

- Finance & Accounting
- Human Capital
- Mergers & Acquisitions
- Operations & Supply Chain
- Project Management
- Strategy & Execution
- Technology & Digital",https://jobget.com/jobs/posting/yup_3528_22351861-1115?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Lex Frieden Change Management Consulting Intern - Summer 2021,Anthem,"Nashua, NH","Description
SHIFT: Day Job SCHEDULE: Full-time _Your Talent. Our Vision._ AT ANTHEM, INC., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities.

Join us and together we will DRIVE THE FUTURE OF HEALTH CARE. This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health care companies and a Fortune Top 50 Company. Anthem seeks innovative, high energy problem solvers to work with and learn from cross-functional teams as we transform the way we generate value for our customers by: - Creating proactive and personalized experiences for customers - Driving cross-functional connectivity in what, why, and how we deliver to our stakeholders - Rethinking how, where and by whom work gets done to make a difference in the communities we serve - Building accountability for delivery of people process, and technology improvements and subsequent value realization - Advancing key behaviors and mindset changes to scale customer-centricity across the enterprise - Accelerating organizational change as a change management champion Our internship program is designed to strengthen your understanding of the healthcare industry and prepare you for future opportunities through: - Meaningful work contributions aligned to our efforts to improve stakeholder experiences - Leadership exposure and networking opportunities - Targeted training and enrichment experiences that develop your business acumen and provide deep insight into the many facets of healthcare - Connections to enterprise and business unit intern cohorts - Focused and intentional mentoring and support from a team that is fully invested in your success - Access to our extensive training and development resources, tools and classes Examples of past intern projects include: - Artificial intelligence pilot to predict patient care needs - ID card pilot for address management system - Change management training module creation and rollout - Salesforce intake and workflow creation - Clinical decisioning framework development",https://www.genzjobsearch.com/Nashua-New-Hampshire-USA-job/LEX-FRIEDEN-CHANGE-MANAGEMENT-CONSULTING-INTERN-SUMMER-2021/d592f2adb8797763/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Consulting Intern,Aciron Consulting,"Cambridge, MA (+1 other)","Company Description

Aciron Consulting, Inc. is a business management and technology consulting firm based in Cambridge, Massachusetts, USA. Combining in-depth technical and industry experience with a commitment to building collaborative relationships with clients, we deliver innovative services and solutions that meet clients' most complex business and technical needs.

At Aciron, we apply the same values and beliefs to our staff as we do to our clients and we truly believe in fostering open communication, collaboration, and innovation in the workplace. Our people-centric approach and entrepreneurial work environment allow you to discover and cultivate your passions, learn from and work closely with talented colleagues, and shape your own professional development and career.

Job Description

We are currently seeking a Consulting Intern. The intern will support the Aciron team in helping clients achieve more efficient processes and in developing innovative, user-friendly technology solutions. The intern will be exposed to real world challenges and rewarding experiences, including participating in the documentation, design, and research processes and in ensuring optimal user experiences and client satisfaction. The ideal candidate must have a strong a desire to gain exposure to the consulting field, excellent verbal and written communication skills, and be motivated to learn.

What will I be doing?
• Providing design and strategy support for the development of custom web application solutions
• Assisting in delivering optimal user experiences
• Researching and implementing best design and user experience ideas and strategies
• Assisting with capturing and documenting client needs
• Creating requirements specification documents and PowerPoint presentations
• Supporting client projects and internal initiatives by producing high-quality deliverables and participating in meetings and brainstorming sessions
• Conducting thorough industry and client research and analysis
• Assisting with ensuring that company application solutions comply with defined requirements
• Collaborating with cross-functional teams to assist with business development, product development, and marketing efforts

Qualifications
• Current undergraduate student or recent graduate
• Strong desire to learn about business and consulting
• Interest in working in a small business environment
• Excellent written and verbal skills
• Understanding of human behavior and interactions with web applications
• Highly creative with interest in user experience design
• Ability to work independently as well as collaboratively
• Ability to plan and organize projects, prioritize, and multitask
• Team player with positive and proactive attitude
• Dependable and responsible

Additional Information

All your information will be kept confidential according to EEO guidelines.

Please apply with a resume and a cover letter. In addition, please note that we will be reviewing applications as they arrive, so please apply at your convenience",https://jobs.smartrecruiters.com/AcironConsulting/743999653881517-consulting-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2022 - Summer - Consulting Intern - Management - Business Transformation ...,RSM US LLP,"Boston, MA","As a Management Consulting (MC) intern at RSM, you will work with mid-sized businesses in diverse industries and receive hands-on client experience with direct access to executive management. Assigned to numerous projects, you will work on several pieces of any particular assignment—not just one small part—and you will feel a great sense of accomplishment on what you learned once done. Working in a mutually respectful team environment helps our consultants perform at their best and advance their career and professional capabilities.

RSM’s MC practice helps businesses accelerate their future. Our Management Consultants are passionate about innovating to drive business growth. Our collaborative approach incorporates industry and functional expertise with a focus on intelligent automation to optimize and enhance the efficiency of business operations. Our core offerings include business transformation and improvement services for finance and accounting, technology, human capital, supply chain and operations leaders, along with strategy execution services to drive projects from start to finish.

Consultants provide quality professional services to RSM's clients by performing the duties and responsibilities listed below:

Meet with clients and conducting management consulting projects based on client needs
Facilitate user workshops to gather and document business needs, requirements, weaknesses and challenges
Assist business users, project managers and IT leadership in optimizing the scope, benefits and risks of proposed projects
Conduct benchmarking research and analysis for IT spending, trends and industry practices
Provide leadership in working with solution vendors
Prepare reports on consulting services performed for clients, delivering reports where appropriate and discussing results and recommendations with clients
Work with clients to provide analysis, development and documentation of improvement opportunities; this may include implementation and training components
Complete client projects effectively and efficiently and maintaining a high level of proficiency
Travel to client locations as required

RSM’s Management Consulting Practice includes the following specialty areas:
Finance & Accounting
Human Capital
Operations & Supply Chain
Project Management
Technology & Digital

Basic Qualifications:
Working towards a B.A. or B.S. degree or equivalent from an accredited university in the field of Accounting, Finance, Business Administration, Computer Science, Information Systems, Economics, Human Resources, Math, Organizational Development, Supply Chain or other related concentration
Travel to assigned client locations locally and nationally is required. Must have access to and ability to arrange for use of reliable modes of transportation to those locations
Ability to travel up to 40% locally and nationally
A minimum 3.0 GPA is preferred

You want your next step to be the right one. You've worked hard to get where you are today. And now you're ready to use your unique skills, talents and personality to achieve great things. RSM is a place where you are valued as an individual, mentored as a future leader, and recognized for your accomplishments and potential. Working directly with clients, key decision makers and business owners across various industries and geographies, you'll move quickly along the learning curve and our clients will benefit from your fresh perspective.

Experience RSM US. Experience the power of being understood.

RSM is an equal opportunity/affirmative action employer. Minorities/Females/Disabled/Veterans","https://www.glassdoor.com/job-listing/2022-summer-consulting-intern-management-business-transformation-cio-services-rsm-us-JV_IC1154532_KO0,77_KE78,84.htm?jl=4015871109&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
2022 - Summer - Consulting Intern - Technology - Finance & Accounting...,RSM,Massachusetts,"FINANCIAL AND ACCOUNTING OUTSOURCING INTERNS

POSITION DESCRIPTION:

FAO Interns support the finance and accounting functions for small and medium sized companies in various industries. Interns work directly with clients to support all areas of finance and accounting, particularly in the areas of bill pay, billing, month-end close and financial reporting. FAO Interns also help client management review and analyze periodic financials to understand and explain fluctuations in clients’ businesses. Through this, FAO Interns develop a deep understanding of our clients’ industries and how the finance and accounting functions work within their businesses. FAO Interns also participate in and support FAO technology implementations for ERP, accounts payable, time and expense, and month-end close systems.

RSM’s FAO practice prides itself on the processes and technologies they have built to remain efficient, scalable and to produce high quality deliverables. As an FAO Intern, you will learn the “best” way to design and support client finance and accounting functions, which is the core understanding required to become a valuable consultant.

RESPONSIBILITIES:

This is a hands-on position that requires extensive communication and coordination across multiple parties. Duties performed on behalf of clients include:

- Manage Accounts Payable and Accounts Receivable functions
- Perform month-end reconciliations of all balance sheet accounts
- Perform P&L review over client operations
- Support FAO technology implementations by documenting future processes and assisting with system configuration
- Provide recommendations on how to improve client and RSM operations",https://www.internships.com/posting/wup_496067498300648-689?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Consultant Relations Intern,Aerohive Networks,Anywhere,"There has never been a better time to join Extreme, after three acquisitions extending our portfolio and go to market strategy, we have seen enormous opportunity and growth within the regions. Aside from being a Technology Leader in the Gartner Magic Quadrant, we also adamantly promote an internal culture that truly embraces diversity, inclusion and equality in the workplace. Having Diversity and Inclusion as part of our core values and beliefs, we're proud to foster an environment where every Extreme employee can thrive because of their differences, not despite them.

Responsibilities
• Assist the team with all production elements of new and repurposed content driven by content team including writing support, editorial reviews, publishing, and distribution.
• Draft the monthly consultant eNewsletter.
• Research industry trend topics and provide lists of content.
• Manage communications calendar and draft and schedule social posts
• Keep a list of available videos, reference architectures, and case studies.
• Gather metrics on opens, click throughs, and form-fills.
• Draft outbound marketing emails.
• Set up briefing calls via the zoom platform.
• Research target consulting companies and identify new targets.

Skills
• Excellent writing, communication, and proofreading skills
• Full competence with Microsoft Word, PowerPoint, and Excel
• Familiarity with social media, especially Twitter, LinkedIn, and Facebook
• Ability to work at a fast pace, handling multiple projects at once
• Preferred majors - Communications, Journalism, Marketing, Business Administration, Advertising, English, and others with a stress on communications skills

What you will learn as a Marketing Intern at Extreme Networks:
• What it's like to be a part of a fast-paced marketing team
• A solid understanding of sales channels and IT distribution concepts
• How to communicate between multiple departments in a large technology company
• Improved skills in Microsoft Outlook, Word, Excel and PowerPoint
• A professional marketing vocabulary
• The components of a comprehensive marketing plan
• How to measure results of actual marketing activities
• An understanding of a marketing budget

Extreme Networks, Inc. (EXTR) creates effortless networking experiences that enable all of us to advance. We push the boundaries of technology leveraging the powers of machine learning, artificial intelligence, analytics, and automation. Over 50,000 customers globally trust our end-to-end, cloud-driven networking solutions and rely on our top-rated services and support to accelerate their digital transformation efforts and deliver progress like never before. For more information, visit Extreme's website or follow us on Twitter, LinkedIn, and Facebook.

We encourage people from underrepresented groups to apply. Come Advance with us! In keeping with our values, no employee or applicant will face discrimination/harassment based on: race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. Above and beyond discrimination/harassment based on ""protected categories,"" Extreme Networks also strives to prevent other, subtler forms of inappropriate behavior (e.g., stereotyping) from ever gaining a foothold in our organization. Whether blatant or hidden, barriers to success have no place at Extreme Networks","https://www.ziprecruiter.com/c/Aerohive-Networks/Job/Consultant-Relations-Intern/-in-Salem,NH?jid=019737e8604bb8de&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Intern,FTI Consulting,"Boston, MA","About the Company:

Compass Lexecon, one of the world's leading economic consulting firms, specializes in financial and economic analysis of issues that arise in regulatory, policy and litigation matters. Compass Lexecon has been engaged by Fortune 500 corporations, government entities, and others to assist in numerous high profile mergers, government investigations, and private litigation matters in the United States and worldwide. Compass Lexecon provides state of the art economic research capabilities that combine the academic, private-sector, and public-sector expertise of in-house economists and academic affiliates.

About the Opportunity:

Compass Lexecon is interviewing for the position of Summer Intern with a start date in June 2021.

Compass Lexecon is committed to providing opportunities to students who have been historically underrepresented in economic consulting firms. We strongly encourage underrepresented minorities and women to apply.

The position demands knowledge of or interest in economics, a broad range of research skills, and the ability to perform quantitative analysis. Summer Interns work with case teams in nearly all aspects of our projects including a variety of quantitative and qualitative tasks, such as: (a) gathering data and performing analyses, including spreadsheet modeling; (b) conducting industry research; (c) reviewing analyst reports and business documents produced in litigation; (d) assisting with the production of expert reports, government filings, and client presentations; (e) ensuring the quality of all work product; and (f) providing administrative support.

Key Responsibilities:

We seek candidates with strong academic backgrounds who are completing his or her junior year of college. Individuals who have completed significant coursework in economics and mathematics (or other quantitative disciplines) are encouraged to apply. Knowledge of Excel and statistical programming packages such as STATA or SAS are preferred, but not required. Candidates must be highly motivated, analytical, detail oriented, able to work independently or in teams, and have excellent oral and written communication skills.

Summer Interns are expected to work a minimum of 40 hours per week for seven weeks. Compensation is consistent with paid internships at other major economic consulting firms.

A cover letter, resume, and transcript must be submitted in order to be considered for the position.

Due to the large volume of applicants we request no phone calls, please.

Compass Lexecon is an Equal Opportunity/Affirmative Action Employer including Vets and Disabled",https://www.linkedin.com/jobs/view/intern-at-fti-consulting-2291817110?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Fall 2019, Consulting Intern, Mental Health Incubator | Harvard Innovation...",Ignite Mental Health,"Boston, MA","Do you want to learn how to improve the world? Ever wonder what it would be like to be able to get in at the ground level working at a world-changing organization just as they started growing rapidly with a team of less than twenty? Do you want to be a part of building an organization helping mental health entrepreneurs and ChangeMakers as they scale to impact the lives of 1000's, 100,000's or 1,000,000's and secure $XX M+ funding?

At Ignite Mental Health we're mobilizing, supporting, and uniting mental health entrepreneurs/ organizations while concurrently mobilizing students at scale, to achieve Three Utopian Mental Health Goals. Using this novel approach, we're working to make the impossible inevitable; helping build and scale breakthrough organizations and movements to be as impactful as Facebook and Google but in addressing the root causes of some of the biggest problems affecting mental health!

Become a member of a mission-driven founding team that grew rapidly from the Harvard and MIT communities with the help of the Harvard Innovation Labs Venture Incubation Program, to become a nationwide effort in just 9 months!

As a member of the Ignite team, you will perch atop a world-changing organization and have the opportunity to learn, grow, and hopefully thrive in a fast-paced, entrepreneurial, and impact-driven environment. On a daily basis, you will likely find yourself exposed to new perspectives, developing and growing in ways you did't expect you would!

If you're looking for a structured, predictable, and hold-your-hand type environment, Ignite unfortunately won't be it! Tenacity, a go-getter/self-starter mentality, and a willingness to speak up and fully embrace radical candor are essentials. As too is the desire to work in a nimble fast-paced startup, where bottlenecks, imperfect processes, and growing pains are the norm on the road to world-changing success.

Curious about how transformative and unique your experience with us could potentially be? Find out for yourself by contacting any of our past or current interns on LinkedIn!

FYI talent comes in all forms and sizes, we’re not easily dazzled by big-brand schools or companies. We are dazzled by people who genuinely want to improve the world and who have the growth mindset and chops to make it happen!

Our ambition is to help build organizations, movements and products —unafraid of transforming traditional approaches—that tackle the root causes of some of the biggest problems affecting mental health.

Are you in?

NB: This position is at a non-profit mental health organization and is non-compensated. For candidates who are in University /a co-op, we gladly invest best efforts in assisting you in your securing of educational internships (for credit), financial stipends, financial fellowships or financial scholarships to cover your living and other costs while with us.

Ignite Mental Health is a non-profit organization founded and run by Harvard students and incubated by the Harvard Innovation Labs VIP program. We are not a department of Harvard University, nor are we in anyway owned or operated by the University.

Keep up to date with upcoming opportunities at Ignite by following us on Instagram or www.ignitemh.org

Ignite Mental Health focuses on Health Care Information Technology, Nonprofits, Health and Wellness, Non Profit, and Mental Health. Their company has offices in Cambridge and Alston. They have a small team that's between 11-50 employees.

You can view their website at http://www.ignitemh.org or find them on LinkedIn",https://angel.co/company/ignite-mental-health/jobs/587398-fall-2019-consulting-intern-mental-health-incubator-harvard-innovation-lab-mit-area-non-profit?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Learn2Lead Consulting Summer Leadership Program,Ignite Mental Health,"Boston, MA",,https://angel.co/company/ignite-mental-health/jobs/587398-fall-2019-consulting-intern-mental-health-incubator-harvard-innovation-lab-mit-area-non-profit?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Client Consulting Associate (Summer 2021 Undergraduate Intern) Nashua NH,Visa,"Nashua, NH","COMPANY DESCRIPTION

As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, Visa. Net, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company's dedication to innovation drives the rapid growth of connected commerce on any device, and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce. At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers. YOU'RE an Individual. WE'RE the team for you. TOGETHER, let's transform the way the world pays.

JOB DESCRIPTION

PLEASE NOTE: This summer internship role will be fully virtual. Application deadline is 3/5/2021, interviews mid March, offers out by end of March. The Visa Consulting and Analytics team is looking for interns to support the team on strategic consulting engagements. The ideal candidate is a highly analytical individual ideally with previous business experience. Typical projects may include:- How does a financial institution increase market share in consumer credit cards
- How should a credit card issuer use emerging technology to acquire the best customers
- How does a financial institution grow their credit card portfolio while mitigating credit risk
- How does a financial institution optimize their product offering

RESPONSIBILITIES:

- Play an integral role on a team of experienced professionals in delivering strategic consulting services to key Visa clients- Complete consulting engagements with other team members, including participating in interviews, analyzing confidential client data, and summarizing key findings- Conduct industry research and identify internal and external data resources to create custom analytics- Complete detailed analysis on client data and identify preliminary trends and themes in the data- Develop client-specific presentations which address executive needs and deliver presentations to clients and internal Visa partners

WORK AUTHORIZATION:

- Authorization to work in the U. S. is a precondition of employment for this position. Visa will not sponsor applicants for work visas in connection with this position.

LOCATION:

- Remote - Virtual internship- By applying to this position,you are open to working in one of the following locations if you receive a full time return offer: Foster City, CA; San Francisco, CA; Ashburn, VA; New York City; Atlanta, GA.

WORK HOURS:

- Incumbent must make themselves available during core business hours.

TRAVEL

- No travel required

PHYSICAL REQUIREMENTS

- This position will be performed in an at-home office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers, reach with hands and arms.

EEOC

- Visa will consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law",https://eastcoastjobsearch.com/post/postm?postid=7146170&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
