title,company,location,requirements,link
Corporate Strategy Intern,Inari,"Cambridge, MA","About The Internship…

We are looking for a current MBA candidate with an interest in agriculture and sustainability to join the Inari team for a 10 week paid summer internship. Inari is one of the fastest growing and most innovative agriculture & biotech companies. The Intern will work directly with our CFO on a range of strategic projects for the company with a special focus on ESG-related topics.

As a Corporate Strategy Intern, you will…
Work on a range of strategic topics for the company with a special focus on how Inari and its technology will contribute to the environmental footprint of our food system
Work with a small team of leaders in the company to develop and document an ESG Plan as a key deliverable of the internship. This Plan will identify key environmental objectives which are tied to our corporate strategy, drafting metrics, etc. using an existing framework such as SASB.
Support Inari’s work with the World Economic Forum where Inari is supporting development of innovative guidelines
Independently prepare analyses and present your results to senior stakeholders within the company
Build analytical models to support your analyses and prepare presentation decks
Get direct exposure to Inari’s top management on a daily basis
Experience a rapidly evolving and high-growth startup environment

You bring…
A passion for and track record in sustainability and climate change
Experience or a strong interest in agriculture and biotechnology
Previous work experience in management consulting, banking, venture capital or a startup
A strong interest in improving our global food system
Strong communication and presentation skills - written, visual (i.e. presentations) and oral
Substantial experience with Microsoft Office (PowerPoint, Excel) and/or GSuite (Slides, Sheets)
Curiosity and a desire to continuously learn and have a meaningful impact
Creative thinking",https://www.linkedin.com/jobs/view/externalApply/2492460263?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Finariagriculture%2Fjobs%2F5176890002%3Fgh_src%3Dc456a0f02us%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=B9Kj&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=hB1y6%2BhZYgPvbiO9NXDR3A%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern,Chegg Inc.,"Providence, RI","Corporate Strategy Intern

Corporate Development and Strategy Team | Chegg
Remote, United States

Your goal - to improve the education process and better the lives of students -- by interning in Chegg’s Corporate Development and Strategy group.

Organization: Corporate Development and Strategy

The Corporate Development and Strategy team is an integral part of Chegg - We work closely with the C-team to develop and execute the company’s overall strategy. Execution of strategy includes making decisions around whether the company should buy, build or partner, and therefore is closely tied to the Corporate Development function. Our small team is comprised of analysts, strategists, thought leaders, relationship builders, and dealmakers. The team drives to an understanding of relevant markets, builds out the landscape, sources deals, negotiates and closes transactions, and then develops and manages the integration plan. We also conduct market and competitive research into education trends and areas of future opportunity.

Role: Corporate Development and Strategy Intern

We’re looking for a highly motivated intern to help our team work on strategic projects in concert with the company’s business and product leaders. You will conduct research in support of our strategic roadmap and work across a number of business units, including Learning Services, Skills, and Life. The right candidate will be a self-starter with strong organizational skills and have the ability to think critically about industry and company trends.

Responsibilities
Research EdTech trends to help determine areas of opportunity and further develop our thesis on the education market and its competitive landscape
Analyze other education companies and make assessments regarding their potential as partners, competitors, investment candidates, or acquisition opportunities
Support strategic initiatives such as international expansion, product and audience expansion, partnerships, and investment opportunities
Partner with business and product leaders to develop business cases
Present key findings and recommendations to executives

Requirements
A rising sophomore or junior currently pursuing a bachelor’s degree in business, finance, economics, or a related field from an accredited four-year college or university
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder).
Have the ability to work for a continuous 12 weeks in the summer
Have the ability to work 40 hours per week
Strong analytical and communication skills
Advanced knowledge of MS Office (Outlook, Excel, Word, and PowerPoint)
Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple teams; interest in Chegg’s mission
Ability to think critically and work autonomously in both well-defined and ambiguous project environments

Nice To Have
Experience with market research and business analysis
Demonstrated passion for education and technology
Project or internship experience in investment banking, private equity, venture capital, or consulting
Project or internship experience in the education industry
What project will the intern work on?

The strategy intern will support a variety of initiatives, including contributing to the strategic planning of Chegg’s expansion into new international markets for our Learning Services and Skills business units and new non-academic verticals related to our Life business unit. Through primary and secondary research, the intern will develop an understanding of our focus markets, map the competitive landscape in each of these markets, and meaningfully shape Chegg’s entry strategy in these markets. Through their support of these initiatives, the intern will work closely with the Strategy & Corporate development team, as well as cross-functionally with a variety of Chegg’s business units.

What skills will the intern gain?
Advanced Excel
Market research
Business analysis
Basic accounting

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2446378403?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OYHTEFWW%2F&urlHash=Jmsy&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=pZNGffTo6W5yws%2Fgr0PyyQ%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Development & Strategy - Summer Intern (Graduate),A+E Networks,"New York, NY","The A+E Corporate Development & Strategy Summer MBA Intern will be responsible for assisting in the development and execution of strategic initiatives to advance A+E Networks. This role will consider emerging industry trends, expansion opportunities, competitive threats, acquisition targets, and areas for internal business performance improvement. The position offers unique exposure to a wide variety of businesses within the media and entertainment industry.

The Corporate Development & Strategy Intern will work with the CD&S team to:

Develop a strategic vision around a business focus for A+E Networks. This intern will identify business opportunities, develop a long-term strategy, and provide actionable steps to capitalize on the opportunity. Work will include:
Identify business topics within A+E for which long term strategic planning could expedite decision making
Meet with key decision makers as well as CD&S team to prioritize topics and select summer focus
Deep dive with business unit and CD&S team on selected topic. Research, investigate, and model potential opportunities
Create a strategy deck laying out the business landscape and finishing with recommendations for A+E
Present strategy to A+E executives and CD&S team
Support the CD&S by identifying and developing growth opportunities (Organic, M&A, Investments, Joint Ventures) within media, technology, and entertainment with impacts to A+E’s business strategy and operations. Work may include:
Connect with internal operators, industry analysts, investor community, and CD&S counterparts to uncover new opportunities and perspectives to help augment and grow A+E’s business
Provide qualitative and quantitative research reports and participate in decision making to move forward
Review and analyze data rooms as part of due diligence process for A+E corporate transactions
Develop robust financial models and projections highlighting the risks and benefits
Build strategy presentations for internal management to update them on CD&S team success

Qualification Requirements
Currently enrolled graduate student, having completed at least one semester of post graduate work
Strong quantitative skills, advanced knowledge of Excel and PowerPoint, comfortable working with large amounts of data
Strong problem-solving skills including project prioritization, critical thinking and hypothesis development
Ability to develop cogent arguments and present them concisely to a range of stakeholders, including executives
Preferably a GPA of 3.0 or higher",https://www.linkedin.com/jobs/view/externalApply/2403721457?url=https%3A%2F%2Faenetworks%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FAE-Careers%2Fjob%2FNew-York%2FCorporate-Development---Strategy---Summer-Intern--Graduate-_R0003523%3Fsource%3DLinkedin&urlHash=PcE_&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=uPHF60BMWiCuVBzyArhONg%3D%3D&trk=public_jobs_apply-link-offsite
"Summer Graduate Intern, Strategy & Corporate Development",Kaiser Permanente,"Los Angeles, CA","Description

The Permanente Federation LLC (the Federation) is the national leadership and consulting organization for the eight Permanente Medical Groups (PMGs), which, together with the Kaiser Foundation Health Plans and Kaiser Foundation Hospitals, comprise Kaiser Permanente. The PMGs employ more than 22,000 physicians, approximately 90,000 nurses and other clinicians, and provide care to over 12 million Kaiser Permanente members. The Federation works on behalf of the PMGs to optimize care delivery and spread Permanente Medicine – medicine that is patient centered, evidence based, technology enabled, culturally responsive, team delivered, and physician led. The Federation, based in Oakland, California, fosters an open learning environment and accelerates research, innovation, and performance improvements across the PMGs to expand the reach of Kaiser Permanente’s integrated care delivery model and to lead the nation in transforming care delivery.

The Strategy & Corporate Development team at TPF seeks a graduate-level summer intern for 2020. This is an exciting opportunity for a Master’s candidate to help guide Kaiser Permanente’s strategy for care delivery optimization. The intern will support a variety of impactful projects on a fast-paced and experienced team. Projects will vary dependent on future needs of the team, but tasks may include: - Evaluate or develop strategic relationship options for Kaiser Permanente. Develop financial models and support planning for care delivery optimization. Support PMGs with business development, shared services, or new venture projects. Develop white papers, competitive intelligence briefs, or other strategic communications. Applicants MUST currently be enrolled in a fully accredited MBA or other related Master’s program (e.g. Health Care Administration).

Essential Responsibilities

Support the development of Permanente Medicine related strategies.
Financial analysis and model development.
Development of white papers, thought pieces, or other communications.
Other responsibilities as assigned.

Experience

Basic Qualifications:
Minimum one (1) year of professional experience in corporate strategy, business development, merger & acquisition/transactions, management consulting, or other health care and business-related function.

Education
Bachelor’s degree
Currently pursuing a MBA, MPH, or other Master’s degree in finance, economics, health care policy, or health care management related field.

License, Certification, Registration
N/A

Additional Requirements
Demonstrable experience and interest in health care business administration & management.
Ability to independently define, structure, and execute complex analytic exercises.
Ability to structure projects with uncertain (or yet to be defined) outcomes.
Possess solid problem solving and critical thinking skills.
Ability to manage projects and workstreams end-to-end with minimal supervision.

Preferred Qualifications
Strong financial modeling and analysis experience.",https://www.linkedin.com/jobs/view/externalApply/2458221686?url=https%3A%2F%2Fwww%2Ekaiserpermanentejobs%2Eorg%2Fjob%2Fcalifornia%2Fsummer-graduate-intern-strategy-and-corporate-development%2F641%2F19038137&urlHash=OIqW&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=UdPzxNCoDeYlLZoJTHscDQ%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern,Humana,"Louisville, KY","Description

Corporate Strategy Intern

Role: Corporate Strategy Undergraduate Intern
Assignment: Corporate Strategy Team
Location: Virtual

Humana Overview

Humana is a national leader in transforming the way health care is delivered, aiming to deliver a simple and connected care experience to seniors living with chronic medical conditions. In addition to our market leading Medicare Advantage and Medicare Prescription drug businesses, Humana continues to invest in developing a robust integrated care delivery model that integrates insurance with high value health care services, such as Primary Care, Home Care, and Pharmacy. Humana operates the 4th largest PBM, 8th largest dispensing pharmacy, owns a major stake in the nation's largest home health care and hospice operator (Kindred at Home), and is quickly growing a portfolio of owned and joint venture senior-focused primary care assets including, Partners in Primary Care, Conviva, JenCare, and Iora. Humana is also a leader in digital health technology, with our Digital Health & Analytics function launched in 2018, and Author by Humana launched January of 2021. Humana is consistently recognized as a top place to work in healthcare, especially in areas of Diversity and Inclusion.

Responsibilities

Corporate Strategy Internship Program

Humana's Corporate Strategy team is looking for high potential undergraduates from top-tier universities and programs wanting to accelerate their career development and contribute to driving disruption in the health care industry by participating in a summer internship program focused on building the necessary skills and industry acumen for future corporate strategy and strategic consulting professionals.

Recent Work Includes

Humana's Corporate Strategy team is a part of the Office of the Chief Strategy Officer, which is Humana's end-to-end strategic growth enablement function. The Office is composed of several teams which collectively own setting the strategic direction for the company, executing M&A/Joint Ventures/Strategic partnerships/venture investments to accelerate our strategy, managing the execution of the strategy, and integrating assets and driving value capture.
Launched Author by Humana, a tech-enabled, personalized health plan
Launched strategic partnership with Heal, to deliver primary care telehealth visits to Humana members in their Home
Partnered with private equity to purchase Kindred at Home and Curo Health Services and create the nation's largest Home Health and Hospice company as part of a broader strategy to transform the delivery of healthcare in the home (Named Private Equity Deal of the Year)
Made minority investment and deepened strategic relationship with Iora Health, a leading technology driven, value-based primary care start-up
Launched Conviva, a leading payer agnostic value-based primary care provider, by consolidating Humana's collection of owned and JV primary care assets in Florida and Texas under a single physician-driven brand and innovative structure and operating model
Partnering with Enterprise Leadership to articulate Humana's strategic direction and accomplishments for bi-annual Investor Day
Humana's Corporate Strategy team is a small, high-performing group that works closely with Humana's senior leadership to chart the course for the company's future. In Strategy, you will identify and analyze exciting new growth opportunities and work with business leaders to prioritize strategic investments and execute strategic transformation. The Strategy team has weekly meetings with Humana's CEO and management team and frequently presents strategy updates to the Board of Directors. The intern role is modeled after top-tier management consulting experience. As such, day-to-day activities will include researching industry trends, high level quantitative analysis and financial modeling, and synthesis of strategic options as input to executive level deliverables and recommendations for Humana's senior leaders and Board.

The program will be offered as both a one and two-year opportunity, depending on the projected graduation date of applicant. Interns will gain exposure to all teams within the Office of the Chief Strategy officer over the course their tenure, based on interests and field of study. The program will take place virtually, from May 17th - August 6th 2021.
You are currently a Junior or Senior undergraduate student for Academic Year 2020/2021 planning to graduate after December 2021
Demonstrated strong academic performance (e.g. strong GPA, academic awards)
Proven leadership ability through academic and extracurricular experiences
Strong interpersonal and written/oral communication skills
Demonstrated interest in healthcare through internships or extracurricular experiences preferred
Commitment to innovative thought, strategic thinking, and making a difference
Ability to work independently and on a team
Scheduled Weekly Hours
40",https://www.linkedin.com/jobs/view/externalApply/2466670008?url=https%3A%2F%2Fhumanainc%2Econtacthr%2Ecom%2F81812931&urlHash=WHpH&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=zxBfFx%2FzyFWaubooGvtPPg%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern,Phlow Corporation,"Richmond, VA","Reports to: Administration

Length: 10 weeks, 40 hours/week

Start Date: June 7

Apply By: April 16

Role: Provide innovation strategic plan support in a trailblazing essential medicines impact company by gathering competitive intelligence and conducting analyses in the healthcare space. This work will provide C-suite exposure and will be incredibly valuable in helping to inform the steps forward surrounding innovation for a rapid growth, mission-focused organization.

Responsibilities:

Financial modeling and forecasting
Support the building of business plans
Market research and landscape analysis
Perform other duties as assigned/required

Qualifications:

Ability to self-manage and adapt in a fast-paced, high-growth environment
Experience in building business plans as well as market research and landscape analysis
Basic financial modeling skills
MBA candidate with a finance or data analytics specialization preferred

About Phlow: Phlow Corp. is a trailblazing, essential medicines impact company that is reimagining essential medicines from start to finish through the use of flow chemistry. Everything Phlow does is designed to promote access to affordable, high-quality essential medicines for all Americans. Phlow provides a solution to the broken essential medicines supply chain by offering a resilient end-to-end solution that is U.S.-based, comprehensive, and fully integrated. With the support of an industry leading team, experienced strategic partners, and established relationships at the policy, regulatory, and federal levels, Phlow will manufacture active pharmaceutical ingredients (API) and finished pharmaceutical products, domestically for essential medicines critical to the Nation's healthcare. Through the use of continuous-flow technology and green chemistry, Phlow is able to reduce costs and waste, improve quality and yield, and offer a more environmentally friendly alternative to batch manufacturing.

Phlow's commitment to diversity includes recognition that our mission is best advanced by the leadership and contributions of colleagues of diverse backgrounds, beliefs, and culture. Recruiting and mentoring staff to create an inclusive organization that reflects our shared values is a priority.

Corporate Social Responsibility: At Phlow, we recognize and put great value in our responsibility to all of our stakeholders. This is why Phlow pays attention to the triple bottom line, which considers social, environmental, and financial sustainability. Team members are expected to understand these concepts and consider the triple bottom line in daily decision making.

EEO Statement:   Phlow provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability or genetics. In addition to federal law requirements Phlow complies with applicable state and local laws governing nondiscrimination in employment in every location in which the organization has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

At Phlow, we are committed to our people. We strive to create a best workplace in the world through providing world class benefits and creating a culture around our shared values. We are proud to be a certified Great Place to Work. Find out more about what makes Phlow a great place to work here.

Powered by JazzHR

wrUytx6TJT",https://www.linkedin.com/jobs/view/externalApply/2466670008?url=https%3A%2F%2Fhumanainc%2Econtacthr%2Ecom%2F81812931&urlHash=WHpH&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=zxBfFx%2FzyFWaubooGvtPPg%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Intern - Strategy/Internal Consulting,"Ross Stores, Inc.","Dublin, CA","Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!

General Purpose

As a Corporate Intern at Ross you will have the opportunity to experience the world of off-price retail and be a part of a growing Fortune 500 company. This position is based in Dublin, California at our corporate headquarters. This internship prepares students for a potential career in retail, allowing you a real-world perspective on a career at Ross. Interns will gain insight into the objectives of their department and the daily responsibilities of an analyst at Ross.

Skills

The ideal Intern candidate for the Strategy Department will have an interest in management consulting and business strategy and will possess the following skills

Intellectual curiosity (candidate proactively pursues learning opportunities)
A clear understanding of basic business, financial, statistical, and economic concepts
Strong analytical and problem solving skills
Strong written and oral communication skills
Able to work effectively both individually and as a member of a team

The Strategy Intern will gain exposure to multiple areas of the business, interaction with Senior Leadership, project management experience and the opportunity to learn new software.

Strategy Serves Two Main Functions

""Internal consulting"": Strategy supports other departments on projects where they do not have either the capacity or the analytical capabilities to do the work themselves. Strategy's role includes managing cross-functional teams, breaking down complex problems, and communicating with executives.
Business strategy: Strategy is responsible for analyzing the external environment (competitors, consumer preferences, and the economy) in an effort to develop long-term strategic growth options and competitive responses to industry forces.

Examples Of Possible Projects Include

Business performance drivers - Analyze various performance metrics (often at the store level) including sales, transactions, and inventory
Consumer research - Conduct and analyze quantitative and qualitative consumer research in order to better understand our customers' attitudes and behavior (e.g. which product categories are most important to shoppers, how do customers view Ross vs. our competitors)
Cross-functional initiatives - Collaborate with other departments to conduct analyses for key executive-level priorities (e.g. new store format improvement, roll-out strategy for new business opportunities)

Intern Program Outline

The Ross Intern program is a 10-week full-time program (40 hours per week) for college level Juniors, starting in early June ending mid-August. The Intern Program will cover training on project related responsibilities, ownership of a department related project as well as exposure to senior leadership and other departments within Ross corporate.

The main component of the internship will be to analyze a business project within your department while participating in daily department activities. Interns will be expected to present a final project analysis and presentation.

Competencies
Problem Solving
Communication
Learning on the Fly
Time Management
Integrity
Excel / PPT Skills

Qualifications And Special Skills Required
Must currently be enrolled in 4-year college degree program; must currently be in Junior standing with expected graduation between December 2021 and August 2022
MS Office with strong practical application of Excel skills
Ability to demonstrate use of PowerPoint skills
Strong analytical skills with spreadsheet applications
Strong written and verbal communication skills
Able to work in a fast paced environment
Organized and detail-oriented
Retail experience a plus

Physical Requirements/Ada

Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.

DISCLAIMER
This position description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.",https://www.linkedin.com/jobs/view/externalApply/2478000236?url=https%3A%2F%2Fjobs%2Erossstores%2Ecom%2Fsearch%2Fjobdetails%2Fcorporate-intern---strategyinternal-consulting%2F44d87711-7451-4677-913b-d1ab251710ee%3Futm_campaign%3Dlinkedin_organic%26utm_source%3Dlinkedin%26utm_medium%3Dorganic_job_board&urlHash=rTsB&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=1Ct%2B0i3pdP%2FOC3OANPOglg%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern,Cboe Global Markets,"Chicago, IL","Responsibilities

Job Description
Conduct industry and product research across varying entities, business lines and geographies as inputs for financial modelling and valuation
Build analytical frameworks and conduct analysis on M&A targets including strategic fit, benchmarking, business case development
Provide support for Corporate Strategy team across the development, communication and execution of various corporate strategy objectives

Requirements
Undergraduate student with an outstanding record of academic achievement and an interest in the financial markets, pursuing a bachelor’s or master’s degree in Finance, Business Strategy, Economics or a related field
High level of efficiency, accuracy and responsibility with the ability to manage multiple assignments & priorities, work well on a team, have excellent and demonstrated organizational and communication skills
Knowledge, Interest or desire to learn about global financial markets with an emphasis on derivatives and financial technology
Experience or interest in financial modelling and analysis
Strong analytical and research skills and ability to succinctly synthesize findings
Working Knowledge of Microsoft Office products including Excel, Word and PowerPoint.

Cboe Global Markets is an Equal Opportunity Employer. For more information, please click the following links:

Equal Employment Opportunity is The Law (in English)

Equal Employment Opportunity is The Law (in Spanish)

Equal Employment Opportunity is The Law (Supplement)

E-Verify Participation Poster (English & Spanish)

Right to Work Poster (English)

Right to Work Poster (Spanish)",https://www.linkedin.com/jobs/view/externalApply/2424306310?url=https%3A%2F%2Fcboe%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal_Career_CBOE%2Fjob%2FChicago-HQ-OPO%2FCorporate-Strategy-Intern_R-1215%3Fsource%3DLinkedin&urlHash=9pzj&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=uRtmK10E8hYl7i6Yh7e7yg%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern (Summer 2021),Weave HQ,"Lehi, UT","Weave supports small business owners by providing an all-in-one platform to help them communicate with, and grow their customer base. With Weave's complete business toolbox, small businesses can streamline all their communication, payments and marketing - all from one place - and continually provide a phenomenal customer experience.

At the core of Weave's growth are our people. We are passionate about providing an amazing workplace for talented people who demonstrate our core values: Hungry, Creative, and Caring. In 2019, Weave received several significant awards, including the Fortune 100 Best Companies, Forbes Cloud 100, and Inc. 5000 fastest-growing companies.

Don't believe us? Check out why our employees, their families, and our 13,000+ customers love Weave - Our Story OR head to our Instagram page @workatweave to see what our employees are up to.

Benefits
Medical, Dental, & Vision
401k
Short & long term disability
Flexible time-off
Free Haircuts (Onsite Salon)
Best maternity & paternity policy in Utah
Commuter benefits (UTA Pass)
Weave's in-house coaching initiative: Help clarify goals, gain self-awareness, commit to action steps, etc.


Description

Weave is looking for a great Analytics/Strategy intern (undergrad and graduate) to make an impact on the future of the company. We are looking for someone who want to dig into data, processes and anything else unstructured to help us optimize our business and expand into new markets. This role will be based in our office in Lehi, Utah.
Analyze company metrics to identify areas we can improve and become more efficient.
Develop hypothesis-driven data questions and gather data to make company recommendations

What do you need to accomplish the job?
Self-disciplined, motivated, and eager to learn
Strong interpersonal and relationship-building skills
Effective verbal and written communications skills
Have experience gathering external data and analyzing it
Experience with Analytical tools such as Domo, Salesforce, SQL
Student in Bachelor's or Master's degree, preferably in technical or quantitative major",https://www.linkedin.com/jobs/view/externalApply/2483777268?url=https%3A%2F%2Fgrnh%2Ese%2F34f795383us&urlHash=s3dZ&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=pCx8F9%2FBcQBwax4znGQZIQ%3D%3D&trk=public_jobs_apply-link-offsite
2021 Corporate Development/M&A & Strategy MBA Intern,Five9,"San Ramon, CA","2021 Corporate Development/M&A & Strategy MBA Intern

About Five9

Five9 provides businesses reliable, scalable, and secure cloud contact center software designed to create exceptional customer experiences, increase agent productivity, and deliver tangible business results.

We are driven by a passion to transform contact centers into customer engagement centers of excellence. Since 2001, Five9 has led the cloud revolution in contact centers, helping organizations transition from legacy premise-based solutions to the cloud.

Internship Program

At Five9 we are committed to providing an exceptional experience for our interns. We tailor our program to provide participants with real, impactful work, contributing directly to the continued success of Five9. Through our Speaker Series and Events, you’ll have the opportunity to meet and learn from some of the best in the business.

As An Intern At Five9, You Can Expect To

Learn. Learn about yourself, your field and what makes Five9 special.
“I am proud that I was able to learn so many new concepts and systems in such a short amount of time and was able to contribute on a team to actual software development projects.” – 2020 VoIP Software Engineering Intern

Contribute. Contribute to the success of the company, your team, and real, impactful projects.
“I am most proud of owning the entire provisioning portal as part of the new cloud train, which will hugely impact how we release new products in the future!” – 2020 Associate Product Manager

Grow. Grow as a student, an employee, as a person!
“My proudest achievement from my internship is my professional growth. I have learned so much about how to interact professionally with various individuals from both within Five9 and from outside the company and have grown so much in my professional communications skill set.” 2020 Integrated Marketing Intern

The Role
We are looking for an MBA Intern to join our Strategy and Operations team this summer. The team drives strategic corporate initiatives of Five9 and heavily contributes to Corporate Development/M&A and investments efforts, long term growth strategy, strategic planning, and operational improvements.

In this role, you will help lead Five9’s highly impactful key strategic growth initiatives such as M&A, strategic investments and partnerships, international growth, channel incentives, strategic ecosystem development and long-range strategic planning.

Responsibilities
Help lead mergers & acquisitions, partnership and investment activities as they arise including deal screening, due diligence, investment case development, transaction structuring, managing third-party intermediaries, financial analysis, post-merger integration, etc.
Lead build/buy/partner analyses and help craft long-term growth strategy
Discover and implement growth arbitrage opportunities across all aspects of the business
Support corporate operations, including dashboarding and board of director materials
Support communication efforts with executive staff and the broader corporation
Conduct market research to inform decision making
Play a role in introduction of new products and GTM programs to market to continue to drive growth


Requirements
MBA in progress with graduation in the class of 2022
2+ years of investment banking or consulting experience in a top-tier management consulting or investment banking firm, or equivalent experience in corporate development/corporate strategy; experience in a technology company a plus
Analytical mindset with strong financial modeling and problem-solving skills
Ability to conduct fact-based market analysis, build clear and concise presentations, and communicate effectively
Desire to be part of a highly collaborative, high performance team
Background in Enterprise Software industry preferred


Five9 embraces diversity and is committed to building a team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better we are. Five9 is an equal opportunity employer.",https://www.linkedin.com/jobs/view/externalApply/2424210355?url=https%3A%2F%2Fwww%2Efive9%2Ecom%2Fabout%2Fcareers%2Fjobs%3Fgnk%3Djob%26gni%3D8a78859f77ac64360177cbf95ab94cf8%26lang%3Den%26gns%3DLinkedIn&urlHash=1YLq&refId=f3b132f9-03e0-463d-b72a-14acb92b777e&trackingId=Ooo2XyAda5I7XoQ%2FtCoQ%2FA%3D%3D&trk=public_jobs_apply-link-offsite
