title,company,location,requirements,link
2021 Summer Graduate Intern - Data Engineer,Novartis,"East Hanover, NJ","Sourcing Statement

You are applying to be part of the Novartis Talent Pool. We are not currently recruiting for this role but we are building a pipeline for future opportunities. If you would like to be considered for a similar position in future, then please submit your CV.

Job Description

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Position Overview
Help architect the foundation of Commercial Acceleration data capability
Building a harmonized schema to feed downstream processing and natural language analysis
The data is contained in multiple source systems which needs to be filtered as appropriate to a model that captures interoperability conditions
Design the data flow with regard to structural soundness and robustness
Build, ship, and deploy REST API Endpoint for data ingestion and extraction


General Responsibilities
Build highly scalable data pipelines to power experiments and key business metrics
Design a harmonized schema to feed downstream processing with pristine data quality and relentless scale
Partner with Data Scientists to operationalize machine learning models for data analysis and recommendations for next best actions
Devise innovative and forward-thinking solutions to increase speed to insight and time to value
Keep up-to-date with the latest technology trends
Communicate results and ideas to key stakeholders


Business Impact""

Drive speed to insight for Commercial Acceleration & Digital Marketing Analytics. Deliver scalable, automated, and highly effective NBA (Next Best Action) recommendations to minimize Digital Marketing Cost, and drive hyper-relevant personalization to customers. Building solutions to ensure consistency, standardization, data quality, and governance to yield highly adopted analytical ready datasets. Enhance and scale our centralized decision engine to personalize, harmonize, and humanize customer touchpoints

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.

Minimum Requirements

Candidate should be in an accredited degree-granting college or university pursuing a graduate degree

Minimum Requirements

/b
Software Engineering experience with proficiency in


Python and exposure to Cloud Computing
Strong SQL skills
SQL-centric ETL (Extract, Transform, and Load) but will


consider someone from an engineering background who
is more familiar with JVM-centric ETL in building Data
Pipelines
-Have excellent pattern recognition and predictive -
modeling skills
Knowledge of data visualization tools (e.g.


Tableau/QlikSense)

Preferred Competencies/Experiences
Experience with AWS Cloud Services, S3, Redshift, Snowflake, PySpark
PostgreSQL
Familiar with or awareness of automated workflow and orchestration tools like Airflow/Matillion
Graph Database (Neo4J) and various NoSQL Databases
Data Lineage/Data Catalog support


Why consider Novartis?

Division
PHARMA

Business Unit
US PHARMA

Country
USA

Work Location
East Hanover, NJ

Company/Legal Entity

Novartis Pharmaceuticals

Functional Area
Marketing

Job Type
Full Time

Employment Type
Internship

Shift Work
No",https://www.linkedin.com/jobs/view/externalApply/2497317649?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3Fpartnerid%3D13617%26siteid%3D5268%26PageType%3DJobDetails%26jobid%3D2726929%26frmSiteId%3D5260%26codes%3DLIIN-W&urlHash=DUBc&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=QzNZbv%2FRFUYQ28QP7BOwAA%3D%3D&trk=public_jobs_apply-link-offsite
Data Scientist Intern,Citizens,"Westwood, MA","Description

We’re developing the next generation of data scientists!

The banking industry is evolving rapidly, driven by customer demands for great experiences, simple solutions, and innovative ideas. Join us as we look to enhance the customer and colleague experience by harnessing the power of data and advanced analytics.

NOTE: THIS INTERNSHIP PROGRAM BEGINS IN EARLY JUNE 2021 AND WILL BE BASED IN WESTWOOD, MA OR COLUMBUS, OH

Experience During The Program

The Data Scientist Intern is responsible for assembling, managing, and investigating data to be used for various analytical purposes including developing insights, optimizing investment spend, identifying new marketing opportunities, and providing strategic direction to senior management. This full-time position allows a student to work within a big data business environment and leverage that environment to support development of models, insights, and data intelligence that drive retention/growth programs and optimization of a variety of bank functions, including origination, servicing and account management, operations, underwriting, risk, etc.

Tasks Can Include
Investigating/mining new data streams to assess utility and ability to connect to existing environment
Maintaining and executing programs to merge/assemble data for analytic uses
Researching growing market trends and mine the Citizens data intelligence to develop new insights that can guide the strategic direction of the Citizens Bank lines of business
Documenting and presenting technical/analytic results for a non-technical audience

Qualifications

What you’ll need to apply
Bachelor’s Degree in Statistics, Mathematics, Applied Math, Data Analytics or related area of focus
Pursuing a Master’s degree with an expected graduation date of December 2021 or May 2022
Statistical programming experience with data/analytic software languages/tools (e.g., SQL, SAS, R, Splus, etc.)
Ability to work in a team environment and collaborate with colleagues who have a background in statistics, database development/maintenance, and information technology
Knowledge of statistical concepts and procedures, such as: generalized linear models, experimental design, stochastic processes, response surface methodology, and statistical graphics
Ability to understand, prepare, and present statistical results
Eagerness to learn about a big data environment within a large, retail bank
Hours and Work Schedule

Hours per Week: 40
Work Schedule: M-F

Why work with us

As one of the region’s largest banks, we’re known for our innovative spirit and friendly environment. And the people we work with are why we come to work every day. Because here, skills are honed, experience is one of a kind, and ambition is rewarded. You can train with Wall Street veterans and FinTech innovators; perform on live projects that impact results; run with your ideas and give back to your community.

Awards we've received
Forbes World's Best Banks (2020)
Forbes Best Employers for Diversity (2020)
Best Places to Work for LGBTQ Equality – 100% Corporate Equality Index (2020)
Military Friendly Employer (2020)
Dave Thomas Foundation – Best Adoption-friendly Workplace (2020)
Diversity, Inc. – Top 25 companies for diversity (2019)
Forbes Best Employers for New Grads (2019)

Why Work for Us

At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth.

Equal Employment Opportunity

It is the policy of Citizens to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, colleague or a dependent’s reproductive health decision making, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, genetic characteristic, citizenship, veteran or military status, marital or domestic partner status, family status/parenthood, victim of domestic violence, or any other category protected by federal, state and/or local laws.

Equal Employment and Opportunity Employer/Disabled/Veteran

Citizens is a brand name of Citizens Bank, N.A. and each of its respective affiliates.",https://www.linkedin.com/jobs/view/externalApply/2495738194?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F458097805%3B262591017%3Bo%3Fhttps%3A%2F%2Fjobs%2Ecitizensbank%2Ecom%2Fjob%2Fwestwood%2Fdata-scientist-intern%2F288%2F19170882%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Denterprise%26utm_medium%3Djob_board%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=e-Hk&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=A2eBfpqQ5k46iPeW6O0Ndg%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Juniper Networks,"Sunnyvale, CA","Juniper’s Enterprise BI Team deals with all aspects of data related to the organization – be it Master Data, Transactional Data or Reference Data. The data may originate from sources internal to the company or outside the company and may be from on premise or SAAS applications.

The BI team is responsible for Data Engineering (bringing all of this data into the Enterprise Data Platform or Lake, which is resident in Snowflake on AWS) and deriving insights from this data in the form of operational or predictive analytics / AI / ML.

While the team creates various machine learning models today, the model selection and predicting outcomes is not a standardized process. The intern will be responsible for establishing the best means to democratize machine learning for a wider audience. In the process, the intern would create simple reusable starter kits for business users to leverage pre-existing data sets and models.

The intern will get to work on bleeding edge technologies in Snowflake using AWS Sagemaker and the latest Machine learning modules. This is certainly a launch-pad for budding data scientists to move up in their careers.

A successful candidate has:

A strong analytical background
A strong interest in statistics and AI/ML
Proficiency in at least one of: Python with machine learning libraries (numpy, scikit, pandas etc.), R or Julia
Proficiency in SQL

In addition:

Prior experience in Snowflake and on AWS Sagemaker is a huge plus
Experience on any other commercial ML tools such as Dataiku, Data Robot, Knime, etc. is a bonus

Candidate must be currently enrolled in a bachelor/master’s program and returning to school following completion of the summer internship.

Juniper’s University Talent Program (UTP) introduces next generation talent to Juniper’s workforce and provides talented students with an opportunity to develop professional experience at a world-class technology company. And it’s not hard to see why so many accomplished students have been compelled to spend their summers at Juniper!

Here at Juniper, UTP provides a comprehensive program that fosters professional as well as personal growth, thoroughly preparing its interns for the next step in their careers. Juniper internships are project-based, allowing interns to solve important problems, make lasting impacts on their teams, and contribute to the company’s overall objectives. They are mentored by some of the most talented and skillful innovators in the industry; they connect with transformative thought leaders who promote disruptive ideas in their field. Interns participate in constructive professional workshops, company-wide community service initiatives, and executive speaker series. They build lasting friendships, expand their network, and connect with colleagues from around the world.

At Juniper Networks, you will not only have opportunities to build real-life, hands-on work experience – you’ll also have the chance to learn from the best and lay the groundwork for a successful career.

Please note that Juniper's 2021 internship program will be conducted remotely. The location listed reflects the location of the team the intern will join, whereas the intern will work from their residence in the US.",https://www.linkedin.com/jobs/view/externalApply/2473499070?url=https%3A%2F%2Fcareers%2Ejuniper%2Enet%2F%23%2Fjobdescription%3Fjid%3D1000393&urlHash=LF4E&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=9CgsK7fjqHn9pIike3dFDA%3D%3D&trk=public_jobs_apply-link-offsite
"Paid Summer Intern - IT, Data Engineer & Visualization",Levi Strauss & Co.,"San Francisco, CA","Job Description

You’re an original. So are we .

We’re a company of people who like to forge our own path. We invented the blue jean in 1873, and we reinvented khaki pants in 1986. We pioneered labor and environmental guidelines in manufacturing. And we work to build sustainability into everything we do. Our brands stand for freedom and self-expression around the world.

Where we lead, others follow. For more than 160 years, we’ve used the strength of our brands to lead with our values and make an outsized impact on the world. We employ more than 15,000 people globally to support our great brands: Levi’s®, Dockers®, Denizen® and Signature by Levi Strauss & Co.™

This summer you could have the opportunity to work for one of Levi Strauss & Co.’s iconic brands! Our San Francisco-based Summer Internship opportunities, among the Levi’s® and Dockers® brands, give students real world work experience and exposure to one of the world’s leading fashion and apparel companies. Our 10 week Summer Internship Program is the perfect way to gain work experience within the core of the organization, while learning what a career at LS&Co. might have in store for you.

In addition to day-to-day responsibilities, all interns will participate in an intern group project dedicated to a critical business initiative as well as be exposed to all areas of our business and our brands.Leadership seminars and career exploration series connect our interns to our leaders and educate around different career paths. Intern’s performance will be assessed using our internal review process.

Primary Responsibilities May Include (but Are Not Limited To)
Partner with cross-functional IT organization and respective business partners across functional areas to develop the desired applications to support IT and business strategic plans
Responsible for providing production support to technical team
Support enterprise evaluations and analyses that adhere to established global IT project and requirements management methodologies, governance/check-point, release management, and tools standards for approved projects requiring IT solutions
React to changing business needs by modifying plans and adjusting deliverables efficiently
Contribute to email reporting and analysis
Utilize reporting tools to create reports and interpret data
Analyze performance vs. goals and share insights and recommendations
Modify and share go-forward strategies based on learnings and best practices
Monitor competitive landscape and report out to the broader team

Requirements For The Internship
High school diploma or GED
Must be enrolled in an accredited undergraduate program
Must be in junior year (rising senior at time of internship)
GPA of 3.0 or above
Proficiency in combining multiple sources, data manipulation and reporting in Microsoft Excel.
Demonstrated experience in developing software using Java, Python or Spark
Experience with Big Data is a big plus
Write SQL Queries to Analyze data and produce reports.
Demonstrated experience with data analysis, either on a school or research project, is a strong plus

Additional Qualifications
Specific college coursework in an area relevant to the internship, or participation in a specific career development program
Strong verbal and written communication skills; detail orientated and thorough
Ability to work well with diverse co-workers
Ability to proactively seek out new learning opportunities; intellectual curiosity with the proven ability to learn new information quickly
Team orientation
Ability to work independently
Flexibility to perform a variety of different types & levels of work
Ability to present strong, fact-based points of view
Ability to meet deadlines in a fast-paced, deadline-driven environment with changing priorities
Exceptional problem solving and organizational capabilities
EOE M/F/Disability/Vets LOCATIONSan Francisco, CA, USAFULL TIME/PART TIMEFull time Current LS&Co Employees, apply via your Workday account.",https://www.linkedin.com/jobs/view/externalApply/2432042767?url=https%3A%2F%2Flevistraussandco%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FSan-Francisco-CA-USA%2FPaid-Summer-Intern---IT--Data-Engineer---Visualization_R-68739%3Fsource%3DLinkedIn&urlHash=pWCe&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=v7CLj710eNUY%2BqSYM1n0PA%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Hasbro,"East Providence, RI","At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values – community, passion, integrity, creativity and inclusion – help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro’s brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):
Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.


What You'll Bring
Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
Intermediate SQL skills, ability to design and optimize queries and create data structures.
Excellent written and verbal communication skills – will gain experience working with business stakeholders and senior leaders.
Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
Professionalism and strong focus on customer.
Remove candidates living in the US may be considered.

Hasbro’s world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here’s a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2458814507?url=https%3A%2F%2Fjobs%2Ehasbro%2Ecom%2Fjob%2FEast-Providence-Data-Engineer-Intern-Rhod%2F722323100%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=VdNw&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=IQdeTkYBsP6xrEKqo8wGaA%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Gotion Inc.,"Fremont, CA","Responsibilities
Develop and maintain data platform (ETL) for electrical vehicle battery
Develop and maintain battery visualization dashboards
Working closely with algorithm team and embedded software teams to improve the platform


Qualifications
Able to start presently or Jan 2021. Please do not apply to this listing if looking for summer intern.
BS in Engineering or Computer Science/ Graduate degree preferred.
Proficient in Python, SQL
Familiarity with AWS (or equivalent)
Experience with front-end development is a plus
Experience with time-series database is a plus
Experience with Matlab is a big plus


About Gotion

Gotion, Inc. is based in Silicon Valley in California, with R&D centers in Ohio, China, Japan and Europe. We innovate in the next generation electric vehicle and energy storage technologies (lithium batteries and related systems) with the aim to accelerate electrified transportation and achieve sustainable development. Gotion is powered by a leading power battery technology company that provides solutions for vehicles including the world's first mass commercial e-bus route.

Gotion is a career destination- we are not simply attempting to just fill another job, but to pursue a dream of global green energy together! We offer outstanding opportunities to individuals seeking an exciting and challenging working environment. Everyone is highly valued and plays a vital role in the growth of our organization.",https://www.linkedin.com/jobs/view/externalApply/2483811331?url=https%3A%2F%2Fgrnh%2Ese%2Fe5da380f2&urlHash=AQGc&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=R1vdSDI7QaqZEqvb4N0tMQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineering Intern,Walker Edison,"West Jordan, UT","Data Engineering Intern

Walker Edison is a thriving, eCommerce company that relies on good data and hard-working employees to create an excellent experience for every customer. Our success comes from an attitude of innovation, never setting, and giving back to the community.

Our paid $16 hourly internship program, takes emerging talent and offers experience leading to growth and mentorship. Over 15 weeks you will work closely with professionals in your field while engaging in projects with direct impact to the company. You will help us develop and implement improved processes to further the growth of Walker Edison.

The Data Engineer Intern is a key member of the Data Engineering team. This is a great position for anyone who gets excited about wrangling and shaping data that drives business decisions. The Data Engineer Intern will work closely under the direction of senior engineers to help build, maintain, and document the data warehouse and its pipelines.

What To Expect
Learning & development in your desired field.
Valuable experience to prepare you for future professional roles.
Experience working at Walker Edison’s dynamic & fast-growing environment.
Experience working with a dedicated mentor, who will be there to guide you through.
Opportunity to provide direct impact to our company’s growth.


Qualifications
Must be currently enrolled in an accredited college or university in pursuit of a degree in a relevant field of study.
Ability to complete a 15-week program beginning May 17th, 2021 and ending August 27th, 2021
Ability to multi-task and remain organized in a fast-paced work environment
Professional demeanor and presence
Excellent verbal and written communication skills
Strong problem-solving abilities
Strong customer service skills
Tech Savvy, knowledge with Microsoft Teams, Zoom and other platforms
Ability to assess, organize and prioritize tasks; ability to take direction as well as work independently and as a member of a team
All interns will present what they have learned and accomplished to members of the executive team as their Capstone presentation.


Benefits

Comprehensive benefits include generously subsidized medical, dental, and vision insurance as well as life insurance, dependent care and flex spending accounts, a generous 401k match, pet insurance, Flex PTO, education reimbursement, and a very flexible working environment. Additional perks include complimentary vending machines, massage therapy, endless amounts of food, bi-weekly gifts, and subscriptions to the Calm App, a Music Streaming Service, and ClassPass. Walker Edison also offers several company and individual team building enrichment activities and educational classes throughout the year!

About The Company

Walker Edison Furniture is a market-leading, e-commerce drop ship business in the home furnishings realm with an unwavering focus on customer satisfaction every step of the way! Our brand and designs represent our desire to break away from the standard mold and help our customers ""Live Outside The Box."" This is an exciting time to join our expanding operations. We are an established business with huge future potential. Come join our team and be a part of a fun and growing company where we “Work Outside the Box”!

Walker Edison is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",https://www.linkedin.com/jobs/view/externalApply/2478363980?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fwalkeredison%2Fjobs%2F4427503003&urlHash=ANJK&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=8niT0jtDWdQjqnTAwebDSA%3D%3D&trk=public_jobs_apply-link-offsite
Software and Data Engineer Intern,Viasat Inc.,"Remote, OR","Bigger challenges. Bolder ideas. Global impact. At Viasat, we're on a mission to deliver connections with the capacity to change the world. We're the company behind the world's fastest satellite internet service, with technology that's helping to bridge the digital divide and improve life for our customers around the globe. By providing powerful new ways for people to connect with one another, gain greater access to education, entertainment, medical research, commerce, and much more, our team is empowering millions of customers worldwide.

We're looking for passionate, innovative professionals to join our team and connect the world to more. You'll work in a collaborative and inclusive environment that values diverse perspectives and continuous learning, and provides industry-leading benefits with unmatched opportunities for career growth. Our team is fearless in pursuit of new ideas and uncompromising in our quest to become the world's first truly global Internet Service Provider. Interested in joining our mission? Take a look at career opportunities at Viasat today.

Job Responsibilities

Develop software products and services focused on the transport, storage, and analysis of data for use across a wide-range of applications at Viasat.

Flexibility To Work Among Different Project Teams Dedicated To
Data analytics & cloud application engineering
System infrastructure development; scripting, automation, data visualization & dashboarding
Network function virtualization, orchestration
Virtualized networking and service chaining
Distributed enterprise software applications
Cybersecurity software & systems engineering
Web & mobile application engineering

Requirements
Bachelor's degree in Computer Science, Computer Engineering, Electrical Engineering, Physics, Mathematics, and/or a related field
Exposure or desire to work with Cloud Technology, Automation, Machine Learning, Big Data, Full-Stack, Embedded, Apps, or Front-End

Preferences
Previous internship experience in software development and/or test related areas
Knowledge of TCP/IP network fundamentals
Previous experience coding in Go, Java, Python, JavaScript, Hadoop, Spark, SQL, Postrgres, and/or C/C++

To learn more about this site and other office locations, please click",https://www.linkedin.com/jobs/view/externalApply/2482894444?url=https%3A%2F%2Fcareers%2Eviasat%2Ecom%2Fcareers%2FFolderDetail%2FSoftware-and-Data-Engineer-Intern%2F5852%3Fsource%3DLinkedIn&urlHash=WLfe&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=nZgWgDO0QuJsvHhrV%2BBQZw%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Data Engineer (Immediate Opening / Spring 2021)",Panasonic North America,"Newark, NJ","Panasonic – Intern, Data Engineer (Immediate Opening / Spring 2021)

Every moment of every day, people all over the world turn to Panasonic to make their lives simpler, more enjoyable, more productive and more secure. Since our founding almost a century ago, we’ve been committed to improving peoples’ lives and making the world a better place–one customer, one business, one innovative leap at a time. Come join our journey.

Click here to learn more about how Panasonic is creating a better life, a better world.

Watch this video to see how our employees are shaping the technologies that move us.

What You’ll Get To Do

Panasonic Corporation of North America is looking for an Intern, Data Engineer to support the Customer Insights and Analytics team in the optimization of our media marketing mix, increasing new customer acquisition, measuring attribution, and making marketing more effective through designing and building a robust data pipeline architecture to drive our digital marketing strategy across various marketing teams enterprise-wide.

The Intern, Data Engineer will have an interest, and ideally some exposure, with data infrastructure and architecture, data frameworks, and processes to integrate disconnected and disparate data sources into automated datasets for analyst's consumption. The ideal candidate will also have experience working with enterprise metrics, strong operational skills to drive speed and efficiency, expertise in building repeatable data engineering processes, and strong project management skills. Experience with marketing and sales data sets is a huge plus.

Primary Responsibilities
Support the design and implementation of data pipelines, both batch and real-time, to produce reliable data for various data consumption use cases.
Assist in dataset design, creation, and curation; including the frameworks to derive metrics to deliver data products for KPI’s, visualization, data science, and analysis.
Build automation and monitoring frameworks that deliver reliable, accurate, easy-to-understand metrics and operational KPIs to stakeholders for data pipeline quality and performance.
Support data, pipeline design, and other related big data and programming technologies.
Proactively identify reliability and data quality problems, and drive triaging and remediation processes.
Partner with data producers in understanding data sources, enable data contracts, and define the data model that drives analytics.
Partner with Analysts and Data Scientists to deliver reliable data that powers actionable insights.
Evaluate various technologies and platforms in open source and proprietary products. Execute proof of concept on new technology and tools to pick the best tools and solutions.
Understand data governance practices such as metadata management, data lineage, and data glossaries a huge plus.
Foster operational excellence & continuous improvement.

What You’ll Bring

Education & Experience:
Ideally a student pursuing their Masters degree in ISEM, MSIS, Computer Science or equivalent field, with 2+ years of relevant experience within the big data/data warehousing domain.
Some experience in complex, matrixed enterprise / corporate environments managing data infrastructure and pipelines preferred.
Solid understanding of RDBMS concepts, data structures, and distributed data processing patterns.
Knowledge of programming pipelines in languages like Python, Scala, Java, etc.
Experience in big data technologies like Hadoop, Spark, Hive, Snowflake, etc.
Experience with Cloud technologies like AWS, GCP, Containers, Kubernetes.
Hands-on knowledge of Salesforce products and functionalities a plus.
Experience with Sales and Marketing data is a huge plus.
Experience working with BI/data visualization tools such as Domo.

Competencies
Ability to partner with Analysts and Data Scientists to understand stakeholder requirements and design prototypes to bring ideas to production.
Passionate, curious, self-starter and innovative mentality.
Interest in marketing and analytics

Communications
Excellent communication and interpersonal skills

#LJC1",https://www.linkedin.com/jobs/view/externalApply/2466602768?url=http%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fc%3DqvJaVfw3%26j%3Doa40efwc%26k%3DApply%26su%3DfqqaVfwF%26s%3DLinkedIn&urlHash=zb3s&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=5oAip6aCbD%2B5IzAOC0Sd5g%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Integral,"Chicago, IL","Integral Ad Science (IAS) is a global technology and data company that builds verification, optimization, and analytics solutions for the advertising industry and we're looking for a Data Engineering Intern to join our Data Engineering team. If you are excited by technology that has the power to handle hundreds of thousands of transactions per second; collect tens of billions of events each day; and evaluate thousands of data-points in real-time all while responding in just a few milliseconds, then IAS is the place for you!
Our data pipelines process between 2B to 5B events per hour. Experience gained on such data pipelines are in high demand. As a Data Engineering Intern you will work with more senior engineers in building new data pipelines on AWS, migrate pipelines to AWS or extend features and optimize performance of existing data pipelines.

What You'll Get To Do
Implement data processing solutions using Big Data stack including but not limited to Hadoop, Spark, EMR and Snowflake
Work with data engineers and data scientists to analyze, design, code, debug, test, document, and deploy changes to the system
Participate in sprint meetings and daily stand-ups
Attend intern activities designed to allow you to develop your skills, better understand your career interests and identify opportunities for future employment
Network with other interns and IAS employees
Who You Are And What You Have
A rising senior actively working towards obtaining a BA/BS degree in Computer Science, Mathematics, or a related field looking for a full-time position upon graduation
Relevant coursework, and interest, in build, test, automation, and DevOps frameworks
Experience programming in object oriented languages such as Java, C++, Scala or Python as well as proficiency in Linux
Basic understanding of algorithms and data structures
Ability to communicate clearly, verbally and in writing
Effective time management skills and ability to work in a team atmosphere
What Puts You Over The Top
Some practical experience working on AWS or another cloud provider
Some practical experience developing with Apache Spark and/or Hive
Good knowledge of SQL and experience with columnar datastores
About Integral Ad Science

Integral Ad Science (IAS) is the global market leader in digital ad verification, offering technologies that drive high-quality advertising media. IAS equips advertisers and publishers with both the insight and technology to protect their advertising investments from fraud and unsafe environments as well as to capture consumer attention, and drive business outcomes. Founded in 2009, IAS is headquartered in New York with global operations in 18 offices across 13 countries. IAS is part of the Vista Equity Partners portfolio of software companies. For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com.

Equal Opportunity Employer

IAS is an equal opportunity employer, committed to our diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply.

California Applicant Pre-Collection Notice

We collect personal information (PI) from you in connection with your application for employment or engagement with IAS, including the following categories of PI: identifiers, personal records, commercial information, professional or employment or engagement information, non-public education records, and inferences drawn from your PI. We collect your PI for our purposes, including performing services and operations related to your potential employment or engagement. For additional details or if you have questions, contact us at compliance@integralads.com.
To learn more about us, please visit http://integralads.com/ and https://muse.cm/2t8eGlN
Attention agency/3rd party recruiters: IAS does not accept any unsolicited resumes or candidate profiles. If you are interested in becoming an IAS recruiting partner, please send an email introducing your company to recruitingagencies@integralads.com. We will get back to you if there's interest in a partnership.
#ias-emerging-talent",https://www.linkedin.com/jobs/view/externalApply/2489038850?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F7e53696285e93db4aefa9dea38803ef6&urlHash=Htn_&refId=f3fdba86-1b2a-43b4-b601-55ae880d956d&trackingId=dIQFX%2B3D34tec1pmySwa1w%3D%3D&trk=public_jobs_apply-link-offsite
