title,company,location,requirements,link
Editorial Intern (Spring 2021),"Swivel Beauty, Inc.","Nashua, NH","**About the Role**

Swivel Beauty is seeking sharp, hardworking, detail-oriented writers who are interested in contributing to our new beauty blog centered on the haircare needs of black women. This role will entail conducting interviews, writing articles (3 per week), pitching your own ideas, and publishing content to our blog. You will work hand in hand with our social media coordinator so content aligns between our blog and Instagram.

You'll work closely with our CEO who is a former magazine editor (Glamour, Marie Claire, Oprah magazine). You'll have the chance to develop your own voice, generate clips, and learn how to create content at a fast-paced startup. Our ideal intern is a self-starter who's eager to contribute and learn, works well independently (remote interns are welcome!), and can meet deadlines consistently.

Please be prepared to share writing samples (school assignments are fine).
• *About Swivel Beauty**

Swivel is a beauty tech marketplace for hairstylists skilled at working with textured hair. We're a fast-growing tech company that’s revolutionizing how women of color find hairstylists and book appointments. We’ve been featured in The New York Times, Allure, New York Mag’s The Cut, Essence, Blavity, and more. We’re setting a new standard for beauty and we need excited and hardworking interns to help us grow.

Please note: All internships are unpaid but we can offer you college credit",https://b-jobz.com/us/web/jobposting/221052823?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Editorial Intern (Spring 2021),"Swivel Beauty, Inc.","Lowell, MA","**About the Role**

Swivel Beauty is seeking sharp, hardworking, detail-oriented writers who are interested in contributing to our new beauty blog centered on the haircare needs of black women. This role will entail conducting interviews, writing articles (3 per week), pitching your own ideas, and publishing content to our blog. You will work hand in hand with our social media coordinator so content aligns between our blog and Instagram.

You'll work closely with our CEO who is a former magazine editor (Glamour, Marie Claire, Oprah magazine). You'll have the chance to develop your own voice, generate clips, and learn how to create content at a fast-paced startup. Our ideal intern is a self-starter who's eager to contribute and learn, works well independently (remote interns are welcome!), and can meet deadlines consistently.

Please be prepared to share writing samples (school assignments are fine).
• *About Swivel Beauty**

Swivel is a beauty tech marketplace for hairstylists skilled at working with textured hair. We're a fast-growing tech company that’s revolutionizing how women of color find hairstylists and book appointments. We’ve been featured in The New York Times, Allure, New York Mag’s The Cut, Essence, Blavity, and more. We’re setting a new standard for beauty and we need excited and hardworking interns to help us grow.

Please note: All internships are unpaid but we can offer you college credit",https://www.collegerecruiter.com/job/408275705-editorial-intern-spring-2021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Editorial Intern (Spring 2021),"Swivel Beauty, Inc.","Derry, NH","*About the Role* Swivel Beauty is seeking sharp, hardworking, detail-oriented writers who are interested in contributing to our new beauty blog centered on the haircare needs of black women. This role will entail conducting interviews, writing articles (3 per week), pitching your own ideas, and publishing content to our blog.

You will work hand in hand with our social media coordinator so content aligns between our blog and Instagram. You'll work closely with our CEO who is a former magazine editor (Glamour, Marie Claire, Oprah magazine). You'll have the chance to develop your own voice, generate clips, and learn how to create content at a fast-paced startup.

Our ideal intern is a self-starter who's eager to contribute and learn, works well independently (remote interns are welcome!), and can meet deadlines consistently. Please be prepared to share writing samples (school assignments are fine)..
• About Swivel Beauty* Swivel is a beauty tech marketplace for hairstylists skilled at working with textured hair.

We're a fast-growing tech company that's revolutionizing how women of color find hairstylists and book appointments. We've been featured in The New York Times, Allure, New York Mag's The Cut, Essence, Blavity, and more. We're setting a new standard for beauty and we need excited and hardworking interns to help us grow.

Please note: All internships are unpaid but we can offer you college credit",https://www.jobs4millennials.com/Derry-New-Hampshire-USA-job/EDITORIAL-INTERN/0cb110d525d6bdd6/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Editorial Intern,Harvard Business Review,Massachusetts,"Job Title: if(!window.sfdcPage) { window.sfdcPage = new ApexDetailPage(); }UserContext.initialize({""ampm"":[""AM"",""PM""],""isAccessibleMode"":false,""salesforceURL"":""http://harvardbusiness.force.com"",""dateFormat"":""M/d/yyyy"",""language"":""en_US"",""locale"":""en_US"",""dateTimeFormat"":""M/d/yyyy h:mm a"",""isGlobalEventBusPilotEnabled"":false,""labelLastModified"":""1581368376000"",""today"":""2/14/2020 10:19 PM"",""userPreferences"":[{""index"":112,""name"":""HideInlineEditSplash"",""value"":false},{""index"":114,""name"":""OverrideTaskSendNotification"",""value"":false},{""index"":115,""name"":""DefaultTaskSendNotification"",""value"":false},{""index"":119,""name"":""HideUserLayoutStdFieldInfo"",""value"":false},{""index"":116,""name"":""HideRPPWarning"",""value"":false},{""index"":87,""name"":""HideInlineSchedulingSplash"",""value"":false},{""index"":88,""name"":""HideCRUCNotification"",""value"":false},{""index"":89,""name"":""HideNewPLESplash"",""value"":false},{""index"":90,""name"":""HideNewPLEWarnIE6"",""value"":false},{""index"":122,""name"":""HideOverrideSharingMessage"",""value"":false},{""index"":91,""name"":""HideProfileILEWarn"",""value"":false},{""index"":93,""name"":""HideProfileElvVideo"",""value"":false},{""index"":97,""name"":""ShowPicklistEditSplash"",""value"":false},{""index"":92,""name"":""HideDataCategorySplash"",""value"":false},{""index"":128,""name"":""ShowDealView"",""value"":false},{""index"":129,""name"":""HideDealViewGuidedTour"",""value"":false},{""index"":132,""name"":""HideKnowledgeFirstTimeSetupMsg"",""value"":false},{""index"":104,""name"":""DefaultOffEntityPermsMsg"",""value"":false},{""index"":135,""name"":""HideNewCsnSplash"",""value"":false},{""index"":101,""name"":""HideBrowserWarning"",""value"":false},{""index"":139,""name"":""HideDashboardBuilderGuidedTour"",""value"":false},{""index"":140,""name"":""HideSchedulingGuidedTour"",""value"":false},{""index"":180,""name"":""HideReportBuilderGuidedTour"",""value"":false},{""index"":183,""name"":""HideAssociationQueueCallout"",""value"":false},{""index"":194,""name"":""HideQTEBanner"",""value"":false},{""index"":270,""name"":""HideIDEGuidedTour"",""value"":false},{""index"":282,""name"":""HideQueryToolGuidedTour"",""value"":false},{""index"":196,""name"":""HideCSIGuidedTour"",""value"":false},{""index"":271,""name"":""HideFewmetGuidedTour"",""value"":false},{""index"":272,""name"":""HideEditorGuidedTour"",""value"":false},{""index"":205,""name"":""HideApexTestGuidedTour"",""value"":false},{""index"":206,""name"":""HideSetupProfileHeaderTour"",""value"":false},{""index"":207,""name"":""HideSetupProfileObjectsAndTabsTour"",""value"":false},{""index"":213,""name"":""DefaultOffArticleTypeEntityPermMsg"",""value"":false},{""index"":214,""name"":""HideSelfInfluenceGetStarted"",""value"":false},{""index"":215,""name"":""HideOtherInfluenceGetStarted"",""value"":false},{""index"":216,""name"":""HideFeedToggleGuidedTour"",""value"":false},{""index"":268,""name"":""ShowChatterTab178GuidedTour"",""value"":false},{""index"":275,""name"":""HidePeopleTabDeprecationMsg"",""value"":false},{""index"":276,""name"":""HideGroupTabDeprecationMsg"",""value"":false},{""index"":224,""name"":""HideUnifiedSearchGuidedTour"",""value"":false},{""index"":226,""name"":""ShowDevContextMenu"",""value"":false},{""index"":227,""name"":""HideWhatRecommenderForActivityQueues"",""value"":false},{""index"":228,""name"":""HideLiveAgentFirstTimeSetupMsg"",""value"":false},{""index"":232,""name"":""HideGroupAllowsGuestsMsgOnMemberWidget"",""value"":false},{""index"":233,""name"":""HideGroupAllowsGuestsMsg"",""value"":false},{""index"":234,""name"":""HideWhatAreGuestsMsg"",""value"":false},{""index"":235,""name"":""HideNowAllowGuestsMsg"",""value"":false},{""index"":236,""name"":""HideSocialAccountsAndContactsGuidedTour"",""value"":false},{""index"":237,""name"":""HideAnalyticsHomeGuidedTour"",""value"":false},{""index"":238,""name"":""ShowQuickCreateGuidedTour"",""value"":false},{""index"":245,""name"":""HideFilePageGuidedTour"",""value"":false},{""index"":250,""name"":""HideForecastingGuidedTour"",""value"":false},{""index"":251,""name"":""HideBucketFieldGuide"",""value"":false},{""index"":263,""name"":""HideSmartSearchCallOut"",""value"":false},{""index"":273,""name"":""ShowForecastingQuotaAttainment"",""value"":false},{""index"":280,""name"":""HideForecastingQuotaColumn"",""value"":false},{""index"":301,""name"":""HideManyWhoGuidedTour"",""value"":false},{""index"":298,""name"":""HideFileSyncBannerMsg"",""value"":false},{""index"":299,""name"":""HideTestConsoleGuidedTour"",""value"":false},{""index"":302,""name"":""HideManyWhoInlineEditTip"",""value"":false},{""index"":303,""name"":""HideSetupV2WelcomeMessage"",""value"":false},{""index"":312,""name"":""ForecastingShowQuantity"",""value"":false},{""index"":313,""name"":""HideDataImporterIntroMsg"",""value"":false},{""index"":314,""name"":""HideEnvironmentHubLightbox"",""value"":false},{""index"":316,""name"":""HideSetupV2GuidedTour"",""value"":false},{""index"":317,""name"":""HideFileSyncMobileDownloadDialog"",""value"":false},{""index"":322,""name"":""HideEnhancedProfileHelpBubble"",""value"":false},{""index"":328,""name"":""ForecastingHideZeroRows"",""value"":false},{""index"":330,""name"":""HideEmbeddedComponentsFeatureCallout"",""value"":false},{""index"":341,""name"":""HideDedupeMatchResultCallout"",""value"":false},{""index"":340,""name"":""HideS1BrowserUI"",""value"":false},{""index"":346,""name"":""HideS1Banner"",""value"":false},{""index"":358,""name"":""HideEmailVerificationAlert"",""value"":false},{""index"":354,""name"":""HideLearningPathModal"",""value"":false},{""index"":359,""name"":""HideAtMentionsHelpBubble"",""value"":false},{""index"":368,""name"":""LightningExperiencePreferred"",""value"":false},{""index"":373,""name"":""PreviewLightning"",""value"":false}],""networkId"":"""",""uiTheme"":""Theme3"",""uiSkin"":""Theme3"",""userName"":""careers@harvardbusiness.force.com"",""userId"":""005i0000000FvYD"",""isCurrentlySysAdminSU"":false,""renderMode"":""RETRO"",""startOfWeek"":""1"",""vfDomainPattern"":""hbpjs--(?:[^.]+).na88.visual.force.com"",""auraDomain"":""hbpjs.lightning.force.com"",""orgPreferences"":[{""index"":257,""name"":""TabOrganizer"",""value"":true},{""index"":113,""name"":""GroupTasks"",""value"":true}],""siteUrlPrefix"":""/careers"",""isDefaultNetwork"":true,""timeFormat"":""h:mm a""});Editorial Intern, HBR Press Department: HBR Group Employment Type: Full Time Office Location: Brighton, MA Date Posted: 2/14/2020 Job Number: JO-2002-1725 | | The HBR Press Editorial intern will work closely with the book division of the Harvard Business Review Group. The intern will be exposed to the book development process from proposal through publication, participating in acquisitions board meetings, reviewing manuscripts, researching potential authors and publication topics, assisting with research projects, and performing administrative tasks. Responsibilities will include: - Assisting editors with the preparation of manuscript as part of the turnover process to production - Providing feedback to sample manuscript chapters as part of editorial board docket discussions - Managing the peer review process for select titles - Assisting members of the editorial team in the book endorsement process, including sending out manuscript and crafting sample quotes - Compiling potential HBR pieces for inclusion in Press series books and other products - Selecting and adapting book excerpts to appear on - Researching popular topics within the HBR community and examining these topics in the marketplace - Conducting competitive research on other publishers and their recent titles - Pulling sales numbers of Press titles, competitor’s books, HBR reprints, and digital article page views - Drafting descriptive copy for individual books or book collections - Assessing and editing digital articles submitted to - Managing book mailings and other administrative tasks Additional responsibilities will be determined with the intern’s supervisor in his or her first week, depending on experience and interest. Because of the HBR Group’s integrated structure, the intern will also have the opportunity to learn about the commercial side of book publishing, as well as web and magazine publication. We’re looking for someone who is interested in book publishing, enjoys reading and writing, and is excited by this rapidly changing industry. Other qualifications include attention to detail, initiative, analytical thinking, and the ability to manage multiple projects at once. Knowledge of business content is not required, but the intern will get more out of the experience if he or she is interested in leadership, team dynamics, innovation, technology, strategic decisions, marketing, work-life balance, or other general management and global business topics",https://paralleldesk.com/amp/editorial-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Editorial,Webmd,"New York, NY","WebMD is the most recognized and trusted brand of health information and the leading provider of health information services, serving consumers, physicians, healthcare professionals, employers and health plans through our public and private online portals and WebMD the Magazine. The WebMD Health Network includes WebMD, Medscape, MedicineNet, eMedicine, RxList, theheart.org and Medscape Education. Our consumer portals and mobile health applications provide engaging, relevant and credible health and wellness information, personalized health assessment tools and access to online communities.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.

Intern - Editorial

Summer Internship - 6/7 - 8/20

Position Overview

We seek an intern for writing/editing to help us build our lifestyle and feature content. The intern will will develop ideas and content, both short-form and long-form.

Responsibilities
• Develop ideas and content for potential medical lifestyle features and profiles;
• Write lifestyle features for same-day publication;
• Write news or lifestyle shorts for same-day posting
• Identify and write 'short takes' on items for columns relating to physician lifestyle subjects or physicians 'on the move'
• Prepare drafts of polls and other content stemming from annual Lifestyle Reports
• Assist blogger program
• Help maintain changes to the Business of Medicine section and associated sections (i.e. Nurses, Pharmacists, etc.) •
• Review video projects to meet editorial standards
• Assist with securing photos for slideshows, articles, other content presentations

Qualifications
• Minimum 3.2 GPA
• Enrolled in Undergrad or Graduate program and returning for the Fall 2021 semester.
• Intern, entry level, probably 0 - 2 years published writing experience
• Working toward Bachelor's degree in in journalism or communications or a medical or science field

Preferred skills here:
• Ability to write news articles
• Ability to write short articles
• Ability to interview subjects for an article and structure an article
• Ability to write clear, accurate, and balanced news articles quickly
• Comfortable interviewing subjects for an article
• Good internet research skills
• Familiarity with social media",https://www.zippia.com/new-york-ny-jobs/editorial-internship-dlp/?c0efb4ce19b4b7921928aa7fe3a1150ca1cb4815&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Editorial Intern,Society19 Media LLC,"Boston, MA","Company Description

With offices located in the heart of Fort Point in Boston Seaport, Society19 is the online destination for Gen Z & Millenials' everything lifestyle. Written by students and influencers worldwide, the digital magazine is the ultimate guide for fashion, beauty, décor and lifestyle. https://www.society19.com/

Job Description
• Editing a range of lifestyle and/or fashion & beauty related articles written by writers in the US, Canada, UK and Australia
• Updating previously published articles for search engine optimization and/or to stay up to date with current trends
• Checking for grammar, spelling and formatting
• Writing SEO optimized articles based on the needs of the editorial team

This internship is a great opportunity to develop writing and editing skills, but to also learn about native marketing and social media promotion. Interns will be working in our offices located Fort Point, Boston and will be part of our editorial team. This is an unpaid, in-house position.

Qualifications
• Undergraduate student or recent graduate.
• English/Writing/Communications/Journalism major preferred but all majors are encouraged to apply.
• Must be very interested in lifestyle writing and editing
• Creativity, organization and attention to details are a must for this position
• Basic knowledge of WordPress and social media platforms

Additional Information

All your information will be kept confidential according to EEO guidelines",https://jobs.smartrecruiters.com/Society19MediaLLC/743999681128760-editorial-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Digital Editorial Intern,Haymarket,"New York, NY","Haymarket Media, Inc. is seeking a Digital Editorial Intern to join the Content Hub team. This position will likely be remote due to the COVID-19 pandemic; however, if our offices reopen, the role will located in our New York, NY office, although remote work can be considered.

Job Overview:

The Digital Editorial Intern will have the opportunity to work directly with Digital Editors across multiple platforms. They will get hands-on experience with CMS work and editing for digital content, as well as social media management and video and audio production. They will also get to experience the inner workings of a digital publication from the sales and marketing teams to art and editorial.

This eight-week summer internship program will run from June 14, 2021 to August 6, 2021. This is a paid, full-time internship and is not for college credit.

Responsibilities:
• Supporting Digital Editors with website features production in CMS
• Photo research
• Help maintain business media websites
• Assisting with social media posting and monitoring
• Help produce and send daily/weekly newsletters
• Learning new skills as needed (e.g. SEO basics, online marketing)

Skills and Requirements:
• Current college student pursuing a Bachelor’s degree; Rising Juniors and Seniors preferred
• Interest in digital content production, social media, and web analytics
• Experience with CMS preferred
• Strong writing and editing skills

Special Instructions:
• A cover letter is preferred

About Content Hub team:

Haymarket’s Content Hub team helps establish and execute a creative digital and print vision for editorial content and flagship annual projects for MM+M, PRWeek, Campaign US and Haymarket Business Media’s Custom Group. Working across all parts of the company, the Content Hub facilitates the Business Media brands in everything they do.

About Haymarket:

Haymarket has its heart and soul in publishing and media. Since the company was founded half a century ago, Haymarket has always prided itself on being a highly creative business, with an unrelenting focus on the quality of the products and the people. The philosophy has always been quite simple: only by having the highest quality individuals can you produce the highest quality products, combining the best in content, design, production and customer services. Globalization is opening up the world further and provides many opportunities for growth. Haymarket has offices around the world and many of the titles are now truly global brands. Haymarket serves a broad spread of business markets, from marketing to medicine to technology along with exhibitions and live events. Predicting the shape of the business in 3, 5, or 10 years is almost impossible; and the unpredictability is part of the appeal. Haymarket aims to be the perfect company to work with or for – we have the processes and attitude that ensure quality and consistency, and an entrepreneurial spirit that makes every day rewarding.

An equal opportunity employer, Haymarket Media does not discriminate in hiring or terms and conditions of employment because of an individual's race, color, religion, gender, gender identity, national origin, citizenship, age, disability, sexual orientation, marital status, or any other protected category recognized by state, federal, or local laws",https://careers.haymarket.com/vacancy/digital-editorial-intern-437774.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Editorial Intern,The New York Times Company,"Lowell, MA",,https://b-jobz.com/us/web/jobposting/229538967?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Research and Editorial Intern - Summer 2021,Political Research Associates,"Somerville, MA (+1 other)","Who We Are: Political Research Associates

Political Research Associates (PRA) is a national nonprofit devoted to supporting movements that are building a more just and inclusive democratic society. We provide research, strategy, and briefings to expose movements, institutions, and ideologies that undermine human rights. PRA publishes The Public Eye magazine quarterly. Our office is located in Somerville, Massachusetts.

Who You Are: Research and Editorial Intern

You believe in the power of research to inform social justice advocacy. You are a junior or senior in college, a recent graduate, or have developed a similar level of skill and experience through non-traditional means who is considering a career in journalism, research/analysis, or non-profits. We will consider other candidates who are otherwise excellent fits.

Requirements:

Commitment to social justice values and desire to pursue a related career

High attention to detail and methodical commitment to finding factual sources

Willingness to have sustained exposure to right-wing material for the duration of the internship

Ability to multitask and handle short- and long-term projects

Excellent written communications, editing, and proofreading skills

Ability to work independently and as part of a team

Ability to adapt to new technologies and systems quickly and effectively

Ability to quickly synthesize information about new topics

Prior experience or coursework in journalism, research, or writing a plus

Opportunities:

Fact-checking and proofreading

Assist researchers in long-term, ongoing research projects

Track media from a wide variety of sources in order to produce weekly digests

Data collection support for research and editorial teams

Benefits

$17/hour, 2 days per week from late May/early June through middle of August.

Applications are accepted on a rolling basis. You are encouraged to apply early for full consideration.

Our offices are currently closed and the summer 2021 internship will be completely remote with the potential possibility of coming into the office if we reopen. We will consider candidates who are not local to the Boston area, as long as they have work authorization in the US and can work on an Eastern Time schedule.

Political Research Associates is committed to hiring someone with the right mix of experience (both traditional and nontraditional), political commitment, and potential to grow with us. We strongly encourage people from communities most negatively affected by right-wing ideologies & campaigns to apply, particularly: people of color; immigrants; women and feminine-identified people; lesbian, gay, bisexual, queer, and Two-Spirit people; genderqueer, trans, intersex, and gender non-conforming people",https://www.internships.com/posting/sam_zHfIYoSiLIc_tRb62k3qPFc__ylXUdk4wa2Bm52n6Qhwjje77zgv-w?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Fall 2019, Content and Copy Editorial Intern, Mental Health Incubator ...",Ignite Mental Health,"Boston, MA","Do you want to learn how to improve the world? Ever wonder what it would be like to be able to get in at the ground level working at a world-changing organization just as they started growing rapidly with a team of less than twenty? Do you want to be a part of building an organization helping mental health entrepreneurs and ChangeMakers as they scale to impact the lives of 1000's, 100,000's or 1,000,000's and secure $XX M+ funding?

At Ignite Mental Health we're mobilizing, supporting, and uniting mental health entrepreneurs/ organizations while concurrently mobilizing students at scale, to achieve Three Utopian Mental Health Goals. Using this novel approach, we're working to make the impossible inevitable; helping build and scale breakthrough organizations and movements to be as impactful as Facebook and Google but in addressing the root causes of some of the biggest problems affecting mental health!

Become a member of a mission-driven founding team that grew rapidly from the Harvard and MIT communities with the help of the Harvard Innovation Labs Venture Incubation Program, to become a nationwide effort in just 9 months!

As a member of the Ignite team, you will perch atop a world-changing organization and have the opportunity to learn, grow, and hopefully thrive in a fast-paced, entrepreneurial, and impact-driven environment. On a daily basis, you will likely find yourself exposed to new perspectives, developing and growing in ways you did't expect you would!

If you're looking for a structured, predictable, and hold-your-hand type environment, Ignite unfortunately won't be it! Tenacity, a go-getter/self-starter mentality, and a willingness to speak up and fully embrace radical candor are essentials. As too is the desire to work in a nimble fast-paced startup, where bottlenecks, imperfect processes, and growing pains are the norm on the road to world-changing success.

Curious about how transformative and unique your experience with us could potentially be? Find out for yourself by contacting any of our past or current interns on LinkedIn!

FYI talent comes in all forms and sizes, we’re not easily dazzled by big-brand schools or companies. We are dazzled by people who genuinely want to improve the world and who have the growth mindset and chops to make it happen!

Our ambition is to help build organizations, movements and products —unafraid of transforming traditional approaches—that tackle the root causes of some of the biggest problems affecting mental health.

Are you in?

NB: This position is at a non-profit mental health organization and is non-compensated. For candidates who are in University /a co-op, we gladly invest best efforts in assisting you in your securing of educational internships (for credit), financial stipends, financial fellowships or financial scholarships to cover your living and other costs while with us.

Ignite Mental Health is a non-profit organization founded and run by Harvard students and incubated by the Harvard Innovation Labs VIP program. We are not a department of Harvard University, nor are we in anyway owned or operated by the University.

Keep up to date with upcoming opportunities at Ignite by following us on Instagram or www.ignitemh.org

Ignite Mental Health focuses on Health Care Information Technology, Nonprofits, Health and Wellness, Non Profit, and Mental Health. Their company has offices in Cambridge and Alston. They have a small team that's between 11-50 employees.

You can view their website at http://www.ignitemh.org or find them on LinkedIn",https://angel.co/company/ignite-mental-health/jobs/587412-fall-2019-content-and-copy-editorial-intern-mental-health-incubator-harvard-innovation-lab-mit-area-non-profit?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
