title,company,location,requirements,link
Investments Intern,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other...","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Investment Banking Intern,Ziegler,"New York, NY","CORPORATE PROFILE
Ziegler is a privately held investment bank, capital markets and proprietary investments firm. Specializing in the healthcare, senior living and education sectors, as well as general municipal and structured finance, enables us to generate a positive impact on the communities we serve. Headquartered in Chicago with regional and branch offices throughout the U.S., Ziegler provides its clients with capital raising, strategic advisory services, equity and fixed income sales & trading and research.

POSITION OVERVIEW
We are looking for a rising senior student to join our Corporate Finance Healthcare practice in Bethesda, MD for a summer intern position in our paid internship program. This program is designed to help give young professionals the opportunity to gain real-world experience at a dynamic investment bank!  

Ziegler’s expertise in our respective sectors is unsurpassed. Summer associates will have the opportunity to work with our experienced bankers, financial advisors and associates. They will have exposure to market and industry research projects, as well as detailed financial analysis. It’s an experience you’ll never find in a classroom! 

DETAILS
Internships generally start at the beginning of summer and end upon your return to school in the fall. These are full-time opportunities paid at $15.00 an hour. 

Responsibilities may include but are not limited to: 
Conduct financial statement and ratio analysis 
Research and develop competitor, market and industry reports 
Assist in credit analysis and conduct data analysis of tax-exempt bond issuance 
Provide sector analysis, update existing internal records and conduct financial data analysis 
Data collection and editing in Microsoft Excel, Word and PowerPoint 
Other duties as assigned

REQUIREMENTS
Candidates must be a senior at an accredited university
Candidates are preferred with a finance, sales or general business major 
Candidate must pass all pre-hire background checks including criminal, credit and reference checks 
Ability to work well independently and within a team
Ability to manage multiple tasks and complete quickly with accuracy
Strong interpersonal, written and verbal communication skills
Strong analytical and project management skills
Excellent proficiency in Microsoft Suite

Ziegler is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.",https://www.linkedin.com/jobs/view/externalApply/2473985140?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3D43c38b06-45d4-4a3e-b934-7559b88c2d3e%26ccId%3D19000101_000001%26type%3DJS%26lang%3Den_US&urlHash=nK-r&refId=42be9737-2c97-46c5-84a7-c3da62c610e8&trackingId=gtCMaFASfJEb1L8%2BsYtayA%3D%3D&trk=public_jobs_apply-link-offsite
Capital Markets Intern,Federal Home Loan Bank of New York,"New York, NY","The Federal Home Loan Bank of New York (FHLBNY) is a privately-owned wholesale bank that helps community lenders in New Jersey, New York, Puerto Rico and the U.S. Virgin Islands advance housing and community growth. The FHLBNY membership is comprised of commercial banks, savings banks, savings and loans, credit unions, insurance companies and community development financial institutions. The FHLBNY is part of the Congressionally-chartered, nationwide Federal Home Loan Bank System, which was created in 1932 to provide a flexible liquidity source for member community lenders engaged in home mortgage and neighborhood lending.
The Federal Home Loan Bank of New York is looking for an intern to join the Funding & Term lending desk within Capital Markets Department.

The Appropriate Candidate Must Perform Projects To Assist The Funding & Term Lending Desk Including, But Not Limited To The Following
Analysis of various market-related datasets using excel and python.
Assist with presentation materials or desk guides on various operational topics.
Assist in other ad-hoc projects as needed.
Requirements
Keen interest in Capital Markets, particularly fixed income and funding markets.
Microsoft Office proficiency, particularly in Advanced Excel.
Detail-oriented, strong organizational, communication, project management, analytical and problem-solving skills.
Basic Python knowledge required.
Education
Undergraduate Junior pursuing a Bachelor's degree in Business Administration, Finance, Economics, or related field at an accredited institution
Due to the Covid-19 environment, the intern may be required to work remotely full time.",https://www.linkedin.com/jobs/view/externalApply/2467064412?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2Febdf892d1e9ef4ea22ac3eb01e8942d7&urlHash=E9RB&refId=42be9737-2c97-46c5-84a7-c3da62c610e8&trackingId=nSKqI8IxWDHxN9KPhqpXKw%3D%3D&trk=public_jobs_apply-link-offsite
Systematic Fixed Income Strategy Intern,GMO,"Boston, MA","Company Profile

Founded in 1977, GMO is a private partnership committed to delivering superior investment performance and advice to our clients.  We offer strategies where we believe we are positioned to add the greatest value for our investors.  These include multi-asset class portfolios as well as dedicated equity, fixed income, and absolute return offerings, many of which employ the firm’s proprietary 7-year asset class forecasting framework.  Our client base is comprised primarily of institutions, including corporate and public defined benefit and defined contribution retirement plans, endowments, foundations, and financial intermediaries.

GMO, whose sole business is investment management, employs approximately 470 people worldwide and is headquartered in Boston with offices in San Francisco, London, Amsterdam, Sydney, and Singapore. We manage roughly $60 billion in client assets using a combination of top-down and bottom-up approaches that blend traditional fundamental insights with innovative quantitative methods to identify undervalued asset classes and securities. Our valuation-based approach embeds several key factors, including: a long-term investment horizon, discipline, conviction, and a commitment to research. Our research emphasizes not only identifying and exploiting pricing dislocations but also understanding the long-term drivers of return in the markets in which we invest. We are known for our candor in sharing our views with clients and for our willingness to take bold, differentiated positions when opportunities warrant.

Position Overview

The Systematic Fixed Income Strategy group is looking for a talented and driven individual to join our quantitative strategy efforts. The team is responsible for conducting research and establishing strategy across current Fixed Income capabilities and developing new strategies and products. Particular areas of focus are systematic credit capabilities in corporate credit, and the development of a framework to allocate risk across various sectors of fixed income in specific quantitative solutions projects.

The successful candidate will work on a number of projects related to the development of new systematic fixed income strategies. This would range from working with the team to develop quantitative fixed income solutions that combine existing capabilities, create factor and model attribution of existing strategies, and contribute to white papers and insight materials created by the team. He/she will develop critical insight in the development and management of fixed income strategies and gain exposure to multiple sectors of fixed income across emerging markets, corporate credit, and developed rates and currencies. This role offers insight into the investment product and strategy landscape in systematic fixed income more broadly. The individual will participate in research and project meetings and will be provided with opportunities to learn about and meet with other teams at GMO.

Department Profile

The Fixed Income team is responsible for managing portfolios and conducting research across all major sectors of fixed income and currencies. The team values clarity of roles and decision-making while maintaining a culture of intellectual curiosity, debate, respectful disagreement, candor, and collegiality.

Responsibilities
Conduct strategy and quantitative fixed income solutions research and design applying existing strategies and capabilities to meet specific investment needs
Create and enhance interactive tools for analysis and visualization of current fund and strategy positioning, performance and risk characteristics
Improve and extend connectivity on data and coding architecture and infrastructure within the fixed income and across other teams as appropriate.
Assist various members of the Fixed Income team with related research projects including contributing to white papers and broad research initiatives.

Profile And Requirements
Working on a degree in Computer Science, Quantitative finance, Applied Mathematics/Statistics, Engineering or similar
Hands-on experience with programming in Matlab, or another language like R, Python, Java, C# or Julia
Programming proficiency in SQL
Basic understanding of statistics and econometric concepts
Interest in understanding the sources of returns for major asset classes, signal construction, portfolio theory and translation from model to markets.
Exceptional attention to detail
Ability to prioritize multiple tasks, set goals and meet deadlines
Ability to work effectively and efficiently with moderate supervision
Effective verbal and written communication skills",https://www.linkedin.com/jobs/view/externalApply/2483836102?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fgmo%2F3f6c5872-d008-454c-b6c0-6dd414526fe5%2Fapply%3Flever-source%3DLinkedIn&urlHash=nr-P&refId=42be9737-2c97-46c5-84a7-c3da62c610e8&trackingId=pxkkS%2FJPGoMZyK8tuiIDWA%3D%3D&trk=public_jobs_apply-link-offsite
