title,company,location,requirements,link
Microsoft Legal Internship,Microsoft,"Redmond, WA","Microsoft is going through a transformational change to become the leading Cloud first, Mobile first company. Microsoft aspires to help our customers achieve their own digital transformation. Every day, we work to help our customers leverage the power of Microsoft’s solutions and services, to support our mission to empower every person and every organization on the planet to achieve more.

Microsoft’s legal team champions our company's integrity and works to earn and maintain public trust. As an attorney, government affairs specialist or legal business professional, you will find the best of both worlds here: we have the quality-of-life advantages of in-house counsel paired with a stimulating work environment that spans litigation, intellectual property, transactions, licensing, and global migration. Get ready to overcome challenges, forge solutions and provide direct counsel to the cutting edge of the world’s most dynamic industry.

Responsibilities

As a Legal Intern at Microsoft, you will work within our Corporate, External & Legal Affairs department in Redmond, Washington. You will have a broad range of responsibilities from across the department, which may include researching legal issues impacting business strategy, drafting transactional documents, attending client meetings and product reviews, and collaborating with internal teams on cross-group projects.

Qualifications

Qualifications:
Applicants must be first-year law students in good standing for the degree of J.D. from an ABA accredited law school.
Excellent analytical ability and legal drafting skills.
Excellent oral and written communications skills and the ability to communicate effectively across a large number of diverse internal groups, teams and divisions.
A demonstrated ability to work efficiently, meet deadlines, and manage multi-dimensional projects in a fast-paced environment.
Ability to research and learn new concepts and legal issues quickly to facilitate problem solving.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/externalApply/2486215019?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F960773%2FMicrosoft-Legal-Internship%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=b9gX&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=yH2u3HIOaCBjWcRRhCieNQ%3D%3D&trk=public_jobs_apply-link-offsite
"Paid Internship – Washington, DC",Portland,"Washington, DC","The Company

Portland is a fully integrated communications consultancy trusted by some of the highest profile organizations, governments and individuals in the world with global offices in London, Berlin, Paris, Brussels Washington DC, Singapore, Doha and Nairobi.

We are pioneers in integrated communications campaigns help clients manage their reputation, improve their visibility and media coverage – and deliver global communications campaigns across multiple platforms.

Our teams of experienced and multilingual consultants invest time to understand clients from the inside out, work with them to set clear strategic direction, and then bring the whole of Portland’s abilities to bear to deliver their objectives.

At Portland we never rest on our laurels; we constantly strive to improve our work and be at the forefront of the industry.

The position

With experience in government and public affairs; NGOs; global impact; healthcare issues and policy; corporate reputation management; as well as digital and traditional media, our US team provides strategic counsel and integrated communications expertise to high-level clients in the US and across the globe.

The following position is full-time. Washington, DC-based applicants are preferred, but qualified remote workers will be considered for the role.

The intern may be required to carry out all of some of the following key tasks within the US office and international team:
Tracking issues in media and politics, economics, and academic elites relevant to designated clients
Stakeholder mapping and analysis for client projects
Researching and sourcing information for designated client projects
Sourcing and preparing detailed draft analysis reports
Drafting media pitches, press releases and social media content for tailored stakeholder engagement
Preparing and maintaining stakeholder and media distribution lists
Supporting the new business function, including by building databases for mail-outs
Researching and managing forward calendars of key media and current affairs events relevant to designated clients.
Assisting with administrative duties in the office


Key Responsibilities

You must:
Have a passion for media, politics and international relations
Have the ability to conduct comprehensive analyses of information under tight deadlines ensuring accuracy and relevance
Have excellent written and verbal communication skills
Have knowledge of US bilateral relations and policy, in the Middle East in particular
Be organized and have strong attention to detail
Be proficient in the use of internet tools and word processing
Be able to take direction and report progress on your work with others
Be familiar with international media


Qualifications And Skills
Bachelor’s degree, ideally from a leading institution. This is likely a degree in political or social sciences, economics, languages or literature
Keen interest in media, politics, public affairs and communications is essential
Relevant international experience and language skills (Arabic, French, Spanish, German and/or Portuguese) are an advantage


Personal Qualities
Excellence - A passion to push things forward – to innovate and inspire others
Ambition - Constant desire to go beyond the everyday tasks in your role
Creativity - A natural ability to create innovative and unusual ideas/solutions and think outside the box
One Portland - Keep the close-knit feel of the agency by helping each other out and sharing insights, ideas and experience to help us all succeed


What We Offer In Return
We are committed to employee development and have an open doors culture where you will have the opportunity to learn from some of the most experienced people in the business. We regularly reward and promote success, and actively encourage staff to take on new challenges and responsibilities to aid progression.
Our remuneration package also includes our competitive pension contributions, private healthcare life assurance cover, company contribution to gym membership, wellbeing workshops and activities, company parties and much, much more!
At Portland we take a flexible approach to work and encourage our colleagues to do the same. All our roles are open to flexible working requests and we will consider all options during our recruitment process. This includes but is not limited to: flexible hours, home working, compressed hours and job sharing.
In addition, every permanent member of staff that works at Portland is eligible for our industry leading annual profit share. When Portland thrives, all of our people share in that success.",https://www.linkedin.com/jobs/view/externalApply/2483728577?url=http%3A%2F%2Fcezanneondemand%2Eintervieweb%2Eit%2Fannunci%2Ephp%3Fl%3Dpaid_internship__washington_dc_13347%26lang%3Den%26d%3Dlinkedin%26LAC%3Dportland&urlHash=jUce&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=7%2BZ5d6FF3Z8JFHYz1f1E4w%3D%3D&trk=public_jobs_apply-link-offsite
Government Affairs Intern,K&L Gates,"Washington, DC","Job Description

Job Summary

At K&L Gates, we are looking for smart, imaginative and hard-working people with diverse backgrounds, experiences and ideas to join us. Perhaps our search for talented visionaries and your search for important and impactful work lead to the same place.

We are seeking a Government Affairs Intern to join the Washington, DC, office. The Government Affairs Intern position is for college students to spend the summer semester (May-August) at K&L Gates to actively participate in the policy affairs of the firm and to learn about the federal political process. Candidates must be self-starters who possess the ability to work independently and as part of a team. Excellent communication skills and a commitment to providing the highest quality client service are strongly preferred.

KEY RELATIONSHIPS
Sr. Government Affairs Specialist, Government Affairs Specialists, Lawyers and Lobbyists

Essential Duties
Assisting Government Affairs Specialists and other policy professionals
Monitoring press and Capitol Hill publications for a variety of topics and issues of interest to clients
Assisting with projects, including conducting research, creating charts and legislation, policy and politics
Compiling briefing books, relating to a broad range of issues for attorneys and clients
Delivering and retrieving documents from Capitol Hill for the firm and clients
Attending Congressional hearings
Additional Duties

EXPERIENCE SKILLS REQUIRED
Must be a current college student with an interest in federal legislation, policy and politics
Must possess strong communication and organization skills
Must be highly motivated
Must have a working knowledge of Microsoft Word, Outlook, Excel, Internet and electronic information sources that are beneficial
Additional Abilities Required
This job operates in an office setting and is largely sedentary, requiring the routine use of a computer and other standard office equipment. The ability to open file cabinets, lift files, bend and stand on a stool may also be required.
About The Firm

K&L Gates is a fully integrated global law firm with approximately 2,000 lawyers across five continents. We have experienced dramatic growth in the past decade and now rank among the largest U.S. based law firms in the world. We take pride in constantly striving for innovation, imagination and an entrepreneurial spirit. We come up with big ideas and then roll up our sleeves to get the job done, guiding our clients through their most complex issues in a variety of industry sectors and across multiple regions of the world.

The industry recognition the firm has garnered in the past five years emanates from the foundation of a global community aligned on behalf of our clients. The people at K&L Gates are committed to working together to create a legacy for each other, the firm, our clients, and the communities in which we serve. We thrive in an inclusive and socially conscious environment that embraces diversity and takes a holistic approach to the career evolution of all our professionals.

For more information or to view other job opportunities, please click here to go back to our careers page.

Notice: We participate in E-Verify in certain Firm locations for purposes of verifying employment eligibility.

Benefits

We offer a dynamic work environment and excellent benefits.

EQUAL EMPLOYMENT OPPORTUNITY

The Firm is an equal opportunity employer. It is the policy of the Firm that employment decisions shall be based on merit, qualifications and competence. Employment practices shall not be influenced or affected by virtue of a person’s race, color, religion, sex, national origin, age, sexual orientation, gender identity or expression, marital status, disability, military status or any other characteristic protected by applicable law. This policy governs all aspects of employment including, without limitation, recruiting, hiring, compensation, benefits, promotion, assignment and dismissal. In addition, it is the Firm’s policy to provide an environment that is free of unlawful harassment of any kind including, without limitation, that which is sexual, racial, age-related, disability-related or ethnic background-related.",https://www.linkedin.com/jobs/view/externalApply/2486224647?url=https%3A%2F%2Fklgates%2Erecsolu%2Ecom%2Fjobs%2Fl2TLQ_I6JWheC0kzGOUL_A&urlHash=4K9_&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=6r7cSBjrMPrjuAYkzzDwcw%3D%3D&trk=public_jobs_apply-link-offsite
Resource & Government Affairs Intern (Corporate),Idaho Forest Group,"Coeur d'Alene, ID","Requisition Number: RESOU01406

Idaho Forest Group is currently seeking a Resource & Government Affairs Intern for approximately 6 months during 2021.

This intern will assist in researching protocols, develop an inventory management system for GHG emissions, and collect all necessary data to complete scope 1 and 2 emissions assessments at all 7 IFG manufacturing facilities.

Essential Functions
Develop GHG inventory management system recommendation and protocols for data collection compatible with potential future carbon footprint assessment (scope 3- corporate value chain) and life cycle analysis
Work with staff at each facility to collect data necessary to complete NCASI Spreadsheets for calculating GHG emissions from wood products manufacturing facilities (or similar)
Prepare final report and presentation to management team summarizing IFG's emissions inventory and recommendations for improvement as well as effort necessary to complete scope 3 (all other indirect emissions
Research and provide guidance on corporate accounting and reporting standards for GHG emissions, including scope 1 (direct emissions from fuel consumption, etc.) and scope 2 (indirect emissions from purchased/acquired electricity, steam, heat and cooling)

Qualifications
Currently pursuing or have recently graduated with an undergraduate or graduate degree in Environmental Science or Biological Engineering
Must be a Senior or higher, minimum GPA of 3.0
Knowledge of State & Emission regulations
Have own housing and transportation, none will be provided
As a condition of employment, Idaho Forest Group requires employees to complete a variety of pre-employment screening processes which may include, but are not limited to: criminal background check, drug and substance test, reference check, prior work verification, driving history (MVR), education verification, aptitude/skills testing, and credit checks. The depth of screening will vary based on the position.

Physical Requirements

Move safely, quickly, and perform duties with repetitious movement. Sit and/or stand for shift, reach with hands and arms, stoop, squat, twist, push and pull, maintain balance, bend at the waist, kneel, walk varying distances, and climb stairs. Must be able to tolerate all weather elements, loud conditions, vibrations and airborne particles (sawdust).

Idaho Forest Group is an Equal Opportunity Employer and prohibits discrimination against qualified individuals on the basis of race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, age, genetic information, family medical history, or any other status protected by law. If you are an individual with a disability and need a reasonable accommodation in the application or hiring process, please contact Human Resources at 208-762-6630 and/or hr@idfg.com.

SDL2019-64",https://www.linkedin.com/jobs/view/externalApply/2488124894?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fcoeur-d-alene-id%2Fresource-government-affair-intern-2772023663%3Fcampaign%3D128%26source%3DLI&urlHash=6DAG&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=RurECIQr%2F7PaKDlvj3J6ZQ%3D%3D&trk=public_jobs_apply-link-offsite
2021 BSMH Lima Intern Program: Government and Community Affairs Intern,Mercy Health,"Lima, OH","Thank you for considering a career at Mercy Health

The Bon Secours Mercy Health Internship Program is a paid, immersive program that will expose students to the healthcare industry while also giving them the skills and experience needed to build a future career. The program also features additional opportunities for mentorship, networking, career & professional development, community service, job shadowing, and exposure to senior and executive leaders. The Government and Community Affairs Intern will work under the direction of the Director of Government and Community Affairs.

Location

Mercy Health St. Rita’s Medical Center

Dates: Monday, May 18th- Friday, August 7th (Can be flexible here)

Hours: Flexible, 30-40 hours per week

Mission/Core Values: It is expected that all of the duties and responsibilities of this position will be performed in a manner consistent with the Ministry’s Standards of Behavior (CARE; Compassion: seeks to understand, listen and explain; Advocate: is the voice for the vulnerable; Respect: demonstrates the highest regard for and welcomes all people; Excellence: commits to the highest standard of quality care, joyful service, and teamwork) and in a manner that reflects the core values of Mercy Health which are: Stewardship, Human Dignity, Integrity, Compassion, and Service.

Responsibilities
Assist with coordinating community programs that align with our Mission
Support communications efforts around community affairs initiatives
Assist with internal communications with employees
Assist with creative projects that capture the history of our Medical Center’s experience during 2020
Support other outreach offices, such as Foundation and Community Health, as needed
Participate in advocacy initiatives as they arise
Qualifications
Currently pursuing a bachelor’s degree in Communications, English, Marketing, Business, Psychology or related field.
Strong service orientation
Self-starter with strong work ethic and sense of accountability
Proficient in Microsoft Office suite
Strong writer, ability to adjust to various audiences
Creative with some basic design/layout skills
Good communication and interpersonal skills
Proven ability to work effectively in a team environment and have strong rapport with the leaders and colleagues
Ability to work independently
Strong analytical skills
Accountabilities

Professionalism & Integrity
Displays positive attitude and work ethic
Adheres to Mission and Mercy Health’s Core Values
Exhibits professional behavior, integrity and ethical behavior consistently
Represents Mercy Health positively in the community
Accepts personal responsibility
Communication
Delivers communications, both oral and written, that are timely, clear and concise
Applies effective listening skills
Demonstrates ability to adjust communication style of the audience
Technical Skills
Develops understanding of projects and how tasks relate to the “big picture”
Demonstrates ability to research, analyze and conclude on issues
Asks the right questions to garner an appropriate level of understanding
Teamwork
Demonstrates ability to work well with others and builds positive relationships with team members
Represents own interests while working for the good of the team
Focus on Quality & Workload Management
Delivers a high-quality work product ensuring its completeness and organization is logical
Uses effective time management skills to complete project work within specified deadlines
Performs thorough self-reviews of work
Meets assigned deadlines while performing assigned tasks
Keeps supervisor informed on a routine basis as to the status of various projects, particularly when a delay or problem arises
Personal Effectiveness
Takes initiative and is willing to attempt new tasks/responsibilities. Asks questions when unclear of a concept or idea
Requests challenging assignments to ensure continuous learning
Actively solicits feedback on performance
Other Information

If you are interested, please feel free to submit your application.

Application deadline: Friday, April 16th, 2021.

At the conclusion of your application, you will be prompted to complete the Infor Talent Science Assessment. This assessment takes approximately 30-45 minutes to complete and must be completed for your application to be considered.

About Bon Secours Mercy Health

Bon Secours Mercy Health is one of the five largest non-profit, Catholic healthcare systems in the United Sates. We operate across 2 Countries – U.S. and Ireland and across 7 states – Ohio, Kentucky, New York, Maryland, Virginia, South Carolina, and Florida. With 48 hospital and over 1000 sites of care, BSMH brings in over $8 Billion in net operating revenue a year. Driven by a strong mission, we donate nearly $2 Million a day is community benefits!

Mercy Health is an equal opportunity employer.

We’ll Also Reward Your Hard Work With
Comprehensive, affordable medical, dental and vision plans
Prescription drug coverage
Flexible spending accounts
Life insurance w/AD&D
An employer-matched 403(b) for those who qualify.
Paid time off
Educational Assistance
And much more
Scheduled Weekly Hours

0.01

Work Shift

Days

Department

Administration - St. Rita's

All applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, age, genetic information, or protected veteran status, and will not be discriminated against on the basis of disability. If you’d like to view a copy of the affirmative action plan or policy statement for Mercy Health – Youngstown, Ohio or Bon Secours – Franklin, Virginia; Petersburg, Virginia; and Emporia, Virginia, which are Affirmative Action and Equal Opportunity Employer, please email recruitment@mercy.com. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact The Talent Acquisition Team at recruitment@mercy.com",https://www.linkedin.com/jobs/view/externalApply/2493360223?url=https%3A%2F%2Fcareers%2Emercy%2Ecom%2Fjob%2F-%2F-%2F29152%2F6470781072&urlHash=zR46&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=wU3QkgutNHEGFAIr5c07PQ%3D%3D&trk=public_jobs_apply-link-offsite
IN-21039 U.S. Government Relations Summer 2021 Intern,World Wildlife Fund,"Washington, DC","World Wildlife Fund (WWF), one of the world’s leading conservation organization, seeks a Policy and Government Affairs Summer 2021 Intern. The Policy and Government Affairs department of the World Wildlife Fund is seeking part-time to full-time interns for policy research, analysis, and outreach. Given the diversity of issues that the USGR staff covers, research, and analysis may entail working with legislation, regulations, and potentially court cases. By contrast research, analysis, and support may include assessment of government agencies' roles, policies, and positions on issues relating to WWF's mission, or writing of brief materials about U.S. government agencies. Outreach may entail covering congressional hearings and markups, and preparing and attending congressional, administration, and/or NGO coalition briefings. Subject matter will cover many of the issues in which WWF is involved, including biodiversity conservation (e.g., endangered species and habitat protection), natural resource management (e.g., fisheries, forestry, and agriculture), environment and security, climate change, and energy.
Research, writing & analysis on various topics which may include food and water security, foreign assistance, marine and fisheries issues, species and climate change, as well as USAID specific topics
Legislative tracking and research
Attend Congressional hearings and briefings, and NGO coalition meetings
Outreach to Capitol Hill and the Administration on legislation and rulemaking

Only enrolled students are eligible for this internship as you must be able to receive academic credit from your current academic institution. Able to work either part time or full time, depending on class schedule and availability. Please note This internship is for Summer 2021.

Desired Skills And Qualities
Undergraduate student
Interest in conservation and international development issues with a concentration in International Relations, Public Policy, American Government, or Political Science
Interest and willingness to learn about Capitol Hill, the Administration (specifically USAID, U.S. State Department, and Millennium Challenge Corporation) and other non-governmental organizations
US Government internship experience
Excellent written and verbal communications skills
Ability to work in a fast-paced environment, collaboratively and independently
Strong interpersonal skills crucial for developing working relationships, internally and externally
Strong organizational skills
Attention to detail

Location

Washington, DC

Compensation

Unpaid. For all unpaid internships, applicants must be enrolled in school and be able to obtain academic course credit from their university.

To Apply
Submit cover letter and resume through our Careers Page, Requisition #IN-21039
Due to the high volume of applications we are not able to respond to inquiries via phone
* Please note that WWF does not provide VISA sponsorship to interns

As an EOE/AA employer, WWF will not discriminate in its employment practices due to an applicant’s race, color, religion, sex, national origin, age, marital status, genetic information, sexual orientation, gender identity and expression, disability, or protected Veteran status. WWF values diversity and inclusion and welcomes diverse candidates to apply.",https://www.linkedin.com/jobs/view/externalApply/2468253555?url=https%3A%2F%2Fcareers-wwfus%2Eicims%2Ecom%2Fjobs%2F2786%2Fin-21039-u%2Es%2E-government-relations-summer-2021-intern%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=5vUz&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=ke8VVXjhFzX6xh4LOelPig%3D%3D&trk=public_jobs_apply-link-offsite
Refugee Resettlement and Asylum Policy & Advocacy Internship,International Rescue Committee,"Washington, DC","Requisition ID: req12571

Job Title: Refugee Resettlement and Asylum Policy & Advocacy Internship

Sector: Advocacy & Government Affairs

Employment Category: Intern

Employment Type: Part-Time

Open to Expatriates: No

Location: Washington DC, USA

Job Description

The P&A team seeks an intern to work with the domestic (U.S.) portfolio. Topics that may come up during the internship include issues related to refugee resettlement, asylum policy, the protection of unaccompanied children, and programs serving victims of human trafficking, survivors of torture, and other vulnerable groups. The P&A team engages in advocacy at both the state and federal level.

Responsibilities
Conduct policy research and analysis on topics relevant to state and federal portfolios
Monitor and track policy developments and team activities
Analyze state and federal legislation related to refugees, asylum seekers, and other populations of concern
Attend (virtual) meetings, events, and congressional hearings, take detailed notes and report back
Draft, edit, and format public-facing content and materials
Other duties and tasks as assigned
Learning Outcomes
Will learn about core elements of the U.S. policymaking process, the roles of various parties in crafting policy, and the IRC’s issue areas
Will gain experience conducting research and analysis for policy and advocacy aims
Will learn about administrative and legislative advocacy strategies
Will have the opportunity to observe, interact, and network with NGO partners and coalitions
Will learn about process of coordinating advocacy across a large international NGO
Qualifications
Strong research, writing, and editing skills
Interest in and familiarity with U.S. refugee and asylum policy
Ability to multi-task and prioritize various tasks in a fast-paced work environment
Ability to work effectively and accurately with MS Outlook, Word, Excel, and internet applications
Ability to work productively in a team environment as well as under minimal supervision, taking the initiative to ask questions as needed
Legal research and analysis skills are a plus
Graphic design skills and experience creating visual materials are a plus
Requirements
Available to work a minimum of 20 hours per week for a minimum of 12 weeks between May and August
Due to COVID-19, this internship may be remote. The intern may opt to conduct the internship remotely even in the event that the program is able to transition to in-person operations at the IRC office in Washington, DC. Despite a remote environment, the intern can nonetheless expect to be fully embedded within the P&A team through a close supervisory relationship with regular check-in meetings and participation in the team-wide weekly meetings.

Please note that this internship is unpaid but includes a reimbursement of up to $25 per day for transportation and lunch. The IRC will provide a laptop for internship use in the case that interns do not have access to a computer.

The International Rescue Committee is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, or age. The Policy and Advocacy team is committed to building a diverse staff and strongly encourages applicants of color to apply.

To apply, please submit a cover letter (including your availability), resume, and a 2-4 page writing sample, preferably on a topic relating to refugees, asylum, or other relevant issues.

Applications will be considered on a rolling basis until the position is filled. Due to the high volume of applications, we are unfortunately only able to contact candidates who have been selected for an interview.",https://www.linkedin.com/jobs/view/externalApply/2468073841?url=https%3A%2F%2Frescue%2Ecsod%2Ecom%2Fux%2Fats%2Fcareersite%2F1%2Fhome%2Frequisition%2F12571%3Fc%3Drescue%26source%3DLinkedInA&urlHash=Y33_&refId=4aa6ea14-09d8-4d0a-bce5-86a72d099814&trackingId=ruH%2B03GrCXLUtHpZUOQIKw%3D%3D&trk=public_jobs_apply-link-offsite
Intern - Government Affairs,PerkinElmer,"Waltham, MA","Intern - Government Affairs
Waltham/en-US/External/job/Waltham/Intern---Government-Affairs_JR-019582/apply

Job Title
Intern - Government Affairs

Location(s)
Waltham

Responsibilities:
• Update list of newborn screening advisory committees across the states and get on email lists.
• Research national legislative associations to ascertain what their plans for newborn screening are in 2021
• Monitor Rare Disease Caucus in Congress and rare disease caucuses in the states
• Monitor social media of national and state disease groups
• Participate in calls with advocacy groups
• Research consultants who advise disease groups about obtaining RUSP approvals
• Research RUSP approval process and complaints about it online and in interviews with key advocacy groups
• Research list of disease groups with RUSP submissions pending and plans to submit requests for consideration
• Based on research and interviews with key stakeholders, assist in development of recommendations for improving RUSP approval process
• Sign up for legislative alerts for key committees in Ohio, North Carolina and Georgia (where state legislation will be pushed to align state panels with federal RUSP).
• Monitor health committees in states where NBS legislation is pending.
• Monitor state budget and appropriations processes for impacts on state public health labs and new funding.

Additional support as needed in DC Office:
• Assist new government affairs director in DC with monitoring congressional hearings of importance for PE
• Assist new director with research of federal agencies, legislative and agency rule tracking, etc.

Basic Qualifications:
• Must be enrolled in a Bachelor's program with a minimum completion of sophomore year in college

PerkinElmer is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, or veteran status or any other characteristics protected by applicable law. PerkinElmer is committed to a culturally diverse workforce.Posted 3 Days AgoPart timeJR-019582

PerkinElmer is a $2.9 billion global company committed to innovating for a healthier world. We create the instruments, tests and software used by scientists, researchers and clinicians to address the most critical challenges across science and healthcare, including the most recent COVID-19 pandemic. We strategically partner with customers to enable earlier, more accurate insights, supported by deep market knowledge and expertise. Our dedicated team of 13,000 employees are passionate about helping them work to create healthier families, improve the quality of life and sustain the wellbeing of people worldwide",https://www.internships.com/posting/bug_38968861689?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Relations and Policy Intern,Commonwealth Care Alliance,"Boston, MA (+1 other)","Job Description

Reporting to the Government Relations Policy Director, the summer intern will conduct policy analysis and research to drive the impact of CCA’s comprehensive, integrated care model and:
• Develop one or more white papers on policy priorities for distribution to state and federal policymakers; topics may include social determinants of health, telehealth, value-based payment, health care workforce, and topics chosen by the intern
• Analyze policy reports, regulatory proposals, and relevant bills and communicate findings to internal teams
• Produce quick turn-around deliverables, such as leave behinds for meetings with elected officials
• Monitor state, federal, and health plan Medicare-Medicaid integration news and inform the Government Relations team about relevant updates
• Attend policy briefings and legislative hearings and report key takeaways to the team
• Learn about public policy and government relations strategies to advance how care is designed and delivered for people with complex needs

This paid summer internship is a part of CCA’s structured 12-week Summer Internship Program that is designed to give a select student cohort hands-on experience in an innovative health care setting and the opportunity to explore a potential career within our growing organization. As the Government Relations Policy summer intern, this individual will advance high-touch care delivery through unique contributions to our state and federal policy goals","https://www.ziprecruiter.com/c/Commonwealth-Care-Alliance/Job/Government-Relations-and-Policy-Intern/-in-Boston,MA?jid=fd1bc428d29ca707&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Graduate Assistant, Office Of Public Affairs, Community And Government Relations",Commonwealth Care Alliance,"Boston, MA (+1 other)",,"https://www.ziprecruiter.com/c/Commonwealth-Care-Alliance/Job/Government-Relations-and-Policy-Intern/-in-Boston,MA?jid=fd1bc428d29ca707&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
