title,company,location,requirements,link
Graphic Design Internship,RISD Museum,"Providence, RI (+1 other)","The RISD Museum partners with the Studio Institute’s Arts Intern Providence Program to offer full-time summer internships.

The Arts Intern program provides exciting opportunities for college undergraduates to learn about nonprofit professions through internships at museums and other cultural institutions. The program seeks candidates with demonstrated financial need and encourages applicants from diverse cultural backgrounds.

Each intern works closely with a staff mentor on a project relevant to their areas of interest. In addition, Arts Interns must participate in the education component of the program, which is spread out across nine program days throughout the summer. These days will be used to visit other institutions in their city as a cohort, where the interns will have the opportunity to learn about other jobs in the field, and to complete program assignments.

This program is 9 weeks in length, 28 hours per week. Interns receive $15 per hour in addition to a $500 stipend for completing the Arts Intern component of the program. Visit the Program Details page for more information.

RISD Museum internships may be virtual or hybrid this summer; plans are subject to RISD's guidelines and will be communicated by the end of April to all interviewed students.

Graphic Design

The Graphic Design Intern will learn how to design experiential graphics from concept to delivery of files for production. The intern will work with the curators, museum editor, and installation manager to design the graphics for an upcoming exhibition of costume and textiles while receiving guidance and instruction from the graphic design department, creating a graphic identity for the exhibition and produce all relevant materials, including title, chat labels, and object labels. Tasks may also include designing and producing promotional materials for fall programs in coordination with educators and marketing staff. They will be introduced to the systems, tools, and processes the RISD Museum uses and will practice everyday workflow, management, and design strategies.

APPLICATIONS SENT THROUGH INTERNSHIPS.COM WILL NOT BE CONSIDERED. To apply, you must follow the external link",https://www.internships.com/posting/7fb24378-7d6c-4e50-91b0-517e615daddf?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Internship: Video Production and Graphic Design,Twisted Throttle,"Providence, RI","The Company. Twisted Throttle® is an established company with a healthy growth record and a dynamic management team. Located in Exeter, Rhode Island, Twisted Throttle was founded at the cusp of the now-exploding adventure motorcycling craze and is currently positioned as one of the major players in the market. We provide premium bolt-on motorcycle accessories for the adventure, sport-touring, and sport bike markets, primarily serving European and Japanese motorcycle riders. As exclusive North American distributor for leading powersports and ADV brands (including SW-Motech, R&G and others), we also specialize in prototyping, product development, wholesale distribution, and Internet retail sales for the full line of Twisted Throttles house of brands.

The Experience. Our interns are placed within teams and given a manager and mentor to help them build technical skills, cultural competencies, and self confidence. By being integrated into a team, our interns get the opportunity to work on projects that have a real impact on our bottom line. Paid internships are available for students in many of the functional areas of our company, including:
• Scripting, shooting and editing video
• Intepreting YouTube and paid search analytics for videos
• Lighting and sound recording setup
• Creating and editing graphics for web, video and print
• and more!

We are located in Exeter, Rhode Island (20 minutes west of URI in South Kingstown via route 138, 30 minutes south of RISD in Providence via I-95, or 45 minutes west of Salve Regina in Newport). Seasonal and annual internships are available with flexible hours, and many interns stay on after graduation as full time employees. Come join us for fun, learning, and motos!

Working Conditions: Enthusiasm for motorcycles is preferred for all positions at Twisted Throttle, as enthusiasm for any sport, outdoor, or adventure activity is key to fitting in with our passionate culture. (All new hires without previous motorcycle experience are provided opportunity to attend the motorcycle safety course and obtain their motorcycle driver's license.) Whether you are a motorcycle enthusiast or not, count on the contagion of the Twisted Throttle organizations passion and drive. You will work in an office environment with a great management team that loves to work hard, have fun, and win!

Benefits and Perks:
• The Tame. Twisted Throttle provides competitive benefits for full time staff, including multiple health, dental and vision insurance options, Health Savings Account (HSA), Flexible Spending Account (FSA), term life insurance equivalent to one year's pay, 401k with company match, gym membership reimbursement, an Employee Assistance Program (EAP), subsidized classes and convention entry for professional development, and paid time off that grows with your time at the company. AFLAC benefits, including Cancer, Life, Disability and Accident plans, are also available.
• The Twisted. Aside from awesome discounts on powersports gear and motorcycles, our culture includes a few unconventional traditions. Quarterly employee appreciation days include Nerf jousting, trips to breweries, and motorcycle release parties. Our weekly ""Meat Wednesday"" is a group lunch where all departments get together for fun, recognition and vittles. Our Ducati espresso machine keeps us fueled in the office, and our Moto Sabbatical rewards completing four years of service with a nine-day paid motorcycle-related trip; Twisted Crew members have ventured on two wheels to Alaska, Key West, the Alps, Mexico and more on their sabbaticals.

Powered by JazzHR","https://www.glassdoor.com/job-listing/internship-video-production-and-graphic-design-twisted-throttle-JV_IC1151289_KO0,46_KE47,63.htm?jl=3456035577&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Graphic Design Intern,Chegg Inc.,Anywhere,"Graphic Design Intern
Remote, United States

The design team at Chegg is looking for a passionate and creative summer intern to join our team. You’ll develop real-world experience and play a key role in our visual voice, collaborating with our creative team on internal and external projects. You’ll work closely with our Visual Designer to develop creative concepts and strategies, create meaningful work, and grow your skills technically and personally.

We’ll give you lots of freedom, but we’ll also make sure you get plenty of mentoring and guidance from us. All we ask in return is that you throw your energy into your work and help us influence, design, and create innovative products that will benefit millions of students just like you. If you’re passionate about education, innovation, and collaboration, we’d love to hear from you!

Responsibilities
• Create and design print and digital marketing materials
• Adhere to brand guidelines and complete projects according to the deadline
• Explore your skills in the Adobe Creative Suite and work with a variety of media
• Collaborate with our Visual Designer to develop design concepts
• See projects through from conception to completion
• Be an active member of our marketing and creative teams, attend team meetings, and coordinate projects with stakeholders

Requirements
• Working toward a degree in graphic design or a related field (graphic design, visual communications, digital design)
• Basic knowledge of layouts, typography, line composition, color, and other graphic design fundamentals
• Must be proficient in Adobe Creative Suite software
• Strong creative and analytical skills
• Compelling portfolio of graphic design work

Nice to Haves
• Experience working in Figma or Sketch
• Experience with motion graphics

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/graphic-design-intern-at-chegg-inc-2419654491?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Graphic Design Intern (Paid),HireRocket,"Providence, RI","Company Name:MojoTechWe are seeking a talented Graphic Designer with a strong understanding of business and design fundamentals across multiple mediums. The graphic design intern will be responsible for designing and developing presentation and communications materials that support the Sales and Marketing teams as well as maintaining the digital asset management system. The qualified candidate will work in a fun, fast-paced environment, helping design and maintain engaging digital collateral for the MojoTech brand.The MojoTech intern will:Create and design compelling presentation deck templates while adhering to MojoTech's branding standards.Process, resize, and maintain creative assets for various use cases.Assist with keyword tagging and cataloging in the digital asset management system.Assist with metadata QA in the digital asset management system.Manage brand marketing and sales projects on a case-by-case basis.Assist with developing training documentation for digital workflow process.Work with Marketing Manager to design responsive email campaigns, landing pages, display ads and other digital graphics as necessary.Some of the things we're looking for include:Working on a B.F.A. in Graphic Design, Digital Media, Marketing or a related field.Strong communication skills.Detail oriented and highly organized.Clear understanding of strong presentation design, tools, and techniques.Graphic design with a variety of digital mediums.Proficiency with Adobe Suite.Proficiency",https://providence-ri.geebo.com/jobs-online/view/id/289883009-graphic-design-intern-paid-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Graphic Design Co-op (Summer 2021),HireRocket,"Providence, RI",,https://providence-ri.geebo.com/jobs-online/view/id/289883009-graphic-design-intern-paid-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Graphic Design Intern,Thundermist Health Center,"Warwick, RI","Thundermist's Mission - To improve the health of our patients and communities by delivering exceptional health care, removing barriers to that care, and advancing healthy lifestyles

Thundermist Health Center seeks savvy Graphic Design intern to go pro

If you are a student who is seeking to build your portfolio, this is a great opportunity to use your creative talent and gain professional experience. Thundermist Health Center is seeking a Graphic Design intern to join our in-house MarComms shop, ThunderStudios. We're looking for a motivated individual with a zest for design to support our design team with digital, print, and video projects.

This is a 10-hour per week, part-time, paid position.

Responsibilities:

This fast-paced, hands-on position will produce several pieces per week, including:

Flyers

Social Media graphics

App graphics

Stylebook updates

Graphics for video

Video production assistance

Qualifications:

Working knowledge of Adobe CC, emphasis on InDesign Photoshop, and Illustrator. Bonus: Premiere / After Effects

Experience with tight deadlines, school newspaper/website a plus

Awareness of the latest trends in graphic design

Ability to keep projects on track creatively and in accordance with production deadlines

Strong organization and time management skills

A positive attitude and flexibility for last-minute changes

Who We Are

Thundermist Health Center is a Federally Qualified Community Health Center, serving three communities - Woonsocket, West Warwick, and South County.

In a fast-paced and team-oriented environment, interns can develop valuable skills while making realistic, creative contributions to the company.

Learn more by visiting our website and social outlets.

How to Apply:

When applying online, please include a cover letter, resume, and a link to your online portfolio.

This is a 10-hour per week position starting at $11 per hour. Two blocks of five hours each preferred.
Thundermist is dedicated to the goal of building and maintaining a diverse and inclusive workforce committed to caring for patients in a manner that is respectful of cultural difference. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Apply Now","https://www.ziprecruiter.com/c/Thundermist-Health-Center/Job/Graphic-Design-Intern/-in-Warwick,RI?jid=bff904b8811d4b8a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Graphic Design Intern,Blount Fine Foods,"Fall River, MA (+1 other)","The Graphic Design Intern is responsible for assisting with a range of projects, such as print ads, displays, collateral material, and digital graphics. Intern is responsible for supporting the Communications and Engagement Team with internal communications following the corporate brand. Learn and use your skills to help create engagement materials, and contribute to all other communication efforts, and lead on creative projects and communication. The Graphic Design Intern is responsible for supporting the Communications and Engagement Team with internal communications following the corporate brand.

In this position, the intern will learn the creative process from design concept to outcome.
Hands on experience with graphic design work for Corporate Communications
Mentorship from our Corporate Communications Specialist/Graphic Designer
Ability to take a lead on creative projects and project manage alongside peers
Essential Duties and Responsibilities

Work directly with corporate communications department to conceptualize and create internal corporate communications (Internal)- Postings/Brochures/Newsletters, etc.
Assist with designing, creating decks and presentations.
Stay ahead of design trends, proposing edits and evolution that align with Blount Fine Foods brand
Assist in design and creative direction research when necessary
Agility to adjust to various opinions on design concepts
Ability to prioritize and produce content based on prioritization without loss of quality
Other duties with similar skill, work conditions, and responsibilities as assigned.
Education and/or Experience

High school diploma or general education degree (GED); or one to three months related experience and/or training; or equivalent combination of education and experience.
Proficiency with the Adobe Creative Suite (specifically InDesign, Illustrator and Photoshop)
Microsoft Office.
Knowledge of Facebook, Instagram and Twitter.
Strong attention to detail including grammar and spelling
Well-honed typographic and design skills
Detail oriented with an eye for consistency; ability to multi-task with changing priorities.
Certificates, Licenses, Registrations

This position requires a valid drivers license, pre-employment and annual screening of Motor Vehicle Record and personal automobile insurance coverage in accordance with the Blount Fine Foods Employee Handbook",https://www.barefootstudent.com/jobs/internships/graphic_design_intern_1920495621?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Graphics and Visual Designer,SAP,"Providence, RI","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

CONTRACT DURATION: 6 MONTHS

CONTRACT HOURS: 40 HOURS PER WEEK

ANTICIPATED START DATE: APRIL 2021

OFFICE LOCATION: VIRTUAL US

PURPOSE & OBJECTIVE OF POSITION

The global Industry and Value Advisory (IVA) organization is chartered with articulating the value of adopting SAP Solutions and differentiating SAP as the innovation partner of choice. Our team is responsible for setting and scaling organizational best practices, driving enablement across field-facing organization, and driving other key global value-focused programs. We are looking for an innovative designer to help enhance our work and make the value of SAP shine!

EXPECTATIONS & TASKS

As Visual Design Intern you will work on a cross-functional team to create communication materials while sticking to SAP's overall brand strategy and style. The ideal candidate will require flexibility in that the workload will be split between static graphic design and animated motion design. You will be tasked to work on a variety of projects including:

- Presentation designs for large audiences following SAP corporate design principles
- Visually design business content and information through infographics, charts and illustrations
- Animated videos and GIFs for thought leadership and social media content
- Design and develop presentation templates for sales initiatives
- Develop marketing materials like newsletters and social posts",https://www.usajobcentral.com/job/intern-graphics-and-visual-designer-in-providence-rhode-island/5836-1155261151DF?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Internship: Video Production and Graphic Design,Twisted Throttle,Anywhere,"The Company. Twisted Throttle is an established company with a healthy growth record and a dynamic management team. Located in Exeter, Rhode Island, Twisted Throttle was founded at the cusp of the now-exploding adventure motorcycling craze and is currently positioned as one of the major players in the market. We provide premium bolt-on motorcycle accessories for the adventure, sport-touring, and sport bike markets, primarily serving European and Japanese motorcycle riders. As exclusive North American distributor for leading powersports and ADV brands (including SW-Motech, R&G and others), we also specialize in prototyping, product development, wholesale distribution, and Internet retail sales for the full line of Twisted Throttle?s house of brands.

The Experience. Our interns are placed within teams and given a manager and mentor to help them build technical skills, cultural competencies, and self confidence. By being integrated into a team, our interns get the opportunity to work on projects that have a real impact on our bottom line. Paid internships are available for students in many of the functional areas of our company, including:

+ Scripting, shooting and editing video

+ Intepreting YouTube and paid search analytics for videos

+ Lighting and sound recording setup

+ Creating and editing graphics for web, video and print

+ and more!

We are located in Exeter, Rhode Island (20 minutes west of URI in South Kingstown via route 138, 30 minutes south of RISD in Providence via I-95, or 45 minutes west of Salve Regina in Newport). Seasonal and annual internships are available with flexible hours, and many interns stay on after graduation as full time employees. Come join us for fun, learning, and motos!

Working Conditions: Enthusiasm for motorcycles is preferred for all positions at Twisted Throttle, as enthusiasm for any sport, outdoor, or adventure activity is key to fitting in with our passionate culture. (All new hires without previous motorcycle experience are provided opportunity to attend the motorcycle safety course and obtain their motorcycle driver's license.) Whether you are a motorcycle enthusiast or not, count on the contagion of the Twisted Throttle organization?s passion and drive. You will work in an office environment with a great management team that loves to work hard, have fun, and win!

Benefits and Perks:

+ The Tame. Twisted Throttle provides competitive benefits for full time staff, including multiple health, dental and vision insurance options, Health Savings Account (HSA), Flexible Spending Account (FSA), term life insurance equivalent to one year's pay, 401k with company match, gym membership reimbursement, an Employee Assistance Program (EAP), subsidized classes and convention entry for professional development, and paid time off that grows with your time at the company. AFLAC benefits, including Cancer, Life, Disability and Accident plans, are also available.

+ The Twisted. Aside from awesome discounts on powersports gear and motorcycles, our culture includes a few unconventional traditions. Quarterly employee appreciation days include Nerf jousting, trips to breweries, and motorcycle release parties. Our weekly ""Meat Wednesday"" is a group lunch where all departments get together for fun, recognition and vittles. Our Ducati espresso machine keeps us fueled in the office, and our Moto Sabbatical rewards completing four years of service with a nine-day paid motorcycle-related trip; Twisted Crew members have ventured on two wheels to Alaska, Key West, the Alps, Mexico and more on their sabbaticals","https://www.ziprecruiter.com/c/Twisted-Throttle/Job/Internship:-Video-Production-and-Graphic-Design/-in-Providence,RI?jid=d308e8ee5cb15daa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Graphic Design Intern (Remote),Eversource Energy,"Westwood, MA","Check out this video and find out why our team loves to work here!The Internal Creative Services team at Eversource is looking for a Graphic Design Intern/CO-OP to join our team. You’ll develop real-world experience by collaborating on internal/external projects – both in day to day tasks as well as longer term projects.
Create, design and edit a wide range of materials; emails, web/social media banners, various fact sheets/collateral, PowerPoint graphics, poster/ signs, ads, updating style guides, design/photo research and selection and touch-up as needed, etc.
Adhere to brand guidelines and complete projects according to the deadline
See projects from conception to completion
Help implement and launch the new Digital Asset Management system
Be an active member of our creative team, attend team meetings, project kick-off meetings and coordinate projects with stakeholders
Basic knowledge of layouts, typography, line composition, color, and other graphic design fundamentals
Strong written and oral communication skills
Demonstrate time management skills with the ability to meet deadlines and show attention to detail
We have full time video/photographer and drone pilot members on our team. Any interest and/or knowledge in those areas could be utilized  

Must be proficient in Adobe Creative Suite (Illustrator, In Design, Photoshop), PowerPoint. Also have knowledge of Microsoft Office (Outlook, SharePoint, Word, Excel)

The expectation is to be available during business hours, but can work with the manager on a flexible schedule as needed


Please provide a cover letter and an online link to portfolio/samples for consideration

Worker Type:
Student / Intern (Fixed Term) (Trainee)

Number of Openings:
1

EEO Statement

Eversource Energy is an Equal Opportunity and Affirmative Action Employer.  All qualified applicants will receive consideration for employment without regard to age, race, color, sex, sexual orientation, gender identity, national origin, religion, disability status, or protected veteran status.

VEVRRA Federal Contractor",https://www.linkedin.com/jobs/view/externalApply/2483541007?url=https%3A%2F%2Fjobs%2Eeversource%2Ecom%2Fjob%2F-%2F-%2F7774%2F6579924800&urlHash=Y9cZ&refId=40fb38ba-18de-4dbd-b234-ab4a81dfde52&trackingId=IGk90ZPhk40cOAEOxBnCOw%3D%3D&trk=public_jobs_apply-link-offsite
