title,company,location,requirements,link
Investment Analyst,Wellington Management,"Boston, MA","WELLINGTON MANAGEMENT

Wellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 55 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients.

POSITION

Role And Responsibilities

The Investment Analyst will work as part of one or more product coverage teams to contribute to the broad efforts of FIPM. The primary focus of the role is to provide analytical leverage to the team as well as be a point of contact for a variety of internal constituents regarding inquiries about the investment teams and products under coverage.

Responsibilities include performing analyses related to portfolio positioning, attribution and risk, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on the development of client solutions and new investment approaches.

The role of an Investment Analyst requires demonstrated skills or knowledge of markets and macroeconomics in combination with a passion for fixed income investing. The individual will interact closely with both investment teams and business professionals, contributing to efforts centered on reviewing and evaluating the integrity of our fixed income approaches and driving the success of those products in the marketplace.

Responsibilities include performing analyses related to portfolio positioning and attribution, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on development of client solutions and new investment approaches.

Qualifications

Success in the role requires an interest in markets, passion for learning, and a willingness to own one’s own development. A positive, collegial attitude and high level of professionalism are essential, as are creativity, initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines. We seek individuals that possess the analytical skills and ability to organize and interpret investment data to reach conclusions as well as effective verbal and written communication skills. A positive, collegial attitude and high level of professionalism are essential, as is initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines.

Further, The Ideal Candidate Will Possess The Following Qualifications
2-5 years of relevant experience and progress towards the CFA are preferred
A university degree with very strong academic credentials
Working knowledge of macroeconomics and interest in fixed income markets
Strong technical skills and mastery of MS Excel
Demonstrated analytical skills including the ability to organize and synthesize data to reach conclusions
Solid judgment, intellectual curiosity, and willingness to take a differentiated perspective
Attention to detail combined with a solutions-oriented mindset
Ability to write clearly and succinctly in a variety of communication settings
Articulate with an interest in developing presentation skills
Ability to work both independently and in collaboration with a global team
Creativity, thoroughness, attention to detail, and ability to prioritize
Grace under pressure with an ability to adapt to get things done

Skills

JOB TITLE
Investment Analyst
LOCATION
280 Congress
As an equal opportunity employer, Wellington Management ensures that all qualified applicants will receive equal consideration for employment without regard to r ace, color, sex, sexual orientation, gender identity, gender expression, religion, creed, national origin, age, ancestry, disability (physical or mental), medical condition, citizenship, marital status, pregnancy, veteran or military status, genetic information or any other characteristic protected by applicable law. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at GMCANINQ@wellington.com .",https://www.linkedin.com/jobs/view/externalApply/2450982775?url=https%3A%2F%2Fwellington%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FBoston%2FInvestment-Analyst_R83135-1&urlHash=hNFP&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=BSkx3NvfTefyoTj45Jke9Q%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst - New York (Currently remote),Illuminate Financial,"New York, NY","Description

Illuminate Financial is a fintech venture capital fund based in New York, London and Singapore.

We invest in early stage enterprise fintech start-ups and help them scale by providing them access to our deep industry network and domain expertise. Our investors include some of the most respected financial institutions and largest users of technology (JP Morgan, IHS Markit, Barclays, Deutsche Boerse amongst others), allowing us to gain deep insights into industry needs and drive growth for our portfolio companies.

We are looking for an analyst to join our New York-based investment team.

Application deadline: 11th of April 2021

TEAM

You will join the Illuminate team of twelve, including eight investors across London, New York and Singapore. We are seasoned operators and venture investors with backgrounds in banking (Citi, Deutsche Bank, HSBC, JPMorgan), entrepreneurship, consulting (McKinsey, Bain & Co), financial technology (Murex).

We focus on fundamental shifts affecting financial services, therefore we closely follow themes like Artificial Intelligence, Cloud adoption, Data infrastructure & collaboration, Digital Assets, ESG & Sustainable Finance, Machine Learning, functional industry trends and regulatory adoption triggers.

ROLE: This is a full-time opportunity in our New York office. The team is excited to return to a hybrid working model between our TriBeCa offices and working from home. In-line with US government guidance the team expects to continue working fully remotely in the near future.

The role will cover all aspects of the investment process:
Due diligence/Portfolio – Assist with due diligence and portfolio companies work
Research and prepare materials for an investment decision
Research and prepare materials for portfolio company operational matter
Strategic Partners – assist with preparation of materials for:
Research topics and prospects for thematic presentations
Prepare regular meeting materials
Pipeline – enable the Illuminate deal sourcing process:
Organising prospect introductory meetings
Research for new prospects (theme led)
Completing prospect profiles in deal flow tool
Manage the weekly Illuminate team prospect meeting schedule
Monitor existing opportunities and ensure prompt follow-up
Culture - Be an ambassador for the Illuminate brand
Uphold culture and values (e.g. celebrate success and promote collaboration and teamwork)
Articulate the Illuminate story and value proposition with confidence
Requirements
We value curiosity and a personal interest in technology and early stage investing
Ability to communicate complex ideas effectively, both verbally and in writing
Exceptional analytical skills
Successful past team members had skills valuable in sectors like enterprise tech startups, venture capital, private equity, technology, consulting, legal, buy-side and banking; but past exposure to these sectors is not a requirement
This is a full-time position
Authorization to work in the USA is required
Initially fully remote position with the expectation to shift back to hybrid working from our offices/working from home
This position is ideally suited for a candidate with 0-4 years investment experience. Past investment experience is not a requirement.
SDL2019-64",https://www.linkedin.com/jobs/view/externalApply/2499317298?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fnew-york-ny%2Finvestment-analyst-2756716149%3Fcampaign%3D128%26source%3DLI&urlHash=mSWX&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=G0Bt5rggEPlsUHE23BQ4Wg%3D%3D&trk=public_jobs_apply-link-offsite
INVESTMENT ANALYST,"Loomis, Sayles & Company","Boston, MA","Position Description

The Relative Return team has an immediate opening for an investment analyst. The investment analyst directly supports senior investment analysts and portfolio managers. The main responsibilities of the position include: assembling and reviewing data, developing tools, conducting statistical analysis, and performing ad hoc and recurring analysis.

Job Responsibilities
Work as an integral member of the product team (primarily with the senior investment analysts) on market and portfolio related analysis
Develop and enhance real time monitors/tools to track various portfolio positions
Assist with preparation of materials for various sector team, product team, client meetings, and marketplace information requests
Carry out special projects on an as needed basis
Interact with various groups within the firm as an information gathering liaison",https://www.linkedin.com/jobs/view/externalApply/2486019662?url=https%3A%2F%2Fcareers%2Epeopleclick%2Ecom%2Fcareerscp%2Fclient_loomissayles%2Fexternal%2Fen-us%2Fgateway%2Edo%3FjobPostId%3D2145%26functionName%3DviewFromLink%26localeCode%3Den-US&urlHash=LeGp&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=9hInu17Ml%2BpNNLkK4agcPg%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,CBRE,"Boston, MA","Job Summary

The purpose of this position is to support the Investment Management function on the due diligence of transactions; preparation of investment recommendations, asset management of investments; and provide input for client reporting: requires direct guidance.

Essential Duties And Responsibilities

Supports preliminary screen of investment opportunities, supports the production financial models for investments, supports production of investment summaries.

Supports the due diligence and underwriting of investments including production of financial analysis, market analysis, property analysis and production of Investment Committee recommendations

Monitors investments, meets managers regularly, updates fund model for review, produces IOC pack

Works with Portfolio Management to provide support to quarterly reporting and response to ad hoc to investment queries

Liaise with managers to collect Yardi questionnaire data and ensures input correctly into system.

Performs other duties as assigned.

Supervisory Responsibilities

No formal supervisory responsibilities in this position.

EDUCATION And EXPERIENCE

Undergraduate degree, preferably in accounting, finance or economics required; postgraduate qualification preferred.

A range of 0-2 years relevant industry experience that has been acquired in a real estate investment or real estate investment management environment.

Completed or progressing towards CFA/RICS.

Communication Skills

Excellent written and verbal communication skills. Demonstrate organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information.

FINANCIAL KNOWLEDGE

Some technical knowledge and excellent financial modeling skills.

REASONING ABILITY

Effective problem solving skills

OTHER SKILLS And ABILITIES

Applies guidelines to majority of assigned work. Handles problems and deviations in accordance with instructions policies, previous trainings and accepted practices.

Excellent IT skills; strong analytical and Microsoft Excel modeling skills - prior experience with commercial real estate discounted cash flow modeling.

Excellent oral and written English language skills

SCOPE OF RESPONSIBILITY

Decisions made with understanding of procedures and company policies to achieve set results and deadlines.",https://www.linkedin.com/jobs/view/externalApply/2459053272?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Finvestment-analyst-84726%3Fsrc%3DJB-10160&urlHash=z_sB&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=75Mmv6NtNJaw85KRAP4AQg%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst - Private Equity & Venture Capital,Rosecliff,"New York, NY","Rosecliff is a diversified investment management firm based in New York City. We seek to create positive economic impact and long-term value for our investors and portfolio companies. The firm has over $800 million in assets under management and operates multiple investment strategies, including credit, venture capital, and private equity. More information can be found at www.rosecliff.com.

Analysts will work closely with the investment team on sourcing, due diligence and executing investment opportunities. This is an opportunity for an extraordinary performer who has already mastered financial analytical and research skills through professional experience at a top tier Investment Bank, Hedge Fund, Private Equity Fund, and/or Venture Capital Fund. The ideal candidate should possess the following skill sets: resourcefulness and thoroughness in conducting complex financial analysis and investment opportunity research. The candidate will also be ability to work independently, and possess strong written, presentation and oral communication skills.

Job Description:
• Conduct market research on investment opportunities, industries, and asset classes
• Review and perform complex investment memos on new and existing investment targets
• Perform all pertinent financial analyses, including discounted cash flow, comparable, and precedent transactions
• Prepare due diligence packs for the investment team, providing relevant, informative analytics and background research
• Prepare written summaries and presentation materials
• Build detailed operating models on prospective deals
• Draft information memorandum and marketing materials for the investment team
• Provide overall support to investment team

Qualifications:
· 1-3 years of experience at a top tier investment bank, hedge fund, private equity fund and/or venture capital fund.
· An excellent academic record with graduation from a top tier business school
· Strong verbal and written communication skills
· A desire to work in a team environment with dynamic roles
· Strong knowledge of accounting, finance, and valuations is required
· Self-motivation to find solutions independently, and humility to acknowledge limits and uncertainties
· Sincere commitment to personal and professional development
· Excellent attention to detail
· Intellectual curiosity
· Good judgment",https://www.linkedin.com/jobs/view/externalApply/2459053272?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Finvestment-analyst-84726%3Fsrc%3DJB-10160&urlHash=z_sB&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=75Mmv6NtNJaw85KRAP4AQg%3D%3D&trk=public_jobs_apply-link-offsite
"INVESTMENT ANALYST, Endowment Investment Office",Boston University,"Boston, MA","Boston University is a private urban research institution, established in 1869, offering a breadth of undergraduate, graduate, and professional programs through its 17 Schools and Colleges and more than 250 fields of study.

The $2.5 billion Boston University Endowment Portfolio is diversified across a variety of asset classes and investment strategies. The Boston University Investment Office, formed in 2007, along with the Investment Committee of the University's Board of Trustees, is charged with managing the University's pooled long-term endowment assets for the current and future support of operations and with preserving the long-term purchasing power of the Endowment. It currently supports approximately 3% of the University's operating budget. For additional information about the University, please refer to www.bu.edu.

The University seeks to add a thoughtful and bright professional to join its seven-person investment team in the role of Investment Analyst. Investment Analysts play an integral role on the team and are involved in portfolio analyses, investment manager due diligence, and manager monitoring efforts. The position offers an opportunity to have broad exposure to all asset classes and develop investment expertise in an intellectually demanding and collaborative environment. The Investment Analyst will report to the Chief Investment Officer and will work closely with all investment team members.

Responsibilities

The Investment Analyst’s primary responsibilities will include: (a) analyzing investment performance and portfolio positioning, (b) assisting the Directors with due diligence of prospective fund investments, ongoing monitoring of existing investments, preparation of Investment Committee materials and investment recommendations, and (c) participating in asset allocation discussions on a weekly basis. Additionally, the Investment Analysts are responsible for maintaining relationships with investment analytics vendors.

The Investment Analyst will assist in enhancing and maintaining the Investment Office’s models and analytical tools used to monitor portfolio performance, exposures, cash flow, and liquidity. Other duties include assisting in portfolio operations, administration, and performance reporting, as well as in the maintenance of a database of key information for current and existing managers and a comments-sharing database for relevant manager updates. Additional responsibilities and special projects will be assigned as necessary.

Additional Responsibilities
Prepare Investment Committee materials and present portfolio updates and recommendations to the Investment Committee
Support Directors and Associate by assisting with rigorous due diligence and ongoing monitoring of investment portfolio and managers
Use Bloomberg and other tools to prepare portfolio reports for the team
Manage portfolio exposures on a look-through basis and highlight material changes to the Chief Investment Officer
Build relationships with analytics providers and prospective investment managers
Prepare private equity valuation reports for quarterly dissemination
Manage private model cash flow forecasts on an annual basis
Assist with daily reconciliation of futures margin, capital calls, and distributions on an as-needed basis


A cover letter must be submitted in order to be considered.

Required Skills
Mastery of Excel and PowerPoint
Ability to gather, organize and analyze data using complex MS Excel formulas
Highly organized and able to multi‐task
Ability to work independently and collaboratively to produce highly accurate work product
Knowledge of financial markets, investment portfolio strategy, and endowment management
Intellectually curious and inquisitive
Strong analytical, writing, and presentation skills, as well as the ability to concisely articulate oneself
Strong interpersonal skills and ability to interact with investment managers and investment committees
Familiarity with Bloomberg
Bachelor's degree with demonstrated strong academic performance required; preference for Finance, Economics or quantitative field and/or its equivalent, but not required
2 - 4 years of investment‐related work experience; preference for investment banking, consulting, or endowment and foundation experience
This is a pre‐MBA position (no MBAs please)


Compensation: Competitive

Start Date: Flexible

Location: Boston, MA

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. We are a VEVRAA Federal Contractor.",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=1JAxpzelACilkJxHlaBKYQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,C2R Ventures,"Boston, MA","Fast-paced Quant Trading firm with a superior reputation in Boston is seeking an Investment Analyst for their Post-Trade Analytics team to educate internal/external stakeholders on investment perfomance and make recommendations on future processes. Clear runaway to unlimited growth potential collaborating with elite professionals and the continued desire to learn.


Qualifications

Bachelor's degree in Finance, Economic or a Technology related field
Experience with SQL and MATLAB, Python, R or a similar language
Exposure to large financial datasets and real-time data
Passionate about data, data quality and robust quantitative analysis
Client-facing interpersonal skills
 ",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=1JAxpzelACilkJxHlaBKYQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,Cypress Creek Partners,"Austin, TX","About Cypress Creek
Cypress Creek Partners, headquartered in Austin, Texas, is a next generation private markets investment platform with over $500 million of assets under management. Cypress Creek seeks to provide its investors with superior cross-cycle, risk-adjusted returns. The Founding Partners have successfully invested over $5 billion across private equity and real asset strategies throughout their careers. Our vision is to become the institutional investor of choice for clients seeking differentiated access to the full spectrum of global private markets.

With strong financial backing from prominent institutional investors, the Cypress Creek team continues to evolve the ‘endowment model’ by implementing the partner-centric approach they refined over their careers – building strategic partnerships with new and developing managers in the underserved lower/middle markets. Cypress Creek investors will benefit from our proven approach to asset and manager selection, use of cost-efficient structures, liquidity-minded portfolio construction, and best-in-class operational framework and processes.

Executive Summary – Role
The Investment Analyst role represents the opportunity for an individual to become a key contributor at a young and fast-growing investment firm. Cypress Creek offers the Investment Analyst an opportunity to learn all aspects of investing across multiple asset classes with an emphasis on private markets (funds, co-investments and direct investments).  

To be successful in this role, he/she will:
1)      Exhibit a strong attention to detail and organizational skills
2)      Be a self-starter that can manage multiple tasks effectively
3)      Enjoy working in a collaborative environment
4)      Possess intellectual curiosity driven by a long-term interest in investment management as a career

The Investment Analyst reports directly to one of the Founding Partners and works closely with members of the Investment and Operations teams. The role is based at Cypress Creek’s central Austin office. 

Primary Duties and Responsibilities
·        Assist in managing the pipeline of new investments, including documentation
·        Monitor and analyze existing portfolio investments versus benchmarks and underwriting expectations
·        Manage, modify and maintain portfolio risk, liquidity, and valuation models
·        Build and update financial models for new and existing investment opportunities
·        Perform proprietary research on investments, sectors and asset classes to drive portfolio construction and investment decisions
·        Assist in the preparation of Investment Committee documents
·        Help lead diligence-related interviews and other analysis
·        Collaborate with the Operations team
·        Actively engage with prospective and current investment partners
·        Help prepare materials for quarterly and ad hoc fund board of director meetings
·        Undertake special projects, as requested
 Qualifications
Attributes/Skills:
·        High level of integrity and professionalism
·        Strong willingness and desire to learn and grow
·        Knowledge of U.S. generally accepted accounting principles
·        Advanced valuation and transaction modeling skills for private and public securities
·        Superior orientation to detail and accuracy
·        Robust and demonstrated quantitative and critical thinking skills
·        Excellent organizational and multi-tasking capabilities
·        Resourcefulness and ability to work effectively under pressure
·        Demonstrated ability to be proactive and self-motivated
·        Strong interpersonal skills and ability to work well in a team-oriented, collaborative environment
·        Effective listening, verbal, and written communication skills
·        High degree of proficiency with the Microsoft Suite of products, particularly Excel and Word
·        Prior experience with Backstop is a plus

Education/Experience:
·        Undergraduate degree in Finance, Accounting, or a related field with a strong track record of academic excellence
·        One to three years of relevant work experience, ideally at an institutional-caliber investment management firm (including an investment bank, endowment/foundation, pension fund, family office, fund-of-funds, hedge fund, or private equity fund).
·        CFA designation or a desire to pursue one is a plus

Compensation and Benefits
This is a full-time, exempt position. Compensation will be commensurate with related work experience and education. Cypress Creek offers above-market benefits, including medical, dental, and vision benefits and a 401(k) retirement plan.",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=1JAxpzelACilkJxHlaBKYQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,Professional Diversity Network,"Boston, MA","WELLINGTON MANAGEMENTWellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 55 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients.POSITIONROLE AND RESPONSIBILITIESThe Investment Analyst will work as part of one or more product coverage teams to contribute to the broad efforts of FIPM. The primary focus of the role is to provide analytical leverage to the team as well as be a point of contact for a variety of internal constituents regarding inquiries about the investment teams and products under coverage.Responsibilities include performing analyses related to portfolio positioning, attribution and risk, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on the development of client solutions and new investment approaches.The role of an Investment Analyst requires demonstrated skills or knowledge of markets and macroeconomics in combination with a passion for fixed income investing. The individual will interact closely with both investment teams and business professionals, contributing to efforts centered on reviewing and evaluating the integrity of our fixed income approaches and driving the success of those products in the marketplace.Responsibilities include performing analyses related to portfolio positioning and attribution, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on development of client solutions and new investment approaches.QUALIFICATIONSSuccess in the role requires an interest in markets, passion for learning, and a willingness to own one's own development. A positive, collegial attitude and high level of professionalism are essential, as are creativity, initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines. We seek individuals that possess the analytical skills and ability to organize and interpret investment data to reach conclusions as well as effective verbal and written communication skills. A positive, collegial attitude and high level of professionalism are essential, as is initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines.Further, the ideal candidate will possess the following qualifications:2-5 years of relevant experience and progress towards the CFA are preferredA university degree with very strong academic credentialsWorking knowledge of macroeconomics and interest in fixed income marketsStrong technical skills and mastery of MS ExcelDemonstrated analytical skills including the ability to organize and synthesize data to reach conclusionsSolid judgment, intellectual curiosity, and willingness to take a differentiated perspectiveAttention to detail combined with a solutions-oriented mindsetAbility to write clearly and succinctly in a variety of communication settingsArticulate with an interest in developing presentation skillsAbility to work both independently and in collaboration with a global teamCreativity, thoroughness, attention to detail, and ability to prioritizeGrace under pressure with an ability to adapt to get things doneSKILLSJOB TITLEInvestment AnalystLOCATION280 CongressAs an equal opportunity employer, Wellington Management ensures that all qualified applicants will receive equal consideration for employment without regard to race, color, sex, sexual orientation, gender identity, gender expression, religion, creed, national origin, age, ancestry, disability (physical or mental), medical condition, citizenship, marital status, pregnancy, veteran or military status, genetic information or any other characteristic protected by applicable law. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at GMCANINQ@wellington.com.VEVRAA Federal ContractorWe request Priority Protected Veteran & Disabled ReferralsIf you have any problems accessing or using our site, please email us at Wellington@icareerhelp.com.All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, religion, national origin, age, ancestry, disability, citizenship, marital status, veteran status, genetic information, or any other characteristic protected by law. As an equal opportunity employer, Wellington Management Company LLP is committed to a diverse workforce. In order to ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Veterans' Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants that require accommodation in the job application process may email us at Wellington@icareerhelp.com.As an equal employment opportunity employer, we make decisions based upon our business needs, without regard to race, color, sex, sexual orientation, religion, national origin, age, ancestry, disability, citizenship, marital or domestic partner status, veteran status, genetic information, or any other characteristic, status or class protected by applicable law.PDN-93060f54-e490-43ff-9b6a-5f91cf8d98f3",https://www.linkedin.com/jobs/view/externalApply/2498514997?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D475%26rx_jobId%3D4204674%26rx_url%3Dhttps%253A%252F%252Fwww%2Eprodivnet%2Ecom%252Fjob%252Finvestment-analyst-boston-massachusetts-4204674%253Futm_source%253DRecruitics%2526utm_medium%253Djobboard%2526utm_campaign%253DEnterprise%2526utm_campaign%253Dlinkedin%2526utm_medium%253Dpost%2526utm_source%253Dlinkedin%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253Dlinkedin%2526rx_ts%253D20210411T151827Z&urlHash=-wBc&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=cauYzmXHKnVGasPBp%2FMuCQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,"Argent Financial Group, Inc.","Oklahoma City, OK","Investment Analyst

Location: Nashville, TN or Oklahoma City, OK

Argent Trust is hiring an analyst for the investment management team to support multiple professionals/committees that are investment driven & multi-asset based structured. The successful candidate will work directly with the CIO and several Sr. Portfolio Managers, on a coordinated basis, on many aspects of the investment research process including, but not limited to: building and maintaining financial modeling, data warehousing, preparing reports/lists for individuals and group discussions, performing financial and credit analysis, writing research reports(both internal and for published literature), developing various industry analyses and competitive assessments, conducting investment reviews, and preparing request for proposals(RFPs). It’s preferred, though not mandatory, that this analyst should have broad exposure to the research process that investment analysts utilize to make decisions. The successful candidate could, in time, present in front of clients, prospects, and professional partners.

Requirements

An undergraduate degree in a related area of study. A MBA or CFA is a positive, but not required. (It’s also understood that this successful candidate will progress towards becoming a CFA Charterholder, if not already earned) Prefer candidate with 1-2 years of relevant work experience Exceptional communication skills, both verbal and written (will be asked to provide sample) Advanced Excel and PowerPoint skills (again, sample will be needed) Bloomberg, Morningstar Direct, and Value Line knowledge a plus Demonstrated capacity to be a team player Self motivated & willing to be proactive Willing to be “coached”",https://www.linkedin.com/jobs/view/externalApply/2499646285?url=https%3A%2F%2Fwww%2Ewhatjobs%2Ecom%2Fcoopof__cpl__236345136__35%3Futm_source%3Dlinkedin%26utm_medium%3Dfeed&urlHash=QhYT&refId=9b288a6a-9fd3-4da8-8d8a-92844a1b6056&trackingId=h8jxmvSj3VhAUnv0KFc53g%3D%3D&trk=public_jobs_apply-link-offsite
