title,company,location,requirements,link
Investment Banking Intern,Ziegler,"New York, NY","CORPORATE PROFILE
Ziegler is a privately held investment bank, capital markets and proprietary investments firm. Specializing in the healthcare, senior living and education sectors, as well as general municipal and structured finance, enables us to generate a positive impact on the communities we serve. Headquartered in Chicago with regional and branch offices throughout the U.S., Ziegler provides its clients with capital raising, strategic advisory services, equity and fixed income sales & trading and research.

POSITION OVERVIEW
We are looking for a rising senior student to join our Corporate Finance Healthcare practice in Bethesda, MD for a summer intern position in our paid internship program. This program is designed to help give young professionals the opportunity to gain real-world experience at a dynamic investment bank!  

Ziegler’s expertise in our respective sectors is unsurpassed. Summer associates will have the opportunity to work with our experienced bankers, financial advisors and associates. They will have exposure to market and industry research projects, as well as detailed financial analysis. It’s an experience you’ll never find in a classroom! 

DETAILS
Internships generally start at the beginning of summer and end upon your return to school in the fall. These are full-time opportunities paid at $15.00 an hour. 

Responsibilities may include but are not limited to: 
Conduct financial statement and ratio analysis 
Research and develop competitor, market and industry reports 
Assist in credit analysis and conduct data analysis of tax-exempt bond issuance 
Provide sector analysis, update existing internal records and conduct financial data analysis 
Data collection and editing in Microsoft Excel, Word and PowerPoint 
Other duties as assigned

REQUIREMENTS
Candidates must be a senior at an accredited university
Candidates are preferred with a finance, sales or general business major 
Candidate must pass all pre-hire background checks including criminal, credit and reference checks 
Ability to work well independently and within a team
Ability to manage multiple tasks and complete quickly with accuracy
Strong interpersonal, written and verbal communication skills
Strong analytical and project management skills
Excellent proficiency in Microsoft Suite

Ziegler is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.",https://www.linkedin.com/jobs/view/externalApply/2473985140?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3D43c38b06-45d4-4a3e-b934-7559b88c2d3e%26ccId%3D19000101_000001%26type%3DJS%26lang%3Den_US&urlHash=nK-r&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=MY4%2Bokx7AngsxXk%2FIGRNBQ%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2473985140?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3D43c38b06-45d4-4a3e-b934-7559b88c2d3e%26ccId%3D19000101_000001%26type%3DJS%26lang%3Den_US&urlHash=nK-r&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=MY4%2Bokx7AngsxXk%2FIGRNBQ%3D%3D&trk=public_jobs_apply-link-offsite
"Internship - Investment Banking Analyst (Real Estate, Summer 2022)",Baird,"Tysons Corner, VA","Thank you for your interest in Baird!

People are our most important asset, and each is critical to our continued success. This is why we seek out individuals who embrace the values we live by, the selfless focus of our culture, the ethics that guide us and the results we expect.

Are you looking to gain real world experience in a thriving, global financial services firm with an award-winning culture? Consider an internship and start building your career at Baird.

Our Internship Program

Our competitive intern program is a robust experience that offers interns exposure to the business world and a meaningful work experience. Interns are treated as valuable team members while learning from experienced professionals in a collaborative and dynamic environment.

Our Team

Baird’s Equity Capital Markets group includes more than 500 professionals in research, institutional sales and trading, and investment banking. Our Global Investment Banking group provides M&A, debt advisory, and equity and debt financing services to middle-market companies. There are approximately 300 banking professionals serving clients globally.

Internship Location, Availability and Hours:
Located in our downtown Tysons Corner, VA , office and working with our Real Estate team, interns must be flexible to work full time during the summer, significant hours are required.

As An Investment Banking Analyst Intern, You Will
Support the investment banking team by providing analytical support on public offerings, mergers and acquisitions and other financial advisory services for our clients
Conduct research, assist with company valuations and financial models, assist in the preparation of client presentations, and gain exposure to live transaction activity
Learn analytical skills through broad exposure to both junior and senior bankers, that will prepare you for a full-time career in Investment Banking

What We Look For
Candidates must have a proven academic record with a minimum GPA of 3.5/4.0
Current enrollment in a Bachelor’s degree program required with a strong interest of finance; Graduation date of December 2022 or Spring 2023 is required
A full-time minimum 3 month commitment during the summer is required
Accounting, Business, Economics and Finance concentrations are preferred, but not mandatory
Candidates must be eager and able to learn in a fast-paced, challenging environment
Possess a strong work ethic and a record for excellence
Have the ability to function equally well in both a team setting and on a self-directed basis
Excellent mathematical, writing, verbal and computer skills
Significant hours are required

What Makes This Opportunity Great
Fast paced environment that will enable you to grow as a professional
Unique culture that values diverse backgrounds and perspectives while emphasizing teamwork and a strong sense of partnership
Gain hands-on, real-world experience with a highly ranked organization
Interact and work closely with various levels of professionals in both a social and office setting

How To Apply

Please note: applications are for an Investment Banking Analyst Internship role with a start date of Summer 2022. Only December 2022 or Spring 2023 graduates will be considered.

Submit your resume on your Career Management System and apply on

Thank you for your interest. Baird is an Equal Opportunity Employer.

Baird is committed to diversity and provides employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, pregnancy, citizenship, national origin, age, disability, military service, veteran status, sexual orientation, genetic information or any other status protected by law.

Commitment to Inclusion & Diversity

Baird is committed to inclusion & diversity for our clients, our associates and the communities where we live and work. This commitment stems from our culture of integrity, genuine concern for others and respect for the individual. We view inclusion & diversity as an ongoing journey – one of shared responsibility, continuous improvement and a focus on progress. We invite you to join us as we work together to foster an environment where diversity unites rather than divides us.",https://www.linkedin.com/jobs/view/externalApply/2393607847?url=https%3A%2F%2Fbairdcareers%2Ecom%2Fcareer-search%2Fposting%2Fr2021218-internship---investment-banking-analyst-real-estate-summer-2022-open-%2FR2021218%2F&urlHash=HcM3&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=yer3m9B6e5PB0PER8j%2F46Q%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2393607847?url=https%3A%2F%2Fbairdcareers%2Ecom%2Fcareer-search%2Fposting%2Fr2021218-internship---investment-banking-analyst-real-estate-summer-2022-open-%2FR2021218%2F&urlHash=HcM3&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=yer3m9B6e5PB0PER8j%2F46Q%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2393607847?url=https%3A%2F%2Fbairdcareers%2Ecom%2Fcareer-search%2Fposting%2Fr2021218-internship---investment-banking-analyst-real-estate-summer-2022-open-%2FR2021218%2F&urlHash=HcM3&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=yer3m9B6e5PB0PER8j%2F46Q%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2393607847?url=https%3A%2F%2Fbairdcareers%2Ecom%2Fcareer-search%2Fposting%2Fr2021218-internship---investment-banking-analyst-real-estate-summer-2022-open-%2FR2021218%2F&urlHash=HcM3&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=yer3m9B6e5PB0PER8j%2F46Q%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2393607847?url=https%3A%2F%2Fbairdcareers%2Ecom%2Fcareer-search%2Fposting%2Fr2021218-internship---investment-banking-analyst-real-estate-summer-2022-open-%2FR2021218%2F&urlHash=HcM3&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=yer3m9B6e5PB0PER8j%2F46Q%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2393607847?url=https%3A%2F%2Fbairdcareers%2Ecom%2Fcareer-search%2Fposting%2Fr2021218-internship---investment-banking-analyst-real-estate-summer-2022-open-%2FR2021218%2F&urlHash=HcM3&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=yer3m9B6e5PB0PER8j%2F46Q%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern,Chegg Inc.,"Boston, MA","Corporate Strategy Intern

Corporate Development and Strategy Team | Chegg
Remote, United States

Your goal - to improve the education process and better the lives of students -- by interning in Chegg’s Corporate Development and Strategy group.

Organization: Corporate Development and Strategy

The Corporate Development and Strategy team is an integral part of Chegg - We work closely with the C-team to develop and execute the company’s overall strategy. Execution of strategy includes making decisions around whether the company should buy, build or partner, and therefore is closely tied to the Corporate Development function. Our small team is comprised of analysts, strategists, thought leaders, relationship builders, and dealmakers. The team drives to an understanding of relevant markets, builds out the landscape, sources deals, negotiates and closes transactions, and then develops and manages the integration plan. We also conduct market and competitive research into education trends and areas of future opportunity.

Role: Corporate Development and Strategy Intern

We’re looking for a highly motivated intern to help our team work on strategic projects in concert with the company’s business and product leaders. You will conduct research in support of our strategic roadmap and work across a number of business units, including Learning Services, Skills, and Life. The right candidate will be a self-starter with strong organizational skills and have the ability to think critically about industry and company trends.

Responsibilities
Research EdTech trends to help determine areas of opportunity and further develop our thesis on the education market and its competitive landscape
Analyze other education companies and make assessments regarding their potential as partners, competitors, investment candidates, or acquisition opportunities
Support strategic initiatives such as international expansion, product and audience expansion, partnerships, and investment opportunities
Partner with business and product leaders to develop business cases
Present key findings and recommendations to executives

Requirements
A rising sophomore or junior currently pursuing a bachelor’s degree in business, finance, economics, or a related field from an accredited four-year college or university
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder).
Have the ability to work for a continuous 12 weeks in the summer
Have the ability to work 40 hours per week
Strong analytical and communication skills
Advanced knowledge of MS Office (Outlook, Excel, Word, and PowerPoint)
Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple teams; interest in Chegg’s mission
Ability to think critically and work autonomously in both well-defined and ambiguous project environments

Nice To Have
Experience with market research and business analysis
Demonstrated passion for education and technology
Project or internship experience in investment banking, private equity, venture capital, or consulting
Project or internship experience in the education industry
What project will the intern work on?

The strategy intern will support a variety of initiatives, including contributing to the strategic planning of Chegg’s expansion into new international markets for our Learning Services and Skills business units and new non-academic verticals related to our Life business unit. Through primary and secondary research, the intern will develop an understanding of our focus markets, map the competitive landscape in each of these markets, and meaningfully shape Chegg’s entry strategy in these markets. Through their support of these initiatives, the intern will work closely with the Strategy & Corporate development team, as well as cross-functionally with a variety of Chegg’s business units.

What skills will the intern gain?
Advanced Excel
Market research
Business analysis
Basic accounting

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2446372987?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OYHTEFWW%2F&urlHash=Jmsy&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=zh%2BblU9O3Q9ubbIQCgTQ9g%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2446372987?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OYHTEFWW%2F&urlHash=Jmsy&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=zh%2BblU9O3Q9ubbIQCgTQ9g%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2446372987?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OYHTEFWW%2F&urlHash=Jmsy&refId=f3169ceb-664c-44fa-98a3-be8ca6d8e3fc&trackingId=zh%2BblU9O3Q9ubbIQCgTQ9g%3D%3D&trk=public_jobs_apply-link-offsite
