title,company,location,requirements,link
Operations Intern,BD,"Warwick, RI","Job Description Summary
Job Description

Under the leadership and direction of the Director, Manufacturing Integrator, this internship will offer the opportunity for a student to gain Operations experience by working in a dynamic environment for a leading global medical device company.

The Operations department is responsible for manufacturing and delivering all BDI Surgery finished good product offerings. This intern will provide support and customer service for internal cross-functional teams. The ideal candidate for this position is someone who is highly motivated to grow within the organization in the future and thrives in an environment of creativity and accountability.

This individual will assist in areas of project management, data analysis and reporting, facilitation/leadership of meetings, and helping to drive alignment between the commercial and operational sides of the business. In addition, this individual will gain exposure to international business, product development, QA/RA systems, and commercial strategy.

The Operations Intern will participate in data gathering and analysis, weekly project meetings, quarterly all employee meetings, attend other company meetings, and will have the opportunity to participate in several 1:1 meetings with the leadership at BDI Surgery to discuss career options in the medical device field.

This is a paid position.

Formal Education:
• Business major or equivalent undergrad or masters level program (e.g. MBA)

Specialized Skills:
• Good interpersonal skills
• Strong analytical, communication, and organizational skills
• Must have the ability to work on several projects simultaneously
• Must be comfortable working in a fast-paced environment of accountability
• Must be able to analyze data/make data-based recommendations
• Understanding of Microsoft Office Software applications (Excel, PowerPoint, Project, Visio) and web-based systems

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status.
Primary Work Location
USA RI - WarwickAdditional Locations
Work Shift","https://www.glassdoor.com/job-listing/operations-intern-bd-JV_IC1151302_KO0,17_KE18,20.htm?jl=4046436502&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Community & Operations Intern,Coterie,"Bristol, RI","Community & Operations Intern

Coterie

Posted Under: Bristol, Rhode Island jobs in Other; Other jobs in zipcode 02809

Posted On: 2021-02-28

Job Overview Coterie is seeking an enthusiastic, detail-oriented Intern who can assist with day-to-day needs of the business. We're looking for someone who can dedicate 30-60 minutes per day, Monday through Friday to assist our CEO with customer experience, social media and operations. This paid internship will give you an opportunity to learn the basics of running a consumer, venture-backed start-up. Responsibilities - Monitor our customer experience platform to provide prompt, personalized, and complete resolutions to customer questions and requests. - Engage directly with customers on our social media platforms by responding to comments and DMs. - Repost community content on our Instagram - Manage relationships with our wholesale customers - Process all orders coming in from third party platforms - Dive in wherever else is needed! - Minimum 3 month commitment, with the opportunity to stay on longer",https://www.internships.com/posting/bug_38960128216?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Corporate Operations Intern,OCEAN STATE JOB LOT,"North Kingstown, RI (+1 other)","Job Overview

POSITION SUMMARY:

The Corporate Operations Intern is responsible for assisting with process improvement and automation of existing processes, as well as revising and creating reporting for the Operations department. These tasks will be completed with the guidance of experienced professionals and will provide experience as to the day to day operations of a corporate retailer.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
• Develop an understanding of existing processes, modules and reports. . Assist with implementation of automated processes where possible
• Review and improve existing department reports. Determine what data is actionable and should be reported on versus data not relevant to the business
• Work within our CRM (Salesforce) team to create a STAR rating profile for each location. Create reports to be distributed to a defined user group at a recurring interval.
• Assist with projects, programs or services to execute department objectives
• Participate in developing department goals, objectives, and systems
• Acquire an understanding of the business environment, conduct, compliance and ethics of a retail organization
• Effectively utilize virtual means to communicate efficiently and work independently under remote conditions

Requirements

EDUCATION & EXPERIENCE REQUIREMENTS:
• Pursuing a bachelor's or master's degree, preferably in business administration or related field
• Experience using Microsoft Suite and ability to learn and use the Google platform
• Strong computer skills as well as strong communication skills
• Possess a valid driver's license and/or reliable transportation to attend training at corporate offices

ATTRIBUTES:
• Effective Communicator: You possess strong communication skills and have the ability to build and maintain a culture of trust and respect.
• Team Oriented: You are capable of embracing the ideas of others (even if they conflict with your own) for the sake of the Company and client.
• Time Management: You are able to handle multiple projects at once, and can organize multiple projects around given deadlines.
• Self-motivated: You can work with a minimum amount of supervision and be capable of strategically prioritizing multiple tasks in a proactive manner.
• Analytical: You use logical reasoning and data to build conclusions, recommendations, and reporting.
• Passionate: You must be passionate about online collaboration and ensuring our clients are successful; we love seeing hunger and ambition.

WORK ENVIRONMENT:
• Remote internship: work will be completed outside of the company locations. The intern is responsible to set up a professional and ergonomically safe work environment and to be available during working hours. The intern will also bring their own device/s to complete all work (eg all computer hardware and software, including audio and video capabilities for virtual meetings; and reliable Internet connection with ability to access the Google platform for virtual meetings and applications used for work).
• Intern is responsible to work within a climate controlled environment with minimal safety/health hazard potential. Sedentary, and frequent near vision use for reading and computer use.
• Reasonable accommodations may be made to enable individuals with disabilities to

perform essential functions.

This job description does not list all the duties of the job. You may be asked by supervisors or managers to perform other job duties and tasks, some of which may be essential to the position. Leadership has the right to revise this job description at any time. The job description is not a contract, either express or implied. You are an at-will employee, meaning either you or the Company may terminate your employment at any time, with or without notice",https://www.myvalleyjobstoday.com/jobs/corporate-operations-intern-north-kingstown-washington-county-rhode-island/261660304-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Operations Intern (Summer 2021),New England Construction,Rhode Island,"The Operations intern will provide support to the Project Engineer, Project Manager, and Superintendent on specific projects. Through this internship, our hope is that you will gain knowledge and experience directly related to your area of study.

Typical Responsibilities/Duties

Operations Intern responsibilities and duties include, but are not limited to the following:
• Attend weekly onsite meetings including Subcontractor coordination meetings, owner/architect meetings, and internal team meetings.
• Assist the Project Engineer with the writing of meeting minutes during all weekly operations meetings, Subcontractor coordination meetings and Owner/Architect meetings.
• Assist in maintaining documents such as the material status report, contact lists, and drawings.
• Assist with the RFI and submittal process as needed.
• Provide team members and Subcontractor(s) with all current construction documentation as directed.
• Assist and support project team with closeout coordination including but not limited to making phone calls, printing documents, filing documentation, making binders, and updating the Project Engineer on percent complete on a weekly basis.
• Assist Project Manager and Superintendent with project start up and jobsite initial set up. Including but not limited to collecting all project documentation from the Estimating Department.
• Calling subcontractors as needed.
• Meet bi-weekly with the Manager of Project Engineering to review work on personal goals and provide update on projects.
• Participate in project and/or team meetings as needed.
• Attend and participate in the weekly project management meeting with Operations Department.
• Assisting other departments as directed.
• Perform other related duties as assigned.

Skills And Competencies
• Strong written and verbal skills
• Ability to work in a fast-paced environment and prioritize effectively.
• Experience with Microsoft Office suite required
• Flexible and adaptable team-player
• Maintain a Professional Appearance and Manner
• Excellent effective time/self-management
• Ability to act on and carry out NEC’s Core Values

Education
• Currently pursuing a degree in Construction Management, Civil Engineering, Mechanical Engineering, or another related area of study","https://www.glassdoor.com/job-listing/operations-intern-summer-2021-new-england-construction-JV_IC1151293_KO0,29_KE30,54.htm?jl=4005608129&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Undergrad Operations Internship,BioSpace,"West Greenwich, RI","Amgen is the world's leading biotechnology company. Nurtured on a foundation of strong values, Amgen is deeply rooted in science and innovation to transform new ideas and discoveries into medicines for patients with serious illnesses. Our mission is to serve patients, and we encompass this with each initiative, goal and task we have in mind!

Operations is one of three foundational functions at Amgen with a mission to manufacture and deliver safe and effective medicine to patients around the world. The Operations Program at our Rhode Island site is divided into five functions: Supply Chain, Process Development, Quality, Manufacturing, and Facilities & Engineering.

For your application to be considered, please include a cover letter specifying which function interests you.

We are currently seeking highly motivated, hardworking individuals who will lead initiatives, strategic analysis and business case development on projects across the five Operations functions. Along with key business partners and functional groups, this position will focus on making effective recommendations to the organization's senior leadership.

With the support of their hiring manager, the intern will develop a project charter to map out objectives, identify key stakeholders, timelines, and deliverables. Leveraging their analytical, leadership, and interpersonal skills, the intern will work cross-functionally to identify the problem, measure the current state, develop recommendations through qualitative and quantitative analysis, and present the findings through various forums including an intern-wide poster session and a final readout to executive management.

This internship will be approximately 12 weeks that includes both project- based and experiential learning. Amgen provides a state-of-the-art workspace and promotes collaboration with senior leadership through a series of formal and informal events. In conjunction with the project work, interns will have the opportunity for professional development through training sessions, one-on-one mentoring, and various networking events. Interns will also be able to interact with peers at Amgen-sponsored social events. Interns are highly encouraged to network with staff across the organization. Limited relocation housing and/or transportation allowance may be available for eligible candidates.

Basic Qualifications

Amgen requires that all individuals applying for a undergrad internship or a co-op assignment at Amgen must meet the following criteria :
• 18 years or older
• Currently enrolled in a Bachelor's Degree program from an accredited college or university with a 3.0 minimum GPA or equivalent
• Completion of at least one year of study from an accredited college or university prior to the internship commencing
• Enrolled in a full-time bachelor's program following the potential internship or co-op assignment with an accredited college or university
• Must not be employed at the time the internship starts

Preferred Qualifications
• Junior standing with graduation in Summer 2022
• Degree concentration(s) in Engineering, Life Science, Biotechnology, Finance or Supply Chain
• GPA 3.5 or higher
• Strong knowledge of MS Office Applications (Word, Excel, PowerPoint, SharePoint)
• VBA for Excel and SQL knowledge
• Strong communication, interpersonal, organizational, project management, problem solving, analytical and quantitative skills
• Demonstrated personal initiative, self-motivation, flexibility and adaptability
• Proven leadership experience on campus (e.g., projects, clubs, organizations, sports)

Amgen is an Equal Opportunity employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

Join Us

If you're seeking a career where you can truly make a difference in the lives of others, a career where you can work at the absolute forefront of biotechnology with the top minds in the field, you'll find it at Amgen.

Amgen, a biotechnology pioneer, discovers, develops and delivers innovative human therapeutics. Our medicines have helped millions of patients in the fight against cancer, kidney disease, rheumatoid arthritis and other serious illnesses.

As an organization dedicated to improving the quality of life for people around the world, Amgen fosters an inclusive environment of diverse, ethical, committed and highly accomplished people who respect each other but compete intensely to win. Together, we live the Amgen values as we continue advancing science to serve patients.

Amgen is an Equal Opportunity employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status",https://www.linkedin.com/jobs/view/undergrad-operations-internship-at-biospace-2487955493?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Community & Operations Intern,Coterie,"Providence, RI",,https://b-jobz.com/us/web/jobposting/77060565?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Wealth Management Operations Summer Intern,Citizens Financial Group,"Johnston, RI","Job Information

Citizens Bank Wealth Management Operations Summer Internship in Johnston, Rhode Island

Description

If you are a current college student, you have the chance to jumpstart your career growth by applying to one of our internship programs. Citizens Bank internship programs give you the chance to work on a variety of critical business assignments that will test your skills and use your academic knowledge to match your interests to a real job.

As a Wealth Management Operations Intern you will participate in various projects supporting the broker/dealer to improve efficiency.

Primary responsibilities include:
• Work closely with our Operations teams to improve efficiency
• Assist on various projects as needed
• Establish new brokerage accounts
• Perform account maintenance
• Gain industry experience and organizational knowledge through daily interactions and job assignments
• Gain exposure to the Wealth Management industry
• Support various departments on an ad hoc basis

Qualifications

Required Skills/Experience:
• Strong oral and written communications skills
• Good organizational skills
• Proficient in Microsoft Office, Windows
• Enthusiasm for Financial Services/Wealth Management
• Punctual and reliable

Education:
• Currently pursuing a Bachelors degree in Finance, Economics, Business, or other related degree
• Expected graduation date of May 2022
• Minimum GPA 3.0

Hours & Work Schedule

Hours per Week: 40

Work Schedule: M - F 8am - 5pm

Why Work for Us

At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth.

Equal Employment Opportunity

It is the policy of Citizens to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, colleague or a dependents reproductive health decision making, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, genetic characteristic, citizenship, veteran or military status, marital or domestic partner status, family status/parenthood, victim of domestic violence, or any other category protected by federal, state and/or local laws.

Equal Employment and Opportunity Employer/Disabled/Veteran

Citizens is a brand name of Citizens Bank, N.A. and each of its respective affiliates",https://www.internships.com/posting/bug_38970183014?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Operations Internship- PFS Taunton, MA",Performance Food Group,"Taunton, MA","Job Description

Performance Foodservice has an internship opportunity affording exposure and opportunities to learn operations in the areas of warehouse, transportation and logistics.
The intern will help support the operations team(s) by participating in day to day activities, line supervision and projects as appropriate.
This role may also assist with developing management presentations, identifying opportunities for improvement, and applying innovative solutions to drive efficiency and effectiveness.
This may also provide the opportunity to partner with other business functions such as Procurement, Sales, Finance, and Human Resources.

The internship will begin in May 2021 and end in August 2021. This position will be located in Taunton, MA.(Boston)

How To Apply
• Please apply through our website at www.pfgc.com/careers/.
• Applications will be evaluated on a first come, first served basis until all positions are filled.
• Applications requirements are as follows:
• A completed application via pfgc.com
• Cover letter outlining the specific internship the student is applying for, why an internship is desired and qualifications for the internship.
• Transcripts showing cumulative grade point average and course work taken up to the time of application (include courses currently being taken during the semester of application).

Required Qualifications

Qualifications
• Junior or senior majoring in Operations/Supply Chain Management or other related field
• Overall GPA 3.0
• Proficiency with Microsoft Office Suite of products
• Effective interpersonal and communication skills which are essential for interacting with all levels of the organization
• Strong Problem solving and analytical skills with attention to detail
• Ability to work flexible hours, to include days and occasional nights.
• Must be currently authorized to work in the United States for any employer",https://www.linkedin.com/jobs/view/operations-internship-pfs-taunton-ma-at-performance-food-group-2449563346?refId=49b58923-38cc-4319-a391-87791295d9a8&trackingId=HL73uOlRTjiIu/Rrq7mV2w%3D%3D&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sales Operations Intern,MathWorks,"Natick, MA (+1 other)","Job Summary

This internship is an opportunity to help our Sales Operations Analyst team build analytic model for assessing Total Addressable Market and related data. This work will help drive our efforts to provide visibility and insight to our Account Planning and sales execution processes. This person will help combine internal and external data to improve our firmographic, technogrpaphic and buyer intent data.

Responsibilities

Research Accounts using provided tools for data research

Analyze and determine best approaches to access, analyze and summarize data for use by Sales, Sales Operations and related teams

Minimum Qualifications
• Candidates must be pursuing a bachelor's level degree.
• Candidates for this position must be authorized to work in the United States on a full-time basis for any employer without restriction.
• Visa sponsorship will not be provided for this position.

Additional Qualifications

Pursuing BA/BS in data analytics, business, statistics or math

Interest in data analytics, market research and data modeling",https://www.mathworks.com/company/jobs/opportunities/24303-sales-operations-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Technical Operations Intern,Formlabs,"Somerville, MA (+1 other)","To reinvent an industry, you have to build the best team. Join Formlabs if you want to bring groundbreaking professional 3D printers to the desktop of every designer, engineer, researcher, and artist in the world.

At Formlabs, our diverse team needs the office operating smoothly at all times. To get our best work done, we need our IT and systems administration to run at peak efficiency. You'll be asked to put your creativity to work to develop enduring, innovative solutions. You will act as our in-house technical support by troubleshooting our IT issues. You will help analyze and troubleshoot common problems in systems and services, research and design new solutions, and implement, integrate, and program those solutions.

If you are highly motivated, organized, and love supporting a diverse company in accomplishing great things, we want you to join our Technical Operations team as our Technical Operations Intern.

The Job:
• Act as the primary troubleshooter for technical support systems and applications
• Promptly respond to all help desk requests
• Be an essential part of the employee onboarding process including account creation and computer provisioning
• Provision replacement computers for existing employees as required
• Ensure team productivity is rarely impacted by an IT or systems issue
• Support our Operations team with office systems such as phone, conference, and A/V
• Refer help calls to an appropriate colleague for resolution
• Enter all issues into the Help Desk system, and update status as it changes
• Build and maintain self-service documentation on common fixes for our tech-savvy employees

You:
• Always looking for a better way to get the job done
• An independent and creative problem solver
• Have experience with IT, Technology, and/or Systems
• A foundational understanding of networking
• Love to constantly learn at lightning speed

Bonus Skills:
• Experience with any of the following:
• Servicing tickets in a help desk environment
• Computer repair
• G Suite administration
• 3D Printing and CAD software

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Even if you don't check every box, but see yourself contributing, please apply. Help us build an inclusive community that will change the face of 3D printing",https://venturefizz.com/jobs/boston/technical-operations-intern-at-formlabs-somerville-ma-1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
