title,company,location,requirements,link
SEASONAL POLICY INTERN,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Volunteer: PR/Marketing Internship,The Borgen Project,"Middletown, CT","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is hiring a Public Relations/Marketing Intern who will work remotely. This public relations intern will be involved in a variety of aspects of marketing and communications.

Create a branding campaign.
Conduct an informal focus group and gather feedback for market research.
Pitch story ideas to print, broadcast and digital media.
Create and implement a fundraising strategy.
Plan, market and present at an informational meeting.
Utilize social media and develop strategies for web-based messaging.
Assist with The Borgen Project's advocacy efforts.
Take on assignments as needed.
Details This is an unpaid internship, although college credit is available. The internship is 12-hours per week for 12-weeks.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.",https://www.linkedin.com/jobs/view/externalApply/2410575715?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3260587%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=kfdl&refId=0720d59d-c4e4-4893-8d0c-0a55f25b35fd&trackingId=kcRjXSZ02HI1hd3q0GZt6w%3D%3D&trk=public_jobs_apply-link-offsite
