title,company,location,requirements,link
"VZ Product Management Intern, Summer 2021",Samsung Electronics America,"Berkeley Heights, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities



Position Summary

Product Experience
Identify areas for improvement of customer experience on current products and services.
Gather VOCs on recently launch enhanced experiences and develop recommendations on feature improvements. 
Data analysis of market and business trends, competitive and Samsung’s product offerings, quality metrics, quality issues (pre- and post- product launch), VoC device lifecycle management
Work with product management and product planning teams, customer service, reverse logistics, and manufacturing to drive improvements based on analysis.

Skills and Qualifications



Qualifications



MBA with technical background or experience.  Prefer mobile technologies background, having a passion for improving consumer electronics experience and bringing technology to market.  App design or development a plus.



Internship Eligibility Requirements:

Must be enrolled in an accredited University Maintain a 3.0 or higher GPA
Provide proper work authorization to University Relations
Attend Intern Orientation on first day

* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .



* Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and  provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.",https://www.linkedin.com/jobs/view/externalApply/2486458357?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F200-Connell-Drive-Berkeley-Heights-NJ-USA%2FVZ-Product-Management-Intern--Summer-2021_R38181&urlHash=GIVH&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=qZLnqFS14A6AJgwUF2OfpQ%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern - Summer 2021,Squarespace,"New York, NY","Squarespace is a design-centric product company at heart which enables anyone to build a beautiful online presence. Product Managers at Squarespace are embedded within product teams amongst product designers, engineers, researchers, and analysts. Our product teams are deeply collaborative, and each member is directly responsible for the team's success.

As an intern, you will work alongside full-time product managers on our Presence team this is responsible for our web applications. You will be challenged in an ambitious, ever-changing organization that values vision, execution, persistence, curiosity, and flexibility.

Responsibilities
Own solving a customer problem end-to-end, from strategy to execution by working directly with a full-time Squarespace product manager and a team of designers and engineers
Partner with Product Analysts and UX Research to conduct and examine direct user feedback, qualitative research, and quantitative data to define customer pain points in the website styling space.
Develop hypotheses and drive creative, cross-functional ideation and solution discovery
Define a set of metrics to measure customer satisfaction and business impact with the ability to analyze them and utilize them in decision making processes
Maintain communication with the entire team to ensure effective collaboration and transparency
Present findings broadly to interested product teams throughout the company


Qualifications
Currently pursuing a Bachelor's or Master's degree in Engineering, Human-Computer Interaction, Business or a related field with at least one semester/quarter remaining after internship
You have strong written and interpersonal communication skills
Familiar with web technologies (coding experience not required)",https://www.linkedin.com/jobs/view/externalApply/2495173190?url=https%3A%2F%2Fgrnh%2Ese%2Fcce1c3a71us&urlHash=t7zY&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=ivYseUgfpKQlpYy5PPQyEA%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Monster,"Weston, MA","Product Management Intern

Monster Worldwide is seeking a Product Management Intern to join the team at our Weston, MA headquarters! You’re studying for a degree in a technical field and have researched, searched and applied to jobs on various job boards so let’s put that knowledge to work! We are looking for a Product Manager Intern who has a strong interest in the product management field and a desire to help deliver positive user experiences. In this role, you’ll collaborate with members of Monster’s Product, UX Design and Development teams to define, document, implement and test enhancements to Monster’s Candidate experience.

Responsibilities 
Identify and fill software product gaps and generate new ideas that help achieve Monster’s KPIs
Work with members of the Candidate Product and UX Design teams to identify opportunities to improve the Monster experience
Translate product strategy into requirements that can be turned into user stories for implementation
Create and review user and data flows

Job Requirements
Working toward a degree in computer science, Engineering, Product Management or a related subject
Strong problem-solving skills and willingness to roll up one’s sleeves to get the job done
Self-starter with strong desire to learn and contribute
Excellent written and oral communication skills
Ability to manage multiple projects simultaneously
Use of online tools such as Aha! Jira, and Confluence a plus
Experience with mobile apps a plus
 About Monster
Monster is a global leader in connecting people to jobs, wherever they are. For more than 20 years, Monster has helped people improve their lives with better jobs, and employers find the best talent. Today, the company offers services in more than 40 countries, providing some of the broadest, most sophisticated job seeking, career management, recruitment, and talent management capabilities.
Monster continues its pioneering work of transforming the recruiting industry with advanced technology using intelligent digital, social, and mobile solutions, including our flagship website monster.com® and a vast array of products and services.

Accessibility Accommodation
Monster is committed to fostering an inclusive work environment through a culture of diversity, equity, safety, and belonging. Our goal is to make work a happy and productive place for all through transparency and accountability at all levels of our organization. 

If there’s an accommodation you need or prefer as part of your application, or if you have some feedback for us on ways we can make our process more accessible for all, please send us an email at talentacquisition@monster.com or call 1-800-MONSTER and let us know how we can help! 

Please do not direct any general employment related questions to this email and/or phone number. Please note that only those inquiries concerning a request for reasonable accommodations will be responded to from this email address and/or phone number. 

Monster is an Equal Opportunity and Affirmative Action Employer committed to creating a diverse environment. Qualified applicants will be considered for employment regardless of Race, Religion, Color, National Origin, Citizenship, Sex, Sexual Orientation, Gender Identity, Age, Disability, Ancestry, Veteran Status, Genetic Information, Service in the Uniformed Services or any other classification protected by law.",https://www.linkedin.com/jobs/view/externalApply/2495173190?url=https%3A%2F%2Fgrnh%2Ese%2Fcce1c3a71us&urlHash=t7zY&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=ivYseUgfpKQlpYy5PPQyEA%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern - Summer 2021,MongoDB,"New York, NY","We are seeking talented students to help us build the next generation database platform. Join the team that is helping the world’s most sophisticated organizations transform their industries by harnessing the power of data. Our internship program is based in our New York City office.

As an intern you will work directly with MongoDB’s product managers, user experience designers and engineers. You will be fully integrated into the team helping to analyze user’s pains and advocate on their behalf, mine various data sources to discover new product requirements, develop and communicate product strategy to relevant stakeholders, maintain roadmaps and prioritize product/sprint backlogs, and deliver & launch new capabilities to drive our product strategy.

Our summer program is comprehensive and interactive - you won’t sit behind a desk all day. We have social outings (think team dinners, broadway shows, NYC sightseeing, and more) and an intern speaker series where you’ll hear from some of the most significant and important people in tech today. You’ll gain insight into what makes a billion dollar company run. At the end of the summer you’ll be a better program manager and a more informed citizen of the world.

What We Are Looking For In You...
You are in the process of receiving a Bachelor’s or Master's degree in Computer Science, Computer Engineering, Information Systems, Data Science, or related fields. Alternatively you have a background in STEM and are now pursuing your MBA
You have solid technical skills — our users are software engineers, DBA's, sysadmins, etc. Our product managers must be just as technical and have working knowledge in these areas to better advocate for our users; while not expected to write production code, you should be comfortable diving into new code, learning from existing examples, exploring APIs, triaging bugs, analyzing support cases, and speaking on any of the technical aspects of the tools in your portfolio
You are an excellent communicator, both through verbal and written means
You are curious and have a strong desire to learn and adapt; you are a self starter and thrive in ambiguity


What You'll Find At MongoDB…
You will get a crash course in product management at a marquee tech company
You will get first hand experience in how a $10B company makes short term and long term strategic decisions (despite our size, we have a very small, highly leveraged product team!)
You will get hands on experience in building “deep tech” products, such as distributed databases
You will get a mix of ‘product experience’, from building a business case for a new product line to tactical product management with engineering teams, to overseeing the commercialization of new products
You will have a front row seat to see a major secular shift in the database industry
You will understand the hard work necessary to consistently innovate and build a lasting business

*MongoDB, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.*",https://www.linkedin.com/jobs/view/externalApply/2495173190?url=https%3A%2F%2Fgrnh%2Ese%2Fcce1c3a71us&urlHash=t7zY&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=ivYseUgfpKQlpYy5PPQyEA%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Tall Poppy,"San Francisco, CA","Help us make personal digital security understandable and accessible at Tall Poppy!

About The Role

We are looking for a product management intern to help imagine & build tools to bolster personal digital security & support people at risk of online harassment & abuse.

You'll Be Asked To Help With
Testing & quality assurance for new features.
Product research & ideation.
Writing feature descriptions.
Communicating & facilitating conversations with engineers.


[You don't already need to be experienced at any of this, but professional fluency in English is required.]

This summer internship will be remote, coordinating with Tall Poppy's small team of nine via Slack and video conferencing. You'll mostly be working with Tom (product lead) and Erica (head of engineering), who are both based in the San Francisco Bay area and keep Pacific working hours. We expect the role to be full time, but are more than happy to be flexible about this and about specific hours.

This 2021 summer internship is aimed at students in the U.S. and Canada. While non-student applicants will be considered, the role will have the essential character of an internship — in particular, it will be limited in time to a few months. This is a paid position at $20-$30 USD/hour.

We read every application, especially cover letters. We are particularly excited to hear what interests you about Tall Poppy and the things we work on.

About Tall Poppy

Tall Poppy builds tools and services to help companies protect their employees against online harassment and abuse. We combine proactive security training, threat monitoring, and detection with incident response when an individual comes under attack. In addition to our standard service, we offer additional capabilities for high-profile or executive staff who face increased risk, and also work with content creators and influencers who face their own unique set of challenges.",https://www.linkedin.com/jobs/view/externalApply/2491770974?url=https%3A%2F%2Fgrnh%2Ese%2F7fd853e13us&urlHash=7gU9&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=nUgz6O9lSkXpsuxW5EfEwA%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Internship,GEICO,"Chevy Chase, MD","Our Product Management Internship will provide a hands-on experience in a challenging, interesting, and rewarding environment. Qualified interns will experience different functions of our Product Management department; including working on product strategy, product development, and competitive intelligence.

As an intern, you will be provided the opportunity to directly impact GEICO's growth and profitability by working alongside other product managers to develop and execute product design strategies for our insurance business. You will be responsible for looking creatively at business problems and working on long-term projects throughout the summer. Towards the end of your internship, you will present your findings and recommendations to senior management.

Starting from day one, your work will have an impact, forming the basis for truly transformative solutions. If you have a passion for problem solving and you are interested in making a real contribution at the 2nd largest auto insurer in the United States, then a GEICO Product Management Internship may be the right fit for you!

During This Paid 10-week Summer Internship, You Will
Research creative ways to assess risk
Understand and more accurately predict customer behavior
Work on projects that will determine the likelihood of a loss
Query large datasets via SAS and organize and analyze in Excel
Develop and present projects to senior management
Learn how GEICO collaborates with state insurance departments and regulators
Qualifications
Currently pursuing a Bachelor's Degree in one of the following fields of study: Economics, Business, Mathematics, Statistics, or a related major
Candidates must be rising seniors by the start of internship (i.e. graduating in December 2021 or May 2022)
Cumulative GPA of at least a 3.0 or higher
Excellent quality, communication, problem solving, and creative thinking abilities
Demonstrated analytical, mathematical, and data management skills
Proficient computer skills, including Microsoft Excel and some additional programming skills
Ability to live and work in the Washington DC area this summer. Interns who meet geographical requirement may qualify for housing stipend.
You can also check out our jobs on LinkedIn,

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position may be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.

GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.",https://www.linkedin.com/jobs/view/externalApply/2322330271?url=https%3A%2F%2Fcareers%2Egeico%2Ecom%2Fus%2Fen%2Fjob%2FGEICUSR0018512EXTERNALENUS%2FProduct-Management-Internship%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26src%3DJB-10320&urlHash=9bcz&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=TFNge%2FSJzk9hQZx%2F4ZjWRw%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Cambridge Mobile Telematics,"Cambridge, MA","Description

Join us in making roads safer by making drivers better!

Career Opportunities At CMT Include, But Not Limited To The Following

As a CMT Intern, you will work closely with members of our Claims group who will provide mentorship and guidance. You will have the opportunity to work in a fast-paced environment, while contributing to product development and helping to make roads safer.
Work with Product Managers to help invent, shape, and launch new features and products for CMT.
Collaborate closely with our engineering team regarding the feature specifications and their development, testing, and release.
Write detailed requirements for features based on well-defined use cases and in some cases, create initial wireframes to illustrate them.
Requirements
Enrolled in an academic program as a sophomore, junior or senior working towards Bachelors of Science, Computer Science, Engineering or similar quantitative field
Strong communication skills
Attention to detail and well organized
Ability to work independently
SDL2019-64",https://www.linkedin.com/jobs/view/externalApply/2497932751?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fcambridge-ma%2Fproduct-management-intern-2816417803%3Fcampaign%3D128%26source%3DLI&urlHash=erwc&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=phU6lWJqK%2FUJh%2BZXIUjrXw%3D%3D&trk=public_jobs_apply-link-offsite
Product Manager Intern (Summer 2021),Gusto,"Denver, NY","Gusto is first and foremost Customer Driven. We value thoughtfulness and empathy. We take pride in making smart decisions based on customer research, design sprints and prototyping while balancing short and long term technical decisions. Engineering, Product and Design collaborate as equals.

About Gusto

Gusto is a modern, online people platform that helps small businesses take care of their teams. On top of full-service payroll, Gusto offers health insurance, 401(k)s, expert HR, and team management tools. Today, Gusto offices in Denver, San Francisco, and New York serve more than 100,000 businesses nationwide.

Our mission is to create a world where work empowers a better life, and it starts right here at Gusto. That’s why we’re committed to building a collaborative and inclusive workplace, both physically and virtually. Learn more about our Total Rewards philosophy.

Our Product Management team is looking for strategic problem solvers to join our team for a Summer 2021 internship. As a Product Management Intern, you'll work and learn alongside product managers, engineers and operational teams to apply your skills to real world problems.

Not only will your work at Gusto help the more than 100,000 small businesses we already serve, but Gusto is growing so quickly that you’ll have a large personal impact on the trajectory of our business.

Here’s What You’ll Do Day-to-day
Collaborate with Engineering, Product, and Design to release a product feature
Execute strategic market analysis on trends, competitors, and customers
Understand customer pain points, propose solutions, and then prototype, iterate, and launch
Develop a compelling vision, strategy, and roadmap
Present insights and findings to key stakeholders and leaders


Examples Of Previous Intern Projects Include

Interns will be matched to a Gusto product team based on background, interest, and company needs.
Improving onboarding for newly hired employees of Gusto customers, focused on creating a warm and personal welcome experience.
Driving conversion for a product-add on by analyzing funnel opportunities and deepening our integration with an external partner.


Here’s What We're Looking For
Students pursuing an advanced degree in Business, Computer Science or Management Science and graduating between December 2021 and Summer 2022
2+ years experience in a highly strategic, analytical and operational role in fast-paced environments
Passion for creating memorable experiences for customers
Structured problem solver and expert in prioritizing features
Strong product sense

Our cash compensation amount for this role is targeted at $46.16-$51.93/hr in most locations. Final offer amounts are determined by multiple factors, including candidate experience and expertise, and may vary from the amount listed above.

Our customers come from all walks of life and so do we. We hire great people from a wide variety of backgrounds, not just because it's the right thing to do, but because it makes our company stronger. If you share our values and our enthusiasm for small businesses, you will find a home at Gusto.

Gusto is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Gusto considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Gusto is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@gusto.com.",https://www.linkedin.com/jobs/view/externalApply/2407739556?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fgusto%2Fjobs%2F2641305%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=_xSg&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=CNIm9M8VH%2FJGYAA9GHppQg%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,AriensCo,"Brillion, WI","At AriensCo, we build more than exceptional products – we create opportunities that impact careers. Our culture values innovative thinking, hard work and determination. We interact in teams, collaborate together and make decisions quickly.

We see growth potential in every team member, and are committed to supporting our employees with continuous training and advancement opportunities.

Our environment? We’re corporate, without being “corporate.” Whether you work at our headquarters, manufacturing facilities, or one of our global distribution businesses, you’ll always have the freedom to create and contribute. Our company vision is “Passionate People, Astounded Customers.” Quite simply: it revolves around people

Speaking of people, you’re not just employee #1,762 to us. You’re family and your role is invaluable. Without exceptional people, we can’t continue to produce the amazing products we're known for around the world.

Ready for the ride of your career? Then come join us. By joining our team, you'll have the opportunity to work in a rewarding workplace with a strong sense of community.

Job Description

AriensCo is looking for self-starting, motivated Product Management Intern for Summer 2021 who is looking for practical hands-on experience. This is the perfect opportunity to enhance your education with practical hands-on experience to prepare you for your future. At AriensCo, “Our Legacy is Your Future.”

This is a support role primarily for product management staff. You will interact with marketing, engineers, industrial design, sales, and other cross-functional project stakeholders on a daily basis.

THE DAY TO DAY…
Support marketing product management staff by performing basic assignments in defining and delivering outdoor power products.
This can involve participation with research, competitive analysis, data analysis, customer persona creation, planning, volume forecasting, voice of customer definition, product specifications, and presentations to multiple levels of leadership.


In This Internship You Will Gain Experience With
Market Research
Brand/Product Strategy
Executive Communication and Presentations
Competitive Assessment
Product Launch Planning

You Will Be Exposed To
Cross-functional interaction with marketing, industrial design, engineering, manufacturing, and sales
Product lifecycle planning
Project management tools and methodologies
Power equipment retail channels and dealer network
Photo/Video shoots and digital asset creation
Social Media assets and channels
Advertising and Promotion

The Qualifications…
Must be enrolled as a student at an accredited university studying toward a Bachelor’s degree in Marketing, Business, Entrepreneurship, or similar
Must have and maintain a minimum G.P.A. of 3.0/4.0
Should be creative, curious, analytical and have an interest new products
About AriensCo
Since 1933, the AriensCo name has been associated with reliable, durably crafted, high-performance outdoor power equipment. Our core values – Be Honest, Be Fair, Respect the Individual, Keep our Commitments, and Encourage Intellectual Curiosity define our culture and inspire our team. We believe passionate people and astounded customers lead to unstoppable success.

AriensCo Employees Are Provided Various Great Benefit Opportunities Which May Include

Our employees’ quality of life is important to us. When people feel appreciated, respected and supported, careers thrive and ideas come to fruition.
Medical, Dental, Vision Insurance effective first day of employment
Onsite health clinic with Bellin Health
Life Insurance
401(k) and profit-sharing plans
Bonus Programs
Accident and Critical Illness Insurance
Paid vacation, holidays and leave programs
Flexible spending account (FSA) plan
Voluntary wellness programs
Employee Product discount program
Employee Assistance Program
Gym discount membership program
Tuition Reimbursement
Safety shoes and safety prescription glasses reimbursement
Apprenticeship opportunities
Cross-training and job rotation opportunities
Career paths
Ongoing development through the Ariens Academy
Kaizen Events - continuous improvement
Ability to win products
Daycare (coming Fall 2021)

EEO Statement

The concept of diversity is important to us at AriensCo. That’s why we’ve created a culture that is inclusive, accepting and understanding. We embrace diversity among our partners, suppliers and employees. We also strive for diversity in the quality of our ideas. Inclusion and acceptance means that, regardless of who you are, you will always be standing on our welcome mat.

AriensCo is an equal opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by applicable law. AriensCo hires and promotes individuals solely on the basis of their qualifications for the job to be filled.

Providing our employees with an environment free of discrimination and harassment is something we take very seriously. Embracing diversity enables us to attract the best talent, foster productive teamwork, and expand our business opportunities.",https://www.linkedin.com/jobs/view/externalApply/2495720791?url=https%3A%2F%2Farienscompany%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FWI---Brillion%2FProduct-Management-Intern_R-01899%3Fsource%3DLinkedin&urlHash=9vwo&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=31defT6uTbSTCqzE8%2BfEqg%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern (Virtual),JLL,"San Francisco, CA","2021 Summer Intern Product Management

Virtual

The Commercial Real Estate (CRE) industry is at an inflection point. The technological disruptions that have already transformed retail, travel, and transportation have been slower to emerge here, but they are coming at full speed. JLL, a globally recognized leader in CRE, recognized these forces early, and is making massive investments in technology to transform both itself and the industry as a whole .

JLL Technologies (JLLT) is the tech arm of JLL, with the dual mandate of growing the company’s technology revenue while also driving market share and margin gains in our existing business. Our mission is to leverage technology to increase the value and liquidity of the world's buildings, while enhancing the productivity and the happiness of those that occupy them.

We are currently seeking a Summer Intern in Product Management to join our growing team . In this role, you will learn the craft of product management and have the opportunity to lead the definition, development and launch of a high impact feature on one of our key strategic products. JLL has multiple positions open under this Product Management role.

Areas of focus include-
Product market research and analysis
Product strategy
Product case studies
Project/program/portfolio management
Training and demos
Rollout support
Technical writing

What This Job Involves

As a Summer Intern in Product Management at JLL Technologies, you will -
Conduct user research to scope and define an enhancement to one of our products
Work with our design and engineering teams to develop the feature you recommend
Develop materials and collateral (e.g., email content) to publicize the change
Analyze the resulting data to measure the outcomes of your efforts

Desired Skills And Experience
Actively pursuing a technically-oriented bachelor’s degree , with 2-3 years completed (e.g., computer science, electrical engineering, mechanical engineering, etc.)
Minimum 1-2 computer science classes completed
Minimum 3.0 GPA
Exceptional verbal and written communication
Experience analyzing data in Excel or another data analysis platform

What You Can Expect From Us

We succeed together—across the desk and around the globe and believe the best inspire the best, so we invest in supporting each other, learning together and celebrating our success.

Our Total Rewards program reflects our commitment to helping you achieve your career ambitions, recognizing your contributions, investing in your well-being and providing competitive benefits and pay. We can’t wait to see where your ambitions take you at JLL T . Apply today!

JLL is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.

JLL is committed to creating a diverse intern program and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status

#LI

JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement .

For additional details please see our career site pages for each country.

For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here .

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.

Pursuant to the Arizona Civil Rights Act, criminal convictions are not an absolute bar to employment.

Pursuant to Illinois Law, applicants are not obligated to disclose sealed or expunged records of conviction or arrest.

Pursuant to Columbia, SC ordinance, this position is subject to a background check for any convictions directly related to its duties and responsibilities. Only job-related convictions will be considered and will not automatically disqualify the candidate.

California Residents only

If you are a California resident as defined in the California Consumer Privacy Act (CCPA) please view our Supplemental Privacy Statement which describes your rights and disclosures about your personal information. If you are viewing this on a mobile device you may want to view the CCPA version on a larger device.

Pursuant to the Los Angeles Fair Chance Initiative for Hiring Ordinance, JLL will consider for employment all qualified Applicants, including those with Criminal Histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",https://www.linkedin.com/jobs/view/externalApply/2417219489?url=https%3A%2F%2Fjll%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fjllcareers%2Fjob%2FSan-Francisco-CA%2FProduct-Management-Intern--Virtual-_REQ132898-1%3Fsource%3DAPPLICANT_SOURCE-6-42&urlHash=5OQh&refId=3f0ef214-5207-4f0d-b69d-701807eaf9d1&trackingId=jQxzYnTBCd80bf5DGhy5eg%3D%3D&trk=public_jobs_apply-link-offsite
