title,company,location,requirements,link
Research And Development Intern,Crane Company,"Nashua, NH","R&D Intern

Location Nashua, NH.

Department R&D

Employment Type Temporary Full Time - Employee

Internship Research & Development

CRANE Currency in Nashua, NH is seeking an Intern. We have the flexibility for part-time, if you are still in school, or full-time if you are on a school break.

If you are selected you will be working with our R&D team, supporting lab experiments and trials for new product development. This is a great opportunity to learn from senior scientists and engineers who are part of the creative backbone of our innovative products. Gain exciting real-world experience from a strong organization with a firm commitment to innovation and a culture of collaboration.

Responsibilities:
• Able to research ideas as provided by other Associates
• Assist in conducting trials with guidelines set out from trial planning
• Assist in trial preparation and post-trial follow-up
• Gather and compile data, generate reports
• With guidance, develop an awareness of basic product construction
• Participate in continuous improvement initiatives

Qualifications and Required Skills:
• Pursing a Bachelors Degree in Chemical Engineering or Chemistry
• 2-3 years of College course work
• Strong analytical ability coupled with demonstrated troubleshooting skills
• Experience with statistical analysis software

Key Attributes for Success:
• Team player & ability to collaborate
• Excellent communication skills verbally and in writing
• Ability to work under minimal direction

Applicants must be United States citizens. The person selected for this position will need to demonstrate suitability for employment in a position of Public Trust consistent with our US Government contract requirements.

Equal Opportunity/Affirmative Action Employer M/F/Vet/Disab

Crane is a Drug Free Workplace

#LINKEDIN",https://www.internships.com/posting/bug_38957638129?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Human Factors Intern,Flex,"Nashua, NH","Farm, a Flex company, has over 49 years of experience providing award-winning development services for medical, life sciences, and consumer healthcare companies. Our talented researchers, designers, and engineers work in a highly collaborative environment on innovative products designed to improve people's lives. At Farm, you'll learn from bright, like-minded individuals excited to tackle the world's healthcare technology challenges.

Located in Southern, NH, our employees have the best of both city and country living with a convenient drive to Boston, the ocean, and the mountains.

The Human Factors Intern will be based in Hollis, NH . The Intern will gain real-world experience in human factors engineering, and the medical product development process.

We are looking for someone who demonstrates:
• Intense collaboration
• Passionate customer focus
• Thoughtful, fast, disciplined execution
• Tenacious commitment to continuous improvement
• Relentless drive to win
Here is a glimpse of what you'll do...
• Learn and practice standard human factors research methods such as usability testing, preference testing, user needs research interviews, and ethnography.
• Assist with qualitative study execution and research planning, including coordinating with vendors, developing research materials and data collection instruments.
• Plan and conduct usability testing (both formative and summative).
• Prepare user research protocols and scripts. Moderate, note-take, analyze data, and assist in producing reports suitable for regulatory files.
• Support interdisciplinary teams with industrial designers and engineers to analyze and synthesize data, conduct HF evaluations, and generate concept directions, product specifications, and usability goals.
• Assist with user research, including ethnography in healthcare settings and or patients' homes.
Here is some of what you'll need (required)...
• BS (Junior/Senior) and MS students pursuing a degree in Human Factors, Cognitive Psychology, Industrial Engineering, or a related degree program from an accredited university
• Available to work 40 hours/week for 10-12 weeks during the Summer Term
• Minimum 3.0 cumulative GPA
• Passion to learn, contribute, and take on challenges
• Self-motivated, resourceful, mature, and a team player
• Superior verbal and written communication skills
• Excellent analytical, problem solving, and multi-tasking skills
Here are a few of our preferred experiences...
• Strong organizational, analytical and problem-solving skills
• Strong verbal, presentation and written communication skills
• Ability to work in teams and collaborate with others
• Demonstrated leadership skills and team orientation
• Ability to work effectively under pressure in a fast-paced environment
• Ability to take lead and drive for results
Job Category
Intern

Relocation
Not eligible

Is Sponsorship Available?
No

Flex does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. Flex does not discriminate in employment opportunities or practices based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status or any other status protected by law. Flex provides reasonable accommodation so that qualified applicants with a disability may participate in the selection process. Please advise us of any accommodations you request to express interest in a position by e-mailing: accessibility@flex.com . Please state your request for assistance in your message. Only reasonable accommodation requests related to applying for a specific position within Flex will be reviewed at the e-mail address. Flex will contact you if it is determined that your background is a match to the required skills required for this position. Thank you for considering a career with Flex.

The information we collect:

We may collect personal information that you choose to submit to us through the Website or otherwise provide to us. This may include your contact details; information provided in online questionnaires, feedback forms, or applications for employment; and information you provide such as CV/Resume. Your details will be provided to the entity you are applying for a job with. We will use your information for legitimate business purposes such as responding to comments or queries or answering questions; progressing applications for employment; allowing you to choose to share web content with others or; where you represent one of our customers or suppliers, administering the business relationship with that customer or supplier. We will process your data in accordance with our Recruitment Privacy Notice .

If you have any queries about the processing of your data, please contact:

Global Data Privacy Officer:

Email Address: dataprotection@flex.com",https://www.themuse.com/jobs/flex/human-factors-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Research & Development Intern (Biology),Unilever,"Nashua, NH",,https://www.usajobcentral.com/job/2021-research-development-intern-biology-in-nashua-new-hampshire/5836-1129182890AA?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Research Analyst Intern - Virtual/Remote,The Modern Classrooms Project,Anywhere,"Job Description
Expected Start Date: June 1, 2021
Expected End Date: August 31, 2021
Role Type: Part-time Internship (15-20 hours per week)
Location: Remote - no geographical requirements
Hourly Wage: $20/hour

Who We Are:

The Modern Classrooms Project empowers educators to build classrooms that respond to every student’s needs. We lead a movement of educators in implementing a self-paced, mastery-based instructional model that leverages technology to foster human connection, authentic learning, and social-emotional growth.

We have reached over 20,000 educators in 100+ countries with ourinnovative online programs, and continue to expand rapidly. We are an ambitious, idealistic team led by former classroom teachers and we are passionate about what we do.

Job Overview:

We are committed to performing rigorous academic research on the impacts of our teacher-training programs. The position will report to the Research Analyst and support a variety of research projects being conducted at the Modern Classrooms Project through data analysis, literature reviews, and report writing.

The Ideal Candidate:
• Knowledge of education and/or social science research methodologies
• Ability to explain/illustrate data in a clear and compelling way
• Understanding and experience in conducting quantitative and qualitative data analysis
• Highly organized and capable of managing multiple tasks at once
• Self-starter who can think on their feet
• Passionate about making the world a better place, particularly through education

Benefits
Ability to work remotely, Set own hours as approved, Paid internship
Culture
These characteristics describe and define the culture of the Modern Classrooms Project:
• Seek solutions. We are looking for individuals to work with us who are curious and solution oriented. None of us have all of the answers, but we look forward to working with others who want to make impact and find the best next solution.
• Take pride in our work. Details matter, and as an organization who serves incredibly hard working educators, we pay attention to them. We look forward to working with people who also take pride in what they do, and for whom it shows in their work products.
• Look for ways to contribute. We are a small organization, and as such, there are lots of ways to be involved and learn. We love working with people who want to pitch in across teams and connect the dots to help give the best experience possible to our partners.
• Celebrate diversity. We believe in the impact that diversity of thought, experience, and perspective can bring to our team and look forward to learning from everyone we meet.
• Respect each other and those we serve. We believe each person we meet is an expert on their experience, and we want to honor that even as we all grow together.

Responsibilities
• Clean datasets in preparation for analysis
• Perform statistical analysis (z-, t- and chi-square tests, linear regression) of collected data
• Perform qualitative analysis of collected data
• Assist in creating reports and visualizations (charts, tables, PowerPoint slides) to communicate findings to Modern Classrooms Project staff and/or external stakeholders
• Conduct literature reviews and market research
• Assist the Research Analyst in the design of regular surveys of Modern Classroom educators and their students, across hundreds of schools worldwide, both to measure program impacts and to understand educator experiences

Requirements
Authorized to work in the US without sponsorship
Knowledge in: Excel and/or Google Sheets
Knowledge in: Conducting qualitative data analyses
Knowledge in: Conducting quantitative data analyses (t-test, ANOVA, correlation)

Equal Opportunity Employer
Equal Opportunity Employer: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin.

Requisition #ckmcegyq82yqk0nqmcoz3v4nx",https://tarta.ai/j/xXmUingBrJRKg1c1rFy5-research-analyst-intern-virtual-remote-in-nashua-nh-at-the-modern-classrooms-project?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer Intern - Customer Engagement Support,SAP,"Nashua, NH","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.

CONTRACT DURATION: SUMMER 2021 (3 MONTHS)

CONTRACT HOURS: 40 HOURS PER WEEK

ANTICIPATED START DATE: MAY 2021

OFFICE LOCATION NEWTOWN SQUARE, PA

EXPECTATIONS & TASKS

Key tasks include, but are not limited to, the following:

- Manage and review incoming CES requests in a timely manner, ensuring excellent levels of service by gathering and providing the information needed for the CES to take appropriate next actions
- Filter requests for critical situations that require immediate action
- Schedule and participate in engagement support sessions with the assigned architects to better learn our customers’ business goals and to also better understand our internal customer success practices
- Generate the meeting minutes for Engagement Sessions, ensuring correct assignment of action items
- Maintain data and reporting systems and monitor progress of action plans for continuous engagement and customer/team involvement
- Actively contribute in the collection and management of metrics required by the CES leadership
- Update as requested appropriate CES content to JAM for the consumption of the CES team and its stakeholders",https://b-jobz.com/us/web/jobposting/233439379?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Research & Development Intern at a TED-Featured Startup,Circle World Arts,"Nashua, NH","Circle World Arts is a global network for arts and cultures. We organize and curate programs and workshops that aim to connect artists, audiences, and cultural institutions together across continents, languages, and traditions.

Our mission is to make the world arts accessible to as many people as possible through a global, branded, impactful network for arts and cultures. Our vision is to become the number one organization for people to learn about world arts and to create a world of cultural citizens. Circle World Arts has been selected by TED as one of the breakthrough ideas worth spreading to join its incubator.

At Circle World Arts, we believe that by learning about the arts and different cultures that we bring people together and expand imaginations—that arts are the window to cultural learning.

In order to be committed to our mission and vision, we know we cannot just stop at workshops. Our goal is to establish the largest database for learning about world arts and cultures That’s where you come in. Circle World Arts is seeking an individual who is creative and passionate about world arts, culture, and expanding minds. We are looking for someone who can find the most engaging content and then present it to our audience in creative ways, whether that be through Instagram stories and posts, Facebook, our website, and more. We also need your help as we begin to design a database and grow our platform as a place for all forms of cultural learning.

Responsibilities
• Research engaging content to educate our audiences about world arts and cultures
• Create appealing posts and other social media content to convey this information
• Cultivate a sense of curiosity and excitement in doing so
• Show people why the world arts is important and meaningful—give our audiences something of value",https://www.linkedin.com/jobs/view/research-development-intern-at-a-ted-featured-startup-at-circle-world-arts-2493944471?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
IR Sensor Research Intern,BAE Systems,"Merrimack, NH (+1 other)","BAE Systems is looking for an intern to perform research and development for next generation IR sensors. The Intern will support the Sensor Technologies product line in FAST Labs, the research and development center for BAE Systems Electronics Solutions. The intern will learn how to work in a multi-disciplinary team to develop physical requirements for Read Out Integrated Circuits and new algorithms for image processing. Research will focus on verifying new hardware architectures and algorithms with special emphasis on Design For Manufacturability as a method of down-selecting hardware architectures.
Work is planned to be remote with daily interaction with the project team.

Please note that pursuant to a government contract, this specific position requires US citizenship status.

Required Education, Experience, & Skills
BS In Science, Engineering or Math and enrolled in graduate school
PhD candidate in Electrical Engineering or Neuroscience.
Research experience in Neuroscience
Experience with Neural Networks for image processing, both hardware and theory
Proficient in Matlab

Preferred Education, Experience, & Skills
PhD candidate in Electrical Engineering or Neuroscience.
Experience in Firmware design
Experience in CMOS design

About BAE Systems Electronic Systems
BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems’ game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues",https://www.internships.com/posting/sam_4040594705?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Research Intern – Applying AI to Medical Imaging and Clinical Informatics,Philips,"Andover, MA","Job Title
Research Intern – Applying AI to Medical Imaging and Clinical Informatics

Job Description

Are you interested in an Intern opportunity with Philips? We welcome individuals who are currently pursuing (or have recently completed) a graduate (MS) or PhD degree to participate in a 3-month paid internship opportunity. Through this role, you will gain meaningful, hands-on experience working in a HealthTech company.

In this role, you have the opportunity to
• Apply advanced deep learning techniques on medical images and clinical informatics and validate the AI model performance.
• Develop novel data-drive approach to enhance importance of ultrasound imaging data integration with other health records for faster and precise diagnosis

You are responsible for

1.Taking the lead on part of a challenging research project and collaborating with a team of scientists

2.Developing and validating novel AI algorithms and prototypes for medical images and clinical informatics analysis.

•Pre-filter available dataset

•Review existing methods/techniques

•Propose and implement improvements and novel algorithms

•Conduct extensive validation of proposed algorithms on test data

3.Designing and training AI models on real clinical data and evaluating performance

4.Documenting and contributing to publication of the work

5.Contributing to Invention Disclosure generation

You are a part of

You are a part of a leading team of scientists within Philips Research Labs, Cambridge, focusing on development of AI tools to improve clinical and radiology workflow.

To succeed in this role, you should have the following skills and experience
• Computer Science / Electrical / Biomedical / Mechanical Engineering or Mathematics students at all levels are welcome to apply. M.Sc. or PhD candidates are strongly preferred
• Must have hands on experience with classical and modern machine learning techniques, deep learning techniques.
• Extensive experience with deep learning tools and frameworks (e.g. TensorFlow, Keras, PyTorch etc.).
• Knowledge of image processing tools and algorithms; experience with medical imaging and/or interventional technologies is a plus
• Proficiency in one of the following programming languages: Python, C++.
• Ability to work within a team environment and should be self-motivated with the ability to plan and execute.
• Proficiency in English, both written and verbal communication

Why should you join Philips?

Working at Philips is more than a job. It’s a calling to create a healthier society through meaningful work, focused on improving 3 billion lives a year by delivering innovative solutions across the health continuum. Our people experience a variety of unexpected moments when their lives and careers come together in meaningful ways.

To find out more about what it’s like working for Philips at a personal level, visit the Working at Philips page on our career website, where you can read stories from our employee blog. Once there, you can also learn about our recruitment process, or find answers to some of the frequently asked questions.

It is the policy of Philips to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to age, color, citizenship, disability or perceived disability, ethnicity, gender, gender identity or expression, genetic information, marital or domestic partner status, military or veteran status, national origin, pregnancy/childbirth, race, religion, sexual orientation, or any other category protected by federal, state and/or local laws. Philips is an equal employment opportunity and affirmative action employer Disability/Veteran.

As an equal opportunity employer, Philips is committed to a diverse workforce. In order to ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Veterans' Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants that require accommodation in the job application process may contact 888-367-7223, option 5, for assistance.

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it",https://www.careers.philips.com/student/na/en/job/394645/Research-Intern-Applying-AI-to-Medical-Imaging-and-Clinical-Informatics?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Summer Research Program,Philips,"Andover, MA",,https://www.careers.philips.com/student/na/en/job/394645/Research-Intern-Applying-AI-to-Medical-Imaging-and-Clinical-Informatics?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Lex Frieden Inside Sales 2021 Summer Intern,Anthem,"Nashua, NH","DESCRIPTION
SHIFT: Day Job

SCHEDULE: Full-time

_Your Talent. Our Vision._ AT ANTHEM, INC., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will DRIVE THE FUTURE OF HEALTH CARE.

This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health care companies and a Fortune Top 50 Company.

Our sales department is vital in providing consultative services to individuals in need of health and ancillary insurance products for 14 states across the country.

Interns should be prepared to work in a fast-paced, team environment and will finish the internship having obtained broad experience in various aspects of insurance sales, support, and marketing. These roles will be responsible for supporting our Individual Inside Sales team as a paid internship. Possible roles may include:
• Small Group Sales Support Intern -Assisting Small Group Sales team in various roles: Outbound Calling, Application Review, etc
• Tier 1 Intern -Responsibilities include receiving Inbound calls, providing excellent customer service, and creating records in our sales database
• SEP Validation Intern -Review newly submitted applications and supporting documentation
• WFM Intern -Works closely with Work Force Management to assist in achieving maximum call center service levels and metrics
• Small Group Outbound Marketing Intern -Responsibilities include performing outreach to discover opportunities within the small business market and accurate data entry

This role requires the intern to be present in our Cincinnati or Indianapolis location",https://joblift.com/details/b4c05004-2489-4be5-93af-ee65fb71bc5d?gfj=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
