title,company,location,requirements,link
On-Site Property Management Intern,Greystar,"Boston, MA","The purpose of this role is to provide an opportunity for students planning to begin a career in the real estate industry. University students will gain practical experience in all phases of on-site residential property management. The internship is a rotational program where interns learn and perform critical job duties of various site-level positions.

JOB DESCRIPTION
• Become familiar with Company applications and operational techniques through completing required in-house training programs.
• Work with the on-site team to get a sense of their duties and responsibilities in an effort to gain knowledge of day to day processes, procedures, etc.
• Work closely with team in the creation of specific information that leverages internal systems and performance data for the benefit of internal or external clients.
• May work closely with senior team members to complete various, financial, administrative, and other reports and analysis as assigned or as necessary.
• May work on special projects that require building relationships and partnering with other groups to reach goals.
• May work with and contribute to outreach and promotion efforts utilizing website and social media outlets.
• May create documentation outlining processes, procedures, programs, testing/review results, etc.
• May conduct research on and prepare an assessment of a conceptual idea within the department.

Greystar will consider for employment qualified applicants with arrest and conviction records",https://jobs.apartmentcareers.com/jobs/14660185/on-site-property-management-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Ethics & Compliance Intern (Virtual),CBRE,Anywhere,"Ethics & Compliance Intern (Virtual)
• *United States**
• *New**

Administration/Operations

Requisition # 21007310

Post Date 3 days ago

As a Fortune 500 worldwide leader in real estate services, CBRE's more than 100,000 professionals provide exceptional outcomes for clients in 100+ countries. CBRE offers a broad range of integrated real estate services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. When it comes to real estate, CBRE sees potential everywhere. We turn scale into strength, expense into performance, and property into prosperity.

CBRE's Legal, Ethics & Compliance (E&C) Department seeks a summer intern, working _remotely_ approximately 40 hours per week during the Summer. The position will be a ""virtual"" internship, reporting to E&C leaders in the Los Angeles, and Chicago offices of the CBRE Americas E&C Team.
• *Responsibilities:**

Under the supervision of the Ethics and Compliance team's leaders, the intern will be exposed to global ethics and compliance initiatives and activities, primarily in the areas of CBRE's RISE values, Standards of Business Conduct and company policies, the Ethics and Compliance Ambassadors program, and ethics and compliance training.

Support the design, development, delivery, and management of change management, training, and communications for various E&C initiatives

Apply change management and training methodologies, best practices, and approaches to support the development of program strategies and relevant outputs in support of various E&C projects

Provide input, document requirements, and support the design and delivery of training programs

Develop program materials, presentations, and communications for the E&C Ambassadors program

Support the migration of CBRE's intranet sites by working with internal site owners to identify key assets and resources that need to be migrated, keeping track of project activities, and aiding in designing new intranet pages, as needed
• *Qualifications:**

This internship is designed for graduate school students studying Industrial-Organizational Psychology, Organizational Development, Business Administration, Marketing and Communications or a related field. Candidate must demonstrate strong academic credentials and excellent communication skills.

Experience and knowledge of change management principles, methodologies, and tools

Exceptional communication skills, both written and verbal

Consultative mindset with an ability to think strategically about business problems

Excellent active listening skills

Ability to clearly articulate messages to a variety of audiences

Ability to establish and maintain strong relationships

Flexible and adaptable; able to work in ambiguous situations

Able to work effectively at all levels in an organization

Please apply online with your resume, writing sample, and graduate school transcript.

CBRE, Inc. is proud to be an equal opportunity employer.
• *US Company Profile**

About CBRE Group, Inc.

CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the world's largest commercial real estate services and investment firm (based on 2019 revenue). The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. Please visit our website at www.cbre.com.CBRE, Inc. is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans",https://tarta.ai/j/7xxLR3gBrJRKg1c1cMcp-ethics-compliance-intern-virtual-in-providence-ri-at-cbre?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Real Estate Operations Summer Internship,Citizens,"Johnston, RI","Description
Real Estate Operations provides facility related services and amenities to all our buildings and branches. These include:
Repairs & Maintenance.
Energy Services
.Fire, Life and Safety.
Cafeteria Services
.Building Improvements.
Janitorial Services
.Snow Removal..

In this internship you will assist the Property, Real Estate Operations team as needed. The intern role will work closely with the Facility Management team; work responsibilities include supporting the creation of the Back Office Etiquette Program Playbook, updating the existing FM Playbook, supporting our new Capital Planning software, creating a reporting dashboard of Key Performance Indicators (KPI’s) for the Real Estate Operations team, and other tasks as assigned.
Other responsibilities will include:
Fulfilling project administrative reporting requirements.
Providing assistance to department as needed
.Preparing status reports and documenting through the use of computerized systems and project management software applications.
Assisting in designing, organizing, documenting and implementing all phases of assigned projects to satisfy project requirements and achieve business goals.
Collaborating with other business areas to support project, as needed.
The position is a technical and analytical position which will support strategic responsibility that will be part of the Real Estate Operations team
.The position will support creating and analyzing various technical, engineering service reports to support initiatives and projects that are part of the 2021 Business Plan..

Qualifications
Currently pursuing a Bachelor's or Master's Degree in Business related area.
Expected graduation date of May 2022.
Microsoft Office – Word, Excel, Power Point, Outlook (Beginner to Advanced)
.Communication – strong written and verbal
.Excellent attention to detail
.Ability to operate independently
.Hours and Work Schedule
Hours per Week: 40
Work Schedule: M - Th
Why Work for Us
At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth.
Equal Employment Opportunity
It is the policy of Citizens to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, colleague or a dependent’s reproductive health decision making, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, genetic characteristic, citizenship, veteran or military status, marital or domestic partner status, family status/parenthood, victim of domestic violence, or any other category protected by federal, state and/or local laws.
Equal Employment and Opportunity Employer/Disabled/Veteran
Citizens is a brand name of Citizens Bank, N.A. and each of its respective affiliates",https://jobatic.com/jobs/amp/rhode-island/johnston/citizens/real-estate-operations-summer-internship.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"2021 Summer Analyst, Real Estate Management and Operations",Citizens,"Johnston, RI",,https://jobatic.com/jobs/amp/rhode-island/johnston/citizens/real-estate-operations-summer-internship.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Property Accountant,Citizens,"Johnston, RI",,https://jobatic.com/jobs/amp/rhode-island/johnston/citizens/real-estate-operations-summer-internship.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
DoD Skillbridge - Property Management Internships,Cushman & Wakefield,"New York, NY","Job Title
DoD Skillbridge - Property Management Internships

Job Description

Job Description Summary

These roles are unique opportunities for Active Duty US Armed Forces members with authorization to participate in the DoD Skillbridge program as directed by their respective command. Cushman & Wakefield is a DoD Skillbridge authorized participant.

This internship would allow the qualified candidate to participate in a learning program designed around training into a potential full time opportunity of a role similar to the one in the description listed below.

Job Description

ESSENTIAL FUNCTIONS AND RESPONSIBILITIES
• Provide full administrative support, including phone support, typing, reports, filing and distribution of correspondence. Coordinate office supplies in absence of a property administrator
• Assist in lease administration activities, including abstracting leases and keeping our database current
• Ensure all property files are prepared and maintained in an orderly and logical manner, including leases and contracts
• Prepare and coordinate bid proposals and service contracts
• Obtain aging report for management and follow up on all delinquencies, utilizing C&W or client-directed policies
• Ensure invoices are processed in accounting with appropriate back-up and according to established procedures
• Coordinate tenant move ins and move outs, including furniture delivery and pick up
• Oversee maintenance of work order and purchase order systems
• Responsible for aspects of development and maintenance of a comprehensive Tenant Service Package, including tenant handbooks, tenant anniversaries, holiday gifts, park events, quarterly newsletters, and training meetings or programs for tenants. Also responsible for ensuring tenant information within data base is current and up to date
• Update and maintain office procedures in the property Operation’s Procedure Manual under direction of manager
• Ensure Certificates of Insurance for tenants and vendors are up to date
• Oversee the processing of management and maintenance staff hours, expense reports, check requests for review and approval
• Ensure that above standard tenant bill-backs for electrical usage, after hours HVAC, and other similar charges are processed in a timely manner
• Assist supervisor with aspects of annual budgets preparation and monthly financial reports, as well as preparation of bank deposits if processed at on site management office
• Responsible for leading regular inspections of properties with janitorial and landscape providers and any other service provider as directed by the manager
• Participates in performance oversight of all service contractors who perform contract services

KEY COMPETENCIES
• Customer Service Focus
• Organization skills
• Time Management skills
• Communication Proficiency (oral and written)
• Initiative
• Multi-Tasking
• Sense of Urgency

IMPORTANT EDUCATION
• High school diploma/GED equivalent; Bachelor’s Degree preferred

Additional Eligibility Qualifications
• Proficiency in Microsoft Office Suite
• Demonstrates initiative and reflects a sense of urgency in daily duties by meeting or improving upon deadlines

WORK ENVIRONMENT
This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines. Regularly required to travel outside between properties in varying weather conditions.

PHYSICAL DEMANDS
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

While performing the duties of this job, the employee may need to travel from floor to floor, climb stairs, and may be required to travel outside between buildings in varying outdoor weather conditions. The employee may also be regularly required to remain in a stationary position (sit or stand) for 85% of the time; regularly use hands to operate office machinery and regularly required to walk, talk, and hear.

Other Duties

This job description is not designed to cover or contain a comprehensive list of activities, duties or responsibilities that are required of the employee. Other duties, responsibilities and activities may change or be assigned at any time with or without notice.

Note: This job description includes the core responsibilities for C&W. These duties may have slight modifications based on the regional location.

Cushman & Wakefield provides equal employment opportunity. Discrimination of any type will not be tolerated. Cushman & Wakefield is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other characteristic protected by state, federal, or local law.
Cushman & Wakefield provides equal employment opportunity. Discrimination of any type will not be tolerated. Cushman & Wakefield is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other characteristic protected by state, federal, or local law",https://www.linkedin.com/jobs/view/dod-skillbridge-property-management-internships-at-cushman-wakefield-2391510679?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Property,UDR,"Boston, MA","Job Description

GENERAL SUMMARY OF DUTIES: Assists with and learns about the efficient operation of the assigned community or communities under the direction of their Community Director(s). On a daily basis, the Intern is flexible and may perform the tasks associated with the operation of the community including leasing, resident services, maintenance and actions to ensure compliance with all applicable laws and company policies.

The program is designed to provide the college student a positive learning and/or practical work experience providing them the opportunity to grow and sharpen their practical work skills, and contribute toward the successful achievement of the Company. This is an hourly position based in numerous locations located throughout the United States.

SUPERVISION RECEIVED: Reports directly to one or more Community Directors, Senior Community Directors, or General Manager

SUPERVISION EXERCISED: N/A

TIME COMMITMENT: Part-time or Full-time (approximately 29 hours per week minimum not to exceed 40 hours in a given work week) for three months, typically starting in June. The start and end dates and hourly commitment of the internship are flexible and can be adjusted based on managements needs.

ESSENTIAL FUNCTIONS:
• Renew and lease apartments using effective selling techniques to close each sale and obtain the required deposit(s).
• Meet with and show the prospects the community and all of the amenities.
• Complete administrative tasks associated with community operations, including accounting and financial reporting, processing invoices, making bank deposits, reconciling resident accounts, and performing other clerical tasks assigned.
• Responsible to complete customer applications, to ensure all background checks, deposits, and lease paperwork is completed in accordance with all legal requirements and company policy to guarantee a timely move-in.
• Notify the new resident upon approval of the application, prepare resident move-in or renewal paperwork, ensure the new resident signs all necessary paperwork (leases, addenda, notices, etc.), and pays applicable deposits. Prepare new residents file according to company requirements for the Community Director's approval.
• Enter data into the community database.
• Explain the ""Move-In Inventory"" form to new residents and ensure that the form is returned.
• Answer prospect, resident, and customer inquiries which may include questions about the community, the company, lease details, and amenities and takes prompt action to solve/address issues and/or enter resident service requests into the system if needed.
• Assist in gathering and compiling current market and economic information, and prepare competitive market analyses and trends if requested.
• Answer the telephone and receive and greet visitors to the community in the absence of a Concierge.
• Provide superior customer service to internal and external customers.
• Enter, update, and maintain the guest card data base.
• Produce timely and accurate administrative, accounting, and other reports.
• Conduct routine site inspections to ensure that the physical aspects of the community meet established standards regarding the grounds, market tour trail, curb appeal, risk management/safety requirements, cleanliness, and general appearance and implements corrective measures as necessary.
• Assist residents who call or come to the office to make a service request by entering that service request into the system for them.
• Assist in sponsoring functions and programs that promote resident satisfaction.
• Perform other duties as assigned or as necessary.

PERFORMANCE REQUIREMENTS: Become familiar with organizational policies and procedures. Appreciation of business concepts and requirements.

TAbility to define problems, collect data, establish facts, and draw valid conclusions. Ability to apply concepts of basic algebra, geometry, and statistics. Ability to exercise initiative, problem solving and decision making skills.

The individual must be energetic, enthusiastic, detail-oriented, and have the ability to multi-task. Ability to learn the principles and methods for showing, and promoting property and knowledge of demographics surrounding assigned community. Ability to effectively present information to prospective or current residents. Ability to respond to common inquiries or complaints. Ability to quickly develop strong internal working relationships. Ability to travel, when applicable.

Must be a self-starter and have strong organizational and analytical skills, effective oral and written communication skills. Ability to professionally work well with others and to maintain positive relationships with co-workers, Company managers, clients, and customers both internal and external.

Proficiency with Microsoft Office, Word, Excel, and Power Point and an ability to learn and utilize other software products needed. Ability to perform numerous administrative duties and to create, compose, and edit written materials. Knowledge of basic office practices and procedures.

TYPICAL PHYSICAL DEMANDS: Some bending, stooping and stretching. Occasionally lifting items weighing up to 30 lbs. Requires eye-hand coordination and manual dexterity sufficient to operate a keyboard, photocopier, telephone, calculator, and other office equipment. Requires normal range of hearing and eyesight to record, prepare, and communicate appropriate reports. Regular and consistent attendance on the job is an essential function.

TYPICAL WORKING CONDITIONS: Normal office environment. Incumbents must be able to physically access all exterior and interior parts of the community and amenities. Regular exposure to outside elements, weather, and unpleasant odors. Flexible schedules with occasional evening and regular weekend work.

EDUCATION AND EXPERIENCE:

In order to apply, applicants must be:
• Currently enrolled college students with an interest in Real Estate and/or general business.
• U.S. citizens or legal permanent resident.
• Able to demonstrate leadership abilities and excellent oral and written communication skills.
• Be in good academic standing and have a minimum grade point average of 3.0 on a 4.0 scale","https://www.ziprecruiter.com/c/UDR/Job/Intern-Property/-in-Boston,MA?jid=e0969c8ab532b4c0&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
2021 Summer Internship- Property Management- NYC,JLL,"New York, NY","2021 Summer Internship

Business Line- Property Management

Description

Take the opportunity to start your career early in the commercial real estate field! Spend time learning what it’s like to work in the fast-paced, entrepreneurial, team-oriented environment at JLL.

Interns are an important part of what makes JLL a great place to work. Within our program, interns are an integral part of our team working alongside analysts, tenants, and facilities management team. You will gain valuable insight into the commercial real estate industry while being exposed to multiple lines of business over the course of your internship.

The ideal candidate should be prepared to work in a fast-paced property management environment and will finish the internship having gained a broad experience in various aspects of Commercial Real Estate.

Program Details-
• Beginning June 2021
• Length of program runs 8-10 weeks
• Full time (40 hours per week)

Qualifications-
• Rising seniors / current undergraduate students majoring in-
• Real Estate
• Property Management
• Any Business-Related Major
• Desire to work in the Commercial Real Estate industry
• Rising seniors and 2021 graduates highly preferred

Skills & Abilities-
• Interest in commercial property management
• Demonstrated ability to take initiative
• Comfortable with public speaking
• Ability to develop relationships
• Ability to problem solve and bring innovative ideas to a challenge
• Able to work independently, with minimal direction
• Ability to work well within a team environment

You will be given the opportunity to select up to two location preferences on your application. Potential placement could include any of our offices within the city’s metropolitan area.

Please only apply to one posting.

JLL is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.

We do not offer relocation assistance or housing for our internship program.

Permanent US work authorization required

#LI

JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement .

For additional details please see our career site pages for each country.

For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here .

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL",https://www.linkedin.com/jobs/view/2021-summer-internship-property-management-nyc-at-jll-2424467093?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Property Operations Summer Internship,AvalonBay Communities,"Jersey City, NJ","Creating a better way to live is the purpose that binds AvalonBay associates. At AvalonBay, every day you can make a difference in someone's life. We take that purpose seriously and expect you will as well. From helping someone choose one of our communities as their home to providing great service throughout a resident's stay to supporting your fellow associates, your positive, professional and consistent personal interactions make AvalonBay a great place to work. Our purpose and our core values - A Commitment to Integrity, A Spirit of Caring, and A Focus on Continuous Improvement - set us apart.

So if you're looking for a rewarding career opportunity with the top property management organization in the country, we'd like to hear from you!

At AvalonBay, you will have access to outstanding training and career advancement opportunities. We also offer a competitive benefits package, including rental discounts at our communities.

As Property Operations Summer Intern you will gain valuable hands-on experience in the the residential property management industry. Responsibilities will include welcoming current and prospective residents to the community, facilitating the move-in/move-out process, assisting with coordination of resident events, administrative duties and special projects. If you're interested in learning about the property management industry from a sales and customer service perspective, this may be the perfect internship for you!

This is a ten week internship program from late May until early August.

Qualified candidates will have at least 1 year of sales or customer service experience in a retail, hospitality, or multi-family environment, and Microsoft Office skills.

AvalonBay is proud to be an equal opportunity employer and is committed to an inclusive and diverse work environment free of discrimination and harassment.  We believe that in order to achieve our purpose of creating a better way to live, we must recruit, develop and retain associates with a wide range of backgrounds, experiences and perspectives and create an environment that encourages all voices to be heard, understood and appreciated. With this we know we can do great things","https://www.glassdoor.com/job-listing/property-operations-summer-internship-avalonbay-communities-JV_IC1126819_KO0,37_KE38,59.htm?jl=4029936082&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Corporate Real Estate Intern,Thermo Fisher Scientific,"Waltham, MA","Job Title

Corporate Real Estate Intern

When you’re part of the team at Thermo Fisher Scientific, you’ll do important work. You’ll have the opportunity to grow and learn in a culture that empowers your development. We have created an inclusive, global environment that values the power of diverse talent, backgrounds, and experiences to drive speed, productivity, innovation, and growth.

Our internship program will give you a chance to get real world business experience and build your network before graduation. We are seeking an energetic, responsible intern to join our growing organization. In this position, you will be expected to learn the ins-and-outs of our daily routines and procedures. You will focus on learning how our organization runs, and can be expected to gain valuable insight that can further your interest in your chosen career field.

Thermo Fisher Scientific Inc. (NYSE: TMO) is the world leader in serving science. With revenues of $25 billion and the largest investment in R&D in the industry, we give our 80,000 employees the resources and opportunities to make significant contributions to the world. The customers we serve fall within pharmaceutical and biotech companies, hospitals and clinical diagnostic labs, universities, research institutions and government agencies. Our products and services help accelerate the pace of scientific discovery, and solve challenges ranging from complex research to routine testing to field applications.

Summary Of Internship

The Corporate Real Estate Internship position provides an opportunity for students who are currently pursuing a management, real estate, facilities, construction, or architectural related degree to get hands on experience working with professionals in a fast-paced environment. They will be a part of the global corporate real estate team that supports over 31 million square feet of space in over 50 countries. They should have an analytical background with some experience in real estate and a passion for continuous improvement and excellence. The intern should be creative with an attention to detail and the desire to manage and design space delivering the best employee and visitor experience, while supporting the company’s businesses in a fiscally responsible manner to ensure we’re maximizing shareholder value. The position starts in June, paid working 40 hours per week through August.

Essential Functions
Will work closely with the Director of Global Real Estate and the team on projects involving Thermo Fisher properties
Will be mentored by Real Estate Manager, Director of PMO (Project Management Office), Senior Office Services and other functional personnel to help develop the intern's skill set
Will have exposure to project management process for real estate including becoming familiar with the various technology platforms the group currently uses to support the portfolio and their facilities
Will participate in various quarterly reviews with the company’s divisional leadership teams and corporate functions such as IT, Security, Risk Management and other adjacent groups
Will help to review department’s reporting tools including the quarterly real estate report; the intern will be expected to evaluate and recommend ways to enhance these reports to provide better data analytics to the company
Will participate in developing KPIs and other ways to manage, evaluate and improve third party vendors such as facilities service providers, and CRE partners such as brokerage and project managers
Support an ongoing initiative to publish an updated corporate real estate playbook to document standards and processes as well as reviewing the company’s new Global Flexible Workplace Strategy and other ways to help drive improved productivity and space optimization
Participate in the team’s annual real estate meeting with exposure to the global team in Mid-June
Assist the facilities team with the day to day operation of the company’s global headquarters and become familiar with daily tasks to help review and make recommendations on ways we can improve the service delivery and overall efficiency of the team
Specific tasks will be tailored to the intern’s experience level and abilities
Accept candid feedback and look for areas of opportunity for continuous improvement and improved productivity

Skills And Abilities
Ability to work independently and as a member of a cross-functional team
Willingness to learn, be mentored, and improve their aptitude in global real estate
Desire to contribute and improve new and existing real estate processes
Exceptional customer focus – we strive to exceed expectations
Desire to teach members of the team about technology, trends and in other areas of expertise that can help improve the team’s ability to deliver best in class real estate solutions
Desire to contribute and improve new and existing real estate processes

Qualifications
Student currently enrolled in classes leading to a degree in a related field
Familiar with real estate, preferably commercial properties, construction or design

At Thermo Fisher Scientific, each one of our 80,000 extraordinary minds has a unique story to tell. Join us and contribute to our singular mission—enabling our customers to make the world healthier, cleaner and safer. Apply today!

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2495376449?url=https%3A%2F%2Fthermofisher%2Econtacthr%2Ecom%2F81988878%3FrefId%3D34jd24&urlHash=fprA&refId=9c41e111-a795-4d6f-b886-19ee165253de&trackingId=30KB7bMT%2BQNSLE7ehVJ8cQ%3D%3D&trk=public_jobs_apply-link-offsite
