title,company,location,requirements,link
Pharmacy Intern P2,Kinney Drugs,"Shelburne, VT","Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs



Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern",https://www.linkedin.com/jobs/view/externalApply/2486630919?url=https%3A%2F%2Fkinneydrug-kphhealthcareservices%2Eicims%2Ecom%2Fjobs%2F6578%2Fpharmacy-intern--p2%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=A6gK&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=yGooibffxngWyUrQ7prb0w%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern P1,KPH Projects,"Edgewood Park, NY","Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables

Job Duties
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs



Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern",https://www.linkedin.com/jobs/view/externalApply/2499025438?url=https%3A%2F%2Fwww%2Eadzuna%2Ecom%2Fdetails%2F2019518837%3Fv%3DC546027B94FFA8A29C1B5A9FCA5A426B38A25522%26frd%3D87402104d869570f0f9ac26c5567dc9f%26ccd%3D550920f8f854071b8669f7024b1c7bf1%26r%3D6809450%26utm_source%3Dlinkedin5%26utm_medium%3Dorganic%26partnerb%3D1%26chnlid%3D696&urlHash=UbPs&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=QQ%2FTyBD18%2BJeebgVLvVw%2FA%3D%3D&trk=public_jobs_apply-link-offsite
"Pharmacy Intern (Part Time Rt 281, Cortland)","KPH HEALTHCARE SERVICES, INC","New York, NY","Overview

Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables

Responsibilities
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs
Qualifications

Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern
SDL2019-64",https://www.linkedin.com/jobs/view/externalApply/2496515035?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fcortland-ny%2Fpharmacy-intern-2245849212%3Fcampaign%3D128%26source%3DLI&urlHash=0rpq&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=4l%2FL9Ox11II8HcwlZzKLAg%3D%3D&trk=public_jobs_apply-link-offsite
"Pharmacy Intern (Part Time Rt 281, Cortland)",Kinney Drugs,"Cortland, NY","Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs



Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern",https://www.linkedin.com/jobs/view/externalApply/2335574378?url=https%3A%2F%2Fkinneydrug-kphhealthcareservices%2Eicims%2Ecom%2Fjobs%2F6039%2Fpharmacy-intern-%2528part-time-rt-281%252c-cortland%2529%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=isUR&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=dG2WeuqbC4xgaH8L5bMOXw%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern P2,KPH Projects,"Shelburne, VT","Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs



Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern",https://www.linkedin.com/jobs/view/externalApply/2498955960?url=https%3A%2F%2Fwww%2Eadzuna%2Ecom%2Fdetails%2F2095714662%3Fv%3D6A77D52F621701F4485DFEEEBEF4931B89468517%26r%3D6809450%26frd%3D0d869bc907c6c7e3e0415602f11ad814%26ccd%3D71ce7e01dd4152a386eb78dffa4a06be%26utm_source%3Dlinkedin5%26utm_medium%3Dorganic%26partnerb%3D1%26chnlid%3D696&urlHash=z8YP&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=qZFMo2GPozy89vFczHxGqA%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern P1,"KPH HEALTHCARE SERVICES, INC","Alexandria Bay, NY","Overview

Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables

Job Duties

Responsibilities
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs
Qualifications

Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern
SDL2019-64",https://www.linkedin.com/jobs/view/externalApply/2496512284?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Falexandria-bay-ny%2Fpharmacy-intern-2571074287%3Fcampaign%3D128%26source%3DLI&urlHash=54pl&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=To7pwg75YCxx%2F5D4bxF5rQ%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern P2,Kinney Drugs,"Middlebury, VT","Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs



Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern",https://www.linkedin.com/jobs/view/externalApply/2465118474?url=https%3A%2F%2Fkinneydrug-kphhealthcareservices%2Eicims%2Ecom%2Fjobs%2F6500%2Fpharmacy-intern--p2%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=O2OM&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=%2FFV96NeZU8vqbHmpqZNrEA%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern P3,KPH Projects,"Shelburne, VT","Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables

Job Duties
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs

Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern",https://www.linkedin.com/jobs/view/externalApply/2488967984?url=https%3A%2F%2Fwww%2Eadzuna%2Ecom%2Fdetails%2F1797512878%3Fv%3D6F8E09F555594CFE191A2BEABA02D6C4CD5206E4%26ccd%3D332c5607b3234e6e5d60ac320dd60508%26frd%3Dc6bf97daf10240297b89f314c092c463%26r%3D6809450%26utm_source%3Dlinkedin5%26utm_medium%3Dorganic%26partnerb%3D1%26chnlid%3D696&urlHash=ApMu&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=BMiw3eztS4qQl%2Fc2zr6L6Q%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern P1,"KPH HEALTHCARE SERVICES, INC","Shelburne, VT","Overview

Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables

Job Duties

Responsibilities
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs
Qualifications

Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern
SDL2019-64",https://www.linkedin.com/jobs/view/externalApply/2499294673?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fshelburne-vt%2Fpharmacy-intern-2062304877%3Fcampaign%3D128%26source%3DLI&urlHash=-jjr&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=rH%2F3xCyZMJTpmP0yayaY5g%3D%3D&trk=public_jobs_apply-link-offsite
"Pharmacy Intern (Part Time Rt 281, Cortland)",Kinney Drugs,"New York, NY","Overview

Gains knowledge and experience required for licensure as a registered Pharmacists under direction of experienced personnel by performing the following duties personally or through subordinates. Assist the professional staff in the triaging, processing and delivery of prescriptions to the patient. Assist in the management of the Pharmacy Inventory and Third Party Receivables

Responsibilities
Receive training and perform duties in pharmacy department to become familiar with staff functions, operations, management viewpoints and company policy and practices that affect pharmacy business
Observe experienced workers to acquire knowledge of methods, procedures, and standards for performance of Pharmacist duties
Follow all State and Federal guidelines governing the practice of Pharmacy
Follows the Kinney Standard of Practice to dispense prescriptions and counsel patients
Insure that every prescription has been checked by a pharmacist prior to dispensing to the patient
Assist in the initial submission, and resubmission (as required) of all third party claims
Assist in the management of the pharmacy inventory, including transmitting, processing and receiving orders to the Kinney Warehouse and additional suppliers as needed
Assist in the checking of pharmacy inventory for outdates and processing all returns
Locating prescription files and other manual records from storage as needed
Prepare and file manual records for pharmacist signatures and review
Maintain confidentiality regarding all patient information
Maintains and develops professional relationships with doctors and others in the health service professions
Maintains an awareness of developments in the Pharmacy and Health Care Services fields that relate to job responsibilities and integrates them into own practice
Must keep current with all State and Federal requirements as related to conditions of employment
Perform duties of Pharmacy Clerk as neede
Perform all store clerk duties as needed
Responsible for completing all mandatory and regulatory training programs
Qualifications

Job Requirements
Valid, limited Intern permit to practice pharmacy under the immediate personal supervision of a licensed pharmacist

Educational Requirements
Minimum: Successful Completion of the first year of professional course work at an approved School of Pharmacy

Experience
Preferred previous experience as Pharmacy Technician or Pharmacy Intern
SDL2019-256",https://www.linkedin.com/jobs/view/externalApply/2494540606?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fcortland-ny%2Fpharmacy-intern-2245845449%3Fcampaign%3D130%26source%3DLI&urlHash=dnIn&refId=8ef94734-a256-4ef3-ab47-f376b02ffefe&trackingId=uOIr0ZAmOGL5CF635zrL4g%3D%3D&trk=public_jobs_apply-link-offsite
