title,company,location,requirements,link
"Spring or Summer Intern (Generalist, remote) | National Social Impact...",Ignite Mental Health,"Providence, RI","** It would be appreciated if all emails/communications were directed to Ignite & not the Harvard Innovation Lab or Harvard University.

Do you want to improve the world? Have you ever wondered what it would be like to join a driven, tight-knit community of highly talented peers at a world-changing organization just as they started growing rapidly? Excited by the opportunity to power world-class entrepreneurs and Changemakers as they work to positively impact the lives of 1,000’s, 100,000’s or 1,000,000’s?

At Ignite Mental Health we're accelerating world-class mental health entrepreneurs and mobilizing key change agents to catalyze the scalable innovations and legislative changes needed to transform the future of student mental health literacy and access. Using this approach, we're working to make the impossible inevitable; helping build and scale lasting legislative changes and breakthrough organizations to be as impactful as Google and Facebook that focus solely on equipping every student with a standard measure of mental health literacy and access.

All of us at Ignite have experienced first-hand, or through that of loved ones and friends, the pain caused by how broken our approaches towards mental health really are. This has driven us to come together to unite some of the best minds and doers on the planet to fix it, on a national scale and accelerated timeline.
Become a member of a bold and ambitious mission-driven team which grew rapidly with the support of the Harvard Innovation Labs Venture Program, to become a nationwide effort in just nine months! You will perch atop a fast-growing organization working to catalyze national and global change with the opportunity to learn, grow, and hopefully thrive in our fast-paced, entrepreneurial, and impact-driven environment.

PS: As you saw from the title, we're straight up that we're not funded by a zillionaire (yet!) and this is a non-compensated opening that is volunteer in nature at a social impact non-profit.

We’re expanding our world-class team... This is where you come in.
What you’ll do
• Collaborating with our Founder and core team on projects related to Ignite Campus and Accelerator.
• Actively learning on the job and diving into new areas where you may have little expertise in.
• Learning from mistakes and failed projects (you'll be wearing a lot of hats).
• Roles change quite frequently and we usually share a lot more info during the interview process. This is not a structured internship program and is focused on direct experiential based learning. Ignite is a fast growing startup and our internships are most definitely not like traditional (big company) internships, so be forewarned that position titles don't equate to traditional job responsibilities - things change quickly here, as too could your role!
Must haves
• Deeply driven to transform the future of mental health (but that's a given!).
• Growth mindset, a deep sense of 'extreme ownership' for projects, not afraid of failure or taking risks and boldly ambitious.
• Able to perform well with a high performance team working towards ambitious goals.
• Experience in OR willing to become a great navigator FAST: constantly testing hypothesis and outlining strategy for pivoting when needed.
• Relentless learner: you want to maximize your experience with us and learn as much as you can.
• Comfortable being pushed outside of your comfort zone in a true startup (sometimes chaotic) environment; wearing any hat needed (aka pivoting to new outcomes and roles and responsibilities in different functional areas outside of your initial functional areas based on changes in the startup's priorities - it's a rollercoaster of a journey!)
Location & dates
• Candidates for this position are welcome to work remotely from anywhere in the world or in-person with our Founder and key team members in the Boston area. In-person options may be dependent on a range of COVID-19 health and safety related factors.
• Successful candidates will join on a rolling basis with the option for an immediate start.
Perks
• Join an amazingly talented community of like minded peers across the US working to solve one of societies most pressing problems.
• Develop new skills, insights & experience in a fast-changing entrepreneurial environment.
• Help build the future you want to see and achieve lasting changes in national mental health.
• And all the other stuff too :)
Ignite Mental Health is not a department of Harvard University, nor are we in anyway owned or operated by the University. Ignite's only connection with the University is that we were founded by Harvard students/ alumni and incubated by and worked (pre-covid) out of the Harvard Innovation Labs Venture Program. We ask that all communications are directed to Ignite and not the Harvard Innovation Lab.

This description is intended to describe the general nature and level of work which may be performed by persons assigned to this position. It is not intended to include all duties, responsibilities or other potentially relevant information which may change between the date of this posting and potential interviews.

We're working to scale innovative solutions and legislative changes —unafraid of transforming traditional approaches—that tackle the root causes of some of the biggest problems affecting mental health.

Are you in",https://www.internships.com/posting/sam_4026487385?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Social Worker, Inpatient, Per Diem",Ignite Mental Health,"Providence, RI",,https://www.internships.com/posting/sam_4026487385?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Supv Social Work,Ignite Mental Health,"Providence, RI",,https://www.internships.com/posting/sam_4026487385?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Social Worker, Msw - Rwmc",Ignite Mental Health,"Providence, RI",,https://www.internships.com/posting/sam_4026487385?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Unpaid Internship/Externship/Co-op (paid)/Volunteer Opportunities,Family Service Association - Fall River,Anywhere,"Family Service Association is a comprehensive private, non-profit social service agency dedicated to the development and implementation of services designed to provide strength and support to individuals and families throughout southeastern Massachusetts. Headquartered in Fall River, Family Service Association strives to increase the capacity of individuals and families to cope with the stresses of family life and interpersonal relationships in a positive, productive and health-improving manner. This agency is a leading provider of professional social services in the South Coast region of Massachusetts, with a 130-year tradition of high quality.

If you are interested in an unpaid Internship/Externship/Volunteer Opportunity/Co-op (paid) with our Agency, please submit your resume and cover letter indicating your interest.

We are currently accepting applications for unpaid Internship/Externship/Volunteer/Co-op (paid) opportunities.

To apply for an unpaid Internship/Externship/Volunteer opportunity/Co-Op (paid) with our Agency, please provide the following information:

- A cover letter indicating the specific internship/externship/Volunteer/Co-op (paid) for which you are applying;

- how your skills/experience qualify you for the internship/externship/volunteer/Co-op (paid);

- how the internship/externship/Volunteer/Co-op (paid) fits into your academic and/or career goals;

All Interns/Externs/Volunteers/Co-op (paid) participants must pass a CORI background check","https://www.ziprecruiter.com/c/Family-Service-Association-Fall-River/Job/Unpaid-Internship-Externship-Co-op-(paid)-Volunteer-Opportunities/-in-Fall-River,MA?jid=53cca205d9cd1452&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Msw Social Worker, Per Diem - Home Care",Family Service Association - Fall River,Anywhere,,"https://www.ziprecruiter.com/c/Family-Service-Association-Fall-River/Job/Unpaid-Internship-Externship-Co-op-(paid)-Volunteer-Opportunities/-in-Fall-River,MA?jid=53cca205d9cd1452&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Social Media Intern - Remote - ($500 per month),&always,"Providence, RI",,https://www.topjob4me.com/job/social-media-intern-remote-500-per-month-in-providence-rhode-island/6492-1148254137B9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Media/Public Relations Intern,Pearson,"Providence, RI","Media/Public Relations Intern - ( )DescriptionThe GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.Qualifications Currently a junior or senior in college, in pursuit of a bachelor's degree in Communications, Public Relations, Marketing or related field Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones. Understand and be comfortable using the large social media platforms - Facebook, Twitter, Instagram, and YouTube Interested and familiar with education, public relations/communications, and social media Team player who works well with others and isn't afraid to ask questions Detail-oriented, cares about how our communications will impact thousands of people Develop new content, including blog posts, emails, newsletter ideas Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software Plan, schedule, and upload content on Facebook, Twitter, LinkedIn Assist marketing team with monitoring all social media channels to engage with users through Hootsuite Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic Primary Location : US-RE-RemoteWork Locations :US-RemoteRemoteJob : CommunicationOrganization : Assessments VUEEmployee Status : Fixed TermJob Type : InternshipJob Level : Entry LevelShift : Day JobTravel : NoJob Posting : Mar 19, 2021Job Unposting : OngoingSchedule: : Part-time TemporaryReq ID",https://www.topjob4me.com/job/media-public-relations-intern-in-providence-rhode-island/6492-113862259987?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Assistant (Internship/Part-time),iGlow Mentoring,"Providence, RI","The Social Media Intern is a highly motivated, creative individual with experience and a passion for connecting with current and future customers. This position has the responsibility of building and engaging our community on a daily basis with the ultimate goal of turning fans into customers. An essential component is communicating the company's brand in a positive, authentic way that will attract today's business savvy buyers.

This position is responsible for creating a deliberate and intentional social media strategy that delivers results through organic and paid advertising. The strategy will build and grow brand awareness and create a positive online reputation. The social media funnel will cultivate leads that will convert to sales.

You must be able to work in a fast-paced environment as this event will take place in less than 90 days.

Knowledge and skills you possess...

- Ability to create relevant, original, high-quality content (for all channels and ads)
- Strategies to build and nurture a community on an accelerated timeline
- Create a regular publishing schedule and promote content through social advertising.
- Leverage the right tools to manage your content.
- Implement a content editorial calendar to manage content and plan specific and timely marketing campaigns based on an event launch date.
- Integrate all channels of marketing (social media, SEO, content marketing, email, print and digital marketing",https://www.returntoworkmums.com/jobs/social-media-assistant-internship-part-time-providence-rhode-island/256451127-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Communications Intern,Hasbro,"Pawtucket, RI","The Social Communications Intern Will Support The Team On a Variety Of Projects That Support The Brand Publicity Functions Of The Department Including

Imagine an internship where work feels like play – it’s fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands. Successful candidates are proactive, energetic, collaborative, responsive, flexible, and creative.

A day in the life of a Social Communications Intern...
• Collaborating with cross-functional teams on the development and execution of integrated social media strategies that support PR initiatives such as brand launches, product announcements or entertainment reveals, ensuring consistency throughout all communication channels.
• Support social activations for all large-scale events
• Support day-to-day community management with a team of community managers for multiple Hasbro corporate and brand social media channels including Facebook, Twitter, Instagram and other relevant social channels
• Posting and scheduling social content, monitoring conversations and fostering thoughtful dialogue with fans/followers
• Partnering closely with Global Consumer Care team to field and respond to consumer inquiries that emerge on social media
• Maintaining guardrails and escalation protocols, managing issues and crises by collaborating with PR counterparts
• Working with marketing and ecommerce partners on development and community management of paid social campaigns
• Being the eyes and ears of Hasbro’s Brands and communicating findings to the appropriate cross-functional team when necessary
• Assist in identifying influencers, outreach, and tracking on social media

What you'll bring...
• Stellar listening and writing skills with a sharp eye for detail
• Creative problem-solving skills
• Global thinking
• Able to work collaboratively and independently with ease
• Strong leadership and organizational skills
• Integrity and reliability

Qualifiactions...
• Enrollment in an undergraduate degree program with a GPA of 3.2 or higher
• Major in communications, public relations, marketing, or journalism",https://www.linkedin.cn/jobs/view/social-communications-intern-at-hasbro-2496754946?refId=edc3c230-8c13-4214-8f4e-abc55f29901f&trackingId=T1JUNVMx0COulW/QP8Vvsg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
School Social Work Intern,International Rescue Committee,"New York, NY","Requisition ID: req12379

Job Title: School Social Work Intern

Sector: Education

Employment Category: Intern

Employment Type: Part-Time

Open to Expatriates: No

Location: New York, NY RAI USA

Background

Job Description

Since 1999, the IRC has developed partnerships with New York City public schools, community-based organizations and local colleges and universities to support the positive development of refugee youth and their communities in New York City. The Education & Learning department provides year round programming working directly with refugee youth, their parents and families, and their schools.

Scope Of Work

The Newcomer Youth Summer Academy is a six-week program focusing on preparing newly arrived youth to succeed at their grade level in the New York City public school system. Up to 130 students ages 5 – 21 from over 20 countries will participate in academic, creative arts, physical education, and social emotional learning classes. Field Trips are held on Fridays.

The School Social Work Intern will work with students exhibiting challenges or barriers to success at the Newcomer Youth Summer Academy according to the program’s Multi-Tiered Systems of Support. In addition, the School Social Work Intern will meet individually with students who exhibit behavioral or emotional concern in the classroom. The intern will also contribute to the development of individualized student behavior plans for students exhibiting the highest level of need.

Under the supervision of the Dean of Student Support, the School Social Work Intern will work alongside a Caregiver Engagement Intern to conduct outreach to parents of students who are having difficulties in the classroom environment, using interpretation services if necessary. The School Social Work Intern will complete other tasks and duties as assigned by the Dean of Student Support.

Essential Job Functions

Participate in Student Support Team onboarding in June, complete online training modules, participate in live training, and attend program meetings and staff development activities thereafter
Conduct behavioral observations of students in the classroom environment
Develop behavior plans for students exhibiting the highest level of need
Under supervision of the Dean of Student Support meet with students for individual guidance/counseling sessions
Support instruction of the Social Emotional Learning class
Maintain case notes for students served, containing detailed information on services provided during class time as well as out of class time (lunch, recess/gym, dismissal)
Participate in weekly Student Support team meeting
Collect and compile all data related to Tier II and Tier III services provided as part of the Multi-Tier Systems of Support from Classroom Culture Lead Teachers and the Student Support Team
Assist the Dean of Student Support in compiling a weekly report on fidelity to the MTSS model and Student Support services implemented, to be shared out in weekly Student Support Team and Response to Intervention Meetings
Assist program staff in the outreach to parents of youth who are having difficulties in the classroom, coordinating meetings at school as necessary. Work with interpreters when necessary and available
Complete all required reporting on time.
Comply with all agency policies and protocols
Participate in parent/teacher conferences during the Academy

Requirements

Qualifications

A BA in Social Work or Education, focusing on school counseling, required. Master’s Degree in Social Work or Education preferred
Strong interpersonal and communication skills
Experience working with refugee and/or immigrant populations preferred
Organized, reliable, and flexible
Ability to work independently and as part of a team
Fluency in written and spoken English required. Second language proficiency in relevant language highly desirable (including Spanish, French, Pashto, Fulani, Wolof, Dari, Farsi, Arabic, Russian, Ukrainian, Mandingo, Haitian Creole, Nepali, Tigrinya, Mam, Garifuna)

Working Environment: In the event of an in-person program, the Academy takes place in a centrally located New York City public school (TBD). In the event of a virtual program, the Academy will take place primarily on Zoom. All participants must be willing to relocate to New York City for the entirety of the Program in the event of being in-person.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",https://www.linkedin.com/jobs/view/externalApply/2468075265?url=https%3A%2F%2Frescue%2Ecsod%2Ecom%2Fux%2Fats%2Fcareersite%2F1%2Fhome%2Frequisition%2F12379%3Fc%3Drescue%26source%3DLinkedInA&urlHash=WOwA&refId=39b0c515-a805-49a2-a57c-ca1d5afae855&trackingId=LxUrihrM8wt1XB5g9vHjXQ%3D%3D&trk=public_jobs_apply-link-offsite
Social Work Intern - YAI Manhattan Health Care Clinic,YAI,"Manhattan, NY","If you are a current YAI employee, please click this link to apply through your Workday account.
This internship will involve working at the YAI Manhattan Health Care Clinic, which offers primary care and specialty outpatient services to clients, including psychotherapy, psychiatry, rehabilitation and primary care.
Students will practice individual, family, and group psychotherapy with clients within the clinic setting and will have supervision at all times.
Students will also be given the opportunity to complete in-takes for new clients and psychosocial assessments.
Students will be provided with weekly group and individual supervision to provide support and improve their skills.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran. YAI is an Equal Opportunity Employer.",https://www.linkedin.com/jobs/view/externalApply/2499566136?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F8abbaa2ecb7bbc0bc88772a3520e32f7&urlHash=3VmV&refId=39b0c515-a805-49a2-a57c-ca1d5afae855&trackingId=tGRI4XJ7uD078LjWGncFtQ%3D%3D&trk=public_jobs_apply-link-offsite
"Community Engagement Intern, Denver",Unite Us,"Denver, CO","Who We Are

As our co-founders transitioned from military to civilian life, they encountered barriers and inefficiencies navigating the most basic health and social services. Together, they set out to improve that experience for others. Recognizing that social care is essential for better health outcomes, they embarked on a mission to connect people to the care they need, when they need it, in communities across the country. Unite Us has developed an intuitive and seamless technology solution that goes beyond the traditional referral method. We work side-by-side with local organizations, and track data and outcomes to build coordinated care networks that support all aspects of community health. Unite Us is boldly changing the nation's care delivery system. If you want to do well and do good, join Unite Us– we can build healthier communities together.

About The Customer Success Team

The Community Engagement Intern opportunity exists within the Customer Success Team. This group is a highly collaborative, fast-paced, and evolving team responsible for implementing new networks and maintaining relationships with existing clients. Our style of partnership and support is hands-on and relationship-based; we are proud of the white glove service we provide to our customers. We are experts in bringing together communities of providers – both in and out of the software- and we extend that expertise to our customers every day. As a team, we are quirky, dynamic, and collaborative. We share a passion for the work we do and hold each other to a high standard of work ethic, but we also know how to have fun!

Description

Unite Us is seeking a Community Engagement Intern with entrepreneurial ambition and passion for public health. You will conduct outreach, host meetings, and build relationships with clinical providers, government agencies and community-based organizations to foster a sense of trust through our proven approach to build strong communities of organizations that work together and support the Community Engagement Manager with an emphasis on the following competencies:

Community Engagement
Identifying stakeholders' values and needs and their history and specific interests, and soliciting and using input from the community to guide decisions.
Building collaborative partnerships at the organizational, local or regional level.
Providing operational and organizational support to ensure an individualized approach.


Cultural Proficiency
Identifying, demonstrating, and evaluating cultural humility and proficiency.
Conducting engagement efforts with a Diversity, Equity, Inclusion lens.
Applying the principles to be able to work effectively and respect the differences in others' culture, ethnicity, age, sexual orientation, gender, race.


What You'll Do
Identify service providers to support filling gaps in the Unite Colorado Community Network.
Focus efforts on engaging organizations who serve marginalized populations facing health disparities.
Build awareness with potential organizations and cultivate relationships to understand their organizational needs and readiness for care coordination.
Leverage current relationships to identify new organizations to engage.
Provide organizational support including tracking engagement status for contacts, creating templates for outreach, meetings and presentations.
Provide administrative support to the Community Engagement Manager such as taking notes during Advisory Meetings and tracking action items for engagement.


What's Required
The ideal candidate is working toward a Master's Degree in Public Health, Healthcare Administration and Management, Integrative Healthcare, Social Work and other related fields.
Based out of Denver or surrounding areas.
Prefer bilingual candidates proficient in Spanish/English.


Environmental Job Requirements And Working Conditions
This position is U.S. based in Metro Denver - remote
No travel required

This position reports to the Senior Engagement Manager and Metro Denver's Community Engagement Manager.

Unite Us is committed to building a diverse team and fostering an inclusive culture, and is proud to be an equal opportunity employer. We embrace and encourage our employees' differences in race, religion, color, national origin, gender, family status, sexual orientation, gender identity, gender expression, age, veteran status, disability, pregnancy, medical conditions, and other characteristics. If you require assistance in applying for open positions due to a disability please email us at peopleops@uniteus.com to request an accommodation.",https://www.linkedin.com/jobs/view/externalApply/2495219511?url=https%3A%2F%2Fgrnh%2Ese%2F60dccd242us&urlHash=ZjXI&refId=39b0c515-a805-49a2-a57c-ca1d5afae855&trackingId=tO5Zud%2BVYN2NgZHTt1eVgg%3D%3D&trk=public_jobs_apply-link-offsite
