title,company,location,requirements,link
Software Engineering Intern,Open Learning Exchange,"Bristol County, MA","Our organization seeks a dedicated, passionate Virtual / Remote Software Engineering Intern to assist with delivering hardware, software, and technical support to various e-learning programs around the globe. This position is ideal for an undergraduate or graduate student interested in software development, mechanical engineering, and/or low-cost technologies.

We ask that our interns commit to a minimum schedule of 16 hours/week with a minimum 3-month contract (with an opportunity to extend). Please note that this internship is unpaid, but it will provide diverse experiences in the workplace. You will work with people that are familiar with Linux, Raspberry Pi, Angular2+, Android, and Docker, etc.

Daily Responsibilities Will Include
Software development
Software quality assurance
Hardware/software troubleshooting and testing
Other technical-related tasks
Communicate regularly with the OLE team using Gitter",https://www.linkedin.com/jobs/view/externalApply/2499656464?url=https%3A%2F%2Fwww%2Ewhatjobs%2Ecom%2Fcoopof__cpl__236647146__35%3Futm_source%3Dlinkedin%26utm_medium%3Dfeed&urlHash=fEKV&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=ig60CBgSXXa0WXxvJMEFpw%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Open Learning Exchange,"Arlington, TX","Our organization seeks a dedicated, passionate Virtual / Remote Software Engineering Intern to assist with delivering hardware, software, and technical support to various e-learning programs around the globe. This position is ideal for an undergraduate or graduate student interested in software development, mechanical engineering, and/or low-cost technologies.

We ask that our interns commit to a minimum schedule of 16 hours/week with a minimum 3-month contract (with an opportunity to extend). Please note that this internship is unpaid, but it will provide diverse experiences in the workplace. You will work with people that are familiar with Linux, Raspberry Pi, Angular2+, Android, and Docker, etc.

Daily Responsibilities Will Include
Software development
Software quality assurance
Hardware/software troubleshooting and testing
Other technical-related tasks
Communicate regularly with the OLE team using Gitter",https://www.linkedin.com/jobs/view/externalApply/2498616566?url=https%3A%2F%2Fwww%2Ecollegerecruiter%2Ecom%2Fjob%2F411816322%3Fr%3D1%26source%3D101&urlHash=iEsS&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=tlaXfsaqVjfdD9YqV9NZIA%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern - Angular,Open Learning Exchange,"Warwick, RI","Our organization seeks a dedicated, passionate Virtual / Remote Software Engineering Intern for our Angular project. This position is ideal for an undergraduate or graduate student looking for semester-long internships to gain experience and earn academic credits.

Daily Responsibilities Will Include
Angular application development
Angular application quality assurance
Software troubleshooting and testing
Other technical-related tasks
Communicate regularly with the OLE team using Gitter
We ask that our interns commit to a minimum schedule of 16 hours/week with a minimum 3-month contract (with an opportunity to extend). Please note that this internship is unpaid, but it will provide diverse experiences in the workplace. You will work with people that are familiar with Linux, Raspberry Pi, Docker, and Android, etc.",https://www.linkedin.com/jobs/view/externalApply/2498617374?url=https%3A%2F%2Fwww%2Ecollegerecruiter%2Ecom%2Fjob%2F406658896%3Fr%3D1%26source%3D101&urlHash=4wGn&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=qgXb7KjIa1%2B2DYpPxGPl3w%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Leidos,"Morgantown, WV","Description

Job Description:

Job Description

The Office of Technology (OOT) at Leidos has immediate openings for software engineering internships to help us shape, develop, and deliver new software solutions leveraging state-of-the art technologies to our customers and launch new products and capabilities. During your internship, you will gain exposure to all aspects of the software development lifecycle including, architecture and design, coding, and automated testing within an Agile and Continuous Integration and Continuous Delivery model. You will join a dynamic team that is singularly focused on providing world class solutions to our customers in an exciting, collaborative, and inclusive environment.

Primary Responsibilities
Design, develop, troubleshoot, and debug mission critical software source code using modern software development languages and tools.
Participate in the full software development lifecycle, working within broadly defined parameters.
Use Agile development tools such as Jira, Confluence, Bitbucket and GitLab to manage work and collaborate with your teams.
Support creation and updating of relevant documentation for design, development and testing.
Identify potential roadblocks and develop around them.
Plan and estimate development tasks and work to improve performance metrics.
Develop maintainable code that matches specification.
Develop automated tests leveraging a continuous integration process.
Work closely with other engineers to develop the best technical design and approach for new product development.
Build software solutions where the solution is not always well defined but always considers the customer first.

Basic Qualifications
Actively pursuing a bachelor’s degree in a relevant field with a 3.0 GPA.
Experience with Java/C++ and object-oriented programming (applicants will be tested).
Experience with JavaScript and JS frameworks such as React.
Solid understanding of software development process fundamentals.
Strong, self-motivated desire to learn new programming languages, tools, frameworks, and techniques.
Must be able to obtain a DoD Secret Security Clearance.
Must be a U.S. Citizen.

Preferred Qualifications
Familiarity with containers and container orchestration tools such as Kubernetes.
Familiarity with version control systems such as Git.
Familiarity with Agile Development and DevSecOps methodologies.
Experience working collaboratively in team environments.

LeidosInternship

External Referral Bonus

Ineligible

Potential For Telework

No

Clearance Level Required

Secret

Travel

No

Scheduled Weekly Hours

20

Shift

Day

Requisition Category

Intern

Job Family

Intern Technical

Pay Range

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",https://www.linkedin.com/jobs/view/externalApply/2441032447?url=https%3A%2F%2Fcareers%2Eleidos%2Ecom%2Fjobs%2F6368290-software-engineering-intern%3Ftm_job%3DR-00050197%26tm_event%3Dview%26tm_company%3D2502%26bid%3D56&urlHash=QKWz&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=IzxG5ntiUJGPqzIT70AhDw%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,KBR Careers - Gov Solutions,"Greenbelt, MD","Around here, we define the future.

We are a company of innovators, thinkers, creators, explorers, volunteers, and dreamers. But we all share one goal: to improve the world responsibly and safely.

KBR is seeking several interns to work with scientific and engineering staff supporting projects using Artificial Intelligence, Machine Learning, Cybersecurity, Cloud, DevSecOps, and Autonomous Systems techniques.

Must be a U.S. Citizen

Internship dates: June 1st - August 13th, 2021

For each of the projects, interns will leverage the AWS machine learning tools, continue to advance KBR’s knowledge and application of data analytics. Interns will collaborate with scientific and engineering staff supporting projects such as the development of a Cloud Security Strategy to leverage the built-in capabilities provided by Amazon Web Services (AWS). AWS tools used will include CloudWatch, Inspector, Systems Manager, GuardDuty, Kibana, and QuickSight, with opportunities for the addition of custom tools for configuration management, training, and other elements to complete a robust Cloud-based security framework for KBR. The framework will include an end-to-end DevSecOps platform designed to automate security requirements by embedding security controls and processes early in the DevOps workflow, and will help our customers continue to develop and apply new technology capabilities while retaining systems security.

Additional projects will include investigating the value of Digital Twin (DT) in autonomous systems use cases; investigate setting up for the use cases and how the operational AI systems would interact with DT requirements. Explore methodology to address operational decision making utilizing machine learning in Air Traffic Management and other domains. Analyze textual information in transportation datasets to identify commonalities; demonstrate Natural Language Processing (NLP) capability. Managing telematics data, implement ability to overlay multiple vehicle routes on a map to assess road utilization.

Other projects will be similar to last year’s summer internship program which consisted of: Reinforcement learning technique to enable autonomous systems and robotics. Research Explainable AI and leveraging this technology to detect bias in machine learning models. Use distributed ledger/block-chain technology to enable governance and management of flight identifiers. Edge computing utilizing neuromorphic processing. Research and development of Augmented Reality and Virtual Reality (AR/VR) software and hardware tools; develop an AR/VR solution to simulate real-world environments and facilitate activities such as remote maintenance of complex systems and virtual training environments.

Interns will spend the majority of their time researching, installing, and configuring new tools, programming using the selected tools, and learning more efficient methods to solve a given problem. Interns are not required to be programming experts, but they should have a passion for learning new things and not be afraid to jump in and try out new tools and/or solutions.

Interns will leverage an Agile Development process with daily scrum meetings facilitated using Jira to capture user stories and track the status of all issues. Fridays are reserved for documenting the work each week in the form of a Wiki site, as well as numerous forms of documentation (PowerPoint, Word, Visio, etc.). Once a month, interns will present the work they have completed to other staff members at KBR, with a final presentation at the end of the summer to both KBR and customer personnel.

Required Education
Must be enrolled in undergraduate coursework in a related degree program at an accredited university
Must be a Rising Junior or Senior

Preferred
Basic familiarity with virtual environments and cloud-based technologies, as well as programming languages such as Java, Python, Perl etc.

Work Schedule: Estimated at 32-40 hours/week with flexibility to accommodate intern’s education

Work Location: Telework",https://www.linkedin.com/jobs/view/externalApply/2464890890?url=https%3A%2F%2Fkbr%2Ewd5%2Emyworkdayjobs%2Ecom%2FKBR_Careers%2Fjob%2FGreenbelt-Maryland%2FSoftware-Engineering-Intern_R2028078%3Fsource%3DLinkedIn&urlHash=aIjE&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=Ih1gNCvLWtRl0Srwv4xDPw%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Intel Corporation,"Hillsboro, OR","Job Description

The successful candidate will be part of the Cloud Software Engineering and contribute in analysis, optimization, and pathfinding efforts.

Minimum Qualifications

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Experience listed below would be obtained through a combination of your school-work/ classes/ research and/or relevant previous job and/or internship experiences.

Pursuing and enrolled in Masters or PhD. in Computer Science or Computer Engineering or Electrical Engineering or Mathematics or Software Engineering related discipline.

6+ months of experience with the following skills:
Programming Language: Proficient in C/C++, Go programming.
Working knowledge of Scripting Languages (example: JavaScript, Python) programming.

Preferred Qualifications
Cloud experience and Server Performance is a plus
Programming language - Rust, x86.
Inside this Business Group

Intel Architecture, Graphics, and Software (IAGS) brings Intel's technical strategy to life. We have embraced the new reality of competing at a product and solution level—not just a transistor one. We take pride in reshaping the status quo and thinking exponentially to achieve what's never been done before. We've also built a culture of continuous learning and persistent leadership that provides opportunities to practice until perfection and filter ambitious ideas into execution.

Other Locations

Virtual US and Canada

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.",https://www.linkedin.com/jobs/view/externalApply/2432036965?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3DJR0159579%26ClientCode%3D11143&urlHash=ieZ4&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=s%2B7m91h1DQYEhQ5yMF6Jxw%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Adobe,"San Jose, CA","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Challenge

Adobe is looking for a Computer Science Intern to join our Cloud Collaboration Platform team to help build our next generation collaboration services.
Someone who is hungry to apply there newly acquired skills to help us build our Cloud Collaboration Platform
Gets excited about solving big problems
Is open and interested in learning new technologies and languages as needed
Likes test-driven development

The Role

This Will Include

Working in a collaborative team environment to help build, document, test, deliver, monitor, and maintain a suite of RESTful web services.
Managing the complete lifecycle of RESTful web services in a rapid iteration, collaborative team environment.
Documentation
Building and testing
Deploying and updating
Supporting clients
Monitoring and troubleshooting

What We Expect From You
Ability to learn fast
Create resilient, composable, simple systems.
Write well-engineered and tested code.
Knowledge of distributed systems, concurrency model programming.
Knowledge of the fundamentals of TCP/IP and HTTP, as well as caching and message queuing

Technologies We Use
Languages such as Go, node.js, Java.
Tools such as Splunk, Prometheus, AWS, Docker, Azure",https://www.linkedin.com/jobs/view/externalApply/2434217626?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FSeattle%2FSoftware-Engineering-Intern_R101400%2Fapply%3Fsource%3DLinkedIn&urlHash=3TYb&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=gDZj2d5EbX1BFm5iM57CWQ%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Ortho Clinical Diagnostics,"Rochester, NY","The Career Potential
Ortho Clinical Diagnostics is committed to improving and saving lives with diagnostics. To do this we hire people who share this dream and are ready for new adventures. As a valued team member, you will carve your own career path and be part of building this company stronger and better than ever before. There is no limit to the experiences, opportunities and new directions you will have access to here at Ortho Clinical Diagnostics. More importantly, you will be driving the surge of a whole new direction in important medicine. That’s something we can all take pride in as we take this journey together.

Ortho is known in the industry as a leader in customer service and support. Deeply understanding and exceeding the needs of our clinical lab, hospital and blood bank customers is what we do. It’s who we are. If you join Ortho, no matter what your role, you will be expected to keep that Customer Excellence focus in your work.

The Opportunity
Ortho Clinical Diagnostics is seeking a Software Engineering Intern for our 2021 Summer Intern Program. As a Software Engineering Intern at Ortho, you will collaborate with cross functional teams of Engineers and gain hands on experience designing and developing software to support the development of our next generation of instruments.

For this position, we are looking for an intern to test an implementation of a unit test code coverage tool. This work will have a direct impact on the quality of the software run by our laboratory blood analyzer.

The Responsibilities
Determine if code base is compatible with Google Test, gcov, and lcov or an alternate unit test code coverage tool.
Determine how a developer can instrument the Makefile for a task to generate and view code coverage reports.
Choose a task with Google unit tests or construct new Google unit tests for an existing task to demonstrate proof of concept.
Determine how Jenkins can be instrumented to generated code coverage reports in a format useful for developers.
Create Google unit tests upon completion of code coverage assignment.
The Individual
Graduate or Undergraduate in the Field of Study: Computer Science, Software Engineering or related field.
Minimum Years In School: 2nd year
Minimum GPA: 3.0
Strong knowledge of programming fundamentals with a high-level language (C++, Java, C#, etc.).
Familiarity with a software version control system (Git, SVN, Mercurial, etc.).
Good communication and documentation skills, including generation of design considerations and tradeoffs.
Ability to read, follow, and modify uncommented code with a drive to create a better design.
Desired:
Experience running virtual machines with VirtualBox and VMWare.
Familiarity with unit test frameworks such as Google Test.
Familiarity with code coverage tools such as gcov.
Familiarity with a scripting language (Python, Perl, Lua, Bash, etc.) preferred.
Knowledge of Continuous Integration methods and tools (Jenkins) preferred.
Knowledge of relational databases and SQL.
Knowledge of 3rd party libraries to parse common configuration formats (XML, JSON, etc.) preferred.
Knowledge of *Nix based (preferably QNX and Linux) programming tools, including gcc, gdb and make.
Student must be a US Citizen or Permanent Resident
Student must be able to work remotely and on-site as needed.",https://www.linkedin.com/jobs/view/externalApply/2444152708?url=https%3A%2F%2Forthoclinical%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSearch%2Fjob%2FUS---NY---Rochester%2FSoftware-Engineering-Intern_R0006560&urlHash=rVgS&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=3fgXfqWwzd9Dn0zD8gFg%2Fw%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Bankers Healthcare Group,"Fort Lauderdale, FL","Are you ready to join a growing team that puts a premium on productivity and has an award-winning culture, centered around transforming talented employees into effective business leaders?

Then Bankers Healthcare Group is the place for you. We offer innovative financial solutions to licensed and highly-skilled professionals, representing the best of both traditional lending and fintech, and are looking for passionate, impact players to help take our company to the next level.

At BHG, you’ll become immersed in the finance industry—with a variety of loan solutions, credit cards, patient financing, bank programs, and collections services, which have helped BHG become one of the leading providers of finance solutions.

With over 19 years in business, we have the stability of an established company with the speed and agility of a startup, where ingenuity and risk-taking are encouraged, and every employee has the opportunity to learn, grow and thrive.

Who You Are

You are a motivated student pursuing a degree in computer science and are passionate about custom application development. You are driven, logical, and innovative and thrive in a fast-paced environment where you can create custom applications from scratch.

What You'll Do
Create new, innovative Microsoft Azure based solutions following best practices for performance and scalability
Contribute to improvements of ongoing standard software development processes, team infrastructure and methodology in collaboration with other Software Engineers
Ongoing review of development efforts to ensure compliance with business requirements, scalability, security, and other best practices
Maintain web-based applications and back-end services using the C#/.NET Framework, SQL Server and other cloud technologies
Code front-end web pages using modern technologies (React w/ Hooks, Typescript, CSS)

What You'll Need
Pursuing a degree in Computer Science or related technical discipline
Experience as a Microsoft technologies developer, specifically with C#/.NET
Experience building high-performance web user interfaces with frameworks such as Angular, Vue.JS or React
Strong problem-solving skills
Adaptable
Passionate about technology
Teamwork

Life at BHG

At BHG, we work hard and aren’t afraid to take risks. Since the beginning, our core values of PMA (positive mental attitude), team player and loyalty have been the driving force behind every interaction we have between each other and our customers. We have a healthy respect for the daily grind, yet we value work/life balance. We believe that all employees should have the opportunity to lead and that good ideas can come from anyone. From the top-down, our leaders are actively involved not only in strategic oversight and running the business, but also in the wellbeing and growth of all employees. We consider people our #1 asset, and help employees realize their full potential, set and exceed their goals, and explore new opportunities for personal and professional development.

Why You Should Join BHG

Benefits

Some of the benefits you can expect when you join BHG include

We strive to offer amenities, opportunities, events, and programming that support the interests of our teams, while furthering the culture that makes us Great Place to Work® certified.

100% coverage of monthly health insurance premiums
Competitive PTO and vacation policies
Company 401(k) plan with employer contributions after one year
On-site gym access and memberships, with personal trainers, and certified nutritionists on staff
Company-sponsored training and certification opportunities
Monthly award ceremonies where top achievers are celebrated and receive additional bonuses
Ongoing volunteer opportunities to give back to the community through our BHG Cares program

If you’re ready for a career where you can exercise your passions, be surrounded by co-workers who are relentlessly committed to service, and have a team-player mindset, apply today!

Bankers Healthcare Group is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. Bankers Healthcare Group is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation.",https://www.linkedin.com/jobs/view/externalApply/2427551869?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fbhg-inc%2F833fb680-e10c-4fe7-b9bb-58a24bf974e2%3Flever-source%3DLinkedInJobs&urlHash=lWGy&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=yu2tTHz9oPAsA3aBhb4jew%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Open Learning Exchange,"Wichita County, TX","Our organization seeks a dedicated, passionate Virtual / Remote Software Engineering Intern to assist with delivering hardware, software, and technical support to various e-learning programs around the globe. This position is ideal for an undergraduate or graduate student interested in software development, mechanical engineering, and/or low-cost technologies.

We ask that our interns commit to a minimum schedule of 16 hours/week with a minimum 3-month contract (with an opportunity to extend). Please note that this internship is unpaid, but it will provide diverse experiences in the workplace. You will work with people that are familiar with Linux, Raspberry Pi, Angular2+, Android, and Docker, etc.

Daily Responsibilities Will Include
Software development
Software quality assurance
Hardware/software troubleshooting and testing
Other technical-related tasks
Communicate regularly with the OLE team using Gitter",https://www.linkedin.com/jobs/view/externalApply/2499653685?url=https%3A%2F%2Fwww%2Ewhatjobs%2Ecom%2Fcoopof__cpl__236647331__35%3Futm_source%3Dlinkedin%26utm_medium%3Dfeed&urlHash=aBem&refId=6394d1d1-54bf-49cb-be54-ec8ff84d2e2c&trackingId=ocoQtYV4SYYxLsxTDo7hqQ%3D%3D&trk=public_jobs_apply-link-offsite
