title,company,location,requirements,link
Student Intern - Accounts Payable,Blue Cross Blue Shield of Rhode Island,"Providence, RI (+1 other)","Job Information

Blue Cross Blue Shield of Rhode Island Student Intern - Accounts Payable (Summer 2021) in Providence, Rhode Island

Student Intern - Accounts Payable (Summer 2021)

Internship | Job ID 1155 | Posted: 02/23/2021

Job Description

The Accounts Payable student intern will assist the Financial Operations staff with department projects under the guidance, coaching, and direction of experienced leaders. The student will also learn the fundamentals of healthcare finance and explore other related functions throughout the organization.

ESSENTIAL JOB FUNCTIONS:
• Assist team with department initiatives and projects.
• Complete special projects, tasks, and assignments under general direction.
• Collect, record, analyze, and evaluate data and information.
• Conduct research on various policies, practices, and topics.
• Prepare spreadsheets, reports, presentations, and other materials.
• Perform other duties as assigned.

QUALIFICATIONS:

Minimum Education and Experience:
• Matriculating status from a college or university.

Preferred Education, Additional Qualifications, and Experience:
• Working towards degree in Finance, Accounting, or other quantitative course of study.
• General understanding of quantitative business analyses or mathematical modeling.

Required Knowledge, Skills, and/or Abilities:
• Computer navigation skills.
• Written and verbal communication skills.
• Working knowledge of Microsoft Office, particularly Excel.
• Ability to work independently.
• Ability to meet established time and quality standards.
• Ability to exercise sound judgment.
• Ability to collect and organize data.

Apply Online (https://us59.dayforcehcm.com/CandidatePortal/en-US/bbr/JobApplication?postingid=2301)

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, age, national origin or ancestry, disability, veteran status, sexual orientation, genetic information, sex, gender identity or expression, and any other personal attributes protected by federal, state, or local law. For more information about our commitment to diversity and inclusion, please see our Diversity Report atbcbsri.com/diversityreport.

The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visithttp://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdfto view the ""EEO is the Law"" poster.

BCBSRI is committed to working with and providing reasonable accommodation to individuals with disabilities. If, because of a disability, you need a reasonable accommodation for any part of our application process, please contact us at (401) 459-1050 for assistance.

During the application process, please allow a minimum of five business days before you contact our office to inquire about the status of your application. If you have any questions regarding your application or during the process, please contact Human Resources by phone at (401) 459-1050 or by email ataskhr@bcbsri.org.

Southern New England, Boston, MA, Hartford, CT, Health Data Analyst, RI Health Insurer, Healthcare, Wellness, Provider, Network, Rhode Island, RI, Intern, Internship, Student, Accounts Payable, A/P, Receivable, A/R, Collection, Collections, Accounting, Finance, Financial, Billing, Reimbursement, Payment, Bill, Insurance, GAAP, Generally Accepted Accounting Principles",https://www.internships.com/posting/bug_38956366956?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Year Round Accounting & Reporting Intern,Textron Inc,"Providence, RI","Our Company:

We are known for our powerful brands such as Bell, Cessna, Beechcraft, E-Z-GO, and Arctic Cat. We are a multi-industry company with a global network of aircraft, defense, industrial and finance businesses that provide our customers with innovative products and services. Our worldwide presence is powered by the talent of more than 36,000 people, each of whom brings their unique experience, skills and perspective to our team.

Job Summary:

The Textron internship program is designed to allow you to gain experience and insight into business processes, budgeting, the development of business analysis and reporting, cross-functional exposure and more. This position is responsible for assisting members of an accounting department in both daily activities and special projects to learn, understand, and gain experience related to the Finance function and its role in achieving business objectives.

Your year round internship assignment in Providence, RI will include exposure to existing workgroups and senior management in the Finance and accounting function at the Textron Corporate level.This position is year-round, part-time (up to 20 hours) during school semesters (flexible schedule) and full-time (up to 40 hours) during breaks.

Textron views internships as its most important source for identifying promising talent. Internship Program benefits include visibility to high-level enterprise Finance and Accounting leaders, on-the-job and formal training, as well as exposure to multiple business units in different functional areas. Candidates with a solid finance and or accounting background with demonstrated leadership ability are encouraged to apply. Successful selected individuals will have the opportunity to interview for full time roles throughout the Textron Enterprise.

Requirements include: you must be currently pursuing bachelor's degree in accounting and have a passion for learning. You must be able to protect and maintain the privacy of employee personnel records including, but not limited to, personal and compensation information about employees
Additional Qualifications:
• Must have a passion for Finance/Accounting
• Strong communication skills
• Global mindset
• Action and result oriented
• Strong analytical skills
• Resourceful/problem solver
• Able to quickly adapt to change
• Self-confidence and initiative
• Lifelong learner
• Open to new challenges and business environments","https://www.ziprecruiter.com/c/Textron-Inc/Job/Year-Round-Accounting-&-Reporting-Intern/-in-Providence,RI?jid=3b2f76bc33a924a5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Accounting Intern,AAA Northeast,"Providence, RI (+1 other)","AAA Northeast’s internship and co-op program is designed to provide undergraduate students with real work experience that allows them to apply theoretical knowledge to the workplace. Throughout the course of their internship, students have opportunities to network with other business professionals and interns, attend skill development workshops, job shadow other departments at the Club, receive personalized career guidance, and will also receive a year of AAA Membership after three months of employment. All internships are paid and require a minimum of 12 hours per week during the school year or full-time over the summer.

Our Finance & Accounting Department is offering an exciting and unique summer internship opportunity. During the 3 month internship, the Accounting Intern will rotate among different teams within the department to obtain experience within various accounting disciplines, providing robust and comprehensive learning. The Intern will gain an understanding of general accounting, and will assist in preparing monthly general ledger journal entries, performing account reconciliations and analysis, and special projects. At the conclusion of the internship, there is an opportunity to be considered for a future internship with a national, regional, or local CPA firm. By leveraging our partnerships with these firms, it provides the Intern potential for continued, experiential learning.

Requirements:

Current Junior or Senior pursuing a Bachelor’s Degree in Accounting or recently graduated with a Bachelor’s Degree in AccountingDemonstrated proficiency with the Microsoft Office Suite products, particularly ExcelAbility to quickly develop a working knowledge of department software applicationsStrong mathematical and analytical skills requiredAttention to detailGood organizational and time management skillsCommunicates efficiently and effectively using verbal and written communication mediaTeam playerStrong customer service focus, with the ability to develop effective working relationshipsDemonstrated customer service focus

AAA Northeast is one of the largest and most innovative membership organizations in North America. It is a multi-business organization comprising more than 60 locations in a six-state area. We provide valuable roadside service to our 5.2 million members, as well as many specialized services such as Financial Services & Loans, Insurance, Travel, Discounts, Auto Glass, and Driver Training. AAA is a key advocate for issues impacting the traveling public, such as highway safety, road maintenance and related legislation. We have a unique organizational model and many of our businesses are the largest and most sought after in their industries. AAA Northeast employees help and serve as a way of life. Through a 100-year legacy of service stewardship, our employees make valuable contributions to our workplace and the community that surrounds us. In order to continue our mission, our organization is expanding and we need talented people to work alongside us in creating our next 100 years",https://www.peersight.in/job/aaa-northeast-accounting-intern-in-providence-ri?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
PepsiCo Supply Chain Accounting Intern,PepsiCo,"Cranston, RI","Auto req ID: 213042BR
Job Description

We are PepsiCo

PepsiCo is a global food and beverage leader operating in more than 200 countries and territories with a product portfolio that includes 22 world-famous, billion-dollar brands. From Gatorade to Quaker, LIFEWTR to Lay’s, we make hundreds of enjoyable foods and beverages that are loved throughout the world.

Guiding PepsiCo is our vision to be the global leader in convenient foods and beverages by Winning with Purpose. “Winning with Purpose” reflects our ambition to win sustainably in the marketplace and embed purpose into all aspects of the business.

Our employees drive our culture. No two days are the same; we’re dynamic and full of passionate teams embracing new ideas through our collaborative spirit. At PepsiCo, what makes you unique, makes us better!

Functional Description:

• PepsiCo (Gatorade, Tropicana, or Quaker Oats Manufacturing Plant)

The summer internship is the first step of the Supply Chain Accounting/Finance Associate program which is a fast track training program for key accounting/finance positions within the PepsiCo Supply Chain organization.

Supply Chain Associate Program :
Successful program participants will have the skills and experiences to achieve a field Plant Controller or headquarters Financial Planning and Analysis Manager within 7-8 years. The entry point for this program is the Supply Chain Accounting/Finance Associate position which is part of a broader program which includes other operations and technical disciplines. The Supply Chain Accounting/Finance Associate will report directly to the Plant Controller and is expected to last approximately 18-24 months. Supply Chain Finance summer internship responsibilities include training and experience in a broad range of accounting, internal control, and financial planning activities including:

Accounting Process :
• Participate in 2-3 plant financial period closes related tasks
• Participate in physical inventory cycle counts
• Take ownership of a plant accounting responsibility for 6-8 weeks (Production Accounting, A/P, or Fixed assets, etc.)

Internal Control Testing :
• Complete Q3 –Periodic and Quarterly Sarbanes-Oxley control test
• Complete an Internal Audit self-assessment test

Financial Analysis:
• Complete one or two projects analyzing costs, developing insights, and recommending corrective actions with guidance from subject matter experts as needed
• Present the results of the analysis at the local plant and also at the division HQ in Chicago along with Supply Chain Accounting/Finance Associate summer interns from other plants at an end of summer conference

Roles available in the following locations:
• Cedar Rapids, IA
• Danville, IL
• Indianapolis, IN
• Columbia, MO
• Fort Pierce, FL
• Mountain Top, PA
• Blue Ridge, VA
• Tolleson, AZ
• Dallas, TX
• Atlanta, GA

Qualifications/Requirements

What we’re looking for:
• Currently pursuing a degree in: Accounting and/or Finance (other related majors will be considered)
• Demonstrated interest in cost accounting and operations through coursework and/or previous internships
• Strong people/communication skills to manage information gathering requests
• Results oriented, able to complete assignments in a timely and accurate manner, and the ability to manage competing priorities
• Proficient in Excel and other Microsoft products

Minimum Qualifications - Each candidate is expected to:
• Graduate with Bachelor’s or Master’s degree within one (1) year of internship completion.
• This position is limited to persons with indefinite right to work in the United States.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.
PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901-4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy .

Please view our Pay Transparency Statement

Relocation Eligible: Not Eligible for Relocation

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",https://www.internships.com/posting/sam_4015003579?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Tax Intern,"Sansiveri, Kimball & Co., LLP","Providence, RI (+1 other)","Due the current health pandemic and our remote work status, we are temporarily suspending our Spring Tax Internship program for 2021; however, we plan to resume this program in the Spring of 2022. We will continue to evaluate the health statistics throughout the upcoming months and may consider offering internships during the Summer of 2021.

Candidates:
• Junior and Senior Year Accounting Majors with G.P.A. 3.0 or higher

Position Details:
• Minimum of 20 hours per week
• 9 weeks starting the third week in February and continuing through April 2021
• Intern training begins in January and runs for three consecutive Saturdays from 9am – 4pm
• Compensation: $15 per hour
• Computer preparation of individual and trust income tax returns
• No experience is necessary, as complete in-house training is provided
• Hours are flexible, but a predetermined weekly schedule is required

Apply:
• Please submit your resume no later than October 9, 2020 to lbotelho@sansiveri.com.

Firm Overview:
Sansiveri has recently been recognized as one of the “2020 Best Places to Work” by Providence Business News and Best Companies Group as well as the “2020 Top 100 Accounting Firms to Work For” by Accounting Today and Best Companies Group. Sansiveri is also a nine-time recipient of the When Work Works/Alfred P. Sloan Award for Workplace Flexibility – this award ranks our Firm in the top 20% of employers nationally in terms of programs, policies, and culture for creating an effective and flexible workplace. Sansiveri offers a highly professional and employee-friendly workplace with a competitive salary, comprehensive benefits, flexible and remote schedules and opportunities for advancement and relocation assistance.

”Our firm's reputation depends on the caliber of our people.
Jason M. DaPonteManaging Partner
• THE PERKS
• THE BENEFITS

It’s in our nature to grow from within and do whatever possible to nurture and retain the best of the best.

Paid Holidays

Paid PTO

Half-Day Fridays

Wellness Programs

Tuition Assistance

CPA Exam Bonus

We take care of our people by providing a comprehensive compensation package.
• Health Insurance – Sansiveri offers a choice of comprehensive medical and prescription drug plans available to eligible employees on the first day of the month following their date of hire.
• Dental Insurance – Sansiveri contributes toward voluntary dental coverage available to employees on the first day of the month following their date of hire.
• 401(k) Retirement Savings Plan – Our plan, managed by Fidelity Investments, offers you the opportunity to save toward your retirement on both a pre-tax and post-tax (ROTH) basis, as well as a discretionary company match contribution.
• Flexible Benefits Plan (Section 125) – Employees can contribute pre-tax earnings toward health premiums, health care related costs, and dependent care costs, through payroll deduction.
• Half-day Fridays – Sansiveri offers summer hours on Fridays (8:30 a.m. – 12:30 p.m.) beginning on the first Friday after Memorial Day and ending on the Friday before Labor Day
• Tuition Assistance – We offer tuition assistance to employees who are obtaining the credits needed to meet the 150 hours required for CPA certification or working towards an MST. Our professionals may also receive assistance in obtaining a certification/designation in a specialized area after their completion of the CPA exam.
• Direct Deposit – Employees may elect to use direct deposit for their semi-monthly paychecks.
• Group Life Insurance – Sansiveri provides life insurance to employees at no cost. This coverage begins the first day of the month following their date of hire.
• Group Long Term Disability Insurance – Sansiveri provides long term disability insurance to employees who work at least 20 hours per week at no cost. This coverage begins the first of the month following four months of employment.
• Paid Time Off (PTO) – Full-time employees are eligible for PTO, which begins accruing on a monthly basis on the first day of employment.
• Holidays – Full-time employees enjoy 11 paid holidays a year, which are announced by partners at the beginning of each new calendar year.
• CPA Exam Policy – Our professionals receive paid time-off to take the CPA exam. In addition, employees are eligible for assistance towards the purchase of review packages for the CPA exam, paid study time (as workload permits), and at the completion of the CPA exam.
• Client Lead Program – Sansiveri will pay a bonus to employees for expected recurring services, which have resulted from a newly cultivated referral source. Under this program, an employee will receive 10% of amounts billed and collected for the first year services and 5% for the second year services where they have provided a lead for acquiring a new client for the firm.
• Aflac – Employees have the option of purchasing from a selection of individually owned policies that are designed to help employees manage the out-of-pocket expenses associated with medical care.
• Wellness Initiative – Employees have the opportunity to participate in health & wellness incentives including 5K runs, yoga, healthy foods, flu shot clinics, Fitbit incentives and challenges, and more.

Open Positions – Apply Today

Senior Accountant – Audit

Senior Tax Accountant

Staff Accountant (Fall 2020)

Audit Manager/Supervisor

Tax Manager/Supervisor

Tax Intern

ARE YOU READY?

It Starts Here

Break new ground. Join a team where you can apply your talents to help support and revitalize influential clients who are defining the future. Your tomorrow depends on where you decide to go to today.

REACH OUT

Industries
Explore where you will impact
See our focus areas

Our Story
This is who we are, and what we're made of
Get to know us","https://www.glassdoor.com/job-listing/tax-intern-sansiveri-kimball-JV_IC1151289_KO0,10_KE11,28.htm?jl=3669636859&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Accounting Internship,Amica Insurance Company,"Lincoln, RI (+1 other)","Sr. Student Intern
Accounting
50 Amica way, Lincoln RI 02865

Want to join a company where doing good is what we do?

The feeling is mutual!

Amica Insurance, located in Lincoln, RI is seeking interns for our Accounting Department. These are paid internships and the working hours are 37.5 hours per week during the summer months. Amica has created an internship program that is an excellent way for students to receive hands-on experience. Upon successful completion of an internship, candidates could be considered for full time employment.

Our internship program is designed for individuals who have completed their junior year from an accredited college/university before the start of the summer internship and will be continuing their undergraduate studies in the fall. Candidates should be seeking a degree in Accounting or Finance with a GPA of 3.0 or higher.

This position involves performing various duties within the Accounting Department at Amica, which include:
• Financial planning and analysis
• Banking and cash management
• Compliance monitoring.

Interns will spend the summer in one of the three areas for the duration of the internship. Candidates may indicate their area preference during final round interviews.

Due to the ongoing uncertainty surrounding the COVID-19 pandemic, the timing of the Amica Home Office re-entry is undetermined at this point. More details will be provided as they become available.

All candidates must submit a cover letter and resume.

About Amica:

Amica Mutual Insurance Company is America’s oldest mutual insurer of automobiles. A direct national writer, Amica also offers home, marine and umbrella insurance. Amica Life Insurance Company, a wholly owned subsidiary, provides life insurance and retirement solutions. Amica was founded on the principles of creating peace of mind and building enduring relationships for and with our exceptionally loyal policyholders, a mission that thousands of employees in offices nationwide share and support.

Equal Opportunity Policy: All qualified applicants who are authorized to work in the United States will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, family status, ethnicity, age, national origin, ancestry, physical and/or mental disability, mental condition, military status, genetic information or any other class protected by law. The Age Discrimination in Employment Act prohibits discrimination on the basis of age with respect to individuals who are 40 years of age or older. Employees are subject to the provisions of the Workers' Compensation Act",https://www.internships.com/posting/sam_3817179711?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Accounting Intern,Xactly,"Providence, RI","Xactly Corporation was founded to solve an important challenge: how to help people everywhere connect and unleash their human potential through seamless, perfectly aligned Sales Performance Management. Xactly's comprehensive Sales Performance Management (SPM) suite leverages data from a sales performance AI platform to provide timely insights across the entire SPM value chain, from sales planning to execution, including compensation to optimization. Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power of their incentive compensation. With access to predictive analytics and benchmark data, enterprises can now optimize territories, design the right compensation and incentive plans and accelerate attainment and optimization of sales performance.

Named among the best workplaces in the U.S. by Great Place to Work seven times, recognized as a 2020 WayUp Top 100 Internship Program named as a Top Workplace by the Bay Area News Group eight times as well as The Denver Post the last 3 consecutive years, and honored with the Business Intelligence Group Sales and Marketing Technology award in 2020. Xactly is proud to be disrupting the Sales Performance Management market space. We're building a culture of success and are looking for motivated professionals to join us!
• THE OPPORTUNITY*

Are you a career driven student looking to take your first step into the world of Accounting? Xactly, the leading sales performance management software company, is seeking a full-time Accounting Intern to support our Global Accounting team starting this summer 2021. This role is a 12-week internship starting in June 2021.

As the Accounting Intern in Xactly Corporation's growing Denver office, you will have the opportunity to work alongside a world-class accounting team of experienced accountants and CPA's with exceptional work ethic and personalities. You will begin your internship by learning some of the foundational accounting activities such as accounts receivable, accounts payable, reconciliations and shadow some of our accountants in this ""Best Place to Work"" organization. Once acclimated, your day will consist of more challenging activities such as complex reconciliations, analysis, accounting projects and working with management on solutions to meaningful issues. These activities will help you gain exposure to other facets of accounting and a glimpse into what your career may look like in 5, 10 or even 20 years. Your summer internship will culminate in a final project, during which you will have the opportunity to present to Xactly's executive staff. On top of the above, you will participate in fun intern events, will learn a lot and will have a lot of FUN!
• THE TEAM*

Xactly's Accounting team is a group of remarkably smart, driven, and exceedingly fun people with diverse backgrounds. We are a team that puts people first! True believers in the Xactly Culture, the Accounting team ties Xactly's C.A.R.E. (Customer Focus, Accountability, Respect and Excellence) values into everyday things we do. Our team is made up of world-class big 4 CPA's, accounting management, young up-and-comers, and veterans. All of these people are ready to help you learn!
• THE SKILL SET:*

- Working towards a bachelor's degree with a graduation date between December 2021 - June 2023
- The desire to pursue a career in Accounting post-graduation
- You have outstanding organizational skills
- You're proactive, creative, entrepreneurial and results-oriented
- You are able to prioritize requests based on importance and timing
- You have a passion for learning and are results oriented
• WITHIN ONE MONTH, YOU'LL:*

- Develop a working relationship with Xactly's Accounting and Finance department
- Have completed a 1:1 with each member of the Accounting and Finance teams and have a strong understanding of how Xactly's Accounting department operates
- Receive administrative training on how to leverage internal tools including Box, Workday, Salesforce, Excel
- Gain a strong understanding of Sales Performance Management space and the business challenges Xactly solves
- Have a high-level understanding of the full lifecycle of an accounting close
- Gain exposure and contribute to Accounting areas including general ledger, accounts payable, accounts receivable, revenue and management
• BY THE END OF THE INTERNSHIP, YOU'LL:*

- Have a strong understanding of how Xactly's accounting functions
- Have the ability to learn each area of accounting to see what you like
- Have a deep understanding of how our accounting processes and systems work
- Successfully present your end-of-internship presentation to Xactly's executive staff

Is this role not an exact fit for you? Keep an eye on our Careers Page for other positions",https://www.jobs4millennials.com/Providence-Rhode-Island-USA-job/ACCOUNTING-INTERN/88b33b41bdd88b0e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Student Intern - Internal Audit,Blue Cross Blue Shield of Rhode Island,"Providence, RI (+1 other)","Job Information

Blue Cross Blue Shield of Rhode Island Student Intern - Internal Audit (Summer 2021) in Providence, Rhode Island

Student Intern - Internal Audit (Summer 2021)

Internship | Job ID 1190 | Posted: 03/02/2021

Job Description

Assist in the performance of risk-based financial, operational, and integrated governance audits to ensure appropriate levels of controls are in place over business and technology processes. Assist in the testing of internal controls. Assess operational and technology procedures and identify control gaps.

ESSENTIAL JOB FUNCTIONS:
• Observe and assist in conducting thorough analyses of various process/function flows.
• Assist in the evaluation of the adequacy of key internal controls over significant business and information technology risks.
• Assist in the preparation of accurate and thorough audit work papers.
• Assist with the development of process workflows, audit programs, and test procedures.
• Participate in department initiatives and projects.
• Perform other duties as assigned.

QUALIFICATIONS:

Minimum Education and Experience:
• Matriculating status from a college or university majoring in Accounting, Business Administration, Management, Data Analytics, or related field.

Preferred Education, Additional Qualifications, and Experience:
• Knowledge of IIA auditing standards.
• Knowledge of internal controls.

Required Knowledge, Skills, and/or Abilities:
• Working knowledge of Microsoft Office, including Excel and Word.
• General computer proficiency.
• Good presentation skills with the ability to interact effectively with a diverse employee population.
• Computer, typing, keyboard, and Internet skills are essential.
• Ability to work independently.
• Analytical skills with the ability to interpret and synthesize complex data sets.
• Proficient verbal and written communication skills.
• Decision-making skills.
• Good problem-solving skills.

Apply Online (https://us59.dayforcehcm.com/CandidatePortal/en-US/bbr/JobApplication?postingid=2305)

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, age, national origin or ancestry, disability, veteran status, sexual orientation, genetic information, sex, gender identity or expression, and any other personal attributes protected by federal, state, or local law. For more information about our commitment to diversity and inclusion, please see our Diversity Report atbcbsri.com/diversityreport.

The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visithttp://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdfto view the ""EEO is the Law"" poster.

BCBSRI is committed to working with and providing reasonable accommodation to individuals with disabilities. If, because of a disability, you need a reasonable accommodation for any part of our application process, please contact us at (401) 459-1050 for assistance.

During the application process, please allow a minimum of five business days before you contact our office to inquire about the status of your application. If you have any questions regarding your application or during the process, please contact Human Resources by phone at (401) 459-1050 or by email ataskhr@bcbsri.org.

Southern New England, Boston, MA, Hartford, CT, Health Data Analyst, RI Health Insurer, Healthcare, Wellness, Provider, Network, Rhode Island, RI, Intern, Internship, Student, Accounts Payable, A/P, Receivable, A/R, Collection, Collections, Accounting, Finance, Financial, Billing, Reimbursement, Payment, Bill, Insurance, GAAP, Generally Accepted Accounting Principles, Accountant, Certified Public Accountant, CPA, Business, Analysis, Audit, Auditing, Auditor",https://www.internships.com/posting/bug_38959965965?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Tax Accounting Intern,IGT,"Providence, RI","Location: Providence, RI, US, 02903
Requisition ID: 1237
IGT is the global leader in gaming. We enable players to experience their favorite games across all channels and regulated segments, from Gaming Machines to Lotteries to Interactive. We have a well-established local presence and relationships with governments and regulators in more than 100 countries around the world, and create value by adhering to the highest standards of service, integrity, and responsibility. IGT has over 12,000 employees.

Overview
Interns assist the IGT corporate tax department with the preparation process associated with federal and state tax filings for income tax, sales & use tax, property tax and business licenses. They also assist with the tax provision process, various analysis and other office tasks, as needed. Interns are expected to work a full year to experience the full rotation of responsibilities during the tax year.
Job responsibilities:
Assist in preparation of:
Federal income tax returns (Forms 1120, 5471, 8865, 8858)
State income tax returns, for separate, combined and unitary states
Monthly sales and use tax returns
Annual business license renewals
Work associated with property tax return filings
Assist professional staff with the tax provision process
Assist with other office tasks as they arise
Qualifications
Strong attention to detail
Must be an Accounting major
Must be a student currently enrolled in a degree program
Currently in good academic standing with a 3.0 minimum cumulative GPA
Candidate should be able to start work during the summer and continue on a part-time basis (12+ hours/week) once the fall semester begins
Keys to Success
Building collaborative relationshipsDecision makingDrive resultsFoster innovationPersonal energySelf-leadership
IGT is committed to sustaining a workforce that reflects the diversity of the global customers and communities we serve, creating a fair and inclusive culture that enables all our employees to feel valued, respected and engaged. IGT is an equal opportunity employer. We provide equal opportunities without regard to sex, race, color, religion, age, national origin or ancestry, disability, veteran status, sexual orientation, genetic information, gender identity or expression, and any other personal attributes protected by federal, state, or other laws. We thank all applicants for applying; however, only those selected to interview will be contacted.
In addition to our competitive benefits package, we offer employees a 401(k) Savings Plan with Company contributions, tuition reimbursement, free identity theft insurance, free hot and cold beverages, and access to on-site gym facilities (Providence Headquarters and West Greenwich).
IGT (NYSE: IGT) is the global leader in gaming. For more information, please visit www.igt.com",https://www.peersight.mx/job/igt-tax-accounting-intern-in-providence-ri.amp?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Accounting Internship,Xzito Creative Solutions,"Providence, RI","About Xzito:
At Xzito Creative Solutions, Excitement Drives Growth! For over 15 Years, Xzito has worked with over 500 Clients to help overcome marketing & sales challenges in a variety of industries. As a full service, growth-focused Marketing Agency, we deliver our clients a meaningful ROI for their marketing investment.
About The Position:
Are you passionate about accounting and bookkeeping? We are currently looking for an Accounting Intern to join our team. You will have the opportunity to receive industry-leading training and software access while working alongside the accounting team. As an Accounting Intern, you can expect to learn, contribute, and work in a fast, fun, exciting environment.
Responsibilities:

Maintain all related accounting and bookkeeping records and files in a neat and orderly manner
Performs all data entry to ensure proper financial reports and statements can be generated
Creates invoices, sales receipts, statements, and recurring transactions; enters received payments, vendor expenses, etc.
Reconciles all bank and credit card accounts in our Accounting ERP and works with management to address any discrepancies
Files documents and information physically and digitally based on determined structures and filing system guidelines; develop or revise filing guidelines as needed
Maintains an organized office calendar and schedules meetings and appointments as needed

Requirements:
COMPLETE APPLICATION ONLINE
Internship Length: 3 months
Weekly Commitment: 12-20 hours
Paid Internship, Compensation Based on Experience
Min. 18 years of age, & currently is matriculated in college/university in RI
A Junior/Senior pursuing a Degree in Accounting
Graduated from a college/university located in RI in the last 6 months

Knowledge, Skills, & Other Abilities:
Time management
Oral and written communication skills
Professionalism
Organization skills
Customer service skills
Ability to show initiative
Ability to type 50 or more words per minute

Applicants should be eligible to work in the U.S. for two years and be available for immediate hire",https://www.peersight.in/job/xzito-creative-solutions-accounting-internship-in-providence-ri?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
