title,company,location,requirements,link
Remote Business Development Internship,Maximus,Anywhere,"The Business Development Intern is responsible for leveraging quantitative and independent research skills in analysis of large, complex and incomplete data sets to identify and assess potential business opportunities that result in measurable revenue growth. The Intern will learn to develop an overall win strategy as well as internal and external partnerships, business plans and associated marketing assigned with designated opportunities.
• *Essential Duties and Responsibilities**:

- Evaluate and manage new strategic business opportunities, initiatives, mergers, acquisitions, partnerships, alliances and joint ventures

- Oversee market analysis, monitors competitive activity, and identifies customer needs

- Provide leadership in the planning, designing, due diligence, and implementing of strategic business objectives

- Define vision, strategies, and tactics

- Select, develop, and evaluate personnel to ensure the efficient operation of the function

- Identify and develop strategic relationships with partners or potential customers

- Work with marketing, sales, and product development teams to implement business development initiatives

- Conduct business planning activities, to include operating plan development, bid agenda development, opportunity gate reviews, win theme and proposal reviews

- Brief capture status to senior management at specified milestones in the capture process

- Conduct after action reviews to document lessons learned and identify necessary adjustments to capture technique, strategy, and actions

- Brief segment and corporate leadership in the bid review process, execute action item outputs and maintain accountability for bid delivery

- Lead proposal response activities, directing the work of writing team, print and production team, and desktop publishing team

- Perform other duties as assigned by leadership",https://www.zippia.com/cranston-ri-jobs/business-development-internship-dlp/?545daeb49d6de70d14a2e52c1de2b89b4ea1cf63&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Business Development Internship,Maximus,"Providence, RI","The Business Development Intern is responsible for leveraging quantitative and independent research skills in analysis of large, complex and incomplete data sets to identify and assess potential business opportunities that result in measurable revenue growth. The Intern will learn to develop an overall win strategy as well as internal and external partnerships, business plans and associated marketing assigned with designated opportunities.
• *Essential Duties and Responsibilities**:

- Evaluate and manage new strategic business opportunities, initiatives, mergers, acquisitions, partnerships, alliances and joint ventures
- Oversee market analysis, monitors competitive activity, and identifies customer needs
- Provide leadership in the planning, designing, due diligence, and implementing of strategic business objectives
- Define vision, strategies, and tactics
- Select, develop, and evaluate personnel to ensure the efficient operation of the function
- Identify and develop strategic relationships with partners or potential customers
- Work with marketing, sales, and product development teams to implement business development initiatives
- Conduct business planning activities, to include operating plan development, bid agenda development, opportunity gate reviews, win theme and proposal reviews
- Brief capture status to senior management at specified milestones in the capture process
- Conduct after action reviews to document lessons learned and identify necessary adjustments to capture technique, strategy, and actions
- Brief segment and corporate leadership in the bid review process, execute action item outputs and maintain accountability for bid delivery
- Lead proposal response activities, directing the work of writing team, print and production team, and desktop publishing team
- Perform other duties as assigned by leadership",https://www.fox8jobs.com/jobs/remote-business-development-internship-providence-rhode-island/256447171-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Small, Medium Business Development Intern",RingCentral,"Providence, RI","Want to change the way work...works? This is your moment.

RingCentral Glip integrates messaging with video to make conversation, collaboration and connection more meaningful than ever, no matter where or how people want to work.
At RingCentral we call our interns RingTerns because, by the end of your 10-week program, you'll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).

If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can't teach, is drive and a passion to succeed.
Here are a few reasons to consider being a RingTern at RingCentral:

1) YOU HAVE A COMPETITIVE EDGE AND LIKE TO WIN . Here, you'll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it's a great way to experience the way we work.
2) HYPER-GROWTH, FOR YOU AND YOUR CAREER. RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.
3) MENTORS WHO ARE IN IT FOR YOU. Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.

So, join RingCentral as an intern this summer and discover what it feels like to win, together.

FINAL INTERN APPLICATION DEADLINE: APRIL 23, 2021

JOB SCOPE:

- Work closely with the team to set the framework for an incremental growth program
- Bring fresh ideas to the concept based on market feedback and real world interactions
- Create business case based on learnings",https://www.usajobcentral.com/job/small-medium-business-development-intern-in-providence-rhode-island/5836-114588684981?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development Intern,PRECISIONeffect,"Boston, MA (+1 other)","Do you have something to say?

We’re a dedicated group of innovators, creators, strategists and science geeks who partner with the healthcare industry’s savviest to change the standard of care. In fact, changing the standard of care requires unrivaled attributes that we look for in each of our team members. And it's those core attributes - authentic, bold and curious - that drive us to continuously go beyond the traditional and into innovative territory for each of our clients.

We’re always on the hunt for budding account service, project management and strategy professionals ready to dive deep into market dynamics and customer mind-sets.

We welcome and champion fun, meaningful, hard and rewarding experiences to deliver impactful results time and time again. We are a group of healthcare enthusiasts who relish the ability to educate, engage and activate on our clients behalf. Our clients deliver exceptional products that change people’s lives. We create extraordinary messaging that changes minds; that’s just who we are. And it’s the only way we work.

We are teammates that understand success is not stagnant. It is never ""one"" and ""done,"" sharing an unspoken agreement to always improve and dazzle - adding a dash of love resulting in influencing changing the standard of care.

About You:
You are driven and excited by the opportunity to learn and grow
You are passionate about advertising - specifically brands that can create and craft a compelling narrative that both engages and compels
you have an insatiable interest in health and medicine, you love continually learning and understanding brands that play in high science and cutting-edge therapeutic areas
You have an eagle eye for the details and don't mind spending time in the weeds - in fact, you love getting into the nitty gritty
You are interested in collaborating with a team of professionals who are encouraging, driven to meet deadlines, and committed to quality contributions crucial to the successful execution of a variety of print and digital projects for our clients
You work passionately and are never satisfied with the status quo
You are flexible, able to handle multiple projects at once and do your best work in an energizing environment
You know PowerPoint like the back of your hand and enjoy it!

Essential functions (include but are not limited to):
Capability decks: Assis with preparation and delivery of sales materials. Get familiarized with the agency’s brand history and build presentations customized for specific opportunities, with guidance
Resource management: Assist with server maintenance & ensure content is up-to-date
Project management: Maintain communication with team members pertaining to reminders for deadlines and next steps
Editorial edits : Coordinate editorial reviews and apply comments to materials prior to finalization
Data entry: Assist operations team with data entry, including working with spreadsheets, presentations, and database applications (Hubspot and Salesforce) to generate reports, as needed
Sales: Provide insightful research on prospective clients and target industries

Put your big-picture thinking and differentiating insights into effect. PRECISIONeffect empowers those with a strong voice and a differentiating point of view. And if you haven’t found yours already, know we plan to inspire you, with the promise you’ll be heard. It’s hard to ask for more from a workplace where you’ll build your confidence and grow your career. Join our team of dynamic professionals who partner with the healthcare industry’s best, most notable and brightest to change the standard of care.

Who we are
We are the leading healthcare advertising agency devoted to medical devices, diagnostics, and specialty pharmaceuticals. With offices in Boston, Mass., and Costa Mesa, Calif., the agency has an unparalleled understanding of market dynamics, a deft hand at translating technical advances into compelling programs for customer adoption, and a willingness to creatively utilize unique channels to communicate clients' messages The agency has consistently been recognized by clients, peers and professional organizations for its outstanding creative work.

Qualifications:
Knowledge of Microsoft Suite – Intermediate to advanced skills in PowerPoint (required)
High School Diploma or equivalent
Enrolled in a 4-year degree program in a related field (Marketing, Communications, etc.)

Precision Medicine Group is an integrated team of experts in fields from advanced lab sciences to translational informatics, clinical trial delivery, and regulatory affairs, payer insights to marketing communications. Together, we help our pharmaceutical and life-sciences clients conquer product development and commercialization challenges in a rapidly evolving environment",https://www.internships.com/posting/sam_4033686672?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development Internship,Social Enterprise Greenhouse,"Fall River, MA","About us: Gnome Surf is a 501c3 Non-Profit Surf Therapy Organization focused on creating a culture shift towards happiness, kindness, love, and acceptance for all kids of all abilities regardless of socio-economic status. We accomplish this by providing life-changing surf therapy, art therapy, yoga, and eco-therapy experiences.

Internship Description: Gnome Surf is looking for a Business Development Intern to assist us with corporate sponsorships, partnerships, and marketing. We are working on obtaining corporate support for our events and looking at additional locations to provide our services. The Intern will build relationships with businesses and partners and assist in creating proposals. The Intern will also help with our marketing efforts to expand our audience.

Qualifications:

Experience with marketing and graphic design
Strong communication and relationship building skills
Interest/Experience in Nonprofit Operations
Schedule: 10 - 15 hours per week

Compensation: Academic credit

Social Enterprise Greenhouse is recruiting this position",https://www.barefootstudent.com/jobs/internships/business_development_internship_remote_1920486694?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development & Sales Internship,Boston Institute of Biotechnology,"Southborough, MA (+1 other)","As an intern for Sales and Business Development Department, you will work on assignment related to BD initiatives including but not limited to website update, social media release, email marketing, market research and customer relationship development.

BIB has an engaging and experienced team and will work with you to have opportunities to be mentored throughout the program, cultivate professional connections, receive academic credit and work reference for future purposes.

BIB has prepared an orientation and essential on-job trainings that will help you being successful from the first day of your internship. All the interns will be evaluated periodically with specific goals and selected candidate will be considered an offer of employment with a satisfactory completion of the program.

Skills and Qualifications
• Master degree in Business Administration/Marketing/Business Analysis
• Experience in digital marketing, sales and business development projects
• Biopharma or biotech background preferred
• Proven time management, facilitation, and organizational skills
• Proficient in Microsoft Office (Word, Excel, PowerPoint, etc.), CRM tools (HubSpot, LinkedIn)
• Strong communication and interpersonal skills, bilingual preferred
• Ability to work independently and with cross-functional teams
• Work authorization either CPT or OPT in the U.S. is required","https://www.glassdoor.com/job-listing/business-development-sales-internship-boston-institute-of-biotechnology-JV_IC1154940_KO0,37_KE38,71.htm?jl=3725067025&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Business Enablement Interns,New Directions IT Staffing,"East Greenwich, RI (+1 other)","Business Enablement Interns

New Directions is an Information Technology and Digital Talent Solutions Firms that provides its clients with consulting, project staff augmentation and very select direct hire services.

Our talent solution delivery supports our clients ability to leverage technology and improve business outcomes in the areas of: Business Intelligence and Data Analytics; Enterprise Software; Applications Development; IT Infrastructure & Operations; and a range of Digital and Innovation Solutions.

Since inception, our highly successful Internship Program has included undergraduate students from: The New England Institute of Technology, Rhode Island College, the Community College of Rhode Island, Bryant University and Providence College.

Due to our growth, we are seeking Business Enablement Interns to assist our Engagement and Account Management teams. In this role, the Business Enablement Interns will:
• Provide advanced business development and account management support through the utilization of a number of web-based tools.
• Proactively conduct research and investigate new ideas and technology to support our account management strategies.
• Develop as a search expert for functional area(s) by understanding client hiring needs, position specifications, and search requirements.
• Assist in researching and presenting compelling technology market data.
• Assist in formatting outgoing resumes presented to support our active client base.

The appropriate individual will have demonstrated experience in the following:
• A course of undergraduate study concentrating in: Business, Marketing, Digital Solutions or Technology.
• Highly technical and savvy Internet user that includes a combination of: Web Application, Social Networking (i.e. LinkedIn, Facebook, Twitter, Instagram).
• Excellent written and verbal communications skills.
• PC proficiency in MS Office, including Word, Excel and Outlook.
• Self-directed, detail-oriented, problem solver with a desire to contribute to the organization’s reputation and overall success.
• Business acumen.

Interview Now

In order to arrange a preliminary interview, please forward a Word copy of your resume with your complete contact information.

About Us

New Directions is a Rhode Island based Information Technology & Digital Talent Solutions Firm. Ranked as one of the Fastest Growing and Innovative Privately held companies for three years by the Providence Business News, our success and subsequent growth has been based on leveraging our clients’ technology with talented people",https://www.newdirectionsstaffing.com/it/job/business-enablement-interns-east-greenwich-ri/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Development Intern,Amazon,"New York, NY","DESCRIPTION

At Amazon, we are working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is continually evolving and is a place where motivated employees thrive and also where employee ownership and accountability lead to meaningful results.

The Amazon EU Student Programs Team is looking for ambitious students to join us as a commercial intern, working in one of our core businesses, including retail, amazon vendor services, merchant services, Prime Video, Prime Now, Amazon Fresh, and Amazon Advertising. Each role comes with a variety of tasks and several of the key tasks are outlined below.

Amazon retail teams work to help improve the selection and shopping experience for customers across our product categories, from books to fashion, electronics to grocery, movies and music to toys and health & beauty, and everything in between. As a retail intern in one of those categories, you will learn how Amazon handles its e-commerce retail business. Working alongside a vendor manager to help provide a suite of services designed to support Amazon's most strategic brands within one of our retail categories. Your priority will be to work backwards from the customer, identifying inputs to grow brands and improve their performance.

Job responsibilities include:
• Develop the analytical and problem-solving skills that our people are known for
• support vendor managers as well as Amazonians in other functions, such as in-stock and marketing

Amazon advertising sits at the intersection of advertising and e-commerce. Customers visit us every day to find, discover, and buy products, so we're obsessed with making the shopping experience the best it can be - and advertising is a part of that experience. As an intern, you'll gain a deep understanding of Amazon's display advertising products as well as our technical and operational capabilities. You'll learn when and how we can create custom opportunities, and you'll help our account managers create compelling presentations to delight our clients.

Amazon merchant services covers all third party merchants' activity related to selling on Amazon as well as the specific services and products we offer to help develop and grow these sellers. As an intern, you will be responsible for helping our account managers to deliver new business growth across Amazon's third party merchants.

Job Responsibilities Include:
• Build an understanding of customer pain points, requirements, and potential value that can be delivered by advertising or merchant services
• Identify target accounts using market data and industry intelligence
• Learn the advertising or merchant services portfolio and the Amazon culture
• Identify opportunities to improve our products, services, processes, systems, and tools
• Work with different parts of the Amazon business to implement improvement projects, including working with category teams, product teams, and technical support teams

BASIC QUALIFICATIONS

• Currently enrolled in or will receive a Bachelor's or Master's Degree with a graduation date between June 2020 and September 2022
• Studies within Engineering, Commerce, Business administration or similar field
• Mandatory to be able to sign a learning agreement with student's University

PREFERRED QUALIFICATIONS

• Excellent communications and presentation skills
• Ability to work on own initiative and as part of a team
• Results-driven focus with analytical capability
• Ability to innovate and simplify current processes and practices
• Strong direct sales skills and a proven track record of performance
• Experience working with clients
• High affinity towards data and technology with ability to dive deep and analyze opportunities and processes
• Fluent written and verbal communication in English
• Proficient written and verbal communication in a second European language

Application and Assessment Process
Selected candidates will be invited to attend a virtual interview consisting of a combination of interviews and case studies. This selection process is subject to change but you will be notified if any changes are made.

Want to know more about our opportunities? Visit our Student Events page to register for one of our upcoming virtual events: https://amazonstudentevents.splashthat.com/careers

Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice to know more about how we collect, use and transfer the personal data of our candidates.

Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build.

EU Student Programs Team",https://www.themuse.com/jobs/amazon/business-development-intern-c72221?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business/Marketing Internship,AFLAC,"Warwick, RI","If you are looking for an internship that provides real-world, professional work experience and the opportunity to be a valued contributor (not just an expert on making the boss’ coffee), look no further. Aflac is ready for you.

At Aflac, we value the spirit of innovation that our Interns bring to our organization. We rely on Interns to contribute a fresh perspective on projects that directly improve the service experience that our policyholders worldwide receive in their time of need.

Aflac Internships provide an elite opportunity for top students to explore their field of interest in areas such as Marketing, Sales, Strategic Management, and Entrepreneurship. We believe in giving Interns the career development tools and job enrichment opportunities they need to grow and blossom into Aflac’s future workforce of professional thought leaders. Learn from one of the top field forces in the Fortune 500. Get trained by state of the art systems like the Fast Start Training Program, as well as Aflac University.

Responsibilities:

No coffee making or paper filing here! Our interns have the opportunity to assist with new and existing accounts, marketing, and business development.

Requirements:
• Impressive academic and extracurricular qualifications, consistently strong performance, and a passion for innovation and success
• An ability to work in a fast paced environment while multi-tasking & interacting with a wide variety of people
• Teamwork and problem-solving skills, a willingness to accept responsibility, ask tough questions, and have a pragmatic approach
• Desire to work with a leading company that will offer you excellent marketing support
• Vibrant personality and professional presence
• Drive to help others
• Articulate self-starter and team player
• Great Work Ethic

Paid Internship

Receive Class Credit (3-6 credits)

Job Types: Full-time, Part-time

Benefits:
• Flexible schedule
• Professional development assistance

Schedule:
• Monday to Friday

Work Location:
• Multiple locations

COVID-19 Precaution(s):
• Remote interview process
• Personal protective equipment provided or required
• Social distancing guidelines in place
• Virtual meetings
• Sanitizing, disinfecting, or cleaning procedures in place",https://www.internships.com/posting/sam_4043707321?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Lead Corporate Development Intern,Thermo Fisher,"Waltham, MA","Position Summary:

The Corporate Development Intern will work as part of a high profile team responsible for the development and execution of inorganic growth strategies for all Thermo Fisher business units worldwide. Additionally, the Corporate Development Intern supports the corporate strategic planning process and provides related competitive intelligence for senior management.

Key Responsibilities:
• Support M&A strategy objectives including the development and tracking of acquisition opportunities and all phases of transaction execution
• Participate on teams evaluating M&A opportunities and managing divestitures
• Assist in the development and communication of the strategic business case to obtain corporate leadership support for M&A initiatives
• Perform acquisition valuation
• Manage the due diligence processes
• Facilitate the integration planning process as required
• Perform industry and competitive research to support senior leaders
• Analyze industry dynamics and the competitive landscape
• Analyze company SEC filings, Wall Street research, and market reports
• Support special projects as assigned in connection with Thermo Fisher Scientific and in connection with the Corporate Development team’s goals and strategy

Minimum Requirements/Qualifications:
• Pursuing a MBA degree from an accredited higher learning program and has a prior undergraduate degree in n Finance, Economics, Business Administration, Engineering, Science or a technical field
• Impeccable, exceptional attention to detail
• Strong analytical and written / verbal communication skills including excellent, differentiated facility in Microsoft PowerPoint
• Extensive experience using Microsoft Excel
• Strong teamwork and project management skills
• Excellent attitude and capacity for learning quickly in a very dynamic, intensive environment
• Experience and demonstrated aptitude managing and prioritizing multiple projects
• Ability to interact with senior executives and handle high pressure settings with confidence
• Domestic and international travel with minimal notice required up to 10% per year

Non-Negotiable Hiring Criteria:
• Positive, enthusiastic attitude with capacity for learning quickly in an intensive and fast-paced environment
• Strong general business acumen
• Excellent financial acumen and analytical skills - including a solid understanding of valuation principles and fundamentals of financial statement analysis
• Demonstrated record of professional and academic achievement",https://jobs.thermofisher.com/global/en/job/135921BR/Lead-Corporate-Development-Intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
