title,company,location,requirements,link
Social Communications Intern,Hasbro,"Pawtucket, RI","The Social Communications Intern Will Support The Team On a Variety Of Projects That Support The Brand Publicity Functions Of The Department Including

Imagine an internship where work feels like play – it’s fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands. Successful candidates are proactive, energetic, collaborative, responsive, flexible, and creative.

A day in the life of a Social Communications Intern...
• Collaborating with cross-functional teams on the development and execution of integrated social media strategies that support PR initiatives such as brand launches, product announcements or entertainment reveals, ensuring consistency throughout all communication channels.
• Support social activations for all large-scale events
• Support day-to-day community management with a team of community managers for multiple Hasbro corporate and brand social media channels including Facebook, Twitter, Instagram and other relevant social channels
• Posting and scheduling social content, monitoring conversations and fostering thoughtful dialogue with fans/followers
• Partnering closely with Global Consumer Care team to field and respond to consumer inquiries that emerge on social media
• Maintaining guardrails and escalation protocols, managing issues and crises by collaborating with PR counterparts
• Working with marketing and ecommerce partners on development and community management of paid social campaigns
• Being the eyes and ears of Hasbro’s Brands and communicating findings to the appropriate cross-functional team when necessary
• Assist in identifying influencers, outreach, and tracking on social media

What you'll bring...
• Stellar listening and writing skills with a sharp eye for detail
• Creative problem-solving skills
• Global thinking
• Able to work collaboratively and independently with ease
• Strong leadership and organizational skills
• Integrity and reliability

Qualifiactions...
• Enrollment in an undergraduate degree program with a GPA of 3.2 or higher
• Major in communications, public relations, marketing, or journalism",https://www.linkedin.cn/jobs/view/social-communications-intern-at-hasbro-2496754946?refId=b3fd0397-d6f5-48fc-a0a6-678156eb25f4&trackingId=O5BsKVS8feq/F5fp8VlI6A%3D%3D&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Marketing and Communications Internship,ICF,"Providence, RI","ICF is a full-service consulting firm leveraging our expertise across many fields. We blend creative thinking with technical skills to help clients build brands, devise business strategies, implement responsive technologies, and create user experiences.

Our team is looking for talented people ready to fulfill their potential. If you are passionate about marketing and digital technology, we want you as part of our team. ICF is hiring a Marketing and Communications Intern to join our marketing team this summer.

As a member of our strategic communications and marketing team, the communications intern will assist in the planning, development, and implementation of communications activities to support our efforts with local utilities. On a daily basis, we help our clients and communities live healthier, save energy and help the environment through the development, implementation and refinement of sound marketing and outreach initiatives. You will work with teams of account managers designers, web developers and digital strategists to learn how to deliver world-class solutions for our clients.

We are looking for someone who is as passionate about our work as we are and has the skills and attitude to learn quickly and make a meaningful contribution. As a Marketing and Communications Intern, you will: + Work with the creative team to develop creative campaigns + Work with the media team to place media for upcoming marketing campaigns + Review creative and attend client presentations + Attend weekly client meetings + Assist in preparing weekly and monthly client presentations by collecting, analyzing and summarizing campaign results + Review and develop social media content for clients and schedule social posts on Hootsuite and Facebook Business Manager + Assist in submitting work for industry awards + Participate in brainstorms and project meetings As a Marketing and Communications Intern, you will have: + Knowledge of traditional marketing and social media environments + Strong written and verbal communication skills + Experience interning at a PR or advertising agency or involvement in promotions, PR or advertising within your school is a plus + Strong organizational and interpersonal skills + Ability to work both independently and in a team-oriented, collaborative environment + Strong motivation and adaptability to learn and understand new concepts + Ability to effectively prioritize and manage multiple tasks to meet aggressive deadlines + Ability to produce quality work products with attention to detail Basic Qualifications: + Working toward a Bachelor's degree in Communications, Marketing, Public Relations, Advertising or related major Working at ICF Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe.

We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you're seeking to make a difference in the world, visit www.icf.com/careers to find your next career.

ICF-together for tomorrow. ICF is an equal opportunity employer that values diversity at all levels. (EOE - Minorities/Females/Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity).

For more information, please read our EEO & AA policy (https://www.icf.com/legal/equal-employment-opportunity) . Reasonable Accommodations are available for disabled veterans and applicants with disabilities in all phases of the application and employment process.

To request an accommodation please email icfcareercenter@icf.com and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.

Read more about non-discrimination: EEO is the law (https://www.eeoc.gov/sites/default/files/migrated\_files/employers/poster\_screen\_reader\_optimized.pdf) and Pay Transparency Statement (https://www.dol.

gov/sites/dolgov/files/ofccp/pdf/pay-transp\_English\_unformattedESQA508c.pdf) . Virginia Remote Office (VA99)Need help? We're here:ICFCareerCenter@icf.com About ICF ICF (NASDAQ:ICFI) is a global consulting services company with over 7,000 full and part-time employees, but we are not your typical consultants.

At ICF, business analysts and policy specialists work together with digital strategists, data scientists and creatives. We combine unmatched industry expertise with cutting-edge engagement capabilities to help organizations solve their most complex challenges. Since 1969, public and private sector clients have worked with ICF to navigate change and shape the future. Learn more at icf.com",https://www.jobs4millennials.com/Providence-Rhode-Island-USA-job/MARKETING-AND-COMMUNICATIONS-INTERNSHIP/d6c3beeb0452b5fd/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Media/Public Relations Intern,Pearson,"Providence, RI","Job Information

Pearson Media/Public Relations Intern in Providence, Rhode Island

Media/Public Relations Intern - ( 2103471 )

Description

The GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.

GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.

We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.

The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Currently a junior or senior in college, in pursuit of a bachelors degree in Communications, Public Relations, Marketing or related field
• Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones.
• Understand and be comfortable using the large social media platforms Facebook, Twitter, Instagram, and YouTube
• Interested and familiar with education, public relations/communications, and social media
• Team player who works well with others and isnt afraid to ask questions
• Detail-oriented, cares about how our communications will impact thousands of people
• Develop new content, including blog posts, emails, newsletter ideas
• Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content
• Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work
• Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software
• Plan, schedule, and upload content on Facebook, Twitter, LinkedIn
• Assist marketing team with monitoring all social media channels to engage with users through Hootsuite
• Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic

Primary Location : US-RE-Remote

Work Locations :

US-Remote

Remote

Job : Communication

Organization : Assessments VUE

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Travel : No

Job Posting : Mar 9, 2021

Job Unposting : Ongoing

Schedule: : Part-time Temporary

Req ID: 2103471",https://www.internships.com/posting/bug_38966828061?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Marketing and Communications Internships,Virtual Internships,Anywhere,"Why Complete a Remote Marketing Opportunity?

Around the global, marketing can take on analytical and business roles of planning budgets, ad spends, forecasting return on investment and more as well as the creative side of advertising, social media, campaign management and more. Both focuses are delivered through specific departments across industries or in specific marketing agencies or consultancies. Supporting marketing as a virtual intern is so much more than delivering a social media campaign and can include research and analysis, design and creativity, content development, and project management.

Think about how many advertisements you come across in your day to day life - including channels like

TV, radio, podcasts, and physical ads all around your town. This last area is greatly enhanced if you live in a city, where advertisements can be found on billboards, trains, buses, benches, in windows - you name it! In fact some cities like New York City and Tokyo have built their “image” off of the vast array of public advertisements in their metro areas. Any company that wants to sell a good or service has to find creative and intriguing ways to market it, and major corporations are more than willing to spend millions and, in some cases billions, on top-notch ad campaigns, market research, and creative teams. Those interested in getting their feet wet in the vast industries of creative marketing, advertising, SEO, and brand awareness will find great opportunity with Virtual Internships. Our host companies seek to market everything from wellness supplements, to makeup, to electric cars, to KPop concerts, to cultural tours, and so much more!

Sample Placements
• Support a UK based recruitment agency to work closely with the UK Country Manager to design sales pitches, such as videos, for the purpose of stakeholders' engagement; Develop relationships with key stakeholders, both internal and external, in the UK, Spain and Italy.
• Support a US based tech manufacturing company to create and manage digital input for social media platforms and monitor/report on engagement on a weekly basis; Create new case studies and marketing materials and presentations

Sample Tasks
• Account Management
• Brand awareness
• Business Proposal Support
• Buyer/User Needs
• Content Creation
• Copywriting - Website, Blog, Marketing
• Creating SWOT analysis
• Customer Segmentation
• Digital Marketing - Adwords, SEO, E-mail
• Exposure to CRM systems
• Market Research for Increased Sales
• Marketing Campaign Management
• Paid vs Organic Marketing
• Social Media Marketing

What is a Remote Internship?

Remote internships are internships that are done completely online or remotely, from the comfort of your own home. You are placed with a company, and have a supervisor that you report to. You are in regular contact with the supervisor/team via virtual methods such as video call, phone call, email and instant messenger. Companies exist both domestically and internationally, with placements spanning over 3500 different companies across 70 countries.

Placement Process

Virtual Internships guarantees a placement for all students accepted into our program. Review the Linear Placement Process to learn more.

Working with a Provider

As Virtual Internships is a provider, we work to not only provide you a guaranteed internship that meets your skills and interests, but provide scaffolding and support including, weekly discussions, online professional development curriculum, and coaching calls to support your post-program employment. Applying to our program means that if accepted you are guaranteed an internship in the Career Field (we have 18 to choose from) of your choice, and aligned to your university's dates and requirements.

Internship Dates:
• We have a start date every other week!
• Interns can select to work 10, 20 or 30 hours a week
• Interns can work a minimum of 4 weeks or a maximum of 16 weeks.

What is Included?

This is an unpaid experience but offers a full time work experience with a global established company as well as additional support to include:
• Guaranteed Virtual International Internship

in the country or career field of choice
• Dedicated Program Experience Manager

to check-in weekly with interns
• Assigned Internship Coach

to complete midpoint and end of program coaching calls with delivery of Global Career Management Plan (GCMP) and Global Employability Certificate
• Access to CareerBridge,

our Global Internship Curriculum walking students through resume creation, interview prep, time management, remote work and more.
• Weekly Group Discussions

or Business Webinars covering a range of topical themes

Full End of Program Report

including supervisor evaluation, student assessment, and GCMP",https://www.zippia.com/providence-ri-jobs/marketing-internship-dlp/?61479fd9b03bd58a95a5c77ea5991cb0357b648a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Remote Media, Communications & Publishing or Creative Internships",Virtual Internships,Anywhere,"Why Complete a Remote Media or Creative Opportunity

Working in Media, Communications, & Publishing across the globe can require delivering fresh content across multiple outlets that meet the needs of a wide audience. Virtual interns supporting this career field can support the development of any type of medium including digital, print, video, photography and more, as well as supporting the editing and distribution of the content. Tasks may revolve around a specific piece and require research, content development, and more.

Media (in its various forms) is a major export in many countries including the UK, India, Japan, the United States, and South Korea. Japanese anime, for example, has grown massively in popularity and spread to all corners of the world. Similarly, Bollywood movies, KPop, American music, and British TV have all seen great success when exported outside their home countries. In the broader media sphere, there are so many potential career pathways to choose from that most professionals in these areas are keen to emphasize the importance of internships to help find your niche. Whether interested in working with video production, animation, graphic design, public relations, or music, Virtual Internships offers amazing opportunities to delve into these fascinating industries.

Sample Placements
• Support a Fintech company based in Seoul to create a 15 second ad video to be used as ProBit Exchange's Youtube main video advertisement and solely craft the brand image designs of key social media accounts of ProBit Exchange
• Support a South Korean fashion design company to complete a full creation of their look book through competitor research, developing their brand F/W concept, retouching Photos, and upload to their website.

Sample Tasks
• Client Relations and Support
• Content Development
• Content Research
• Content Reviewer
• Copywriting - Website
• Create media plan based on client needs
• Creative Design - Photoshop, Illustrator, InDesign
• Editing
• Facilitation and Presentation Delivery Skills
• Fact Checking
• Marketing
• Media and News Liaison
• Presentation
• Social Media Marketing
• Story/Blog Pitching
• Storytelling

What is a Remote Internship?

Remote internships are internships that are done completely online or remotely, from the comfort of your own home. You are placed with a company, and have a supervisor that you report to. You are in regular contact with the supervisor/team via virtual methods such as video call, phone call, email and instant messenger. Companies exist both domestically and internationally, with placements spanning over 3500 different companies across 70 countries.

Placement Process

Virtual Internships guarantees a placement for all students accepted into our program. Review the Linear Placement Process to learn more.

Working with a Provider

As Virtual Internships is a provider, we work to not only provide you a guaranteed internship that meets your skills and interests, but provide scaffolding and support including, weekly discussions, online professional development curriculum, and coaching calls to support your post-program employment. Applying to our program means that if accepted you are guaranteed an internship in the Career Field (we have 18 to choose from) of your choice, and aligned to your university's dates and requirements.

Internship Dates:
• We have a start date every other week!
• Interns can select to work 10, 20 or 30 hours a week
• Interns can work a minimum of 4 weeks or a maximum of 16 weeks.

What is Included?

This is an unpaid experience but offers a full time work experience with a global established company as well as additional support to include:
• Guaranteed Virtual International Internship

in the country or career field of choice
• Dedicated Program Experience Manager

to check-in weekly with interns
• Assigned Internship Coach

to complete midpoint and end of program coaching calls with delivery of Global Career Management Plan (GCMP) and Global Employability Certificate
• Access to CareerBridge,

our Global Internship Curriculum walking students through resume creation, interview prep, time management, remote work and more.
• Weekly Group Discussions

or Business Webinars covering a range of topical themes
• Full End of Program Report

including supervisor evaluation, student assessment, and GCMP",https://www.zippia.com/providence-ri-jobs/publishing-internship-dlp/?656e4944eed281de6d6d9c2352a0949942bc7d96&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Marketing Communications & Digital Marketing Intern,Becton Dickinson,"Warwick, RI","Job Information

BD (Becton, Dickinson and Company) Marketing Communications & Digital Marketing Intern in Warwick, Rhode Island

Job Description SummaryThe graphic design intern will support the Marketing Communications department with all day to day design requests and responsibilities. These requests may range from event promo materials, sales collateral, digital ads and internal communication requests. The graphic design intern will report directly to the Assoc. Manager of Marketing Communications. The candidate must be working to complete their BFA in graphic design, have a keen eye for design and details with a GPA of 3.5 or higher. The candidate must supply a sample of work to be eligible for the position. Local candidates to the RI area are strongly encouraged to apply.

Job Description

The graphic design intern will support the Marketing Communications department with all day to day design requests and responsibilities. These requests may range from event promo materials sales collateral, digital ads and internal communication requests. The graphic design intern will report directly to the Assoc. Manager of Marketing Communications. The candidate must be working to complete their BFA in graphic design, have a keen eye for design and details with a GPA of 3.5 or higher. The candidate must supply a sample of work to be eligible for the position. Local candidates to the RI area are strongly encouraged to apply.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status.

Primary Work LocationUSA RI - Warwick

Additional Locations

Work ShiftNA (United States of America)

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status",https://www.internships.com/posting/bug_38967788222?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Brand Marketing Intern (Summer 2021),Hasbro,"Pawtucket, RI","At Hasbro, we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of Community, Passion, Integrity, Creativity and Inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best is yet to come.

Imagine an internship where work feels like play – it’s fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands by using a digital first mindset that bring our story driven play experiences to consumers around the world.

Everyday you’ll be working with digital first thinkers, innovative consumer marketers, and brilliant brand developers! You’ll help to manage global product development, marketing processes, line planning activities, and social strategies. In this exciting role, you will partner with cross-functional teams; including but not limited to regional or global marketing, design and development, packaging, engineering, demand planning, and costing on all phases of product development. You will assist on all consumer facing marketing activities such as advertising, communication, YouTube and other social strategies. Successful candidates are proactive, energetic, collaborative, responsive, flexible, creative, analytical, strategic and decisive.

What you’ll do and what you’ll learn:
• Partnering with cross-functional teams to execute key brand initiatives, including finding innovative ways to grow the business.
• Using social insights to help drive product innovations through the system to better meet consumer demands.
• Leveraging creative thinking and consumer insights to drive product innovations and better meet/exceed consumer demands.
• Assisting in the development of overall go-to-market product strategy, primary assets for advertising and other marketing communications.
• Applying consumer insights and competitive market expert segment and leveraging learnings on the product line.
• Aligning best in class content and storytelling with strong commercial plans.

What you’ll bring:
• Digitally savvy, (product development, consumer marketing, retail)
• Presentation skills: can deliver complex information in a compelling way, uses story to persuade audience; captures interest, engages audience, uses supporting points to influence
• Data analysis: can make sense of quantitative and qualitative information affecting the brand; exposure to Tubular, Net Base, etc. a plus

This opportunity is for you if:

• You are a marketing undergrad currently enrolled in classes or MBA Marketing student looking to work on iconic brands. May 2021 or earlier graduates are no longer elible for Hasbro internship opportunities.
• You are keenly aware of the world around you, and love to learn from it
• You thrive on figuring things out and making things happen
• You are trend savvy and think broadly about competitive sets
• You have an entrepreneurial spirit, but know how to leverage it within a corporate environment
• You are comfortable experimenting, taking risks and challenging the status quo
• You actively seek, and offer diverse points of view
• Remote candidates in the US may be considered

About Hasbro

Hasbro (NASDAQ: HAS) is a global play and entertainment company committed to Creating the World's Best Play and Entertainment Experiences. From toys, games and consumer products to television, movies, digital gaming, live action, music, and virtual reality experiences, Hasbro connects to global audiences by bringing to life great innovations, stories and brands across established and inventive platforms. Hasbro’s iconic brands include NERF, MAGIC: THE GATHERING, MY LITTLE PONY, TRANSFORMERS, PLAY-DOH, MONOPOLY, BABY ALIVE, POWER RANGERS, PEPPA PIG and PJ MASKS, as well as premier partner brands. Through its global entertainment studio, eOne, Hasbro is building its brands globally through great storytelling and content on all screens. Hasbro is committed to making the world a better place for all children and all families through corporate social responsibility and philanthropy. Hasbro ranked among the 2020 100 Best Corporate Citizens by 3BL Media, has been named one of the World’s Most Ethical Companies® by Ethisphere Institute for the past nine years, and one of America’s Most JUST Companies by Forbes and JUST Capital for the past four years. We routinely share important business and brand updates on our Investor Relations website, Newsroom and social channels (@Hasbro on Twitter and Instagram, and @HasbroOfficial on Facebook.)

© 2020 Hasbro, Inc. All Rights Reserved",https://jobs.hasbro.com/job/Pawtucket-Brand-Marketing-Intern-%28Summer-2021%29-Rhod-02861/712628000/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Customer Communications Internship,Amica Insurance Company,"Lincoln, RI (+1 other)","Customer Communications Internship

Corporate Information Systems

25 Amica way, Lincoln RI 02865

Want to join a company where doing good is what we do?

The feeling is mutual!

Amica Insurance, located in Lincoln, RI is seeking an Intern for our Customer Communications team within our CIS department. This is a paid internship and the working hours are 37.5 hours per week during the summer months. Amica has created an internship program that is an excellent way for students to receive hands-on experience.

Requirements:

Our internship program is designed for individuals who have completed their sophomore year from an accredited college/university before the start of the summer internship and will be continuing their undergraduate studies in the fall as a Junior or Senior. Candidates should be seeking a degree in Computer Science or Computer information with a GPA of 3.0 or higher.
• Interested to work in a technical field
• Strong written and verbal communications skills
• Well-organized
• Ability to work in a team environment
• Java, Preferably Java 8
• Java script
• Attention to detail

Responsibilities:
• Form Changes and programming updates within our applications
• Monthly Maintenance Work in applications using Java 8 as scripting languages
• Research and assistance with transitioning to a new software tool for document creation
• May be called upon to handle other duties

Due to the ongoing uncertainty surrounding the COVID-19 pandemic, the timing of the Amica Home Office re-entry is undetermined at this point. More details will be provided as they become available.

All candidates must submit a cover letter and resume.

About Amica:

Amica Mutual Insurance Company is America’s oldest mutual insurer of automobiles. A direct national writer, Amica also offers home, marine and umbrella insurance. Amica Life Insurance Company, a wholly owned subsidiary, provides life insurance and retirement solutions. Amica was founded on the principles of creating peace of mind and building enduring relationships for and with our exceptionally loyal policyholders, a mission that thousands of employees in offices nationwide share and support.

Equal Opportunity Policy: All qualified applicants who are authorized to work in the United States will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, family status, ethnicity, age, national origin, ancestry, physical and/or mental disability, mental condition, military status, genetic information or any other class protected by law. The Age Discrimination in Employment Act prohibits discrimination on the basis of age with respect to individuals who are 40 years of age or older. Employees are subject to the provisions of the Workers' Compensation Act.

IND15
• cb",https://www.internships.com/posting/sam_1f6cbcaf42b7876c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
SEASONAL POLICY INTERN,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or her first season. An employee returning to the same three-step classification for a second season is paid at the second step during that season. An employee returning to the same three-step classification for a third or subsequent season is paid at the third step during that season.

To be considered for a paid Seasonal Policy Intern position at the Rhode Island Department of Health, BOTH the Seasonal Policy Intern application on Apply RI and the RIDOH Public Health Scholar application must be submitted. After completing the Seasonal Policy Intern application, visit www.health.ri.gov/scholars to view current positions available and complete the RIDOH Public Health Scholar application",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Internship,(add)ventures,"East Providence, RI (+1 other)","(add)ventures is a multidisciplinary brand culture and communications firm. With offices in Miami, New York and East Providence, RI (add)ventures has been exceeding the branding goals of industry leading client partners for more than 25 years. Our offices specialize in disciplines including insights & analytics, video & animation, digital services, marketing, content creation and design. Our team is NICE – we’re nurturers with intelligence, character and energy.

Our East Providence, RI office is actively searching for our next group of stellar interns for Summer 2021. (add)ventures' internship program is designed to provide students with real-world work experience in a creative and collaborative environment. Alongside more than 70 employees, students will expand their knowledge beyond their area of focus and discover the ins-and-outs of brand storytelling. We fully believe that fun breeds creativity and our program offers a variety of learning opportunities that are customized to fields including:
• Marketing – strategy, analysis, tactical implementation and measurement and proposal development
• Content – concepting, copywriting (digital and print), content strategy, editing and proofreading
• proficiency required in Microsoft Word; knowledge of social media is a plus
• Video – scriptwriting, creative direction, on-site filming, animation and post-production
• Design – concepting, layout, font selection, illustration, critiques and photoshoots
• proficiency required in Adobe creative suite, InDesign and Photoshop

Here are the details:
• 32 hours per week
• Paid program
• College juniors, seniors or post-graduates majoring in one of the fields listed up there
• Willing and able to commit to all 10 weeks: Tuesday, June 1 through Thursday August 12, 2021
• While we are all remote now, if Covid conditions permit, we could return to the office. So we are looking for people who live within commuting distance of East Providence, RI.

Our culture rewards:
• Energy, creativity and enthusiasm
• Ability to work autonomously or in groups
• Team based leadership
• A good sense of humor
• A passionate commitment to serve clients, co-workers and community
• Loyalty and integrity

Sorry, no relocation available. We are an Equal Opportunity/Affirmative Action Employer.

Think you can knock our socks off? Send us your stuff today",https://www.internships.com/posting/sam_4043698971?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
