title,company,location,requirements,link
Community Benefit and Economic Stability Intern,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,Community Catalyst,"Boston, MA (+1 other)","The Community Benefit and Economic Stability project at Community Catalyst is seeking a 2021 graduate-level, summer intern to assist with research on non-profit hospitals’ efforts to address health inequities in their communities through community benefit activities. This will be a 20-hour per week internship for 10 weeks, with a stipend of $3,000. Due to restrictions related to the COVID-19 pandemic, the intern will work remotely, reporting to the Program Director of Community Benefit and Economic Stability project.

Intern responsibilities
• Conduct research on non-profit hospital community health needs assessments, implementation strategies, financial assistance/billing/collection policies, IRS filings, and community benefit activities.
• Interview key informants including hospital representatives, policymakers, staff at community-based organizations, consumer advocates, and community residents.
• Compile hospital data gathered through research efforts into database or spreadsheets...",https://cssh.northeastern.edu/policyschool/job/community-benefit-and-economic-stability-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
