title,company,location,requirements,link
Volunteer: Political Affairs Internship,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Responsibilities will include leading public and political outreach in your state and district.
• Meet with members of Congress and/or Congressional staffers in your State and District.
• Represent The Borgen Project at various business, political and community events.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.
• Mobilize individuals to contact their members of Congress in support of key poverty-reduction legislation.
• As needed, speak to groups, classes and organizations.
• Write letters of support for...",https://www.linkedin.com/jobs/view/volunteer-political-affairs-internship-at-the-borgen-project-2410579904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
