title,company,location,requirements,link
Intern,CBRE,"Providence, RI","Intern **United States** **New** 1 additional location Birmingham, Alabama, United States Administration/Operations Requisition # 21011651 Post Date 5 days ago **About CBRE** With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world.

A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals.

Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc.

is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates).

CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020.

It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row.

Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates).

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.
• *About CBRE** With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world.

A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals.

Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc.

is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates).

CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020.

It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row.

Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates).

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.
• *About CBRE** With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world.

A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals.

Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc.

is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates).

CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020.

It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row.

Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates).

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.
• *Responsibilities** This internship is designed for current college students, undergraduate or graduate seeking a career in commercial real estate.

Participation in the program is intended to provide a well-rounded knowledge of the commercial real estate business and valuable skills, earned by working alongside talented professionals in the largest and most successful global commercial real estate services firm.

The internship accelerates your learning and development by providing you with a strong foundation upon which to build your commercial real estate sales career.

The program provides you with a unique perspective on our integrated service lines.

As a program participant, you will also partake in learning and development activities designed especially for you.

Responsibilities May Include: Conduct company, property and industry-specific research Manage and update prospects in an internal tracking database Assist in developing and preparing marketing and presentation materials Track local and regional activity, e.g., economy, employment statistics, major company activity, industry trends and demographics that affect the local real estate market Contribute to special projects in support of business development Provide ongoing support with current deals, including market surveys, proposal reviews and summaries, lease reviews, financial analysis **Qualifications** This internship is designed for candidates with a strong academic background, preferably in business or real estate.

Applicants should be self-motivated, creative and disciplined, seeking to excel in the commercial real estate industry.

Current college junior, senior, or graduate level student Desire to work in the commercial real estate industry Experience with MS Office with preferred experience in Salesforce and Tableau Strong presentation skills Ability to network and develop strong relationships Detail-oriented and highly organized Strong analytical and problem-solving skills Solid written and oral communication skills Ability to work independently and collaboratively To be considered for a position with CBRE, please apply online atom/careers.

Click on “Search and Apply” on the left side of the screen.

If a pop-up window does not open, please check your browser’s settings.

On the login window either login with your existing username and password or click on “Register Today” to create one.

Once you are logged in you can either apply for specific jobs or submit your general application using the link at the bottom of the page.

EOE & AA Employer M/F/D/V **US Company Profile** About CBRE Group, Inc.

CBRE Group, Inc.

(NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the world’s largest commercial real estate services and investment firm (based on 2019 revenue).

The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide.

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.

Please visit our website at [redacted] CBRE, Inc.

is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans",https://www.job.com/job/intern-in-providence-ri/51569016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern (TO-693A6),CBRE,"Providence, RI",,https://us.trabajo.org/job-726-20210411-693a63dac5a1792af4357445c65caec7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Commercial Real Estate Intern Brokerage,Hunneman Commercial Real Estate,"Boston, MA (+1 other)",,https://www.internships.com/posting/sam_VINPG1CkZzvp4m44x0bEWj9F0tvHKoefDgLjKuWGqvvaBc7at1mO_g?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Ethics & Compliance Intern Virtual,cbre,"Providence, RI","Job Information

CBRE Ethics & Compliance Intern (Virtual) in Providence, Rhode Island

Ethics & Compliance Intern (Virtual)

United States

New

Administration/Operations

Requisition # 21007310

Post Date 1 day ago

As a Fortune 500 worldwide leader in real estate services, CBREs more than 100,000 professionals provide exceptional outcomes for clients in 100+ countries. CBRE offers a broad range of integrated real estate services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. When it comes to real estate, CBRE sees potential everywhere. We turn scale into strength, expense into performance, and property into prosperity.

CBREs Legal, Ethics & Compliance (E&C) Department seeks a summer intern, working remotely approximately 40 hours per week during the Summer. The position will be a virtual internship reporting to E&C leaders in the Los Angeles, and Chicago offices of the CBRE Americas E&C Team.

Responsibilities:

Under the supervision of the Ethics and Compliance teams leaders, the intern will be exposed to global ethics and compliance initiatives and activities, primarily in the areas of CBREs RISE values, Standards of Business Conduct and company policies, the Ethics and Compliance Ambassadors program, and ethics and compliance training.

Support the design, development, delivery, and management of change management, training, and communications for various E&C initiatives

Apply change management and training methodologies, best practices, and approaches to support the development of program strategies and relevant outputs in support of various E&C projects

Provide input, document requirements, and support the design and delivery of training programs

Develop program materials, presentations, and communications for the E&C Ambassadors program

Support the migration of CBREs intranet sites by working with internal site owners to identify key assets and resources that need to be migrated, keeping track of project activities, and aiding in designing new intranet pages, as needed

Qualifications:

This internship is designed for graduate school students studying Industrial-Organizational Psychology, Organizational Development, Business Administration, Marketing and Communications or a related field. Candidate must demonstrate strong academic credentials and excellent communication skills.

Experience and knowledge of change management principles, methodologies, and tools

Exceptional communication skills, both written and verbal

Consultative mindset with an ability to think strategically about business problems

Excellent active listening skills

Ability to clearly articulate messages to a variety of audiences

Ability to establish and maintain strong relationships

Flexible and adaptable; able to work in ambiguous situations

Able to work effectively at all levels in an organization

Please apply online with your resume, writing sample, and graduate school transcript.

CBRE, Inc. is proud to be an equal opportunity employer.

US Company Profile

About CBRE Group, Inc.

CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the worlds largest commercial real estate services and investment firm (based on 2019 revenue). The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. Please visit our website at www.cbre.com.

CBRE, Inc. is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans",https://www.internships.com/posting/bug_38966846528?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Summer Intern- Facilities Management- RI,JLL,"West Greenwich, RI","Take the opportunity to start your career early in the commercial real estate field! Spend time learning what it's like to work in the fast-paced, entrepreneurial, team-oriented environment at JLL. Interns are an important part of what makes JLL a great place to work. Within our program, interns are an integral part of our team working alongside real estate analysts, transactions professionals and other associates. You will gain valuable insight into the commercial real estate industry while being exposed to multiple lines of business over the course of your internship.
.
JLL is looking for qualified interns to join our 2021 summer internship program. The ideal candidate should be prepared to work in a fast-paced team environment and will finish the internship having gained broad experience in various aspects of Commercial Real Estate.
.
Program Details:
.
Beginning June 2021.
.
Length of program runs 8-10 weeks.
.
Full time (40 hours a week)..

Qualifications:
.
Current undergraduate students majoring in:.

Facilities Management.
.
Business Administration.
.
Mechanical Engineering.
.
Electrical Engineering...

Skills and Abilities:.

Written and verbal communication skills.
.
Detail-oriented.
.
Strong analytical skills- interest in analyzing data.
.
Strong excel skills.
.
Able to think critically and problem solve.
.
Strong knowledge of PC, Windows, Internet applications. Word and Excel is a must.
.
Adept to learning new programs..

Please only apply to one internship position.
JLL is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities. We do not offer relocation assistance or housing for our internship program.
.
.
#LI.
.
JLL Privacy Notice
.
.
Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL's recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.
.
.
For more information about how JLL processes your personal data, please view our Candidate Privacy Statement .
.
.
For additional details please see our career site pages for each country.
.
.
For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here .
.
.
Jones Lang LaSalle (JLL) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process - including the online application and/or overall selection process - you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.
.
.
Job Information
Job ID: 55887419
Location:
.
West Greenwich, Rhode Island, United States
Position Title: 2021 Summer Intern- Facilities Management- RI
Company Name: JLL
Job Function: Admin/Clerical/Secretarial
Job Type: Full-Time",https://jobatic.com/jobs/amp/rhode-island/west-greenwich/jll/2021-summer-intern-facilities-management-ri.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Virtual Intern - Legal,cbre,"Providence, RI","Job Information

CBRE Virtual Intern - Legal in Providence, Rhode Island

Virtual Intern - Legal

United States

New

Administration/Operations

Requisition # 21005687

Post Date 10 hours ago

As a Fortune 500 worldwide leader in real estate services, CBREs more than 100,000 professionals provide exceptional outcomes for clients in 60+ countries. CBRE offers a broad range of integrated real estate services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. When it comes to real estate, CBRE sees potential everywhere. We turn scale into strength, expense into performance, and property into prosperity.

CBREs Legal Department seeks a law clerk for a full-time legal internship position, working remotely approximately 40 hours per week during the Summer. The position will be a virtual internship, reporting to attorneys in the Chicago, LA and NY offices of the CBRE Americas Legal Team.

Responsibilities

Under the supervision of the Legal Departments team of attorneys, the candidate will be exposed to transactional law and litigation practice, primarily in the areas of commercial brokerage and real estate services, and general corporate law. Responsibilities include, but are not limited to, legal research and writing, interpretation and application of laws and regulations, and reviewing, evaluating and editing contracts and other legal documents.

Qualifications

This internship is designed for candidates with a strong academic credentials and excellent legal research and writing skills. The position is limited to 2L and 3L law students.

Please apply online with your resume, writing sample and law school transcript.

US Company Profile

About CBRE Group, Inc.

CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the worlds largest commercial real estate services and investment firm (based on 2019 revenue). The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. Please visit our website at www.cbre.com.

CBRE, Inc. is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans",https://www.internships.com/posting/bug_38959841079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Commercial Real Estate Intern,Northeast Bank,"Boston, MA","Job Description

POSITION SUMMARY: Reporting to the Director of Real Estate, the Commercial Real Estate intern will contribute to all aspects of commercial real estate activities of the bank, including underwriting and valuation of real estate collateral nationwide, and management of owned real estate, and progress towards independently completing a full real estate underwriting assignment. Qualified applicants will preferably have some prior experience with, or classwork focusing on, commercial real estate finance and financial statement analysis. S/He must have strong organizational and research skills and analytical ability as well as show initiative and drive throughout the underwriting process. Additionally, while working in an independent and reliable manner is critical, teamwork and effective communication will also be necessary for the successful candidate.

RESPONSIBILITIES:
• Under supervision from senior real estate underwriter, analyze and review commercial real estate collateral securing loans under consideration for purchase and origination, review and spread real estate financials, research comparable sale data and transcribe into a real estate narrative/valuation to be presented to the Director of Real Estate and the Credit Committee.
• Work closely with the Director of Owned Real Estate to manage pipeline and properties currently being marketed by the bank, including speaking with brokers, reviewing sale documents and developing cash flows.
• Monitor and complete reviews of real estate collateral securing existing loans in the bank’s portfolio.
• Perform ad hoc reporting or other projects when necessary.

KNOWLEDGE, SKILLS AND ABILITIES:
• Excellent organizational and research skills
• Excellent inter-personal and communication skills – both via email and via phone.
• Ability to handle multiple tasks in a timely manner
• Detail oriented
• Proficient in Microsoft Excel and Word

PHYSICAL DEMANDS AND CONDITIONS:
• Must be able to remain in a stationary position for long periods of time.
• Must be able to occasionally lift up to 20lbs.
• Consistently operates a computer and other office equipment such as calculator, copy machine and printers.
• Climate controlled general office setting with moderate noise level.
• Must express or exchange ideas with co-workers, customers and vendors.

Northeast Bank is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and expression, national original, veteran status and any other classification protected by Law. We celebrate diversity and are committed to creating an inclusive environment for all employees","https://www.ziprecruiter.com/c/Northeast-Bank/Job/Commercial-Real-Estate-Intern/-in-Boston,MA?jid=1e2dbd361d4fc790&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Assistant Property Manager,Northeast Bank,"Boston, MA",,"https://www.ziprecruiter.com/c/Northeast-Bank/Job/Commercial-Real-Estate-Intern/-in-Boston,MA?jid=1e2dbd361d4fc790&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
2020 Summer Internship Program –Commercial Real Estate Analyst (Twin Cities),U.S. Bank,"Hartford, CT",,https://www.careeronestop.org/toolkit/jobs/find-jobs-details.aspx?keyword=Credit+Analysts&onetcode=13-2041.00&location=Connecticut&radius=25&lang=en&fc=1&jvid=C4E7DC16AE5144B589B82F0946D26E70206&detailpage=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Growth Capital / M&A / Real Estate Internship Opportunity,Selina,"New York, NY","WANT TO MIX A GREAT WORK EXPERIENCE WITH AN AMAZING LIFE EXPERIENCE?

Seize this unique opportunity to work for Selina, one of the world’s fastest-growing lifestyle hospitality brands!

What is Selina?

Our Mission is to inspire authentic and meaningful connections.

Selina was born out of a desire to celebrate the nomadic lifestyle: to experience our planet’s most beautiful places, to build community, to engage with locals and fellow travelers, to work and enjoy new adventures.

Our internal ecosystem consists of Hospitality, Food & Beverage, Tours, Wellness, Education, Construction, Real Estate, CoWorking, Art & Design, Community Outreach, Education, Surf, Sales, Marketing, and Technology.

At Selina, every challenge is a wave desiring to be ridden and since we're all equal before a wave our team is always ready to take them and succeed. But always remember… The best surfer out there is the one having the most fun.

Summary

We offer a learning development program where you can transform your classroom knowledge and develop your skills throughout all areas in the hospitality industry.

The Growth capital is the team that secures the capital for the growth of Selina. This includes securing the financial commitment of financial partners for entire Regions, countries and individual cities and M&A deals. The growth capital department is also in charge of analyzing M&A deals that may be attractive for Selina.

What you will be doing:
• Assist the Growth Capital department in originating and targeting leads
• Reach out to brokers, investors, lenders, and other channels to supplement
• Conduct various research tasks & reports to support Selina’s fundraising efforts
• Assist the Growth Capital department in deal analysis and deal presentations to the Investment Committee headed by both Co-Founders
• Create investor-facing materials, including short and long decks depending on the need
• Maintain data entry and create weekly reports on Salesforce to increase efficiency of fundraising efforts
• Collaborate with real estate teams to support the building of hotel pipeline
• Develop and refine tools and templates to address internal needs of the Growth Capital team
• Assist the Growth Capital department in day-to-day and week-to-week projects

What you need for the role:
• Undergraduate coursework related to finance and/or business development preferred
• Advanced knowledge of Microsoft Office Suite
• Knowledge of creating forms, financial statements, and investor presentations
• Familiarity with Salesforce preferred
• Advanced research skills
• Demonstrated use of analytical problem-solving skills
• Strong organizational skills with the ability to prioritize and manage multiple projects in a timely and thorough manner
• Excellent oral and written communication skills
• Conversational Spanish is preferred
• Our team is looking for a team player, proactive, showing initiative and curiosity to be able to deliver on very diverse tasks with quick deadlines

Besides the Selina ultimate learning experience... You also receive:
• Fully remote internship
• Full free access to the Selina CoWork spaces, culture and wellness activities where you will connect with our unique environment and community.
• Your birthday is time off!
• Cultural events and Wellness activities at Locations
• Voluntary Activities - Selina Gives Back
• Training Sessions 24/7
• No Dress Code & Pet-Friendly

Selina Experience:
• 30% OFF Accommodation (During Internship)
• 25% OFF Friends and Family
• 20% OFF F&B and Retail
• 3 Free Days Accommodation (Dorms) in any Selina","https://www.glassdoor.com/job-listing/growth-capital-ma-real-estate-internship-opportunity-selina-JV_IC1132348_KO0,52_KE53,59.htm?jl=4005340385&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
