title,company,location,requirements,link
Data Analyst Internship,Cello Health,"Boston, MA","Job Description
Why Cello Health

Cello Health is a thought-leading health advisory firm, with experts in Science, Insight, Strategy, and Communications. When arriving to work here, you will find the team is committed and remarkably driven to solve client demands
We live and breathe our customers success, acting as partners to guide the journey of our Pharmaceutical and Biotech clients

Business Insights and Analytics

Experts in extracting data, uncovering hidden insights and translating into tangible, strategic recommendations that meet our clients unique business challenges
What we do

Market researchers, data analysts, behavioral scientists
Our specialist teams combine techniques to collate, mine and model data with insights generated through primary research with healthcare professionals, patients and payers, and other key decision makers to drive strategic recommendations that meet our clients needs

Requirements
• The Data Analyst Intern is responsible for assembling organizing, and investigating data in order to provide strategic insights to senior management and biopharmaceutical clients.
• The intern will develop and implement data collection systems and other strategies that optimize analytic efficiency and quality.
• The intern must be proficient in Python or R and retrieval of data using Application Programming Interfaces.
• Data to be analyzed includes medical literature, clinical trial data, social media and other publicly available information.
• Candidates must be currently enrolled in a masters program in data analytics, data science, business analytics or related field.
• This part-time position allows a student to work remotely this summer for a fast-paced medical communications agency supporting biotech and pharmaceutical clients","https://www.ziprecruiter.com/c/Cello-Health/Job/Data-Analyst-Internship/-in-Boston,MA?jid=3ca0563ea31218b6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Data Scientist Intern,Extreme Networks,"Salem, NH","There has never been a better time to join Extreme, after three acquisitions extending our portfolio and go to market strategy, we have seen enormous opportunity and growth within the regions. Aside from being a Technology Leader in the Gartner Magic Quadrant, we also adamantly promote an internal culture that truly embraces diversity, inclusion, and equality in the workplace. Having Diversity and Inclusion as part of our core values and beliefs, we are proud to foster an environment where every Extreme employee can thrive because of their differences, not despite them.

Responsibilities
• Working under the guidance of the leader of the Portfolio Intelligence team, provide analytics and insight to the leadership team.
• Collaborate with subject matter experts across the company to build impactful data analysis and visualization.
• Responsible for establishment and updating of data components used in analysis and visualization projects.
• Data grooming to optimize data for consumption by analysis and visualization tools.
• Responsible for migration of current cross-database queries to new integrated Incorta platform.
• Design and maintain data visualizations in Tableau.

Skills
• Pursuing a degree in a quantitative discipline (Engineering, Statics, Finance, Mathematics, Economics)
• Familiarity with data visualization software and techniques.
• Experience with Tableau an asset.
• Excellent writing and communication skills.
• Competence with Microsoft Excel.
• Knowledge of statistical methods.
• Ability to work with large datasets and provide concise analysis and insights.
• Capable of independent research and learning.
• Good attention to detail.

Please note: It is necessary for this Intern candidate to be in college with a graduation date of 2021 or later.

Extreme Networks, Inc. (EXTR) creates effortless networking experiences that enable all of us to advance. We push the boundaries of technology leveraging the powers of machine learning, artificial intelligence, analytics, and automation. Over 50,000 customers globally trust our end-to-end, cloud-driven networking solutions and rely on our top-rated services and support to accelerate their digital transformation efforts and deliver progress like never before. For more information, visit Extreme's website or follow us on Twitter, LinkedIn, and Facebook.

We encourage people from underrepresented groups to apply. Come Advance with us! In keeping with our values, no employee or applicant will face discrimination/harassment based on: race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. Above and beyond discrimination/harassment based on “protected categories,” Extreme Networks also strives to prevent other, subtler forms of inappropriate behavior (e.g., stereotyping) from ever gaining a foothold in our organization. Whether blatant or hidden, barriers to success have no place at Extreme Networks",https://www.internships.com/posting/sam_4028105172?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Analysis Intern,Raytheon Missiles & Defense,"Tewksbury, MA","This position is for an intern who will be entering their junior year or above by the start of summer 2021

About Us

At Raytheon Missiles & Defense, fresh thinking and possibilities are forged in times of change and you will be on the front lines as we trailblaze new approaches, push the boundaries of innovation and chart a course to a tomorrow you can be proud to have a hand in creating.

Job Summary

As part of the metrics group within Engineering Excellence (EnX) the selected candidate will perform statistical analysis and provide support to the larger team. The candidate will identify opportunities for process improvement and complete a summer intern project related to this assignment.

Responsibilities To Anticipate
• Data collection and analysis for manpower and program forecasting
• Generate space and facilities requirements for the Department
• Review cost proposals originating within the Department
• Input data into an Engineering Labor Forecasting System.
• Assure compliance with all current financial and administrative policies and charging guidelines and takes corrective action where necessary

Qualifications

This position can be a salary grade SA03, SA04, or SA05 based on the candidate's qualifications and standing as outlined below
• SA03 (Junior Administrative Intern)- must have completed 60 credit hours of college by start of internship
• SA04 (Senior Administrative Intern)- must have completed 90 credit hours of college by start of internship
• SA05 (Post-Graduate Administrative Intern)- must have an undergraduate degree and be enrolled in a graduate degree program (in degree fields listed in Qualifications You Must Have) by start of internship

Qualifications You Must Have
• Must be a junior or above by the start of summer 2021
• Must be pursuing a degree in Business Administration, Management, Finance, Accounting, Economics or a related field
• The ability to obtain and maintain a US security clearance. U.S. citizenship is required as only U.S. citizens are eligible for a security clearance.

Qualifications We Value
• Experience with Microsoft Office-Word, Excel, and PowerPoint
• Database management experience (Access)
• Microframe Project Manager (MPM) experience
• Excellent interpersonal and communication skills, strong reasoning skills, demonstrated initiative and leadership ability
• 3.0 cumulative GPA desired
• Demonstrated ability to work effectively with coworkers from diverse communities and cultures
• Demonstrated ability to work with colleagues who represent a diversity of work and conflict resolution styles

What We Offer

Whether you’re just starting out on your career journey or are an experienced professional, we offer a robust total rewards package that goes above and beyond with compensation; wellness, retirement and work/life benefits; career development and recognition programs. Some of the superior benefits we offer include flexible work schedules and achievement awards.

Additional Details

Please upload a copy of your most recent transcripts with your resume when applying to this requisition. Include your cumulative GPA and projected graduation date on your resume.

Clearance Information: This position requires the eligibility to obtain a security clearance. Non-US citizens may not be eligible to obtain a security clearance. The Defense Industrial Security Clearance Office (DISCO), an agency of the Department of Defense, handles and adjudicates the security clearance process. More information about Security Clearances can be found on the US Department of State government website here: https://www.state.gov/m/ds/clearances/c10978.htm

Location Information: This position is located in Massachusetts. Living in Massachusetts means you’ll have easy access to the ocean and locations of historical significance. You can enjoy varied outdoor activities ranging from hiking and camping to skiing and snowmobiling. Massachusetts is recognized as one of the best states to call “home.”177553

Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status",https://www.linkedin.com/jobs/view/data-analysis-intern-at-raytheon-missiles-defense-2478311404?refId=b990de9d-0298-43ae-ae81-f675bd7a0938&trackingId=N92phgHNhhMEnKNhZ7VRyA%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Data Analyst Internship,Maximus,"Nashua, NH","*Essential Duties and Responsibilitie
• s:
• The intern designs, documents, and studies business processes with the goal of driving process repeatability and improvement through efficient process design, quantitative process analysis, and staffing optimization.
• The position is responsible for overseeing the effective use of reports and developing and maintaining accurate call center and/or operations forecasts using statistical and other quantitative analysis methods to support development of efficient staffing plans.
• The position closely collaborates with the corporate BPM function for best practice methods and technical expertise.
Training and mentorship on best practices and key skills will be provided.
• Emphasizing effective collaboration with all process stakeholders, the intern will learn to design and document processes and workflow using Business Process Management Notation (BPMN- standards-based modeling language), determine the impact of proposed changes on underlying processes, and make appropriate recommendations for process-design and execution that will positively impact operational effectiveness especially staffing optimization.
• The intern will assist in the development of all formal process documentation which includes, process models, business requirements traceability matrixes, and use case documentation.
• The intern ensures all process documentation adheres to existing best practices, is accurate, correctly detailed, and kept up-to-date and organized in the appropriate repository.
• The intern prepares and maintains plans to ensure that agreed upon delivery schedules for existing, new and/or modified reports are meet.
• The position also analyses process performance using existing reporting capabilities in order to detect process performance problems and define improvements.
The position provides to management staff on the development of new reports and the modification and interpretation of existing reports",https://www.jobilize.com/amp/job/remote-data-analyst-internship-nashua-maximus-united-states-hiring?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
MDP Ecommerce Data Analyst Intern Job,"BJ's Wholesale Club, Inc.","Westborough, MA","BJ's Wholesale Club was the first retailer to introduce the warehouse club concept in the northeastern United States. Today, we’re a multibillion dollar operation with more than 200 clubs in 17 states from Maine to Florida.

While our Members know us for helping them save up to 25% off grocery prices every day, our Team Members love us for providing a supportive and engaging workplace that’s committed to developing great talent.

If you’re a motivated and enthusiastic person who enjoys working collaboratively and is committed to providing great service for our Members, we want to hear from you. BJ’s offers a fast-paced, team environment with great training opportunities and competitive salary and benefits packages to help you succeed.

At BJs Wholesale Club, we offer a 12-week summer internship experience through our Management Development Program. The MDP internship offers competitive pay and is built on three tenants: day-to-day exposure to a specific team, a strategic business solution project presented to our executive team, and personal and professional development through various development workshops and team building activities. As an intern you will work with your manager as well as many other leaders in the department and assigned a mentor that will help you navigate day to day operations. Throughout the program you will gain entry level role experience, visibility to our executives through IKE sessions as well as coffee with our CEO and work directly on business critical issues. After successful completion of the program, you will have the opportunity to transition into a permanent role

Ecommerce Fraud Data Analyst
• Contributes and assists in project execution and delivers digital analysis according to business needs and requirements.
• Supports the business development by analyzing competitors and exploring new program/digital trends in the market.
• Collaborates with the analytics team to find areas of improvement on the program performance.
• Partners with the Operations team to find areas for improving ecommerce gross-to-net and reduce customer service volumes.
• Helps in managing digital projects, making sure that the requirements are being met and analyze the results.
• Collaborates with Finance to help in reporting and forecasting financial data to corporate stakeholders.
• Analyzes historical and trending KPIs, calendar shifts and promotional/markdown cadences to ensure profitability, collaborating on channel-specific promotions
• Supports Web solution quality by developing and completing test plans.
• Development of reports/dashboards to support the programs.
• Establish and build strong effective working relationships with internal and external business partners.

Requirements:

GPA of 3.4 or above
• Preferred major MBA
• Graduate Students Preferred
• Leadership experience in programs, projects, clubs-preferred

BJ's Wholesale Club is committed to a policy of equal employment opportunity for all qualified team members and applicants for employment without regard to race, religion, color, sex, sexual orientation, age, ancestry, national origin, physical and/or mental disability, genetic information, atypical cellular or blood trait, marital and/or familial status, pregnancy, gender identity and expression, military or veteran status, or any other characteristics protected by applicable law",https://careers.bjs.com/job/Westborough-Home-Office-MDP-Ecommerce-Data-Analyst-Intern-Job-MA-01581/714844000/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Analyst - Intern,Lockheed Martin,"Trumbull, CT",,https://www.lockheedmartinjobs.com/job/trumbull/data-analyst-intern/694/19097528?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Analyst Intern,PartRunner,"Boston, MA","What we do:
PartRunner is a New England-based startup that is revolutionizing how logistics are done for businesses. Called the ""Uber for construction materials"" we focus primarily in the Trades, Construction, industries but we also work with Auto and Healthcare distributors.

We are a B2B last-mile service and leverage a network of independent drivers that have all types of vehicles; from cars, to cargo vans and 24ft box trucks. Our platform allows companies to connect to hundreds of truckers via our web, mobile, and api integrations.

Position overview:
We are looking for a skilled Data Analyst with a passion for technology and the desire to learn and grow, design enterprise software and solutions. Predominantly working on R. You should have experience working directly with Product Managers to prioritize, specify, and delivering results.

Responsibilities
• Develop new capabilities for our Shiny analytical applications
• Routine analytical requests
• Creating reports from deep insight from data
• Bringing data from all platforms to one Shiny Application
• Working on our pricing algorithm

Skills
• R programming (not just analytical) experience (2+ years)
• R-Shiny app building experience
• Understanding of basic SQL
• Understanding of and comfort with basic statistics
• Visualization experience, preferably with R/ggplot especially maps
• Familiarity with git helps
• Ability to deal with messy datasets, pull data from third party sources and use of API
Qualifications:
• 6 months-1 year minimum experience in a related position
• Entrepreneurial minded and self-driven
• Organized and adaptable
• Multi-tasking
• Team Player

PartRunner - Boston, MA

Boston, MA 02115",https://www.internships.com/posting/sam_4028349244?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Analyst Intern (Summer Remote,Vision Solutions,"Burlington, MA","Job Locations US-MA-Burlington | US Job ID 2021-1778 Category Customer Support Type Internship Overview This internship is remote based and applicants can be based within Eastern or Central US time zones. Precisely is a global leader in data integrity, providing accuracy and consistency in data for 12,000 customers in more than 100 countries, including 90 percent of the Fortune 100.

Precisely's data integration, data quality, location intelligence, and data enrichment products power better business decisions to create better outcomes. We are looking for talented individuals with the experience and motivation to join our innovative team. Precisely is currently seeking a Data Analyst Intern in our Software Support group to provide high quality Business Intelligence of our global Customer Support team and providing insight of all Precisely products.

The right candidate will be an integral part of our talented team, supporting our continued growth. The Opportunity Includes:
• A dynamic 10-week paid internship program
• Apply college learning and implement innovative solutions to real-world challenges
• Interaction, networking and exposure to various levels of leadership and management
• Amazing mentorship opportunities
• Top summer interns may be eligible to receive full time offers to join the team following the successful completion of their degree Applicants must meet the following requirements:
• Ability to work 30 hours per week for 10 weeks
• Legally authorized to work in the United

States without the requirement for future sponsorship
• Ability to work remotely which will require a working, reliable internet connection and a quiet and dedicated work space Responsibilities
• Specializes in Data Analysis of Precisely Customer Support, and Precisely Software Products.
• Works with all levels of support to gain perspective on 'day in the life of' case management across all global product sets.
• Collaborate with Global Customer Support Leadership Team to understand KPIs and provide your own unique perspective.
• Gain a strong understanding of underlying source data and dependencies from Customer Support, Customer Experience, Fulfillment, and Sales.
• Create and maintain modern Tableau dashboards that enable business users to dynamically interact and drive self-service.
• Understand and regularly reviews and maintains data from Salesforce.
• Communicates with Global Customer Support Leadership to provide innovative suggestions on processes and procedures on data stewardship
• Learn about the Knowledge Centered Support (KCS) methodology and other Knowledge Management (KM) principles.
• Understand and provide suggestions for improvements to Precisely knowledge base article quality style guides from a software support perspective.
• Participates in special projects as assigned.
• Works to analyze and resolve complex problems in a team environment and consults co-workers and procedures to optimize problem resolution.

Qualifications
• Juniors currently pursuing a Bachelor's Degree related to Data Science, Business Intelligence, Data Analytics, etc.
• Experience using BI tools
• High level of oral and written communication skills in a formal and informal environment
• Ability to meet tight schedules and deadlines
• Excellent interpersonal skills Preferred Qualifications:
• Ability to work effectively in teams and as an individual
• Ability to work with minimal supervision
• The ability to think laterally and use imagination to analyze and solve complex problems
• Analytical and structured thinking
• General familiarity with the digital technologies spanning operating systems, web services, and SaaS solutions.

Benefits
• This position offers a great opportunity to be an integral part of a progressive, growing company fueled by intelligent, driven and committed employees.
• We offer competitive compensation and an opportunity to gain professional experience.

Options",https://us.jora.com/job/Data-Analyst-Intern-cf354ba3b94678e9245a754193e0ca82?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Research Analyst Intern - Virtual/Remote,The Modern Classrooms Project,Anywhere,"Job Description
Expected Start Date: June 1, 2021
Expected End Date: August 31, 2021
Role Type: Part-time Internship (15-20 hours per week)
Location: Remote - no geographical requirements
Hourly Wage: $20/hour

Who We Are:

The Modern Classrooms Project empowers educators to build classrooms that respond to every student’s needs. We lead a movement of educators in implementing a self-paced, mastery-based instructional model that leverages technology to foster human connection, authentic learning, and social-emotional growth.

We have reached over 20,000 educators in 100+ countries with ourinnovative online programs, and continue to expand rapidly. We are an ambitious, idealistic team led by former classroom teachers and we are passionate about what we do.

Job Overview:

We are committed to performing rigorous academic research on the impacts of our teacher-training programs. The position will report to the Research Analyst and support a variety of research projects being conducted at the Modern Classrooms Project through data analysis, literature reviews, and report writing.

The Ideal Candidate:
• Knowledge of education and/or social science research methodologies
• Ability to explain/illustrate data in a clear and compelling way
• Understanding and experience in conducting quantitative and qualitative data analysis
• Highly organized and capable of managing multiple tasks at once
• Self-starter who can think on their feet
• Passionate about making the world a better place, particularly through education

Benefits
Ability to work remotely, Set own hours as approved, Paid internship
Culture
These characteristics describe and define the culture of the Modern Classrooms Project:
• Seek solutions. We are looking for individuals to work with us who are curious and solution oriented. None of us have all of the answers, but we look forward to working with others who want to make impact and find the best next solution.
• Take pride in our work. Details matter, and as an organization who serves incredibly hard working educators, we pay attention to them. We look forward to working with people who also take pride in what they do, and for whom it shows in their work products.
• Look for ways to contribute. We are a small organization, and as such, there are lots of ways to be involved and learn. We love working with people who want to pitch in across teams and connect the dots to help give the best experience possible to our partners.
• Celebrate diversity. We believe in the impact that diversity of thought, experience, and perspective can bring to our team and look forward to learning from everyone we meet.
• Respect each other and those we serve. We believe each person we meet is an expert on their experience, and we want to honor that even as we all grow together.

Responsibilities
• Clean datasets in preparation for analysis
• Perform statistical analysis (z-, t- and chi-square tests, linear regression) of collected data
• Perform qualitative analysis of collected data
• Assist in creating reports and visualizations (charts, tables, PowerPoint slides) to communicate findings to Modern Classrooms Project staff and/or external stakeholders
• Conduct literature reviews and market research
• Assist the Research Analyst in the design of regular surveys of Modern Classroom educators and their students, across hundreds of schools worldwide, both to measure program impacts and to understand educator experiences

Requirements
Authorized to work in the US without sponsorship
Knowledge in: Excel and/or Google Sheets
Knowledge in: Conducting qualitative data analyses
Knowledge in: Conducting quantitative data analyses (t-test, ANOVA, correlation)

Equal Opportunity Employer
Equal Opportunity Employer: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin.

Requisition #ckmcegyq82yqk0nqmcoz3v4nx",https://tarta.ai/j/xXmUingBrJRKg1c1rFy5-research-analyst-intern-virtual-remote-in-nashua-nh-at-the-modern-classrooms-project?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Data Analyst Internship,Maximus,Anywhere,"**Essential Duties and Responsibilitie**s:

- The intern designs, documents, and studies business processes with the goal of driving process repeatability and improvement through efficient process design, quantitative process analysis, and staffing optimization.

- The position is responsible for overseeing the effective use of reports and developing and maintaining accurate call center and/or operations forecasts using statistical and other quantitative analysis methods to support development of efficient staffing plans.

- The position closely collaborates with the corporate BPM function for best practice methods and technical expertise. Training and mentorship on best practices and key skills will be provided.

- Emphasizing effective collaboration with all process stakeholders, the intern will learn to design and document processes and workflow using Business Process Management Notation (BPMN- standards-based modeling language), determine the impact of proposed changes on underlying processes, and make appropriate recommendations for process-design and execution that will positively impact operational effectiveness especially staffing optimization.

- The intern will assist in the development of all formal process documentation which includes, process models, business requirements traceability matrixes, and use case documentation.

- The intern ensures all process documentation adheres to existing best practices, is accurate, correctly detailed, and kept up-to-date and organized in the appropriate repository.

- The intern prepares and maintains plans to ensure that agreed upon delivery schedules for existing, new and/or modified reports are meet.

- The position also analyses process performance using existing reporting capabilities in order to detect process performance problems and define improvements. The position provides to management staff on the development of new reports and the modification and interpretation of existing reports",https://www.zippia.com/cambridge-ma-jobs/data-analyst-internship-dlp/?41c86f584ba38d333c51a07d42f75a5b40c12e31&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
