title,company,location,requirements,link
Data Engineer Intern,Hasbro,"East Providence, RI","At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values – community, passion, integrity, creativity and inclusion – help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro’s brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):
• Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
• Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
• Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.

What you'll bring:
• Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
• Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
• Intermediate SQL skills, ability to design and optimize queries and create data structures.
• Excellent written and verbal communication skills – will gain experience working with business stakeholders and senior leaders.
• Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
• Professionalism and strong focus on customer.
• Remove candidates living in the US may be considered.

Hasbro’s world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here’s a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status",https://jobs.hasbro.com/job/East-Providence-Data-Engineer-Intern-Rhod/722323100/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Engineer Intern,"Hasbro, Inc.","Rumford, RI (+1 other)","Data Engineer Intern job in East Providence - Providence County, Rhode Island, USA / United States

Location:
East Providence - Providence County, Rhode Island, United States
Salary:
Competitive
Type:
Permanent
Main Industry:
Information Technology
Other Industries & Skills:
Management & Executive, Secretarial, Office & Administration
Advertiser:
Hasbro
Job ID:
109086857
Posted On:
11/04/2021

At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values - community, passion, integrity, creativity and inclusion - help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro's brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):

-Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
-Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
-Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.

What you'll bring:

-Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
-Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
-Intermediate SQL skills, ability to design and optimize queries and create data structures.
-Excellent written and verbal communication skills - will gain experience working with business stakeholders and senior leaders.
-Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
-Professionalism and strong focus on customer.
-Remove candidates living in the US may be considered.

Hasbros world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Heres a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status.

Apply For This Job Add to job basket Email me jobs Find similar jobs Jobs for Hasbro Search for other jobs Email Job to a Friend
.

Apply:

Your email address:

Your country of residence:
Please Select a CountryAfghanistanAlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntigua and BarbudaArgentinaArmeniaArubaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBermudaBhutanBoliviaBosnia and HerzegovinaBotswanaBrazilBritish Indian Ocean TerritoryBritish Virgin IslandsBruneiBulgariaBurkina FasoBurundiCambodiaCameroonCanadaCayman IslandsCentral African RepublicChileChinaColombiaComorosCosta RicaCroatiaCubaCyprusCzech RepublicDemocratic Republic of the CongoDenmarkDjiboutiDominicaDominican RepublicEast TimorEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEswatiniEthiopiaFalkland Islands (Islas Malvinas)Faroe IslandsFiji IslandsFinlandFranceGabonGambiaGeorgiaGermanyGhanaGibraltarGreeceGreenlandGrenadaGuadeloupeGuamGuatemalaGuineaGuinea-BissauGuyanaHaitiHondurasHong KongHungaryIcelandIndiaIndonesiaIranIraqIrelandIsraelItalyIvory CoastJamaicaJapanJordanKazakhstanKenyaKiribatiKuwaitKyrgyzstanLaosLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMacedoniaMadagascarMalawiMalaysiaMaldivesMaliMaltaMartiniqueMauritaniaMauritiusMexicoMicronesiaMoldovaMonacoMongoliaMontenegroMontserratMoroccoMozambiqueMyanmarNamibiaNepalNetherlandsNew ZealandNicaraguaNigerNigeriaNorth KoreaNorwayOmanPakistanPalauPanamaPapua New GuineaParaguayPeruPhilippinesPitcairn IslandsPolandPortugalPuerto RicoQatarRepublic of the CongoRomaniaRussiaRwandaSamoaSan MarinoS o Tom and Pr ncipeSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSouth Georgia and the South Sandwich IslandsSouth KoreaSouth SudanSpainSri LankaSt. Kitts and NevisSt. LuciaSt. Vincent and the GrenadinesSudanSwedenSwitzerlandSyriaTaiwanTajikistanTanzaniaThailandTogoTongaTrinidad and TobagoTunisiaTurkeyTurkmenistanTurks and Caicos IslandsTuvaluUgandaUkraineUnited Arab EmiratesUnited KingdomUnited StatesUruguayUzbekistanVanuatuVatican CityVenezuelaVietnamYemenZambiaZimbabwe

Important: Never supply bank or financial information to job advertisers. If you see a vacancy and bank details or money are requested, email support@tiptopjob.com",https://www.internships.com/posting/bug_38967759995?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
HitS Platform Intern-Data Engineering,WuXi AppTec,"Natick, MA","DEL (DNA-encoded library) is a rapidly growing drug discovery platform at HitS Business Unit in WuXi AppTec. This cutting-edge multidisciplinary platform combines the latest technologies in chemistry, chemical biology, biology and informatics. We are seeking for highly motivated and enthusiastic intern to join this platform. The candidate will collaborate closely with other functional teams in maintaining and developing our data platform, developing data-based applications and participating in data analysis and reporting.
• Participate in developing machine learning applications.
• Participate in developing web-based applications.
• Maintain and develop the cloud-based data analytics platform.
• Assist the team in cloud system administration.
• Assist the team in database management.
• Work with the scientists as a team to assist DEL data analysis and reporting.
• S, or M.S. students in software engineer, computer science, computational biology, computational chemistry and related fields.
• Additional experience in chemistry, bioinformatics, cheminformatics, and biophysics is a plus.

Knowledge / Skills / Abilities
• Familiarity with AWS tools and infrastructures;
• Understanding in docker, RDMS, batch computing, and/or deep learning.
• Good technical communication skills;
• Good problem solving skills;
• Solid coding experience in shell scripting, python, java, PhP or Go.

Physical Requirements
• Ability to stand /Sit/walk for long periods of time;
• Ability to travel via plane or train.

An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

This job description does not state or imply that the above are the only duties and responsibilities assigned to this position. Employees holding this position will be required to perform any other job-related duties as requested by Management",https://www.linkedin.com/jobs/view/hits-platform-intern-data-engineering-at-wuxi-apptec-2479157754?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Data Modeler/Quality Engineer,Pearson,"Providence, RI","Job Information

Pearson Intern - Data Modeler/Quality Engineer in Providence, Rhode Island

Intern - Data Modeler/Quality Engineer - ( 2102487 )

Description

PEARSON INTERNSHIP PROGRAM

Data Modeler/Quality Manager

Pearson Interns - Helping shape the future of education

Why join Pearsons intern program?

Pearson is the worlds learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology; were shaping the future of teaching and learning.

Were looking for the next generation of talented undergraduates to join our team for an unforgettable 10-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.

As one of our interns, you will gain a comprehensive introduction to our business. Youll be assigned to a team and work on real-life projects that bring our products and services to life. On the job training and professional development will be provided to enable you to contribute to the business. Youll also have direct access to a senior member of the team, as each intern will be mentored to help you make the most of the ten-week program.

We foster a work environment thats inclusive as well as diverse, where our people can be themselves. Every idea and perspective is valued so that our products reflect the people we serve our teachers and learners.

What Does the Internship Program Offer?

Successful candidates will spend 10 weeks working with our technology teams.

Youll be paid for the duration of your internship. The internship begins on Monday, June 7 th and ends Friday, August 13 th .

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

What are we looking for:
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• The ideal candidate will be detail oriented, self-directed, self-motivated, with a strong capacity for working successfully and flexibly with team members
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• Previous project work in using or presenting quantitative data analysis
• Previous use of tools such as SQL, python, Snowflake, Databricks, Tableau preferred

Job description
• Ability to understand and capture product requirements and technical solutions through charts, diagrams, and data
• Manipulating data using statistical analysis techniques such as machine learning, time-series analysis, multiple linear/logistic regression, anomaly detection, forecasting and simulation.
• User data and analysis to understand and optimize Pearsons customer experience
• Develop reports and visualizations for internal department sharing learned insights into Pearsons customers

The anticipated starting salary range for Colorado-based individuals expressing interest in this position is $30/hr. This position is not bonus eligible. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• The ideal candidate will be detail oriented, self-directed, self-motivated, with a strong capacity for working successfully and flexibly with team members
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• Previous project work in using or presenting quantitative data analysis
• Previous use of tools such as SQL, python, Snowflake, Databricks, Tableau preferred

Primary Location : US-RE-Remote

Other Locations : US-California

Work Locations :

US-Remote

Remote

Job : Project/Temporary Workforce

Organization : Technology & Operations

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Job Posting : Feb 24, 2021

Job Unposting : Ongoing

Schedule: : Full-time Temporary

Req ID: 2102487",https://www.internships.com/posting/bug_38956307844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Engineer,Pearson,"Providence, RI",,https://www.internships.com/posting/bug_38956307844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr. Data Engineer,Pearson,"Providence, RI",,https://www.internships.com/posting/bug_38956307844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Mechanical Engineering Intern,TRC Companies,"Providence, RI","Job Description

Note: By applying to this position, your application is automatically submitted to our Summer Internship Program openings in over 140 locations throughout the U.S

TRC Companies, Inc., a pioneer in groundbreaking scientific and engineering developments since the 1960's, is a national engineering and environmental consulting firm that provides integrated services to the energy, environmental and infrastructure markets. TRC serves a broad range of clients in industry and government, implementing complex projects from initial concept to delivery and operation.

TRC is seeking a highly motivated and diverse Technical Interns (STEM - Science, Technology, Engineering and Math) for our Summer 2021 intern program. This is a paid full-time position. Anticipated duration will be from June through August 2021 (flexible). This position has the potential to transition into a Full-Time role upon graduation. The successful candidate will work under the supervision of Project Managers and Team Leaders and partner with engineers, scientists, and technologists.

Our Technical Interns:
• Support various project tasks including regulatory requirements/reviews, cost estimates, research, procurement support, etc.
• Perform data entry, data management, data evaluation, and data presentation
• Support the preparation of reports, plans and specifications for client
• May work on field assignments as needed
• Will be supported by leaders, mentors and teammates
• Perform other related duties and responsibilities as necessary
• This is a full-time, paid position
• Anticipated duration will be from June through August 2021 (flexible)
Requirements

Minimum Requirements
• Must be at least 18 years old
• Pursuing Bachelor or Associate Degree in STEM (Science, Technology, Engineering and Math) or related field
• Minimum GPA of 3.0
• Has excellent verbal and written communication skills
• Possesses solid technical and problem-solving skills
• Self-motivated, detail orientated person
• Proficient in Microsoft Office (Excel, Word, and PowerPoint)
• Honest, fun, hard-working and ready to learn and grow

Preferred Qualifications
• Experience with engineering software applications (AutoCad, MathCad, ESRI, HydroCad, WaterCad, ARCView GIS, etc.) is preferred but not requiredTRC offers advancement potential and a competitive compensation package dependent upon level of education, technical capabilities, and market conditions. A 401k plan with a company match is also available. For more information please visit our website at www.trccompanies.com EOE Minorities/Females/Protected Veterans/Disabled
Additional Locations

Pittsburgh, PA - PITPN

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information",https://tarta.ai/j/Di6jcngBrJRKg1c1Q5Ez-mechanical-engineering-intern-in-providence-rhode-island-at-trc-companies?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer (Data Engineering) Intern,Addepar,"New York, NY","Engineering is at the core of Addepar and we are looking to add the best, brightest, and most passionate software engineers to our team. If you are excited about doing the best work of your career and you enjoy the rush of shipping high quality code to production every day we’re excited to meet you! Our software engineers come from a variety of backgrounds, ranging from Silicon Valley entrepreneurs to finance tech veterans. What they have in common is tremendous talent and dedication to architecting, implementing, and shipping high quality software.

Intern Program Dates: May 24 - Aug 13, 2021

Our Engineering Teams
• Data Engineering: build systems to ingest the world’s investment data and aggregate it into a single platform.

Requirements
• Extraordinary talent in software engineering. Ability to write high quality object oriented code.
• Excellent written and verbal communication skills.
• Working knowledge of development best practices and experience working in a team.
• Ability to explore complex problems spaces objectively from multiple points of view.
• General familiarity with some of the technologies we use:
• HTTP, REST and web API best practices.
• Modern JavaScript and/or EmberJS.
• SQL, relational databases and key-value stores.
• Messaging/queuing and transaction log frameworks.
• Linux proficiency, basic shell scripting and a solid grasp of systems level programming is a plus.
• Specific knowledge of Java, Python, EmberJS and/or JavaScript are a plus.
• Specific experience in or knowledge of financial data systems is a plus.

Addepar is a wealth management platform that specializes in data aggregation, analytics and reporting for even the most complex investment portfolios. Founded in 2009 by Joe Lonsdale, who currently serves as an active Chairman of its Board of Directors and General Partner at 8VC, the company's platform aggregates portfolio, market and client data all in one place. It provides asset owners and advisors a clearer financial picture at every level, allowing them to make more informed and timely investment decisions. Addepar works with hundreds of leading financial advisors, family offices and large financial institutions that manage data for over $2 trillion of assets on the company's platform. In 2020, Addepar was named as a Forbes Fintech 50 company and honored as a member of the CB Insights Fintech 250. Addepar is headquartered in Silicon Valley and has offices in New York City and Salt Lake City. All brokerage services offered through Acervus Securities Inc., member FINRA / SIPC.

Addepar is proud to be an equal opportunity employer. We seek to bring together diverse ideas, experiences, skill sets, perspectives, backgrounds, and identities to drive innovative solutions. We commit to promoting a welcoming environment where inclusion and belonging are held as a shared responsibility.

In order to ensure the health and safety of all Addepeeps and our prospective candidates, we have instituted a virtual interview and onboarding experience",https://boards.greenhouse.io/addepar1/jobs/5147810002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Engineering Intern,PepsiCo,"New York, NY (+1 other)","Auto req ID: 221026BR
Job Description

We are PepsiCo

PepsiCo is a global food and beverage leader operating in more than 200 countries and territories with a product portfolio that includes 22 world-famous, billion-dollar brands. From Gatorade to Quaker, LIFEWTR to Lay’s, we make hundreds of enjoyable foods and beverages that are loved throughout the world.

Guiding PepsiCo is our vision to be the global leader in convenient foods and beverages by Winning with Purpose. “Winning with Purpose” reflects our ambition to win sustainably in the marketplace and embed purpose into all aspects of the business.

Our employees drive our culture. No two days are the same; we’re dynamic and full of passionate teams embracing new ideas through our collaborative spirit. At PepsiCo, what makes you unique, makes us better!

Functional Description:

PepsiCo operates in an environment undergoing immense and rapid change, driven by eCommerce and emergent retail technologies. To ensure continued success in the food and beverage space, PepsiCo has assembled a dedicated eCommerce team – tasked with optimizing eCommerce operations and developing innovations that will give PepsiCo a sustainable competitive advantage. While tied closely to broader PepsiCo, the eCommerce group more closely resembles a start-up environment; embracing the core values of having bias for action, being results oriented, maintaining a community-focus, and prioritizing people.

What you can expect:

PepsiCo eCommerce is looking to hire summer intern to join Supply Chain Data Engineering Team. The team applies Data Warehouse and Cloud techniques to build data pipelines to provide supply chain data like orders, fulfillment, customer, product from different sources for our business, customer and Data Science team.
We are looking for interns who can develop and design ETL systems and manage large datasets for eCommerce.
Roles available in the following locations:

San Francisco, CA/ Palo Alto, CA
Qualifications/Requirements

Minimum Qualifications:
• Pursuing BS or MS degree in Computer Science or a related technical field.
• Exposure to Python or any other programming languages.
• Good understanding of RDBMS database and SQL language.
• Knowledge of ETL processes.
• Knowledge with AWS or any other cloud technology.
• Strong verbal and written communication skills.
• Good team player.
Good to have:
• Knowledge of Web Scraping.
• Knowledge of Airflow, Kubernetes and Docker.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.
PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901-4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy.

Please view our Pay Transparency Statement
Relocation Eligible: Not Eligible for Relocation

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",https://www.pepsicojobs.com/jobs/221026BR?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
A/AI Machine Learning Engineer Intern,Lockheed Martin,"Shelton, CT","Description:The Enterprise Operations Artificial Intelligence Team is looking for software engineers who possess passion for conceptualizing, building, testing and maturing autonomous systems. This position provides the opportunity to apply technical standards, principles, theories, concepts and techniques in the software field to develop tangible, differentiated and meaningful solutions aimed at significantly enhancing the sustainment of complex systems and enabling future hyper-battlespace capabilities.

The selected candidate will be part of a range of projects during Summer 2021 which include short-term sprints (rapid prototyping) and long-term engagements (integration, maturation of prototypes). The team is focused on supporting major projects through the use of a small, innovative core team, leveraging AI to create and sustain state-of-the-art technologies across several Lines of Business.

The Radio Frequency Modeling and Visualization intern will work on cognitive radio and signal processing systems. The selected candidate should expect to analyze collected data using visual and mathematical techniques in order to develop an intuitive suite of engineering tools for benchmarking state of the art AI/ML systems. These tools will be used in the preparation for and post-mission analysis of live system tests. The selected candidate will be exposed to high fidelity modeling and simulation techniques and will be paired with a senior engineer experienced in modeling, simulation and AI/ML system design. Required qualifications are: (1) an in-progress degree in a technical field such as computer science, mathematics, or engineering; (2) prior exposure to programming and data analysis in Python. Desired qualifications include: (1) prior exposure to Python libraries numpy, pandas, and scikit; (2) some knowledge of signal processing and/or control systems. Responsibilities will include: development of scripts to analyze flight test data, development of post-processing tools to visualize model outputs, development of benchmarking tools to analyze cognitive radio system performance, and presentation of results to senior engineers and team leadership. The candidate must exhibit self-motivation, a strong work ethic, time management and interpersonal skills.

Must be a US Citizen.

The team's preference is for a candidate who will be based in Shelton, CT, but the candidate can potentially work at any major Lockheed Martin facility, or even remotely.
Basic Qualifications:
• Pursuing a Bachelor’s Degree in Engineering, Computer Science, or other related discipline from an accredited university.
Desired Skills:
Specific:
• Prior exposure to Python libraries numpy, pandas, and scikit;
• Some knowledge of signal processing and/or control systems.

General:
• Experience developing prototype software
• Experience applying modern Computer Vision or RF signal processing
• Background in high-performance computing (CUDA), embedded HPC a plus
• Experience with DevOps tools: Docker, Git [GitLab, GitHub], Continuous Integration [CI], Continuous Deployment [CD]
• Experience with network/messaging (UDP, ZeroMQ, RESTful API, etc.)
• Experience developing applications on Linux
• Experience with C++
• Experience interfacing with databases (SQL, MongoDB, etc",https://www.lockheedmartinjobs.com/job/shelton/a-ai-machine-learning-engineer-intern/694/18911836?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
