title,company,location,requirements,link
Data Scientist Intern,Oracle,"Providence, RI","This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act..

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.
• Oracle is an Affirmative Action-Equal Employment Opportunity Employer.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.
• This is a remote/office based position which may be performed anywhere in the United States except for within the state of Colorado.
• Data Scientist Intern Summer 2021* At Oracle Utilities, we're applying cutting-edge computer science to one of humanity's greatest challenges: Energy.

Our utility customers in the United States and abroad give us energy usage data for tens of millions of their customers, which we then analyze using state-of-the-art machine learning techniques. The Data Science Team at UGBU builds many of our key insights and analytics, owning them from initial research all the way to scalable, multi-client models that can be deployed at scale for millions of customers around the world, to help consumers save energy and transform how utilities engage with their customers. Right now, we're currently using deep learning techniques, smart meter data, and cutting-edge big data tools to learn how people use energy on a per-appliance basis, with more projects like this on our roadmap.

We are seeking highly motivated students with data science/statistics expertise to join our team for the summer. You will be involved in high profile projects; you will conduct data analysis and develop data science models to solve important business problems. You will have the opportunity to engage collaboratively with the teams throughout the organization and present your findings to a broad audience..

Requirements:*.

Currently pursuing an undergraduate degree or graduate degree in Data Science, Computer Science, Statistics or related fields. Experience evaluating, fitting, and interpreting results of common data science models. Experience with Python. Self-motivated, independent, organized and proactive.

Ability to think critically and work autonomously.*Interns are hired as Oracle Temporary employees whose full or part-time assignments generally range from a two-week minimum to six months, with a one-year maximum. The company makes no express or implied commitment that your temporary employment will have a minimum or fixed term as employment with Oracle is at-will.
• /If you are interested in working at Oracle and you have more than 2 years of professional full-time work experience (excluding internships, research and/or teaching assistant roles, and/or military experience), please apply to Oracle's experienced job openings. For information on currently open positions at Oracle, please visit*http://oracle.com/goto/careers.*/*Oracle is an Equal Employment Opportunity Employer.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law..

As part of Oracle's standard employment process, candidates will undergo a complete background check prior to an offer being extended. These background checks are conducted by a professional third party firm at no charge to the applicant and include: prior employment verification, education verification, social security trace, criminal background check and motor vehicles records (where required for position)..
• Job:
All Roles
Organization:
Oracle
Title:*.Data Scientist Intern
Location:*.United States
Requisition ID:*.210007RG
Other Locations:*.

US-VA,Virginia-Arlington",https://www.resourcecenter.com/job-in-Providence-Rhode-Island-USA/DATA-SCIENTIST-INTERN-b8a57bf2693f1e8c/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Science Intern,Chegg Inc.,Anywhere,"DATA SCIENCE INTERNSHIP
Remote, United States

Organization: Chegg Skills Data Science & Analytics

The Chegg Skills Data Science & Analytics team is composed of data scientists and business analysts. The team influences strategy and works closely with the product, engineering, marketing, and business leaders and is responsible for generating insights and reporting for the new careers products and services at Chegg.

Role: Data Science Internship

We’re looking for highly motivated interns to join our team and work on a number of applied data science and analytics problems within the education and career space. Interns on our Data Science team will apply data mining and analytical skills to help make critical business decisions and drive key business metrics.

Responsibilities
• Work closely with others on the Data Science & Analytics team, as well as cross-functionally with product, marketing, engineering, and business teams to understand project goals.
• Identify, gather and transform data from a variety of sources.
• Perform rigorous statistical analysis, including significance testing, forecasting, and modeling.
• Build dashboards, slide decks, reports, and presentations to share analytical insights with stakeholders and business leaders.

Requirements
• Pursuing a Bachelor/MS Degree in a quantitative field (computer science, statistics, engineering, economics, or a related field)
• A strong interest in using data mining and statistical models to understand user needs, drive business metrics and improve product efficiencies
• Strong data extraction skills using SQL
• Experience with advanced analytical and data visualization methods
• Experience with a scripting language, preferably Python or R
• Self-motivated; independent, organized, and proactive; highly responsive, flexible, and adaptable when working across multiple product teams
• Comfort working in a fast-paced environment with real-world data that may be ambiguous or incomplete
• Strong creative and critical thinking skills. Attention to details.
• Buy-in to Chegg’s mission of providing support for students undertaking their next big challenge
• Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
• Have the ability to work for a continuous 10 weeks in the summer of 2021

Nice To Have
• Experience with Databricks
• Experience using Amazon Web Services
• Experience building dashboards through platforms like Tableau

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/data-science-intern-at-chegg-inc-2419654465?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Science Intern,Merck & Company,"Providence, RI","Job Information

Merck 2021 -Data Science Intern in Providence, Rhode Island

Job Description

The Future Talent Program features internships that lasts up to 12 weeks and will include one or more projects. These opportunities can provide you with great development and a chance to see if we are the right company for your long-term goals.

Our company's Animal Health Intelligence (AHI) division provides deep analytical insights and develops products for the market to aid in animal traceability, monitoring, well-being, and more. Our Company's Animal Health Intelligence (AHI) is seeking talented students to join our software development group as a Data Science summer intern. Were looking for enthusiastic, creative, capable and motivated college students who are eager to learn and contribute to our team from day one. This is an exciting opportunity to work in a start up like atmosphere although within a fortune 100 company.

Program Information:

The Internship duration is 12 14 weeks and will include one or more projects. As a Data Science intern, you will have an opportunity to apply your data science and engineering skills to solve real business challenges by turning data into actionable insights. Youll be responsible for developing advanced modelling techniques and develop machine learning algorithms. We expect you to be able to think creatively about the data, to come up with practical business questions and to present insights and recommendations to key stakeholders.

In this internship, youll have a chance to learn about:
• Modern system architectures
• Working with modern technologies like Sage Maker, Amazon Web Services (AWS), automation, and more
• Developing and deploying scalable models
• Transitioning data into recommendations and story telling

Required Education and Experience:
• Candidates must be currently enrolled in a Bachelors or Masters program with a graduation date of Fall 2021 or 2022
• Candidates must have experience with visualization tools (eg. Tableau, Power BI, D3, etc.)
• Candidates must have experience with scripting language such as Python or R
• Candidates must have experience with SQL and ability to combine data form multiple data sources
• Candidates must have ability to derive and communicate business insights to technical and non-technical stakeholders
• Candidates must have strong interest in using data and analytics to understand user needs, drive business metrics and provide strategic recommendations
• Candidates must be proactive, passionate, and possesses a high desire to learn
• Candidates must be very disciplined and able to work with minimal supervision remotely
• Candidates must have display maturity and a high level of professionalism
• Candidates must have experience and drive in solving problems with code
• Candidates must have strong analytical and interpersonal skills

Preferred Experience and Skills:
• Candidates should have a GPA of 3.3 or higher
• Candidates should have BA BS BE or master's student with a major in Science, Technology, Engineering, Math, Data Science, Machine Learning, Statistics, Computer Science, Information Systems or a related field
• Candidates should have participation in code competitions or large meaningful research project
• Candidates should have Built statistical / mining techniques on large data sets to identify trends, figures and other info
• Candidates should have Proficiency in multiple languages such as Python, JavaScript, Go, C++, Java, PHP, etc.
• Candidates should have Worked with large data such as Hadoop, Data Lakes, Snowflake, Redshift, Azure Data Lake
• Candidates should have Basic knowledge of Cloud Engineering and Services (EC2, S3, AWS Lambda, Step Functions, Infrastructure as Code, Containers, Kubernetes, Fargate/ECS)

Our Support Functions deliver services and make recommendations about ways to enhance our workplace and the culture of our organization. Our Support Functions include HR, Finance, Information Technology, Legal, Procurement, Administration, Facilities and Security.

Who we are

We are known as Merck & Co., Inc., Kenilworth, New Jersey, USA in the United States and Canada and MSD everywhere else. For more than a century, we have been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Today, our company continues to be at the forefront of research to deliver innovative health solutions and advance the prevention and treatment of diseases that threaten people and animals around the world.

What we look for

In a world of rapid innovation, we seek brave Inventors who want to make an Impact in all aspects of our business, enabling breakthroughs that will affect generations to come. We encourage you to bring your disruptive thinking, collaborative spirit and diverse perspective to our organization. Together we will continue Inventing For Life, Impacting Lives while Inspiring Your Career Growth .

INVENT.

IMPACT.

INSPIRE.

FTP2021

US and Puerto Rico Residents Only:

Our company is committed to inclusion, ensuring that candidates can engage in a hiring process that exhibits their true capabilities. Please click here (https://survey.sogosurvey.com/r/aCdfqL [survey.sogosurvey.com]) if you need an accommodation during the application or hiring process.

For more information about personal rights under Equal Employment Opportunity, visit:

EEOC Poster (https://www.dol.gov/sites/dolgov/files/ofccp/regs/compliance/posters/pdf/eeopost.pdf)

EEOC GINA Supplement

OFCCP EEO Supplement (https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf)

We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one anothers thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.

Search Firm Representatives Please Read Carefully

Merck & Co., Inc., Kenilworth, NJ, USA, also known as Merck Sharp & Dohme Corp., Kenilworth, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.

Employee Status:

Intern/Co-op (Fixed Term)

Relocation:

No relocation

VISA Sponsorship:

No

Travel Requirements:

No Travel Required

Flexible Work Arrangements:

Not Specified, Remote Work

Shift:

Valid Driving License:

Hazardous Material(s):

Number of Openings:

1

Requisition ID: R106787",https://www.internships.com/posting/bug_38969162819?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Intern - Advanced Solutions, Energy Data Scientist - Campus",Guidehouse,"Providence, RI","Job Information

Guidehouse Intern - Advanced Solutions, Energy Data Scientist - Campus 2021 in Providence, Rhode Island

Overview

Guidehouse is a leading management consulting firm serving the public and commercial markets. We guide our clients forward towards new futures that build trust in society and your professional skills along the journey. Join us at Guidehouse.

Responsibilities

During your internship assignment you will join our analytics team supporting Guidehouses Energy, Sustainability, and Infrastructure group. As a member of our team you will have an opportunity to work with utilities and energy providers, investors and large corporations, NGOs, or the public sector to create sustainable, resilient communities and infrastructure. You will have the opportunity to perform a wide range of analytics-related activities including evaluating decarbonization, electrification, energy efficiency, load management, transportation electrification, and energy storage programs forecast distributed energy resource market adoption at granular locational and temporal levels; conduct grid resiliency analytics, inform grid modernization and enhance the operational performance of grid assets; develop load forecasting models used for resource and revenue planning and performing analytics to inform rate design; use analytics to inform client business strategy and identify process improvements.

Qualifications

Required:
• Pursuing B.A./B.S. or M.A./M.S. in Data Science, Economics, Statistics, Applied Mathematics, Computer Science, Operations Research, Environmental Engineering/Science, Computational Physics or other analytics degree
• Knowledge of analytical models, methods, applications and tools, such as:
• Statistical analysis, regression modeling, predictive modeling, simulation, machine learning
• Selecting and applying the right analytical techniques
• Analyzing large and complex data sets, with strong aptitude for conducting quantitative analysis
• Proficiency in one or several programming languages, such as R or Python
• Proficiency with spreadsheets, word processing, and slide presentation software

Desired:
• Interest in clean energy solutions, smart grid, demand management, electric mobility, decarbonization, pricing/rates, and/or advanced grid technologies
• Contributing as a team member: understanding personal and team roles, contributing to a positive working environment by building strong, collaborative relationships with team members

Additional Requirements

The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.

This is a temporary Position under 3 months in length, expected to run June 7th through July 30th of 2021.

Disclaimer

About Guidehouse

Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.

Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.

Rewards and Benefits

Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:

Medical, Rx, Dental & Vision Insurance

Personal and Family Sick Time & Company Paid Holidays

Parental Leave and Adoption Assistance

401(k) Retirement Plan

Basic Life & Supplemental Life

Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts

Short-Term & Long-Term Disability

Tuition Reimbursement, Personal Development & Learning Opportunities

Skills Development & Certifications

Employee Referral Program

Corporate Sponsored Events & Community Outreach

Emergency Back-Up Childcare Program

Position may be eligible for a discretionary variable incentive",https://www.internships.com/posting/bug_38956337744?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Engineer Intern,Hasbro,"East Providence, RI","At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values – community, passion, integrity, creativity and inclusion – help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro’s brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):
• Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
• Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
• Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.

What you'll bring:
• Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
• Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
• Intermediate SQL skills, ability to design and optimize queries and create data structures.
• Excellent written and verbal communication skills – will gain experience working with business stakeholders and senior leaders.
• Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
• Professionalism and strong focus on customer.
• Remove candidates living in the US may be considered.

Hasbro’s world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here’s a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status",https://www.internships.com/posting/sam_4029394571?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Scientist Intern,"Citizens Financial Group, Inc","West Warwick, RI","Job Description Description: We're developing the next generation of data scientists The banking industry is evolving rapidly and dramatically, driven by customer demands for great experiences, simple solutions, and innovative ideas. Join us as we look to enhance the customer and colleague experience by harnessing the power of data and advanced analytics. Experience during the program NOTE: THIS INTERNSHIP PROGRAM BEGINS IN EARLY JUNE 2020 The Data Scientist Intern is responsible for assembling, managing, and investigating data to be used for various analytical purposes including developing insights, optimizing investment spend, identifying new marketing opportunities, and providing strategic direction to senior management. This full-time position allows a student to work within a big data business environment and leverage that environment to support development of models, insights, and data intelligence that drive retention/growth programs and optimization of a variety of bank functions, including origination, servicing and account management, operations, underwriting, risk, etc. Please note: this internship will be based in Columbus, OH. Tasks can include: Investigating/mining new data streams to assess utility and ability to connect to existing environment Maintaining and executing programs to merge/assemble data for analytic uses Researching growing market trends and mine the Citizens data intelligence to develop new insights that can guide the strategic direction of the Citizens Bank lines of business Documenting and communicating technical/analytic results for a non-technical audience Qualifications: What you'll need to apply Bachelor's Degree in Statistics, Mathematics, Applied Math, Data Analytics or related Pursuing a Masters degree with an expected graduation date of December 2020 or May 2021 Statistical programming experience with variety of data/analytic software languages/tools (e.g., SQL, SAS, R, Splus, etc.) Ability to work in a team environment and collaborate with colleagues who have a background in statistics, database development/maintenance, and information technology Knowledge of a variety of statistical concepts and procedures, such as: generalized linear models, experimental design, stochastic processes, response surface methodology, and statistical graphics Ability to understand, prepare, and present statistical results Preferred Qualifications: Strong programming skills and ability to utilize a variety of data/analytic software languages/tools (e.g., SQL, SAS, R, etc.) Full-time 40 hours/week in summer and breaks; flexible during school year Key Success Factors: Eagerness to learn about a big data environment within a large, retail bank Primary Location: US-RI-Rhode Island Work Locations: RI-Work at Home Job: Intern Organization: USA01_Citizens Financial Group Schedule: Temporary Employee Status: Full-time Travel: No Job Posting: May 1, 2020, 4:57:33 PM",https://westwarwick-ri.geebo.com/jobs-online/view/id/777996369-data-scientist-intern-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer or Fall 2021: Machine Learning Scientist Intern,iRobot,"Providence, RI","INTRODUCTION

iRobot Corporation, with a mission of ""empowering people to do more"" is at the forefront of the development of robotics and artificial intelligence technologies. iRobot has become one of the world's preeminent specialist designers and builders of consumer robots. iRobot invests in the development and growth of its people, in a culture of empowerment, innovation and fun. Come work with some of the most talented and influential people in the robotics field utilizing cutting edge technologies, in an exciting, fast-growing industry!

Our team's mission is to lead the intelligence revolution for robots, leveraging the power of Machine Learning. Join our Machine Learning team to help us make our robots smarter! If you have a passion for machine learning and working on data at scale, let's talk.

WHAT YOU WILL DO:

- Work with state-of-the-art tools and frameworks to build scalable and efficient machine learning solutions
- Work closely with machine learning engineers and data platform team to enable faster ML based application development
- Leverage cutting edge research and solutions to build compelling production ML solutions

TO BE SUCCESSFUL YOU WILL HAVE:

- 2+ years of software development with Python
- 1+ years of experience with machine learning, data engineering and deep learning frameworks
- 1+ years of applied deep learning solution development
- Strong communication skills

DESIRED QUALIFICATIONS:

- Experience working with image and video data
- Experience with TensorFlow and PyTorch
- Experience with TFLite
- Previous experience building machine learning pipelines
- Experience with embedded machine learning
- Experience working with public cloud providers (AWS or GCP or Azure)
- Cloud certifications
- Experience with Django or similar frameworks
- Experience with Kubernetes
- Experience working with Serverless cloud computing services

RESEARCH AREAS WE ARE INTERESTED IN:

- 2D and 3D object detection
- Semantic segmentation
- Monocular and stereo depth estimation
- Neural network optimization and quantization
- Uncertainty estimation
- Few shots learning
-

IN RETURN YOU CAN EXPECT:

- A supportive environment to learn and grow with cutting edge technologies
- Opportunity to help design and influence production systems

Do you want to steer the future of one of the largest consumer robot companies in the world? You will have a hand in developing the next generation of products that will live in millions of homes across the world. As a pioneer in the robot industry, our goal is to drive innovation, serve as an industry catalyst and change the world by empowering people to do more.
IF THE SCOPE AND OPPORTUNITY OF THIS ROLE INTERESTS YOU, THEN PLEASE CLICK TO APPLY",https://www.usajobcentral.com/job/summer-or-fall-2021-machine-learning-scientist-intern-in-providence-rhode-island/5836-1148275943E7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Summer Graduate Data Science Intern,Chewy,"Boston, MA (+1 other)","Our Opportunity:
Chewy is hiring enthusiastic, action-oriented, statistics-focused Master’s students for our 2021 Data Science Summer Internship Program. Our Data Science interns should have a dense skill set in statistics and should be dedicated to solving some of the most analytically complex problems here at Chewy.

The Data Science team at Chewy works across the platforms of marketing, e-commerce, and supply chain. As an intern, you will play a pivotal role in identifying growth opportunities, cost-savings efficiencies, as well as shaping the direction of the broader organization. Ideal candidates will have strong analytical experience, the ability to independently identify trends from big data, and be able to develop operational strategies based on findings. Keys to success also include strong accountability, a passion for innovation, and an analytical mindset that never stops pushing forward.

What You’ll Do:
- Conduct research through detailed analysis of historical data to identify opportunities throughout the business
- Monitor business trends, analyze data, and develop forecasts for our ecommerce retail platform
- Create models to assist in the opportunity identification process
- Develop tools to create efficiencies such as quickly identifying optimal source offerings for each item in the catalog

What You’ll Need:
- Currently completing a Master’s degree program focused primarily within Statistics and an undergraduate background in Mathematics, Economics or a heavy quantitative concentration
- Preferred prior internship or professional experience working in a data-intensive environment
- Minimum of 2 years of experience writing SQL queries
- Experience working in Tableau or similar data visualization platform
- Minimum of 2 years’ experience with R, Python or other statistical modelling language

Bonus:
- Track record of taking ownership and driving results in an environment where tactical and strategic activities are expected to be driven in parallel
- Keen business judgment with strong written and oral communication skills
- Demonstrated ability to manage multiple projects - prioritization, planning and task delegation

Chewy is committed to equal opportunity. We value and embrace diversity and inclusion of all Team Members.

If you have a disability under the Americans with Disabilities Act or similar law, or you require a religious accommodation, and you wish to discuss potential accommodations related to applying for employment at Chewy, please contact HR@Chewy.com.

To access Chewy’s Privacy Policy, which contains information regarding information collected from job applicants and how we use it, please click here: https://www.chewy.com/app/content/privacy",https://www.themuse.com/jobs/chewy/2021-summer-graduate-data-science-intern-c74277?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Data Modeler/Quality Engineer,Pearson,"Providence, RI","Job Information

Pearson Intern - Data Modeler/Quality Engineer in Providence, Rhode Island

Intern - Data Modeler/Quality Engineer - ( 2102487 )

Description

PEARSON INTERNSHIP PROGRAM

Data Modeler/Quality Manager

Pearson Interns - Helping shape the future of education

Why join Pearsons intern program?

Pearson is the worlds learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology; were shaping the future of teaching and learning.

Were looking for the next generation of talented undergraduates to join our team for an unforgettable 10-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.

As one of our interns, you will gain a comprehensive introduction to our business. Youll be assigned to a team and work on real-life projects that bring our products and services to life. On the job training and professional development will be provided to enable you to contribute to the business. Youll also have direct access to a senior member of the team, as each intern will be mentored to help you make the most of the ten-week program.

We foster a work environment thats inclusive as well as diverse, where our people can be themselves. Every idea and perspective is valued so that our products reflect the people we serve our teachers and learners.

What Does the Internship Program Offer?

Successful candidates will spend 10 weeks working with our technology teams.

Youll be paid for the duration of your internship. The internship begins on Monday, June 7 th and ends Friday, August 13 th .

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

What are we looking for:
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• The ideal candidate will be detail oriented, self-directed, self-motivated, with a strong capacity for working successfully and flexibly with team members
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• Previous project work in using or presenting quantitative data analysis
• Previous use of tools such as SQL, python, Snowflake, Databricks, Tableau preferred

Job description
• Ability to understand and capture product requirements and technical solutions through charts, diagrams, and data
• Manipulating data using statistical analysis techniques such as machine learning, time-series analysis, multiple linear/logistic regression, anomaly detection, forecasting and simulation.
• User data and analysis to understand and optimize Pearsons customer experience
• Develop reports and visualizations for internal department sharing learned insights into Pearsons customers

The anticipated starting salary range for Colorado-based individuals expressing interest in this position is $30/hr. This position is not bonus eligible. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• The ideal candidate will be detail oriented, self-directed, self-motivated, with a strong capacity for working successfully and flexibly with team members
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• Previous project work in using or presenting quantitative data analysis
• Previous use of tools such as SQL, python, Snowflake, Databricks, Tableau preferred

Primary Location : US-RE-Remote

Other Locations : US-California

Work Locations :

US-Remote

Remote

Job : Project/Temporary Workforce

Organization : Technology & Operations

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Job Posting : Feb 24, 2021

Job Unposting : Ongoing

Schedule: : Full-time Temporary

Req ID: 2102487",https://www.internships.com/posting/bug_38956307844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Science - Intern,Sonde Health,"Boston, MA (+1 other)","Job Description

Sonde Health, a Boston based digital health company, is seeking an outstanding Data Science and Engineering interns to join Sonde Health team as we pioneer an entirely new platform for health analytics and monitoring based on the human voice.

As a Data Scientist, you will work independently and in collaboration with senior leadership in our research and development team. You will make a meaningful contribution to our ongoing projects within an environment of intellectual curiosity and entrepreneurial spirit. We are looking for someone who is driven to transform complex and novel health data into real-world products.

Responsibilities:
• Work closely with team members to plan, execute, and analyze data models
• Test model performance and propose a strategy for improvement
• Support product deployment and testing

Basic Qualifications
• 3+ years of college majoring in informatics, data science, statistics, math, or computer science, and engineering
• Knowledge of Python/ SQL / R for data analysis
• Knowledge of databases, data analysis, statistics, and data science
• Previous machine learning or data science experience in industry or product development is a plus
• Strong English writing and communication skills
• Strong academic record
• Reliable, highly motivated, detail-oriented, and independent

About Sonde Health:

Sonde Health is a three-year-old post-revenue company offering clinical-grade measures of health and wellness based on voice biomarkers. The technology is a combination of acoustic signal processing, machine learning, and artificial intelligence exclusively licensed from MIT and developed at Sonde. Sonde is targeting $10+ billion medical markets (e.g. depression, Alzheimer’s, Parkinson’s, COPD, asthma) and wellness markets (e.g. maternal health, healthy aging in place, cognitive or speech impairment, childhood development). Our screening and monitoring service executes on mobile phones and requires only a few seconds of voice sample. www.sondehealth.com.

Powered by JazzHR

xfTdc5qxDX","https://www.ziprecruiter.com/c/Sonde-Health/Job/Data-Science-Intern/-in-Boston,MA?jid=1f458db94bebbc15&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
