title,company,location,requirements,link
Intern - Government Affairs,PerkinElmer,"Waltham, MA","Intern - Government Affairs
Waltham/en-US/External/job/Waltham/Intern---Government-Affairs_JR-019582/apply

Job Title
Intern - Government Affairs

Location(s)
Waltham

Responsibilities:
• Update list of newborn screening advisory committees across the states and get on email lists.
• Research national legislative associations to ascertain what their plans for newborn screening are in 2021
• Monitor Rare Disease Caucus in Congress and rare disease caucuses in the states
• Monitor social media of national and state disease groups
• Participate in calls with advocacy groups
• Research consultants who advise disease groups about obtaining RUSP approvals
• Research RUSP approval process and complaints about it online and in interviews with key advocacy groups
• Research list of disease groups with RUSP submissions pending and plans to submit requests for consideration
• Based on research and interviews with key stakeholders, assist in development of recommendations for improving RUSP approval process
• Sign up for legislative alerts for key committees in Ohio, North Carolina and Georgia (where state legislation will be pushed to align state panels with federal RUSP).
• Monitor health committees in states where NBS legislation is pending.
• Monitor state budget and appropriations processes for impacts on state public health labs and new funding.

Additional support as needed in DC Office:
• Assist new government affairs director in DC with monitoring congressional hearings of importance for PE
• Assist new director with research of federal agencies, legislative and agency rule tracking, etc.

Basic Qualifications:
• Must be enrolled in a Bachelor's program with a minimum completion of sophomore year in college

PerkinElmer is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, or veteran status or any other characteristics protected by applicable law. PerkinElmer is committed to a culturally diverse workforce.Posted 3 Days AgoPart timeJR-019582

PerkinElmer is a $2.9 billion global company committed to innovating for a healthier world. We create the instruments, tests and software used by scientists, researchers and clinicians to address the most critical challenges across science and healthcare, including the most recent COVID-19 pandemic. We strategically partner with customers to enable earlier, more accurate insights, supported by deep market knowledge and expertise. Our dedicated team of 13,000 employees are passionate about helping them work to create healthier families, improve the quality of life and sustain the wellbeing of people worldwide",https://www.internships.com/posting/bug_38968861689?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Relations and Policy Intern,Commonwealth Care Alliance,"Boston, MA (+1 other)","Job Description

Reporting to the Government Relations Policy Director, the summer intern will conduct policy analysis and research to drive the impact of CCA’s comprehensive, integrated care model and:
• Develop one or more white papers on policy priorities for distribution to state and federal policymakers; topics may include social determinants of health, telehealth, value-based payment, health care workforce, and topics chosen by the intern
• Analyze policy reports, regulatory proposals, and relevant bills and communicate findings to internal teams
• Produce quick turn-around deliverables, such as leave behinds for meetings with elected officials
• Monitor state, federal, and health plan Medicare-Medicaid integration news and inform the Government Relations team about relevant updates
• Attend policy briefings and legislative hearings and report key takeaways to the team
• Learn about public policy and government relations strategies to advance how care is designed and delivered for people with complex needs

This paid summer internship is a part of CCA’s structured 12-week Summer Internship Program that is designed to give a select student cohort hands-on experience in an innovative health care setting and the opportunity to explore a potential career within our growing organization. As the Government Relations Policy summer intern, this individual will advance high-touch care delivery through unique contributions to our state and federal policy goals","https://www.ziprecruiter.com/c/Commonwealth-Care-Alliance/Job/Government-Relations-and-Policy-Intern/-in-Boston,MA?jid=fd1bc428d29ca707&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Graduate Assistant, Office Of Public Affairs, Community And Government Relations",Commonwealth Care Alliance,"Boston, MA (+1 other)",,"https://www.ziprecruiter.com/c/Commonwealth-Care-Alliance/Job/Government-Relations-and-Policy-Intern/-in-Boston,MA?jid=fd1bc428d29ca707&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Government Relations Graduate Intern (2021-22),Boston Children's Hospital,"Boston, MA (+1 other)","This Internship is for the 2021-2022 academic year.

At Boston Children’s Hospital, the quality of our care – and our inclusive hospital working environment – lies in the diversity of our people. With patients from local communities and 160 countries around the world, we’re committed to reflecting the spectrum of their cultures, while opening doors of opportunity for our team. Here, different talents pursue common goals. Voices are heard and ideas are shared. Join us, and discover how your unique contributions can change lives. Yours included.

The Office of Government Relations works with policy decision-makers at the local, state, and national levels to uphold the hospital’s mission of providing exceptional clinical care, research, and training for pediatric providers. We work with our partners within the legislature and throughout the community to develop and advocate for policy solutions to keep young people safe and healthy.

The Government Relations (Graduate) Intern will be responsible for:
• Supporting the Government Relations team to advance hospital legislative priorities, through direct lobbying of legislators, grassroots organizing and leading high impact projects to advance bills related to pediatric healthcare access, social determinants of health and health related social needs, racial equality, social justice and behavioral health.
• Coordinating advocacy events at the hospital and State House including annual lobby days and full day advocacy boot camp sessions.
• Facilitating child health advocacy trainings with support from the State Government Relations Manager, to empower patients, families, and staff to share their stories, advance hospital advocacy priorities to improve child health.
• Developing policy briefings, fact sheets, talking points, and written testimony tailored for stakeholders such as state elected officials, legislative staff and hospital leadership (CEO & VP of Government Relations)
• Producing Children’s Advocacy Network grassroots newsletter and ad hoc communications reaching 3000+ individuals by coordinating with dpt. staff to establish topics, write content, manage CRM platform, and design layout.
• Collaborating with staff and interest groups, including RNs, social workers and medical residents across the hospital to support advocacy efforts.
• Accompanying Government Relations team to relevant legislative, community and coalition events.
• Creating visually appealing infographics for digital media advocacy.

To qualify, you must have:
• Current enrollment in an graduate program
• Demonstrated interest in and passion for child health policy and equity, and demonstrated commitment through practice/advocacy to equity, inclusion, social justice and community engagement.
• Previous work experience, ideally in advocacy, customer focused approaches, and time management.
• Interpersonal, verbal/written communication and project management skills (multi-tasking)
• Ability to work well in team/independently with a commitment towards learning, flexibility, and creative ideas.

This is a paid position with a flexible schedule. A minimum of 24 hours is mandatory. Consecutive days preferred (M-Th)

This opportunity is best suited for students whose career interests are listed below but we encourage those from other disciplines to apply as well. include:
• Public Health
• Political Science
• Communications
• Public Policy
• Macro Social Work Practice

Please note: During a public health emergency, individuals in this role may be expected to take on additional duties to respond to organizational needs",https://cssh.northeastern.edu/policyschool/job/government-relations-graduate-intern-2021-22/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Relations Policy Intern,Commonwealth Care Alliance,"Boston, MA (+1 other)","Why This Role is Important to Us

Commonwealth Care Alliance is a not-for-profit, Massachusetts-based health care organization dedicated to improving care for individuals with the most significant health and social needs. Forward-thinking and mission-driven, CCA provides and manages person-centered care across the continuum, including full integration of primary care, behavioral health, long-term care, and social needs. We specialize in bridging gaps across traditional health care silos by creating a care model that surrounds and supports members with touchpoints that go beyond basic health care needs. Our integrated care management is a nimble mix of human capital—staff dedicated to building long-term trusting relationships with members, providers, and community-based organizations—delivering care both in our members’ homes and in our clinics across the state of Massachusetts. CCA is rooted in more than thirty years of experience providing care to complex populations and now serves more than 33,000 members in two nationally recognized programs focused on integrating care for people dually eligible for Medicare and Medicaid.

What We're Looking For

﻿Current graduate student in related field (social work, public health, public policy, health management, etc.); rising undergraduate juniors and seniors may be considered with relevant research and/or internship experience

Experience in health policy analysis and research; knowledge of Medicare, Medicaid, and Medicare-Medicaid integration preferred

Commitment to improving health care and social supports for Medicare-Medicaid enrollees and complex populations

Proficiency with Microsoft Office Suite (Word, Outlook, PowerPoint, Excel)

Do you have at least a 3.0 GPA

What You'll Be Doing

Reporting to the Government Relations Policy Manager, the summer intern will conduct policy analysis and research to drive the impact of CCA’s comprehensive, integrated care model and:

Develop two or more white papers on policy priorities for distribution to state and federal policymakers; topics may include social determinants of health, telehealth, value-based payment, health care workforce, and topics chosen by the intern

Produce quick turn-around deliverables, such as leave behinds for meetings with elected officials

Analyze relevant policy reports and proposals and identify key takeaways for internal teams

Monitor state, federal, and health plan Medicare-Medicaid integration news and inform the Government Relations team about relevant updates

This paid summer internship is a part of CCA’s structured 12-week Summer Internship Program that is designed to give a select student cohort hands-on experience in an innovative health care setting and the opportunity to explore a potential career within our growing organization. As the Government Relations Policy summer intern, this individual will advance high-touch care delivery through unique contributions to our state and federal policy goals.

Actual Work Location

30 Winter Place, Boston, Massachusetts 02108

All Locations

30 Winter Street

Exempt / Not Exempt

Non-Exempt",https://www.internships.com/posting/sam_dqU_5bToH9JiGT9YCZPht2r7UdCoTbDd5iKWZYTkoE1wpYnHDjyOyg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Affairs Summer Intern,Campbells,"Camden, NJ","Imagine...working for a company that knows that its people are the key to its success in the marketplace. A company in which achieving extraordinary results and having a stimulating work experience are part of the same process.

We cultivate and embrace a diverse employee population. We recognize that people with diverse backgrounds, experiences and perspectives fuel our growth and enrich our global culture.

We are looking for an individual who enjoys working in a fast-paced, team oriented environment, likes to be challenged, and values the opportunity to make a difference.

General Summary:

Campbell Soup Company, a leading manufacturer of snacks, soups and simple meals, and beverages is hiring a summer intern in our Government Affairs department. The successful candidate will be a rising junior or senior undergraduate student majoring in political science, government or public policy. The paid, ten-week internship begins on or after May 17, 2021.

Responsibilities
• Monitor pending legislation and regulations
• Write policy summaries
• Develop and execute communication plans
• Compile contact lists
• Create or update databases
• Assist with filing, records management and other projects as assigned

Requirements
• Political science, government or public policy major, preferred
• Working knowledge of state and federal legislative process
• Strong verbal and written communication skills
• Desire to develop strategic communication skills
• Interest in interaction between government and business
• Ability to work independently and know when to ask questions
• Proficient with Microsoft Office applications
• Minimum 3.0 GPA
• Must be a current student returning to school in the fall

Benefits
• Practical government affairs experience working within a Fortune 500 company
• Shadowing, mentoring, and training opportunities with skilled government affairs professional
• Opportunity to participate in networking events and company meetings
• Flexible schedule for students

The Company is committed to providing equal opportunity for employees and applicants in all aspects of the employment relationship, without regard to race, color, sex, sexual orientation, gender identity, national origin, citizenship, marital status, veteran status, disability, age, religion or any other classification protected by law.

In that regard, U.S. applicants and employees are protected from discrimination based on certain categories protected by Federal law. Click here for additional information",https://careers.campbellsoupcompany.com/us/en/job/Req-25598/Government-Affairs-Summer-Intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Local Government Affairs Intern,Everytown For Gun Safety,Anywhere,"Everytown for Gun Safety, the nation’s largest gun violence prevention organization, is seeking a Local Government Affairs Intern. The Local Government Affairs department works with local officials (mayors, law enforcement leaders, council and school board members, etc) to provide resources to end community based gun violence and advocate for and advance local, state, and federal gun safety measures.

We’re looking for an undergraduate or graduate student pursuing studies in public administration, public policy, criminal justice, or a related field, who can support our team’s efforts to engage local officials across the country, and build out new programs of support.

In light of the current situation, this position would be remote.

Responsibilities:
• Develop and implement a survey of Mayors Against Illegal Guns members to catalogue practice across the country and identify opportunities for ongoing support
• Provide research and project management support on the development of new programs designed to advance local efforts to reduce gun violence
• Support the team’s efforts to recruit new mayors into the Mayors Against Illegal Guns coalition
• Maintain up-to-date gun violence data on cities
• Monitor news to identify innovative local efforts to reduce gun violence and opportunities for engagement with new local officials
• Interact regularly with Everytown staff across departments to ensure effective coordination and delivery of Local Government Affairs activities

Qualifications:
• Currently enrolled undergraduate or graduate student
• Familiarity with local government
• Exceptional attention to detail
• A self-starter who is willing to take initiative on projects
• Ability to quickly learn and adapt to a fast-paced environment
• Excellent judgment and communication skills
• Comfort working remotely

Must be able to work at least 20 hours a week from May through August.

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Everytown for Gun Safety provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws.

Candidates who identify as members of historically underrepresented groups are highly encouraged to apply. A diverse workforce and open culture are at the heart of our organization and vital to our success",https://www.idealist.org/en/amp/nonprofit-internship/0e73eec52bdc47eea0aa18057b14fd2e-local-government-affairs-intern-everytown-for-gun-safety-new-york?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Affairs Intern,National Safety Council,"Washington, D.C., DC","Job Details
Level Entry

Job Location DC - Washington, DC

Position Type Internship

Education Level High School diploma

Travel Percentage None

Job Shift Day

Summary

National Safety Council

Paid internship; $15/hour

Government Affairs Intern

The National Safety Council is the nation's leading safety advocate with the mission to save lives by preventing injuries and deaths at work, in homes and communities, and on the road through leadership, research, education and advocacy. If you are interested in working to make the world measurably safer, NSC is the place for you. Come work with a collaborative team of passionate, mission-driven individuals!

We are currently seeking an intern to work with our Government Affairs department on several projects. In this role you will:

Work with a small team of dedicated professionals to directly impact our priority issues including (but definitely not limited to!) the opioid epidemic, autonomous vehicles, distracted driving, teen driving safety and workplace safety. You will be assigned critical tasks and you will get to see your work in action.
• Analyze existing and proposed policies at the federal and state levels
• Conduct research on current and potential issue areas
• Draft and edit new policy positions on emerging areas of interest
• Arrange and attend meetings with legislators, their staff and other stakeholders

Education/Experience

Must be currently enrolled in a college degree program

NSC is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.

The National Safety Council is an Equal Opportunity Employer of Minorities, Females, Protected Veterans, and Individual with Disabilities",https://www.dcjobs.com/job/detail/50986943/Government-Affairs-Intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Relations Intern - Summer 2019,Quicken Loans,"Washington, D.C., DC","From day one with the Quicken Loans Family of Companies, you'll engage in meaningful work. Not only will you be a key part in reshaping the fintech industry, but you'll also have opportunities to impact the communities in which we work and play.

As part of a team, you will build connections, pitch ideas and take on challenging projects that will help you grow both personally and professionally.

A few things you can expect from a Quicken Loans Family of Companies internship:

+ Gaining hands-on professional experience

+ Participating in intern-exclusive events

+ Volunteering in community service projects

Are you ready to take on your next big challenge? If so, apply and see how you can join our family today!

+ Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more

+ Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training

+ Other incentives, contests and rewards, including trips, event tickets, cash prizes and more

The Government Relations Intern works closely with full-time team members to make an impact on our public policy teams. This team member uses their communication and management skills to take detailed notes at hearings and summarize how upcoming bills could affect the Rock Family of Companies.

Responsibilities

+ Assist the Government Relations team with a variety of tasks such as summarizing bills and proposed rules

+ Attend government hearings and take detailed notes

+ Draft internal emails with political and policy updates on issues impacting the state of Michigan, the city of Detroit and the U.S. government

+ Stay on top of policy issues that could affect the Family of Companies

+ Research policy issues and public officials

+ Contact individuals that work with local, state and federal government relations

+ Complete other tasks as assigned

Requirements

+ Excellent verbal and written communication skills

+ Strong presentation skills

+ Ability to communicate with team members and outside contacts of all levels

+ Ability to juggle multiple projects at once

+ Strong organizational skills

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, we're in the business of putting roofs over our clients' heads, but we certainly aren't putting ceilings on our team members' careers. If you're interested in working in a place with a philosophy that's truly different, apply today.

Quicken Loans is an equal opportunity employer.

Disclaimer: Quicken Loans received the highest numerical score in the proprietary J.D. Power 2010 - 2016 Primary Mortgage Origination studies and the 2014 - 2017 Primary Mortgage Servicer studies. 2016 Origination (or Sales) based on 5,182 total responses and measures the opinions of customers who originated a new mortgage or refinanced within the past 12 months, surveyed in July - August 2016. 2017 Servicing based on 7,374 total responses and measures the opinions of homeowners on their mortgage servicing company, surveyed in March - April 2017. Your experiences may vary. Visit JDPower.com.

Quicken Loans is the #1 online lender based on the ranking of Quicken Loans in comparison to online residential mortgage lenders included in the Inside Mortgage Finance ""Top 50 Mortgage Lenders"" report from Q2 2017.

Record Name: Quicken Loans Inc. External Company URL: www.quickenloans.com Street: 727 15th Street NW","https://www.ziprecruiter.com/c/Quicken-Loans/Job/Government-Relations-Intern-Summer-2019/-in-Washington,DC?jid=91a23a7f7a115be5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Government Relations Intern,MTA Visions,Anywhere,"Government Relations (Public Policy) Intern

MTA Visions - Corporate Social Responsibility and Government Relations firm

Position supports remote

Internship – Part Time

Number of positions available: 5

[Description]

MTA seeks a Government Relations and Public Policy (GR) Intern to work on its government relations and public policy team. The role will allow a motivated student to deepen their understanding of politics and policy on a local, state, federal, and international level while building skills and gaining experience as a team member, writer, and researcher.

The GR Intern will report to the Staff Coordinator. The ideal candidate has a passion for studying, researching, and communicating issues within the political and policy realm. The ideal candidate seeks an opportunity to build their knowledge and skill around the components of a successful government relations strategy in a mission-driven consulting firm.

[Scope of Responsibilities]
• Provide virtual support to the company’s government relations team.
• Create newsletters, infographics, and other materials for internal and external audiences.
• Research and provide analysis on policy issues surrounding your 5-7 policy areas of interest.
• Monitor and track industry news and related legislative developments using a myriad of information sources.
• Attend Capitol Hill and other international, local and state online committee hearings, when necessary.
• Assist with other projects as assigned.

[Commitment]

The GR Intern will join MTA Visions for a to be determined commitment or an average of 15 hours per week. Schedule will be determined in collaboration with the Staff Coordinator in order to provide the CSR Intern flexibility to work around a class schedule. It is expected that the CSR Intern will work from home.

[Qualifications and Experience]
• Undergraduate or graduate-level coursework in political science, sociology, public policy, public affairs, international affairs, communications, writing, and/or related area.
• A practical and proactive problem-solver who possesses strong business acumen and is confident, mature and calm under fire.
• Of the highest degree of personal and professional integrity and ethic.
• Excellent written and oral communication skills, interpersonal skills, and leadership skills.
• Must be able to juggle multiple priorities and tasks in a fast-paced environment but be focused when needed on the matter at hand.
• Self-starter mentality and the ability to work independently.
• A demonstrated commitment to excellence.
• Strong and demonstrated research skills.
• Ability to execute and exhibit good judgment.t
• Goal-oriented, project-oriented, and achievement-oriented.
• Desire to learn from others and build relationships across the organization.
• Prior experience with an elected official or state/local government is a plus.

[Compensation]

This is an unpaid internship. GR Intern may be awarded undergraduate/graduate school credit, available upon request.

[Application Process]

Please send a resume and a 1-page paper listing and describing your policy areas of interest, to hr@mtavisions.com.

In the Subject Line write the name of the position you are applying for and your last name: e.g. “GRInternSantos”

Please save your resume and other materials as attachments with names as follows:

GRInternSantos Resume

GRInternSantos Cover Letter

GRInternSantos Writing Sample

How To Apply

About MTA Visions - Corporate Social Responsibility and Government Relations firm

MTA Visions LLC (MTA) is a global corporate social responsibility (CSR) and government relations firm based in Washington, D.C.

Our CSR sector helps organizations champion profit with purpose through increasing stakeholder engagement, advising on sustainability and diversity, and other related services that boosts the corporation’s social and business morale.

Our Government Relations sector protects organization’s clean interest's in sovereign states (internationally) and in all levels of U.S. government (local, state, and on Capitol Hill) through issue tracking, legislative research, representation at meetings, execution of advocacy events, coordination of congressional hearings, and many more.

MTA Visions focuses on Governments. Their company has offices in Washington DC. They have a mid-size team that's between 51-200 employees.

You can view their website at http://www.mtavisions.com",https://angel.co/company/mta-visions-1/jobs/589836-government-relations-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
