title,company,location,requirements,link
Intern - Graphics and Visual Designer,SAP,"Nashua, NH","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

CONTRACT DURATION: 6 MONTHS

CONTRACT HOURS: 40 HOURS PER WEEK

ANTICIPATED START DATE: APRIL 2021

OFFICE LOCATION: VIRTUAL US

PURPOSE & OBJECTIVE OF POSITION

The global Industry and Value Advisory (IVA) organization is chartered with articulating the value of adopting SAP Solutions and differentiating SAP as the innovation partner of choice. Our team is responsible for setting and scaling organizational best practices, driving enablement across field-facing organization, and driving other key global value-focused programs. We are looking for an innovative designer to help enhance our work and make the value of SAP shine!

EXPECTATIONS & TASKS

As Visual Design Intern you will work on a cross-functional team to create communication materials while sticking to SAP's overall brand strategy and style. The ideal candidate will require flexibility in that the workload will be split between static graphic design and animated motion design. You will be tasked to work on a variety of projects including:

- Presentation designs for large audiences following SAP corporate design principles
- Visually design business content and information through infographics, charts and illustrations
- Animated videos and GIFs for thought leadership and social media content
- Design and develop presentation templates for sales initiatives
- Develop marketing materials like newsletters and social posts",https://www.usajobcentral.com/job/intern-graphics-and-visual-designer-in-nashua-new-hampshire/5836-11552610557F?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Graphic Design/Marketing Summer 2021 Intern,Anthem,"Nashua, NH","_Your Talent. Our Vision._ AT NATIONAL GOVERNMENT SERVICES (NGS), an independent subsidiary of Anthem, Inc. and one of the largest Medicare contractors in the country, it's a powerful combination. It's the foundation upon which we're creating greater access to care for our members, greater value for our customers and greater health for our communities. Join us and together we will DRIVE THE FUTURE OF HEALTH CARE.

This is an exceptional opportunity to do innovative work that means more to you and those we serve.

The NGS team is looking for an intern that has a marketing and graphic designer background. We are looking to expand our marketing campaigns and education to multiple channels and want to create a seamless visual experience for our providers/stakeholders. As an Intern you will help support and be responsible for our external facing applications in regards to creating content and visual graphics for marketing campaigns for our customers. Assist with multiple digital channels and applications to help move us forward with our digital strategy.

Responsible for assisting with dissemination of our outreach marketing campaigns by using a multitude of digital platforms to disseminate the information and will create visual graphics for the marketing campaigns. The digital marketing specialist will ensure adherence to industry best practices and scale our marketing strategy to align with our company's digital vision and needs. Primary duties may include, but are not limited to:

- Graphic Design experience with working knowledge of Adobe Suite
- Create marketing campaigns that scale across multiple channels
- Create content and moderate a variety of digital channels
- Knowledge in video production and final cut pro software a plus
- Knowledge of Salesforce marketing cloud
- Creative, innovative thinker",https://www.jobbzee.com/job/graphic-design-marketing-summer-2021-intern-in-nashua-new-hampshire/6490-11291577275F?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Summer 2021 Graphic Design Internship,"Reingold, Inc.","Lowell, MA",,https://joblift.com/details/aa0c0cc6-e2ae-4cb1-8162-a16083c5c751?utm_campaign=g4j&gfj=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Junior Digital Designer Intern,The Charles Group NYC,"Nashua, NH",,https://www.rapidinterviews.com/job/junior-digital-designer-intern-with-the-charles-group-nyc-in-nashua-apc-3528?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Lex Frieden Digital Design/Marketing Intern -,Anthem,"Nashua, NH","Description
SHIFT: Day Job SCHEDULE: Full-time _Your Talent. Our Vision._ AT NATIONAL GOVERNMENT SERVICES (NGS), an independent subsidiary of Anthem, Inc.

and one of the largest Medicare contractors in the country, it's a powerful combination. It's the foundation upon which we're creating greater access to care for our members, greater value for our customers and greater health for our communities. Join us and together we will DRIVE THE FUTURE OF HEALTH CARE.

This is an exceptional opportunity to do innovative work that means more to you and those we serve. Graphic Design Intern: We are looking to add a graphic design intern to our team for at least a six month period so they continue through December. They will be mentored by our existing graphic designer, where they will about healthcare design.

Specifically, they will learn how to apply their graphic design skills in designing wellness materials, product materials, video graphics and more. They will also see learn how to apply their graphic design skills to a variety of mediums including: PowerPoint, Email, HTML5, print, and more. Marketing Coordinator Intern: We are looking to add a marketing coordinator intern to our team for 6-12 months who will provide support with FSAC request and Cvent registration and appointments.

In addition to learning about Anthem and the FEHB, they will learn the basics of client and marketing project management. They will experience what is required to manage a project from conception to completion and launch. Anthem, Inc. is ranked as one of America's Most Admired Companies among health insurers by Fortune magazine and has been named a 2019 Best Employers for Diversity by Forbes.

To learn more about our company and apply, please visit us at careers.antheminc.com. An Equal Opportunity Employer/Disability/Veteran. Anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all Anthem positions",https://www.genzjobsearch.com/Nashua-New-Hampshire-USA-job/LEX-FRIEDEN-DIGITAL-DESIGN-MARKETING-INTERN/11daf6b9995b62c0/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Graphic Design Intern (Remote),Eversource Energy,Anywhere,"Check out this video and find out why our team loves to work here!The Internal Creative Services team at Eversource is looking for a Graphic Design Intern/CO-OP to join our team. You'll develop real-world experience by collaborating on internal/external projects - both in day to day tasks as well as longer term projects.

Create, design and edit a wide range of materials; emails, web/social media banners, various fact sheets/collateral, PowerPoint graphics, poster/ signs, ads, updating style guides, design/photo research and selection and touch-up as needed, etc.
• Adhere to brand guidelines and complete projects according to the deadline
• See projects from conception to completion
• Help implement and launch the new Digital Asset Management system
• Be an active member of our creative team, attend team meetings, project kick-off meetings and coordinate projects with stakeholders
• Basic knowledge of layouts, typography, line composition, color, and other graphic design fundamentals
• Strong written and oral communication skills
• Demonstrate time management skills with the ability to meet deadlines and show attention to detail
• We have full time video/photographer and drone pilot members on our team. Any interest and/or knowledge in those areas could be utilized
• Must be proficient in Adobe Creative Suite (Illustrator, In Design, Photoshop), PowerPoint. Also have knowledge of Microsoft Office (Outlook, SharePoint, Word, Excel)

The expectation is to be available during business hours, but can work with the manager on a flexible schedule as needed

Please provide a cover letter and an online link to portfolio/samples for consideration

Worker Type:
Student / Intern (Fixed Term) (Trainee)

Number of Openings:
1

EEO Statement

Eversource Energy is an Equal Opportunity and Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to age, race, color, sex, sexual orientation, gender identity, national origin, religion, disability status, or protected veteran status.

VEVRRA Federal Contractor","https://www.ziprecruiter.com/c/Eversource-Energy/Job/Graphic-Design-Intern-(Remote)/-in-Manchester,NH?jid=528816125affdcf2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Intern (Graphic Design / Marketing / Administrative),Making Opportunity Count,"Fitchburg, MA (+1 other)","Position Summary: Making Opportunity Count is looking for a motivated intern to support our marketing and social media efforts. You will have the opportunity to develop a strong portfolio of work and collaborate with staff in a unique nonprofit environment with multiple programs. Opportunities to complete hands-on work with: graphic design development for marketing and promotional collateral that includes direct mail pieces, social media posts, newsletters, flyers and other materials as needed. Intern may also support social media management including scheduling posts, drafting content, proposing new content/visuals, and strategy.

Details:
• Hours: 10 hours weekly
• Salary: TBD, varied based on experience
• Location: Work may be performed on and off site, as appropriate
• Reports to: Senior Advancement Officer

Qualifications:
• Strong graphic design skills; samples will be requested.
• Strong verbal communication and writing skills.
• Comfort with technology (i.e. Microsoft suite social media, design platforms
• etc.).
• Attention to detail and ability to complete projects on time

MAKING OPPORTUNITY COUNT IS AN EQUAL OPPORTUNITY EMPLOYER","https://www.glassdoor.com/job-listing/intern-graphic-design-marketing-administrative-making-opportunity-count-JV_IC1154901_KO0,46_KE47,71.htm?jl=4047871131&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Intern - Graphics and Visual Designer,SAP,"Lowell, MA","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

CONTRACT DURATION: 6 MONTHS

CONTRACT HOURS: 40 HOURS PER WEEK

ANTICIPATED START DATE: APRIL 2021

OFFICE LOCATION: VIRTUAL US

PURPOSE & OBJECTIVE OF POSITION

The global Industry and Value Advisory (IVA) organization is chartered with articulating the value of adopting SAP Solutions and differentiating SAP as the innovation partner of choice. Our team is responsible for setting and scaling organizational best practices, driving enablement across field-facing organization, and driving other key global value-focused programs. We are looking for an innovative designer to help enhance our work and make the value of SAP shine!

EXPECTATIONS & TASKS

As Visual Design Intern you will work on a cross-functional team to create communication materials while sticking to SAP's overall brand strategy and style. The ideal candidate will require flexibility in that the workload will be split between static graphic design and animated motion design. You will be tasked to work on a variety of projects including:

- Presentation designs for large audiences following SAP corporate design principles
- Visually design business content and information through infographics, charts and illustrations
- Animated videos and GIFs for thought leadership and social media content
- Design and develop presentation templates for sales initiatives
- Develop marketing materials like newsletters and social posts",https://www.jobbzee.com/job/intern-graphics-and-visual-designer-in-lowell-massachusetts/6490-1155265707AB?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Design Intern,Curriculum Associates,"North Billerica, MA (+1 other)","Design Intern
At Curriculum Associates (CA), we believe a diverse team leads to diversity in thinking, making our products better for teachers and students. If you read this job description, feel energized by what you see here, and believe you could bring passion and commitment to the role, but you aren't sure you meet every qualification, please apply! Above all, we are looking for the right person!

Overview:Founded in 1969, Curriculum Associates is a leading educational technology and publishing company with a mission to make classrooms better places for students and teachers. As a company, we have both a responsibility and the opportunity to reduce the effects of systemic racism for the students, educators, and educational communities we serve and for our team members. We are committed to ensuring CA is a champion of antiracist ideals in our service to schools, in our products, and in our company culture. Our research-based, award-winning print and digital instruction and assessment products provide educators with the tools necessary to personalize learning for every student and help all students become college and career-ready. Grow your professional career with a paid internship program at one of the fastest-growing EdTech companies in Massachusetts! This program offers college students an opportunity to network with peers, engage in meaningful projects, and develop new skills, all while making a real impact on teachers and students across the country. Curriculum Associates is looking for design interns to assist our growing marketing/creative team. You will design and execute creative print and online marketing materials, which will primarily consist of brochures, flyers, tradeshow booth graphics, web graphics, emails, infographics, sales support pieces, and direct mail.
Why join this team:

Gain valuable experience working with a 12-person in-house design team supporting sales and implementations
Work directly with and gain knowledge from Senior Designers while building your resume and portfolio
Work in a mission-based atmosphere making classrooms better places for students and teachers
The duration of this internship is 10–12 weeks with a flexible start date and hourly schedule

The impact you'll have:

Work under the direction of the Senior Designers to create and execute high fidelity, fully designed creative marketing materials
Work closely with writers, developers, and production teams to bring materials from conception to production

Who we're looking for:
Successful candidates will thrive in a fast-paced environment and demonstrate a record of achievement:

A strong appreciation and understanding of both web and print design (interactive design a plus)
A strong portfolio that shows great potential
Attention to detail
High standards of quality
Deadline driven mindset
Excellent communication and listening skills
Openness to constructive criticism
Organizational and time-management skills
Openness and excitement to learn
Mac-based proficiency
Adobe CC: InDesign, Photoshop, Illustrator
Microsoft Office 365: PowerPoint, Word

More about this role:
Location: We would prefer candidates to be based out of our Billerica, MA officeSalary: $20/hour",https://www.builtinboston.com/job/internship/design-intern/47153?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Graphics and Visual Designer,SAP,"Derry, NH","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

CONTRACT DURATION: 6 MONTHS

CONTRACT HOURS: 40 HOURS PER WEEK

ANTICIPATED START DATE: APRIL 2021

OFFICE LOCATION: VIRTUAL US

PURPOSE & OBJECTIVE OF POSITION

The global Industry and Value Advisory (IVA) organization is chartered with articulating the value of adopting SAP Solutions and differentiating SAP as the innovation partner of choice. Our team is responsible for setting and scaling organizational best practices, driving enablement across field-facing organization, and driving other key global value-focused programs. We are looking for an innovative designer to help enhance our work and make the value of SAP shine!

EXPECTATIONS & TASKS

As Visual Design Intern you will work on a cross-functional team to create communication materials while sticking to SAP's overall brand strategy and style. The ideal candidate will require flexibility in that the workload will be split between static graphic design and animated motion design. You will be tasked to work on a variety of projects including:

- Presentation designs for large audiences following SAP corporate design principles
- Visually design business content and information through infographics, charts and illustrations
- Animated videos and GIFs for thought leadership and social media content
- Design and develop presentation templates for sales initiatives
- Develop marketing materials like newsletters and social posts",https://www.usajobcentral.com/job/intern-graphics-and-visual-designer-in-derry-new-hampshire/5836-11552653715B?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
