title,company,location,requirements,link
Intern - Research Data Analyst,Healthcare Association Of New York State,"Rensselaer, NY (+1 other)","Job Information

Healthcare Association of New York State Intern - Research Data Analyst in Rensselaer, New York

Title
Intern - Research Data Analyst

EOE Statement
As an Equal Opportunity / Affirmative Action Employer, HANYS actively seeks candidates who are female, minority, disabled and/or veterans and will not discriminate in its employment practices due to an applicant's race; color; creed; religion; sex (including pregnancy, childbirth or related medical conditions); sexual orientation; gender identity or expression; transgender status; age; national origin; marital status; citizenship; disability; criminal record; genetic information; predisposition or carrier status; status with respect to receiving public assistance; domestic violence victim status; status as a protected veteran; or any other characteristics protected under applicable law.

HANYS will not discharge or in any other manner discriminate against employees or applicants because they have inquired about discussed, or disclosed their own pay or the pay of another employee or applicant.

Position
Intern - Research Data Analyst

Division
Healthcare Association of New York State

Description

Overview:

Data Gen, Inc., a subsidiary of the Healthcare Association of New York State (HANYS), is seeking a temporary intern to conduct research and data analysis activities to support grant-funded quality improvement projects. DataGen offers a variety of health care data analytics solutions, and support to hospitals, physician groups, specialty providers, state hospital and health care associations, and multi-state health care systems. Schedule: Approximately 20 hours/week if part-time or 37.5 hours/week if full-time (blended with some hours on-site, some remote). Expected duration from mid-May to August, 2021.

Key Responsibilities:

Assists in implementation and maintenance of quality measure data collection and reporting from/to hospitals and governmental agencies.

Summarizes project results in both written and verbal form.

Prepares statistical analyses and reports, using up-to-date research methodologies and software tools.

Prepares project deliverables including data reports and tables, analytic models, and presentations.

Participates with other HANYS staff in the identification of data sources, the creation and maintenance of databases required for analysis, and the validation of information collected from various sources.

Conducts literature searches and summarizes research studies, as requested.

Participates in the development of grant applications.

Attends professional meetings.

Maintains documentation on completed projects for reference on future projects.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected status.

Position Requirements

Working towards a Master's degree in Public Health, Epidemiology, Healthcare Administration, or a related field.
Course work or experience in analytic methods, programmatic languages (SQL, SAS or R), spreadsheet manipulation, and statistics skills.
Must have a good understanding of healthcare policy issues related to quality of care. Knowledge of healthcare research is desired.
Excellent interpersonal, writing and communication skills are required.

About the Organization
HANYS is the only statewide hospital and continuing care association in New York. We are located near Albany and represent 500 not-for-profit and public hospitals, nursing homes, and other healthcare organizations. Our members are not only the largest providers of inpatient and outpatient care, and essential providers of primary care, they are among the largest employers in many communities.

We harness the power of a unified statewide membership and collaborate with regional, state, and national associations. HANYS advocates before Congress, the Governor's office, the State Legislature, and state and federal agencies. We also provide education, data analytics, quality improvement initiatives, and operational assistance to help our members navigate the complexities of healthcare reform, and achieve the 'Triple Aim' of better care, better health, and lower costs.

This position is currently accepting applications.

Equal Opportunity Employer - race, sex, veteran or disability status, gender identity, sexual orientation",https://www.internships.com/posting/bug_38969761914?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Market Research Internship,Fulcrum Research Group,"Waltham, MA (+1 other)","About Us:We are Fulcrum Research Group - a strategic market research firm located in Waltham, MA. We offer a wide range of qualitative and quantitative research services with a primary focus in pharmaceuticals and healthcare. Working at Fulcrum Research Group is: Dynamic: The challenges change every day in our fast-paced environment.

Collegial: We work collaboratively across all levels of the company. Challenging: Our clients deserve our best; we must be creative problem- solvers, have strong analytic skills, be excellent communicators, and always see both the forest (big picture) and the trees (details). Eye-opening: Fulcrum Research Group employees become experts in healthcare and other industries and have the opportunity to travel domestically and internationally.

Rewarding: We help good market researchers become even better. And we offer competitive salary and benefits.Position:We are looking for a Market Research Intern to join our fast-paced, entrepreneurial, and evolving workplace. This is a full-time paid internship opportunity.

Interested candidates should be enrolled in their third year at a four-year institution (or equivalent) and be prepared to work 40 hours/week for 10-12 weeks during Summer 2019.What you'll do:Participate and assist in different phases of market research execution, which could include: Coordinating with and managing data collection vendors Creating reports in PowerPoint Managing and analyzing data Observing or listening to interviews with healthcare professionals, patients/caregivers, and/or payersWhat you'll bring: Working towards a bachelor's degree in a related field (e.g., marketing, business, science, psychology) Proficiency in Word, Excel, and PowerPoint (Mac skills a plus) Excellent attention to detail, problem-solving, and organizational abilities Effective oral and written communication skills Strong analytical mindset Ability to work effectively both independently and as part of a team A positive attitude and a willingness to learnPrevious internship experience in market research / marketing / pharmaceutical industry / related field is a plus.*Must be eligible to work in the U.S.*What we offer: Competitive salary and benefits Casual office attire Opportunity to learn more about a career in market research and/or the healthcare industry A chance to work with Fortune 500 pharmaceutical companies and industry leaders Potential for future full-time employment at Fulcrum**Please provide a resume and cover letter with your application","https://www.ziprecruiter.com/c/Fulcrum-Research-Group/Job/Market-Research-Internship/-in-Waltham,MA?jid=bed517c2b96090c3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Research Intern - Machine learning for biology and healthcare,Microsoft,"Cambridge, MA","Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

Microsoft Research New England’s Biomedical ML Group thrives at the intersection of machine learning and biology and healthcare. Our interests include ML techniques in healthcare, generative models of proteins and chemical reactions, computational immunology, ML for protein engineering, and understanding how nonlinear interactions between genetic features contribute to causing disease.
Responsibilities
Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.
Qualifications
In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.

Required Qualification
• Must be accepted or currently enrolled in a PhD program in a field related to machine learning, statistics, biology, or healthcare e.g. Computer Science, Biomedical Informatics, Biomedical engineering, Computational Biology and other related STEM fields.
Preferred Qualifications
• Demonstrated ability to develop original research agendas.
• Must be able to collaborate effectively with other researchers.
• Excellent interpersonal skills, cross-group, and cross-culture collaboration.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work","https://www.glassdoor.com/job-listing/research-intern-machine-learning-for-biology-and-healthcare-microsoft-JV_IC1154545_KO0,59_KE60,69.htm?jl=3745786247&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Intern (Clinical Data Analytics & Technical Solutions),"Alkermes, Inc.","Waltham, MA (+1 other)","Position Summary:

Project support: Responsible for build, support and maintenance of Clinical Data Lake (ingestion of data, data profiling, data quality and metadata management).

Operational support: Responsible for special projects supporting departmental data operations.

Analytics support: Support the four pillars of data analytics (descriptive, diagnostic, predictive and prescriptive).

The preferred duration for this internship is 6 months.

Duties and Responsibilities:

Coordinate with IT and other external / internal teams to support the Clinical Data Lake environment
Build datasets per clinical use cases or / and end user requirements
Test deliverables provided by external vendors against business and functional requirements
Work closely with Clinical Data Analytics team to create technical documentation for solutions, systems, development processes and visualization dashboards
Help in all aspects of data strategy, analytics, visualization and adoption of a “Data Culture” within the organization

Education/Skills and Experience Requirements for Intern level:

Current undergraduate or graduate student in Computer Science, Statistics, Mathematics, Data Science or similar computational field
Programming knowledge of Python and SQL is required, understanding of R and SAS is a plus
Working knowledge of databases, data platforms, data warehousing, ETL, data imports and data reporting applications
Experience with deploying applications in AWS environment
Knowledge of Tableau and / or other visualization tools is preferred

Physical Demands and Work Environment:
• Travel domestic and international –0%

Alkermes, Inc. is an equal employment opportunity employer and does not discriminate against any applicant because of race, creed, color, age, national origin, ancestry, religion, gender, sexual orientation, gender expression and identity, disability, genetic information, veteran status, military status, application for military service or any other class protected by state or federal law. Alkermes also complies with all work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Alkermes is an E-Verify employer.
Analytics support: Support the four pillars of data analytics (descriptive, diagnostic, predictive and prescriptive).

Experience Level:
Internship","https://www.glassdoor.com/job-listing/intern-clinical-data-analytics-technical-solutions-alkermes-JV_IC1154703_KO0,50_KE51,59.htm?jl=4033628318&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Clinical Research Intern,Pear Therapeutics,"Boston, MA","Pear Therapeutics is the leader in prescription digital therapeutics. We aim to redefine medicine by discovering, developing, and delivering clinically validated software-based therapeutics to provide better outcomes for patients, smarter engagement and tracking tools for clinicians, and cost-effective solutions for payers. Pear has a pipeline of products and product candidates across therapeutic areas, including severe psychiatric and neurological conditions. Our first product, reSET®, treats Substance Use Disorder and was the first prescription digital therapeutic to receive marketing authorization from the FDA to treat disease. Pear’s second product, reSET-O®, for the treatment of Opioid Use Disorder, received marketing clearance from the FDA in December 2018. Pear’s third PDT, Somryst®, is the first FDA-authorized prescription digital therapeutic (PDT) for patients with chronic insomnia and the first product submitted through FDA’s traditional 510(k) pathway while simultaneously reviewed through FDA’s Software Precertification Pilot Program.

Job Description:

As a Clinical Research Intern, you will be responsible for supporting all components of Clinical Research at Pear by working closely with the Clinical Operations Team and the Translational and Clinical Research Team.

Projects you will work on:
• Assist in the curation of Pear’s virtual library
• Develop resources to support Pear programs including presentation materials, literature searches and summaries, and Excel databases
• Research Key Opinion Leaders (KOL’s)
• Assist with maintenance and updates of Smartsheet dashboards and timelines for clinical projects
• Support team in study start-up process for one or more studies, including development of training materials, study plans, and site budgets
• Provide support with implementation and user testing of our clinical study database for one or more studies (EDC)
• Contribute to study file audits, updates, and archiving process
• Participate in department team meetings
• Perform other related duties as requested

Required qualifications:
• Currently enrolled in a B.S, M.S., or Pharm. D program at an accredited university or community college and in good academic standing
• Must have completed at least two years of college education prior to beginning internship
• Interested in learning more about the clinical research and/or drug development process
• Background in psychology, biological sciences, neuroscience or data analysis background preferred
• Interest in learning about the digital therapeutics area
• Effective communications skills, detail oriented, focused, and eager to learn
• Must be available to work 32 hours per week for 10-12 weeks during the summer

What you will learn:
• Nuts and bolts of clinical research of digital therapeutics - operational components of getting a clinical study off the ground, including IRB submissions, contracting, budgeting, training, and managing complex timelines
• How to read and interpret scientific literature in the digital therapeutics field
• You will develop organizational skills and learn how they support different functional groups within an organization
• You will have the opportunity to present what you have learned at the end of the summer

Equal Employment Opportunity

Pear Therapeutics is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion or religious creed, ancestry, age, sex (including pregnancy, childbirth, breastfeeding and related medical conditions), sexual orientation, gender identity or gender expression, national origin, genetic information, qualified physical or mental disability or handicap, medical condition, qualified military or veteran status, or any other basis protected by applicable law. Pear Therapeutics also follows all applicable national, state and local laws governing nondiscrimination in employment as well as employment eligibility verification requirements of the Immigration and Nationality Act. This policy applies to all terms and conditions of employment, including hiring, placement, promotion, termination, layoff, recall, transfers, leave of absences, compensation and training.

Pear Therapeutics focuses on Biotechnology, Health Care Information Technology, Big Data, Therapeutics, and Application Platforms. Their company has offices in San Francisco, Boston, and Raleigh. They have a mid-size team that's between 51-200 employees. To date, Pear Therapeutics has raised $214M of funding; their latest round was closed on December 2020.

You can view their website at http://peartherapeutics.com/ or find them on Twitter, Facebook, and LinkedIn",https://angel.co/company/pear-therapeutics/jobs/1268141-clinical-research-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern Data Analytics HEOR Health Outcomes Research,PRA Health Sciences,"Blue Bell, PA","Symphony Healthis a leading provider of high-value data, analytics, technology solutions and actionable insights for healthcare and life sciences manufacturers, payers and providers. The company helps clients drive revenue growth and commercial effectiveness, while adapting to the transformation of the healthcare ecosystem, by integrating a broad set of patient, prescriber, payer and clinical data together with primary and secondary health research, analytics and consulting. Symphony delivers a comprehensive perspective on the real dynamics that drive business in the healthcare and life sciences markets.

At Symphony Health, we pride ourselves on beingCollaborativeand customer centric. We do this by focusing on five key values:
• Love the Customerby consistently exceeding expectations
• Focus on Brilliant Executionby being detailed and accountable
• Leapfrog the CompetitionbyDifferentiatingourselves and providing innovative solutions
• Builda High-Performance Culture that does not accept mediocrity
• Make it FunbyConnectingas one passionate high-energy team.
Connectwith Symphony!Collaboratewith Customers!DifferentiateYourself!

Qualifications

What do you need to have?
• 0 - 2 Years of related experience
• Bachelor's degree or equivalent required.
• Graduate currentlypursuing an advanced degree in pharmacy, public health, medicine, statistics, or similar field
• Exposure to and knowledge of ICD-9 and ICD-10 coding strongly preferred
• Interest in HEOR strongly preferred
• Experience with MS Outlook, Word, and Excel
• Good organizational and time management skills, with strong attention to detail
• Good communication and interpersonal skills
• Read, write and speak English fluently
• Availability to work full time
Internship Details Start Date: June 1st or after Duration: 10 weeks in length Pay Rate: $17/hour Location: Remote Equivalent combination of education, training, and relevant experience may be considered in place of the education and experience stated above. All employees must read, write and speak fluent English and host country language. This job description is intended to present the general content and requirements for the performance of this job. The description is not to be construed as an exhaustive statement of duties, responsibilities or requirements.

PRA is an EEO/AA employer and is committed to providing opportunities to minorities, women, veterans and individuals with disabilities. PRA is an EEO/AA employer and is committed to providing opportunities to minorities, women, veterans and individuals with disabilities.

Responsibilities

Symphony Health is looking to place talented students in an exciting and fast paced summer internship program! With this internship, students will have the opportunity to gain invaluable exposure to data science professionals, hands on experience with real time data, and mentoring at a healthcare industry leader in data analytics and technology solutions. What will you be doing? The Summer Intern will support our Client Advanced Analytics team, including Data Scientists, Business Analysts, Software Developers, and Consultants, at the intersection of business and technology. Utilizing your interest in healthcare outcomes research and your ability to write research protocols, you will help identify gaps in care. Some additional responsibilities may include: Provide administrative assistance in support of special projects. May create and develop presentations. Compile and analyze data and prepares reports.

United States-Remote",https://www.gettinghired.com/job-details/3657643/intern-data-analytics-heor-health-outcomes-research-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Intelligence & Analytics Summer 2021 Intern,Dana-Farber Cancer Institute,"Boston, MA (+1 other)","Job Description

The Clinical Operations and Business Analytics (COBA) team at Dana-Farber Cancer Institute (DFCI) is seeking applicants for its 2021 Summer Internship Program which has 2 open internship positions

Residing within the Department of Informatics & Analytics under the Chief Health Information Officer, the COBA team is part of a strategic initiative to enable the transformation of data into insights and actionable information for the research, operational, clinical, and business departments across the Institute. The team has access to an extraordinary range of healthcare data including medical and pharmacy claims, enrollment, EMR (Epic), scheduling, billing, referral, and laboratory results. Using this data, the COBA team supports reporting, analytics, automation, and training in areas such as patient care, quality and outcomes, operations, and research and healthcare administration.

The goal of this internship is to provide high potential individuals, who have a passion for analytics and Business intelligence in healthcare, with the opportunity to apply and develop their analytical skills. At the end of the internship, there will be an opportunity to present the work conducted over the summer.

We strongly encourage applicants from the local Boston community to apply. The intern will have the option to support upto two of the following projects below. Please indicate project preference in the letter of interest.

Customer/Employee Engagement analysis (Project A): Intern will provide support with formalizing the collection of and acting on feedback received both from customers and COBA employees. Intern will help draft customer survey and COBA team survey, contribute in designing the communication plan, and defining the process of launch, collection, analysis and acting on the findings. As part of engagement analysis intern will also assess existing business intelligence report usage and develop a standard way of communicating report usage to customers across COBA

Knowledge management system updates (Project B): Intern will assist in capturing content and building out Knowledge management System (KMS) in Confluence. The KMS platform will play an important role in engagements with client areas, development of new content, and enabling self-service for users. Information such as business definitions, dashboard user guides, and data-source details will be included. Intern involvement will be to build the documentation database from the artifacts available on the production Tableau server as well as from existing repositories and by gathering inputs from team members where needed.

Driver and Exploratory analyses (Project C): Intern will be involved in exploratory analysis of varied clinical datasets to derive findings for better outcomes, improved Patient Satisfaction, improved patient retention and experience. Intern will have to process, cleanse, and verify the integrity of data used for analysis and work as a member of cross-functional teams to analyze the data, present findings and implications. Intern will work very closely with the supervisor and develop the findings in an iterative manner to deliver meaningful, actionable outputs.

Business Intelligence Platform Improvements (Project D): Server Assessment and Redesign: Intern will assist the Tableau admin team in COBA to maintain and improve Tableau infrastructure and reorganize platform architecture by helping with analysis needed to redesign security model, doing the content analysis and identification of areas with potential scope of improvements to help scalability, maintenance and optimization. Intern may also assist in developing documentation to support the adoption and maintenance of redesigned platform.

Requirements

Motivated energetic individual who is a self-starter and able to work independently

Experience working with analytics tools (SQL, Tableau, Python)

Experience with Microsoft Office (Word, PowerPoint, Excel, Outlook, Teams)

Candidate should be ready and eager to quickly learn a new environment, new tools and system designs

Analytical skills related to data exploration and analysis highly preferred. Should be able to wrangle data and perform quantitative analysis and translate findings into a story and implications

Ability to think creatively and problem solve

Ability to work and collaborate with a team

Strong communication (written and oral) and interpersonal skills

Strong organizational skills, with the demonstrated ability to drive multiple concurrent projects to completion in a complex, deadline-driven environment

Experience with project management

Preferably earning a Bachelors/ Masters degrees in computer science, mathematics, engineering, health sciences, finance, accounting, statistics or related fields

Benefits

Interested applicants should apply by March 31, 2021 with a statement of interest and a resume as one document. Interviews will be conducted in early April. Compensation for this position will be $15/hour for rising undergraduate seniors and $20/hour for graduate students.

Located in Boston and the surrounding communities, Dana-Farber Cancer Institute brings together world renowned clinicians, innovative researchers and dedicated professionals, allies in the common mission of conquering cancer, HIV/AIDS and related diseases. Combining extremely talented people with the best technologies in a genuinely positive environment, we provide compassionate and comprehensive care to patients of all ages; we conduct research that advances treatment; we educate tomorrow's physician/researchers; we reach out to underserved members of our community; and we work with amazing partners, including other Harvard Medical School-affiliated hospitals","https://www.ziprecruiter.com/c/Dana-Farber-Cancer-Institute/Job/Business-Intelligence-&-Analytics-Summer-2021-Intern/-in-Boston,MA?jid=ba6acf058edc3c59&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Clinical Research Intern,Yale University Careers,"New Haven, CT (+1 other)","Yale Posting Status
CLOSED TO FURTHER APPLICATIONS
University Job Title
Intern
Bargaining Unit
None - Not included in the union (Yale Union Group)
Overtime Eligible
Overtime Eligible - (Yale FLSA Group)
Time Type
Full time
Duration Type
Fixed
If Fixed Duration, Period
1 year from date of hire
If Fixed Duration, is continuation possible?
Yes

Other Fixed Duration Date

31-Mar-2022

Compensation Grade

Administration & Operations

Compensation Grade Profile

Associate (00)
Work Location
Medical School Campus
Worksite Address
2 Church Street South Doctor's Building
New Haven, CT 06519
Work Week
Standard (M-F equal number of hours per day)
Searchable Job Family
Research Res Support
Total # of hours to be worked:
37.5

Position Focus

Yale Center for Clinical Investigation (YCCI) has established a Clinical and Translational Research Internship program that offers unique and exciting opportunities to gain experience in research at a renowned academic institution. These internships are a unique opportunity to gain experience in clinical research at a leading academic medical center and are ideal for college graduates who are applying to graduate or medical school in anticipation of a career in health care or research.

For an entire year, interns will work closely with our terrific team of experienced translational and clinical research faculty, administrators, and staff and will have the opportunity to participate in managing all stages of research exploring issues of executive operations, strategic management, and facilitating the translation of cutting-edge science from the bench through clinical trial to patient and public benefit. Specialization in specific areas across the research spectrum is available. The internship can include: working with and shadowing senior clinical research faculty as they conduct clinical research, human subject protection and regulatory training, meeting regularly with YCCI and faculty leadership to provide updates and receive mentoring, working with our project management, data management, biostatistics, informatics, regulatory, quality assurance, clinical units, participant recruitment, finance/operations, or joining our community engagement efforts.

Essential Duties
• Supports and coordinates a range of academic programs. 2. Works on various programs throughout the year; including researching and writing of highly confidential material and working with other departments within the University. 3. Interacts with faculty, students and staff within and outside of the University. 4. May perform other duties as assigned.

Required Education And Experience

Bachelor’s Degree or equivalent combination of education and experience.

Required Skill/Ability 1

Ability to develop new skills with minimal structured training, have excellent organizational abilities, be attentive to detail, and strive for professionalism in all aspects of work while remaining eager.

Required Skill/Ability 2

Versatile communication skills, ability to produce creative and compelling prose suitable for web and print. Possession a critical visual communications aesthetic, and comfort speaking in public.

Required Skill/Ability 3

Demonstrated passion for clinical, translational, or biomedical research. Ability to stay current with developments in the field, and be interested in pursuing a long-term career in the area.

Required Skill/Ability 4

Strong computer skills.
Weekend Hours Required?
Occasional
Evening Hours Required?
Occasional
Drug Screen
No
Health Screening
No

Background Check Requirements

All candidates for employment will be subject to pre-employment background screening for this position, which may include motor vehicle, DOT certification, drug testing and credit checks based on the position description and job requirements. All offers are contingent upon the successful completion of the background check. Please visit www.yale.edu/hronline/careers/screening/faqs.html for additional information on the background check requirements and process.
Posting Disclaimer
The intent of this job description is to provide a representative summary of the essential functions that will be required of the position and should not be construed as a declaration of specific duties and responsibilities of the particular position. Employees will be assigned specific job-related duties through their hiring departments.

Affirmative Action Statement

Yale University considers applicants for employment without regard to, and does not discriminate on the basis of, an individual’s sex, race, color, religion, age, disability, status as a veteran, or national or ethnic origin; nor does Yale discriminate on the basis of sexual orientation or gender identity or expression. Title IX of the Education Amendments of 1972 protects people from sex discrimination in educational programs and activities at institutions that receive federal financial assistance. Questions regarding Title IX may be referred to the University’s Title IX Coordinator, at TitleIX@yale.edu, or to the U.S. Department of Education, Office for Civil Rights, 8th Floor, Five Post Office Square, Boston MA 02109-3921. Telephone: 617.289.0111, Fax: 617.289.0150, TDD: 800.877.8339, or Email: ocr.boston@ed.gov.
Note
Yale University is a tobacco-free campus",https://www.linkedin.com/jobs/view/clinical-research-intern-at-yale-university-careers-2475479762?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Pre-MBA Healthcare Research Analyst, Public Equity",Yale University Careers,"New Haven, CT (+1 other)",,https://www.linkedin.com/jobs/view/clinical-research-intern-at-yale-university-careers-2475479762?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Science Associate Consultant - Intern (All Other US Universities),ZS,"New York, NY","ZS is a professional services firm that works side by side with companies to help develop and deliver products that drive customer value and company results. From R&D to portfolio strategy, customer insights, marketing and sales strategy, operations and technology, we leverage our deep industry expertise and leading-edge analytics to create solutions that work in the real world. Our most valuable asset is our people—a fact that’s reflected in our values-driven organization in which new perspectives are integral and new ideas are celebrated. ZSers are passionately committed to helping companies and their customers thrive in industries ranging from healthcare and life sciences, to high-tech, financial services, travel and transportation, and beyond.

ZS' Business Consulting group delivers solutions to a broad spectrum of marketing and sales challenges. We also help our clients transform their sales and marketing organizations to implement these solutions. Our solutions and recommendations are based in rigorous research and analysis underpinned by deep expertise and thought leadership.

DATA SCIENCE ASSOCIATE CONSULTANT - INTERN

Data Science Associate Consultants (DSACs) design, develop and execute analytic techniques on large, complex, structured and unstructured data sets (including big data) to help clients make better fact-based decisions. DSACs will research and develop new offerings/solutions, deliver client impact by collaborate to deliver client solutions and contribute to development of the ZS point of view in this space.

Responsibilities
• Develop advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner;
• Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends, figures and other relevant information;
• Collaborate with clients and other ZS stakeholders to effectively integrate and communicate analysis findings;
• Evaluate emerging datasets and technologies that may contribute to our analytical platform;
• Participate in development of select assets/accelerators that create scale;
• Contribute to thought leadership through research and publication support;
• Guide and mentor Associates on teams.

Qualfications
• PhD degree in Computer Science, Statistics or related discipline, and strong academic performance with analytic and quantitative coursework is required;
• In lieu of a PhD, 3-5 years of relevant post-collegiate work experience;
• Knowledge of big data/advanced analytics concepts and algorithms (e.g. text mining, social listening, recommender systems, predictive modeling, etc.);
• Knowledge of programming (e.g. Java/Python/R);
• Exposure to tools/platforms (e.g. Hadoop eco system and database systems);
• Agile project planning and project management skills;
• Relevant domain knowledge preferred; (healthcare/transportation/hi-tech/insurance);
• Excellent oral and written communication skills;
• Strong attention to detail, with a research-focused mindset;
• Excellent critical thinking and problem solving skills;
• High motivation, good work ethic and maturity.

ZS is a global consulting firm; fluency in English is required, additional fluency in at least one European or Asian language is desirable.
Candidates must possess work authorization for their intended country of employment. An on-line application, including a cover letter expressing interest and a full set of transcripts (official or unofficial), is required to be considered.
ZS offers a competitive compensation package with salary and bonus incentives, complete medical/dental/life insurance programs and retirement savings benefits. We are an Equal Opportunity Employer.
NO AGENCY CALLS, PLEASE.

Connect With ZS On Social Media
• Like ZS Careers on
• Follow ZS Careers on
• Follow ZS on
• Subscribe to the ZS
• Explore the

ZS has been recognized globally for its expertise in consulting and its flexible work environment. View",https://www.linkedin.cn/jobs/view/data-science-associate-consultant-intern-all-other-us-universities-at-zs-2190161861?refId=467daf90-3583-4861-a772-f28c504cf48b&trackingId=aekRS4oRRz6qFaOgHx1WUA%3D%3D&trk=public_jobs_job-result-card_result-card_full-click&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
