title,company,location,requirements,link
Investments Intern,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word)) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Wealth Management Investment Intern,The Washington Trust Company,"Providence, RI (+1 other)","Wealth Management Investment InternProvidence, RI, USA Req #666

Wednesday, March 17, 2021

Washington Trust is a special place because of our people. We believe employees who are valued, recognized, rewarded and empowered will achieve personal and professional goals. We hire the best people in the business and are always looking for professionals who will uphold our core values of quality, integrity and community.
Washington Trust is looking for an Intern to participate with its Wealth Management Investment Research team for the summer (May - August). This is an excellent opportunity for college students to participate in investment analysis and research projects in a professional Wealth Management environment.

Applicants should be entering their senior year of college with a degree in Finance or similar business related field, with experience in investment analysis through school organizations or previous internships. This opportunity requires proficiency in Microsoft products especially Excel, excellent organizational skills and strong language / communication skills.

This position will initially be remote with the possibility to move in office, located at The Washington Trust Company Wealth Management Office in Providence, RI. Availability to work 30 – 40 hours a week, hours are flexible, so please include your available days and hours.

Our intern program offers the following:
• The opportunity to immerse yourself in the daily responsibilities, projects, and initiatives.
• Collaborate with seasoned professionals
• Interact with team members and senior leadership
• Gain exposure to different areas of the business
We believe employees who are valued, recognized, rewarded and empowered, will achieve personal and professional growth. Apply today and find out why we have been selected one of the Best Places to Work in Rhode Island since 2011.

The Washington Trust Company, and each of its subsidiaries and affiliates are committed to cultivating and promoting a diverse and inclusive workforce. We seek to provide an environment of equal employment opportunity and advancement to all employees and applicants. It is our policy to provide equal employment and advancement opportunities without regard to race, color, ethnicity, age, religion, gender, pregnancy/childbirth, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, citizenship, veteran or military status, or any other category protected by federal, state and/or local laws. Click Here to view “EEO is the law poster”. For additional information, please Click Here for EEO supplement poster.

Other details
• Job Family

Entry Clerical
• Job Function

Clerical/Other
• Pay Type

Hourly",https://www.internships.com/posting/sam_4035736829?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Investment Operations Intern,Meketa Investment Group,"Westwood, MA (+1 other)","The position is available to sophomore and junior-year applicants, pursuing a degree at the collegiate level. They are encouraged to learn the operational related tasks associated with our clients investments. Operational activity includes data collection and monitoring, cash flow issue resolution, creation of letters of direction, and performance reporting for assigned clients.

The Investment Operations Intern will increase their level of knowledge regarding general and alternative investment topics and the investment consulting and management industry.

Responsibilities:
• Gather, organize, and verify financial data related to client accounts and investment managers and strategies.
• Maintain and regularly update databases of investment information.
• Calculate and verify client-related investment data and statistics.
• Help to produce client-ready quarterly and monthly reports, including reviewing data for accuracy and reasonableness.
• Investigate and resolve performance discrepancies; reconcile and validate results, ensuring that asset transfers and prices are appropriately reflected.

Position Requirements:
• Progress towards a Bachelor’s Degree with evidence of strong academic achievement.
• Sound understanding of economic and investment theory and practices.
• Ability to gather, organize, and analyze data from disparate sources.
• Strong quantitative skills, including an aptitude for financial and statistical concepts.
• Superb digital literacy, including facility with Microsoft Office Suite.
• Skill at analyzing, evaluating, and reviewing quantitative information.
• Excellent attention to detail and organized work habits.
• Independently work and proactively seek new responsibilities

About Meketa Investment Group

Meketa Investment Group is an employee-owned full service investment consulting and advisory firm. We work with some of the nation’s largest and most sophisticated institutional investors including public and private plan sponsors. We have a staff of over 200 employees among our six U.S. office locations and London.

Meketa recognizes that our workforce is a reflection of our company, and we operate in an inclusive environment that accepts and promotes diversity. We believe our employees can best serve our clients in an atmosphere where individuals are treated fairly, where professional growth is developed and encouraged, and where a healthy balance between work and home life is respected and preserved. To support employees, Meketa offers a competitive compensation structure, a wide range of benefits from core insurance benefits to time-based benefits, as well as flexible schedules and support for continuing education.

Meketa is an Equal Employment Opportunity and Affirmative Action Employer.

If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us",https://www.internships.com/posting/sam_def020dcd9e4d0d2?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Investment Analyst Intern,KKI Capital,"New York, NY",,"https://www.glassdoor.com/job-listing/investment-analyst-intern-kki-capital-JV_IC1132348_KO0,25_KE26,37.htm?jl=3667522736&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Investment Analyst MBA Intern/Consultant,Arootah LLC,"New York, NY","Job Title: Investment Analyst MBA Intern/Consultant

WHO WE ARE:

Arootah is a rising peak performance leader at the intersection of finance, technology, and wellness. Our team is on a mission to empower companies, executives, and consumers to take their game to the next level through personal, professional, and business development products. Our founder is Rich Bello, the Co-Founder of the industry-leading $10 billion hedge fund, Blue Ridge Capital. Rich is a Wharton graduate and held leadership positions at Morgan Stanley, Tiger Management, and Ernst & Young. Our offerings support businesses and individuals to raise their high standards—taking the next steps to maximize their potential.
• We coach and consult executives in the investment and financial services industries.
• We consult remote work leadership, including policies and procedures.
• We seed and develop new business hypotheses through our venture studio.
• We invest with a portfolio of public and private companies that positively impact individuals and society.
• We coach direct-to-consumer with life, executive, career, and health coaching through our virtual wellness center.
If you're passionate about creating a better world, impacting personal and professional lives, and creating value for businesses, join us! Visit us at Arootah.com to learn more.

WHO YOU ARE:

Arootah is looking for an MBA student that has a passion for the WellFinTech industry. You must be detail-oriented and a self-starter who enjoys working in a flexible environment. We want an upbeat personality with a positive attitude and an eagerness to learn. The role will wear multiple hats supporting our business plan and partnering with colleagues to achieve company goals. You will work closely with leadership, including the CEO and Directors. You will be responsible for research and sourcing new investment opportunities and drawing connections.

Your insightful contribution will develop and expand our product offering. This opportunity will help you acquire business development and evaluation skills. Ultimately, you will gain broad experience in entrepreneurship and should be prepared to enter any fast-paced work environment in a leadership capacity. This is a consulting engagement that will ideally result in a long-term position at Arootah.

WHAT YOU’LL DO:
• Research target industries and companies to provide investment recommendations
• Pinpoint white space in the WellTech and Financial Wellness markets
• Develop and write research reports to present potential investment opportunities
• Input data into a financial model to create charts, dashboards, and supporting material
• Identify target companies and evaluate investment opportunities
• Identify partnership and collaboration opportunities with other businesses partners 
• Assist with due diligence
• Conduct scenario analyses
• Conduct research on sectors of interest to the firm

QUALIFICATIONS & REQUIREMENTS:
• Preferably a second-year MBA (Class of 2021)
• Bachelor’s degree in Accounting, Finance, Marketing, or other related fields
• Minimum of 4 years’ work experience
• Critical thinking, including superior research and analytical skills
• Proficient in Microsoft Word, PowerPoint and Outlook required
• Strong competency in Excel – experience w/ databases & data manipulation is a plus
• Strong proficiency in math, web analytics, and research tools
• Excellent writing skills, including knowledge of grammar, spelling, and word usage
• Ability to ‘think outside the box’ – continually searching for new solutions
• Exemplary follow through with minimal supervision
• Enthusiasm and desire to learn about venture studios

PERKS WITH US:
• Work for a well-funded disruptor in the wellness industry
• Be a part of a start-up in the early stages! We’re growing our family, now is the time to join! 
• Autonomy in your work
• The ability to work remote
• Flexible hours
• Access to our Digital Wellness Center, including past webinars, seminar videos, and workbooks

Visit us at Arootah.com for more information",https://boards.greenhouse.io/arootahllc/jobs/4251118003?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Hedge Fund Analyst Intern to Hire,Platinum Point Capital,"New York, NY","About Us:

Platinum Point Capital is an early-stage hedge fund making structured investments in middle-lower market public companies. The firm has executed > 70 transaction since November 2018. Assets under management have tripled in the past 3 years, and we are seeking to expand our investment team. We are seeking interns-to-hire with deal-sourcing, due diligence, and back-office operations.

We are only considering candidates who are capable of commuting to our office in midtown-Manhattan capable of starting in the next 45 days. This job will open and close quickly. Prior experience in investment banking or buy-side finance is highly preferred.

Are you on the investment banking track and questioning your future? Do you have a high tolerance for risk? Want to be part of an up and coming force of a hedge fund? Read on..

Responsibilities:

Prospect companies for potential fund investment

Build relationships with executives of target investments

Pitch investment ideas to Principals

Assist with trading operations

Reconcile trades and cap-table

Analyze transactions

Requirements:

Excellent communication skills

Prior role in sales of a financial product helpful

Prior Investment-banking experience desired but not required

Strong desire to originate deals

Strong understanding of a 3-statement model

Prior experience with negotiations helpful, but not required

How to Apply:

Apply here through JobScore",https://www.internships.com/posting/sam_ke4D1a2CTTgOuQkq-SRBjS9DNR9m2EeBHY9WDLSJc5s5i5CBVDw43Q?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Investment Analyst Internship (Equities) - New York (UZ-C01EC),Into City Prep,"New York, NY","Job Description

Investment Analyst Intern

Seeking a hardworking undergraduate or recent graduate passionate about investing across in equities and/or fixed income, commodities and bonds. You may get involved in conducting research to support the development of investment strategies and evaluate potential investment opportunities

Responsibilities and Duties

Building, reviewing and updating financial models Comparing the theoretical valuation to the market price of the equity to determine whether shares are rated as Buy, Sell or Hold Financial modelling, and writing research notes Modeling sophisticated financial instruments Researching macroeconomic themes ﻿Creating visualizations and dashboard views using various data sets ﻿Researching ESG factors and their impact on investments

Qualifications and Skills

Student in penultimate year, final year or recent graduate (graduated within last 3 years). Strong academics in business, accounting, economics, finance. Will consider other degrees. Cross cultural work experience a plus Working knowledge of Excel, Power Point and Word Excellent analytical skills Strong presentation skills; oral and written

Benefits and Perks

A dedicated mentor will be offered to guide you as you progress through your investment internship journey. Unparalleled early exposure to the investment banking processes and acquiring strong financial analysis skills. This opportunity provides potential for academic credits based on the university rules.

Powered by JazzHR

p73TBrCiUc",https://www.uzoes.com/us/details/2021-04-07_c01ec39cf0bf954b2ea1849e3aba6ecb?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Off-cycle Investment Analyst (m/f/d),Into City Prep,"New York, NY",,https://www.uzoes.com/us/details/2021-04-07_c01ec39cf0bf954b2ea1849e3aba6ecb?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
MLK Program - Investment Analyst Intern (May - August 2021),Manulife,"Boston, MA","Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.Job DescriptionThe summer term will be remote. We require students to be physically located in the United States.We are looking for a student who is eager to learn about investments and investment product on a global scale, is a self-starter, and has a passion for capital markets.This role is on the Global Investment Research Team within Global Investment Product. Key responsibilities for the team include assessing new market segments, researching the product and competitive landscape, asset class research, assessing the current product platform, and different product vehicle structures (i.e. mutual funds, exchange traded funds, collective investment trusts, etc.). Our platforms are global in nature and cover the US, Canada, Hong Kong, European Cross-Border etc.ResponsibilitiesAsset class research.Compiling and assessing product performance, investment characteristics, and product features (i.e. fees, investment minimums, etc.).Additionally, alongside other intern(s) on the team, research market trends and present research biweekly to members of the Investment Analytics teams, Regional Product teams, and Global Investment Research team.QualificationsThe ideal candidate will have an interest in investments, a basic understanding of the markets, and is comfortable working independently. Ideally, you will have taken basic finance, investments, and/or economic courses.You will also possess the following primary skills:Investments KnowledgeExcelResearchData AnalyticsTo be eligible for this opportunity, you should be a college student enrolled in an accredited academic institution and a prior MLK Scholar.If you are ready to unleash your potential, it's time to start your career with Manulife/John Hancock.About ManulifeManulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Canada, Asia, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2020, we had more than 37,000 employees, over 98,000 agents, and thousands of distribution partners, serving over 30 million customers. As of December 31, 2020, we had $1.3 trillion (US$1.0 trillion) in assets under management and administration, and in the previous 12 months we made $31.6 billion in payments to our customers. Our principal operations are in Asia, Canada and the United States where we have served customers for more than 155years. We trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.Manulife is an Equal Opportunity EmployerAt Manulife/JohnHancock, we embrace our diversity. We strive to attract,developandretaina workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention,advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin,colour, ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.It is our priority to remove barriers toprovideequal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process.All information shared during the accommodation request process will be stored and used in a manner that is consistent withapplicable laws and Manulife/John Hancock policies.To request a reasonable accommodation in the application process, contact is the Law I Family & Medical Leave I Employee Polygraph Protection I Right to Work I E-Verify I Pay Transparency",https://www.usajobcentral.com/job/mlk-program-investment-analyst-intern-may-august-2021-in-boston-massachusetts/5836-113499017761?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Financial Analyst/Accounting Internship,ACCOUNTING BREW,"Syosset, NY","This is a full-time, paid internship taking place in spring/summer 2021 and there are 2 internship positions available. Our internship program is 100% virtual to align with accounting brew's COVID-19 response, for which we’re a fully remote workforce across all locations.

The duration of the internship is 3 to 6 months, during which you'll have the opportunity to learn from experienced actuaries who focus on various functions including pricing, reserving and reporting. You'll get hands-on experience, and work-ready skills through collaboration with various actuarial software applications. Contributing to diverse projects, you will gain valuable experience in the exciting and high-growth field of actuarial science!

At accounting Brew, we seek to engage and empower every individual. We value collaboration, diversity of thought and experience, sharing ideas, winning as a team and always striving for excellence.

Responsibilities

Intern Position #1 – Focus on Accounting and Reporting Cycle
• Participate in month end close process with the Financial Reporting, Expense Operations and Investment Accounting teams, including the preparation of journal entries, account reconciliations and review of certain schedules.
• Preparation and tie-out of quarterly deliverables with the Financial Reporting and External Reporting teams
• Rollforward and preparation of upcoming year-end 2021 deliverables with the Financial Reporting and External Reporting Teams
• Data Automation projects with Division Accounting team

Intern Position #2 – Focus on Tax related topics and Investments
• Preparation of federal income tax returns
• Assist with processing and summarizing Form K-1 partnership tax returns
• Assist with investment accounting projects (tax, GAAP, and/or Statutory reporting bases)
• Assist with quarterly tax provisions
• Enrolled in an undergraduate program pursuing accounting (or related) degree
• Must be in 3rd or 4th year of school to apply (Juniors and Seniors only, please)
• Good organizational and communication skills.
• Good analytical and problem-solving skills.
• Strong computer skills, especially Excel and Word.
• Ability to work collaboratively with individuals across cultures, languages and geography",https://careers.tappi.org/jobs/14325509/financial-analyst-accounting-internship?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
