title,company,location,requirements,link
Internship: Website Merchandising and Content Creation,Twisted Throttle,"Providence, RI","The Company. Twisted Throttle® is an established company with a healthy growth record and a dynamic management team. Located in Exeter, Rhode Island, Twisted Throttle was founded at the cusp of the now-exploding adventure motorcycling craze and is currently positioned as one of the major players in the market. We provide premium bolt-on motorcycle accessories for the adventure, sport-touring, and sport bike markets, primarily serving European and Japanese motorcycle riders. As exclusive North American distributor for leading powersports and ADV brands (including SW-Motech, R&G and others), we also specialize in prototyping, product development, wholesale distribution, and Internet retail sales for the full line of Twisted Throttle’s house of brands.

The Experience. Our interns are placed within teams and given a manager and mentor to help them build technical skills, cultural competencies, and self confidence. By being integrated into a team, our interns get the opportunity to work on projects that have a real impact on our bottom line. Paid internships are available for students in many of the functional areas of our company, including:
• Data loading and management
• Writing and maintaining compelling content
• Organizing and editing images, videos, and product attributes
• Optimizing pages and websites to drive sales
• and more!

We are located in Exeter, Rhode Island (20 minutes west of URI in South Kingstown via route 138, 30 minutes south of RISD in Providence via I-95, or 45 minutes west of Salve Regina in Newport). Seasonal and annual internships are available with flexible hours, and many interns stay on after graduation as full time employees. Come join us for fun, learning, and motos!

Working Conditions: Enthusiasm for motorcycles is preferred for all positions at Twisted Throttle, as enthusiasm for any sport, outdoor, or adventure activity is key to fitting in with our passionate culture. (All new hires without previous motorcycle experience are provided opportunity to attend the motorcycle safety course and obtain their motorcycle driver's license.) Whether you are a motorcycle enthusiast or not, count on the contagion of the Twisted Throttle organization’s passion and drive. You will work in an office environment with a great management team that loves to work hard, have fun, and win!

Benefits and Perks:
• The Tame. Twisted Throttle provides competitive benefits for full time staff, including multiple health, dental and vision insurance options, Health Savings Account (HSA), Flexible Spending Account (FSA), term life insurance equivalent to one year's pay, 401k with company match, gym membership reimbursement, an Employee Assistance Program (EAP), subsidized classes and convention entry for professional development, and paid time off that grows with your time at the company. AFLAC benefits, including Cancer, Life, Disability and Accident plans, are also available.
• The Twisted. Aside from awesome discounts on powersports gear and motorcycles, our culture includes a few unconventional traditions. Quarterly employee appreciation days include Nerf jousting, trips to breweries, and motorcycle release parties. Our weekly ""Meat Wednesday"" is a group lunch where all departments get together for fun, recognition and vittles. Our Ducati espresso machine keeps us fueled in the office, and our Moto Sabbatical rewards completing four years of service with a nine-day paid motorcycle-related trip; Twisted Crew members have ventured on two wheels to Alaska, Key West, the Alps, Mexico and more on their sabbaticals.

zxw5zRjpXa","https://www.glassdoor.com/job-listing/internship-website-merchandising-and-content-creation-twisted-throttle-JV_IC1151289_KO0,53_KE54,70.htm?jl=3669635134&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Internship: Website Merchandising and Content Creation,Twisted Throttle,Anywhere,"The Company. Twisted Throttle is an established company with a healthy growth record and a dynamic management team. Located in Exeter, Rhode Island, Twisted Throttle was founded at the cusp of the now-exploding adventure motorcycling craze and is currently positioned as one of the major players in the market. We provide premium bolt-on motorcycle accessories for the adventure, sport-touring, and sport bike markets, primarily serving European and Japanese motorcycle riders. As exclusive North American distributor for leading powersports and ADV brands (including SW-Motech, R&G and others), we also specialize in prototyping, product development, wholesale distribution, and Internet retail sales for the full line of Twisted Throttle?s house of brands.

The Experience. Our interns are placed within teams and given a manager and mentor to help them build technical skills, cultural competencies, and self confidence. By being integrated into a team, our interns get the opportunity to work on projects that have a real impact on our bottom line. Paid internships are available for students in many of the functional areas of our company, including:

+ Data loading and management

+ Writing and maintaining compelling content

+ Organizing and editing images, videos, and product attributes

+ Optimizing pages and websites to drive sales

+ and more!

We are located in Exeter, Rhode Island (20 minutes west of URI in South Kingstown via route 138, 30 minutes south of RISD in Providence via I-95, or 45 minutes west of Salve Regina in Newport). Seasonal and annual internships are available with flexible hours, and many interns stay on after graduation as full time employees. Come join us for fun, learning, and motos!

Working Conditions: Enthusiasm for motorcycles is preferred for all positions at Twisted Throttle, as enthusiasm for any sport, outdoor, or adventure activity is key to fitting in with our passionate culture. (All new hires without previous motorcycle experience are provided opportunity to attend the motorcycle safety course and obtain their motorcycle driver's license.) Whether you are a motorcycle enthusiast or not, count on the contagion of the Twisted Throttle organization?s passion and drive. You will work in an office environment with a great management team that loves to work hard, have fun, and win!

Benefits and Perks:

+ The Tame. Twisted Throttle provides competitive benefits for full time staff, including multiple health, dental and vision insurance options, Health Savings Account (HSA), Flexible Spending Account (FSA), term life insurance equivalent to one year's pay, 401k with company match, gym membership reimbursement, an Employee Assistance Program (EAP), subsidized classes and convention entry for professional development, and paid time off that grows with your time at the company. AFLAC benefits, including Cancer, Life, Disability and Accident plans, are also available.

+ The Twisted. Aside from awesome discounts on powersports gear and motorcycles, our culture includes a few unconventional traditions. Quarterly employee appreciation days include Nerf jousting, trips to breweries, and motorcycle release parties. Our weekly ""Meat Wednesday"" is a group lunch where all departments get together for fun, recognition and vittles. Our Ducati espresso machine keeps us fueled in the office, and our Moto Sabbatical rewards completing four years of service with a nine-day paid motorcycle-related trip; Twisted Crew members have ventured on two wheels to Alaska, Key West, the Alps, Mexico and more on their sabbaticals","https://www.ziprecruiter.com/c/Twisted-Throttle/Job/Internship:-Website-Merchandising-and-Content-Creation/-in-Providence,RI?jid=006c0d97e7f4e4c6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Jewelry Merchandiser Intern,Providence Diamond,"Cranston, RI (+1 other)",,https://www.internships.com/posting/ccm_b9dd16a4-3bdb-402b-91aa-c8bc09a886e4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
INTERNSHIP - SOCIAL MEDIA - FASHION MERCHANDISING,FAF Inc,Rhode Island,"Fashion Accessories First, a leader in innovation and design in the fashion jewelry and accessories industry, located in Smithfield, RI, seeks a student to join our creative and innovative Graphic Design team. The ideal candidate will possess a desire to work in a fast paced, creative, cross functional environment and love Fashion!

We are currently accepting applications for this internship position. Applicants must be able to work at 12 - 20 hours per week for a 6 -8 week period. This is a paid internship.

Responsibilities include:

Taking photographs (jewelry, fashion, trend, etc.)

Posting to social media and engaging with users

Design custom marketing materials for print and online

Acting as a communication liaison to keep social media platforms informed of upcoming events

Monitoring social media channels: competitive and related

Required qualifications:

Junior or Senior student pursuing an Associates/Bachelor’s degree in Graphic Design, Web design, Fashion Merchandising or related field of study at a Rhode Island school.

Proficiency and understanding of social media platforms (Instagram, Facebook, Snapchat, Twitter)

Photography Skills

Strong verbal and written communication skills

Proficiency with Microsoft Office Suite (Word, Excel, PowerPoint)

Experience with Photoshop and graphic design tools is a plus!

A desire to be immersed in Fashion Jewelry and hair accessories a Plus!

To be considered, please send us your resume and examples of your related social media and photography experience, and let us know your availability.

Job Types: Part-time, Internship

Pay: $14.00 per hour

Schedule:
• Day shift

Education:
• High school or equivalent (Preferred)

Work Location:
• One location

Internship Compensation:
• Pay
• College Credit

Work Remotely:
• No",https://www.internships.com/posting/sam_5d48a174f4d56ff8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Merchandising Intern,Staples Stores,"Framingham, MA","Description

Staples US Retail Merchandising is looking for an enthusiastic intern to join our team and help activate our Brand strategy. Staples US Retail is on a journey to transform to be the leader in working and learning, and this role is part of the team to bring it to life for our customers. You’ll be a part of one of the most exciting seasons of the year at Staples US Retail - Back to School. And will have the opportunity to roll your sleeves up in a fast-paced, dynamic environment with a fantastic group of team- and results-oriented professionals.

The ideal candidate would possess a desire to learn new ideas/concepts on a daily basis, have an ability to work independently as well as cross functionally with many teams both internally and externally, and perform in a fast-paced environment with strict attention to detail.

Primary Responsibilities
• Assist in SKU and Vendor set-up and maintenance process
• Assist in Advertising Database maintenance
• Assist in POG and Promo Database maintenance
• Assist in Pricing Database maintenance
• Create ad hoc reports and analysis as needed
• Collect and organize product information from vendors
• With direction from the Category Merchant, conduct market research, gather industry data, track trends, themes, competitive shopping to assist with item selection
• Obtain product samples for Category Managers. Coordinate samples for photo shoots as needed.
• Proof all Marketing vehicles including sku, copy, pricing and images

Qualifications

Essential skills and experience:
• Detail-oriented, organized
• Project management
• College student or graduate with an interest in learning, growing and having fun!

Preferred Skills And Experience
• Knowledge of MS Office, PowerPoint and Excel a plus

Click to learn more about the employee benefits, programs and perks offered at Staples.

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law",https://www.linkedin.com/jobs/view/merchandising-intern-at-staples-stores-2466670533?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Merchandising,Crocs,Anywhere,"Crocs has always believed that everyone should be comfortable in their own shoes. We recognize and celebrate the uniqueness in everyone. We believe that comfort and style are in the eye of the beholder and that personal expression is an inalienable right. We believe that Come As You Are is more than a tagline, it is a way of living. We believe that seeing and accepting the things that make us one of a kind, brings us closer together.

Crocs' Americas Merchandising team in our Westwood, MA office is hiring! This summer Intern will execute day-to-day tasks necessary to assist the Crocs Merchandising team. Responsible for weekly reporting updates, assortment tool updates & coordination. Develop a broad, general understanding of all merchandising functions, responsibilities, and cross-functional interdependencies in order to provide merchandising support across multiple divisions/categories.

Responsibilities:
• Assist Director and Merchants in daily/weekly/seasonal merchandising functions including:
• Create and maintain merchandising tools (Corporate Line sheet, Seasonal Buysheet, etc.)
• Update data and templates for selling recaps
• Prepare necessary materials for milestone meetings
• Act as liaison between many departments: excellent communication and analytical skills
• Make data-driven decisions and product related suggestions with regards to trend, pricing and assortment
• Excellent networking ability with good follow-up skills
• Should be confident working with numbers and have a solid understanding of Microsoft Excel
• Ad Hoc Projects

Qualifications:
• Energetic, lover of product, with an interest in digging into sales trends!
• Strong communication skills; Excellent written and verbal communication skills
• Great teammate, enjoys working cross functionally with various teams and personality types
• Highly organized, able to shift priorities with a sense of urgency, have excellent attention to detail
• Highly proficient in Excel and have sophisticated knowledge of Powerpoint, Google Docs

Crocs is an Equal Opportunity Employer committed to a diverse and inclusive work environment.

Title and Job Level: Intern

Compensation: $15.00 per hour","https://www.ziprecruiter.com/c/Crocs/Job/Intern-Merchandising/-in-Westwood,MA?jid=dc297254a18f6c36&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Part-time Merchandiser - Smithfield, RI",Crocs,Anywhere,,"https://www.ziprecruiter.com/c/Crocs/Job/Intern-Merchandising/-in-Westwood,MA?jid=dc297254a18f6c36&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Intern - Digital Merchandising,Movado Group Inc,"New York, NY","Job Description:

Job Summary:

We are looking for an organized and detail oriented current college student to join the team as our new Digital Merchandising Intern. Only actively enrolled college students will be considered.

The Digital Merchandising Intern supports the Digital Merchandising team in all aspects of content organization for Movado.com, and Movado Company Stores.com. This is an excellent opportunity for a proactive team player to grow quickly in a fast-paced, multi-branded environment and to begin to learn the basics of e-commerce best practices and get exposure to the Salesforce platform.

An intern would work on a part time basis, up to 25 hours per week, Monday – Friday. This is a PAID internship.

Roles and Responsibilities:
• Work closely with brand marketing and merchandising teams to create and track projects to ensure timely and efficient execution of all digital assets.
• Utilize web content management systems to ensure global online assortments are dynamic and productive.
• Work with team on special projects as needed.
• Works with Merchandising team on special projects as needed
• Supports other administrative functions including creating reports, presentations, etc.

Qualifications:
• Must be a current, actively enrolled college student, Juniors or Seniors preferred
• Strong analytical and math skills required
• Strong proficiency using Microsoft Office Suite, especially Excel
• Must be detail oriented, organized, and flexible
• Strong time management skills and the ability to prioritize effectively",https://grabjobs.co/us/job/full-time/retail/intern-digital-merchandising-2187656?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Fabulous Fashion Intern,Providence Diamond,"Cranston, RI (+1 other)",,https://www.internships.com/posting/ccm_df46a042-d00f-4218-b384-6aca3f71a318?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Internship: Website Merchandising and Content Creation,Twisted Throttle,"Exeter, RI (+1 other)","Job Description

The Company. Twisted Throttle® is an established company with a healthy growth record and a dynamic management team. Located in Exeter, Rhode Island, Twisted Throttle was founded at the cusp of the now-exploding adventure motorcycling craze and is currently positioned as one of the major players in the market. We provide premium bolt-on motorcycle accessories for the adventure, sport-touring, and sport bike markets, primarily serving European and Japanese motorcycle riders. As exclusive North American distributor for leading powersports and ADV brands (including SW-Motech, R&G and others), we also specialize in prototyping, product development, wholesale distribution, and Internet retail sales for the full line of Twisted Throttle’s house of brands.

The Experience. Our interns are placed within teams and given a manager and mentor to help them build technical skills, cultural competencies, and self confidence. By being integrated into a team, our interns get the opportunity to work on projects that have a real impact on our bottom line. Paid internships are available for students in many of the functional areas of our company, including:
• Data loading and management
• Writing and maintaining compelling content
• Organizing and editing images, videos, and product attributes
• Optimizing pages and websites to drive sales
• and more!

We are located in Exeter, Rhode Island (20 minutes west of URI in South Kingstown via route 138, 30 minutes south of RISD in Providence via I-95, or 45 minutes west of Salve Regina in Newport). Seasonal and annual internships are available with flexible hours, and many interns stay on after graduation as full time employees. Come join us for fun, learning, and motos!

Working Conditions: Enthusiasm for motorcycles is preferred for all positions at Twisted Throttle, as enthusiasm for any sport, outdoor, or adventure activity is key to fitting in with our passionate culture. (All new hires without previous motorcycle experience are provided opportunity to attend the motorcycle safety course and obtain their motorcycle driver's license.) Whether you are a motorcycle enthusiast or not, count on the contagion of the Twisted Throttle organization’s passion and drive. You will work in an office environment with a great management team that loves to work hard, have fun, and win!

Benefits and Perks:
• The Tame. Twisted Throttle provides competitive benefits for full time staff, including multiple health, dental and vision insurance options, Health Savings Account (HSA), Flexible Spending Account (FSA), term life insurance equivalent to one year's pay, 401k with company match, gym membership reimbursement, an Employee Assistance Program (EAP), subsidized classes and convention entry for professional development, and paid time off that grows with your time at the company. AFLAC benefits, including Cancer, Life, Disability and Accident plans, are also available.
• The Twisted. Aside from awesome discounts on powersports gear and motorcycles, our culture includes a few unconventional traditions. Quarterly employee appreciation days include Nerf jousting, trips to breweries, and motorcycle release parties. Our weekly ""Meat Wednesday"" is a group lunch where all departments get together for fun, recognition and vittles. Our Ducati espresso machine keeps us fueled in the office, and our Moto Sabbatical rewards completing four years of service with a nine-day paid motorcycle-related trip; Twisted Crew members have ventured on two wheels to Alaska, Key West, the Alps, Mexico and more on their sabbaticals.

Powered by JazzHR

zxw5zRjpXa","https://www.ziprecruiter.com/c/Twisted-Throttle/Job/Internship:-Website-Merchandising-and-Content-Creation/-in-Exeter,RI?jid=2e9aff57de47c78b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
