title,company,location,requirements,link
SEASONAL POLICY INTERN,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
,State of Rhode Island,"Providence, RI","The State is accepting online applications for available Seasonal Policy Intern positions.

A Seasonal Policy Intern assists full-time staff in various areas of policy and planning, special projects, studies, research, data collection, entry and analysis, surveys, design outreaching and education materials and to monitor organized events and other related projects.A Seasonal Policy Intern must be proficient in Microsoft Office and other related computer applications, and must demonstrate exceptional written and verbal communication skills.The State annually employs qualified responsible individuals in a variety of positions within the Department of Health during a specific limited period. Applicants will be considered for open seasonal positions based on their qualifications, availability and willingness to travel to the assigned location(s).

Many of the classifications have a three-step pay-grade. An employee in any of these classifications is paid at the first step during his or...",https://www.governmentjobs.com/careers/rhodeisland/jobs/1187899-0/seasonal-policy-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
