title,company,location,requirements,link
Pharmacy Intern,Lifespan,"Providence, RI","Summary:

Under the supervision of a pharmacist and direction of a technician group leader or technician specialist performs a variety of technical and support tasks designed to assist pharmacists in the formulation preparation dispensing and delivery of medications and pharmaceutical supplies in accordance with established policies and procedures and in keeping with the scope of services provided and in consideration to the age of the patients being served.

Responsibilities:
Under the supervision of a pharmacist assists in the formulation and preparation of medications by:
Reviewing Licensed Independent Practitioner medication orders and preparing medications for review and dispensing by a pharmacist.
Performing general operations of electronic drug dispensing system (EDDS; i.e. Omnicell Pyxis) used in the inventory control and distribution of pharmaceuticals and related supplies. Including maintaining assigning refilling and removing medication including controlled substances generating and interpreting reports to perform above.
Maintaining operating room medication inventory including controlled substances.
Preparing intravenous admixtures up to and including chemotherapy and pediatric critical care infusions utilizing aseptic techniques in a controlled environment according to computer-generated and/or pharmacist approved formulation record including proper manipulation labeling and expiration dating. Work in United States Pharmacopoeia 797 clean room environment and in accordance with procedures of the same.
Preparing non-sterile pharmaceutical products according to computer-generated and/or pharmacist approved formulation record including proper labeling and expiration dating.
Performs controlled substance discrepancy resolution in conjunction with other licensed health care professionals.
Participates in controlled substances inventory management in the Pharmacy and the hospital.

Delivers medications to clinic procedural treatment operating room and patient care areas . Retrieves medication orders.

Repackages and labels medications for distribution in accordance with pharmacist approved Packaging and Labeling Records.Prepares various emergency medication kits for pharmacist review and distribution to patient care areas.
Performs routine procurement and inventory management of medications including ordering and receipt of chemotherapy and other pharmaceutical supplies. Completes necessary paperwork for controlled substance procurement and verifies receipt of such.
Processes medication requisitions for departments and laboratories for pharmacist verification.
Reconciles patient and department medication charges.
Performs routine preventive maintenance to all equipment according to standards for same.
Assists in maintaining related Pharmacy records and files performing equipment calibration and maintenance.
Assists in maintaining the Pharmacy and medication supply areas in a neat and orderly fashion ensuring medications are stored under proper conditions for light temperature sanitation and segregation.
Participates in quality assessment and improvement activities and medication safety initiatives of the Pharmacy and the hospital. Utilizes approved process for reporting actual prevented and near miss medication errors.
Answers the telephone and triages as appropriate. Interacts with internal and external customers in accordance to hospital Customer Service Standards.
Assists in orientation and training of other pharmacy technicians and interns.
Other duties as assigned.

Other information:
BASIC KNOWLEDGE:
Current enrollment in no less than the third (3rd) year in an accredited college of pharmacy as a student in good standing.
Maintains current unrestricted licensure as a pharmacy intern in the State of Rhode Island.
One to three months on-the-job training to become familiar with duties and responsibilities and departmental procedures.
Possesses basic computer skills including Microsoft Office Suite.

EXPERIENCE:

None.

WORK ENVIRONMENT AND PHYSICAL REQUIREMENTS:
Possesses physical ability to lift carry and maneuver medication delivery equipment and pharmaceutical related inventories including extended periods of work time spent standing and walking.
Requires the visual and manual dexterity to operate a computer.
New hires into this position must successfully pass a drug screen in conformance with Rhode Island State Law.

SUPERVISORY RESPONSIBILITY: None

Lifespan is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race color religion sex national origin age ethnicity sexual orientation ancestry genetics gender identity or expression disability protected veteran or marital status. Lifespan is a VEVRAA Federal Contractor.

Location: Rhode Island Hospital USA:RI:Providence

Work Type: Per Diem

Shift: Shift 4

Union: IBT",https://jobs.lifespan.org/search/jobdetails/pharmacy-intern/3e6b3566-02f8-4252-8171-d8e01bea779d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Pharmacy Intern,Walgreens,"Providence, RI (+1 other)","Job Objectives
• Learn to provide the best patient experience through assisting the pharmacist and pharmacy team members in accordance with state and federal regulations.
• Responsible for using pharmacy systems to obtain patient and drug information and process prescriptions.
• Models and delivers a distinctive and delightful customer experience.
• Learns and champions pharmacy policy, procedures, and customer service best practices needed to perform as a future pharmacist.
Job Responsibilities/Tasks

Customer Experience
• Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues and answers questions to ensure a positive customer experience.
• Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively identifying needs, servicing until satisfied, etc.).
• Develops strong relationships with customers.
Operations
• Learn from store and pharmacy team members, field leadership, team members and customers/patients
• Under the supervision by the pharmacist, assist in the practice of pharmacy, in accordance with state, federal, and company policy. Reviews and complies with the Walgreen Co. Pharmacy Code of Conduct.
• Performs duties as assigned and supervised by the pharmacist in accordance with Walgreens standard operating procedures for entering, third party processing, filling, and dispensing prescriptions.
• Assists pharmacists and other healthcare providers in delivering patient care and services that are within the state scope of practice for pharmacy interns including patient counseling and other health services (i.e. blood pressure, medication therapy management).
• Immediately reports prescription errors to pharmacist on duty and adheres to Company policies and procedures in relation to pharmacy errors and the Quality Improvement Program.
• Strictly adheres to the Walgreen Co. policy regarding Good Faith Dispensing
• Responsible and accountable for registering all related sales on assigned cash register, collects and handles cash as required. Takes customer to OTC aisle when possible to assist in locating products.
• Handles telephone calls that do not require personal attention of the pharmacist, including those to physicians.
• Assists and supports Pharmacy Department on inventory management activities, such as, ordering, unpacking, checking and storing shipment of pharmaceuticals. Maintains knowledge of Company asset protection techniques, and files claims for warehouse overages (merchandise received, but not billed), shortages (merchandise billed, but not received), order errors or damaged goods involving Rx drugs.
• Assists with exterior and interior maintenance by ensuring the Pharmacy Department is stocked with adequate supplies, clean, neat and orderly in condition and appearance.
• Complies with all company policies and procedures; maintains respectful relationships with coworkers.
• Complete special assignments and other tasks as assigned.
Training & Personal Development
• Complete required training
• Maintains knowledge and skill in healthcare and pharmacy, including latest news and developments",https://jobs.walgreens.com/job/providence/pharmacy-intern/1242/4226462784?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Pharmacy Intern - SJH (UZ-A943B),St Joseph School Of Nursing,"North Providence, RI (+1 other)",,https://tarta.ai/j/F0w9xXgBrJRKg1c1bs2s-pharmacy-intern-sjh-uz-a943b-in-north-providence-ri-at-st-joseph-school-of-nursing?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
PHARMACY INTERN - RWH,Roger Williams Medical Center,"Providence, RI (+1 other)",,https://www.internships.com/posting/sam_4014194826?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
PHARMACY INTERN - SJH,Charter Care Health Partners,"Providence, RI",,"https://www.ziprecruiter.com/c/Charter-Care-Health-Partners/Job/PHARMACY-INTERN-SJH/-in-Providence,RI?jid=c0a7db330c92aeef&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
PHARMACY INTERN,BrightSpring Health Services,"Warwick, RI","Join our PharMerica team! PharMerica is a closed-door pharmacy where you can focus on fulfilling the pharmaceutical needs of our long-term care and senior living clients. We offer a non-retail pharmacy environment. Our organization is in high growth mode, which means advancement opportunities for individuals who are looking for career progression!

We offer:

Flexible schedules

Full-time, part-time and PRN opportunities

Competitive pay

Shift differential

Premium pay for holidays

Health, dental, vision and life insurance benefits

401k

Paid-time off

Tuition reimbursement

Non-retail/Closed-door environment

Our Pharmacy group focuses on providing exceptional customer service and meeting the pharmacy needs for hospitals, rehabilitation hospitals, long-term acute care hospitals, and other specialized care centers nationwide. If your passion is service excellence and top-quality care come join our team and apply today!
• Works under direct supervision of a Registered Pharmacist fills prescriptions and prepares IV’s
• Works with Billing Supervisor to enter data into computer system to fill prescriptions and to obtain reimbursement payment
• Works under direct supervision of a Registered Pharmacist in prepackaging medication for dispensing according to standards and government regulations
• Assists the Pharmacist in final checking of filled prescriptions, which may include stating the medication for RPh final review and/or packaging of medication post RPh final review and coordinating accurate and timely delivery to the customer
• Assists Pharmacy Management in maintaining good inventory practices which may include receiving and rotating incoming medications and supplies, posting lot numbers, expiration dates and assisting in physical inventory
• Works with Technician Supervisor in maintaining a clean/safe work environment, checking equipment for calibration, safety and cleanliness
• Required: Currently enrolled in Pharmacy school
• Required: Ability to use a computer
• Required: Detail oriented; goal oriented, team player, oral communication
• Licenses/Certifications: As required by state and federal law.

PharMerica is a full-service pharmacy solution providing value beyond medication. PharMerica is the long-term care pharmacy services provider of choice for senior living communities, skilled nursing facilities, public health organizations and post-acute care organizations. PharMerica is one of the nation's largest pharmacy companies. PharMerica offers unmatched employee development, exceptional company culture, seemingly endless opportunities for advancement and the highest hiring goals in decades. For more information about PharMerica, please visit www.pharmerica.com. Follow us on Facebook, Twitter, and LinkedIn","https://www.glassdoor.com/job-listing/pharmacy-intern-brightspring-health-services-JV_IC1151302_KO0,15_KE16,44.htm?jl=4054927672&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
PHARMACY INTERN,PharMerica,"Warwick, RI","PHARMACY INTERN

Job Locations

US-RI-WARWICK

ID

2021-27552

Position Type

PRN

Line of Business

PharMerica

Our Company

Overview

Join our PharMerica team! PharMerica is a closed-door pharmacy where you can focus on fulfilling the pharmaceutical needs of our long-term care and senior living clients. We offer anon-retail pharmacy environment. Our organization is in high growth mode, which means advancement opportunities for individuals who are looking for career progression!

We offer:

Flexible schedules

Full-time, part-time and PRN opportunities

Competitive pay

Shift differential

Premium pay for holidays

Health, dental, vision and life insurance benefits

401k

Paid-time off

Tuition reimbursement

Non-retail/Closed-door environment

Our Pharmacy group focuses on providing exceptional customer service and meeting the pharmacy needs for hospitals, rehabilitation hospitals, long-term acute care hospitals, and other specialized care centers nationwide. If your passion is service excellence and top-quality care come join our team and apply today!

Responsibilities

Works under direct supervision of a Registered Pharmacist, fills prescriptions and prepares IV's
• Works with Billing Supervisor to enter data into computer system to fill prescriptions and to obtain reimbursement payment
• Works under direct supervision of a Registered Pharmacist in prepackaging medication for dispensing according to standards and government regulations
• Assists the Pharmacist in final checking of filled prescriptions, which may include stating the medication for RPh final review and/or packaging of medication post RPh final review and coordinating accurate and timely delivery to the customer
• Assists Pharmacy Management in maintaining good inventory practices which may include receiving and rotating incoming medications and supplies, posting lot numbers, expiration dates and assisting in physical inventory
• Works with Technician Supervisor in maintaining a clean/safe work environment, checking equipment for calibration, safety and cleanliness

Qualifications
• Required: Currently enrolled in Pharmacy school
• Required: Ability to use a computer
• Required: Detail oriented; goal oriented, team player, oral communication
• Licenses/Certifications: As required by state and federal law.

About our Line of Business

PharMerica is a full-service pharmacy solution providing value beyond medication. PharMerica is the long-term care pharmacy services provider of choice for senior living communities, skilled nursing facilities, public health organizations and post-acute care organizations. PharMerica isone of the nation'slargest pharmacy companies. PharMerica offers unmatched employee development, exceptional company culture, seemingly endless opportunities for advancement and the highest hiring goals in decades. For more information about PharMerica, please visitwww.pharmerica.com. Follow us onFacebook,Twitter, and LinkedIn.

Need help finding the right job?

We can recommend jobs specifically for you!
Click here to get started.

BrightSpring Health Services, and our family of brands, provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact the BrightSpring Disabilities Support Team at 1-833-773-7240 or contact us for assistance.
Equal Opportunity Employment Posters
Click here for additional FAQ information",http://www.jobsinprovidence.com/job/detail/53187302/PHARMACY-INTERN?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Pharmacy Intern Grad,Walgreens,"Providence, RI","Job Objectives

Provides pharmacy consulting services to customers regarding the effective usage of medications, awareness with drug interactions and offering preventive healthcare services such as immunizations. Responsible for ensuring the proper compounding, dispensation, review and verification of prescribed medications within regulatory guidelines, company policies and procedures.

Supports the efficient workflow of the pharmacy and assists the pharmacy manager in identifying ways to optimize pharmacy financials, inventory management and enhance customer experience

Job Responsibilities/Tasks
Customer Experience
• Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues in a timely manner and answers questions to ensure a positive customer experience.
• Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively, identifying needs, servicing until satisfied, etc.).
• Develops strong relationships with most valuable customers by anticipating customer needs and proactively offering services. Supports efforts on enhancing customer experience by increasing focus on healthcare services (e.g. patient consultation, medication management, drug therapy reviews, and perform retail, clinical, or wellness services such as immunizations, flu shots, and diabetes awareness) thereby promoting the shift of the pharmacy role from transactional to interpersonal.
Operations
• Counsels patients and answers their questions regarding usage of medicine, side effects, interactions, contraindications, patient information privacy, generics, less expensive medicines, over-the-counter products, and refers to medical provider as needed to ensure medication is taken correctly, health needs addressed, and satisfaction with service.
• Performs pharmacist tasks including compounding, drug therapy reviews, verification, and medication management. Reviews, interprets and accurately dispenses prescribed medications when necessitated by workload.
• Ensures the pharmacy operates in accordance to regulations, company policies and standards. Assists pharmacy manager with establishing procedures that promotes the efficient workflow of the pharmacy including assigning roles, coordinating activities and soliciting employee suggestions. Responsible for the opening and closing of the pharmacy and shift change duties.
• Ensures the use of all elements of the Good Faith Dispensing policy in conjunction with state and federal controlled substance laws when filling prescriptions. The Product Review/Retail Fill Process Pharmacist has the ultimate responsibility for ensuring that the elements of Good Faith are present.
• Maintains current knowledge of information technology associated with pharmacy systems such as Intercom Plus, registers, automation, StoreNET to provide support to customers as well as pharmacy staff. Proposes and implements enhancements to pharmacy systems to further promote productivity.
• Ensures the accurate processing of insurance claims to resolve customer issues and prevent payment rejections. Follows-up with insurance companies as well as medical providers and participates in 3rd party audit.
• Follows-up with medical providers’ offices to clarify prescribed medications, dosages, refills, interactions and allergies to suggest alternative medications, and answer medical provider questions
• Performs retail, clinical, and wellness services such as immunizations, flu shots, diabetes awareness and other preventive healthcare services.
• Assists and supports the pharmacy manager in analyzing performance data including pharmacy financial, customer service, and implementation of procedures for pharmacy asset protection and inventory management. Reviews KPI’s with Pharmacy Manager, Store Manager, and Healthcare Supervisor.
• Develops and maintains good relationships with local medical community including physicians, nurses, and other health care providers. Participates in community outreach activities to promote the pharmacy business and further enhance growth opportunities.
• Partners with Central Pharmacy Operations for customer registration, 3rd party reviews, and assists with resolving customer issues to support the Well Experience locations. In virtual environments, conducts virtual product review by following specific company procedures and guidelines (e.g. using specific photographs taken by the technicians sent electronically during the F4 process and reduce transactional tasks).
People & Performance Management
• Assists the Pharmacy Manager with staff hiring and training. Reinforces the direction of Pharmacy Manager in staff performance by coaching, and providing constructive feedback, monitoring customer service, and fostering employee development.
• Promotes teamwork and motivates team members by establishing expectations, monitors and recognizes progress, and fosters a shared vision.

Training & Personal Development
• Maintains current knowledge and skills related to pharmacy and healthcare by reading pharmacy related journals, company publications, and communications. Maintains awareness of developments in retail and management and pursues best practices that would enhance performance
• Obtains necessary certifications, education credits and training such as People Plus Learning modules as required by the Company
• Seeks professional development by monitoring one’s performance, solicits for constructive feedback, and leverages pharmacy manager and store manager as mentor and coach

Communications
• Supports the Pharmacy Manager and Store Manager by communicating relevant corporate health and wellness services or strategy information to pharmacy staff",https://jobs.walgreens.com/job/providence/pharmacy-intern-grad/1242/6272921824?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
PHARMACY INTERN - SJH,CharterCARE Health Partners,"North Providence, RI","SJH-Our Lady of Fatima Hospital

SJH PHARMACY DEPT

Per Diem

Hours/Pay Period : 0

Varied Shift

Varied

Req # 20945

Summary: Assists Registered Pharmacists with technical duties such as filling prescriptions and clerical duties such as
stocking shelves.

Education: High School Diploma. Current enrollment in an accredited college of pharmacy.

Licensure: Rhode Island Student Intern Licensure in Pharmacy.

Experience: No prior experience is required.

TOGETHER we are CharterCARE

Putting people first, it's what we do with our patients and our employees. At CharterCARE Health Partners, we believe in, and support our employees, the heart of our organization. Created through the affiliation of Roger Williams Medical Center, Blackstone Valley Surgicare, and St. Joseph Health Services of Rhode Island (Our Lady of Fatima Hospital and St Joseph Health Clinic), CharterCARE was formed to preserve and enhance quality health care for the communities we serve. Some things are just better together, like CharterCARE and you.

If you are looking to partner with an organization that is as committed to advancing your career goals as it is to providing superior medical care, we invite you to review our open positions today. We look forward to meeting you. CharterCARE affiliated partners include Roger Williams Medical Center, St. Joseph Health Services of Rhode Island (Our Lady of Fatima Hospital and St Joseph Health Clinic), Our Lady of Fatima Hospital, Blackstone Valley Surgicare, and Roger Williams Medical Associates. CREATE YOUR FUTURE TODAY

CharterCARE affiliated partners include Roger Williams Medical Center, St. Joseph Health Services of Rhode Island (Our Lady of Fatima Hospital and St Joseph Health Clinic), Our Lady of Fatima Hospital, Blackstone Valley Surgicare, and Roger Williams Medical Associates.

CREATE YOUR FUTURE TODAY","https://www.glassdoor.com/job-listing/pharmacy-intern-sjh-chartercare-health-partners-JV_IC1151281_KO0,19_KE20,47.htm?jl=3818553613&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Pharmacy Intern Grad,Duane Reade,"North Providence, RI","466988BR Title:

Pharmacy Intern Grad

Job Description:

Job Objectives

Provides pharmacy consulting services to customers regarding the effective usage of medications, awareness with drug interactions and offering preventive healthcare services such as immunizations. Responsible for ensuring the proper compounding, dispensation, review and verification of prescribed medications within regulatory guidelines, company policies and procedures.

Supports the efficient workflow of the pharmacy and assists the pharmacy manager in identifying ways to optimize pharmacy financials, inventory management and enhance customer experience

Job Responsibilities/Tasks Customer Experience
• Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues in a timely manner and answers questions to ensure a positive customer experience. + Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively, identifying needs, servicing until satisfied, etc.). + Develops strong relationships with most valuable customers by anticipating customer needs and proactively offering services. Supports efforts on enhancing customer experience by increasing focus on healthcare services (e.g. patient consultation, medication management, drug therapy reviews, and perform retail, clinical, or wellness services such as immunizations, flu shots, and diabetes awareness) thereby promoting the shift of the pharmacy role from transactional to interpersonal.

Operations
• Counsels patients and answers their questions regarding usage of medicine, side effects, interactions, contraindications, patient information privacy, generics, less expensive medicines, over-the-counter products, and refers to medical provider as needed to ensure medication is taken correctly, health needs addressed, and satisfaction with service. + Performs pharmacist tasks including compounding, drug therapy reviews, verification, and medication management. Reviews, interprets and accurately dispenses prescribed medications when necessitated by workload. + Ensures the pharmacy operates in accordance to regulations, company policies and standards. Assists pharmacy manager with establishing procedures that promotes the efficient workflow of the pharmacy including assigning roles, coordinating activities and soliciting employee suggestions. Responsible for the opening and closing of the pharmacy and shift change duties.
• Ensures the use of all elements of the Good Faith Dispensing policy in conjunction with state and federal controlled substance laws when filling prescriptions. The Product Review/Retail Fill Process Pharmacist has the ultimate responsibility for ensuring that the elements of Good Faith are present. + Maintains current knowledge of information technology associated with pharmacy systems such as Intercom Plus, registers, automation, StoreNET to provide support to customers as well as pharmacy staff. Proposes and implements enhancements to pharmacy systems to further promote productivity. + Ensures the accurate processing of insurance claims to resolve customer issues and prevent payment rejections. Follows-up with insurance companies as well as medical providers and participates in 3rd party audit. + Follows-up with medical providers' offices to clarify prescribed medications, dosages, refills, interactions and allergies to suggest alternative medications, and answer medical provider questions + Performs retail, clinical, and wellness services such as immunizations, flu shots, diabetes awareness and other preventive healthcare services.
• Assists and supports the pharmacy manager in analyzing performance data including pharmacy financial, customer service, and implementation of procedures for pharmacy asset protection and inventory management. Reviews KPI's with Pharmacy Manager, Store Manager, and Healthcare Supervisor. + Develops and maintains good relationships with local medical community including physicians, nurses, and other health care providers. Participates in community outreach activities to promote the pharmacy business and further enhance growth opportunities.
• Partners with Central Pharmacy Operations for customer registration, 3rd party reviews, and assists with resolving customer issues to support the Well Experience locations. In virtual environments, conducts virtual product review by following specific company procedures and guidelines (e.g. using specific photographs taken by the technicians sent electronically during the F4 process and reduce transactional tasks).

People & Performance Management
• Assists the Pharmacy Manager with staff hiring and training. Reinforces the direction of Pharmacy Manager in staff performance by coaching, and providing constructive feedback, monitoring customer service, and fostering employee development. + Promotes teamwork and motivates team members by establishing expectations, monitors and recognizes progress, and fosters a shared vision.

Training & Personal Development
• Maintains current knowledge and skills related to pharmacy and healthcare by reading pharmacy related journals, company publications, and communications. Maintains awareness of developments in retail and management and pursues best practices that would enhance performance + Obtains necessary certifications, education credits and training such as People Plus Learning modules as required by the Company + Seeks professional development by monitoring one's performance, solicits for constructive feedback, and leverages pharmacy manager and store manager as mentor and coach

Communications
• Supports the Pharmacy Manager and Store Manager by communicating relevant corporate health and wellness services or strategy information to pharmacy staff.

Auto req ID:

466988BR

External Basic Qualifications:
• Willingness to obtain BS in Pharmacy or Pharmacist Degree from an accredited educational institution prior to start date. + Willingness to obtain pharmacist licensure in the states within the district within 90 days of hire per district guidelines. + Experience performing prescription dispensing activities that demonstrate a strong working knowledge of applicable state and federal controlled substance laws. + Certified Immunizer or willing to become an immunizer within 90 days of hire.

An Equal Opportunity Employer, including disability/veterans.

Store:

03468-PAWTUCKET RI

Employment Type:

Flexible hours

Preferred Qualifications:

Company Indicator:

Walgreens

Common Location:

100 BROAD ST,PAWTUCKET,RI,02860-02024-03468-S

District:

801-NORTH PROVIDENCE RI

Full District Office Address:

1665 MINERAL SPRING AVENUE,NORTH PROVIDENCE,RI,02904

Campus Req?:

No

Walgreens is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status","https://www.ziprecruiter.com/c/Duane-Reade/Job/Pharmacy-Intern-Grad/-in-North-Providence,RI?jid=d0aa978c0064625b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
