title,company,location,requirements,link
Media/Public Relations Intern,Pearson,"Providence, RI","Job Information

Pearson Media/Public Relations Intern in Providence, Rhode Island

Media/Public Relations Intern - ( 2103471 )

Description

The GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.

GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.

We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.

The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Currently a junior or senior in college, in pursuit of a bachelors degree in Communications, Public Relations, Marketing or related field
• Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones.
• Understand and be comfortable using the large social media platforms Facebook, Twitter, Instagram, and YouTube
• Interested and familiar with education, public relations/communications, and social media
• Team player who works well with others and isnt afraid to ask questions
• Detail-oriented, cares about how our communications will impact thousands of people
• Develop new content, including blog posts, emails, newsletter ideas
• Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content
• Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work
• Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software
• Plan, schedule, and upload content on Facebook, Twitter, LinkedIn
• Assist marketing team with monitoring all social media channels to engage with users through Hootsuite
• Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic

Primary Location : US-RE-Remote

Work Locations :

US-Remote

Remote

Job : Communication

Organization : Assessments VUE

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Travel : No

Job Posting : Mar 9, 2021

Job Unposting : Ongoing

Schedule: : Part-time Temporary

Req ID: 2103471",https://www.internships.com/posting/bug_38966828061?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Communications Intern,Hasbro,"Pawtucket, RI","Imagine aninternship where work feels like play – it's fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands. Successful candidates are proactive, energetic, collaborative, responsive, flexible, and creative. The Social CommunicationsInternwill support the team on a variety of projects that support the Brand Publicity functions of the department including:

A day in the life of a Social Communications Intern...
• Collaborating with cross-functional teams on the development and execution of integrated social media strategies that support PR initiatives such as brand launches, product announcements or entertainment reveals, ensuring consistency throughout all communication channels.
• Support social activations forall large-scale events
• Support day-to-day community management with a team of community managers for multiple Hasbro corporate and brand social media channels including Facebook, Twitter, Instagram and other relevant social channels
• Posting and scheduling social content, monitoring conversations and fostering thoughtful dialogue with fans/followers
• Partnering closely with Global Consumer Care team to field and respond to consumer inquiries that emerge on social media
• Maintaining guardrails and escalation protocols, managing issues and crises by collaborating with PR counterparts
• Working with marketing and ecommerce partners on development and community management of paid social campaigns
• Being the eyes and ears of Hasbro's Brands and communicating findings to the appropriate cross-functional team when necessary
• Assist in identifying influencers, outreach, and tracking on social media

What you'll bring...
• Stellar listening and writing skills with a sharp eye for detail
• Creative problem-solving skills
• Global thinking
• Able to work collaboratively and independently with ease
• Strong leadership and organizational skills
• Integrity and reliability

Qualifiactions...
• Enrollment in an undergraduate degree program with a GPA of 3.2 or higher
• Major in communications, public relations, marketing, or journalism","https://www.ziprecruiter.com/c/Hasbro/Job/Social-Communications-Intern/-in-Pawtucket,RI?jid=7206f6eb5f9a31ed&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Remote Public Relations Intern,GSMC PODCAST NETWORK,"Providence, RI","Job Description Remote Public Relations Internship GSMC Podcast Network Compensation: Unpaid Internship Employment Type: Part Time 20+ hours a Week Company Website : Link Removed Corporate Headquarters: Folsom CA Job Description: Internship Title: Remote Public Relations Intern GSMC Podcast Network is seeking a qualified, dynamic, driven Remote Public Relations Intern. This is a remote position. Remote Public Relations Intern would work from a home-based office and report to corporate headquarters based in Folsom, California. Intern must have a working home office, but must be comfortable working in a team environment and possess good communication skills. The job of the Remote Public Relations Intern is to help build the GSMC Podcast Network's brand, educate about its products, and build their brand, listenership, and social media followings in order to help increase overall sales. In addition, Remote Public Relations Intern will work to promote the GSMC Podcast Network by creating exciting graphics and videos for Social Media, draft press releases, and schedule interviews and speaking engagements for the GSMC President. The Remote Public Relations Intern will work to create engaging content for the GSMC Podcast Network social media presence, including keeping social media channels Facebook, Tumblr, Instagram, Twitter, and LinkedIn updated and brand-focused, and seeking out new social media avenues and ways of connecting with audiences. Knowledge of Adobe suite of products a plus. The Remote Public Relations Intern will be responsible for assisting the staff with office duties including, but not limited to, graphic design, video creation and editing, research, data entry, website editing and design, ideation and creation of sales brochures and presentations, SEO and SEM, scheduling speaking engagements and interviews, and drafting press releases. This position is for college graduates or students who are set to graduate within a year. This is a 12 month Internship. PLEASE READ Although this Internship has the ability to earn commission this is not a guarantee of income. Internship should be considered an Unpaid Internship for College Credit and/or Life Experience. If the opportunity comes for an intern to earn income the intern would be paid a percentage of the gross revenue of Social Media Advertising. If intern earns commission, intern would NOT receive a W-2 but would receive a 1099 as an independent contractor at the end of the calendar year. About Us The GSMC Podcast Network is an exciting group of Podcasts dedicated to providing our listeners with endless hours of enjoyment, covering podcast subjects from News, Sports, Relationship, Books, Religion, Music, Fashion, Cooking, Entertainment, Fantasy Football, and more. Job Requirements Requirements: - Proficiency in Social Media Platforms, including, but not limited to, Facebook, Twitter, Instagram, LinkedIn, and Tumbler. - Proficiency with Search Engine Marketing (SEM) and Search Engine Optimization (SEM). - Ability to schedule speaking engagements and interview opportunities on major media outlets such as podcasts, radio, and television for GSMC President. - Ability to draft a press release. - Possess excellent written and verbal communication and customer service skills. - Possess creativity, flexibility, variety, and growth potential. - Should be open-minded, a fast learner, enthusiastic, and adaptable. - Must be a team player and flourish in a fast-paced, deadline-oriented environment. - Open to constructive criticism and customer feedback. Responsibilities: - Provide support to social media efforts to target new audiences. - Utilize social media to engage with a community of fans/followers online. - Coordinate online marketing and advertising campaigns. - Demonstrate interest in social media and how media and communication strategies can continuously engage the online community. - Draft Press Releases - Work with and produce sales collateral, brochures, and presentations for GSMC President, Management Team, and Sales Team. - Research and analyze competitor marketing and sales materials. - Collaborate on team presentations for management and clients. - Assists in the design and development of layouts for marketing materials, using appealing graphics that are well organized. - Responsible to incorporate current design trends into each unique layout to produce an up-to-date style for custom ads. - Ability to exercise good judgment when interpreting instructions and to identify the strengths and weaknesses of alternative solutions. - Utilize strong written skills and bring effective visual ideas from concept through to completion. This is an unpaid internship with the possibility of becoming a permanent position in the future",https://providence-ri.geebo.com/jobs-online/view/id/779916629-remote-public-relations-intern-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Remote Media, Communications & Publishing or Creative Internships",Virtual Internships,Anywhere,"Why Complete a Remote Media or Creative Opportunity

Working in Media, Communications, & Publishing across the globe can require delivering fresh content across multiple outlets that meet the needs of a wide audience. Virtual interns supporting this career field can support the development of any type of medium including digital, print, video, photography and more, as well as supporting the editing and distribution of the content. Tasks may revolve around a specific piece and require research, content development, and more.

Media (in its various forms) is a major export in many countries including the UK, India, Japan, the United States, and South Korea. Japanese anime, for example, has grown massively in popularity and spread to all corners of the world. Similarly, Bollywood movies, KPop, American music, and British TV have all seen great success when exported outside their home countries. In the broader media sphere, there are so many potential career pathways to choose from that most professionals in these areas are keen to emphasize the importance of internships to help find your niche. Whether interested in working with video production, animation, graphic design, public relations, or music, Virtual Internships offers amazing opportunities to delve into these fascinating industries.

Sample Placements
• Support a Fintech company based in Seoul to create a 15 second ad video to be used as ProBit Exchange's Youtube main video advertisement and solely craft the brand image designs of key social media accounts of ProBit Exchange
• Support a South Korean fashion design company to complete a full creation of their look book through competitor research, developing their brand F/W concept, retouching Photos, and upload to their website.

Sample Tasks
• Client Relations and Support
• Content Development
• Content Research
• Content Reviewer
• Copywriting - Website
• Create media plan based on client needs
• Creative Design - Photoshop, Illustrator, InDesign
• Editing
• Facilitation and Presentation Delivery Skills
• Fact Checking
• Marketing
• Media and News Liaison
• Presentation
• Social Media Marketing
• Story/Blog Pitching
• Storytelling

What is a Remote Internship?

Remote internships are internships that are done completely online or remotely, from the comfort of your own home. You are placed with a company, and have a supervisor that you report to. You are in regular contact with the supervisor/team via virtual methods such as video call, phone call, email and instant messenger. Companies exist both domestically and internationally, with placements spanning over 3500 different companies across 70 countries.

Placement Process

Virtual Internships guarantees a placement for all students accepted into our program. Review the Linear Placement Process to learn more.

Working with a Provider

As Virtual Internships is a provider, we work to not only provide you a guaranteed internship that meets your skills and interests, but provide scaffolding and support including, weekly discussions, online professional development curriculum, and coaching calls to support your post-program employment. Applying to our program means that if accepted you are guaranteed an internship in the Career Field (we have 18 to choose from) of your choice, and aligned to your university's dates and requirements.

Internship Dates:
• We have a start date every other week!
• Interns can select to work 10, 20 or 30 hours a week
• Interns can work a minimum of 4 weeks or a maximum of 16 weeks.

What is Included?

This is an unpaid experience but offers a full time work experience with a global established company as well as additional support to include:
• Guaranteed Virtual International Internship

in the country or career field of choice
• Dedicated Program Experience Manager

to check-in weekly with interns
• Assigned Internship Coach

to complete midpoint and end of program coaching calls with delivery of Global Career Management Plan (GCMP) and Global Employability Certificate
• Access to CareerBridge,

our Global Internship Curriculum walking students through resume creation, interview prep, time management, remote work and more.
• Weekly Group Discussions

or Business Webinars covering a range of topical themes
• Full End of Program Report

including supervisor evaluation, student assessment, and GCMP",https://www.zippia.com/providence-ri-jobs/publishing-internship-dlp/?656e4944eed281de6d6d9c2352a0949942bc7d96&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Marketing & Social Media Intern,Hometown Poké,"Providence, RI (+1 other)","Part-time Internship (8-12 hours/week)

Are you social media savvy with a knack for marketing? We are looking for a marketing and social media intern to work with us to increase brand awareness and customer engagement. Candidate must be able to take initiative and work independently and alongside management on multiple marketing initiatives.

Please note this internship is unpaid but may be eligible for college credit depending on your program. For the exceptionally motivated candidate, this internship can lead to a part-time paid position as we continue to grow. Hours and start and end dates are flexible.

Required qualifications:
• Proficiency and understanding of social media platforms (Instagram, Facebook, Snapchat, Twitter)
• Strong verbal and written communication skills
• Proficiency with Microsoft Office Suite (Word, Excel, PowerPoint)
• Familiarity with the Hometown brand and values
• A thirst for knowledge and problem solving
• Experience with Photoshop and graphic design tools is a plus!

Responsibilities include but are not limited to:
• Drafting monthly newsletters and updating the mailing list
• Taking photographs (food, storefront, lifestyle, etc.)
• Posting to social media and engaging with customers
• Design custom marketing materials for print and online
• Identifying partnership opportunities and building relationships
• Acting as a communication liaison to keep local publications informed of upcoming events

Benefits to working at Hometown Café and Poké Bar include:
• Starting wages above state minimum
• A meal on us during your shift
• Periodic team events (dinners, activities, and more)
• Continuous on-the-job training and development
• Exposure to business building and working in the start-up environment

As a member of the Hometown team, you will bring a positive attitude and be willing to help with any task, no matter how big or small. We are a tight-knit family that is passionate about the Hometown values, serving quality food, and providing great customer service. We hope you’ll fit right into our weird, but loving family and embody our same values","https://www.glassdoor.com/job-listing/marketing-social-media-intern-hometown-pok%C3%A9-JV_IC1151289_KO0,29_KE30,43.htm?jl=3669659160&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Marketing Internship - Summer 2021,Oracle,"Providence, RI","This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act.*This is a remote/office based position which may be performed anywhere in the United States except for within the state of Colorado.**Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.*The world is changing and Oracle is looking for leaders like you to be a part of that change.We believe transformation is led by individuals with diverse backgrounds, experiences, and ways of thinking.At Oracle, we continue to push forward and innovate, not in spite of challenges, but because of them.

We're looking for motivated students who want to leave their markat one of the world's largest B2B technology companies. So, if you're looking to pursue a career in marketing - and have fun along the way - you've come to the right place.This summer, we are looking for talented individuals who want to kick-start their marketing careers in advertising, analyst relations, brand, corporate marketing, customer marketing, data science and analytics, event management, field marketing, public relations, product marketing, social/digital media... just to name a few of the marketing teams.Our mission is to help people see data in new ways, discover insights, and unlock endless possibilities.

And we can't do it without your help.Role & Responsibilities: Participate in immersive workshops to develop foundational marketing skills Engage in interactive learning activities and discussions with Oracle executives Develop marketing strategies, ideate and storyboard marketing campaigns, and/or implement activation plans Outreach and oversight of partnerships and/or sponsorships Manage and report on campaign expenses and budgets Create and manage email campaigns, webcasts, blogs, social posts, press releases, Zoom webinars and/or other pieces of digital content Track, measure and analyze engagement metrics on a variety of Oracle content to develop insights for future marketing efforts Draw insights by visualizing, mining, and synthesizing data Collaborate with key stakeholders to execute on innovative ideas Additional responsibilities may vary depending on the marketing team you are matched withQualifications: Candidates pursuing BA/BS in Business, Marketing, Communications, or similar, entering their final year of studies (in the Fall academic year preferred) Proactive self-starter capable of working both independently and in a team setting Ability to work cross-functionally and manage multiple projects simultaneously Exceptional professionalism and work ethic Strong written and oral communication skills Proficient in Microsoft Office programs Minimum 3.3 GPA preferred Web design, photography, and video/video editing skills are a plusNo visa sponsorship available for this position.Apply now to launch your career with Oracle and make your summer internship an experience to remember. #AtOracleUCan./If you are interested in working at Oracle and you have more than 2 years of professional full-time work experience (excluding internships, research and/or teaching assistant roles, and/or military experience), please apply to Oracle's experienced job openings. For information on currently open positions at Oracle, please visit/*/http://oracle.com/goto/careers/***Job:** **All Roles***Organization:** **Oracle***Title:** *Marketing Internship - Summer 2021***Location:** *United States***Requisition ID:** 2000146D","https://www.ziprecruiter.com/c/Oracle/Job/Marketing-Internship-Summer-2021/-in-Providence,RI?jid=30f899a9013d765d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Brand Marketing Intern (Summer 2021),Hasbro,"Pawtucket, RI","At Hasbro, we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of Community, Passion, Integrity, Creativity and Inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best is yet to come.

Imagine an internship where work feels like play – it’s fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands by using a digital first mindset that bring our story driven play experiences to consumers around the world.

Everyday you’ll be working with digital first thinkers, innovative consumer marketers, and brilliant brand developers! You’ll help to manage global product development, marketing processes, line planning activities, and social strategies. In this exciting role, you will partner with cross-functional teams; including but not limited to regional or global marketing, design and development, packaging, engineering, demand planning, and costing on all phases of product development. You will assist on all consumer facing marketing activities such as advertising, communication, YouTube and other social strategies. Successful candidates are proactive, energetic, collaborative, responsive, flexible, creative, analytical, strategic and decisive.

What you’ll do and what you’ll learn:
• Partnering with cross-functional teams to execute key brand initiatives, including finding innovative ways to grow the business.
• Using social insights to help drive product innovations through the system to better meet consumer demands.
• Leveraging creative thinking and consumer insights to drive product innovations and better meet/exceed consumer demands.
• Assisting in the development of overall go-to-market product strategy, primary assets for advertising and other marketing communications.
• Applying consumer insights and competitive market expert segment and leveraging learnings on the product line.
• Aligning best in class content and storytelling with strong commercial plans.

What you’ll bring:
• Digitally savvy, (product development, consumer marketing, retail)
• Presentation skills: can deliver complex information in a compelling way, uses story to persuade audience; captures interest, engages audience, uses supporting points to influence
• Data analysis: can make sense of quantitative and qualitative information affecting the brand; exposure to Tubular, Net Base, etc. a plus

This opportunity is for you if:

• You are a marketing undergrad currently enrolled in classes or MBA Marketing student looking to work on iconic brands. May 2021 or earlier graduates are no longer elible for Hasbro internship opportunities.
• You are keenly aware of the world around you, and love to learn from it
• You thrive on figuring things out and making things happen
• You are trend savvy and think broadly about competitive sets
• You have an entrepreneurial spirit, but know how to leverage it within a corporate environment
• You are comfortable experimenting, taking risks and challenging the status quo
• You actively seek, and offer diverse points of view
• Remote candidates in the US may be considered

About Hasbro

Hasbro (NASDAQ: HAS) is a global play and entertainment company committed to Creating the World's Best Play and Entertainment Experiences. From toys, games and consumer products to television, movies, digital gaming, live action, music, and virtual reality experiences, Hasbro connects to global audiences by bringing to life great innovations, stories and brands across established and inventive platforms. Hasbro’s iconic brands include NERF, MAGIC: THE GATHERING, MY LITTLE PONY, TRANSFORMERS, PLAY-DOH, MONOPOLY, BABY ALIVE, POWER RANGERS, PEPPA PIG and PJ MASKS, as well as premier partner brands. Through its global entertainment studio, eOne, Hasbro is building its brands globally through great storytelling and content on all screens. Hasbro is committed to making the world a better place for all children and all families through corporate social responsibility and philanthropy. Hasbro ranked among the 2020 100 Best Corporate Citizens by 3BL Media, has been named one of the World’s Most Ethical Companies® by Ethisphere Institute for the past nine years, and one of America’s Most JUST Companies by Forbes and JUST Capital for the past four years. We routinely share important business and brand updates on our Investor Relations website, Newsroom and social channels (@Hasbro on Twitter and Instagram, and @HasbroOfficial on Facebook.)

© 2020 Hasbro, Inc. All Rights Reserved",https://jobs.hasbro.com/job/Pawtucket-Brand-Marketing-Intern-%28Summer-2021%29-Rhod-02861/712628000/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Marketing Communications & Digital Marketing Intern,Becton Dickinson,"Warwick, RI","Job Information

BD (Becton, Dickinson and Company) Marketing Communications & Digital Marketing Intern in Warwick, Rhode Island

Job Description SummaryThe graphic design intern will support the Marketing Communications department with all day to day design requests and responsibilities. These requests may range from event promo materials, sales collateral, digital ads and internal communication requests. The graphic design intern will report directly to the Assoc. Manager of Marketing Communications. The candidate must be working to complete their BFA in graphic design, have a keen eye for design and details with a GPA of 3.5 or higher. The candidate must supply a sample of work to be eligible for the position. Local candidates to the RI area are strongly encouraged to apply.

Job Description

The graphic design intern will support the Marketing Communications department with all day to day design requests and responsibilities. These requests may range from event promo materials sales collateral, digital ads and internal communication requests. The graphic design intern will report directly to the Assoc. Manager of Marketing Communications. The candidate must be working to complete their BFA in graphic design, have a keen eye for design and details with a GPA of 3.5 or higher. The candidate must supply a sample of work to be eligible for the position. Local candidates to the RI area are strongly encouraged to apply.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status.

Primary Work LocationUSA RI - Warwick

Additional Locations

Work ShiftNA (United States of America)

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status",https://www.internships.com/posting/bug_38967788222?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Volunteer: Writer / Journalist Internship,The Borgen Project,"Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. This is a 12-week, part-time, unpaid internship. The selected candidate will be able to work from home and pick their own schedule, but must meet weekly deadlines. Articles submitted will appear on BORGEN Magazine or The Borgen Project Blog.
• Write one article per week.
• Research topics.
• Assist with advocacy efforts.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.

Qualifications Strong research and writing skills. Must be able to work independently and meet deadlines with very little supervision. Experience writing SEO friendly content is helpful, but not required.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good",https://www.linkedin.com/jobs/view/volunteer-writer-journalist-internship-at-the-borgen-project-2410532137?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Media/Public Relations Intern,Pearson,"Boston, MA (+1 other)","Job Information

Pearson Media/Public Relations Intern in Boston, Massachusetts

Media/Public Relations Intern - ( 2103471 )

Description

The GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.

GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.

We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.

The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Currently a junior or senior in college, in pursuit of a bachelors degree in Communications, Public Relations, Marketing or related field
• Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones.
• Understand and be comfortable using the large social media platforms Facebook, Twitter, Instagram, and YouTube
• Interested and familiar with education, public relations/communications, and social media
• Team player who works well with others and isnt afraid to ask questions
• Detail-oriented, cares about how our communications will impact thousands of people
• Develop new content, including blog posts, emails, newsletter ideas
• Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content
• Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work
• Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software
• Plan, schedule, and upload content on Facebook, Twitter, LinkedIn
• Assist marketing team with monitoring all social media channels to engage with users through Hootsuite
• Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic

Primary Location : US-RE-Remote

Work Locations :

US-Remote

Remote

Job : Communication

Organization : Assessments VUE

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Travel : No

Job Posting : Mar 9, 2021

Job Unposting : Ongoing

Schedule: : Part-time Temporary

Req ID: 2103471",https://www.internships.com/posting/bug_38964729537?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
