title,company,location,requirements,link
Real Estate Operations Summer Intern,Citizens Financial Group,"Johnston, RI","Job Information

Citizens Bank Real Estate Operations Summer Internship in Johnston, Rhode Island

Description

Real Estate Operations provides facility related services and amenities to all our buildings and branches. These include:
• Repairs & Maintenance
• Energy Services
• Fire, Life and Safety
• Cafeteria Services
• Building Improvements
• Janitorial Services
• Snow Removal

In this internship you will assist the Property, Real Estate Operations team as needed. The intern role will work closely with the Facility Management team; work responsibilities include supporting the creation of the Back Office Etiquette Program Playbook, updating the existing FM Playbook, supporting our new Capital Planning software, creating a reporting dashboard of Key Performance Indicators (KPIs) for the Real Estate Operations team, and other tasks as assigned.

Other responsibilities will include:
• Fulfilling project administrative reporting requirements
• Providing assistance to department as needed
• Preparing status reports and documenting through the use of computerized systems and project management software applications
• Assisting in designing, organizing, documenting and implementing all phases of assigned projects to satisfy project requirements and achieve business goals
• Collaborating with other business areas to support project, as needed
• The position is a technical and analytical position which will support strategic responsibility that will be part of the Real Estate Operations team
• The position will support creating and analyzing various technical, engineering service reports to support initiatives and projects that are part of the 2021 Business Plan

Qualifications
• Currently pursuing a Bachelor's or Master's Degree in Business related area
• Expected graduation date of May 2022
• Microsoft Office Word, Excel, Power Point, Outlook (Beginner to Advanced)
• Communication strong written and verbal
• Excellent attention to detail
• Ability to operate independently

Hours and Work Schedule

Hours per Week: 40

Work Schedule: M - Th

Why Work for Us

At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth.

Equal Employment Opportunity

It is the policy of Citizens to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, colleague or a dependents reproductive health decision making, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, genetic characteristic, citizenship, veteran or military status, marital or domestic partner status, family status/parenthood, victim of domestic violence, or any other category protected by federal, state and/or local laws.

Equal Employment and Opportunity Employer/Disabled/Veteran

Citizens is a brand name of Citizens Bank, N.A. and each of its respective affiliates",https://www.internships.com/posting/bug_38973128144?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Real Estate Operations Summer Internship (BB-778B0),"Citizens Financial Group, Inc.","Johnston, RI",,https://us.bebee.com/job/20210407-4b5dc03cba134bddd99004a2c2a778b0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Property Operations Summer Internship,"AvalonBay Communities, Inc.","Jersey City, NJ","Job Type: Non ExemptState::NJ City:Jersey CityBrand:Avalon OverviewCreating a better way to liveis the purpose that binds AvalonBay associates. At AvalonBay, every day you can make a difference in someone's life. We take that purpose seriously and expect you will as well. From helping someone choose one of our communities as their home to providing great service throughout a resident's stay to supporting your fellow associates, your positive, professional and consistent personal interactions make AvalonBay a great place to work. Our purpose and our core values - A Commitment to Integrity, A Spirit of Caring, and A Focus on Continuous Improvement - set us apart.So if you're looking for a rewarding career opportunity with the top property management organization in the country, we'd like to hear from you!At AvalonBay, you will have access to outstanding training and career advancement opportunities. We also offer a competitive benefits package, including rental discounts at our communities.The RoleAs Property Operations Summer Intern you will gain valuable hands-on experience in the the residential property management industry. Responsibilities will include welcoming current and prospective residents to the community, facilitating the move-in/move-out process, assisting with coordination of resident events, administrative duties and special projects. If you're interested in learning about the property management industry from a sales and customer service perspective, this may be the perfect internship for you!This is a ten week internship program from late May until early August.You Have...Qualified candidates will have at least 1 year of sales or customer service experience in a retail, hospitality, or multi-family environment, and Microsoft Office skills.Additional InfoAvalonBay is proud to be an equal opportunity employer and is committed to an inclusive and diverse work environment free of discrimination and harassment. We believe that in order to achieve our purpose of creating a better way to live, we must recruit, develop and retain associates with a wide range of backgrounds, experiences and perspectives and create an environment that encourages all voices to be heard, understood and appreciated. With this we know we can do great things",https://www.fox8jobs.com/jobs/property-operations-summer-internship-jersey-city-new-jersey/261851062-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Real Estate Marketing Intern (UZ-2E94C),New Empire Corp,"New York, NY (+1 other)","New Empire Corp is looking for a motivated and driven real estate intern to assist with day to day operations Get to know us: Increasingly recognized as one of the most active and innovative developers in New York City, New Empire Corp (NEC) successfully renovated, built and developed more than 100 mixed-use residential multifamily and hotel real estate projects in premier locations throughout New York City since its founding in 1997. NEC offers in-house expertise that spans the full range of real estate disciplines-from the sourcing and analysis of target properties to zoning, capital-raising, architecture and design, construction management, marketing and property management. What we are looking for: A successful intern is someone organized who can also handle working in a fast-paced environment. Additionally, they should be someone who is flexible in their work and can handle working on multiple tasks in different areas of real estate development. The intern will work closely with the Director of Marketing and Operations who will provide guidance throughout the duration of their internship. The intern will be paid on a daily rate. Notable skills we are looking for: Integrity and a commitment to excellence Strong analytical and computer skills, proficiency in Excel and Google Drive Excellent written and verbal communication skills and customer service skills Detail oriented Strong organizational skills Interns are paid at an hourly rate. If interested, please send resumes and cover letters to marketing@usnere.com with the subject line ""NEC Intern Job Application"" Apply for This Job",https://www.uzoes.com/us/details/2021-04-08_2e94c7cc2ffd39fb69829e465325ec02?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"2021 Summer Analyst, Real Estate Management and Operations",New Empire Corp,"New York, NY (+1 other)",,https://www.uzoes.com/us/details/2021-04-08_2e94c7cc2ffd39fb69829e465325ec02?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Property Operations Summer Intern,Avalonbay Communities Incorporated,"Lexington, MA","Job Information

AvalonBay Communities Property Operations Summer Internship in Lexington, Massachusetts

Job Type: Non Exempt

State: :MA City: Lexington

Brand: Avalon

Overview

AvalonBay is proud to be named one of Glassdoor's Best Places to Work in 2019.

Creating a better way to liveis the purpose that binds AvalonBay associates. At AvalonBay, every day you can make a difference in someone's life. We take that purpose seriously and expect you will as well. From helping someone choose one of our communities as their home to providing great service throughout a resident's stay to supporting your fellow associates, your positive, professional and consistent personal interactions make AvalonBay a great place to work. Our purpose and our core values - A Commitment to Integrity , A Spirit of Caring , and A Focus on Continuous Improvement - set us apart.

So if you're looking for a rewarding career opportunity with the top property management organization in the country, we'd like to hear from you!

At AvalonBay, you will have access to outstanding training and career advancement opportunities. We also offer a competitive benefits package, including rental discounts at our communities.

The Role

As Property Operations Summer Intern you will gain valuable hands-on experience in the the residential property management industry. Responsibilities will include welcoming current and prospective residents to the community, facilitating the move-in/move-out process, assisting with coordination of resident events, administrative duties and special projects. If you're interested in learning about the property management industry from a sales and customer service perspective, this may be the perfect internship for you!

This is an internship program from late May until mid August.

You Have...

Qualified candidates will have at least 1 year of sales or customer service experience in a retail, hospitality, or multi-family environment, and Microsoft Office skills.

Additional Info

AvalonBay is proud to be an equal opportunity employer and is committed to an inclusive and diverse work environment free of discrimination and harassment. We believe that in order to achieve our purpose of creating a better way to live, we must recruit, develop and retain associates with a wide range of backgrounds, experiences and perspectives and create an environment that encourages all voices to be heard, understood and appreciated. With this we know we can do great things.

AvalonBay will consider for employment qualified applicants with criminal histories in a manner consistent with requirements under the law",https://www.internships.com/posting/bug_38959987204?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Summer Intern, Property Operations - Asset Management",New York City Economic Development Corporation,"New York, NY (+1 other)","Our Vision : To make New York City the global model for inclusive innovation and economic growth, fueled by the City’s diverse people and businesses. Our Mission : To create shared prosperity across New York City’s five boroughs by strengthening neighborhoods and growing good jobs. Want to be part of an organization changing NYC? Do you see yourself giving back to a community? Want to help change the NYC skyline? Want to create jobs and strengthen neighborhoods? Asset Management makes it happen. NYCEDC’s Asset Management (AM) Division manages the overall strategy for conventional and non-traditional assets across all five boroughs of New York City including commercial real estate properties as well as transportation, critical infrastructure, and energy assets. The Asset Management division pursues a double-bottom line strategy, targeting not just economic returns but also multiple social metrics including but not limited to job creation and growing equitable neighborhoods. The overall assets are divided into multiple portfolios, each managed by a Portfolio Manager/SVP, with a Portfolio Surveillance group that monitors and enforces standards and practices across the portfolio. The division-wide portfolio encompasses all property types including those that are standard in the real estate industry (Retail, Mixed-Use/Commercial, Industrial, etc.) with individual Portfolio Managers also managing assets particular to public sector and public/private partnerships (Transportation assets including Ferry, Cruise, Freight/Rail, and Aviation, Retail and Market assets, Cultural, Industrial and Commercial assets). In fiscal year 2018, the department actively managed over 220 properties and over 64 million square feet at a 94% occupancy rate, generating more than $240 million in revenue. Your Internship: Spend 12 weeks interning with NYCEDC and learn about asset management, double-bottom line financing, and value capture. You’ll have leadership engagements, tour EDC assets, attend company events and more. Asset Management interns are integrated into teams and will do real, hands-on work. At NYCEDC, you will help with advancing large scale catalytic developments, drive comprehensive neighborhood planning, maintain quality jobs today and grow innovative jobs for tomorrow. Summer internships are typically full-time (Mon-Fri, 9am-5pm). All internships are paid. Responsibilities may include: Work on active development projects in the industrial sector Oversee tenant communications and respond to tenant requests Assist project managers in overseeing property requests and working with field team to respond accordingly. Oversee and build a robust inspection tracking sheet for all of our 65+ properties Oversee and maintain our tracking sheet to highlight in office cost savings at our properties Prepare proposal packages and oversee invoices to ensure billing is correct Attend and assist at property events, oversee set up for internal departments and act as the point of contact on site. Respond to requests for site access, walkthroughs and informational sessions. Work with building managers on overseeing building systems, creating tracking systems to monitor state of good repair Track requests for the NYC Ferry system and assist the Project Manager in responding to requests from internal and external stakeholders. Assist in preparing the annual property budget and long-term capital investment plans. Conduct random visits to tenants in order to maintain customer satisfaction. Monitor all tenant improvements ensuring compliance with building codes and insurance regulations. Respond to all tenant emergencies. Provide immediate action to alleviate problems. Interact with all tenants at various levels. Qualifications: Eligible applicants include any graduate student currently enrolled in an urban planning, city planning, economic development, urban studies, real estate development, business, transportation, logistics, or related program A GPA of 3.0 or higher Impressive academic and extracurricular qualifications, consistently strong performance, and a passion for innovation and success An ability to work and communicate well in a fast paced environment while interacting with a wide variety of people Teamwork and problem-solving skills A willingness to accept responsibility, ask tough questions, and solve problems Passion for public service and New York City Bachelor’s Degree in Facilities Management, Architecture, Engineering, Business or equivalent 1-3 years' experience in building, and/or maintenance management Experience overseeing multiple properties and projects with competing priorities Strong interpersonal skills Ability to work with maintenance and janitorial staff Experience in project management and easily able to communicate with contractors for project updates Capable user of computers and such programs as Microsoft Word, Excel, Outlook, Access, and PowerPoint Strong written and oral communication skills Ability to work with diverse staff, while providing solutions to team members, tenants and self Ability to work in a team environment and to work on individual projects with minimal oversight",https://paralleldesk.com/amp/summer-intern-property-operations-asset-management?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Credit Operations Intern,Berkadia,"Ambler, PA (+1 other)","Berkadia, a joint venture of Berkshire Hathaway and Jefferies Financial Group, is a leader in the commercial real estate industry, offering a robust suite of services to our multifamily and commercial property clients. Powered by deep relationships and industry-changing technology, our people sell, finance, and service commercial real estate, providing support for the entire life cycle of our clients' assets. Our unique ownership structure allows us to put the client's interests first and creates a marketplace that delivers a superior experience.

Overall, Berkadia's Credit Group Has Wide Ranging Responsibility Including
• Credit Policy and Decision-making with respect to FNMA and PLG, SBL, and w/r/t HUD, credit recommendations
• Credit Underwriting and compliance with applicable guidelines for FMNA, PLG, SBL, HUD, Targeted Affordable and to the extent requested, FMLC loans through the CPO group
• Monitoring and Reporting to the shareholders on Berkadia's risk, particularly with respect to FNMA and PLG
• Surveillance and Decision-Making on all PLG loans post-closing
• Collaboration with Servicing on all material issues regarding FNMA loans post-closing
• Management / oversight of Berkadia Credit's India Operations
• Dotted Line responsibility for the Small Balance Loan Product
• Collaboration with Innovative Technology Products related to data and underwriting

The Opportunity

The Credit Operations Intern will work with senior underwriting leadership to shape Underwriting strategy, provide ad-hoc strategic decision support, and deliver process / technology improvements. This role reports directly to the VP, Credit Operations but will be responsible for stakeholder relationships across the firm.
• Credit Policy and Decision-making with respect to FNMA and PLG, SBL, and w/r/t HUD, credit recommendations
• Credit Underwriting and compliance with applicable guidelines for FMNA, PLG, SBL, HUD, Targeted Affordable and to the extent requested, FMLC loans through the CPO group
• Monitoring and Reporting to the shareholders on Berkadia's risk, particularly with respect to FNMA and PLG
• Surveillance and Decision-Making on all PLG loans post-closing
• Collaboration with Servicing on all material issues regarding FNMA loans post-closing
• Management / oversight of Berkadia Credit's India Operations
• Dotted Line responsibility for the Small Balance Loan Product
• Collaboration with Innovative Technology Products related to data and underwriting

What someone will need to be successful in this role
• Currently enrolled in a bachelor's or master's degree program. A real estate, finance. or business data analytics related major is helpful.
• Someone who is ready to be an owner – can take ambiguous problems, structure them, and determine a path forward, including requesting the resources necessary to accomplish the task
• Ability to work successfully with minimum oversight under a matrix management structure
• Experience in Microsoft Office including Outlook, Word, PowerPoint, and Excel
• Power BI skills strongly preferred, but not required
• Strong organizational skills and ability to multitask in a fast-paced environment with competing priorities
• Outstanding attention to detail
• Ability to manage expectations, informing stakeholders of potential delays due to conflicting priorities
• Can-do, proactive attitude that can mean making suggestions and giving options rather than waiting for answers
• Able to communicate clearly both verbally and in writing with all levels of an organization
• Desire to learn about careers in the Commercial Real Estate industry

Applicants who require accommodations to participate in the interview process should contact the Talent Acquisition Team to arrange for such accommodations by emailing: Talent.Acquisition@Berkadia.com

Berkadia does not share salary ranges in its job postings. Any salary-related information you see posted externally has not been provided or verified by Berkadia and may not be accurate.

Berkadia is an equal opportunity employer and affords equal opportunity to all applicants and employees for all positions without regard to race, color, religion, gender, national origin, age, disability, veteran status or any other status protected under local, state or federal laws.

By applying to this job opportunity you are acknowledging Berkadia's Privacy Policy",https://www.linkedin.com/jobs/view/credit-operations-intern-at-berkadia-2496794563?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"2021 Summer Analyst, Real Estate Management and Operations",Berkadia,"Ambler, PA (+1 other)",,https://www.linkedin.com/jobs/view/credit-operations-intern-at-berkadia-2496794563?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"2021 Summer Analyst, Real Estate Management and Operations (TO-56B71)",Berkadia,"Ambler, PA (+1 other)",,https://www.linkedin.com/jobs/view/credit-operations-intern-at-berkadia-2496794563?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
