title,company,location,requirements,link
Retail Store Operations Internship (Graduate),CVS Health,"Woonsocket, RI","Job Description
Job Description
Start date: June 7th, 2021
End Date: August 13th, 2021
Location: To ensure the health and safety of our colleagues, this position will be work-at-home.

CVS Health is the nation's premier health innovation company helping people on their path to better health. We are building a new health care model that is easier to use, less expensive, and puts the consumer at the center of their care.

Our Corporate Internship Program is a nationally recognized experience; it is also a great way to gain confidence, sharpen your skills, and make a difference.

You will gain valuable work experience and participate in:
• Projects that contribute to the success of our business
• Community service initiatives
• Mentorship and networking opportunities
• Interaction with senior leaders

And our corporate interns have an increased likelihood to receive an offer for a future role with CVS Health.

What this business area supports:
The Retail Store team helps identify areas of opportunity impacting over 100,000 front line pharmacy and field teams across more than 9,000 retail locations related to process improvement, customer service and business growth

What you will do:
You will have the power to develop and deliver solutions aimed at making significant changes that will positively impact our pharmacy and field team as well as our millions of patients.
- Design and implement a retail pilot to further inform design choices and validate business case assumptions
- Learn about solution definition, testing, and implementation of new processes and services needed to support the future growth of the
company
- Scope, plan, and perform quantitative analyses that will yield critical answers to the questions at hand
- Collect qualitative input and feedback through store visits and surveys

Required Qualifications
• 1+ year of relevant work experience.
• 1+ year of MS Word, Excel and PowerPoint experience
• Strong analytical, critical thinking, problem solving and communication skills
• Demonstrated leadership, experience and initiative
• Desire to work in a collaborative team environment

Preferred Qualifications
• Consulting or related high level analytical experience in an operational environment with experience in building complex business models
• Demonstrated experience with spreadsheets, databases, and presentation software
• Demonstrated evidence of being a self starter; results- and outcomes-oriented
• Open to feedback and constantly reflecting and learning with desire to improve
• Able to work with others to drive cross-functional solutions
• Ability to push beyond the obvious; does not jump too quickly to a conclusion
•Open communication style with organized, structured points

Education
• You should currently be pursuing an MBA
• Have an anticipated graduation date between September 2021 and August 2022
• Have a 3.0 + cumulative GPA

Business Overview
At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities",https://www.snagajob.com/jobs/577209995?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Retail Management Intern - Providence RI,CVS,"Newport, RI","Title: Retail Management Intern - Providence RI
No. of Positions: 5
Position Summary: Want to demonstrate your leadership skills? Desire to work in a diverse team environment? Aspire to develop business acumen with a major healthcare company? Passionate about helping others? Then apply for our retail management internship to unlock the path to your future career at CVS Health.
Experience first-hand what it is like to manage and be part of a store team while gaining an overview of the store, district, and regional operations. Learn about specific aspects of retail management including customer service, leadership, policy implementation, inventory management, employee staffing, training and development, sales building and merchandising, and financial management.
Participate in designated workshops and travel days that will allow you to interact and network with many members of field management. Develop and present a capstone project that is tied to real world business activities and initiatives at CVS Health.
Req ID: 1385057BR
Sourcing Requisition: Yes
State: RI
Business Area: CVS Health
Location - State/City: RI - Newport
Job Category: Intern - Retail Store Management
City: Newport
Preferred Qualifications: College student in a Business or Retail-related academic discipline plus a minimum of 2 years work experience
Candidates should have proven leadership experience and skills and be excited about a potential career in management and retail
Country: United States
Job Type (Expected Hours Category): Part Time
Street Address: 181 Bellevue Avenue
Location code: 00355
Requisition Template: Professional
Education: Students must be actively enrolled and of Junior or Senior status in a four year degree program and in good academic standing.
FLSA: Non Exempt
Clinical Licensure Required: N/A
Zip Code: 02840
Required Qualifications: Candidates must have junior or senior status and be enrolled as a full time or part time undergraduate student in a college or university;
Candidates must be available from June - August to complete the entire 9 week summer program; and
Candidates must be available to work 35 hours per week for the duration of the program with a flexible schedule which meets the business' demands.
Business Overview: At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities","https://www.ziprecruiter.com/c/CVS/Job/Retail-Management-Intern-Providence-RI/-in-Newport,RI?jid=6bc9eb7e86276e0b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Retail Operations - Communications Intern, Calvin Klein","Calvin Klein, PVH","New York, NY","The PVH Summer Internship Program offers motivated students the opportunity to gain fashion industry experience, with a realistic preview of what it would be like to work at PVH and our iconic brands. This is a paid internship, and you will be provided with meaningful, challenging hands-on tasks, as well as exposure to various parts of our organization. We have a variety of internship opportunities available, supporting one of our brands such as Calvin Klein, Tommy Hilfiger, Van Heusen, IZOD, Arrow; or within one of our Corporate Functions. You will also attend various professional development workshops, industry learning sessions with senior leadership and have the opportunity to meet other interns across brands and functions.

Specifically, for Summer 2021, our internship program will be fully virtual with interns working remotely. Interns must be based in the U.S. and available to work Eastern Time Zone hours, working between hours of 8:00 am – 5:00 pm ET.

The Summer 2021 Internship Program will be 10 weeks and run from June 1st – August 6th.

Here are important dates and expectations to keep in mind (estimated timeframe, subject to change):
• We have a rolling application deadline for each internship, starting in February. Apply early for greater consideration in the process.
• Initial screening will be conducted by our recruiting team members via phone or video screen.
• If you are applying to a design or creative internship (fashion design/technical design/graphic design), please plan to provide 1-2 pages of sample work (such as an online portfolio, illustrations, flat sketches and/or 3D renderings) as a part of the recruiting process.
• Final interviews will be conducted by our hiring teams via phone or video interview starting late February into early March.
• Offers will be extended beginning in March and may carry into April, if necessary.

Job summary

We are seeking an energetic, responsible, detail-oriented, and process-driven intern to join Calvin Klein Retail Operations & Communications. In this position, you will to learn about communications support for Calvin Klein stores. You will be involved in making document updates, managing projects, and assisting with internal social media. You will gain exposure to different departments within the organization as part of the assigned projects.

Your primary responsibilities will include:
• Edit and update process, procedural, and training documents for stores.
• Work with various department representatives to ensure store directives are current.
• Assist with social media platform communication.
• Manage operations and communications projects.
• Participate in inter-departmental meetings to provide updates on projects.

Education
• Rising junior or senior undergrad student with a declared major in Business Administration, Communications, or other related field. Project Management is preferred, but not required.
• Minimum 2.5 GPA in core major classes preferred

Experience / Skills
• Previous relevant internship / work experience or demonstrated interest in the industry
• Demonstrated academic leadership or extra-curricular activity preferred
• Proficient computer skills, including Microsoft Office Suite (Word, PowerPoint, and Excel)
• InDesign, Illustrator, and/or Photoshop experience preferred
• Self-directed and able to work remotely with minimal supervision
• Problem-solving abilities that adapt to a variety of situations

PVH Corp. or its subsidiary (""PVH"") is an equal opportunity employer and considers all applicants for employment on the basis of their individual capabilities and qualifications, consistent with applicable law and without regard to race, color, sex, gender identity or expression, age, religion, creed, national origin, citizenship status, sexual orientation, genetic information, physical or mental disability, military status or any other characteristic protected under federal, state or local law. In addition to complying with all applicable laws, PVH also has a strong corporate commitment to inclusion, diversity and to ensuring that all current and future PVH associates are compensated solely on job-related factors such as skill, ability, educational background, work quality, experience and potential. To achieve these goals, across the United States and its territories, PVH prohibits any PVH employee, agent or representative from requesting or otherwise considering any job applicant’s current or prior wages, salary or other compensation information in connection with the hiring process. Accordingly, applicants are asked not to disclose this salary history information to PVH",https://careers.pvh.com/global/en/job/PVH1USR21081WDINTERNALENGLOBALEXTERNAL/Retail-Operations-Communications-Intern-Calvin-Klein?utm_source=fashionunited&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Retail & Residential Lending Business Controls Intern,Centreville Bank,"West Warwick, RI (+1 other)","About Us:

Founded in 1828, Centreville Bank is dedicated to delivering “banking the way you want” to our customers. We are one of the region’s most stable and well-capitalized banks, with a growing presence that reaches into every corner of Rhode Island and nearby Massachusetts and Connecticut.

Summary:

Centreville Bank is looking for an enthusiastic, motivated Retail and Residential Lending Business Control Intern. This position will provide you with the opportunity to work alongside a high-performing team, giving you exposure and understanding of bank Business Controls in Retail Banking and Residential Lending, while assisting in documentation and support. The role will give you hands-on experience and a better understanding of the work that goes into the Policy and Procedure process. You will also gain exposure to the day-to-day leadership and business operations of a community bank.

This Retail and Residential Lending Business Control Internship will help prepare you to start your career in Retail Banking or Residential Lending upon graduation and may lead to full-time career opportunities at Centreville Bank.

Duties and Responsibilities:
• Enhancing Residential Lending Policies and Procedures.
• Updating current Residential Lending playbook.
• Creating playbook for FLOD Business Controls built around Retail Banking, Residential Lending and Government/Municipal Banking.
• Assist with mid-year self-audit for Residential Lending.
• Performs other related duties as required and assigned.

Required Experience/Qualifications:
• Individual must be detailed oriented
• Have knowledge of Word, Excel, and PowerPoint
• Commitment to maintaining confidentiality of all sensitive information.

Scheduling and Availability:
• Must be available to work 40 hours per week during normal business hours.

Please note that while we do review every application that we receive, we may not be able to contact each candidate. If your background aligns with what we are looking for, you can expect to hear from us within 2 weeks of your application date.

Centreville Bank is an Equal Opportunity Employer. All positions are subject to periodic evaluation",https://www.internships.com/posting/sam_4043768079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Retail Operations Intern,Samsung Electronics,"Ridgefield Park, NJ (+1 other)",,https://www.jobzmall.com/samsung-electronics/job/retail-operations-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Intern, Retail Store Operations",American Red Cross,New Jersey,"Job Information

American Red Cross Intern, Retail Store Operations in Fairfield, New Jersey

Please use Google Chrome or Mozilla Firefox when accessing Candidate Home.

By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network?

Job Description:

Responsibilities:
• Planning ahead and engaging experts and other relevant parties in creating an appropriate solution.
• Researching a solution to an alternative warehouse location for quick re-initiation of vital services This includes back-up staff and re-routing of inbound and outbound shipments into and out of the warehouse.
• Identifying critical inventory to duplicate (example: to store critical top selling items in another location).
• Gathering information from our Drop Ship Vendors and their crisis plans.
• May support unit with research projects.
• Typically analyzes data, presents facts and recommends solutions.
• Typically has unit-specific responsibilities in the scope of the job.

Qualifications

Education: Must be enrolled in an accredited college or university

Experience: Junior year or above

Essential Functions/Physical Requirements: Depending on work assignment, may require ordinary ambulatory skills sufficient to visit other locations; or the ability to stand, walk and manipulate (lift, carry, move) light to medium weights of up to 20 pounds. Requires good hand-eye coordination, arm, hand and finger dexterity, including ability to grasp, and visual acuity to use a keyboard, operate equipment and read technical information. Overall mobility is essential. May include sitting for long periods of time, driving a vehicle and working under challenging conditions.

Work Conditions: Work is performed indoors with some potential for exposure to safety and health hazards related to emergency services relief work. May travel and participate in meetings and conferences throughout

chapter jurisdiction, state and Red Cross system. Because the Red Cross is a disaster response

organization, staff may be asked to be on 24-hour call during period of major disaster.

Apply now! Joining our team will provide you with the opportunity to make a difference every day.

The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

The American Red Cross is a diverse nonprofit organization offering its employee's professional development and growth opportunities, a competitive salary, comprehensive benefits, and a collaborative team spirit environment. To be considered for this position, please visit www.redcross.org/jobs to apply.

To view the EEOC Summary of Rights, click here: Summary of Rights",https://www.internships.com/posting/bug_38964727112?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Retail Business Services Summer Internship,Retail Business Services,"Quincy, MA","About Retail Business Services

Retail Business Services, LLC, is the services company of Ahold Delhaize USA, currently providing services to six East Coast grocery brands, including Food Lion, Giant Food, GIANT/MARTIN'S, Hannaford and Stop & Shop, as well as the country’s largest online grocery retailer, Peapod Digital Labs. Retail Business Services leverages the scale of the local brands to drive synergies and provides industry-leading expertise, insights and analytics to local brands to support their strategies with services including Information Technology, Merchandising, Marketing & Sourcing Services, Private Brand Products, Pharmacy Services, Not for Resale, Store Services, Financial Services, Legal Services, Communications, Supply Chain and People Systems and Services.

Internship positions are available for a broad range of challenging assignments. Take this opportunity to learn the inside of the complex supermarket industry while you develop the leadership skills and business knowledge you need to enhance your career. The paid internship experience is an opportunity to work on real projects that are meaningful and hands-on. Come work in a team environment designed to promote and reward individuality, innovation, leadership, and strong business results.

INTERNSHIP KEY DATES:
• Internships will be interviewed and selected – January 2021-March 2021
• Program dates - approximately May 17, 2021 - Aug. 9, 2021

INTERNSHIP AREAS & LOCATIONS
• Greater Boston Area (Quincy, Massachusetts)
• Greater Charlotte Area (Salisbury, North Carolina)
• Greater Portland Area (Scarborough, Maine)
• Greater Harrisburg Area (Carlisle, PA)

POTENTIAL INTERNSHIP FUNCTIONAL AREAS
• Human Resources
• Category Management/Business Analytics
• Finance
• Supply Chain
• Data Governance
• Communications
• Sustainable Retailing
• Merchandising, Marketing and Sourcing
• Information Technology
• Store Development and Construction

PROGRAM OVERVIEW
• Structured 12-week competitive paid internship
• Challenging strategic projects coupled with day to day tasks and responsibilities
• Leadership Speaker Engagement Series
• Community Service Opportunities
• Career and Professional Development
 Mentorship from business leaders
 Virtual learning courses
 Learning Activities
 LinkedIn Learning Courses/Certifications
• Virtual exposure and engagement with other interns from our six Great Local Brands
• End of the Summer Presentation to share learnings with Business Leaders
• ***All applicants are expected to provide a certified copy of their transcript with their resume that certifies they have a cumulative 3.0 GPA****
Requirements REQUIRED QUALIFICATIONS
• Enrolled in a bachelor’s or Master’s degree; minimum GPA 3.0 is required
• Demonstrated ability with Microsoft Office applications
• Ability to effectively interact with all levels of the organization
• Demonstrated leadership abilities such as assertiveness and willingness to take calculated risks
• Ability to take initiative and ask questions, learn quickly, and strive for results
• Strong analytical skills
• Ability to communicate clearly and effectively in all situations with solid interpersonal skills
• Team-oriented thinking
• Self-Motivated
• Strong project management skills
• Permanent employment authorization/U.S. citizenship

PHYSICAL REQUIREMENTS (FOR SOME POSITIONS)
• Ability to use computers and other technical systems required to perform job functions
• Lift up to 20 lbs. regularly, including overhead lifting, and up to 60 lb. occasionally. Push/pull up to 40 lb. regularly
• Meet established volume and fixed activity standards
• Stand or walk 100% of the time and Frequent bending
• Ability to handle a variety of substances associated with cleaning materials, packing materials and food products",https://www.internships.com/posting/sam_3682942612?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Print & Marketing Services Intern,Staples Business Advantage,"Framingham, MA","Description

Staples US Print & Marketing is looking for an enthusiastic intern to join our team and provide creative ideas to help achieve our goals. As a Social Media Specialist at Staples U.S. Retail, you will gain hands on experience as part of our retail marketing and media teams focusing on the day to day operations and project support for our social media program.

Staples is focused on our customer and our community. As an Intern for Staples, you will support the Print and Marketing organization in managing product lines for sales, margin and supply chain. This involves research, ad hoc financial planning and analysis, promo planning and execution, print vehicle merchandising, in-store merchandising, SKU set-up/maintenance. Includes communications with vendors for images, content, cost information plus communications with the Store Operations team including responding to merchandising database issues and price match requests.
• Support ad hoc product information requests including generating and analyzing reports
• Maintain merchandising Marketing Calendar by entering promotions, submitting for coupon codes and reviewing exposure
• Proactively manage the SKU set-up and maintenance process
• Maintain calendar of competitor offers and assets, across all Print and Marketing categories
• Conduct market research, gather industry data, track trends, themes, competitive shopping to assist with item selection and new service offerings
• Review competitors store and online experiences for new product ideas, notable presentations and pricing discrepancies
• Work closely within dedicated team and cross-functional teams to implement new strategic initiatives to test/roll out, targeted towards driving sales and margin growth
• Monitor and report out on ongoing performance for initiatives relative to financial goals

Qualifications

Preferred Requirements:
• This position demands solid organization skills and ability to multi-task and follow-up
• Good verbal and written communication necessary
• Strong Microsoft Office skills necessary
• Ability to work independently and execute across multiple groups

Print and Marketing Services is a key strategic pillar of growth for Staples Retail, and this role is critical to accelerating change and super-charging this high-potential business. Our people are the heart of our success and we believe in collaboration, curiosity and continuous learning in all that we think, create and do. We are investing in our people and our stores, empowering our people to learn, grow and deliver. Come be a part of a team that's leading the way in a new era of working and living.

Click to learn more about the employee benefits, programs and perks offered at Staples.

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law","https://www.ziprecruiter.com/c/Staples-Business-Advantage/Job/Print-&-Marketing-Services-Intern/-in-Framingham,MA?jid=311ecf5b6554edaa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"CE Retail Operations Intern, Summer 2021",Samsung Electronics America,"Dayton, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities

You’ll enter as part of the CE Retail Operations team, which manages the last mile of the retail business for Samsung Home Appliances and Home Entertainment divisions, and consists of the Retail Operations and Retail Merchandising organizations. The Retail Operations organization manages a team of Field Marketing Reps who influence and train Retail Sales Associates to maximize sell-through and increase Samsung brand loyalty. The Retail Merchandising team is responsible for the design, development and deployment of interactive digital displays and fixtures that showcase our product at Retail, increase consumer engagement at POS and impact purchase decision. This project is in the Retail Merchandising organization.

Project Details:

The project focuses on developing frameworks for cross-functional alignment between internal and external teams/vendors. You’ll be at the core of several cross-functional groups working together to drive the business, and will get insight into the interactions between several teams in Samsung.
• Analyze, review/map current intake processes for Merchandising and Training teams
• Create As-Is process flow diagram, document hand-offs, bottlenecks and specify improvement opportunities
• Lead and participate in cross-functional brain storming sessions to determine the To-Be processes and recommend actions/tools for process improvement including but not limited to creating forms, data repositories/libraries of current Merchandising and Training materials.

Skills and Qualifications

Qualifications:
• Strong analytical, data-driven problem solving and decision-making skills.
• Entrepreneurial spirit and excellent communication skills (verbal and written)
• A thirst to learn, drive insights, and roll-up your sleeves to get things done and make a difference.
• Ability to facilitate cross-functional teams and navigate matrixed organizations.

Internship Eligibility:
• Must be enrolled in an accredited University
• Proper work authorization
• Maintain a 3.0 or higher GPA
• Attend New Hire Orientation on first day
• Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .
• Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law",https://www.linkedin.com/jobs/view/ce-retail-operations-intern-summer-2021-at-samsung-electronics-america-2491390222?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"CE Retail Operations Intern, Summer 2021",Samsung R&D Institute India,"Ridgefield Park, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we're pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities

You'll enter as part of the CE Retail Operations team, which manages the last mile of the retail business for Samsung Home Appliances and Home Entertainment divisions, and consists of the Retail Operations and Retail Merchandising organizations. The Retail Operations organization manages a team of Field Marketing Reps who influence and train Retail Sales Associates to maximize sell-through and increase Samsung brand loyalty. The Retail Merchandising team is responsible for the design, development and deployment of interactive digital displays and fixtures that showcase our product at Retail, increase consumer engagement at POS and impact purchase decision. This project is in the Retail Merchandising organization.

Project Details:

The project focuses on developing frameworks for cross-functional alignment between internal and external teams/vendors. You'll be at the core of several cross-functional groups working together to drive the business, and will get insight into the interactions between several teams in Samsung.
• Analyze, review/map current intake processes for Merchandising and Training teams
• Create As-Is process flow diagram, document hand-offs, bottlenecks and specify improvement opportunities
• Lead and participate in cross-functional brain storming sessions to determine the To-Be processes and recommend actions/tools for process improvement including but not limited to creating forms, data repositories/libraries of current Merchandising and Training materials.

Skills and Qualifications

Qualifications:
• Strong analytical, data-driven problem solving and decision-making skills.
• Entrepreneurial spirit and excellent communication skills (verbal and written)
• A thirst to learn, drive insights, and roll-up your sleeves to get things done and make a difference.
• Ability to facilitate cross-functional teams and navigate matrixed organizations.

Internship Eligibility:
• Must be enrolled in an accredited University
• Proper work authorization
• Maintain a 3.0 or higher GPA
• Attend New Hire Orientation on first day
• Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here.
• Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law","https://www.ziprecruiter.com/c/Samsung-R&D-Institute-India/Job/CE-Retail-Operations-Intern,-Summer-2021/-in-Ridgefield-Park,NJ?jid=b4be9463d8dc5e7e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
