title,company,location,requirements,link
Intern - Systems Engineer,Rhode Island Housing,"Providence, RI (+1 other)","RIHousing – Intern – Systems Engineer

RIHousing is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

What it’s all about:

The Systems Engineer will be responsible for implementing and supporting the Enterprise Information Technology Infrastructure. This position works under the direction and supervision of the System Operations Manager.

What you’ll do on a daily basis:
• Administers and maintains the Information Technology Infrastructure; including network, telecommunications, Windows and Linux servers, virtualization, disaster recovery, backup/restore, cloud solutions and client device management.
• Provides implementation and administration services relating to hardware, software, policies, processes, and procedures for the infrastructure systems.
• Manages Windows server environment including services such as AD, DNS, DHCP, FSMO Roles, GPOs, etc.
• Addresses infrastructure requests and issues in a timely manner.
• Administers network user and device access according to established controls.

What you’ll bring to the team:
• Works with major business application vendors to ensure applications are routinely updated, maintained and running at optimal efficiency.
• Maintains all infrastructure diagrams and system documentation.
• Conducts all work in accordance with appropriate regulatory requirements.
• Adheres to enterprise policies, processes, and standards.
• Serves on Information Technology project teams and other special projects as assigned by the System Operations Manager or Director of Information Technology.

What you’ll need to succeed:
• On track for degree in computer science, MIS, business or related discipline.
• Strong verbal and written communications skills.
• Strong analytical and problem-solving skills.
• Positive, team-oriented attitude.
• Ability to work independently.
• Ability to work with staff at all levels of the organization.
• Ability to manage multiple ongoing projects.
• Ability to prioritize projects.
• Ability to meet deadlines.
• PowerShell or other scripting/automation experience a plus.
• Some exposure or familiarity with Cloud PaaS providers such as AWS or Azure.
• Some exposure or familiarity with Microsoft Office365, SharePoint, Exchange and Active Directory.
• Some exposure or familiarity with administering Cisco cores, switches, routers and firewalls (Meraki a plus).

Why RIHousing
• Competitive salary
• Parking Stipend
• Medical/Dental/Vision/Life Insurance
• Paid Time Off
• Retirement Options
• Education Reimbursement
• Onsite Fitness Classes
• Volunteer Days
• Winner of “Best Places to Work” 2016, 2018, 2019
• Worksite Health Award 2013-2019

RIHousing strives to ensure that all people who live or work in Rhode Island can afford a healthy, attractive home that meets their needs. A good home provides the foundation upon which individuals and families thrive, children learn and grow, and communities prosper.

To achieve our mission, we:
• Offer fair, affordable and innovative lending programs.
• Provide housing-related education to consumers and others.
• Promote and finance sensible development that builds healthy, vibrant communities.
• Provide housing grants and subsidies to Rhode Islanders with the greatest need.
• Team up with partners to improve everything we do.

RIHousing uses its resources to provide low-interest loans, grants, education and assistance to help Rhode Islanders find, rent, buy, build, and keep a good home. Created by the General Assembly in 1973, RIHousing is a privately funded public purpose corporation. RIHousing requires its employees to be highly motivated and knowledgeable, have a sound understanding of the changing needs of Rhode Island's housing market, be willing to work within and toward a smoothly integrated operation, demonstrate a commitment to serve the people of Rhode Island, especially those with low and moderate incomes in need of safe and affordable homes, and possess a high level of integrity and deep respect for all Rhode Islanders, including customers, partners and fellow employees",https://www.internships.com/posting/sam_4029434211?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Systems Engineering Intern,Open Learning Exchange,"Providence, RI",,https://www.linkedin.com/jobs/view/systems-engineering-intern-at-open-learning-exchange-2498613867?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Systems Engineer,Rhodeislandhousing,Anywhere,"RIHousing - Intern - Systems Engineer

RIHousing is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

What it's all about:

The Systems Engineer will be responsible for implementing and supporting the Enterprise Information Technology Infrastructure. This position works under the direction and supervision of the System Operations Manager.

What you'll do on a daily basis:
• Administers and maintains the Information Technology Infrastructure; including network, telecommunications, Windows and Linux servers, virtualization, disaster recovery, backup/restore, cloud solutions and client device management.
• Provides implementation and administration services relating to hardware, software, policies, processes, and procedures for the infrastructure systems.
• Manages Windows server environment including services such as AD, DNS, DHCP, FSMO Roles, GPOs, etc.
• Addresses infrastructure requests and issues in a timely manner.
• Administers network user and device access according to established controls.

What you'll bring to the team:
• Works with major business application vendors to ensure applications are routinely updated, maintained and running at optimal efficiency.
• Maintains all infrastructure diagrams and system documentation.
• Conducts all work in accordance with appropriate regulatory requirements.
• Adheres to enterprise policies, processes, and standards.
• Serves on Information Technology project teams and other special projects as assigned by the System Operations Manager or Director of Information Technology.

What you'll need to succeed:
• On track for degree in computer science, MIS, business or related discipline.
• Strong verbal and written communications skills.
• Strong analytical and problem-solving skills.
• Positive, team-oriented attitude.
• Ability to work independently.
• Ability to work with staff at all levels of the organization.
• Ability to manage multiple ongoing projects.
• Ability to prioritize projects.
• Ability to meet deadlines.
• PowerShell or other scripting/automation experience a plus.
• Some exposure or familiarity with Cloud PaaS providers such as AWS or Azure.
• Some exposure or familiarity with Microsoft Office365, SharePoint, Exchange and Active Directory.
• Some exposure or familiarity with administering Cisco cores, switches, routers and firewalls (Meraki a plus).

Why RIHousing
• Competitive salary
• Parking Stipend
• Medical/Dental/Vision/Life Insurance
• Paid Time Off
• Retirement Options
• Education Reimbursement
• Onsite Fitness Classes
• Volunteer Days
• Winner of ""Best Places to Work"" 2016, 2018, 2019
• Worksite Health Award 2013-2019

RIHousing strives to ensure that all people who live or work in Rhode Island can afford a healthy, attractive home that meets their needs. A good home provides the foundation upon which individuals and families thrive, children learn and grow, and communities prosper.

To achieve our mission, we:
• Offer fair, affordable and innovative lending programs.
• Provide housing-related education to consumers and others.
• Promote and finance sensible development that builds healthy, vibrant communities.
• Provide housing grants and subsidies to Rhode Islanders with the greatest need.
• Team up with partners to improve everything we do.

RIHousing uses its resources to provide low-interest loans, grants, education and assistance to help Rhode Islanders find, rent, buy, build, and keep a good home. Created by the General Assembly in 1973, RIHousing is a privately funded public purpose corporation. RIHousing requires its employees to be highly motivated and knowledgeable, have a sound understanding of the changing needs of Rhode Island's housing market, be willing to work within and toward a smoothly integrated operation, demonstrate a commitment to serve the people of Rhode Island, especially those with low and moderate incomes in need of safe and affordable homes, and possess a high level of integrity and deep respect for all Rhode Islanders, including customers, partners and fellow employees",https://tarta.ai/j/Rn0lP3gBrJRKg1c1NuZt-intern-systems-engineer-in-providence-ri-at-rhodeislandhousing?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Systems Engineering Intern,Open Learning Exchange,"Pawtucket, RI",,https://www.linkedin.com/jobs/view/systems-engineering-intern-at-open-learning-exchange-2498614833?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cloud Engineer Intern (Summer 2021),Hasbro,Anywhere,"At Hasbro, we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of Community, Passion, Integrity, Creativity and Inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best is yet to come.

As a Cloud Engineer Summer Intern, you will collaborate with software developers, system engineers and other IT staff members to manage public cloud environments. You will cross and merge the barriers that exist between software development, testing and operations teams.

A day in the life of a Cloud Engineer Intern:
• Take ownership and manage projects for teams enabling Continuous Integration and automation of service integration, delivery, deployments, and cloud infrastructure
• Design and develop services using open source and commercial technologies
• Work within an AWS cloud environment, leading POCs and support systems engineering efforts.
• Focus on continuous learning and presenting learnings on a regular basis with the engineering team.
• Have an open and curious mind to support an innovative culture.

What you'll bring:
• A background in Computer Science. Must be currently enrolled in an acredited undergrad or graduate program. May 2021 or earlier graduates are no longer eligible for Hasbro Internship opportunities.
• Expeirence with Cloud Computing, particularly AWS and Systems Engineering
• Ability to work proactively on a team or as an individual contributer
• Remote candiates living in the US may be considered

About Hasbro

Hasbro (NASDAQ: HAS) is a global play and entertainment company committed to Creating the World's Best Play and Entertainment Experiences. From toys, games and consumer products to television, movies, digital gaming, live action, music, and virtual reality experiences, Hasbro connects to global audiences by bringing to life great innovations, stories and brands across established and inventive platforms. Hasbro’s iconic brands include NERF, MAGIC: THE GATHERING, MY LITTLE PONY, TRANSFORMERS, PLAY-DOH, MONOPOLY, BABY ALIVE, POWER RANGERS, PEPPA PIG and PJ MASKS, as well as premier partner brands. Through its global entertainment studio, eOne, Hasbro is building its brands globally through great storytelling and content on all screens. Hasbro is committed to making the world a better place for all children and all families through corporate social responsibility and philanthropy. Hasbro ranked among the 2020 100 Best Corporate Citizens by 3BL Media, has been named one of the World’s Most Ethical Companies® by Ethisphere Institute for the past nine years, and one of America’s Most JUST Companies by Forbes and JUST Capital for the past four years. We routinely share important business and brand updates on our Investor Relations website, Newsroom and social channels (@Hasbro on Twitter and Instagram, and @HasbroOfficial on Facebook.)

© 2020 Hasbro, Inc. All Rights Reserved","https://www.glassdoor.com/job-listing/cloud-engineer-intern-summer-2021-hasbro-JV_IC1151256_KO0,33_KE34,40.htm?jl=4029394572&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Systems Engineering Intern,Open Learning Exchange,"Cranston, RI",,https://www.linkedin.com/jobs/view/systems-engineering-intern-at-open-learning-exchange-2498614785?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cloud Engineer Intern (Summer 2021),Hasbro,"East Providence, RI","At Hasbro, we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of Community, Passion, Integrity, Creativity and Inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best is yet to come.

As a Cloud Engineer Summer Intern, you will collaborate with software developers, system engineers and other IT staff members to manage public cloud environments. You will cross and merge the barriers that exist between software development, testing and operations teams.

A day in the life of a Cloud Engineer Intern:
• Take ownership and manage projects for teams enabling Continuous Integration and automation of service integration, delivery, deployments, and cloud infrastructure
• Design and develop services using open source and commercial technologies
• Work within an AWS cloud environment, leading POCs and support systems engineering efforts.
• Focus on continuous learning and presenting learnings on a regular basis with the engineering team.
• Have an open and curious mind to support an innovative culture.

What you'll bring:
• A background in Computer Science. Must be currently enrolled in an acredited undergrad or graduate program. May 2021 or earlier graduates are no longer eligible for Hasbro Internship opportunities.
• Expeirence with Cloud Computing, particularly AWS and Systems Engineering
• Ability to work proactively on a team or as an individual contributer
• Remote candiates living in the US may be considered

About Hasbro

Hasbro (NASDAQ: HAS) is a global play and entertainment company committed to Creating the World's Best Play and Entertainment Experiences. From toys, games and consumer products to television, movies, digital gaming, live action, music, and virtual reality experiences, Hasbro connects to global audiences by bringing to life great innovations, stories and brands across established and inventive platforms. Hasbro’s iconic brands include NERF, MAGIC: THE GATHERING, MY LITTLE PONY, TRANSFORMERS, PLAY-DOH, MONOPOLY, BABY ALIVE, POWER RANGERS, PEPPA PIG and PJ MASKS, as well as premier partner brands. Through its global entertainment studio, eOne, Hasbro is building its brands globally through great storytelling and content on all screens. Hasbro is committed to making the world a better place for all children and all families through corporate social responsibility and philanthropy. Hasbro ranked among the 2020 100 Best Corporate Citizens by 3BL Media, has been named one of the World’s Most Ethical Companies® by Ethisphere Institute for the past nine years, and one of America’s Most JUST Companies by Forbes and JUST Capital for the past four years. We routinely share important business and brand updates on our Investor Relations website, Newsroom and social channels (@Hasbro on Twitter and Instagram, and @HasbroOfficial on Facebook.)

© 2020 Hasbro, Inc. All Rights Reserved",https://jobs.hasbro.com/job/East-Providence-Cloud-Engineer-Intern-%28Summer-2021%29-Rhod-02961/722322400/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer Intern - Database and Systems Technologies,Oracle,Anywhere,"This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act.*This is a remote/office based position which may be performed anywhere in the United States except for within the state of Colorado.**Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.*Software Engineer Intern - Database and Systems TechnologiesOracle University Tech RecruitingRedwood City - CAThe Program:Our future success depends on hiring world-class, early in career talent who are looking to power next-generation services and solutions.

We are hiring bachelor's, master's, or doctorate students with a diverse set of skills and experiences to work in and across multiple teams and programs within the Oracle Database team. Our program is intended to enhance your overall learning experience, help build your network, and accelerate your opportunity to make an impact.The Team:The Oracle Database and Systems Technologies organization creates data management technologies that power the modern economy. This includes the Oracle Database, the most widely used mission-critical database in all major industries around the world.

We use this foundation to develop Database Services in Public and Private Clouds, and the Oracle Autonomous Database, the world's first self-driving, self-securing, self-repairing mission-critical cloud database service. The organization also engineers hardware systems specialized for database that are used by over 75% of the largest businesses in the world. In this team, the code that you write will power highly critical systems used by billions of people including travel reservations, telecommunications, hospitals, payroll, insurance, banking, pharmaceuticals, manufacturing, e-commerce, utilities, and government services.

The goals of our products is to increase the possibilities and productivity of businesses and people worldwide. Over 30% of the largest businesses in the world are already using our database cloud technologies.The Company:Oracle is the world's leading provider of business software. With a presence in over 175 countries, we are one of the biggest technology companies on the planet.

We're using innovative emerging technologies to tackle real-world problems today. From advancing energy efficiency to reimagining online commerce, the work we do is not only transforming the world of business-it's helping advance governments, power nonprofits, and giving billions of people the tools they need to outpace change.For more information about Oracle (NYSE:ORCL), visit us atoracle.com.What You'll Do:The Database and Systems Technologies organization is responsible for full stack development of a family of databases including Oracle NoSQL Database, Oracle Times-Ten In-Memory Database, and the industry-leading Oracle Database itself. As an intern in this group, you'll have the opportunity to: Work on areas such as distributed databases, extreme scalability, high availability, security, analytics, data warehousing, automatic parallelization, networking, replication, distributed caching, transaction engines, core data engines, SQL execution, query optimization, and/or language design. Write code and design efficient data structures and algorithms to develop next-generation databases and tools Develop, troubleshoot and debug software programs Help build interesting technology that solves critical real-world needsWhat You'll Bring: (Objective Minimum Qualifications)To be considered for a Software Engineer Intern position in the Database and Systems Technologies organization, you must possess the Objective Minimum Qualifications (OMQs) below.

Please ensure that your application clearly indicates that you meet these OMQs, either on your resume and/or by uploading additional documentssuch as a transcript. Will be enrolled in a Bachelor's, Master's, or PhD degree program in Computer Science, Computer Engineering, or an equivalent science/engineering field during the 2021-2022 school year. Have completedat least your sophomore yeartoward your undergraduate degree, or higher, by summer 2021. Haveno more than 12 monthsof professional full-time work experience in the technology field (excluding internships, research and/or teaching assistant roles, and military experience). If you are interested in working at Oracle and you have more than 1 year of work experience in the technology field, please apply to Oracle's experienced job openings. For information on currently open positions at Oracle, please visit http://oracle.com/goto/careers Are proficient (i.e., able to complete coding projects with no assistance) in C or C . Have completed coursework, projects, internships, and or research in Data Structures and Algorithms. Have completed coursework, projects, internships, and or research intwo or moreof the following technical areas:o Database Systemso Distributed Systems / Cloud computingo Operating Systemso Compilerso Computer Architecture / Computer Organizationo Parallel Computingo AI / MLo Computer Security / Network Security Attend a university in the US. Able to obtain work authorization in the US in 2021.What We'll Give You:High-impact projects:You'll get the opportunity to directly influence our cutting-edge products.

Got a question or idea? Voice it. Your curiosity could help advance our next-generation cloud applications and help us find new ways to apply emerging technologies like AI, machine learning, and blockchain.Mentors that care:Work with industry-leading experts and award-winning engineers.

On top of your project supervisor, you'll be assigned a peer mentor-a recent hire who can help you navigate the internship experience. You'll also be paired with intern buddies to ensure 360 degree support and engagement.World-class training: Grow from once-in-a-lifetime learning opportunities and exposure to the latest technologies. You'll benefit from comprehensive on-boarding and job-specific training that will help you get the most out of your time with us.

Leadership training will help you build your business acumen.A fun-filled summer: Enjoy a close-knit, community experience alongside your class of fellow summer interns. Our interns work across the length and breadth of our business but come together for fun weekly events like tech talks, networking, volunteering, and fun social happenings.Getting to know you:Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veteran's status or any other characteristic protected by law.Job: **All Roles***Organization:** **Oracle***Title:** *Software Engineer Intern - Database and Systems Technologies***Location:** *United States***Requisition ID:** 20000PO5","https://www.ziprecruiter.com/c/Oracle/Job/Software-Engineer-Intern-Database-and-Systems-Technologies/-in-Providence,RI?jid=5cb26776a64ea952&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Engineering Intern,FM Global,"West Warwick, RI","More information about this job:Overview:Sitting on over 1,600 acres in Western Rhode Island, The FM Global Research Campus is one of the world’s most innovative research and testing centers, including the Fire Technology Laboratory, which is the largest facility of its type. The research carried out in the Fire Technology Labs, Remote Test Site, where explosion tests are conducted and FM Approvals laboratories, help FM Global learn more about fire and explosion hazards. Our objective is to use these findings to increase technical knowledge and capabilities needed to provide state-of-the-art loss prevention solutions to FM Global and its customers. Responsibilities:The Research Engineering Internship provides a student with the opportunity to participate in Engineering and research projects throughout the campus supporting the campus and Approvals laboratories and systems that facilitate building, preparing, and conducting intermediate and large-scale fire, explosion tests, sprinkler equipment testing and process automation system maintenance. While working under the supervision of a Research Engineer, this internship offers the student an opportunity to assist with and progress scientific and engineering projects by performing the following duties:Intern will study under the mentorship of Mr. Richard Fortier, Senior Lead Research Engineer, FM Global Research Campus. The internship focus will be on Research Capital and Expense projects, assisting the project manager in subcontractor monitoring, change order preparations, construction plan checking, submittal review, document control, quality control and safety monitoring. The intern will assist in monitoring automation system performance and system/sub system documentation review and drawing modifications.Intern will also at times study under the mentorship of Dr. Stan Kostka Senior Research Scientist at our FM Global Research Office in Norwood Mass on a Sprinkler Event Detection project, with his time sheets and reporting under Mr. Richard Fortier throughout the internship. Qualifications:Be enrolled and in a college or university and working towards an associate, bachelor, or master’s degree in science, engineering, or technologyIt is beneficial if the candidate is skilled with AutoCAD, LabView, Microsoft Office Applications or similar (Word and Excel at a minimum), and adept with computer usageThe applicant must be willing and comfortable working outside and with their hands in seasonal conditions, as well as inside large fire testing laboratories which may be wet and sooty It is desirable for the applicant to be familiar with hand tools and have some basic mechanical skillsThe student must be a good communicator in a team environment and have a desire to learn new skillsThe student must be able to provide his/her own transportation to and from campus",https://www.talent.com/view?id=2112b250784b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Info System Engineer Intern (TO-F6910),WEX,"Providence, RI","WEX INC. (NYSE: WEX) provides B2B payment processing and information management solutions. From our roots in fleet card payments beginning in 1983, we have expanded the scope of our business to a multi-channel provider of corporate payment solutions in fleet, virtual travel, and healthcare markets. Our innovative technology, payment, and data solutions are working to enable our customers and business partners to focus on what they do best: achieve their business growth objectives. WEX is more than just a corporate payment processing company and a job. We are an agile and innovative technology community, where our curious and collaborative people look to bring the future of commerce to the present. **OUR PROGRAM:** The WEX Internship Program offers a robust experience for ambitious and curious students, who are interested in growing professionally and developing their skills to become the next generation of technology leaders. Our internship program is designed to provide interns hands-on, practical experiences while working alongside some of our industry's smartest teams; as well as providing immediate value to their teams and our leaders. As an intern, you will be challenged and offered the opportunity to make an impact across the business and be involved in the company's most critical business decisions. **WHAT YOU WILL BE DOING IN THIS ROLE:** - Working alongside several certification specialists to assist our WEX accepting Networks, POS Providers, and Merchants in their testing efforts to offer and accept WEX EMV Chip cards at the pump and inside their stores. - Playing an active role in helping to cleanup, streamline and improve on our testing procedures and simulator test cases for our Merchants. **YOU WILL:** - Debug software products through the use of systematic tests to develop, apply, and maintain quality standards for company products - Develop, modify, and execute software test plans, automated scripts and programs for testings; - Analyze and write test standards and procedures; Write Test Cases - Maintain documentation of test results to assist in debugging and modification of software - Manually test software - Analyze test results to ensure existing functionality and recommend corrective action - Assist in the implementation of new functionality for transaction processing & message completion - Identify enhancement and change requirements to simulated test environment - Consult with development engineers in resolution of problems **YOU SHOULD ALSO EXPECT:** - A collaborative and challenging working environment working alongside a very close knit team of engineers and programmers - The opportunity to engage with various stakeholders across the business and senior leadership teams - To train and develop your skills in your area of work with some of the best experts in the payment industry - To demonstrate experience with the creation, facilitation and monitoring of test plans with the ability to create and execute queries using Access, Oracle, and SQL - Read, interpret, and drive compliance with the WEX 8583 Card Payment Authorization specification (multiple versions",https://us.trabajo.org/job-269-20210408-f6910c95cf3b93b37627b185f48e2d45?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
