title,company,location,requirements,link
Social Media Intern,Chegg Inc.,Anywhere,"Social Media Intern
Remote, United States

As our Social Media Intern, you will leverage our social media platforms to build brand awareness and drive engagement amongst our audiences. You’ll work closely with internal teams to uphold our social media customer service experience, act as the face and voice of our business, and infuse our tone throughout our social media platforms. You will interact daily with our social media communities and play a key role in the development of social media strategies and content.

Responsibilities
• Work alongside the Social Media Team to help execute monthly social media strategies
• Assist in the growth of the brand through existing social media platforms (Instagram, Twitter, Facebook, LinkedIn)
• Develop new ideas and strategies for expansion on new social media platforms (Pinterest, Tik Tok, YouTube)
• Interact with followers and potential customers by communicating and answering questions through the company's social pages
• Provide creative insight into topics to be included in monthly editorial calendars and seek creative ways to spread our message
• Deliver feedback on content performance
• Collaborate with the Marketing team, attend relevant meetings, and understand how social fits into broader marketing strategy and goals

Requirements
• Majoring in business, marketing, journalism, advertising, public relations, or a communications-related field
• Some social media management experience
• Extremely strong written and verbal communication skills
• Strong customer service experience with proven ability to solve problems
• High-level understanding of social media analytics
• Excellent attention to detail and a high motivation to learn
• Comfortable working with Microsoft Office and Slack
• Energetic, creative, resilient, and team-oriented
• Entry-level understanding of marketing strategy
• Ability to work 40 hours per week

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/social-media-intern-at-chegg-inc-2419651964?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Marketing & Social Media Intern,Hometown Poké,"Providence, RI (+1 other)","Part-time Internship (8-12 hours/week)

Are you social media savvy with a knack for marketing? We are looking for a marketing and social media intern to work with us to increase brand awareness and customer engagement. Candidate must be able to take initiative and work independently and alongside management on multiple marketing initiatives.

Please note this internship is unpaid but may be eligible for college credit depending on your program. For the exceptionally motivated candidate, this internship can lead to a part-time paid position as we continue to grow. Hours and start and end dates are flexible.

Required qualifications:
• Proficiency and understanding of social media platforms (Instagram, Facebook, Snapchat, Twitter)
• Strong verbal and written communication skills
• Proficiency with Microsoft Office Suite (Word, Excel, PowerPoint)
• Familiarity with the Hometown brand and values
• A thirst for knowledge and problem solving
• Experience with Photoshop and graphic design tools is a plus!

Responsibilities include but are not limited to:
• Drafting monthly newsletters and updating the mailing list
• Taking photographs (food, storefront, lifestyle, etc.)
• Posting to social media and engaging with customers
• Design custom marketing materials for print and online
• Identifying partnership opportunities and building relationships
• Acting as a communication liaison to keep local publications informed of upcoming events

Benefits to working at Hometown Café and Poké Bar include:
• Starting wages above state minimum
• A meal on us during your shift
• Periodic team events (dinners, activities, and more)
• Continuous on-the-job training and development
• Exposure to business building and working in the start-up environment

As a member of the Hometown team, you will bring a positive attitude and be willing to help with any task, no matter how big or small. We are a tight-knit family that is passionate about the Hometown values, serving quality food, and providing great customer service. We hope you’ll fit right into our weird, but loving family and embody our same values","https://www.glassdoor.com/job-listing/marketing-social-media-intern-hometown-pok%C3%A9-JV_IC1151289_KO0,29_KE30,43.htm?jl=3669659160&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Social Media Internship,Maternova,"Providence, RI (+1 other)","About: Maternova is a pioneering global health venture focused on saving maternal and newborn lives around the world through its pioneering e-commerce platform for health technologies. This award-winning venture seeks to continue to add products and reach new markets and customers and to build its brand using social media.

Internship Description:

The social media intern will be involved in multi-channel social media messaging and connecting with other ventures, countries, and initiatives in women’s health, newborn health, medical devices and diagnostics, and global health. The job will entail increasing posting quality, frequency, and strategic placement on the right platform at the right time. The intern will work with the CEO and Chief Strategy Officer to continue to build a social media strategy that is powered by the mission of the company—to get low-cost, high-quality medical innovations into the hands of those providing clinical care around the world. Twitter is the primary channel, but increasing our LinkedIn ‘voice’ and traffic, as well as Instagram, will be the focus for the semester.

If the candidate speaks another language fluently (esp French or Spanish or Portuguese) this is an added attribute for the position. This is an ideal position for a college senior or graduate student who is taking time off due to Covid and has time to invest in a fast-paced social enterprise with a global brand.

Qualifications and Requirements:
• The candidate must be well versed in Twitter, Instagram, Pinterest, Facebook, LinkedIn and be able to expertly manage across platforms using a social media manager like Hootsuite
• Concrete prior experience in social media messaging (hashtag research, metrics for social media)
• The candidate must have impeccable spelling and grammar and a keen eye for design and composition for the visual aspects of social media (creating compelling images on Canva)
• The candidate will ideally have strong public health and global health knowledge, preferably with a focus on maternal and child health
• Junior/Seniors/Graduate Students only; GPA 3.5 or above only
• Strong work ethic and time management are essential

Schedule: 20 hours per week

Compensation: For academic credit.

Social Enterprise Greenhouse is recruiting for this internship.

Job Types: Part-time, Internship

Benefits:
• Flexible schedule
• Professional development assistance

Schedule:
• Monday to Friday

Work Location:
• Fully Remote

Hours per week:
• 20-29

Internship Compensation:
• College Credit

Company's website:
• https://maternova.net/

Company's Facebook page:
• https://www.facebook.com/Maternova.net/

Work Remotely:
• Yes

COVID-19 Precaution(s):
• Remote interview process
• Virtual meetings",https://www.internships.com/posting/sam_8dd4faf44c8be238?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Assistant (Internship/Part-time),iGlow Mentoring,"Providence, RI","The Social Media Intern is a highly motivated, creative individual with experience and a passion for connecting with current and future customers. This position has the responsibility of building and engaging our community on a daily basis with the ultimate goal of turning fans into customers. An essential component is communicating the company’s brand in a positive, authentic way that will attract today’s business savvy buyers.

This position is responsible for creating a deliberate and intentional social media strategy that delivers results through organic and paid advertising. The strategy will build and grow brand awareness and create a positive online reputation. The social media funnel will cultivate leads that will convert to sales.

You must be able to work in a fast-paced environment as this event will take place in less than 90 days.

Knowledge and skills you possess...
• Ability to create relevant, original, high-quality content (for all channels and ads)
• Strategies to build and nurture a community on an accelerated timeline
• Create a regular publishing schedule and promote content through social advertising.
• Leverage the right tools to manage your content.
• Implement a content editorial calendar to manage content and plan specific and timely marketing campaigns based on an event launch date.
• Integrate all channels of marketing (social media, SEO, content marketing, email, print and digital marketing",https://www.linkedin.com/jobs/view/social-media-assistant-internship-part-time-at-iglow-mentoring-2493942515?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern (Course Credit Eligible),Childhood Cancer Society,"Providence, RI",,https://www.jobbzee.com/job/social-media-intern-course-credit-eligible-in-providence-rhode-island/6490-1157620157BD?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern,Lunchbox,"Providence, RI","We are looking for a **Social Media Intern** to create, launch and publish throughout our various social channels such as TikTok, Twitter, LinkedIn, and Instagram.

Our **Social Media Intern's** responsibilities include promoting our content on social media. To be successful in this role, you should have experience with digital publishing and generating traffic and leads for new business. Please share samples of your work (portfolio or links to published articles) along with your application, specifically work with TikTok.

Ultimately, you will help us reach our target audience by delivering both useful and appealing online information about our company and products specifically through social media.
• *Responsibilities**:

- Work alongside the team to create a plan for social media strategies
- Assist in the growth of the brand by raising awareness through various social media platforms
- Monitor postings to ensure brand message is constant from the terminology used to images posted
- Aid in the daily aspects of promoting the businesses campaigns
- Interact with followers and potential customers by communicating and answering questions through the company's social pages
- Assist in implementing plans to increase followers on popular social media websites such as TikTok, Twitter, Instagram, YouTube and LinkedIn
- Help create content as dictated by the monthly editorial calendar to promote sales, blogs and products",https://www.nbc4jobs.com/jobs/social-media-intern-providence-rhode-island/256447673-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Assistant (Internship/Part-time),iGlow Mentoring,"Cranston, RI","The Social Media Intern is a highly motivated, creative individual with experience and a passion for connecting with current and future customers. This position has the responsibility of building and engaging our community on a daily basis with the ultimate goal of turning fans into customers. An essential component is communicating the company's brand in a positive, authentic way that will attract today's business savvy buyers.

This position is responsible for creating a deliberate and intentional social media strategy that delivers results through organic and paid advertising. The strategy will build and grow brand awareness and create a positive online reputation. The social media funnel will cultivate leads that will convert to sales.

You must be able to work in a fast-paced environment as this event will take place in less than 90 days.

Knowledge and skills you possess...

- Ability to create relevant, original, high-quality content (for all channels and ads)
- Strategies to build and nurture a community on an accelerated timeline
- Create a regular publishing schedule and promote content through social advertising.
- Leverage the right tools to manage your content.
- Implement a content editorial calendar to manage content and plan specific and timely marketing campaigns based on an event launch date.
- Integrate all channels of marketing (social media, SEO, content marketing, email, print and digital marketing",https://www.jobbzee.com/job/social-media-assistant-internship-part-time-in-cranston-rhode-island/6490-11482775673F?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern,Lunchbox,"Pawtucket, RI","We are looking for a **Social Media Intern** to create, launch and publish throughout our various social channels such as TikTok, Twitter, LinkedIn, and Instagram.

Our **Social Media Intern's** responsibilities include promoting our content on social media. To be successful in this role, you should have experience with digital publishing and generating traffic and leads for new business. Please share samples of your work (portfolio or links to published articles) along with your application, specifically work with TikTok.

Ultimately, you will help us reach our target audience by delivering both useful and appealing online information about our company and products specifically through social media.
• *Responsibilities**:

- Work alongside the team to create a plan for social media strategies
- Assist in the growth of the brand by raising awareness through various social media platforms
- Monitor postings to ensure brand message is constant from the terminology used to images posted
- Aid in the daily aspects of promoting the businesses campaigns
- Interact with followers and potential customers by communicating and answering questions through the company's social pages
- Assist in implementing plans to increase followers on popular social media websites such as TikTok, Twitter, Instagram, YouTube and LinkedIn
- Help create content as dictated by the monthly editorial calendar to promote sales, blogs and products",https://www.usajobcentral.com/job/social-media-intern-in-pawtucket-rhode-island/5836-11482504434B?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern - Remote - ($500 per month),&always,"Providence, RI",,https://www.jobbzee.com/job/social-media-intern-remote-500-per-month-in-providence-rhode-island/6490-1148254137B9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Media/Public Relations Intern,Pearson,"Providence, RI","Job Information

Pearson Media/Public Relations Intern in Providence, Rhode Island

Media/Public Relations Intern - ( 2103471 )

Description

The GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.

GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.

We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.

The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Currently a junior or senior in college, in pursuit of a bachelors degree in Communications, Public Relations, Marketing or related field
• Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones.
• Understand and be comfortable using the large social media platforms Facebook, Twitter, Instagram, and YouTube
• Interested and familiar with education, public relations/communications, and social media
• Team player who works well with others and isnt afraid to ask questions
• Detail-oriented, cares about how our communications will impact thousands of people
• Develop new content, including blog posts, emails, newsletter ideas
• Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content
• Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work
• Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software
• Plan, schedule, and upload content on Facebook, Twitter, LinkedIn
• Assist marketing team with monitoring all social media channels to engage with users through Hootsuite
• Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic

Primary Location : US-RE-Remote

Work Locations :

US-Remote

Remote

Job : Communication

Organization : Assessments VUE

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Travel : No

Job Posting : Mar 9, 2021

Job Unposting : Ongoing

Schedule: : Part-time Temporary

Req ID: 2103471",https://www.internships.com/posting/bug_38966828061?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
