title,company,location,requirements,link
Accounting Intern,Sensata Technologies,"Attleboro, MA","Our Internship Program is designed to provide individuals with challenging projects and related work assignments, insight into our growing organization, and direct access to senior leaders at Sensata. The internship will be a realistic job preview as to what it is like to work at Sensata and a chance for interns to showcase their skills and abilities. Our twelve week program includes informational lunch and learns, group outings and networking, and opportunities to interact with global team members.



The Accounting Intern will be assigned to projects within the different accounting and tax organizations at Sensata. Assigned projects could include mapping processes, updating control documentation, performing monthly close procedures, assisting in new process and system implementation projects and working on initiatives within the global accounting organization. The candidate will get assigned to a project related to an ongoing initiative to work through with the Assistant Corporate Controller, with a readout to the Chief Accounting Officer at the end of the internship.

Desired Skills
Outstanding leadership potential
Passion for learning
Demonstrated critical & strategic thinking capability
Strong analytical skills
Strong verbal and written communication
Ability to influence and build rapport with colleagues and functions
Proven ability to plan, organize and drive business results
Self-starter capable of leading in a matrixed environment
Ability to present to senior management internally


Requirements
Working towards Bachelor’s degree in Accounting
Prior work experience a plus
Campus or extracurricular involvement a plus

Smarter Together
Collaborating at Sensata means working with some of the world’s most talented people in an enriching environment that is constantly pushing towards the next best thing.
Employees work across functions, countries and cultures gaining new perspectives through mutual respect and open communication.
As OneSensata , we are working together to make things work together
NOTE: If you are a current Sensata employee (or one of our Affiliates), please back out of this application and log into Workday via the Company Intranet to apply directly. Type ""FIND JOBS"" in the Workday search bar.",https://www.linkedin.com/jobs/view/externalApply/2482254210?url=https%3A%2F%2Fsensata%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSensata-Careers%2Fjob%2FAttleboro-Massachusetts%2FAccounting-Intern_IRC80991&urlHash=SF8K&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=2WIGgz2T9LmwLyTF9J4Qdw%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Accounting",Professional Diversity Network,"Stoughton, MA","Overview

Looking to expand your knowledge beyond the classroom? Collegium's C2C Summer Session enables and equips students to gain industry knowledge and hands on experience outside of the classroom through mentorship from our passionate and experienced Collegium team! Collegium is committed to being the leader in responsible pain management. Come join the camaraderie of Collegium Pharmaceutical!
The Accounting Intern will assist the Finance Team with key activities and processes as well as support various ad-hoc requests.

Responsibilities

Provide support to the Finance Department through a variety of activities, including:
Assisting with quarter and month end close
Assisting in compiling data for system audits and various data integrity initiatives
Test transactions to ensure appropriate accounting and compliance
Document transaction details to ensure appropriate accounting

Qualifications

Current college student who has completed at least two years of an Accounting or Finance related program
Minimum 3.2 GPA
Strong written and verbal communication skills
Ability to work independently as well as part of a team
Experience in Microsoft Office Suite of software (Excel, Word, PowerPoint, etc.)
PDN-92f81519-c0af-4a9c-916e-060025b803c7",https://www.linkedin.com/jobs/view/externalApply/2498522004?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D475%26rx_jobId%3D4109399%26rx_url%3Dhttps%253A%252F%252Fwww%2Eprodivnet%2Ecom%252Fjob%252Fintern-accounting-stoughton-massachusetts-4109399%253Futm_source%253DRecruitics%2526utm_medium%253Djobboard%2526utm_campaign%253DEnterprise%2526utm_campaign%253Dlinkedin%2526utm_medium%253Dpost%2526utm_source%253Dlinkedin%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253Dlinkedin%2526rx_ts%253D20210415T151825Z&urlHash=I0nt&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=qAhylRWO4S0yvwQk%2FY89DA%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Accounting","Collegium Pharmaceutical, Inc.","Stoughton, MA","Looking to expand your knowledge beyond the classroom? Collegium's C2C Summer Session enables and equips students to gain industry knowledge and hands on experience outside of the classroom through mentorship from our passionate and experienced Collegium team! Collegium is committed to being the leader in responsible pain management. Come join the camaraderie of Collegium Pharmaceutical!

The Accounting Intern will assist the Finance Team with key activities and processes as well as support various ad-hoc requests.

Provide support to the Finance Department through a variety of activities, including

Assisting with quarter and month end close
Assisting in compiling data for system audits and various data integrity initiatives
Test transactions to ensure appropriate accounting and compliance
Document transaction details to ensure appropriate accounting
Current college student who has completed at least two years of an Accounting or Finance related program
Minimum 3.2 GPA
Strong written and verbal communication skills
Ability to work independently as well as part of a team
Experience in Microsoft Office Suite of software (Excel, Word, PowerPoint, etc.)",https://www.linkedin.com/jobs/view/externalApply/2465117593?url=https%3A%2F%2Fcareers-collegiumpharma%2Eicims%2Ecom%2Fjobs%2F1434%2Fintern%252c-accounting%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=YvpI&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=F7XcvU3B0%2BONiCuwjnk9vw%3D%3D&trk=public_jobs_apply-link-offsite
"Television Production Audit Intern, Fall 2021",The Walt Disney Company,"California, United States","Job Summary

Imagine working side-by-side with industry leaders in your field of study. Imagine building upon the skills you’ve learned in the classroom through real-world hands-on work experience. Now imagine yourself in a Professional Internship with Disney Corporate. When your extraordinary talents, our renowned legacy and the promise of an even brighter future unite, just imagine the stories you could be part of!

Responsibilities
Reconcile, review and analyze payroll, revenue and production costs relative to Accounts Payable and Participation Revenue aspects of the Network Television business
Reconcile information from 3rd party vendors, including file setup, research, spreadsheets and reporting information in an Excel format
Analyze Revenue Statements within Excel and report to Management potential issues
Participate in special projects within the production audit department to gain additional exposure outside of immediate department

Basic Qualifications
Experience in Microsoft Excel (e.g., sorting, pivots, filters)
Experience in Microsoft Word
Familiarity with Access

Preferred Qualifications
Experience in Microsoft Excel Macros experience is a plus

Required Education
Currently enrolled in an accredited college or university and taking at least one class, or be a recent graduate of an accredited college or university within the last eighteen (18) months at time of application, or be currently participating in the Disney College Program, Disney Culinary Program or Disney Professional Internship Program
Currently pursuing (or recently graduated with) a degree in finance or accounting
GPA of 3.0 or higher

Preferred Education
Junior or higher
GPA of 3.3 or higher

Additional Information
This internship is a remote internship. The internship requires a working, reliable internet connection as well as a quiet, dedicated work space.
The approximate dates of this internship are June through January.
Candidate must be available to work full time hours (approximately 40 hours per week) for the duration of the internship
The Walt Disney Company is the global leader in high-quality entertainment and innovative technology. Begin a career that delivers unparalleled creative content and experiences to audienc.es around the world.

The Walt Disney Company is an Equal Opportunity Employer.

783990BR",https://www.linkedin.com/jobs/view/externalApply/2485565274?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19195815%3Fcid%3D14187&urlHash=8N8F&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=e%2FZTfH4xsicQV0b5o5%2BTKg%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern – Summer 2021,Open Road Integrated Media Inc.,"New York, NY","About Open Road Integrated Media

Open Road Integrated Media is a prestige content brand delivering digital experiences that entertain and inform readers around the world. Open Road was founded in 2009 with the belief that great marketing and great content are the engines of growth for underserved authors and books. This philosophy is at the core of everything that we do. Open Road revolutionizes how publishers service authors, agents, and readers.

Summary

The Finance and Accounting team is seeking a part-time Finance Intern. This role will assist with various revenue and royalties related tasks. The ideal candidate will preferably be a college student working towards a degree for academic credit in a related field. This is a remote position working a maximum of 20 hours per week. Internship duration will be approximately from May 1, 2021 to July 31, 2021, with a possibility of extending for another 3 months.

Essential Functions
Updating and maintaining vendor contact information in financial and royalty systems
Creating new customers and vendors in the financial system
Exporting monthly title reports from the title management system
Acquiring monthly sales files for revenue close
Providing general accounts receivables support
Assisting with quarterly royalties reporting and statement processing
Requirements
Minimum GPA of 3.0
Highly motivated with desire to learn
Strong written and verbal communication skills
Excellent attention to detail and accuracy
Proficient in Microsoft Excel
Powered by JazzHR

z0FvARj3ae",https://www.linkedin.com/jobs/view/externalApply/2485565274?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19195815%3Fcid%3D14187&urlHash=8N8F&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=e%2FZTfH4xsicQV0b5o5%2BTKg%3D%3D&trk=public_jobs_apply-link-offsite
Year Round Accounting & Reporting Intern,Textron,"Providence, RI","Our Company

We are known for our powerful brands such as Bell, Cessna, Beechcraft, E-Z-GO, and Arctic Cat. We are a multi-industry company with a global network of aircraft, defense, industrial and finance businesses that provide our customers with innovative products and services. Our worldwide presence is powered by the talent of more than 36,000 people, each of whom brings their unique experience, skills and perspective to our team.

Job Summary

The Textron internship program is designed to allow you to gain experience and insight into business processes, budgeting, the development of business analysis and reporting, cross-functional exposure and more. This position is responsible for assisting members of an accounting department in both daily activities and special projects to learn, understand, and gain experience related to the Finance function and its role in achieving business objectives.

Your year round internship assignment in Providence, RI will include exposure to existing workgroups and senior management in the Finance and accounting function at the Textron Corporate level. This position is year-round, part-time (up to 20 hours) during school semesters (flexible schedule) and full-time (up to 40 hours) during breaks.

Textron views internships as its most important source for identifying promising talent. Internship Program benefits include visibility to high-level enterprise Finance and Accounting leaders, on-the-job and formal training, as well as exposure to multiple business units in different functional areas. Candidates with a solid finance and or accounting background with demonstrated leadership ability are encouraged to apply. Successful selected individuals will have the opportunity to interview for full time roles throughout the Textron Enterprise.

Requirements include: you must be currently pursuing bachelor’s degree in accounting and have a passion for learning. You must be able to protect and maintain the privacy of employee personnel records including, but not limited to, personal and compensation information about employees

Additional Qualifications
Must have a passion for Finance/Accounting
Strong communication skills
Global mindset
Action and result oriented
Strong analytical skills
Resourceful/problem solver
Able to quickly adapt to change
Self-confidence and initiative
Lifelong learner
Open to new challenges and business environments

EEO Statement

Textron is committed to providing Equal Opportunity in Employment, to all applicants and employees regardless of, race, color, religion, gender, age, national origin, military status, veteran status, handicap, physical or mental disability, sexual orientation, gender identity, genetic information or any other characteristic protected by law.

Pay Transparency Policy Statement

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise, have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.

Job Field

Finance/Accounting

Primary Location

US-Rhode Island-Providence

Recruiting Company

Textron Inc.

Schedule

Full-time

Job Level

Individual Contributor

Shift

First Shift

Job Posting

04/08/2021, 8:22:29 PM",https://www.linkedin.com/jobs/view/externalApply/2497246729?url=https%3A%2F%2Ftextron%2Etaleo%2Enet%2Fcareersection%2Ftextron%2Fjobdetail%2Eftl%3Fjob%3D1064017&urlHash=J3mm&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=ERV7EKu922CgZSD1aTC18g%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Internship,Sunovion Pharmaceuticals,"Marlborough, MA","Sunovion & Sumitomo Dainippon Pharma America virtual Internship Program

Our virtual internship program offers college and university students an amazing opportunity to gain hands on experience within the pharmaceutical industry. This program allows students to work closely with business leaders while obtaining key industry insights. Interns will be responsible for completing both individual and group projects. Additionally, interns will participate in team building workshops and professional led seminars which will contribute to their career and professional development. We are seeking talented individuals within multiple areas across the organization.

Company Overview

Sunovion is a global biopharmaceutical company focused on the innovative application of science and medicine to help people with serious medical conditions. Sunovion’s spirit of innovation is driven by the conviction that scientific excellence paired with meaningful advocacy and relevant education can improve lives. The Company has charted new paths to life-transforming treatments that reflect ongoing investments in research and development and an unwavering commitment to support people with psychiatric, neurological, and respiratory conditions.

Sumitomo Dainippon Pharma America (SDPA) supports certain affiliates of Sumitomo Dainippon Pharma Group by providing professional shared services expertise to achieve greater efficiencies and enable discovery, development, and commercialization of innovative treatments to help patients.

Program Overview
Position will begin on Monday May 31, 2021.
Position is full-time Monday through Friday – up to 40 hours per week.
Candidates should be available to commit to 8 weeks minimum.

Internship Description

The Accounting intern will be responsible for assisting in various projects that support department initiatives related to standardized processes, documentation, improving processes, creating efficiencies and creating synergies. This role requires a high degree of collaboration with other members of the Corporate Accounting team as well as other key stakeholders within the broader Finance and Accounting functions.

The Accounting intern will work with the Senior Manager of Accounting on developing a timeline, project plan and deliverables for refining certain account analyses in Blackline.

Learning Goals
Gain insight into the pharmaceutical industry
Receive real-life experience into the day-to-day operations of a Corporate Accounting Team
Develop organizational skills to be able to complete a project in a timely manner
Demonstrate effective written communication skills
Learn to interact with diverse personalities
Participate in special projects that support the departments initiatives and objectives as assigned

Minimum Requirements
Undergraduate having completed their Sophomore year.
Accounting Major
Authorization to work in the U.S.
Abide by corporate policies, work in professional environment, and meet deadlines
Experience using Microsoft Office (Excel, PowerPoint, Word).
Confidential Data : All information (written, verbal, electronic, etc.) that an employee encounters is considered confidential.

Compliance :Achieve and maintain Compliance with all applicable regulatory, legal and operational rules and procedures, by ensuring that all plans and activities for and on behalf of Sunovion are carried out with the ""best"" industry practices and the highest ethical standards.

Mental/Physical Requirements : Fast paced environment handling multiple demands. Must be able to exercise appropriate judgment as necessary. Requires a high level of initiative and independence. Excellent written and oral communication skills required. Requires ability to use a personal computer for extended periods of time.",https://www.linkedin.com/jobs/view/externalApply/2403782041?url=https%3A%2F%2Fsunovion%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2F_Sun%2Fjob%2FUS-MA-Marlborough%2FAccounting-Internship_R00697&urlHash=9iym&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=f9xGbYZv%2B%2FnO4K%2FLxDUang%3D%3D&trk=public_jobs_apply-link-offsite
2021 Finance Internships,T-Mobile,"Bellevue, WA","Job Description


Bring your passion, your ideas and your potential.
Are you ready for a challenge that could launch your career? T-Mobile is revolutionizing the wireless industry for millions of customers nationwide. Working here means rolling up your sleeves and redefining the status quo with a team that has your back every step of the way.

You’re encouraged to be an Intern with our Finance Team.

This is a 12-week paid learning experience with our team of bean counters and spreadsheet jockeys who pay the bills and keep the lights on. Forecasting. Number Crunching. Taxes. Financial Reporting. All the stuff that makes your head spin, well, that's what gets our blood pumping!

Our Finance group consists of a number of teams including Accounting, Business Intelligence, Financial Operations, Investor Relations, Procurement & Supply Chain, Risk Management, Tax and Treasury. All are primarily based at our headquarters campus in Bellevue, WA and others are located in cities across the country such as New York, Dallas, and Overland Park, KS.

Functional Group
Finance

Location
WA504-WA-Headquarters, Building 3

Location Address
12920 SE 38th St

City
Bellevue

State
Washington

Zip
98006

Other Locations Available
New York, New York; Dallas, Texas; Overland Park, Kansas

Travel Required?
No


Responsibilities

Working as an Intern on our Finance Team means everything from planning and procurement of products (handsets, accessories, etc.), implementing programs and supervising SOX controls to tax preparation, risk assessment, capital markets reporting, logistics analysis and assets and leasing accounting.

You’ll supply your creativity and outstanding ideas, working alongside innovative colleagues and mentors who will push you to be your very best. We’ll give you hands-on projects and the chance to make an immediate impact. Here are some of the roles you could have as an Intern with our Finance Team…
Accountant
Business Process Analyst
Credit Risk Analyst
Data Analyst
Financial Analyst/Reporting
Financial Planning
Internal Audit
Supplier Diversity
Supply Chain
Tax Analyst


Qualifications

You’re currently enrolled in college and pursuing a Bachelor’s, Master’s, or MBA degree with an Accounting, Business, Economics, Finance, Information Systems, Risk Management, or Supply Chain focus.
You’re a self-starter with a passion for learning who is not afraid to ask questions.
Things change and move pretty fast on this team and your ability to quickly adapt, change direction and think on your feet without missing a beat is meaningful.
You share our Un-carrier® spirit. This is about breaking rules, paving our own path and making things better for our customers – and each other.

Being an Intern
Our Internship Program takes place over the summer running 12 weeks from May to September. As an Intern, you’ll receive competitive pay, relocation benefits, an outstanding experience, and the support of a team that believes in your potential. You’ll also have plenty of opportunities to meet and network with other interns, fellow team members, and top leaders from all business functions across the company as you make connections that will last your career. Want to learn more?

A big part of our culture is about embracing our Magenta spirit. And we’ll ask you to do the same. Check out #BeMagenta to see how we work together to take care of our customers and each other every day.


Recruiting Timeline
Recruiting for the 2021 internship program takes place from September 2020 through March 2021. We’ll be virtually visiting campuses across the country and virtually attending national recruiting conferences in September through November. We’ll be connecting with candidates and begin screening in January. If we believe you’re a good fit for one of our roles, we’ll contact you directly to discuss next steps. Interviews will start to take place in late January and all internships will be filled by the end of March.


Application Process
Select the job category that best matches your interests, education and experience and click apply. We’ll then review your application. If we believe you’re a good fit for one of our roles, we’ll contact you directly to discuss next steps.


Minimum Qualifications

At least 18 years of age
Legally authorized to work in the United States
High School Diploma or GED
Pre-employment background screen
Currently enrolled in a college or university or post-graduation of 12 months


Company Profile

As America’s Un-carrier, T-Mobile USA, Inc. (NASDAQ: “TMUS”) is redefining the way consumers and businesses buy wireless services through leading product and service innovation. The company’s advanced nationwide 4G and 4G LTE network delivers outstanding wireless experiences for customers who are unwilling to compromise on quality and value. Based in Bellevue, Washington, T-Mobile USA. Inc. provides services through its subsidiaries and operates its flagship brands, T-Mobile and Metro by T-Mobile. For more information, please visit http://www.t-mobile.com

Applicant Privacy Policy

We are committed to maintaining your trust by respecting and protecting your privacy. For more information about how T-Mobile processes the personal data of job applicants, please visit Applicant Privacy Policy .

EOE Statement

Equal Employment Opportunity

We take equal opportunity seriously—by choice.

T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, religious affiliation, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination, retaliation or harassment based upon any of these factors is wholly inconsistent with how we do business and will not be tolerated.

Positions Remaining
20

Brand
T-Mobile",https://www.linkedin.com/jobs/view/externalApply/2419708850?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25779%26siteid%3D5149%26jobId%3D638854%26codes%3DINT-LinkedIn&urlHash=55eS&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=bp3sfZWEvIpWWY7TJ1RVvQ%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Internship,Kushner & Company,"Florham Park, NJ","Our mission is to go above and beyond to build thriving communities and exceptional experiences for our residents, guests, tenants, and teams. Our values represent what we strive to achieve every day. Every decision we have to make is guided by the ""4 Be's"". Be best in class. Be Solution-Oriented. Be Accountable. Be caring. Come grow with us!

The Kushner Companies Internship Program is constantly seeking highly motivated, hardworking candidates to join our team. College students with an interest in real estate are encouraged to apply. Our internship program provides each intern hands-on opportunities to impact the team while gaining insight into the trans-disciplinary field of real estate.

Kushner Companies is a diversified real estate organization headquartered in New York City. Our Accounting Team is located in Florham Park, NJ. Our company is responsible for the ownership, management, development and redevelopment of many properties. Our national reach consists of more than 20,000 multi-family apartments, as well as 13 million square feet of office, industrial, hotel and retail space throughout New York, New Jersey, Maryland, Virginia, Tennessee and soon Florida!

As a representative of Kushner, our Accounting Intern is responsible for assisting with financial reporting and advisory. This role will be responsible for serving as a control function and financial planning and analysis.

WE LOOK FOR A 1 YEAR COMMITMENT (Spring, Summer, Fall, Winter) & 24 HOURS/WEEK SCHEDULE

Job Responsibilities
Bank Reconciliations
Financial Reporting and Analysis
Budget monitoring and comparisons and Reforecasting
Tracking Capital Projects and Expenses
Audits and Refinances
Assisting with responses to Investor Inquiries

Why Our Program
Unique opportunity to be influential in a rapid-growth company
Record of success in hiring interns after graduation
Partner with smart and hard-working colleagues that are well respected in the industry
Friendly and small office environment
Hands-on training
Environment focused on your skill development

Required Attributes
BANK RECONCILIATION EXPERIENCE required for Accounting Interns
Outstanding academic success
Thriving in team-based environments with open communication
Enthusiasm for real estate
Strong excel skills
EQUAL OPPORTUNITY EMPLOYER & EQUAL HOUSING PROVIDER

Kushner is a diversified real estate organization responsible for the ownership, management, development, and redevelopment of properties throughout the country. We are strategically focused on setting the pace for the way people live and work. Our mission is to provide our tenants with environments that are productive, efficient, and state-of-the-art. Investment decisions are based on our successful experiences in the past, and more importantly, our vision for the future. Our national reach consists of more than 20,000 multi-family apartments, as well as 13 million square feet of office, industrial, hotel and retail space throughout New York, New Jersey, Maryland, Virginia, Tennessee and soon Florida!

Our values represent what we strive to achieve every day. Every decision we have to make is guided by the ""4 Be's"".We are guided by the 4 B's: Be best in class, be solution-oriented, be accountable and be caring.",https://www.linkedin.com/jobs/view/externalApply/2419708850?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25779%26siteid%3D5149%26jobId%3D638854%26codes%3DINT-LinkedIn&urlHash=55eS&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=bp3sfZWEvIpWWY7TJ1RVvQ%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern,Chegg Inc.,"Providence, RI","Finance Intern, Learning Services
Remote, US

About The Role

We’re looking for a highly motivated intern to join our team! Chegg’s company-wide internship program offers challenging projects, special events, access to leadership, and more.

The Finance team is central to Chegg -   driving business decisions and strategic direction for the entire company. As an intern with Chegg Learning Service Finance, you will be exposed to the foundations of financial planning, forecasting & analysis for our Learning Services businesses.

Key Responsibilities
Work individually and collaboratively on a variety of financial modeling, forecasting or reporting projects, depending on the business needs.
Work closely with the Finance leadership team, gaining exposure to business leaders and executives across the company.
Participate actively in a wide variety of meetings across multiple business functions and with many different professionals.
Research, interpret and present business findings and participate actively in discussions of results.
Finish the summer by presenting your projects to the executive team.

Desired Experience And Skills
MBA candidate or undergrad senior pursuing a degree in Business, Finance, Accounting, or a related field from an accredited college or four-year university.
Passionate about the education industry.
Ability to quickly shift with adjusting priorities.
Deep understanding and love for technology.
Ability to think critically and work both autonomously and cross-functionally.
Excellent statistics and analytical skills, with the ability to solve highly strategic and difficult business problems.
Advanced querying, modeling, Excel and/or PowerPoint skills.
Demonstrated written and verbal communication skills.
Legally allowed to work in the US (US citizen, green card, or F1 visa holder).
Comfortable and able to work remotely for the duration of the internship
Ability to work 40 hours per week for a continuous 10-12 weeks in the summer

About Learning Services

Learning Services (LS) is the largest business at Chegg and its offerings fall into two categories:
Digital Services, which include a comprehensive set of subscription-based, ad-supported and free online tools that help students learning experience. They include: Chegg Study, Chegg Writer, Chegg Math Solver and Chegg Study Pack.
Required Materials, which includes a wide selection of printed textbooks and eTextbooks for students to rent or buy and other supplemental materials such as study guides, lab manuals or digital services offered by publishers.
About Finance @ Chegg

We are small but might team that is united and motivated by supporting Chegg’s mission to help students in their educational journey. We are also students ourselves… We study our customers, the students, and have empathy for the problems they face. We study Chegg’s operations and identify and communicate risks and opportunities. We study our craft and work to be better at it. We study our world and our industry and how to increase value to our shareholders. We never stop learning.

We are business-minded people who have mastered Finance as our craft - we have a deep understanding of Chegg’s strategies and operations and consider them in the planning, forecasting, analysis and insights we deliver to our business partners. We are objective, data-backed, detailed-oriented but big picture-focused and we hold integrity in the highest regard. We do the right thing even when no one is looking.

While we work hard, we work together as a team to support the right work-life balance for each person. We like to have fun as well and stay connected with each other whether we work in the office or remotely. We also like to give back to the community and the students we serve. We model and champion Chegg values every day.

Chegg is proud to be an equal opportunity employer. We are committed to having a diverse and inclusive workplace. We consider candidates for employment without regard to age, ancestry, color, race, national origin, religion, gender identity or expression, sexual orientation, marital status, disability, medical condition, political affiliation, veteran status or other characteristic protected by applicable laws, regulations and ordinances. If you have a disability or special need that requires accommodation, please let our Chegg Talent representative know.

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer",https://www.linkedin.com/jobs/view/externalApply/2481137309?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056O4J9FFWV%2F&urlHash=Rly6&refId=edb999a0-9a7c-4b73-9cb9-975d3ef6ab72&trackingId=8%2FQG836uTifGl3lzcAeteQ%3D%3D&trk=public_jobs_apply-link-offsite
