title,company,location,requirements,link
Community Affairs Intern,Mark43,"Baltimore, MD","Mark43's mission is to empower communities and their governments with new technologies that improve the safety and quality of life for all. We build powerful, scalable, and elegant software that sets a new standard for the tools upon which our first responders rely. Our users are diverse, and we are therefore committed to embracing diversity of thought and experience within our team.

We are looking for an intern to join our Community Affairs team. You will be partnering with our VP of Public Policy & Community Affairs to research topics such as community policing, the police reform movement, community engagement with public safety agencies, and more. Throughout your internship, you can expect to work on a variety of different projects, including product-focused user research and documentation, industry research, and content creation. Some of your research and work may focus on researching opportunities to add community engagement functionality into our software platform. You will collaborate closely with many other team members within program management, product development, and design, while also working autonomously on research and writing projects of your own.

What You'll Do

If you were part of our team, here are some things you would have done last week:

Set up social media alerts for topics relevant to your research
Spent time researching the current state of law enforcement data available to communities
Analyzed data to support your findings and synthesized them into relevant themes
Created a presentation that packages your research in a way that can support influencing product and messaging decisions
Designed surveys to seek information from community activists engaged in the police reform movement
Collaborated with Mark43 Designers in user experience brainstorming sessions to bring research findings to life through ideation
Created content (thought pieces, white papers, blog posts) to support continued engagement with both communities and customers
Conducted interviews with current customers and community leaders


What You'll Need

We're looking for someone who is passionate about Mark43's mission and understands the role technology can play in improving relationships between law enforcement agencies and the communities they serve. You should have strong research skills (background in academic research a plus) and strong writing instincts that will allow you to distill complicated topics to core compelling elements. We expect you to have some experience doing market research to support product development and strategy and using Microsoft and Google products to document and present your findings. You should be comfortable working autonomously, and be able to make progress on projects with little oversight. Prior internship or professional work experience is required. Sociology, Business, or Criminal Justice majors may be well suited for this internship.

People who thrive on our team also tend to share the following characteristics:

Humble, open, and curious. You work without an ego and value others' opinions and experiences.
Self-motivated and hardworking. You know how to assign and organize your own work and you always deliver on time.
Interest in technology, civic, and public safety issues. You enjoy engaging in thoughtful conversation around the topics facing the public safety industry.
Comfort with ambiguity. You enjoy experimentation and are able to thrive working within a rapidly changing environment.
Respectful communicator and active listener. Your communication skills will allow you to respectively engage and interact with many internal and external stakeholders on the different topics you're researching.


Our Community Affairs team is based in Baltimore, MD but our team is working remotely right now and this will be a remote internship. There still may be opportunities for local or regional travel if and when it becomes safer to do so.",https://www.linkedin.com/jobs/view/externalApply/2483793133?url=https%3A%2F%2Fgrnh%2Ese%2F6000c28a1us&urlHash=xy2R&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=W07R8fn7gOJIxW9qXGAqyw%3D%3D&trk=public_jobs_apply-link-offsite
Oregon Community Engagement Intern,Intel Corporation,"Hillsboro, OR","Job Description

Join Intel-and build a better tomorrow. Intel is in the midst of an exciting transformation, with a vision to create and extend computing technology to connect and enrich the lives of every person on Earth. So join us-and help us create the next generation of technologies that will shape the future for decades to come.

Corporate Services (CS) touches the lives of every Intel employee every day. CS creates an environment where employees can prosper while creating the innovative technologies that make amazing possible. Our scope is vast and includes operating and maintaining all Intel sites, offices, labs and factories globally as well as onsite services and experiences that help employees stay safe and productive. CS also helps to make Intel and our community a greener place by supporting Intel's commitment to environmental sustainability, including investing in conservation projects, setting company-wide environmental targets and driving reductions in greenhouse emissions, energy use, water use and waste generation.

Intel relies on its community affairs and community engagement programs to enable its License to Operate within its site communities. Student/interns will be part of a small team responsible for building the company's reputation within the local community.

We're seeking an undergraduate intern to support Intel Oregon's community outreach programs.

This will be a virtual internship during Intel's COVID restrictions; expected to be on-site or at community events once Intel's COVID restrictions are removed.

Responsibilities Will Include But Are Not Limited To
Engaging with groups of internal and external stakeholders by leading community engagement programs.
Connecting employees to skills-based and social equity-focused volunteer opportunities.
Promoting the Intel Involved volunteer program through several internal communications channels.
Supporting the Oregon Public Affairs team with other tasks related to neighbor and government relations.

The Successful Candidate Should Exhibit The Following Behavioral Traits
Verbal and written communication skills.
Passion for community building.
Attention to detail.
Interpersonal skills to build relationships with a diverse range of people in a virtual environment.
Visionary and innovation-driven.
Willing to work under tight deadlines and within flexible hours.

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience would be obtained through a combination of prior education level classes, and current level school classes, projects, research, and relevant previous job and/or internship experience.

This position is not eligible for employment-based visa/immigration sponsorship. Intel sponsors individuals for employment-based visas for positions where we experience a shortage of US Workers. These skills shortage roles are typically STEM contributing positions requiring a Master's or Ph.D. degree, or a Bachelor’s degree with three years’ related job experience. This position does not qualify for Intel Sponsorship because it is either (1) a non-STEM contributing position, or (2) a STEM position that only requires a Bachelor’s degree and less than three years’ experience.

Minimum Qualifications
The candidate must be pursuing a Bachelor's degree in Public Relations or Communications or Business or Marketing or Journalism or English.
2+ months of experience on project management.

Preferred Qualifications
Understanding of Corporate Social Responsibility and/or Social Equity concepts.
Intermediate to advanced MS Office skills (Excel, Word, PowerPoint, Teams, Yammer, and SharePoint).
Event planning experience.

Inside this Business Group

As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art -- from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.",https://www.linkedin.com/jobs/view/externalApply/2463056523?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3DJR0162260%26ClientCode%3D11143&urlHash=Ck9I&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=2Tbbalfk37rQquXC%2BupAcw%3D%3D&trk=public_jobs_apply-link-offsite
Community Affairs Intern,Illinois Housing Development Authority,"Chicago, IL","The Community Affairs Department oversees a portfolio of funding programs for community revitalization and housing counseling efforts. The department coordinates with nonprofits and local governments and works with staff across IHDA departments to identify and provide input for the design of program initiatives all directed towards promoting and creating fiscally stable households and communities.

Responsibilities
Assist with the development of a reasonable cost analysis database for the department’s revitalization programs
Assist with the creation of program reporting templates using SAP Crystal Reports
Assist with drafting How to Guides for the review of quarterly progress reports for the department’s revitalization programs
Assist the Program Data Analyst with analyzing programmatic data and records to produce charts, tables, graphs, maps, and
presentations
Review department policies to better understand and participate in the programmatic life cycle of the department’s work
Perform other duties as assigned
Experience

Student in Finance, Urban Studies, Public Administration, or related field with experience in data analysis. Needs a strong ability to prepare and analyze budgets/financial reports. Excellent analytical, technical, written and verbal communications skills. Polished presentation skills. Highly organized, efficient, self-motivated, and detail-oriented. Excellent computer skills, including Word, Excel, and PowerPoint.

EOE",https://www.linkedin.com/jobs/view/externalApply/2250185883?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3Dee890b7a-c9a4-4880-b61b-79abf60f096e%26jobId%3D386831&urlHash=DRG8&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=WfDzItNfj%2Bh3n8huYXN6rw%3D%3D&trk=public_jobs_apply-link-offsite
2021 BSMH Lima Intern Program: Government and Community Affairs Intern,Mercy Health,"Lima, OH","Thank you for considering a career at Mercy Health

The Bon Secours Mercy Health Internship Program is a paid, immersive program that will expose students to the healthcare industry while also giving them the skills and experience needed to build a future career. The program also features additional opportunities for mentorship, networking, career & professional development, community service, job shadowing, and exposure to senior and executive leaders. The Government and Community Affairs Intern will work under the direction of the Director of Government and Community Affairs.

Location

Mercy Health St. Rita’s Medical Center

Dates: Monday, May 18th- Friday, August 7th (Can be flexible here)

Hours: Flexible, 30-40 hours per week

Mission/Core Values: It is expected that all of the duties and responsibilities of this position will be performed in a manner consistent with the Ministry’s Standards of Behavior (CARE; Compassion: seeks to understand, listen and explain; Advocate: is the voice for the vulnerable; Respect: demonstrates the highest regard for and welcomes all people; Excellence: commits to the highest standard of quality care, joyful service, and teamwork) and in a manner that reflects the core values of Mercy Health which are: Stewardship, Human Dignity, Integrity, Compassion, and Service.

Responsibilities
Assist with coordinating community programs that align with our Mission
Support communications efforts around community affairs initiatives
Assist with internal communications with employees
Assist with creative projects that capture the history of our Medical Center’s experience during 2020
Support other outreach offices, such as Foundation and Community Health, as needed
Participate in advocacy initiatives as they arise
Qualifications
Currently pursuing a bachelor’s degree in Communications, English, Marketing, Business, Psychology or related field.
Strong service orientation
Self-starter with strong work ethic and sense of accountability
Proficient in Microsoft Office suite
Strong writer, ability to adjust to various audiences
Creative with some basic design/layout skills
Good communication and interpersonal skills
Proven ability to work effectively in a team environment and have strong rapport with the leaders and colleagues
Ability to work independently
Strong analytical skills
Accountabilities

Professionalism & Integrity
Displays positive attitude and work ethic
Adheres to Mission and Mercy Health’s Core Values
Exhibits professional behavior, integrity and ethical behavior consistently
Represents Mercy Health positively in the community
Accepts personal responsibility
Communication
Delivers communications, both oral and written, that are timely, clear and concise
Applies effective listening skills
Demonstrates ability to adjust communication style of the audience
Technical Skills
Develops understanding of projects and how tasks relate to the “big picture”
Demonstrates ability to research, analyze and conclude on issues
Asks the right questions to garner an appropriate level of understanding
Teamwork
Demonstrates ability to work well with others and builds positive relationships with team members
Represents own interests while working for the good of the team
Focus on Quality & Workload Management
Delivers a high-quality work product ensuring its completeness and organization is logical
Uses effective time management skills to complete project work within specified deadlines
Performs thorough self-reviews of work
Meets assigned deadlines while performing assigned tasks
Keeps supervisor informed on a routine basis as to the status of various projects, particularly when a delay or problem arises
Personal Effectiveness
Takes initiative and is willing to attempt new tasks/responsibilities. Asks questions when unclear of a concept or idea
Requests challenging assignments to ensure continuous learning
Actively solicits feedback on performance
Other Information

If you are interested, please feel free to submit your application.

Application deadline: Friday, April 16th, 2021.

At the conclusion of your application, you will be prompted to complete the Infor Talent Science Assessment. This assessment takes approximately 30-45 minutes to complete and must be completed for your application to be considered.

About Bon Secours Mercy Health

Bon Secours Mercy Health is one of the five largest non-profit, Catholic healthcare systems in the United Sates. We operate across 2 Countries – U.S. and Ireland and across 7 states – Ohio, Kentucky, New York, Maryland, Virginia, South Carolina, and Florida. With 48 hospital and over 1000 sites of care, BSMH brings in over $8 Billion in net operating revenue a year. Driven by a strong mission, we donate nearly $2 Million a day is community benefits!

Mercy Health is an equal opportunity employer.

We’ll Also Reward Your Hard Work With
Comprehensive, affordable medical, dental and vision plans
Prescription drug coverage
Flexible spending accounts
Life insurance w/AD&D
An employer-matched 403(b) for those who qualify.
Paid time off
Educational Assistance
And much more
Scheduled Weekly Hours

0.01

Work Shift

Days

Department

Administration - St. Rita's

All applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, age, genetic information, or protected veteran status, and will not be discriminated against on the basis of disability. If you’d like to view a copy of the affirmative action plan or policy statement for Mercy Health – Youngstown, Ohio or Bon Secours – Franklin, Virginia; Petersburg, Virginia; and Emporia, Virginia, which are Affirmative Action and Equal Opportunity Employer, please email recruitment@mercy.com. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact The Talent Acquisition Team at recruitment@mercy.com",https://www.linkedin.com/jobs/view/externalApply/2493360223?url=https%3A%2F%2Fcareers%2Emercy%2Ecom%2Fjob%2F-%2F-%2F29152%2F6470781072&urlHash=zR46&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=BBUvQtzgY82C9vugvx%2Bfkg%3D%3D&trk=public_jobs_apply-link-offsite
Community Affairs Intern - Spring 2020,Washington Regional Transplant Community (WRTC),"Falls Church, VA","Internship Title: Spring 2020 Community Affairs Intern

Internship Duration: March 16, 2020 -June 15, 2020 (Flexible Start/End Date)

Hours: 15-20 Hours p/ week

Department: Community Affairs

Supervisor: Senior Community Education Specialist

Who We Are

Founded in 1987, Washington Regional Transplant Community (WRTC) is the federally-designated, non-profit organ procurement organization (OPO) serving the 5.5 million people who live in the Washington, D.C. metropolitan area. As one of 58 OPOs nationwide, WRTC works collaboratively with its 44 hospital partners and 6 transplant centers to facilitate the organ, eye and tissue donation process of deceased individuals. As stewards of these life-saving gifts, WRTC bridges the gap between the generous donors and the 120,000 people on the national transplant waiting list. WRTC provides bereavement support for all donor families, as well as ongoing public and professional education to support donation awareness initiatives. The Community Affairs Department works to promote donation awareness in Washington DC, Suburban Maryland and Northern Virginia. Our robust Donate Life Ambassador volunteer program provides additional support in helping to promote donation awareness in our service area.

Position Summary

The primary duty of the Community Affairs Intern is to support the Community Affairs Department and assist in the preparation and organization of community education programs whose purpose is to increase donation awareness in the Washington, D.C. area. Our goal is to increase the number of people who say “Yes” to donation at their local Department of Motor Vehicles/Motor Vehicle Administration, through an online donor registry or by visiting www.BeADonor.org .

The Community Affairs Intern will have limited interaction with Donate Life Ambassadors- donor family members, living donors, transplant recipients, health care professionals and members of the community. This paid internship is a wonderful opportunity for someone who wishes to learn the basics of event planning, community outreach and program support. Learning objectives will be achieved through training, observation and hands-on work in both an office and community environment.

Qualifications And Skills
Must be extremely detail-oriented and organized
Possess strong interpersonal and communication skills
Able to manage multiple time sensitive tasks at once
Must be reliable, motivated & a self-starter
Proficient in Microsoft Office Suite
Able to work a flexible schedule of 15-20 hours per week with occasional weekend opportunities


Job Responsibilities
Help with items, events and projects associated with Donate Life Month (April)
Support the Public Affairs and Community Education (PACE) Team with upcoming community events
Assist Donor Family Advocates (DFA’s) with the planning and preparation of upcoming events
Engage in community outreach activities to promote the organization’s mission and vision
Work closely with PACE Team to plan, coordinate and staff events with staff members and Donate Life Ambassadors as needed
Meet regularly with PACE Team to identify new community education activities and materials needed for each event
Maintain, organize and restock Donate Life merchandise/giveaway area
Order additional Donate Life merchandise as needed
Help organize, coordinate and ship materials for community education events
Other duties as assigned

For more information about Washington Regional Transplant Community please visit: www.BeADonor.org",https://www.linkedin.com/jobs/view/externalApply/2414845096?url=http%3A%2F%2Fwww%2Ebeadonor%2Eorg%2Fabout-us%2Femployment-opportunities%3Fgnk%3Djob%26gni%3D8a78839e700909e301701616b1a32670%26gns%3DLinkedIn%252BLimited&urlHash=HmRO&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=OjojvPU5Q8eH0eYLSYmevQ%3D%3D&trk=public_jobs_apply-link-offsite
Community Affairs Intern- Summer 2021,Regions Bank,"Nashville, TN","Thank you for your interest in a career at Regions. At Regions, we believe associates deserve more than just a job. We believe in offering performance-driven individuals a place where they can build a career --- a place to expect more opportunities. If you are focused on results, dedicated to quality, strength and integrity, and possess the drive to succeed, then we are your employer of choice.

Regions is dedicated to taking appropriate steps to safeguard and protect private and personally identifiable information you submit. The information that you submit will be collected and reviewed by associates, consultants, and vendors of Regions in order to evaluate your qualifications and experience for job opportunities and will not be used for marketing purposes, sold, or shared outside of Regions unless required by law. Such information will be stored for a set period of time. You may review, modify, or update your information by visiting and logging into the careers section of the system.

Job Description

At Regions, the Intern works on department assignments while learning more about the financial services industry. As an intern, you will be provided with job skills and training, personal development, and networking opportunities, while experiences Regions values. Regions offers college internship opportunities within various departments.

Primary Responsibilities
Receives exposure to all basic functions of assigned group within the financial industry
Exposed to a wide range of tasks including research, administrative and correspondence work and attend meetings
Provides assistance in projects
Gains valuable insight within a variety of functions while strengthening core skills and knowledge needed to launch a successful career
Responsibilities will vary by internship
This position requires the tracking of time and is eligible for overtime hours worked in excess of 40 per week under the Fair Labor Standards Act.

Requirements
A college student who has interest in developing technical skills and gaining work experience
Ability to work 40 hours a week for 10 weeks

Skills And Competencies
Active in leadership posting on campus and/or involved in campus extracurricular activities
Critical thinking skills
Intellectually curious
Microsoft Office skills
Strong communication and interpersonal skills
Team oriented with ability to work independently

Community engagement plays a critical role in how Regions fulfill its mission of making life better by creating shared value for our customers, associates and the communities where we live and work. The Community Affairs Intern will have the opportunity to learn how Regions brings this to life by working with different teams in the Community Affairs department. The intern will gain experience and insights on the joys and challenges of addressing community needs, partnering with nonprofit and community-based organizations, understanding bank regulations, and prioritizing philanthropic and community investments.

This position requires the tracking of time and is eligible for overtime under the non-exempt FLSA classification for hours worked in excess of 40 per week.

Requirements
A college student in junior or senior standing in an accredited academic institution
Minimum of 3.0 GPA
Ability to work 40 hours a week for 10 weeks
High level of enthusiasm and passion for helping people and making a difference in the community
Experience in researching new concepts and presenting findings
Experience using Microsoft Excel to track and analyze data
Organized and has consistently met deadlines for past projects
Comfortable with meeting new people and enjoys learning new ideas
Strong critical thinking and problem-solving skills and ability to work independently

Preferred

Experience working with nonprofit organizations

Position Type
Full time

Location Details
Regions Center - Birmingham

Location:
Birmingham, Alabama

Bring Your Whole Self to Work

We have a passion for creating an inclusive environment that promotes and values diversity of race, color, national origin, religion, age, sexual orientation, gender identity, disability, veteran status, genetic information, sex, pregnancy, and many other primary and secondary dimensions that make each of us unique as individuals and provide valuable perspective that makes us a better company and employer. More importantly, we recognize that creating a workplace where everyone, regardless of background, can do their best work is the right thing to do.

OFCCP Disclosure: Equal Opportunity Employer/Disabled/Veterans",https://www.linkedin.com/jobs/view/externalApply/2456609040?url=https%3A%2F%2Fcareers%2Eregions%2Ecom%2Fus%2Fen%2Fjob%2FRFCOUSR46119ENUSEXTERNAL%2FCommunity-Affairs-Intern-Summer-2021%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26source%3DAPPLICANT_SOURCE-3-35&urlHash=5T0E&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=4%2BlgIoHOb1AFJPJCvKGMJw%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2456609040?url=https%3A%2F%2Fcareers%2Eregions%2Ecom%2Fus%2Fen%2Fjob%2FRFCOUSR46119ENUSEXTERNAL%2FCommunity-Affairs-Intern-Summer-2021%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26source%3DAPPLICANT_SOURCE-3-35&urlHash=5T0E&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=4%2BlgIoHOb1AFJPJCvKGMJw%3D%3D&trk=public_jobs_apply-link-offsite
Volunteer: Executive Intern - Outreach,VolunteerMatch,"Chicago, IL","AWOFINC is a community initiative that is designed to meet the needs of families who do not have the resources that are to attain the supplemental educational services that are needed to enhance the possibility of success for their children. For over two decades AWOFINC has addressed the critical educational, financial, and social needs of the families in Illinois.
Community Outreach Intern is a person who wants to improve his or her community. The Intern lives in the community where he or she will help the residents. Their responsibilities include the overseeing of Community Resources and all kinds of activities. The Intern gets involved with community affairs and helps residents who are in need. Being a community outreach worker gives the Intern the opportunity to reach out to the grassroots level of people and make a difference in their lives. The residents interact with each other and socialize with the Intern. Educational programs are organized for the benefit of the residents.

The Intern has the power to influence choices and behavior in the community. Relationships are developed through one-on-one interaction. It is important for the Intern to be able to plan, develop, implement, and evaluate community programs. With the many fields that an Outreach Intern can engage in, it is the Community & Faith-Based nonprofit organizations, and local businesses, schools and political offices including health departments that are most well known. In this kind of work, flexible work hours are needed and hard work is required of the community outreach worker.

Since the Intern adapts to the lifestyle of the community that is served, the candidate needs to be open-minded about other people’s way of life. Depending on the duration that the Intern needs to spend in a certain community, the candidate has to be prepared physically and emotionally in dealing with a new group of people. It is important for the community members to trust the Intern. With trust as the foundation, the community members can open up about their need for programs that can improve their lives.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.",https://www.linkedin.com/jobs/view/externalApply/2410574876?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp2851479%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=HpPj&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=3R1uJxQJ395oNuJhW0nRiQ%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2410574876?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp2851479%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=HpPj&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=3R1uJxQJ395oNuJhW0nRiQ%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2410574876?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp2851479%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=HpPj&refId=8e59aacb-24da-41b4-8cc5-f504e2ea3727&trackingId=3R1uJxQJ395oNuJhW0nRiQ%3D%3D&trk=public_jobs_apply-link-offsite
