title,company,location,requirements,link
Data Analysis Intern,Raytheon Missiles & Defense,"Tewksbury, MA","This position is for an intern who will be entering their junior year or above by the start of summer 2021

About Us

At Raytheon Missiles & Defense, fresh thinking and possibilities are forged in times of change and you will be on the front lines as we trailblaze new approaches, push the boundaries of innovation and chart a course to a tomorrow you can be proud to have a hand in creating.

Job Summary

As part of the metrics group within Engineering Excellence (EnX) the selected candidate will perform statistical analysis and provide support to the larger team. The candidate will identify opportunities for process improvement and complete a summer intern project related to this assignment.

Responsibilities To Anticipate
Data collection and analysis for manpower and program forecasting
Generate space and facilities requirements for the Department
Review cost proposals originating within the Department
Input data into an Engineering Labor Forecasting System.
Assure compliance with all current financial and administrative policies and charging guidelines and takes corrective action where necessary

Qualifications

This position can be a salary grade SA03, SA04, or SA05 based on the candidate's qualifications and standing as outlined below
SA03 (Junior Administrative Intern)- must have completed 60 credit hours of college by start of internship
SA04 (Senior Administrative Intern)- must have completed 90 credit hours of college by start of internship
SA05 (Post-Graduate Administrative Intern)- must have an undergraduate degree and be enrolled in a graduate degree program (in degree fields listed in Qualifications You Must Have) by start of internship

Qualifications You Must Have
Must be a junior or above by the start of summer 2021
Must be pursuing a degree in Business Administration, Management, Finance, Accounting, Economics or a related field
The ability to obtain and maintain a US security clearance. U.S. citizenship is required as only U.S. citizens are eligible for a security clearance.

Qualifications We Value
Experience with Microsoft Office-Word, Excel, and PowerPoint
Database management experience (Access)
Microframe Project Manager (MPM) experience
Excellent interpersonal and communication skills, strong reasoning skills, demonstrated initiative and leadership ability
3.0 cumulative GPA desired
Demonstrated ability to work effectively with coworkers from diverse communities and cultures
Demonstrated ability to work with colleagues who represent a diversity of work and conflict resolution styles

What We Offer

Whether you’re just starting out on your career journey or are an experienced professional, we offer a robust total rewards package that goes above and beyond with compensation; wellness, retirement and work/life benefits; career development and recognition programs. Some of the superior benefits we offer include flexible work schedules and achievement awards.

Additional Details

Please upload a copy of your most recent transcripts with your resume when applying to this requisition. Include your cumulative GPA and projected graduation date on your resume.

Clearance Information: This position requires the eligibility to obtain a security clearance. Non-US citizens may not be eligible to obtain a security clearance. The Defense Industrial Security Clearance Office (DISCO), an agency of the Department of Defense, handles and adjudicates the security clearance process. More information about Security Clearances can be found on the US Department of State government website here: https://www.state.gov/m/ds/clearances/c10978.htm

Location Information: This position is located in Massachusetts. Living in Massachusetts means you’ll have easy access to the ocean and locations of historical significance. You can enjoy varied outdoor activities ranging from hiking and camping to skiing and snowmobiling. Massachusetts is recognized as one of the best states to call “home.”177553

Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",https://www.linkedin.com/jobs/view/externalApply/2478311404?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F445821813%3B263654212%3Bc%3Fhttps%3A%2F%2Fjobs%2Ertx%2Ecom%2Fjob%2F-%2F-%2F4679%2F6437853520%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Denterprise%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=_a6H&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=OG%2BAidnBDyjttTdPU3U7xQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Analyst Intern (Summer 2021),Zscaler,"San Jose, CA","Description

Position: Data Analyst Intern

Location: San Jose, CA

For over 10 years, Zscaler has been disrupting and transforming the security industry. Our 100% purpose built cloud platform delivers the entire gateway security stack as a service through 150 global data centers to securely connect users to their applications, regardless of device, location, or network in over 185 countries protecting over 3,500 companies and 100 Million threats detected a day.

We work in a fast paced, dynamic and make it happen culture. Our people are some of the brightest and passionate in the industry that thrive on being the first to solve problems. We are always looking to hire highly passionate, collaborative and humble people that want to make a difference.

About The Team
The logging and analytics team is responsible for collecting, curating and reporting on telemetry and log data from Zscaler’s enforcement nodes distributed across the globe. The platform built by the team records and enables analysis of about 150 billion log events and about a trillion metric data points per day.

Responsibilities
Understand Zscaler's various data sources and be able to correlate and curate data for broad consumption by executives and other functions
Interact with several teams within Zscaler like Sales, Marketing, Security Research and Cloud Operations to help them derive insights from raw data
Build models to forecast demand and recommend expansion/re-deployment of cloud resources
Mine aggregate log data and spot interesting trends worthy of blogs and further investigation by specialists
Develop models to detect anomalies from log data

Requirements
Must be currently pursuing a Bachelor's or Master's Degree in Math/Statistics/Computer Science or equivalent for the duration of the internship
Strong SQL and scripting skills
Good understanding of statistical methods and modeling

Desirable
Experience with big data tools like Hadoop and with BI tools such as Tableau
Familiarity with R

What You Can Expect From Us
An environment where you will be working on cutting edge technologies and architectures
A fun, passionate and collaborative workplace
The pace and excitement of working for a Silicon Valley Unicorn
Why Zscaler?

People who excel at Zscaler are smart, motivated and share our values. Ask yourself: Do you want to team with the best talent in the industry? Do you want to work on disruptive technology? Do you thrive in a fluid work environment? Do you appreciate a company culture that enables individual and group success and celebrates achievement? If you said yes, we’d love to talk to you about joining our award-winning team.

Learn more at zscaler.com or follow us on Twitter @zscaler. Additional information about Zscaler (NASDAQ : ZS ) is available at http://www.zscaler.com. All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.",https://www.linkedin.com/jobs/view/externalApply/2477291834?url=http%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fzscaler%2Fjob%2FohVsefwC%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=YRAU&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=CebaC9QAVk435idW6JR%2Flg%3D%3D&trk=public_jobs_apply-link-offsite
2021 Intern - Data Analyst,Adobe,"California, United States","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Cloud Tech SLC Operations team is looking for a data analyst intern who is passionate about data science, result-oriented, and can work independently in a fast-paced environment.

What You Will Need To Do
Define, measure and track key metrics to guide execution across multiple teams in the org
Build dashboards and reports for teams and business leaders and stakeholders to promote transparency and enable smart decisions
Build qualitative and quantitative models to deepen understanding of platform operational performance, and predict potential delivery risks

What You’ll Need To Succeed
Pursuing BS or MS in Information Systems, Data or relevant major
Technical knowledge in data modeling, system and data base design development, and data mining techniques
Proficient in writing SQL queries on SQL Server, MySQL , Oracle.
Experience working on Business Intelligence tools: Power BI is desired.
Strong analytical and problem resolution skills, incl. the ability to research and simplify complex situations.
Ambitious, strong work ethics and able to work independently with minimal supervision.
Excellent communicator, both verbal and written",https://www.linkedin.com/jobs/view/externalApply/2477291834?url=http%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fzscaler%2Fjob%2FohVsefwC%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=YRAU&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=CebaC9QAVk435idW6JR%2Flg%3D%3D&trk=public_jobs_apply-link-offsite
Analytics Intern,Allen & Gerritsen,"Boston, MA","We are looking for an Analytics intern to partner with our team across a multitude of client and internal projects, spanning from research through to data-driven analysis. We are passionate about storytelling with data and hope to work with like-minded people. Given today’s pace of change in marketing analytics, we hope to find someone with a self-starting, proactive mindset who is also a curious thinker. A desire to collaborate and bring new ideas to life is also a huge plus.

As our Analytics intern, you will be exposed to our approach to business strategy and marketing analytics across industry verticals. By working on various projects, you will learn of the diversity of measurement challenges and solutions deployed in order to answer our clients’ key questions. In addition, the role will provide exposure to the inner workings of how advertising campaigns are tracked, how data is collected, and how insights can be derived.

Our summer internship program is a unique experience that offers you hands-on client experience as well as exposure to agency life and culture. You provide enthusiasm and creativity and we’ll provide mentorship and opportunities to contribute. We are looking for students who have are savvy, have a passion for brands and have an insatiable curiosity about popular culture. We want you to think big, solve business problems and be self-motivated. You should have uncompromising attention to detail and the ability to meet tight deadlines.

This is a paid internship with flexible start and end dates.

Responsibilities:

Identify business and performance trends for our client roster
Research and create POVs related to analytics best practices (measurement methodologies; emerging platforms; cutting-edge tools)
Assist in reporting and analysis for both internal and client projects, including data strategy and organization
Support quality assurance efforts across digital campaign efforts for various tracking elements
Provide weekly updates to team members regarding relevant articles and research papers while aggregating and building upon stored knowledge for the team
Requirements:

Current College Junior or Senior standing
In addition to your resume, please submit any examples of your work that you feel reflect your work ethic or past experiences; if you would prefer to submit the description of a project please also provide your role and the outcome based on your contributions.
Familiarity with social media listening tools and web analytics tools
Positive attitude and a good sense of humor, outgoing and friendly personality
Comfortable exploring data sets on different platforms
Passion to uncover new insights
Must be able to solve problems, follow instructions and generate ideas
Demonstrate initiative and innovation in problem-solving and task management
Strong interpersonal skills and communication skills (verbal and written)
Ability to manage time appropriately - On time for work, meetings, and deadlines. Demonstrate 3:1 thinking. For every one challenge, present three creative solutions.
Assume other agency responsibilities as directed by Supervisor
Tell us a little more. If you’d like to apply, please provide answers to the following questions in your cover letter:

How did you hear about this opportunity?
What do you hope to gain from this internship?
Why should we choose you?
Allen & Gerritsen (A&G) is a fiercely independent agency in the cities where independence was born, Boston & Philadelphia. Innovation & culture drive its success. Allen & Gerritsen is committed to creating a diverse and inclusive environment and is proud to be an equal opportunity employer.

Powered by JazzHR

5MsjbTWbms",https://www.linkedin.com/jobs/view/externalApply/2477291834?url=http%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fzscaler%2Fjob%2FohVsefwC%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=YRAU&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=CebaC9QAVk435idW6JR%2Flg%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern - Private Data Sharing & Analysis,Microsoft,"Redmond, WA","Virtual Internship

Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship.

Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

Special Projects at Microsoft Research is offering a research internship with a focus on building technologies that enable end-users to view, explore, and analyse secure data sets while preserving the privacy of data subjects. This intern will join a multidisciplinary team of researchers and engineers in the fields of privacy, cryptography, statistics, and HCI, with the potential to collaborate with internal and external partners in the humanitarian assistance and healthcare domains.

Responsibilities

Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.

Qualifications

In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.

Required Qualifications
Must be currently enrolled in a research master’s degree program or PhD program in Computer Science, Mathematics, Applied Mathematics, Statistics, or a related STEM field
Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship

Preferred Qualifications
Expertise in research in computer science, mathematics, statistics, or a related field
Expertise in the design and development of visual analytics interfaces
Expertise in privacy-preserving or federated analytics/machine learning
Expertise in causal discovery, casual inference, and evidence-based decision-making
Excellent research collaboration skills
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/externalApply/2465778172?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F989454%2FResearch-Intern-Private-Data-Sharing-Analysis%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=QLr8&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=nNBqQaFnMlXes3Wm2xXsZA%3D%3D&trk=public_jobs_apply-link-offsite
Data Analyst - Intern,Lockheed Martin,"Trumbull, CT","Description:The Material Planning & Forecasting organization is seeking an intern to support the Sikorsky Aftermarket line of business. Candidate must have the technical and customer relationship skills required to understand and propose products or solutions by focusing on customer's needs and requirements. Looking for a performance driven individual with an interest in turning data into actionable business intelligence used to empower decision makers.

This position will support members of our team working with the different internal groups such as Program Management, Finance, Operations, Inventory Management, and Supply Chain in order to develop & execute material planning strategy for the aftermarket business.

Basic Qualifications

Strong interpersonal / communication Skills
Strong technical / analytical skills
Interest in supply chain business flows

Job.Qualifications

BASIC QUALIFICATIONS:

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.

Experience Level

Co-op/Summer Intern",https://www.linkedin.com/jobs/view/externalApply/2482398409?url=https%3A%2F%2Fwww%2Elockheedmartinjobs%2Ecom%2Fjob%2F-%2F-%2F694%2F19097528&urlHash=i480&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=KP7OlNW8gbJFQbDhFvDp%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Analyst Intern (Summer 2021),Zynga,"Austin, TX","Description

Position at Zynga

Please note, this role will be virtual for Summer 2021. All interested candidates are encouraged to apply!**

Zynga is a leading developer of the world’s most popular social games that are played by millions of people around the world each day. To-date, more than 1 billion people have played our games across Web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, Hit it Rich! Slots and CSR.

Zynga’s data science and analytics team uses our unique and expansive data to model and predict user behavior, making our games more personalized and more fun to play! We strive for a better understanding of our players which translates into challenges and features that delight them and increased social engagement within our games.

Zynga internships combine learning with impact. During your [10] weeks at Zynga, you will discover what it takes to build and sustain world class games and will culminate in a capstone project that makes a real impact.

Responsibilities
Work with large amounts of data to find opportunities to improve the experience that Zynga provides to its players
Execute projects on the data science and analytics roadmap, balancing actionable insights to substantially improve core game metrics.
Apply and evaluate novel scalable approaches to experimentation; Drive and empower game studio to make quantitatively informed, evidence based decisions
Potentially, work closely with game team to implement and/or maintain machine learning models with Zynga’s games that impact millions of users. Machine learning models may include but not limited to churn prediction models, clustering, forecasting, LTV models, and / or reinforcement learning models.
Required Skills and Experience:
BS in Computer Science, Math, Statistics, Economics, or other quantitative field; Masters, MBA or PhD preferred
Able to write effective SQL queries; Strong programming fundamentals in Python, Java or R
Demonstrated experience with some or all of the following: statistics, experimental design, machine learning, data mining, predictive modeling, deep learning. Experience with SciPy, Scikit-Learn, Spark MLlib, TensorFlow, Keras, and / or PyTorch is a plus.
Strong written and oral communication skills
Ability to work effectively in a fast-paced environment with changing priorities
Ability to collaborate effectively with engineers, product managers, analysts, and marketing to deliver unambiguous business impact
Experience in analyzing large datasets, preferably in a Hadoop or Spark environment is a plus.
Zynga is an equal opportunity employer. We are proud of our diverse community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome candidates, players, employees, and partners from all backgrounds. Join us!

Zynga will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law.",https://www.linkedin.com/jobs/view/externalApply/2325014040?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fzynga%2Fjob%2Foi3vdfwN%3Fs%3DLinkedIn%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=eeY_&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=jiRW5sf9hu6bWbpudKITJQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Analyst Intern,Redfin,"Seattle, WA","Redfin is redefining real estate in the consumer’s favor by combining our own technology and agents to create a service that’s better, faster, and costs less. As a Redfinnian, you'll make a difference in one of life’s most important events—buying or selling a home. Our hiring standards are high, yet our culture is humble. We’ve got all the perks, but if what you value most is doing great work in a creative, collaborative, and disciplined environment, join us.

As a Data Analyst Intern, you’ll use some of the most robust real estate search and customer activity data in the world to build tools and answer questions that drive key business decisions across the entire company. You’ll help us turn the vagaries of human behavior into clear, specific, and thoroughly vetted recommendations for action. Redfin’s business model is unusual in its breadth, so even simple questions will require complex logic to find an answer. You’ll have the opportunity to wrangle that complexity into clear and direct metrics, reporting, and recommendations. You’ll work on data sets ranging from thousands to hundreds of millions of records using modern tools, and develop the skills necessary for extracting meaningful human information from them. You’ll learn how to communicate analytical insights to business stakeholders effectively, as even the most insightful analysis is useless if it isn’t understood by others.

The Role

Partner with Product, Engineering, and Real Estate Operations to analyze the health of our business, identifying and explaining sources of weakness and strength.
Apply the fundamentals of data visualization to build reports that are beautiful, clear, and compelling.
Perform targeted analyses, diving deep to answer broad questions about specific aspects of the business.
Craft and deliver presentations to stakeholders in other departments which go beyond simple reporting to provide recommendations about what the company should do in response to the facts.

Who You Are

Pursuing a Bachelor’s, Master’s, or Doctorate degree in Mathematics, Statistics, Operations Research, Business Analytics, an experimental science, or a related field.
Completed coursework or other experience using SQL to aggregate data for visualization and insights.
Completed coursework or other experience with one or more of the following in a data analytics context is a plus: Tableau, PowerBI, Excel, R, Python, Postgres, Amazon Redshift.
Having excellent communication and interpersonal skills.
Possessing a curiosity that doesn’t stop at the “What?” but hungers for the “Why?” and “What if?”

What We Offer

A fully paid internship with competitive compensation.
Close mentorship by a senior analyst who will be available for both formal and informal meetings and discussions.
The opportunity to work start to finish on a meaningful analytics project, from deciding on initial data exploration approaches to writing up specific recommendations and presenting them to stakeholders.
Intern-specific company-wide events and other support to ensure a positive learning experience.

We’re excited to get to know you and hope you’re ready to give this opportunity everything you’ve got!

Redfin is an equal opportunity employer committed to hiring a diverse workforce.",https://www.linkedin.com/jobs/view/externalApply/2464595027?url=https%3A%2F%2Fredfin%2Ewd1%2Emyworkdayjobs%2Ecom%2Fredfin_careers%2Fjob%2FRemote-Work-Location%2FData-Analyst_37900%2Fapply%3Fsource%3DAPPLICANT_SOURCE-3-74&urlHash=Zy8g&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=jCBrRz08c7HIp7OXxXuMvw%3D%3D&trk=public_jobs_apply-link-offsite
Data Analyst Intern,Barry-Wehmiller,Greater St. Louis,"About Us:
Barry-Wehmiller is a diversified global supplier of engineering consulting and manufacturing technology for the packaging, corrugating, sheeting and paper-converting industries. By blending people-centric leadership with disciplined operational strategies and purpose-driven growth, Barry-Wehmiller has become a $3 billion organization with nearly 12,000 team members united by a common belief: to use the power of business to build a better world.

Job Description:
The Data Analyst Intern translates data into meaningful and actionable insights for business partners. Analysis performed will directly impact and influence strategic decision making across our organization. The person selected will use reports from disparate data sources to spot meaningful trends and patterns. Findings may be communicated through dashboards, graphs, charts etc. This position works closely with business teams and reporting partners in support of business decision support and product management.

Responsibilities include:
Assist in building and automating ETL pipelines that support advanced analytics projects
Assist in developing statistical analyses and machine learning models whose results are accessible and valuable to leadership
Communicate findings to business stakeholders in a concise and understandable fashion
Work with the business to identify metrics to be tracked, including key performance indicators, client segments, etc.
Prioritize, scope, and manage projects
Assist in translating business stakeholder requirements into deliverables that can be automated
Develop trusted partnerships with business leaders based on collaboration and knowledge of business
Constantly learning and looking for opportunities to improve existing data practices
Prepare data and reports to identify trends/insights that will influence business decisions across various functional areas

Requirements and Qualifications:
Capable of working with Microsoft applications, including Excel and Power Query
Working familiarity with data visualization software (e.g. Tableau, Power BI)
Intermediate Python or R skills preferred, however any data-focused programming experience is welcome
Fundamental understanding of relational databases
Understanding and ability to conduct data extraction from a variety of sources
Interest in improving processes and creating efficiencies
Demonstrates curiosity about what drives business trends and customer behaviors
Must be comfortable with constantly evolving environment and rapidly changing priorities
Must be Business-Centric, Data-Oriented, Analytically Minded and Results Driven
Understanding of standard product metrics such as conversion rates, response rates, ROI, etc.
Attention to detail and accuracy
Solid critical thinking skills to scope and frame problems
Displays excellent judgment to understand and support business needs
Must be able to effectively plan and manage responsibilities
Effective communication skills to manage expectations and challenges
Effective interpersonal and relationship building skills to effectively work with teammates and business partners
Ability to develop datasets to support advanced analytics and reporting

 At Barry-Wehmiller we recognize that people come with a wealth of experience and talent beyond just the technical requirements of a job. If your experience is close to what you see listed here, please still consider applying. We know that our differences often can bring about innovation, excellence and meaningful work—therefore, people from all backgrounds are encouraged to apply to our positions. Please let us know if you require reasonable accommodations during the interview process.

Barry-Wehmiller is an equal opportunity employer. M/F/D/V This organization uses E-Verify.
 Applicants may be subject to pre-employment screening which may include drug screening, reference checks, employment verifications, background screening and/or skills assessments.",https://www.linkedin.com/jobs/view/externalApply/2479077505?url=https%3A%2F%2Fbarrywehmiller%2Ewd1%2Emyworkdayjobs%2Ecom%2FBWCareers%2Fjob%2FSt-Louis-MO%2FData-Analyst-Intern--Corporate-_R006275%3Fsource%3DLinkedin&urlHash=5FfF&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=NNDbgsOhy3Cnt%2FcOHN0LPw%3D%3D&trk=public_jobs_apply-link-offsite
Data Analyst Summer Intern 2021,Entegris,"Burnet, TX","Why work at Entegris?

Lead. Inspire. Innovate. Define Your Future.

Not everyone who works for a global company shares the same background, experiences and perspectives. We leverage the differences of our employees to bring new ideas to the table. Every employee throughout the company is encouraged to share input on projects and initiatives. Our decision making process is truly a collaborative effort as we realize there are leaders at every level of the organization. We put our values at the core of how we operate as an organization — not just when it’s convenient, but in a lasting and meaningful way. We want the time and energy you spend here to have a positive impact on your life inside and outside of the office.

Entegris is a values-driven culture and our employees rally around our core PACE values:

P eople
A ccountability

C reativity
E xcellence

The Role

We are excited to bring eager, talented students on board and provide them with an unparalleled internship experience. The Entegris Internship Program consists of real work experience, cross-functional learning and development opportunities, and a variety of social and volunteering events.

We are seeking an enthusiastic, driven individual interested in data analysis to assist the Materials team to reach the next level. The ideal candidate will have an eye for continuous improvement opportunities and a knack for influencing others toward a course of action. You will thrive in a fast-paced, team-oriented environment bringing together analysis, technology and business objectives to ensure that all the data collected is used to achieve desired results for Entegris. This role is critical to ensuring the continuous improvement of our supply chain by building data driven tools to visually manage critical business processes. The ideal candidate will be part of a dynamic team environment where bright minds come together to collaborate, design and lead the charge to delight our customers.

In this role you will
Process development through finite projects
Metric and data analysis improvement through finite projects
General junior level planning / inventory control day to day tasks
Creation of visual dashboards and reports in Excel and Power BI to manage business processes

Traits we believe make a strong candidate
Data mining / analytics experience
Experience with big data analysis software tools (Excel, Power BI, JMP, Tableau, Access)
Exposure to programming language and relational databases (Visual Basic, Python)
Exposure of supply chain management / industrial engineering concepts (inventory control, planning/scheduling, ERP basics of supply vs. demand, purchasing), capacity management. Operational excellence / lean six sigma)
Strong attention to detail
Effective communication skills – ability to collaborate effectively and work as part of a team
Creativity - ability to experiment, remain flexible and solve problems with a new, fresh perspective.
Must be enrolled in an undergraduate program with a graduation date of December 2021 or later
Desired Major: Bachelor’s Degree in Computer Engineering / Industrial Engineering / Supply Chain Management

What We Offer

At Entegris we are committed to providing equal opportunity to all employees and applicants. Our policy is to recruit, hire, train, and reward employees for their individual abilities, achievements and experience without regard to race, color, religion, sexual orientation, age, national origin, disability, marital or military status.",https://www.linkedin.com/jobs/view/externalApply/2469484064?url=https%3A%2F%2Fcareers-entegris%2Eicims%2Ecom%2Fjobs%2F8824%2Fdata-analyst-summer-intern-2021%2Fjob%3Fhub%3D14%26in_iframe%3D1%26mode%3Djob%26iis%3DJobBoard%26iisn%3DLinkedIn&urlHash=HOLx&refId=5d6d7653-6cbe-436c-baaa-4b6f3c4d8463&trackingId=eK1hqNDCL39OPo2UI%2FGxQA%3D%3D&trk=public_jobs_apply-link-offsite
