title,company,location,requirements,link
Healthcare Summer Intern,Zeno Group,"New York, NY","Healthcare summer interns will have the opportunity to work on a variety of projects and Healthcare clients.

In order to be considered, you must submit the following with your application:

A resume of any relevant work, education and extra-curricular experiences AND a completed Zeno Group Healthcare Intern Writing Assessment.pdf

save completed assessment as First Name_Last Name_Healthcare and email to interns@zenogroup.com

DISCLAIMER: If you have trouble opening the assessment please right-click and select open in a new tab.

Incomplete applications will not be considered

About The Job
Responsibilities include but are not limited to the following:
Work closely with account team members to develop and deliver key client deliverables, learning the basics of the clients’ business
Manage the day-to-day admin activities for 1-3 accounts
Monitoring client and competitor media coverage and drafting coverage recaps for the team
Draft media materials, including but not limited to press releases, fact sheets, briefing sheets and pitches
Conduct research to aid in the strategy development process for current clients and new business pitches
Participate in brainstorm sessions and program ideation
Create and distribute mailers, press kits, and briefing kits

About You
The ideal candidate will have an understanding of the ever-changing healthcare realm and will be connected to the pulse of these changes.
Passion for and understanding of public relations and media landscape as it relates to Healthcare
Excellent written, verbal communication, and interpersonal skills
Strong organizational skills
Collaborative spirit, results driven with the ability to manage multiple priorities and work against deadlines
Must be pro-active and able to operate effectively both independently and within a team
Basic understanding of social media platforms
MS Office proficiency is a must
Familiar with the public relations, marketing, or communications discipline through past coursework, internships, or personal experiences

About Us

Zeno Group is a fiercely independent and global integrated communications agency, born from PR. We bring together the boldest and brightest talent to help clients across industries and sectors unleash the power of strategic communications. Guided by our ‘Fearless Pursuit of the Unexpected,’ we push the boundaries to achieve real business value and societal impact for clients.

Zeno Group is a place where careers are built and lives are lived. We cultivate our fearless culture to ensure greater diversity, equity and inclusion across the entire agency and the industry. Zeno is for everyone. Winner of our industry’s most coveted awards including the 2021 PRWeek Agency of the Year and a two-time winner of PRWeek’s Best Places to Work, Zeno has been previously named Creative Agency of the Year by PRovoke and recognized twice by the Cannes Lions International Festival of Creativity. Zeno is a DJE Holdings Company.

About Our Benefits

Zeno Group offers a creative and differentiating benefits package including a variety of medical and dental choices, vacation, and sick time. We also offer a 401(k) plan, pretax flexible spending accounts, tuition assistance, a prescription drug benefit plan, a vision plan, long-term and short-term disability, life insurance and programs that support flexibility and promote work/life balance. In addition, our unique ZenoFit wellness program offers financial support to pursue the wellness activity of your choice.",https://www.linkedin.com/jobs/view/externalApply/2446347838?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fzenogroup%2F473965ea-d019-4bbd-9350-1fa1bf5369f9%3Flever-source%3DLinkedInJobs&urlHash=DagO&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=ot6X5YbhSGEDtoNPnuURnw%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern - Natural Language Processing,Microsoft,"Redmond, WA","Virtual Internship

Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship.

Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

Microsoft Research - Redmond seeks an outstanding intern in the area of developing new natural language processing models.

Responsibilities

Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.

Qualifications

In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.

Required Qualifications
Must be currently enrolled in a PhD program in Computer Science or a related STEM field.
Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship

Preferred Qualifications
Ability to develop original research agendas.
Knowledge of natural language processing.
Strong coding skills in Python and deep learning platforms.
Ability to collaborate effectively with other researchers and product development teams.
Excellent interpersonal skills, cross-group, and cross-culture collaboration.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/externalApply/2486218003?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F943261%2FResearch-Intern-Natural-Language-Processing%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=dd_3&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=1kKHtO3rCWkD2CgBkdy8NA%3D%3D&trk=public_jobs_apply-link-offsite
Healthcare Cost Intern (Summer 2021),"Anthem, Inc.","Atlanta, GA","Description

SHIFT: Day Job

SCHEDULE: Full-time

Your Talent. Our Vision. At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care.

This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health care companies and a Fortune Top 50 Company.

Provides support to the members of the Cost of Care Team within GA Commercial. Under the direction of HealthCare Cost Outcomes Director assists with other employees throughout the enterprise on cost of care activities related to the local health plan. Completes assignments related to data extraction, manipulation and tabulation of results. Assists with data analysis to support active projects within Cost of Care Team. Help with meetings and provide project support through recording action items/takeaways

Qualifications
You must be currently enrolled in an accredited college or university with a preferred August/December 2021 / spring 2022 graduation date. Rising Juniors and Seniors
Currently enrolled in a one of the following degree programs: Finance, Information Systems, Computer Science, Business Majors, Project Management, and Healthcare Management
Have an overall cumulative GPA of 3.0 or higher.
Be motivated and willing to learn with strong communication, organizational, and leadership skills.
Skilled at working collaboratively, developing creative solutions, and accomplishing team goals.


We provide benefits to intern and Co-Op students that include 401(k) + Match and access to Anthem’s associate resource groups. Additionally, students receive work related experience, opportunities to grow their professional network, learn new & practical skills, explore a wide range of career paths, mentoring, and the potential to secure a fulltime job following graduation.

Anthem, Inc. is ranked as one of America’s Most Admired Companies among health insurers by Fortune magazine and has been named a 2019 Best Employers for Diversity by Forbes. To learn more about our company and apply, please visit us at careers.antheminc.com. An Equal Opportunity Employer/Disability/Veteran. Anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all Anthem positions.",https://www.linkedin.com/jobs/view/externalApply/2467364897?url=https%3A%2F%2Fanthemcareers%2Ettcportals%2Ecom%2Fjobs%2F6462521-healthcare-cost-intern-summer-2021%3Ftm_job%3DPS47007%26tm_event%3Dview%26tm_company%3D2522%26bid%3D56&urlHash=CYko&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=5QNEdJU6UwSAJgmvUMvR%2FQ%3D%3D&trk=public_jobs_apply-link-offsite
Healthcare Administration Intern,CareerStaff Unlimited,"Schaumburg, IL","Healthcare Administration Internship 
 CareerStaff Unlimited, a division of Genesis HealthCare, is currently looking for an Intern to work 32-40 hours per week for a 13-week period in our Schaumburg, IL office starting immediately. This is a paid internship and the schedule can be somewhat flexible based on the needs of a qualified intern. 
 We are certified as a Great Place to Work and we value having a fun workplace culture, so our ideal candidate must have a personable and positive attitude!
 What We Offer:

Unparalleled company culture
Free parking
Full benefits including medical, dental, vision, 401(k) for full-time employees
Paid time off, vacation days, sick leave for full-time employees
Leadership training and advancement opportunities 
On-site training
 Responsibilities:
 Compiles weekly payroll and submits it to the corporate office for processing 
Performs monthly billing administration to all accounts at specifically defined billing cycles 
Provides maintenance of all payroll records and is responsible for the completion and submission of all on-boarding documentation for all new employees 
Creates local personnel files for all new hires and ensures new employees receive appropriate orientation materials including employee handbook, benefit enrollment materials, etc 
Prepares weekly accounts payable request to the corporate accounts payable department and maintains all accounts payable records for the division and or location 
Ensures proper inventory levels of office supplies and equipment are maintained 
Ensures equipment is in good order and secures necessary repairs or replacement as directed
Prepares various operational reports as directed by the Area Manager or Director
Works independently on special projects and assignments, as assigned 
 Requirements: 
 Candidates should currently be pursuing an applicable higher education degree 
Positive attitude 
Motivated to learn",https://www.linkedin.com/jobs/view/externalApply/2467364897?url=https%3A%2F%2Fanthemcareers%2Ettcportals%2Ecom%2Fjobs%2F6462521-healthcare-cost-intern-summer-2021%3Ftm_job%3DPS47007%26tm_event%3Dview%26tm_company%3D2522%26bid%3D56&urlHash=CYko&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=5QNEdJU6UwSAJgmvUMvR%2FQ%3D%3D&trk=public_jobs_apply-link-offsite
HEALTH CARE TRANSFORMATION INTERNSHIP,State of Maryland,"Baltimore, MD","Introduction

The State of Maryland has entered into a Total Cost of Care (TCOC) All-Payer Model agreement with the Federal Government which began on January 2019. The Model is designed to coordinate care for patients across both hospital and non-hospital settings, improve health outcomes, and constrain the growth of health care costs in Maryland. A key element of the Model is the development of a voluntary Maryland Primary Care Program, (MDPCP) intended to support the delivery of advanced primary care throughout the state. The MDPCP is intended to support the state’s overall health care transformation and allow primary care clinicians to play a vital role in prevention, management of chronic disease, and reduction of potentially avoidable utilization.

The Maryland Department of Health (MDH) is working closely with the Centers for Medicare and Medicaid Services to establish the MDPCP. The Program Management Office within the MDH is responsible for designing and implementing this innovative health care transformation program.

The MDPCP internship is an opportunity for highly motivated students and professionals to learn and contribute to health care transformation in Maryland. Short and long-term stints will be considered.

Interns may work remotely until further notice.

GRADE

Unpaid Internship

LOCATION OF POSITION

MDH, Maryland Primary Care Program, Baltimore, MD

Main Purpose of Job

The Internship will allow student and professionals to join the Program Management Office and provide key contributions to the development of the Maryland Primary Care Program (MDPCP). Depending on the individual's skillset, each internship will be customized to maximize the individual's opportunity to learn and gain valuable work experience.

This position will provide a variety of support to the PMO staff to include:
recruiting and outreach,
health IT and data analytics,
care management and care coordination,
legislation and regulation,
procurement,
practice transformation assistance,
quality management,
federal reporting, and;
program analyses.


Specific Tasks May Include The Following
Data analyses for the MDPCP Annual report,
Development of practice resources and data comparison tools,
Presentation development,
Practice transformation strategy and technical assistance scripts,
Legislation drafting,
Communication to program participant,
Drafting content for newsletters, eblasts, and other communications,
Managing contact distribution lists,
Updates to public-facing website,
Recruiting analyses,
Data analyses to identify priority provider groups for outreach,
Mapping practice locations throughout state,
Conference and meeting logistics,
Educational materials on Advanced Payment Models, Program Guides, etc; and,
Fielding and tracking questions from participants.


Minimum Qualifications

Education: A Bachelor's degree from an accredited college or university.

Experience: One year of experience performing qualitative or quantitative analysis.

Note

Eighteen (18) credit hours towards a Master’s degree in Health Sciences, Health Care Administration, Public Policy or closely related field may be substituted for the required experience.

Candidates Should Possess

DESIRED OR PREFERRED QUALIFICATIONS
Computer Skills: MS Office programs, Google Drive programs, Mapping applications (e.g., ArcGIS), statistical software programs, CRM software (e.g., Salesforce).
Technical Skills: Data aggregation and tabulation.
Other Skills: Scheduling, summarizing meetings, interpersonal communications, multi-tasking, web/marketing, writing, and presenting.


The ideal candidate will have knowledge or experience in the health care field and be highly motivated to contribute to implementing health care innovation in Maryland. Candidate should be knowledgeable about health care transformation such as value-based payment, primary care, health and hospital systems, and trends in the delivery of health care. Knowledge of the provider landscape in Maryland including primary care practices, hospitals, and Accountable Care Organizations is highly desired.

LICENSES, REGISTRATIONS AND CERTIFICATIONS

Employees in this classification may be assigned duties which require the operation of a motor vehicle. Employees assigned such duties will be required to possess a motor vehicle operator’s license valid in the State of Maryland.

SELECTION PROCESS

Applicants who meet the minimum qualifications will be included in further evaluation. It is essential that you provide complete and accurate information on your application. Please report all related education, experience, dates and hours of work. Clearly indicate your college degree and major on your application, if applicable. For education obtained outside the U.S., any job offer will be contingent on the candidate providing an evaluation for equivalency by a foreign credential evaluation service prior to starting employment (and may be requested prior to interview).

Complete applications must be submitted by the closing date. Information submitted after this date will not be added. Applications must be accompanied by a CV or a resume. Upon selection, intern will be required to sign an agreement and provide proof of intern credit.

FURTHER INSTRUCTIONS

Online applications are highly recommended. However, if you are unable to apply online, the paper application (and supplemental questionnaire) may be submitted to MDH, Recruitment and Selection Division, 201 W. Preston St., Room 114-B, Baltimore, MD 21201. Paper application materials must be received by 5 pm, close of business, on the closing date for the recruitment, no postmarks will be accepted.

If additional information is required, the preferred method is to upload. If you are unable to upload, please fax the requested information to 410-333-5689. Only additional materials that are required will be accepted for this recruitment. All additional information must be received by the closing date and time.

For questions regarding this recruitment, please contact the MDH Recruitment and Selection Division at 410-767-1251.

If you are having difficulty with your user account or have general questions about the online application system, please contact the MD Department of Budget and Management, Recruitment and Examination Division at 410-767-4850 or Application.Help@maryland.gov .

Appropriate accommodations for individuals with disabilities are available upon request by calling: 410-767-1251 or MD TTY Relay Service 1-800-735-2258.

We thank our Veterans for their service to our country.

People with disabilities and bilingual candidates are encouraged to apply.

As an equal opportunity employer, Maryland is committed to recruitment, retaining and promoting employees who are reflective of the State's diversity.",https://www.linkedin.com/jobs/view/externalApply/2504036476?url=https%3A%2F%2Fjobapscloud%2Ecom%2FMD%2Fsup%2Fbulpreview%2Easp%3FR1%3D21%26R2%3D002417%26R3%3D0002&urlHash=EYBO&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=FM1d1Rj6apzWOBvlfEc6fw%3D%3D&trk=public_jobs_apply-link-offsite
,,,,https://www.linkedin.com/jobs/view/externalApply/2504036476?url=https%3A%2F%2Fjobapscloud%2Ecom%2FMD%2Fsup%2Fbulpreview%2Easp%3FR1%3D21%26R2%3D002417%26R3%3D0002&urlHash=EYBO&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=FM1d1Rj6apzWOBvlfEc6fw%3D%3D&trk=public_jobs_apply-link-offsite
"University Intern, Healthcare Disputes",Ankura,"Chicago, IL","Ankura is a team of excellence founded on innovation and growth.

This position supports the Ankura Disputes & Economics Business Group - one of seven practices focused on client delivery services across the Firm.

Practice Summary

The Healthcare Disputes, Compliance and Forensics practice focuses on assisting healthcare and life science clients and their counsel in addressing the issues associated with complex disputes, investigations, regulatory and compliance, and technology services. Our practice professionals have a thorough understanding of the issues facing a broad range of clients in the healthcare industry including but not limited to provider, payer, and pharmacy clients. We bring the deep industry knowledge and experience necessary to assist these clients with their most pressing and sensitive matters.
Ankura’s provider team has experience assisting hospitals, long term care centers, outpatient and diagnostic centers, DME providers, home health agencies, hospice centers and their legal counsel to provide effective solutions for their most complex litigation and compliance issues.
Ankura’s payer team brings a combination of compliance, operations, audit, clinical coding, data analytics, financial, valuation, and systems professionals to support payer executives and their counsel with regulatory compliance, operations, disputes, investigations, and transaction support and due diligence.
Ankura’s pharmacy team assists counsel across the entire spectrum of pharmacy benefits, including retail, hospital, and specialty pharmacies; distributors; pharmacy benefit managers; and plan sponsors. Our expertise includes: the quantification of financial exposure through analytic and statistical methods; prescription drug claims submission and payment; pharmacy benefit administration; Medicare Part D compliance; and the preparation of expert and consultative reports shared with prosecutors or used in commercial litigation.

Essential Duties & Responsibilities

Summer Interns, working as part of a project team, perform critical, value-added work that directly impact a client’s bottom line. Responsibilities may include developing and performing financial, accounting, economic, and statistical analyses; providing detailed fact finding, research and analysis; developing computer models including detailed and complex spreadsheet analyses; assisting with data gathering activities including document review, research, and quality control of data entry activities and preparation of expert reports and exhibits; demonstrating proper documentation of analysis; and providing excellent client service.

Basic Qualifications

Candidates should be top academic performers, be interested in the consulting industry, and meet the following criteria:
Pursuing a Bachelor’s Degree with an expected graduation date between December 2021 to August 2022, with a major in accounting, finance, economics, statistics or public Policy
A cumulative GPA of 3.2 or better.
Interest in healthcare industry.
Interested in working with large data sets and developing analytical models.
Excellent verbal and written communication skills.
Creative problem-solving ability and a collaborative, consultancy mindset.
Ability to multi-task and effectively prioritize tasks.
Highly motivated, driven, and dynamic attitude towards work and career.
Ability to excel within a team environment.
Proficient in Microsoft Excel, Word, and PowerPoint; familiarity with Microsoft Access, SQL, or statistical packages such as R, SAS, SPSS.
Ability to work overtime or travel as requested.
Ankura is an equal employment opportunity employer. Employment Opportunities at Ankura are based upon one’s qualifications and capabilities to perform the essential function of a particular job. All employment opportunities are provided without regard to race, color, religion, sex, pregnancy, childbirth or related medical conditions, national origin, age, veteran status, disability, genetic information, or any other characteristic protected by law.

This Equal Employment opportunity governs all aspects of employment, including, but not limited to, recruitment, hiring, selection, job assignment, promotions, transfers, compensation, discipline, termination, layoff, access to benefits and training, and all other conditions and privileges of employment.

Ankura is proud to be an equal opportunity employer committed to fostering a diverse and inclusive environment where mutual respect and collaboration is paramount. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity and expression, disability, protected veteran status, national origin, or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2449040681?url=https%3A%2F%2Fankura%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FAnkura%2Fjob%2FChicago-IL%2FUniversity-Intern--Healthcare-Disputes_R101070&urlHash=HUUu&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=rI8Se8r%2FCOgb%2BqUxoT8b%2FA%3D%3D&trk=public_jobs_apply-link-offsite
Student Paid Internship - Healthcare,RN Services Private Duty Care,"St Louis, MO","Student Paid Internship - Healthcare

RN Services Private Duty Care - St. Louis, MO

Part-Time

RN Services Private Duty Care is a locally owned home health care company in the St Louis area. For over 20 years, we have serviced high-end clients in St Louis and surrounding areas. We are currently staffing healthcare students in need of clinical hours including but not limited to Health Science majors - OT, PT, MA, RT.; This position allows for hands on experience working one-on-one with our clients, developing practical skillsets in real life environments. We provide the opportunity for credit hours toward CNA, PCT; Non-certified applicants are eligible.

Qualifications
High School Diploma
Must be a licensed driver with a clean driving record and adhere to RNS vehicle safety.
Has a vehicle that is currently insured
Must own a cellphone with internet and texting capabilities
Must have daily access to RNS email
Knowledge of the English language
Must complete all physical and mental demands for described position.
Has corrected vision and hearing within normal range.


Responsibilities
Provides care agreed upon by client, client's family and RN Services
Follows directions as provided by the client, clients family and RN Services
Communicate effectively with above stated
Agrees to variable work schedule
Is responsible for working assigned shifts and/or finding coverage
Ability to connect with geriatric clients
Monitoring vitals, ADL's, transfers using a gait belt or assistive devices
TB test (required within 90 days of hire)
CPR (required within 90 days of hire)

Job Type: part time

Work Authorization: United States (required)

Shifts: All - must have some weekend availability

Minimum shift - 4 hours Maximum shift - 12 hours",https://www.linkedin.com/jobs/view/externalApply/2470328750?url=http%3A%2F%2Fwww%2Estlprivatedutycare%2Ecom%2Fnwemppg%2Ehtml%3Fgnk%3Djob%26gni%3D8a7883a9784b99f0017851027dd857e3%26gns%3DLinkedIn%252BLimited&urlHash=gMjr&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=J4BVu3UwkORyqV%2Bg4Hnq2g%3D%3D&trk=public_jobs_apply-link-offsite
"Business Intern - Healthcare Vertical, Summer 2021",Samsung Electronics America,"Plano, TX","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities



Position Summary and Project Details:



'



As part of the Healthcare Vertical Team, you will support the Healthcare vertical business team in developing new solution business cases, collaborate on cross-business initiatives, analyze SEA’s Market Share, and provide insights into our competitor’s performance.



General Duties include but are not limited to:

Market research on a new business segment in the Healthcare vertical
Support a specific campaign on an existing market available solution
Collaborate with channel team to execute a specific solution enablement campaign

The primary activities may include conducting and driving industry insights related market research activities, documenting customer journey maps, and assisting with vertical development of business strategy.  As needed, work with a variety of stakeholders in the company including Product Management and Product Marketing to enable vertical strategy, insights and enablement plans and priorities.



Skills and Qualifications



Apply now, if you are interested in:

Healthcare industry
Mobile technology
Marketing
Strategy
Analytics

Qualifications:

MBA Business Administration, Marketing, Management
Ability to lead a cross-functional work team to define people, process, policy and technology enhancements that will improve customer experience
Marketing and/or Consulting experience a plus
Industry research and analysis a plus

Internship Eligibility:

Must be enrolled in an accredited University
Proper work authorization
Maintain a 3.0 or higher GPA
Attend New Hire Orientation on first day

* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .



* Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and  provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.",https://www.linkedin.com/jobs/view/externalApply/2463633569?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F6625-Excellence-Way-Plano-TX-USA%2FBusiness-Intern---Healthcare-Vertical--Summer-2021_R37749&urlHash=148U&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=eYMrOyqgxoKgvjPTB8O%2Fgw%3D%3D&trk=public_jobs_apply-link-offsite
Healthcare Summer Intern,Zeno Group,"Chicago, IL","Healthcare summer interns will have the opportunity to work on a variety of projects and Healthcare clients.

In order to be considered, you must submit the following with your application:

A resume of any relevant work, education and extra-curricular experiences AND a completed Zeno Group Healthcare Intern Writing Assessment.pdf

save completed assessment as First Name_Last Name_Healthcare and email to interns@zenogroup.com

DISCLAIMER: If you have trouble opening the assessment please right-click and select open in a new tab.

Incomplete applications will not be considered

About The Job
Responsibilities include but are not limited to the following:
Work closely with account team members to develop and deliver key client deliverables, learning the basics of the clients’ business
Manage the day-to-day admin activities for 1-3 accounts
Monitoring client and competitor media coverage and drafting coverage recaps for the team
Draft media materials, including but not limited to press releases, fact sheets, briefing sheets and pitches
Conduct research to aid in the strategy development process for current clients and new business pitches
Participate in brainstorm sessions and program ideation
Create and distribute mailers, press kits, and briefing kits

About You
The ideal candidate will have an understanding of the ever-changing healthcare realm and will be connected to the pulse of these changes.
Passion for and understanding of public relations and media landscape as it relates to Healthcare
Excellent written, verbal communication, and interpersonal skills
Strong organizational skills
Collaborative spirit, results driven with the ability to manage multiple priorities and work against deadlines
Must be pro-active and able to operate effectively both independently and within a team
Basic understanding of social media platforms
MS Office proficiency is a must
Familiar with the public relations, marketing, or communications discipline through past coursework, internships, or personal experiences

About Us

Zeno Group is a fiercely independent and global integrated communications agency, born from PR. We bring together the boldest and brightest talent to help clients across industries and sectors unleash the power of strategic communications. Guided by our ‘Fearless Pursuit of the Unexpected,’ we push the boundaries to achieve real business value and societal impact for clients.

Zeno Group is a place where careers are built and lives are lived. We cultivate our fearless culture to ensure greater diversity, equity and inclusion across the entire agency and the industry. Zeno is for everyone. Winner of our industry’s most coveted awards including the 2021 PRWeek Agency of the Year and a two-time winner of PRWeek’s Best Places to Work, Zeno has been previously named Creative Agency of the Year by PRovoke and recognized twice by the Cannes Lions International Festival of Creativity. Zeno is a DJE Holdings Company.

About Our Benefits

Zeno Group offers a creative and differentiating benefits package including a variety of medical and dental choices, vacation, and sick time. We also offer a 401(k) plan, pretax flexible spending accounts, tuition assistance, a prescription drug benefit plan, a vision plan, long-term and short-term disability, life insurance and programs that support flexibility and promote work/life balance. In addition, our unique ZenoFit wellness program offers financial support to pursue the wellness activity of your choice.",https://www.linkedin.com/jobs/view/externalApply/2467205601?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fzenogroup%2F350f1954-7284-4416-a085-744068cfb0b6%3Flever-source%3DLinkedInJobs&urlHash=D8Ud&refId=d5e55fd3-b45c-4e3e-a727-f48b83e5de37&trackingId=jGT5M8lrKWNG5w%2BqPiGHrg%3D%3D&trk=public_jobs_apply-link-offsite
