title,company,location,requirements,link
Intern *,Morgan Stanley,"Madison, WI","Responsibilities
Gain industry and organizational knowledge through daily business interactions and job assignments.
Develop business, financial and analytical skills needed for career in global wealth management and financial services.
Provide marketing and sales support to branches and their teams.
Perform market research.
Gain exposure to wealth management business, products, services and clients’ financial needs.

Requirements
High school diploma required. In pursuit of college degree preferable.
At least 18 years of age.
Internships are intended to be positions that are for limited duration, with a maximum duration ten months.
Strong desire to gain further understanding of the global wealth management business.
Effective communication and interpersonal skills (both written and verbal)
Ability to work on a team.
Strong analytical skills and ability to interpret.

Morgan Stanley

EOE committed to diversifying its workforce.

M/F/D/V.

Posting Date

Mar 24, 2021

Primary Location

Americas-United States of America-Wisconsin-Madison

Education Level

Refer to Position Description

Job

Wealth Management

Employment Type

Intern

Job Level

Non-Exempt",https://www.linkedin.com/jobs/view/externalApply/2466642104?url=https%3A%2F%2Fms%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D3170452%26lang%3Den%26src%3DJB-10109&urlHash=pTgK&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=%2FuCDqJCIS5Ql%2BqbSSpI8YA%3D%3D&trk=public_jobs_apply-link-offsite
Intern.220496,Scientific Games,"Reno, NV","Gaming

Are you ready to level up your career?

At Scientific Games, we are committed to making the best games, platforms and systems in the world. We are looking for smart, passionate and creative people to join our team and help us transform the gaming world. We are a global, industry-leading gaming technology company that embraces challenge, fosters an inclusive culture, values integrity, innovation and winning, and is committed to developing and supporting its people.

Whether you are a member of our award winning game studios, our industry leading systems group, product management, manufacturing group, services or any of our other amazing Gaming teams, you will be creating compelling games played around the world. We are dedicated to being the industry’s only COMPLETE global solutions provider with products that will enhance the entire gaming operation, both on the casino floor and behind the scenes.

If you are ready to play…Come join us and let’s make games!

Scientific Games

Scientific Games (SG) is a global leader focused on delivering an ever-expanding portfolio of lottery and gaming products and services to the world's government-regulated and government-sponsored entities. Scientific Games' global reach is made possible through the expertise, skill and dedicated efforts of its 8,000+ employees who serve lottery and gaming customers in more than 100+ countries on 6 continents.

Essential Job Functions

Position Summary
Testing and reviewing code created by developers.
Creation and maintenance of development tools.
Basic software debugging using debugging tools.
Math testing and verification using simulation tools and excel sheets.
Research and education of the Scientific Gaming codebase.
Basic software development.

Special Restrictions And Qualifications
Must be able to acquire and hold a Nevada Gaming Card. (Requires being at least 21 years of age at time of employment).
Part time position.
Able to work remote.

Training And/or Experience
At least two years of experience coding in C++.
Experience with UNIX/Linux is preferred.

Knowledge, Skills And Abilities
Experienced in C++
Use of debuggers including GDB.
Microsoft Excel or Open Office Spreadsheet
Understanding of basic probability and statistics.
Problem solving and analytical skills
Knowledge of Bash, Perl or Python scripting a plus.

Education
At least 2 years of experience working towards a Computer Science degree.

Work Experience
At least 2 years of working experience.
Qualifications

Physical Requirements

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is regularly required to sit, stand, walk, bend, use hands, operate a computer, and have specific vision abilities to include close and distance vision, and ability to adjust focus working with computer and business equipment.

Work Conditions

Scientific Games Corporation and its affiliates (collectively, “SG”) are engaged in highly regulated gaming and lottery businesses. As a result, certain SG employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure SG complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, SG requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with SG (to the extent permitted by law), you shall be asked to consent to SG conducting a due diligence/background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.

SG is an Equal Opportunity Employer and does not discriminate against applicants due to race, ethnicity, gender, sexual orientation, veteran status, or on the basis of disability or any other federal, state or local protected class. If you’d like more information, please click on this link: EEO Poster

Scientific Games Corporation and its affiliates (collectively, “SG”) are engaged in highly regulated gaming and lottery businesses. As a result, certain SG employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure SG complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, SG requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with SG (to the extent permitted by law), you shall be asked to consent to SG conducting a due diligence/background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.

SG is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law , please click here for EEOC Poster .",https://www.linkedin.com/jobs/view/externalApply/2477208829?url=https%3A%2F%2Fscientificgames%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FScientificGamesExternalCareers%2Fjob%2FReno-NV%2FIntern220496_R302125&urlHash=TXi1&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=XSQUZV4yyFHlN0wOgGsFPw%3D%3D&trk=public_jobs_apply-link-offsite
Intern,UBS,"Chicago, IL","Job Reference #
224463BR

City
Chicago, United States - Illinois

Job Type
Part Time

Your role
Are you a motivated self-starter? Can you take an assignment and run with it? If you're ready to dive into a fast-paced, client-focused work environment, an internship may be the right fit for you.

We're looking for an Intern to:

work on projects that have real impact on clients
support our team of wealth management experts
gain product knowledge from internal and external partner sessions to support your team
plan team marketing events and material
assist with the responsibilities of running an entrepreneurial business model

We welcome interns to become a part of our team. You will work with our experts and learn about the industry, our clients and our firm. This is an opportunity to gain valuable insight, develop new skills, and establish a network of mentors and business contacts. You'll leave with a lot more than a job listing on your resume.

Your team
You will be working for UBS Financial Services, Inc., specifically UBS’ Corporate Cash Management Group in Chicago. We specialize in delivering separately-managed fixed income investment programs for institutional investors.

Your expertise

a balanced resume which includes solid academic performance and campus involvement
positive with a can-do approach
analyze a problem, come up with ideas and make a decision
show good judgment
plan, organize and make things happen; ability to stick with a task
communicate well and work within a team

Have you participated in teams sports? Organized a volunteer project? Taken a challenging class and aced it?
Think about your achievements and how they match the skills we’re after.

About Us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?

Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.

Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",https://www.linkedin.com/jobs/view/externalApply/2473988305?url=https%3A%2F%2Fjobs%2Eubs%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25008%26siteid%3D5012%26jobid%3D226945%26codes%3DILINKEDIN&urlHash=DR5B&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=sh%2FUjE6My6q1qwpv%2B1zHaQ%3D%3D&trk=public_jobs_apply-link-offsite
Intern,INSIGHT (UK) LIMITED,"Spokane, WA","Intern Skip to content
Careers
View all jobs
Corporate jobs
Sales jobs
Technology and engineering jobs
About Insight
Benefits
Culture Search by Keyword Search by Location
Careers
View all jobs
Corporate jobs
Sales jobs
Technology and engineering jobs
About Insight
Benefits
Culture Language
English
Franais View Profile Back to search results Search by Keyword Search by Location Send me alerts every days Create Alert Send me alerts every days Share this Job Intern WA, US Requisition Number: 80361 Our Client Operations team is looking for a summer 2021 intern. What you'll experience at Insight:
A fun, learning culture where hard work and dedication pay off.
Teammates and leaders who demonstrate and foster our Values: Hunger, Heart and Harmony.
A unique opportunity to meet other teammates and participate in a cohort-style internship. What you'll gain:
Life Learning Seminars (e.g. wealth management, professional workshops, public speaking skills and more).
Invaluable knowledge with a Fortune 500 company in the ever-changing technology industry. What you'll do:
Be trained on effectively using a SAP ERP system
Partner closely with internal teams, to learn and execute the placement of client facing quotes and orders for various Software Licensing Solutions
Learn about Software products used in the Corporate and Public Sector environment through on-site vendor training
Create and implement at least one special site engagement project for the Liberty Lake site. What you'll need to have:
Strong verbal and written communication skills
Strong analytical and troubleshooting skills
Strong attention to detail
Self - starter What our internship offers: Insight's Summer Internship Experience is just that. An experience. You will have the opportunity to work along-side an Insight teammate who lives our core values of Hunger, Heart and Harmony. They will help guide you through the tasks and projects set for you during your 10-week journey with us. You will also have weekly trainings that include learnings like 7 Habits of Highly Effective People, Professional image, Wealth Management and many other fun topics like best ways to find a job, basics of behavioral interviewing and resume writing. If you ever wondered what recruiters look for and what the best way is to find a job, you don't want to miss this opportunity to join our program! Apply today. Interviews and offers will start in March 2021. You must be able to work entire 10-week program and live in Spokane area during the full duration of the internship. The position described above provides a summary of some the job duties required and what it would be like to work at Insight. For a comprehensive list of physical demands and work environment for this position, click here. Today, every business is a technology business. Insight Enterprises, Inc. empowers organizations of all sizes with Insight Intelligent Technology Solutions and services to maximize the business value of IT. As a Fortune 500-ranked global provider of digital innovation, cloud/data center transformation, connected workforce, and supply chain optimization solutions and services, we help clients successfully manage their IT today while transforming for tomorrow. From IT strategy and design to implementation and management, our 11,000 teammates help clients innovate and optimize their operations to run smarter. Discover more at .
Founded in 1988 in Tempe, Arizona
11,000+ teammates in 21 countries providing Insight Intelligent Technology Solutions for organizations across the globe * $9.2 billion in revenue in 2018*
Ranked #430 on the 2019 Fortune 500, #14 on the 2019 CRN Solution Provider 500
2019 Adobe Americas Partner of the Year, 2019 Cisco Global-Americas Partner of the Year, 2019 Intel IoT Solutions Partner of the Year, Microsoft U.S. Azure Partner Choice Award for Data/AI, Microsoft Azure Expert Managed Services Provider
Ranked #23 on the 2019 Fortune 50 Best Workplaces in Technology, #70 on the 2019 Fortune 100 Best Workplaces for Diversity, and #7 on the Phoenix Business Journal 2019 list of Best Places to Work (Extra Large Business)
Signatory of the United Nations (UN) Global Compact and Affiliate Member of the Responsible Business Alliance
Proforma to include PCM, Inc. for fiscal year ended Dec. 31, 2018 Today's talent leads tomorrow's success. Learn about careers at Insight: . Insight is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law. Posting Notes: Spokane || Washington (US-WA) || United States (US) || None || None || US
Spokane, WA || Job Segment: Intern, Developer, ERP, Cisco, Supply, Entry Level, Technology, Operations Find similar jobs: View All Jobs at Insight, Sales and Sales Support * * * *
Connect with Insight. *
Top Job Searches
All Job Categories
Privacy Policy
EEO",https://www.linkedin.com/jobs/view/externalApply/2490378153?url=https%3A%2F%2Fwww%2Eadzuna%2Ecom%2Fland%2Fad%2F2099476375%3Fv%3D5095348642D5BDD04CD94EDB143871699474BF4F%26r%3D6783713%26ccd%3Df8c084412fd59e9a5b151ecbf2be017d%26frd%3D5cd92e78fa1286fe0c146423c39b4917%26utm_source%3Dlinkedin2%26utm_medium%3Dorganic%26partnerb%3D1%26chnlid%3D601&urlHash=1288&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=o6KTl6dFFB2ZINIiysy0JA%3D%3D&trk=public_jobs_apply-link-offsite
Summer 2021 Internship: Motley Fool Foundation - Programming and Board Relations,The Motley Fool,"Charlotte, NC","Description

Who are we?

We are The Motley Fool, a purpose-driven financial services firm with nearly 30 years of expertise. Our goal is to make the world smarter, happier, and richer by providing outstanding business and investing advice, at scale. But what does that even mean?! It means we’re helping Fools (always with a capital “F”) demystify the world of finance, beat the stock market, and achieve personal wealth and happiness through our investing services, like Stock Advisor and Motley Fool Wealth Management, our portfolio management service.

What does this team do?

The Motley Fool Foundation is a NEW public charity created in January 2020 to coordinate and expand the philanthropic (or, Foolanthropic, if you will!) goals and activities of The Motley Fool. Foolanthropy has been core to the Fool since the days of dial-up internet and boy bands with frosted tips. (That would be 1997, when we launched The Motley Fool Charity Fund, the Internet's first ever group-giving campaign!) Since then, we’ve raised millions of dollars for charity, coordinated thousands of employee volunteer hours, and pioneered Fool School, teaching personal finance and investing basics to the next generation of Fools. Now, The Motley Fool Foundation’s focus is on leveraging our access and relationships in the global investing community to unlock financial freedom for all.

What would you do in this role?

As our Programming and Board Relations Intern, you will have a front-row seat as we outline and implement programs that directly affect the people we serve. You will help us develop our first pilot programs, and collect, organize, and summarize feedback and suggestions from all of our stakeholders. You will also play a valuable role supporting the work of our Board, implementing leading-edge organizational governance processes, and facilitating Board member participation in influence strategies, external communications, and fundraising efforts.

This is a paid, full time (40 hrs/wk) internship from June - August, 2021, that will be fully remote, although our office is just outside Washington, DC, in Alexandria, VA.

But what does this role actually do?
Delve into the world of financial empowerment to uncover best practices and areas of opportunity for the Foundation’s programs and impact
Identify and develop relationships for prospective strategic partnerships, including corporations, foundations, and individuals
Provide dynamic support for all Board of Director activities, including managing communication and planning and executing Board meetings
Assist with project management to implement our programming and partnership strategies - scheduling meetings, tracking milestones, and doing data entry
What do you need to apply?
On the ground experience with volunteer organizing and direct service programs
Interest in a broad set of progressive policy issues (entrepreneurs, women in finance, economic empowerment)
Process-oriented, attentive to detail, highly organized and skilled at juggling numerous stakeholders and priorities simultaneously
Familiarity with Office, Google Drive and Salesforce preferred
Ability to collaborate with co-workers across positions on multiple projects
Completed coursework or relevant experience in non-profit management or a related field
Be heart-driven, positive, collaborative, fun, and kind – and want to be part of a team and network that feels the same!
It’s even better if you…
Love, and excel at, building processes from the ground up. Attention to detail, strategic thinking, and strong organizational and interpersonal skills are essential.
Feel comfortable working in an entrepreneurial environment where not all of the questions have been answered. You should bring a fine-tuned sense of when to take initiative and work independently, and when to ask for help.
Have a can-do attitude, the ability to improvise and implement solutions, and stellar follow-up and follow-through skills. You’ll be working on a small team making a big difference in the world.
Are excited about helping us build tools and programs to make the world smarter, happier, and richer. Show us your passionate commitment to equity and economic justice!
Please submit a resume and cover letter detailing how your passions and prior experiences make you a great fit!

The Motley Fool is firmly committed to diversity, inclusion, and equity. We are a motley group of overachievers that have built a culture of trust founded on Foolishness, fun, and a commitment to making the world smarter, happier and richer. However you identify or whatever winding road has led you to us, please don't hesitate to apply if the description above leaves you thinking, ""Hey! I could do that!""",https://www.linkedin.com/jobs/view/externalApply/2438552835?url=http%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fthemotleyfool%2Fjob%2FokKtefwv%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=-gg2&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=HXDOx%2FQvXrWY9YkWNgApgg%3D%3D&trk=public_jobs_apply-link-offsite
Intern,Staffmark,"Malvern, AR","Staffmark is now hiring for a Summer internship!

Job Description And Responsibilities

Your Role

As a Mechanical Engineering Intern who is currently enrolled in college, you will build on classroom learning through paid work directly related to your field. You will have the opportunity to
Work closely with a full-time engineer to learn the field of their discipline
Assist with day to day engineering activities regarding quality, production, and maintenance
Update prints, perform PPE audits, perform time studies, implement workflow improvements, and work on other special projects
Gain valuable hands-on experience

Ultimately, this internship will help you get a head start in your career and will allow you to use your skills to make an impact on our company.

Requirements

We need you to have
Current enrollment and pursuit of a BS degree in Industrial or Manufacturing Engineering, or a related field
Completed at least 2 years of course work at an accredited university
Excellent capabilities in Microsoft Office


if you are interested please go to
www.staffmark.com
Click apply now
input job ID 1172550

About Staffmark

Staffmark is committed to providing equal employment opportunity for all persons regardless of race, color, religion (including religious dress and grooming practices), sex, sexual orientation, gender, gender identity, gender expression, age, marital status, national origin, ancestry, citizenship status, pregnancy, medical condition, genetic information, mental and physical disability, political affiliation, union membership, status as a parent, military or veteran status or other non-merit based factors. We will provide reasonable accommodations throughout the application, interviewing and employment process. If you require a reasonable accommodation, contact us. Staffmark is an E-Verify employer. This policy is applicable to all phases of the employment relationship, including hiring, transfers, promotions, training, terminations, working conditions, compensation, benefits, and other terms and conditions of employment.

All employees are directed to familiarize themselves with this policy and to act in accordance with it. All decisions with respect to employment matters and other phases of employer-temporary employee relationships will be in keeping with this policy and in accordance with all applicable laws and regulations.",https://www.linkedin.com/jobs/view/externalApply/2490317693?url=https%3A%2F%2Fjobs%2Eemployeeworkplace%2Ecom%2Fstaffmark%2F1172550&urlHash=ZKuH&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=zhlDRn0B%2BInEoeTI2It%2BLQ%3D%3D&trk=public_jobs_apply-link-offsite
CernerKids Intern,Cerner Corporation,"Kansas City, KS","Qualifications Basic Qualifications :


For more than 20 years, Cerner Kids has supported Cerner’s mission and vision by providing a nurturing educational environment, exclusively for children of Cerner associates. The Montessori philosophy guides our programming, and we look for talented teachers to build lessons and activities to capture the interests of the children in their classroom. Cerner currently offers two childcare centers. Cerner Kids Realization, near the Grandview Triangle in South Kansas City and Cerner Kids World Headquarters, in North Kansas City. Our centers have capacity for nearly 400 students. During your internship, you will immediately gain real-life experience teaching children through age-appropriate lesson plans and activities that enhance the learning experience, student observation and assessment, parent partnership and basic care giving for children 6 weeks to 6 years of age. You’ll work alongside the experts to acquire the knowledge and skills to prepare you for a long-term, meaningful career.
Actively pursuing an Associates or Bachelors Degree in Early Childhood Education, Elementary Education, or equivalent relevant work experience

Preferred Qualifications :

Work experience in early childhood or Montessori program

Expectations :

U.S. work authorization required
Relocation to the Kansas City metropolitan area for the duration of the internship (housing is not provided)
10-week commitment
Active participation in Cerner’s Summer Internship Program
Ability to work 40 hours per week
Successful completion of Missouri’s Department of Health and Senior Services Family Care Safety Registry screening and a comprehensive criminal background check
Occupational Health Requirements, including Medical Exams in accordance with state law
Willing to work on a flexible schedule as needed",https://www.linkedin.com/jobs/view/externalApply/2490626715?url=https%3A%2F%2Fcareers%2Ecerner%2Ecom%2Fjob%2F71694BR&urlHash=f34U&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=TfTvjt%2Ffx1lDnl0cvt8asA%3D%3D&trk=public_jobs_apply-link-offsite
Intern,CRC Insurance Services,"Birmingham, AL","Specific information related to the position is outlined below. To apply, click on the button above. You will be required to create an account (or sign in with an existing account). Your account will provide you access to your application information. Need Help? Should you have a disability and need assistance with the application process, please request a reasonable accommodation by emailing Accessibility or by calling 866-362-6451. This email inbox is monitored for reasonable accommodation requests only. Any other correspondence will not receive a response.

Regular Or Temporary

Temporary
Language Fluency: English (Required)

Work Shift

1st shift (United States of America) Please review the following job description: Works with various employees to expand knowledge of company and aid the learning process.

Essential Duties And Responsibilities

Following is a summary of the essential functions for this job. Other duties may be performed, both major and minor, which are not mentioned below. Specific activities may change from time to time.

Works with various employees to expand knowledge of company and aid the learning process.

Complete specific projects for department related to analysis and strategy planning.

Assists department staff with various tasks such as filing, data entry, copying, and compiling of data.

Performs other duties as assigned.

Required Skills And Competencies

The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Must be a current high school or college student

Strong verbal and written communications skills

Ability to effectively interact with employees at all levels of the organization and with a variety of people from diverse backgrounds

Ability to work with minimal supervision

Ability to handle multiple tasks and details

Ability to operate a Computer, calculator, multi-line phone, fax machine, copier, and other office equipment

Ability to adhere to all organizational policies and procedures

Normal office environment; No unusual physical demands



CRC is an Equal Opportunity Employer and considers all qualified applicants regardless of race, gender, color, religion, national origin, age, sexual orientation, gender identity, disability, veteran status or other classification protected by law.

EEO is the Law Pay Transparency Nondiscrimination Provision E-Verify",https://www.linkedin.com/jobs/view/externalApply/2478354707?url=https%3A%2F%2Fbbt%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fcrc%2Fjob%2FBirmingham-AL%2FIntern_R0034572&urlHash=ftDm&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=WxBpqiBT%2FnB3W%2FMGnWbu1A%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, People Engagement",United Way,"Remote, OR","About You

You believe in a culture of inclusive excellence and value the differences that make us each unique. You are professional and kind; curious and passionate about your work and studies; seek a stimulating and rewarding internship; and, sincere in your desire to help others. Join our internship program and gain valuable learning and working experience at a leading nonprofit organization.

About United Way Worldwide

United Way brings people, organizations, and communities together around a common cause, a common vision, and a common path forward. In many communities, we're the only nonprofit building up the cornerstones of education, financial stability and health—and the only nonprofit bringing people together from all walks of life to be a part of local solutions. We're engaged in nearly 1,800 communities across more than 40 countries and territories, where people are powering big ideas and big action by donating, volunteering and speaking out through United Way.

United Way Worldwide is located in Old Town Alexandria, VA. Our culture is People First—we take it seriously and, because of that, we take good care of people. We encourage growth and upward mobility—and want you to succeed in a diverse, inclusive, and ethical workplace. Take action, join our Internship—apply now.

Intern Experience At United Way Worldwide

Interns at United Way Worldwide gain valuable learning and working experience at a leading nonprofit organization. Our goal is to make every intern who works with us feel included, valuable, and productive. In addition to the hands-on experience you’ll receive working at the largest nonprofit in the world, you will be provided with weekly professional development workshops.

Applicant Requirements

The internship opportunities are open to current students of a college program, or within 2 years of graduating. Applicants must be eligible to work within the United States and have all documentation at the time of their application, including a Social Security Number.

Position Summary

Are you interested in learning about employees can thrive in healthy organizations? The People Engagement team is seeking an intern to help us in engaging the 200+ staff within our organization. The intern will be provided with hands-on projects and shadowing opportunities in a national nonprofit headquarters.

Primary Projects
Research and produce best-practices guides for supervisors and interns
Support internship recruitment and retention processes
Staff engagement events and activities
Create engaging virtual happy hours for interns
Assist with the all-staff annual reviews process
Building Web pages for staff engagement resources
Support regular organizational communications


Required Skills
Strong interest in learning more about nonprofit work and working with people
Strong planning, research, and writing skills

PERKS
Weekly professional development workshops provided onsite
Chance to meet and work with top nonprofit experts in the country
Completely remote internship experience

LOCATION

This internship takes place 100% remote for the Summer 2021 semester.

TIME FRAME

Summer 2021 Internships will take place from May 17 – August 6.

EQUAL OPPORTUNITY EMPLOYER

United Way Worldwide seeks diverse, qualified professionals who want to make a difference in the world. We are an equal opportunity employer and recruit, employ, train, compensate, and promote qualified applicants without regard to race, color, religion, creed, disability, veteran status, marital status, age, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin or ancestry, genetic information, and other legally protected characteristics, in accordance with applicable laws. The EEO is the Law poster is available here: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf. If you need a reasonable accommodation because of a disability for any part of the employment process, please e-mail aaron.gibson@uww.unitedway.org or call 571-360-6273 and provide the nature of your request and your contact information.

We are a charter member of Employers of National Service and encourage AmeriCorps, Peace Corps, and other national service alumni to apply.

DIVERSITY & INCLUSION STATEMENT OF PRINCIPLE

We take the broadest possible view of diversity.

We value the visible and invisible qualities that make you who you are.

We welcome that every person brings a unique perspective and experience to advance our mission and progress our fight for the health, education, and financial stability of every person in every community.

We believe that each United Way community member, donor, volunteer, advocate, and employee must have equal access to solving community problems.

We strive to include diversity, equity, and inclusion practices at the center of our daily work.

We commit to using these practices for our business and our communities.

Join us in embracing diversity, equity and inclusion for every person in every community.

LIVE UNITED.

Thank you for your interest in an internship opportunity with United Way Worldwide. You will be contacted if your qualifications are a good match and you are selected for an interview.",https://www.linkedin.com/jobs/view/externalApply/2486958834?url=https%3A%2F%2Fcareers%2Eunitedway%2Eorg%2Fjob%2Fintern-people-engagement-1&urlHash=wv3c&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=bm0yJvmCM8po0J3fRz%2FX%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
Intern,BioSpace,"San Diego, CA","Those who join Emergent BioSolutions feel a sense of ownership about their future. You will excel in an environment characterized by respect, innovation and growth opportunities. Here, you will join passionate professionals who advance their scientific, technical and professional skills to develop products designed-to protect life.

Position Summary

The Process Development Intern assists the development team in maintaining a clean and organized lab environment, including the set up and maintenance of a material inventory, while also supporting the team with various upstream and downstream project related tasks.

Essential Functions

Reasonable accommodations will be made to enable individuals with disabilities to perform the essential functions.
Performs a wide variety of tasks in the laboratory, including autoclaving, material supply management, lab organization, waste treatment and removal, and equipment cleaning and maintenance.
Detail oriented. Makes detailed observations and maintaining detailed and accurate logbooks, forms, and notebooks.
Organizes and maintains cleanliness of laboratory bench materials and equipment.
Drafts material specification or communicate with vendor to obtain information for cGMP/non GMP materials
Records inventory changes as supplies and reagents are used
Works with both upstream and downstream laboratory staff to plan and prepare for upcoming scientific studies.
Prepares summaries and protocols


Minimum Education, Experience And Skills
High school degree and a minimum of 1-2 years of experience in a biology laboratory. Protein purification experiences is a plus.
Basic understanding of protein purification, molecular biology, biochemistry and virology
Able to learn new skills quickly
Basic knowledge of laboratory procedures, established techniques, instruments and equipment.
Basic understanding of Universal Precautions and Basic Lab safety
Able to repeat a procedure in the laboratory multiple times in exactly the same way
Works well in a team environment
Highly self-motivated, with excellent organizational skills and critical-thinking skills
Skilled with use of word processing, spreadsheets, graphical and presentation software applications


There are physical/mental demands and work environment characteristics that must be met by an individual to successfully perform the essential functions of the job. This information is available upon request from the candidate.

Reasonable accommodations may be made to enable individuals with disabilities to perform all essential functions.

Emergent BioSolutions is an Equal Opportunity/Affirmative Action Employer and values the diversity of our workforce. Emergent does not discriminate on the basis of race, color, creed, religion, sex or gender (including pregnancy, childbirth, and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, age, national origin, ancestry, citizenship status, marital status, physical or mental disability, military service or veteran status, genetic information or any other characteristics protected by applicable federal, state or local law.

Information submitted will be used by Emergent BioSolutions for activities related to your prospective employment. Emergent BioSolutions respects your privacy and any use of the information submitted will be subject to the terms of our Privacy Policy .

Emergent BioSolutions does not accept non-solicited resumes or candidate submittals from search/recruiting agencies not already on Emergent BioSolutions' approved agency list. Unsolicited resumes or candidate information submitted to Emergent BioSolutions by search/recruiting agencies not already on Emergent BioSolutions' approved agency list shall become the property of Emergent BioSolutions and if the candidate is subsequently hired by Emergent BioSolutions, Emergent BioSolutions shall not owe any fee to the submitting agency.

buttontextd24067979861e38d a{ border: 1px solid transparent; } .buttontextd24067979861e38d a:focus{ border: 1px dashed #c11d4b !important; outline: none !important; }",https://www.linkedin.com/jobs/view/externalApply/2486180332?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F8g84ts6-org%3Fcs%3Dizn%26jg%3D2wj5%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=aLnc&refId=8f11518f-2f8d-4e3b-b50c-b221d3dbd6fe&trackingId=YfvYOReZpSGPb3J0eR0vgQ%3D%3D&trk=public_jobs_apply-link-offsite
