title,company,location,requirements,link
Engineering Intern,FM Global,"West Glocester, RI","Overview

More information about this job:

Sitting on over 1,600 acres in Western Rhode Island, The FM Global Research Campus is one of the world’s most innovative research and testing centers, including the Fire Technology Laboratory, which is the largest facility of its type. The research carried out in the Fire Technology Labs, Remote Test Site, where explosion tests are conducted and FM Approvals laboratories, help FM Global learn more about fire and explosion hazards. Our objective is to use these findings to increase technical knowledge and capabilities needed to provide state-of-the-art loss prevention solutions to FM Global and its customers.

Responsibilities

The Research Engineering Internship provides a student with the opportunity to participate in Engineering and research projects throughout the campus supporting the campus and Approvals laboratories and systems that facilitate building, preparing, and conducting intermediate and large-scale fire, explosion tests, sprinkler, equipment testing and process automation system maintenance. While working under the supervision of a Research Engineer, this internship offers the student an opportunity to assist with and progress scientific and engineering projects by performing the following duties:
Intern will study under the mentorship of Mr. Richard Fortier, Senior Lead Research Engineer, FM Global Research Campus.
The internship focus will be on Research Capital and Expense projects, assisting the project manager in subcontractor monitoring, change order preparations, construction plan checking, submittal review, document control, quality control and safety monitoring.
The intern will assist in monitoring automation system performance and system/sub system documentation review and drawing modifications.
Intern will also at times study under the mentorship of Dr. Stan Kostka Senior Research Scientist at our FM Global Research Office in Norwood Mass on a Sprinkler Event Detection project, with his time sheets and reporting under Mr. Richard Fortier throughout the internship.

Qualifications
Be enrolled and in a college or university and working towards an associate, bachelor, or master’s degree in science, engineering, or technology
It is beneficial if the candidate is skilled with AutoCAD, LabView, Microsoft Office Applications or similar (Word and Excel at a minimum), and adept with computer usage
The applicant must be willing and comfortable working outside and with their hands in seasonal conditions, as well as inside large fire testing laboratories which may be wet and sooty
It is desirable for the applicant to be familiar with hand tools and have some basic mechanical skills
The student must be a good communicator in a team environment and have a desire to learn new skills
The student must be able to provide his/her own transportation to and from campus",https://www.linkedin.com/jobs/view/externalApply/2470857046?url=https%3A%2F%2Fjobs%2Efmglobalcareers%2Ecom%2Fjob%2F-%2F-%2F474%2F6467133504&urlHash=SHpL&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=qk5ip7vpzseVg5kAVAuaZQ%3D%3D&trk=public_jobs_apply-link-offsite
System Engineering Intern,Twitch,"Remote, OR","About Us

Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We’re always live at Twitch. Stay up to date on all things Twitch on LinkedIn , Twitter and on our Blog .

About The Role

The Twitch Video Core Services team is responsible for building, scaling and maintaining critical infrastructure services (LDAP, DNS, Service Discovery, etc.) for the live and on-demand video platform underlying Twitch and Amazon Interactive Video Service (IVS).

These services are vital to ensuring Twitch and Amazon can solve some of the most challenging problems in the industry. If you would like to work in a challenging engineering environment where every new project is a learning opportunity, you've come to the right place!

As an intern, you'll dive headfirst into the deep end of the pool. You'll own a project from start to finish and your dedicated Mentor, Manager, and Advisor will be beside you every step of the way. You'll also participate in leadership and interpersonal development curriculum and gain industry knowledge from top Twitch executives in fireside chats. Add to this cohort trips, weekly advisory and service opportunities and you've got a packed summer.

You Will
Contribute to internal system design and implementation discussions
Find and build unique solutions to implement projects from the idea phase to production
Test and iterate infrastructure as code before and after production release
Connect with intern peers, new teammates, and colleagues from across the business
You Have:
Eagerness to investigate challenges and present reasonable solutions reliably and quickly
Excitement to pick up a new technologies and be productive with them in a week
Desire to work collaboratively in a team environment
BA/BS Graduation Year: 2022 OR 2023 (No Masters/PhD)

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

The pay range for this position in Colorado is $96,750 -$152,250 yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.",https://www.linkedin.com/jobs/view/externalApply/2323083367?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Ftwitch%2Fjobs%2F4987447002%3Fgh_src%3D0c4ebc182%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=4chN&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=eM0intdnrpWj%2BsRxr7fpfw%3D%3D&trk=public_jobs_apply-link-offsite
Systems Engineering Intern,Lockheed Martin,"Stratford, CT","Description:The Sikorsky System Engineering Department is seeking candidates for System Engineering intern assignments for the 2021 Summer. Assignments will be report to Sikorsky facilities in the Connecticut (possibility of remote work).

Assignments will be in a cross-functional team environment encompassing a full range of product/project system engineering activities including working with design, development, testing and support of helicopter product line. Candidates must display an ability to think logically, communicate a clear understanding of their subject matter and offer informed suggestions to improve processes; respect individual differences and utilize the diverse thinking and contributions of all team members/employees.

The system engineering candidate will assist the system engineering project team in following areas:
Development and management of system design requirements
Establishment and maintenance of relational databases
Development, statusing and closure of risks mitigation plans
Collection and reporting of metrics
Assignment and statusing of action items
Assessment of impact of requirements or design change impacts
Support of presentations
Basic Qualifications

Pursuing a Bachelors or Master's degree and should have completed 2 semesters of study in any of the following majors: Aerospace, Electrical, Mechanical or Computer Engineering, System Engineering, Engineering Mechanics, Engineering Science, Materials Science or Computer Science from an accredited college.

Desired Skills

Minimum GPA 2.5 of higher preferred, but not required.

A working knowledge of Microsoft Office (Word, Excel, PowerPoint, Outlook and Project) applications is strongly desired. Strong communication and organizational skills are required to work effectively in the System Engineering department. Proficiency in DOORS requirements management application and model based systems engineering practices is a plus (MBSE). Proficiency in MS access is a plus. Ability to read and interpret written and verbally communicated requirements is required. The candidate must possess the ability to work independently under direction of leadership.

Job.Qualifications

BASIC QUALIFICATIONS:

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.

Experience Level

Co-op/Summer Intern",https://www.linkedin.com/jobs/view/externalApply/2449073747?url=https%3A%2F%2Fwww%2Elockheedmartinjobs%2Ecom%2Fjob%2F-%2F-%2F694%2F18930111&urlHash=HkbE&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=TPnmJbB7ShMu346DXyi43g%3D%3D&trk=public_jobs_apply-link-offsite
Controls Design Engineering Internship,Apple,"Cupertino, CA","Summary

Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Dynamic, amazing people and inspiring, innovative technologies are the norm here. The people who work here have reinvented entire industries with all Apple Hardware products. The same passion for innovation that goes into our products also applies to our practices strengthening our commitment to leave the world better than we found it. Join us to help deliver the next groundbreaking Apple product. Do you love working on challenges that no one has solved yet? As a member of our dynamic group, you will have the unparalleled and rewarding opportunity to craft upcoming products that will delight and support millions of Apple’s customers every single day.


The people here at Apple don’t just build products, they create the kind of wonder that’s revolutionized entire industries. The people who work here have reinvented and defined entire industries with our products and services. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Be ready to make something excellent when you come here. Dynamic, inspiring people and innovative, industry-defining technologies are the norm at Apple. The same passion for innovation also applies to our business practices, strengthening our commitment to leave the world better than we found it.


Apple's Platform Architecture group is seeking a highly motivated Controls Engineering intern with a strong software background, to participate in the development of complex thermal management algorithms. In this role, you will have the opportunity to work with a cross-functional team developing software that will ship to millions of Apple devices.


Key Qualifications

Proficiency in C++ is a must

Experience implementing Control Systems in Embedded Microcontroller platforms


Deep knowledge of classical and modern Control Systems theory: optimal robust control, adaptive control, model predictive control


Proficiency in scripting languages such as Python/MATLAB is preferred


Strong interpersonal and verbal/written/presentational skills


Description

We are seeking a highly motivated Controls Design Engineer to take part in the development of new thermal control algorithms. The candidate will be responsible for developing system identification techniques to predict hotspot temperatures. The intern will also work on developing and implementing self tuning controllers and linear/nonlinear state observers to be used in our closed-loop thermal management architecture. The role also involves working with the software team to ensure a robust controller implementation.



Education & Experience

Pursuing graduate degree (M.Sc. or Ph.D.) in Electrical Engineering, Robotics, Mechanical Engineering, Aerospace Engineering or Computer Science with an emphasis in controls or robotics. You are additionally required to return to school after the internship to continue or complete your education, or an internship needs to be required for graduation from your school. You also qualify if accepted into a graduate program after graduation.


Role Number: 200193815",https://www.linkedin.com/jobs/view/externalApply/2463056002?url=https%3A%2F%2Fjobs%2Eapple%2Ecom%2Fen-us%2Fdetails%2F200193815%3Fboard_id%3D17682%26cid%3Dscrape_co_us_linkedin_nationwide_students&urlHash=NWtT&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=LabECEWw6J%2B%2FdzSvdb0Ywg%3D%3D&trk=public_jobs_apply-link-offsite
Systems Engineering Intern,Texas Instruments,"Dallas, TX","About TI

As a global semiconductor company operating in 35 countries, Texas Instruments (TI) is first and foremost a reflection of its people. From the TIer who unveiled the first working integrated circuit in 1958 to the more than 30,000 TIers around the world today who design, manufacture and sell analog and embedded processing chips, we are problem-solvers collaborating to change the world through technology. Put your talent to work with us - change the world, love your job!

About The Job

In this system engineering intern role, you’ll be part of the device development team and will work on the following:
Understanding and optimizing the opto-electronic device performance based on TCAD simulations and Si experiments
Verifying and refining TCAD simulations based on measured device performance
Providing simulation and measurement data for PDK model generation
Competitive analysis through data collection and analysis
Put your talent to work with us as a system engineering intern - change the world, love your job!

Minimum Requirements

Currently pursuing a PhD degree in Electrical Engineering, Computer Engineering, Electrical and Computer Engineering or related field
Minimum Cumulative 3.0/4.0 GPA
Must have understanding of and experience with system design, including writing IC design specifications, developing algorithms and creating system reference models
Knowledge of structured and/or object oriented programming (C, C++) and signal processing tools (Matlab)

Preferred Qualifications

Demonstrated analytical and problem solving skills
Strong written and verbal communication skills
Ability to work in teams and collaborate effectively with people in different functions
Strong time management skills that enable on-time project delivery
Ability to build strong, influential relationships
Ability to work effectively in a fast-paced and rapidly changing environment
Ability to take the initiative and drive for results

If you are interested in this position, please apply to this requisition.

Texas Instruments is an equal opportunity employer and supports a diverse, inclusive work environment. All qualified applicants will receive consideration for employment without regard to protected characteristics, including race, color, religion, sex, national origin, disability, veteran status, sexual orientation, gender identity or age. Engineering",https://www.linkedin.com/jobs/view/externalApply/2479067647?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3D210001DM%26ClientCode%3D18658&urlHash=E7b2&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=EuMlQa00CXUkzhRP%2BUUhoA%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern - One Engineering System,Microsoft,"Redmond, WA","Virtual Internship

Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship.

Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

One Engineering Systems group at Microsoft has a vision of improving developer productivity and satisfaction by improving the the engineering infrastructure, processes and tools. Most of our research projects are designed to result in a publication, which is especially valuable for PhD students. However, all our projects also focus on internal impact for Microsoft, that means solving real world industry problems.

Responsibilities

Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.

Qualifications

In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.

Required Qualifications
Must be currently enrolled in a PhD program in Computer Science or a related STEM field in United States or Canada

Preferred Qualifications
Demonstrated ability to conduct research in the form of high quality publications and tools.
Shown interest and experience in working on challenging problems related to software engineering and or machine learning
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/externalApply/2464865221?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F961403%2FResearch-Intern-One-Engineering-System%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=-v8j&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=2FSGaCK9XDuC7uUWZgPIQw%3D%3D&trk=public_jobs_apply-link-offsite
System Test Engineering Intern - Remote (Summer 2021),Splunk,"New York, NY","Splunk is the Data-to-everything platform! Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we’re committed to our work, customers, having fun and most meaningfully to each other’s success.

Role

Splunk has an immediate opportunity for a System Test Engineering Intern, focusing on Large-Scale System Testing and Tools. You will work a dynamic team of architects and System Engineers with the responsibility to ensure that we deliver high quality solutions to meet the business needs of Splunk customers. Working experience in the native cloud software delivery environment is a huge plus.

Responsibilities
Review PRD, ERD and provide constructive feedback to the team
Define, develop, perform and automate large scale system level testing on Splunk Enterprise and Cloud products
Ability to understand Customer Use cases and ensure Splunk product quality in a large sophisticated environment
Demonstrate test experience in following areas on a distributed
Upgrade and migration
Interoperability
Stability
Reliability
Scalability
Documents systems-level defects, using Jira tracking system, and reports defects to developers. Analyze and pinpoint the issue, and help resolving the issue
Identifies, analyzes, troubleshoots, and documents problems with program function, output, or content.
Develops testing programs that assess efficiency of a new system or modification of an existing system.
Demonstrates knowledge in automation frameworks in a test environment. Additionally, the job involves testing in a lab environment, designing and implementing test setups and automation.

Requirements
Very good understanding of computer science fundamentals with emphasis on data structure and algorithmic knowledge
Expert or has taken master level class for Operating systems
Highly proficient in scripting languages (Python) and ability to code review (C/C++/Java)
Comfortable with Linux, Docker containers, Kubernetes, Prometheus, AWS/GCP/Azure, GIT, Artifactory in terms of both tools and systems administration
Experience with big data platforms and building blocks Hadoop, MapReduce, Spark
Experience with data streaming technology Kafka, Flink is also preferred
Experience in distributed computing system and stack
Highly motivated and demonstrates the ability to find root cause of system level issues
Experience in tackling problems of load, scale, and optimizations of complex large-scale deployments

Extended Qualifications
Experience in SaaS, CloudNative software companies and projects
Education
Currently pursuing a Bachelor's degree in Engineering, Information Systms, Computer Science, or related field or Master’s in Computer Science and/or Electrical Engineering or equivalent experience is preferred. Student must be going back to school in the fall and graduating December 2021 or later.
Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we’re committed to our work, customers, having fun and most importantly to each other’s success. Learn more about Splunk careers and how you can become a part of our journey!",https://www.linkedin.com/jobs/view/externalApply/2474479112?url=http%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fc%3DqPW9Vfwz%26j%3DoaJ4efwV%26k%3DApply%26s%3DLinkedIn%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=i4Fg&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=eb9kWEvgfwyt3oH2WFoL%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
Embedded Engineer Intern,Sloan,"Andover, MA","Req ID: 8377

Sloan is the world’s leading manufacturer of commercial plumbing systems and has been in operation since 1906. We are at the forefront of the green building movement and provide sustainable restroom solutions. We manufacture water-efficient products including flush valves, electronic faucets, soap dispensing and sink systems along with vitreous china fixtures for commercial, industrial and institutional markets worldwide.

Sloan is looking for an Embedded Engineer Intern to join our Andover, MA office for the summer. The intern will learn microcontroller base embedded hardware and firmware design for Sloan sensor product testers.

Responsibilities
Thermal sensor array data processing for occupancy detection ---Thermal image data collection and processing
Optical noise tester --- wide band optic light generation and measurement
True feedback Flushometer bathroom test platform --- People activity analysis and auto report generation
True feedback cycle tester --- Sloan sensor reliability testing and auto report generation
Over air bootloader system (option)---IoT firmware update tool


Requirements
Pursuing at least a Bachelor’s Degree in Electrical or Computer Engineering
Knowledge with Altium software
Knowledge with analog and digital circuit
Knowledge with Microcontroller
Programming language C, C++, Python

We offer a highly competitive compensation and benefits package, including:
Medical, dental, vision, Rx coverage for employee plus eligible dependents
Life and AD & D insurance, dependent life insurance, long term disability, and HSA, FSA
Employer matching 401K, PTO, holidays, EAP, wellness programs, on-site medical staff and fitness center


We Are Proud Partners With The Chicago Cubs

We are a Legacy Partner of the Chicago Cubs and we are proud to be the organization’s official water efficiency partner! Through this relationship, which includes the naming rights to Sloan Park, the Cubs’ Spring Training facility in Mesa, Arizona, we have had the opportunity to promote our brand and continue our water conservation efforts in the city of Chicago and around the world

JOIN AN INDUSTRY LEADER!

For additional company information please visit our website at www.sloan.com .

We Are An Equal Opportunity Employer.",https://www.linkedin.com/jobs/view/externalApply/2443037574?url=https%3A%2F%2Fjobs%2Esloan%2Ecom%2Fjob%2FAndover-Embedded-Engineer-Intern-MA-01810%2F718849500%2F%3Flocale%3Den_US&urlHash=t4i3&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=UDVnHID1RfFnThEMkXxXsg%3D%3D&trk=public_jobs_apply-link-offsite
"Systems Integration Engineering Intern (Remote, Summer 2021)",Virgin Hyperloop,"Los Angeles, CA","Virgin Hyperloop is hosting a remote internship program this summer!
Internship length & time frame: 10-12 weeks during the summer of 2021
Two available start dates: 5/31/21 & 6/21/21
Availability: interns must be available for 40 hours/week (sorry, no overtime!)
Compensation: all internship positions have a fixed hourly rate of $19.00/hour
Eligible applicants: applicants must have current work authorization for the United States (U.S.-based student visas are eligible). Applicants without current work authorization unfortunately cannot be considered.
**Location: this is a completely remote program; due to economic constraints related to tax implications, we are only accepting applicants residing in the states of California or Nevada.

To connect the world, we must reflect the world. At Virgin Hyperloop, we’re bringing together unique perspectives, empowering our community to celebrate all voices, and creating equal opportunities to build, grow, and thrive.

WHY WE NEED YOU

The System Integration Team is responsible for organizing the final delivery of the hyperloop pod from Design to Manufacturing teams. This involves regular communication and alignment with all sub-systems design teams, ensuring their designs are prepared and ready to deliver to final assembly. The role focuses on the development of a broad skillset including but not limited to, Mechanical Design, Manufacturing, Assembly, Project Management, Testing/Research, and Electrical System Modeling. We are seeking candidates with curiosity, initiative, and the willingness to learn to join our team of skilled, diverse individuals to deliver one of the most challenging transportation applications on Earth!

What You'll Do
Create, update, and maintain computer-aided design (CAD) models of components, assemblies, and corresponding engineering drawings in Siemens Unigraphics NX.
Provide updates and report on vehicle-level clash, mass, and vehicle dynamic properties.
Regularly communicate with Responsible Engineers (REs) about design updates and revisions.
Investigating use-cases for expanding advanced manufacturing methods (3D printing, laser cutting, etc.) for future development.
Support assembly team in various activities such as: Generating installation requirements, Standard Operating Procedures (SOPs), Tooling design, Virtual build visualization.


What You've Done
Enrolled in or recently graduated from an accredited undergraduate or graduate degree program of study in mechanical engineering or related field.
Some experience with the detailed mechanical design of systems that require Geometric Dimensioning & Tolerancing (GD&T) to ensure form, fit, and function.
Strong understanding of engineering design fundamentals (problem statements, requirements, constraints, objectives, evaluating design alternatives, etc.)
Familiarity with manufacturing, assembly, and fabrication methods.
Experience designing, building, and testing mechanical assemblies through personal, extracurricular, or individual projects.
Skilled in 3D CAD software (NX preferred, SolidWorks, or Catia)
In addition, the candidate must possess the following characteristics:
Excellent problem-identification and problem-solving skills.
Team oriented: you are comfortable and energized by working in a team with a wide variety of backgrounds and skillsets. You welcome constructive feedback and different perspectives. You desire to truly understand the goals and needs of your teammates.
Dynamic and creative: you thrive in a fast-paced environment where several interdependent technologies are being developed simultaneously.
You welcome the challenge of generating ideas and performing analysis based on inputs and requirements that are subject to change.
Ability to learn quickly, make decisions, and effectively work independently to meet challenging deadlines.
Excellent written and verbal communication skills
Ability to understand and interpret a variety of abstract and concrete variables and provide solutions to difficult problems.


For full information on how your personal information will be stored and processed, please click here.",https://www.linkedin.com/jobs/view/externalApply/2484834891?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fhyperlooptechnologies%2Fjobs%2F3032267%3Fgh_jid%3D3032267&urlHash=GziH&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=ge%2Bse%2BWMqLDKbf4VMH%2F%2BFA%3D%3D&trk=public_jobs_apply-link-offsite
Systems Engineering Intern- Summer 2021,Johnson & Johnson,"Redwood City, CA","At Johnson & Johnson, we use technology and the power of teamwork to discover new ways to prevent and overcome the world’s the most significant healthcare challenges. Our Corporate, Consumer Health, Medical Devices, and Pharmaceutical teams leverage data, real-world insights, and creative minds to make life-changing healthcare products and medicines. We're disrupting outdated healthcare ecosystems and infusing them with transformative ideas to help people thrive throughout every stage of their lives. With a reach of more than a billion people every day, there’s no limit to the impact you can make here. Are you ready to reimagine healthcare?

Here, your career breakthroughs will change the future of health, in all the best ways. And you’ll change, too. You’ll be inspired, and you’ll inspire people across the world to change how they care for themselves and those they love. Amplify your impact. Join us!

We are currently hiring for a Systems Engineering Intern to work in our Redwood City, CA location! We are a technology company defining the future of medical intervention. By combining advancements in medical robotics, instrumentation, navigation and data science, we are building a platform technology capable of expanding the applicability of robotics to a spectrum of medical procedures! You will understand the system from both a technical perspective and the user’s viewpoint, and drive definition and development of the Monarch system. We are looking for a candidate who can work independently and function well within a team. The candidate is flexible, self-motivated, curious and passionate about revolutionizing the world of medical robotics.

Job Responsibilities:
- Serve as a liaison between clinical/marketing, program management, and the engineering design teams
- Translate clinical and business needs to system requirements for engineering definition of the system
- Generate use cases, trade studies, and risk assessments to facilitate systematic trade-off decisions and robust engineering solutions
- Develop test methods to accurately characterize, and verify the system design against performance requirements
- Build prototypes and fixtures for data acquisition and analysis
- Work cross-disciplinarily to provide hands-on system troubleshooting and debugging
- Utilize sound engineering methods and documentation processes to perform design reviews and failure mode analyses",https://www.linkedin.com/jobs/view/externalApply/2440248341?url=https%3A%2F%2Fjnjc%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3D2105893721W&urlHash=x5_z&refId=7c86b547-b6fd-41ac-a164-4b2574d9b8ae&trackingId=%2FPfm9VZv45vm9R8Z7x5bcg%3D%3D&trk=public_jobs_apply-link-offsite
