title,company,location,requirements,link
Social Media Intern,Saks OFF 5TH,"New York, NY","What This Position Is All About

The Social Media Intern, reporting to the Manager, will be responsible for supporting the Social Media Team in everyday initiatives relating to the Saks OFF 5TH social channels.

The Social Media Intern will help with content creation, image selection, and reporting and analytics. The ideal candidate will have a positive attitude, a creative eye and exceptional writing skills, all while being detail-oriented, results-driven, organized, and a dependable team player.

This is a part-time internship (20-25 hours per week) between Monday through Friday with no determined end date. There is schedule flexibility based on the Intern’s class schedule and the Intern has the option to work remotely.

Who Are You
Strong verbal and writing skills
Strong time and project management with exceptional attention to detail
Demonstrated ability to handle multiple projects simultaneously and meet tight deadlines
Self-motivated, proactive, and energetic individual with a high level of initiative and thrives working a fast-paced, challenging digital environment


You Also Have
Basic knowledge/background of e-commerce, social media marketing, and best practices
A third or fourth year student pursuing a Bachelor’s Degree in Marketing or Communications
Strong proficiency in Excel (including creating Pivot Tables/formulas), Word, and PowerPoint
Basic Adobe Photoshop experience would be a plus
Availability to work 20-25 hours per week, Monday through Friday (there is schedule flexibility based on class schedule and the option to work remotely).


As The Social Media Intern, You Will
Own our content calendar across all existing social media channels & manage postings.
Manage all projects and process docs to ensure streamlined workflow between social and internal departments.
Develop an optimal posting schedule, considering web traffic & customer engagement metrics.
Own community management responding to comments & actively engaging with customers & influencers posts.
Pull and analyze platforms’ reporting and analytics
Research best practices and industry insights, and proactively recommend best practices
Stay abreast of changes in all social platforms ensuring maximum effectiveness.
Build strong relationships with both external social media vendors and internal departments (i.e. Creative, Merchandising, Site Team, etc.)
Managing and monitoring all local Saks OFF 5TH social channels across Facebook and Instagram
Provide weekly recaps and insights on page performances to help optimize local strategy
Additional responsibilities as required


Your Life And Career At Saks OFF 5TH
Be part of an empowered, innovative team; work with an adventurous spirit and a customer-centric mindset; play a critical role in making decisions that will position us to win
Exposure to rewarding career advancement opportunities across different functions within our corporate offices, retail stores, photo studios, and distribution centers
A culture that promotes a flexible work environment
Benefits package for all eligible full-time employees (including medical, dental and vision)
An amazing employee discount and other exciting perks


Thank you for your interest with Saks OFF 5TH. We look forward to reviewing your application.

Saks OFF 5TH provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Saks OFF 5TH complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Saks OFF 5TH welcomes all applicants for this position. Should you be individually selected to participate in an assessment or selection process, accommodations are available upon request in relation to the materials or processes to be used.",https://www.linkedin.com/jobs/view/externalApply/2473692454?url=https%3A%2F%2Fwww%2Ecareershbc%2Ecom%2Fen%2Fjob%2F210001AH%2FSocial_Media_Intern%3Fsrc%3DSNS-102&urlHash=Pl0Z&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=2aRM7SfXUYi3WGOeo7QLxg%3D%3D&trk=public_jobs_apply-link-offsite
Marketing & Social Media Intern,Farm.One,"New York, United States","This is a paid, flexible, part-time role for a talented, visionary intern looking to build experience in marketing and social media in the food scene.

Founded in 2016, Farm.One is a global pioneer of indoor vertical farming. The company’s mission is to surprise and delight our Members with fresh, local, specialty ingredients and amazing experiences. The job of our marketing is to grow our audience of Members and fans of Farm.One around the world.

Role & Responsibilities
Manage the company’s social media accounts and post content
Brainstorms campaign ideas
Monitor various social media platforms such as Facebook, Instagram, and Twitter
Analyze analytics to gauge the success of campaigns and conduct basic reporting
Understand the overall concept of the company, our brand, customer, product goals, and all other aspects of service
Engage with customers or clients and provides service and/or sales
Provide suggestions to management for improving customer experience on social platforms and internal processes
Learns and becomes proficient on internal software systems


Requirements
Ability to create a real, honest and engaging cover letter or a visual presentation that persuades us you're the right person to take Farm.One's social media to the next level

Benefits
This is an hourly position paying $17/hour
May develop into full-time, permanent position, initial engagement is for 3-4 months",https://www.linkedin.com/jobs/view/externalApply/2473692454?url=https%3A%2F%2Fwww%2Ecareershbc%2Ecom%2Fen%2Fjob%2F210001AH%2FSocial_Media_Intern%3Fsrc%3DSNS-102&urlHash=Pl0Z&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=2aRM7SfXUYi3WGOeo7QLxg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media & PR Intern,Formlabs,"Somerville, MA","To reinvent an industry, you have to build the best team. Join Formlabs if you want to bring groundbreaking professional 3D printers to the desktop of every designer, engineer, researcher, and artist in the world.

Communications at Formlabs supports the storytelling and marketing of the company's mission, products and people. Communication crosses many departments and disciplines - content, social media, design and more.

If you have a passion for communicating stories and a desire to understand and learn more about the 3D printing industry, then we want you as a Social Media and PR Intern.

The Job
Assist in the creation and copywriting of incredible content from product launches to blogs and whitepapers
Help to maintain and organize our content calendar, assist in project managing team-wide efforts, and work across teams to ensure we can pull off amazing and ambitious content.
Contribute to and support PR output efforts with research, deadline tracking, and content writing
Track the 3D printing industry for media and social media ideas
Work with other marketing teams to highlight, promote and share exciting work
Support reporting results and creatively approach new reporting standards
Help grow our business through creative thinking and optimization of ongoing efforts
Understand intricacies of a booming industry


You
Passionate, driven, and ready to take on any challenge
Social media fluent and tech savvy
A deep understanding of platforms
Excellent communication and interpersonal skills
Fluent and fast at copywriting
Ability to think creatively and produce superb work under multiple deadlines
Masterfully prioritize and manage time tasks
Strong desire to learn and implement PR strategies
An interest in gaining hands-on social media experience


Bonus Skills (Optional)
Prior PR experience
Experience working in a startup
A passion for technology
Social media management skills and an understanding of the latest trends and what's next

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Even if you don't check every box, but see yourself contributing, please apply. Help us build an inclusive community that will change the face of 3D printing",https://www.linkedin.com/jobs/view/externalApply/2495173792?url=https%3A%2F%2Fgrnh%2Ese%2F6a8bb62a1us&urlHash=6RsB&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=Wym7k5VvNPTMvyiFmdOsvg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Pursuit,"New York, NY","Pursuit is a growing advertising agency based in New York City specializing in luxury real estate development. We’re looking for a creative Social Media Intern to work in our Social Media department this summer!

** Please Note: This is an unpaid internship for school credit.

The Social Media Intern is responsible for social engagement, crafting reports, and assisting / supporting the social media team with research and brainstorming for creative campaigns.
To be successful as a Social Media Intern you must have excellent attention to detail and knowledge of social media platforms, as well as great time management, multitasking, and organizational skills.

Daily tasks include:
Work with the Social Media team to create and implement campaigns
Monitor / report on analytics with social media team to identify viable ideas
Help create engaging social media content 
Provide support to our social media team at live events
Engage DAILY on client accounts to generate growth and awareness
On-going research
Content publishing


Skills needed:
Must be extremely detail-oriented
Excellent oral and written communication skills
Experience in social media/marketing
Self-starter who is able to think quickly, critically and work well with a team.
In-depth working knowledge of Facebook, Twitter, Instagram, Instagram Stories, TikTok YouTube, Snapchat, Pinterest and LinkedIn
Experience with social media analytics, including Facebook Insights
Basic knowledge of Photoshop is a plus but not required
Basic knowledge of photo research and editing is ideal",https://www.linkedin.com/jobs/view/externalApply/2495173792?url=https%3A%2F%2Fgrnh%2Ese%2F6a8bb62a1us&urlHash=6RsB&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=Wym7k5VvNPTMvyiFmdOsvg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,"BioFilm, Inc.","Vista, CA","BioFilm Inc is Hiring!!

Email Your Resume today to HR@biofilm.com

We are seeking a creative and data-driven Social Media Intern to play an integral role in helping shape, grow, and execute our social content strategy, as well as to provide support to the Marketing Team and Creative Agency on content creation, posting, and social listening.

As an intern, you'll be given a hands-on role in content creation and social media strategy for TikTok and other emerging social channels. You’ll also provide support for our existing social media channels including Instagram, Twitter, Facebook, Pinterest, LinkedIn, and YouTube.

This is a 6-month paid internship opportunity, 20-25 hours per week**

The 5 Key Roles Are
Support development of ASTROGLIDE brand TikTok channel including content strategy and planning.
Create content for social channels with a primary focus on TikTok, and occasional content for other platforms: Instagram, Facebook, Twitter, Pinterest, YouTube, and LinkedIn.
Research and identify social media trends and pitch social strategy to support seasonal and evergreen campaigns.
Review social media analytics to identify top-performing content and areas of opportunity.
Support influencer marketing campaigns.

Essential Duties & Responsibilities
Help create content as dictated by the monthly editorial calendar. Assist with the design of social media images/graphics including images and video.
Assist with development of social media engagement tactics and execution of social media strategy to help grow followers, engagement, and referral traffic to our website.
Collaborate with the Marketing Team and Agency to keep an eye on what’s trending and make recommendations for specific editorial content based on observations.
Research, identify, and pitch new avenues for social media and influencer marketing. Assist in executing influencer marketing campaigns, as needed.
Get acquainted with social media management platforms and analytics, in order to extrapolate and inform future tactics and strategies.
This job description is not intended to be an exhaustive list of the responsibilities for this role. Other responsibilities may be added from time to time.

Qualifications & Experience
Well versed and engaged with current social media trends and technologies such as Tiktok, Instagram, Twitter, and Facebook. TikTok experience is a must.
Working knowledge and an interest in influencer marketing.
Creative thinker with an eye for design with regard to social media photos and videos, and have an appetite for learning new skills.
Experience in social media techniques and strategy (e.g. personal blog, YouTube channel, previous internship or professional experience).
You love a challenge and are always looking at what the current winning trends are on social and jump in on those trends.
Working knowledge of basic photo editing and experience with image/video editing software/platforms like Canva.
Basic knowledge of video content creation and YouTube.
Proven writing skills, with meticulous attention to detail.
Ability to read, write and speak fluent English.
Able to recognize and resolve problems quickly using sound judgment and diplomacy.
Ability to lift up to 35 pounds.
Able to stand, stoop and bend.
Able to sit at desk and use/view computer for prolonged periods of time, up to 10 hours daily.
Work Environment
Fast paced with multi-level distractions
Non-smoking
Professional, yet casual work environment
Office Environment

Special Conditions
Ability to work extended hours as needed.
Must be comfortable creating content focused on sexual health and wellness for all genders.

A privately-held company founded in 1991, BioFilm, Inc., manufactures and distributes high-quality personal health products under the Astroglide brand. BioFilm continually researches consumer needs and develops innovative, high-quality healthcare products to enhance intimate activities.

Headquartered in Vista, CA, our manufacturing facility is home to sales, marketing, research & development, quality control, regulatory affairs, and distribution.",https://www.linkedin.com/jobs/view/externalApply/2495173792?url=https%3A%2F%2Fgrnh%2Ese%2F6a8bb62a1us&urlHash=6RsB&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=Wym7k5VvNPTMvyiFmdOsvg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern 2021,Supermajority,"New York, NY","Position Summary

Women are on the cusp of becoming the most powerful force in America. But to fundamentally transform this country, we need to pull together the millions of women who are already engaged and amplify and expand their civic engagement. Supermajority Education Fund is building women's power across the country by training and mobilizing a multiracial, intergenerational community who will lead the fight for gender equity. We provide women with the tools, resources, and knowledge they need to channel the energy and activism of this moment and build it into a long-term movement for change.

Since our founding in April 2019, Supermajority Education Fund and our related 501(c)(4) organization, Supermajority, have reached more than a million women through in-person conversations and online outreach. In August 2019, over 75,000 people from all 50 states completed our Women's* Poll, which led to the creation of the Majority Rules, a set of values to help us build the country we deserve. In September and October 2019, the Supermajority Education Fund Bus Tour met up with thousands of women across fourteen states. In December 2019 welcomed Pantsuit Nation, an online community of more than 3 million women and allies, into our organization. In 2020, we ran the country's largest woman-to-woman voter engagement program by offering strategic digital tools, training, and information to women and allies around the country. In 2021, we are continuing the work of engaging and mobilizing women across the country, in the wake of the coronavirus pandemic and it's disproportionate impact on women, specifically women of color.

Supermajority Education Fund is seeking two Social Media Interns who will support the Social Media Manager with daily execution of Supermajority Education Fund's social media platforms and with executing a small network of partner creators. All duties can be conducted virtually during the COVID-19 pandemic.

Responsibilities And Tasks

The Social Media Interns will be responsible for the following responsibilities:
Drafting, scheduling and posting social media content for Supermajority's social channels in daily collaboration with the Social Media Manager
Provide community management support on our social channels by responding to replies/direct messages, liking and commenting across channels and replying to partners/aligned activists
Being a thought partner with fellow members of the Communications and Brand team in brainstorming content ideas and content execution
Working across Supermajority's Communications and Brand team to execute content including aligned partner activations, breaking political/policy news and recruitment for events and other volunteer opportunities
Assisting the team with research, operations and administration, as needed


Required Skills, Knowledge, And Qualifications
Knowledge of and demonstrated proficiency in social channels: including but not
limited to Facebook, Twitter, Instagram, TikTok, Youtube and Clubhouse. Expertise in one particular social media channel over others is great as well!
Strong writing and social skills: is able to consolidate information for digital copy and will ask questions and for help when needed
Strong virtual communication and collaboration skill: Comfort with (or willingness to learn) daily interactions within Slack, Google Suite -- is responsive via email, and willingness to participate in group calls as their schedule permits.
Curiosity about politics, emerging technology and social media trends: and is excited to dig into ways to creatively engage young women and women of color with audience-first content that speaks to their lives and journeys on Day 1
Working for racial equity: Willingness to integrate an understanding of key racial equity concepts into work projects and interactions by addressing structural implications and disproportionate impacts of policies, activities, and decisions on race, class and other group identities within the context of the internship's responsibilities and projects

The strongest candidates will also have some of the following skills and experience:
Familiarity with Supermajority Education Fund's mission and brand and/or has an invested interest in building women of color's power and voice online
Familiarity with Instagram: Highlights, Stories, Reels, Guides and/or Lives.
Beginners experience with Excel, Powerpoint and/or Canva -- OR a strong willingness to gain skills in these areas
A beginners understanding of using Photoshop, Indesign, video editing and/or social-first video content creation -- OR a strong willingness to gain skills in these areas
Experience creating TikToks and a working knowledge of TikTok trends, top creators and algorithm


Compensation
Hourly rate for this position is $15/hour, 20 hours per week.


How To Apply

Please submit a resume by Friday, April 16th via the link above. Candidates may be asked to submit writing samples and/or complete a written assessment as part of the interview process. Applications will be reviewed as they are received.

New Venture Fund Careers
Supermajority Education Fund is a project of the New Venture Fund (NVF), a 501(c)(3) public charity that incubates new and innovative public-interest projects and grant-making programs. NVF is committed to attracting, developing and retaining exceptional people, and to creating a work environment that is dynamic, rewarding and enables each of us to realize our potential. NVF's work environment is safe and open to all employees and partners, respecting the full spectrum of race, color, religious creed, sex, gender identity, sexual orientation, national origin, political affiliation, ancestry, age, disability, genetic information, veteran status, and all other classifications protected by law in the locality and/or state in which you are working.

Supermajority Education Fund collaborates and shares resources with Sixteen Thirty Fund's Supermajority project.",https://www.linkedin.com/jobs/view/externalApply/2486957591?url=https%3A%2F%2Fgrnh%2Ese%2F21ee182a2us&urlHash=0Q4G&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=Y%2B0At0q16NPATdVNNo%2BIxQ%3D%3D&trk=public_jobs_apply-link-offsite
Social Media and Influencer Marketing Intern,Creator Deck,"New York, NY","About Creator Deck

http://www.creatordeck.com

Creator Deck is an innovative influencer media company specializing in creating useful and personalized content that resonates with highly defined customer niches. Creator Deck Media capitalizes on its core values to care more, be credible, create impact, and think forward to elevate and inspire its clients and the media space.

The Team

Creator Deck is a team founded by innovative thinkers who wanted to disrupt industry standards. These values have continued to be part of the core values of our team, as we look for people who can think outside the box and find creative solutions to challenges that arise. What you can expect from us is a group of people from various backgrounds who enjoy the collaborative creative processes that goes into creating anything from a picture or video to a marketing strategy to a full fledged brand. From our office in the heart of downtown San Francisco, we work tirelessly for our clients, but also pursue interests ranging from photography, interior decoration, hiking, cats, travel, and snowboarding.

The Role

Creator Deck is looking for a Social Media and Influencer Marketing Intern who is all about staying up to date with social media influencers and creators. While we pride ourselves in having one of the biggest influencer networks in the industry, we're also looking for a new team member who can help us spot who the rising stars in the space are.

The intern will be working closely with our media team to do market research, manage relationships with influencer partners, and create engaging content for our brand partner's websites and social channels as well as internal social channels for B2B marketing. The ideal candidate would be someone who is not afraid to put on different hats and willing to go the extra mile to get a job done.

Your Duties As An Intern Include

Identifying social media creators and influencers for various campaigns in the fashion, beauty, food/spirits, arts and crafts space

Keeping up-to-date with the latest social media trends and provide insights on trending content

Reaching out to creators and influencers and liaising between influencers and the team/brand clients

Writing creative briefs to ensure proper creative execution

Helping coordinate PR gifting operations

QAing content before and during campaign launch to ensure that content meets brand standards

Analyzing and reporting on success metrics for campaigns

Competitive research and analytics on social media marketing campaigns

Jumping in on projects as they come!

Reach Out To Us If You Are

A social media maven who knows how to manage different social networking sites

Someone who spends hours on YouTube, Instagram, Twitter, TikTok and beyond, keeping tabs on who the rising stars are

In-the-know when it comes to identifying which cool brands are on social media and what they are doing

Someone who has a keen eye for detail

Able to work on Microsoft Office, including Powerpoint/Excel (bonus for Adobe Creative Suite skills!)

A Team Person Who Has Awesome Communication Skills

Always finding yourself juggling multiple tasks at once (and doing an awesome job at it!)",https://www.linkedin.com/jobs/view/externalApply/2495280935?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fcreatordeck%2F940ef899-7706-4438-9f5e-25e7b1156ebb%2Fapply%3Flever-source%3DLinkedIn&urlHash=gNWt&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=1jF6obe3gkgnvLDLEUaBcg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Marketing Intern,Rael,Los Angeles Metropolitan Area,"Rael is a VC-backed clean feminine care and skincare startup with a mission to empower women to make safe, healthy choices for their bodies. Unlike conventional pads and tampons, Rael products are non-irritating, hypoallergenic, chlorine-free, fragrance-free, and toxin-free - all without sacrificing quality, comfort or performance.
  The company was founded in 2017 by three women with distinct backgrounds — a journalist and bestselling author, a movie distributor at Disney with a Harvard MBA, and an architect-turned-art director. Once we launched our organic cotton pads on Amazon, we quickly became #1 brand in its organic pad and liner category. Now we offer not only organic feminine care products, but also clean, vegan skincare products including facial sheet masks, pimple patches, and skincare essentials. Rael products are available to purchase at GetRael.com, Target, Amazon, Walmart.com, Urban Outfitters, Walgreens, and more.
  Rael is for women, by women, and we’re growing rapidly to become a global brand. If you believe in our cause and are a self-starter and go-getter, consider joining us to be inspired and challenged every day and create something meaningful for women all around the globe!

Note: We’re currently working from home, but there may be occasions when you meet with the marketing team for collaboration. We'll take all the necessary precautions for Covid-19 if that needs to happen. 
   Job Description

What we seek:
Rael is seeking a dynamic and energetic college intern with a strong interest and passion for Social Media. The Social Media Intern will help with TikTok content creation, seeking and identifying key influencers, and supporting the Marketing team with everyday initiatives relating to Rael’s social channels. We would like you to be full of creative ideas and eager to learn about Social Media and Influencer Marketing.  The ideal candidate will have a positive attitude, a creative eye, and exceptional writing skills, all while being detail-oriented, results-driven, organized, and a dependable team player. This is an excellent opportunity to expand marketing skills in a collaborative and fast-paced working environment. Most importantly, we would like you to genuinely love our products, brand and have a passion for the cause we believe in.
  What you will do
●       Monitor TikTok trends and help conceptualize, pitch, and create multiple TikTok videos every week for Rael’s TikTok channel
●       Seek out key micro influencers to invite into Rael’s Affiliate Program and help grow our program with weekly outreach
●       Support our Marketing team with identifying key influencers for paid campaigns across Instagram and TikTok
●       Coordinate influencer sample requests with Rael’s warehouse
●       Research and propose social media tactics to deploy across social platforms
  Qualifications:
●       Current college sophomore, junior or senior studying Communication studies, Marketing, Advertising, or a related field
●       Passionate & knowledgeable about social media. Experience with Instagram, Facebook, Pinterest, and/or TikTok is a huge plus
●       Strong content creator with experience making TikTok videos
●       Ability to film and edit video content from home (with Rael provided equipment)
●       High aesthetic bar to consistently delight our users and elevate our positioning
●       A true self-starter; unafraid to ask questions and clarify misunderstandings
●       Strong attention to detail
●       Comfortable working in the Google Suite of products: Gmail, Google Sheets, Google Docs.
●       Able to work independently, taking ownership & accountability over your work, while working in collaboration with and having access to team members who will provide advice and guidance
●       Committed to interning for at least 3 months (part-time)
●       Note: please include links to social media handles and/or any content you’ve created that you are proud of in your resume.

Preferred:
●       Comfortable being on camera for TikTok content",https://www.linkedin.com/jobs/view/externalApply/2495280935?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fcreatordeck%2F940ef899-7706-4438-9f5e-25e7b1156ebb%2Fapply%3Flever-source%3DLinkedIn&urlHash=gNWt&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=1jF6obe3gkgnvLDLEUaBcg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Chegg Inc.,"Manchester, NH","Social Media Intern
Remote, United States

As our Social Media Intern, you will leverage our social media platforms to build brand awareness and drive engagement amongst our audiences. You’ll work closely with internal teams to uphold our social media customer service experience, act as the face and voice of our business, and infuse our tone throughout our social media platforms. You will interact daily with our social media communities and play a key role in the development of social media strategies and content.

Responsibilities
Work alongside the Social Media Team to help execute monthly social media strategies
Assist in the growth of the brand through existing social media platforms (Instagram, Twitter, Facebook, LinkedIn)
Develop new ideas and strategies for expansion on new social media platforms (Pinterest, Tik Tok, YouTube)
Interact with followers and potential customers by communicating and answering questions through the company's social pages
Provide creative insight into topics to be included in monthly editorial calendars and seek creative ways to spread our message
Deliver feedback on content performance
Collaborate with the Marketing team, attend relevant meetings, and understand how social fits into broader marketing strategy and goals

Requirements
Majoring in business, marketing, journalism, advertising, public relations, or a communications-related field
Some social media management experience
Extremely strong written and verbal communication skills
Strong customer service experience with proven ability to solve problems
High-level understanding of social media analytics
Excellent attention to detail and a high motivation to learn
Comfortable working with Microsoft Office and Slack
Energetic, creative, resilient, and team-oriented
Entry-level understanding of marketing strategy
Ability to work 40 hours per week
Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2419657277?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWZEEFWH%2F&urlHash=WqtJ&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=pKKVPNst4RiGmj3jzxAF8A%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Nicholas New Media,"Los Angeles, CA","Hello, 

A science-based production company is expanding and looking for two interns. This is a paid position. Below is a description. Above all else, a great attitude and a willingness to learn is what we are looking for! 

Producer Description 

3 days a week on average. Can work remote on occasion but could be needed on set, and in the field.
Manage Social Assets and Post to Social Media 
Contribute creative ideas (optional)  ",https://www.linkedin.com/jobs/view/externalApply/2419657277?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWZEEFWH%2F&urlHash=WqtJ&refId=4c80424e-f006-4bc5-9901-e20a06faa4bb&trackingId=pKKVPNst4RiGmj3jzxAF8A%3D%3D&trk=public_jobs_apply-link-offsite
