title,company,location,requirements,link
Corporate Intern - Strategy/Internal Consulting,"Ross Stores, Inc.","Dublin, CA","Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!

General Purpose

As a Corporate Intern at Ross you will have the opportunity to experience the world of off-price retail and be a part of a growing Fortune 500 company. This position is based in Dublin, California at our corporate headquarters. This internship prepares students for a potential career in retail, allowing you a real-world perspective on a career at Ross. Interns will gain insight into the objectives of their department and the daily responsibilities of an analyst at Ross.

Skills

The ideal Intern candidate for the Strategy Department will have an interest in management consulting and business strategy and will possess the following skills

Intellectual curiosity (candidate proactively pursues learning opportunities)
A clear understanding of basic business, financial, statistical, and economic concepts
Strong analytical and problem solving skills
Strong written and oral communication skills
Able to work effectively both individually and as a member of a team

The Strategy Intern will gain exposure to multiple areas of the business, interaction with Senior Leadership, project management experience and the opportunity to learn new software.

Strategy Serves Two Main Functions

""Internal consulting"": Strategy supports other departments on projects where they do not have either the capacity or the analytical capabilities to do the work themselves. Strategy's role includes managing cross-functional teams, breaking down complex problems, and communicating with executives.
Business strategy: Strategy is responsible for analyzing the external environment (competitors, consumer preferences, and the economy) in an effort to develop long-term strategic growth options and competitive responses to industry forces.

Examples Of Possible Projects Include

Business performance drivers - Analyze various performance metrics (often at the store level) including sales, transactions, and inventory
Consumer research - Conduct and analyze quantitative and qualitative consumer research in order to better understand our customers' attitudes and behavior (e.g. which product categories are most important to shoppers, how do customers view Ross vs. our competitors)
Cross-functional initiatives - Collaborate with other departments to conduct analyses for key executive-level priorities (e.g. new store format improvement, roll-out strategy for new business opportunities)

Intern Program Outline

The Ross Intern program is a 10-week full-time program (40 hours per week) for college level Juniors, starting in early June ending mid-August. The Intern Program will cover training on project related responsibilities, ownership of a department related project as well as exposure to senior leadership and other departments within Ross corporate.

The main component of the internship will be to analyze a business project within your department while participating in daily department activities. Interns will be expected to present a final project analysis and presentation.

Competencies
Problem Solving
Communication
Learning on the Fly
Time Management
Integrity
Excel / PPT Skills

Qualifications And Special Skills Required
Must currently be enrolled in 4-year college degree program; must currently be in Junior standing with expected graduation between December 2021 and August 2022
MS Office with strong practical application of Excel skills
Ability to demonstrate use of PowerPoint skills
Strong analytical skills with spreadsheet applications
Strong written and verbal communication skills
Able to work in a fast paced environment
Organized and detail-oriented
Retail experience a plus

Physical Requirements/Ada

Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.

DISCLAIMER
This position description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.",https://www.linkedin.com/jobs/view/externalApply/2478000236?url=https%3A%2F%2Fjobs%2Erossstores%2Ecom%2Fsearch%2Fjobdetails%2Fcorporate-intern---strategyinternal-consulting%2F44d87711-7451-4677-913b-d1ab251710ee%3Futm_campaign%3Dlinkedin_organic%26utm_source%3Dlinkedin%26utm_medium%3Dorganic_job_board&urlHash=rTsB&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=e9XR20Gaq20DBRjaKy9sTQ%3D%3D&trk=public_jobs_apply-link-offsite
Corporate Strategy Intern,Chegg Inc.,"Providence, RI","Corporate Strategy Intern

Corporate Development and Strategy Team | Chegg
Remote, United States

Your goal - to improve the education process and better the lives of students -- by interning in Chegg’s Corporate Development and Strategy group.

Organization: Corporate Development and Strategy

The Corporate Development and Strategy team is an integral part of Chegg - We work closely with the C-team to develop and execute the company’s overall strategy. Execution of strategy includes making decisions around whether the company should buy, build or partner, and therefore is closely tied to the Corporate Development function. Our small team is comprised of analysts, strategists, thought leaders, relationship builders, and dealmakers. The team drives to an understanding of relevant markets, builds out the landscape, sources deals, negotiates and closes transactions, and then develops and manages the integration plan. We also conduct market and competitive research into education trends and areas of future opportunity.

Role: Corporate Development and Strategy Intern

We’re looking for a highly motivated intern to help our team work on strategic projects in concert with the company’s business and product leaders. You will conduct research in support of our strategic roadmap and work across a number of business units, including Learning Services, Skills, and Life. The right candidate will be a self-starter with strong organizational skills and have the ability to think critically about industry and company trends.

Responsibilities
Research EdTech trends to help determine areas of opportunity and further develop our thesis on the education market and its competitive landscape
Analyze other education companies and make assessments regarding their potential as partners, competitors, investment candidates, or acquisition opportunities
Support strategic initiatives such as international expansion, product and audience expansion, partnerships, and investment opportunities
Partner with business and product leaders to develop business cases
Present key findings and recommendations to executives

Requirements
A rising sophomore or junior currently pursuing a bachelor’s degree in business, finance, economics, or a related field from an accredited four-year college or university
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder).
Have the ability to work for a continuous 12 weeks in the summer
Have the ability to work 40 hours per week
Strong analytical and communication skills
Advanced knowledge of MS Office (Outlook, Excel, Word, and PowerPoint)
Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple teams; interest in Chegg’s mission
Ability to think critically and work autonomously in both well-defined and ambiguous project environments

Nice To Have
Experience with market research and business analysis
Demonstrated passion for education and technology
Project or internship experience in investment banking, private equity, venture capital, or consulting
Project or internship experience in the education industry
What project will the intern work on?

The strategy intern will support a variety of initiatives, including contributing to the strategic planning of Chegg’s expansion into new international markets for our Learning Services and Skills business units and new non-academic verticals related to our Life business unit. Through primary and secondary research, the intern will develop an understanding of our focus markets, map the competitive landscape in each of these markets, and meaningfully shape Chegg’s entry strategy in these markets. Through their support of these initiatives, the intern will work closely with the Strategy & Corporate development team, as well as cross-functionally with a variety of Chegg’s business units.

What skills will the intern gain?
Advanced Excel
Market research
Business analysis
Basic accounting

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2446378403?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OYHTEFWW%2F&urlHash=Jmsy&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=UqSK4ZhBv3wq7v7QqT1ktg%3D%3D&trk=public_jobs_apply-link-offsite
Consulting Intern,Woodard & Curran,"Sacramento, CA","At Woodard & Curran, there’s nothing we love more than a tough engineering challenge. We handle a wide range of water and environmental issues—solving complex problems with creativity and tenacity. That’s how we make a difference to our clients, people, and planet. Our company was founded on a simple concept: provide a safe and enjoyable place to work with opportunity, integrity, and commitment, and we will attract talented people. Those people are at the heart of our firm, solving some of the most pressing water and environmental challenges for our clients.

Responsibilities

We are looking for a motivated Software Engineering Intern to join our company. If you want to jumpstart your career and expand your skills while working alongside talented experts, then this is the opportunity for you! You will be involved with project work from your first day, working side-by-side with experienced engineers, planners, and scientists to help clients address their water and environmental challenges. Exercise your creativity and problem solving skills in a supportive environment where every perspective is valued. We are a mission-driven organization that puts our people first, with a culture that focuses on providing meaningful work, engaging challenges, recognition, and reward.

Duties and responsibilities vary based on level of experience and project expectations. An intern will generally shadow experienced professionals and participate as a member of a team by contributing to actual projects. Interns are able to apply what they have learned “from the classroom” via experience based-learning.

This Internship Position will be based in our Sacramento, CA Office.

Qualifications

The ideal candidate will be a second or third year Computer Science, Computer Engineering, Engineering, Mathematics, or similar with interest in environmental, sustainability, or water resources data management t.

You will need to attach a professional cover letter, as well as your resume. Your resume should include your GPA as well as a sample of courses that you’ve taken at college.

Woodard & Curran is an Affirmative Action/Equal Opportunity Employer.

Woodard & Curran is a Drug Free Work Place.

Individuals with Disabilities and Protected Veterans are encouraged to apply.
PLEASE USE A WEB BROWSER OTHER THAN INTERNET EXPLORER IF YOU ENCOUNTER ISSUES (CHROME, FIREFOX, SAFARI)",https://www.linkedin.com/jobs/view/externalApply/2458058123?url=https%3A%2F%2Fosv-wc%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FWoodardCurran%2Fjob%2FSacramento-CA%2FConsulting-Intern_R01418&urlHash=Ybe4&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=MHja5Acnm9NRkWFai3xNAQ%3D%3D&trk=public_jobs_apply-link-offsite
Consulting Preview - Senior Associate Intern - Summer 2021,PwC,"Boston, MA","Line of Service: Advisory
Time Type: Full-time
Available for Work Sponsorship: Yes
Travel Requirements: Up to 80%
At certain point of your studies you are making decisions about your future career considering all kinds of information, listening to friends and close people, but there is nothing like your own experience. An internship at PwC not only offers an opportunity to build your skills and confidence, but also to work on client projects that give you insight into who we are and what we do whether for our clients, the economy, or the wider community. Working alongside specialists in your chosen business area, you’ll be a valued member of the team, with graduate level responsibility. You’ll be assigned to client projects to develop your understanding of what we really do and you’ll build networks with your colleagues and peer groups. Whichever business area you choose, we’re sure you’ll find this a worthwhile investment of your time. Be it the clients; the people; the networks; or the social events, you’ll be surprised at the skills you’ll develop and how much you’ll learn. Opportunity is at the heart of a career at PwC and our Internship offers just that.

To really stand out and make us ﬁt for the future in a constantly changing world, each and every one of us at PwC needs to be an authentic and inclusive leader, at all grades/levels and in all lines of service. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

Responsibilities

PwC Professional skills and responsibilities for this management level include but are not limited to

As an Intern / Trainee, you’ll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution.
Learn about how PwC works as a business and adds value to clients.
Think broadly and ask questions about data, facts and other information.
Use tools, techniques and firm standard methodologies to support research, analysis and problem solving.
Produce high quality work which adheres to the relevant professional standards.
Keep up-to-date with technical developments for business area.
Communicate confidently in a clear, concise and articulate manner - verbally and in written form.
Embrace diverse perspectives and welcome opposing and conflicting ideas.
Uphold the firm’s code of ethics and business conduct.
Basic Qualifications

Job Requirements and Preferences:

Minimum Degree Required

Master of Business Administration

Additional Educational Requirements

To be eligible for this Internship, students must be entering into their 1st year of MBA school, pursuing a Masters in Business Administration.

Other

To be eligible for Consulting Preview, students must self-identify as a member of either traditionally underrepresented racial and ethnic minority groups within the professional services industry (Black or African-American, Hispanic or Latino, American Indian or Alaska Native, Native Hawaiian or Other Pacific Islander, or two or more races), or a Protected Veteran, and/or an individual with a disability.

Minimum Years Of Experience

3 year(s)

Preferred Qualifications

Additional Educational Preferences:

Preferred cumulative GPA: 3.3

Preferred major GPA: 3.3

Preferred Knowledge/Skills

PwC's Consulting Preview is a two week internship from July 12 - July 23. Please refer to the following website for more information: pwc.to/consultingpreview.

All qualified applicants will receive consideration for employment at PwC without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital, or citizenship status; or any other status protected by law. PwC is proud to be an affirmative action and equal opportunity employer.

For positions based in San Francisco, consideration of qualified candidates with arrest and conviction records will be in a manner consistent with the San Francisco Fair Chance Ordinance.",https://www.linkedin.com/jobs/view/externalApply/2455904886?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F438405794%3B254302458%3Bm%3Fhttps%3A%2F%2Fjobs%2Eus%2Epwc%2Ecom%2Fjob%2F-%2F-%2F932%2F19006705%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcore_media%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=eLhy&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=K9wHajZ46BExm019atRFRA%3D%3D&trk=public_jobs_apply-link-offsite
Business Process Consulting Intern Undergrad,Kaiser Permanente,"Pasadena, CA","Description

Lay the groundwork for a dynamic future with an industry leader. At Kaiser Permanente, you'll forge lasting relationships with colleagues across the organization while enjoying the opportunity to grow your experience and hone your expertise on assignments that have real impact. Our interns have worked on everything from analyzing financial software and developing new marketing strategies, to designing mobile apps and helping clinicians improve care delivery. We want you to get the most out of your time here and will give you projects that challenge you to think freely, question thoroughly, and explore deeply.

Essential Functions
Contributing to a designated project or initiative to meet a KP business objective.
Report development and analytics.
Project management - planning, execution, and measurement.
Learning new applications needed to complete assignments or support the execution of business objectives.
Job shadowing in other functional areas.
Performing additional duties as required.
Department Function

Our team, Strategic Consulting and Program Execution (SCPE), is part of the Kaiser Health Plan national program office within Membership Administration and Benefits Administration. We provide consulting services, business solution design, and program management for cross-functional, national (or multi-regional) project. Our team is comprised of a diverse groups of individuals skilled in program and project management, business solution design, project/program implementation, and change leadership. We have a team culture that is grounded in honesty, respect, partnership and openness.

Project Description

As an Intern, you may be responsible for a set of deliverables, leading an internal initiative, or supporting a project or program. Essential Functions: Contributing to a designated project or initiative to meet a KP business objective. Report development and analytics. Project management - planning, execution, and measurement. Learning new applications needed to complete assignments or support the execution of business objectives. Job shadowing in other functional areas. Performing additional duties as required.

Preferred Skills

Some of the key skills you will have: Aptitude to perform data and process analytics and formulating solutions. Project planning and management Solution design and development and testing Developing and recommending solution options and alternatives Presentation and communication at various levels Business Impact and Risk analysis Working knowledge of MS Word, Excel, PowerPoint.

Experience

Basic Qualifications:
N/A
Education
Pursuing a bachelor's degree or have graduated from an accredited university within the last year.
High School Diploma or General Education Development (GED) required.
License, Certification, Registration
N/A
Additional Requirements
Aptitude to perform data and process analytics and formulating solutions
Working knowledge of MS Word, Excel, PowerPoint.
Preferred Qualifications
3.0 GPA or above.
Advanced analytical and problem-solving skills.
Proven ability to build effective working relationships as well as strong interpersonal skills.
Excellent verbal and written communication skills
Ability to learn quickly and experience producing high quality work in short periods of time.",https://www.linkedin.com/jobs/view/externalApply/2441662744?url=https%3A%2F%2Fwww%2Ekaiserpermanentejobs%2Eorg%2Fjob%2Fpasadena%2Fbusiness-process-consulting-intern-undergrad%2F641%2F18962025&urlHash=nygQ&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=p4k0mRmLrtmo%2BfOyJMoc%2Fw%3D%3D&trk=public_jobs_apply-link-offsite
Consulting Intern,"Domo, Inc.","American Fork, UT","We are Domosapiens- uniquely skilled, passionate data lovers anchored in a culture of connectivity. We are transforming the way business is managed by putting real-time data into the hands of every decision maker across organizations. Diversity is valued here because homogenized teams create echo chambers; and nobody benefits from that. The insight garnered from diverse backgrounds, perspectives and lived experiences results in pioneering innovations across the organization and better experiences for our customers. The more diverse our talent, the more impactful the Domosphere becomes.

Position Summary:

Working as a member of Domo's Client Services team, the Consulting Intern will work on customer-facing projects – focused on discovering customer needs, designing solutions, data connection, ETL, and dashboard building.

Key Responsibilities:

Manage relationships with Domo customers. Help them implement the Domo platform. Work closely with Domo Customers to understand their technical and business needs and devise solutions to solve for those needs.
Connect and transform (using Domo's ETL tools) customer datasets that will be used to provide data insights critical to customers' business.
Own communications with the customer throughout the implementation process.
Become highly capable using the Domo platform.

Job Requirements:

In pursuit of a Bachelor's Degree in a technical field (Information Systems, Computer Science, Statistics, or another related field, etc.).
Strong knowledge and skill at writing SQL queries and extensive exposure to SQL-centric work.
Evidence of participation in at least one data analytics project, which may include visualizations, presentations, reports, etc.
Very strong communication skills and experience working directly with customers.
Ability to demonstrate creative problem solving and independently generate solutions using analytical skills and technical knowledge.
Basic understanding of project management.
Ability to thrive in a fast-paced environment and embraces change, creativity, and flexibility.
Capable of learning and adapting quickly to varied requirements.

Domo is an equal opportunity employer.",https://www.linkedin.com/jobs/view/externalApply/2456203494?url=https%3A%2F%2Fgrnh%2Ese%2Ff21b04b91us&urlHash=LFOG&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=jQdb7BC7lSyV8PTYUZnLyg%3D%3D&trk=public_jobs_apply-link-offsite
Boston College 2021 Campus Summer Intern,Ankura,"Boston, MA","Ankura is a team of excellence founded on innovation and growth.

About Ankura: Ankura is an expert services firm defined by HOW we solve challenges. Whether a client is facing an immediate business challenge, trying to increase the value of their company or protect against future risks, Ankura designs, develops, and executes tailored solutions by assembling the right combination of expertise. We build on this experience with every case, client, and situation, collaborating to create innovative, customized solutions, and strategies designed for today’s ever-changing business environment. This gives our clients unparalleled insight and experience across a wide range of economic, governance, and regulatory challenges. At Ankura, we know that collaboration drives results.

Position: Ankura Summer Intern

Description: The Summer Internship Program has been created to give students an opportunity to learn what life as a consultant is like at Ankura. As an Intern, you will work on a variety of projects with different engagement teams. The program aims to give you exposure to the breadth of our services and client work. You will work closely with our professionals – Consultants through Director – and gain first-hand experience in consulting.

Business Groups
Construction, Disputes & Advisory: As a Construction Intern, you will develop analytical skills while being immersed in the world of client services. Construction Interns work directly with project team leaders and experts, assisting our experts in performing the detailed analyses required to provide the best solutions for our clients. Interns perform project schedule, cost, productivity, and statistical analyses as well as assist with review of key project issues through document review and database creation/management.
Data & Technology: Interns will be engaged on a variety of projects, internal initiatives, training opportunities and technical challenges, office-wide intern projects, and various social events. The internship program is focused on providing interns with the opportunity to learn about Ankura and the industry, learn and utilize new skills, and develop relationships. Interns will have the opportunity to learn, use, or gain exposure to a wide variety of programs, platforms, and programming languages, including SQL, Python, C#, VBA, and Tableau.
Disputes & Economics: Intern assignments will involve work in fact-finding, allocating costs, analyzing damages, organizing information, or helping to manage data. You will also learn new skills and participate in social and volunteer activities throughout the summer.
Risk, Forensics & Compliance: An ideal intern candidate should have an interest in forensic accounting, investigations, litigation consulting, as well as other related areas described above. Responsibilities will include applying technical accounting, forensic accounting, and analytical skills to various client situations. As an intern, Ankura will provide the opportunity to experience a variety of projects working collaboratively on small, diverse teams with skilled, intelligent, driven, and successful individuals.
Turnaround & Restructuring: T&R is an exciting, fast-paced environment in which our professionals’ partner with clients to address critical issues including over-levered balance sheets, liquidity constraints, unprofitable business units, and adverse industry conditions. Clients rely on Ankura professionals to solve complex challenges with the expectation that they will quickly assess the situation, develop a strategic plan, and effectively execute the turnaround. Our Summer Interns will be an integral part of our project teams.
Qualifications: Pursuing a Bachelor’s Degree in Engineering, Computer Science, Data Analytics, Business Analytics, MIS, Accounting, Finance, Economics, Mathematics, Statistics, or another analytical area of study; analytical problem-solving skills and a collaborative mindset; ability to utilize technology to solve complex problems

Ankura is proud to be an equal opportunity employer committed to fostering a diverse and inclusive environment where mutual respect and collaboration is paramount. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity and expression, disability, protected veteran status, national origin, or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2386755711?url=https%3A%2F%2Fankura%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FAnkura%2Fjob%2FMassachusetts%2FBoston-College-2021-Campus-Summer-Intern_R101306&urlHash=VQrf&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=Kgehgy79xl%2B6Ljok0Lj11g%3D%3D&trk=public_jobs_apply-link-offsite
Intern,Segal,"New York, NY","About Segal

For nearly 80 years, Segal has been providing employee benefits and human resources consulting for multiemployer trust funds, corporations and public sector
organizations. Segal is an independent privately and employee-owned firm. Our independence allows us to provide unbiased consulting services for our clients.
Headquartered in New York City, Segal has offices throughout the United States and in Canada. We are a smaller organization that provides a more intense and
broader exposure for development purposes within a culture that is highly collegial and team-oriented. You will work with colleagues who are smart, professional,
talented and...nice people. We also offer a competitive pay and benefits package that includes a Defined Benefit pension and matching 401(k) plans.

The Opportunity: The intern will be treated as an integral member of the practice and we look to expose the intern to assignments that will develop understanding of the consulting environment, and specifically, analytical and strategic work relating to our Higher Education Vertical.

Key Responsibilities: The Intern will collaborate closely with members of the practice.Responsibilities include conducting research on the Internet relating to updating our CUBS database and developing analyses and findings.

Key Requirements: We seek a highly skilled candidate who is a business, economics, or math major, and who can work independently, with minimal supervision.The Intern must have excellent written and oral communication skills, take initiative, interact well with staff at all levels, and have excellent computer and internet research skills.Previous work experience in a professional service environment is desirable but not mandatory.

Affirmative Action/Diversity Inclusion At Segal

At Segal, we are committed to a culture of diversity and inclusiveness, as demonstrated through our recruitment, retention and employee development programs. We maintain an environment that respects and builds on the assets and talents of each person, valuing their differences. We also engage in good faith efforts to maintain an environment free from discrimination and harassment in strict compliance with applicable laws, and consider all qualified candidates for employment without regard to their race/ethnicity, national origin, color, religion, gender, sexual orientation, gender identity or expression, age, disability or medical condition, protected veteran or military status, criminal record history, marital status, or status in any group or class protected by applicable federal, state or local law. We also engage in affirmative action to employ and advance in employment qualified women, minorities, disabled individuals and protected veterans. Maintaining a diverse and inclusive workforce is a win/win, and provides Segal with the opportunity to leverage our top talent to provide innovative solutions to our clients.

Primary Location

US-NY-New York

Work Locations

Manhattan

Job

Temp. Work – Special Project Worker/Hourly

Organization

New York Corporate

Schedule

Temporary

Shift

Special Project Worker

Employee Status

Experienced Level

Job Type

Full-time

Travel

No

Job Posting

Mar 26, 2021, 11:33:53 AM",https://www.linkedin.com/jobs/view/externalApply/2478937559?url=https%3A%2F%2Fsegalco%2Etaleo%2Enet%2Fcareersection%2Fsegalextwqm1011%2Fjobdetail%2Eftl%3Fjob%3D27440&urlHash=B0u6&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=LX6CnTIXmE79UZGAs6nymw%3D%3D&trk=public_jobs_apply-link-offsite
Lex Frieden Change Management Consulting Intern - Summer 2021,"Anthem, Inc.","Atlanta, GA","Description

SHIFT: Day Job

SCHEDULE: Full-time

Your Talent. Our Vision. At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care.

This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health care companies and a Fortune Top 50 Company.

Anthem Seeks Innovative, High Energy Problem Solvers To Work With And Learn From Cross-functional Teams As We Transform The Way We Generate Value For Our Customers By

Creating proactive and personalized experiences for customers

Driving cross-functional connectivity in what, why, and how we deliver to our stakeholders

Rethinking how, where and by whom work gets done to make a difference in the communities we serve

Building accountability for delivery of people, process, and technology improvements and subsequent value realization

Advancing key behaviors and mindset changes to scale customer-centricity across the enterprise

Accelerating organizational change as a change management champion

Our internship program is designed to strengthen your understanding of the healthcare industry and prepare you for future opportunities through:

Meaningful work contributions aligned to our efforts to improve stakeholder experiences

Leadership exposure and networking opportunities

Targeted training and enrichment experiences that develop your business acumen and provide deep insight into the many facets of healthcare

Connections to enterprise and business unit intern cohorts

Focused and intentional mentoring and support from a team that is fully invested in your success

Access to our extensive training and development resources, tools and classes

Examples Of Past Intern Projects Include
Artificial intelligence pilot to predict patient care needs
ID card pilot for address management system
Change management training module creation and rollout
Salesforce intake and workflow creation
Clinical decisioning framework development


Qualifications

Successful consulting intern candidates are:
Pursuing a Master’s degree at an accredited college or university in one of the following fields: Business Administration, Behavioral Economics, Finance, Organizational Development and Change or Human Centered Design
Anticipating a December 2021 or May 2022 graduation date
Achieving a 3.0 GPA
Prior interns or associates in the healthcare industry (preferred)
Intellectually curious self-starters with the ability to work in a fast-paced, flexible team environment
Experienced leaders in student or volunteer organizations


Desired Skills Include
Excellent verbal and written communication
Superb problem-solving skills using logic and data
Critical thinking and analytical skills
Data analytics and data visualization skills
Advanced user of Microsoft Excel, PowerPoint and Word; experience with Visio
Process improvement, including problem definition, measurement system implementation, data analysis, application of process centric methodologies/tools; Six Sigma certification preferred
Project management, including project plan development, time/budget management, risk management, template development, milestone tracking
Change management, including application of ADKAR change management principles


Anthem, Inc. is ranked as one of America’s Most Admired Companies among health insurers by Fortune magazine and has been named a 2019 Best Employers for Diversity by Forbes. To learn more about our company and apply, please visit us at careers.antheminc.com. An Equal Opportunity Employer/Disability/Veteran. Anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all Anthem positions.",https://www.linkedin.com/jobs/view/externalApply/2485354618?url=https%3A%2F%2Fanthemcareers%2Ettcportals%2Ecom%2Fjobs%2F6533136-lex-frieden-change-management-consulting-intern-summer-2021%3Ftm_job%3DPS47772%26tm_event%3Dview%26tm_company%3D2522%26bid%3D56&urlHash=HzAY&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=GGvczvSzjJZ6lSDMtS4Qeg%3D%3D&trk=public_jobs_apply-link-offsite
Strategy Consultant Intern (NC),FMI,"Raleigh, NC","FMI’s Management Consulting Group is seeking a high-energy, self-motivated individual with solid consulting skills to join its team as an intern during the summer of 2021. We work alongside leading firms across the Built Environment as they face a wide range of strategic issues. If you are passionate about solving complex problems, serving clients, and making an impact on the direction and trajectory of industry leading firms, we look forward to talking with you.
 This is a full-time, paid internship in our Raleigh, NC, corporate office, requiring a commitment of 40 hours per week for a period of 8-10 weeks over the summer.

Responsibilities
Working effectively with people at all levels across in a client organization, including senior-level executives
Meeting demanding client deadlines while overseeing engagements with multiple clients simultaneously
Working collaboratively with internal and external team members to assess client needs and develop actionable solutions
Ensuring a great client experience through responsive client communication
Contributing to the development of new client solutions and consulting frameworks
Writing articles for publication in industry publications
Performing other duties as assigned

Qualifications
Pursuing an MBA from an accredited top-tier college or university required; Bachelor’s degree in engineering or building construction a plus
3-5 years of professional work experience and strong consultative skills
Exceptional analytical and quantitative problem-solving skills and experience
Proven leadership skills and the ability to exercise sound independent judgment
Ability to work in an entrepreneurial environment, both individually and as a team player
Demonstrated project management skills
Excellent written and verbal communication, listening, interpersonal and relationship-building skills
Construction experience a plus",https://www.linkedin.com/jobs/view/externalApply/2485354618?url=https%3A%2F%2Fanthemcareers%2Ettcportals%2Ecom%2Fjobs%2F6533136-lex-frieden-change-management-consulting-intern-summer-2021%3Ftm_job%3DPS47772%26tm_event%3Dview%26tm_company%3D2522%26bid%3D56&urlHash=HzAY&refId=c6cc050b-14ba-442c-b68b-e7ad9fdc2536&trackingId=GGvczvSzjJZ6lSDMtS4Qeg%3D%3D&trk=public_jobs_apply-link-offsite
