title,company,location,requirements,link
Investment Analyst Intern,Brookfield Properties,"Cleveland, OH","Your Team

Our Investment Analyst Intern will be joining Vice President, Investment Analysis, Jeffrey Morrow and Manager, Investment Analysis Cody Dearth in supporting the Company’s acquisition and development activities of multifamily residential, mixed-use, retail, entertainment, and other real estate investments, servicing internal customers (i.e. Senior Management, Portfolio Manager, Acquisitions Team, Development Team, etc.) with financial analysis, and performing other key duties described in more detail below.

Your Key Deliverables

Existing Development Projects

Create and maintain development project financial projections (pro forma) using Microsoft Excel and other tools. Information is gathered and compiled internally from developers, tax credits department, residential and commercial management teams, marketing, real estate tax group, construction, and legal. Outside sources for information include cities/municipalities/states/federal programs, consultants, outside counsel, brokers, among others.
Perform variance analysis to communicate and explain changes from benchmark and prior investment packages.
Participate in preparation of materials for Investment Committee.
Prepare analysis, reporting, and variance explanations
Prepare and present analysis results in a clear and concise manner.
Work with management to understand go-forward budgets based on actuals, comparing that with our original underwriting.
Create ad-hoc property-specific analyses.
Analyze financial performance of potential and current properties and portfolios and prepare/present investment and strategic planning recommendations.
Provide internal and external partners with reporting and analysis as needed.

Market Research & Analysis Tools/Models

Review and analyze industry surveys and benchmarks, economic and demographic trends.
Complete market research and analyze in-depth industry, market and competitor research (primary and secondary).
Work with development and financial analysis teams to new create tools and improve processes.

Must Haves

Intermediate Level of Microsoft Office and more specifically Microsoft Excel
Ability to analyze problems and recommend solutions
Ability to plan and organize
Interest in real estate management
High sense of urgency and ability to work independently.
Demonstrated ability to manage multiple projects and be able to prioritize in a fast-paced environment with a positive approach and strong attention to detail.
Must be data oriented and have proven ability to interpret and synthesize data, making recommendations to drive business decisions.
Critical thinker; exceptional analytical and problem solving skills.
Must be collaborative and able to work effectively in cross-functional teams.
Strong verbal and written communication skills.
Financial modeling.

Your New Home

At Brookfield Properties, the foundation of our success is firmly rooted in our people.

Our company is comprised of experts across a range of specialties who share a goal of ensuring our properties are continuously evolving to meet the needs of our communities and stakeholders. To meet this goal, we hire visionary, entrepreneurial talent who help us innovate and enhance our business. We build collaborative teams who value integrity, creativity and diversity.

Our teams operate an iconic portfolio of irreplaceable properties within the world’s most dynamic markets. As one of the largest real estate services companies, we provide management and development expertise exclusively for properties owned by Brookfield Asset Management.

Our development group draws on its unparalleled design, entitlement and construction expertise to envision and deliver best-in-class, iconic assets and destinations. The team’s multidisciplinary skill sets from across our sectors capitalize on the unique opportunities that exist in the market today.",https://www.linkedin.com/jobs/view/externalApply/2473987599?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fbrookfieldproperties%2Fjobs%2F3032900%3Fgh_src%3Dcc57f9b91us%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=1lnZ&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=xaYiImZeLEiBpkSygr9%2BDQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst Intern,"FlyHigh Group, Inc.","Grand Rapids, MI","Job Responsibilities:
Examine and assess economic and market trends, earnings prospects, financial statements and various other indicators and factors to determine suitable investment strategies
Look back at previous investment decisions and the thought process of making the investment decision
Liaise with fund managers and network with industry professionals
Monitor closely financial press and keep a track of market trends, opportunities, risks, and new investment products
Compile advisory reports and make informed recommendations on new investment opportunities and funds that could enhance or diversify portfolios
Develop complex financial models and analyze legal documents

Job Requirements:
Proven working experience in Biotech industry
Excellent investment analysis software user
Strong numeric skills
Excellent quantitative and qualitative analytical skills
Advanced problem-solving skills and the ability to think strategically, analytically, and creatively
Highly organized, shown to meet tight deadlines along with consistent accuracy and attention to detail
Proficiency in Google Docs, MS Office, CRMs, project management tools, etc. 
Intermediate spreadsheet experience (formulas, dashboards, charts, pivots and analysis)",https://www.linkedin.com/jobs/view/externalApply/2473987599?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fbrookfieldproperties%2Fjobs%2F3032900%3Fgh_src%3Dcc57f9b91us%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=1lnZ&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=xaYiImZeLEiBpkSygr9%2BDQ%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Investment Analyst",Enterprise Community Partners,"New York, NY","Enterprise is a national nonprofit on a mission to make home and community places of pride, power and belonging for all. To make that possible, we operate the only organization designed to address America’s affordable housing crisis from every angle: we develop and deploy programs and support community organizations on the ground; we advocate for policy on a nonpartisan basis at every level of government; we invest capital to build and preserve rental homes people can afford; and we own, operate and provide resident services for affordable communities. All so that people not only make rent, they build futures. With this end-to-end approach, 40 years of experience and thousands of local partners, Enterprise has built and preserved 793,000 affordable homes, invested $61 billion in communities and changed millions of lives.

Enterprise offers career opportunities in our offices across the country with an exceptional benefits package .

Job Description Summary

Enterprise is hiring an Investment Analyst Intern for its Conventional Equity team for the summer. The position is to be located in Enterprise’s New York City office (pending office re-opening) or remote. The Conventional Equity team manages real estate equity funds, through which Enterprise joint ventures with real estate operators to acquire, improve and create value in affordable, workforce and market rate multifamily real estate. Specific responsibilities will include: performing financial projections through the input and review of rents and income, operating expenses, capital budgets, debt and amortization schedules, residual value analysis and disposition/sale scenarios; evaluating potential investments with respect to the financial return on investment, meeting the social goals of preserving affordability, the strengths and weaknesses of the local market and the property’s competitiveness, and the joint venture partner’s strength and track record; assisting in the preparation of preliminary investment summaries and Investment Committee packages; assisting with due diligence review and coordinating project closings; assisting asset management with review and analysis of actual property performance; assisting the team with data management via the Conventional Equity Salesforce application; understanding and communicating Enterprise’s economic and social goals.

Qualifications

Job Description
We are seeking graduate students with experience or interest in finance, real estate and the affordable housing field.
Financial modeling experience.
Strong project management skills, including ability to prioritize and manage multiple tasks and work
Strong oral and written communication skills.
Self-motivation; ability to work both independently and as a team player.",https://www.linkedin.com/jobs/view/externalApply/2432073831?url=https%3A%2F%2Fwd5%2Emyworkdaysite%2Ecom%2Fen-US%2Frecruiting%2Fenterprisecommunity%2FEnterpriseCareers%2Fjob%2FNew-York-NY%2FIntern--Investment-Analyst_REQ201&urlHash=bjVb&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=pWdnr%2FzPjL0VYKP5ERChBg%3D%3D&trk=public_jobs_apply-link-offsite
Investment Intern,MERS of Michigan,"Lansing, MI","This is a Summer internship.

Summary

The Investment Analyst Intern assists Investment Analysts and Investment Officers in performing a full range of analytical assignments required to manage the assets of the system.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
Investment Duties:
Assist Investment Officers and Analysts in the management of internal portfolios
Assist Investment Officers and Analysts with portfolio risk management and report preparation
Complete investment-related projects for the Portfolio Review Committee
Conduct research on new investment strategies
Support Investment Analysts and Investment Officers in asset class research, capital markets research, manager due diligence, and monitoring
Administrative Function:
Audit/read monthly Investment Manager reports and report pertinent information to Investment Officers
Prepare investment reports using Bloomberg and custodian bank’s online system
Reconciliation Function:
Audit performance data for private market investments
Proofread and ensure accuracy of information and data contained in various MERS publications
Other Duties
Read and acquire market insight – WSJ, GaveKal, or other financial publications
Assist with hard copy and electronic filing
Ad hoc projects
Attend and take notes on conference calls and internal meetings
Work 12-20 hours per week (32-40 in the summer)
EDUCATION and/or EXPERIENCE
Progress towards a Bachelor’s degree in liberal arts, finance, economics, or a related area is required
Internship or work experience in an investment capacity is a plus
QUALIFICATIONS
Individuals in this position should possess solid organization and communication skills (both oral and written) as well an interest in the financial services industry.
Advanced computer skills in Microsoft Word, Excel, & PowerPoint is essential
Detail oriented
Sound time and project management skills
Internet research abilities is a must
Ability to work within a team and on a self-directed basis
Solid organizational skills
Solid presentation/communication skills (both oral and written)
Proactive seeking out assignments
PHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to perform successfully the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is occasionally required to stand; walk; sit; use hands to finger, handle, or feel objects, tools or controls; reach with hands and arms; climb stairs; balance; stoop, kneel, crouch or crawl; talk or hear; taste or smell.
The employee must occasionally lift and/or move up to 25 pounds.
Specific vision abilities required by the job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus
WORK ENVIRONMENT
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Location: All work of this position will be performed on site at MERS main office.
Weather: While performing the duties of this job, the employee is not exposed to weather conditions.
Noise: The noise level in the work environment is usually moderate.",https://www.linkedin.com/jobs/view/externalApply/2459067353?url=http%3A%2F%2Fwww%2Emersofmich%2Ecom%2FMERS%2FAbout-MERS%2FCareers%3Fgnk%3Djob%26gni%3D8a7887ac782799c6017827e936d01551%26gns%3DLinkedIn%252BLimited&urlHash=7n7_&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=61HN5c1R0%2Bbxly0tqvOBrw%3D%3D&trk=public_jobs_apply-link-offsite
Venture Capital Analyst Intern (Summer/Fall 2021),Novel Growth Partners,"Overland Park, KS","Novel Growth Partners (www.novelgp.com) is recruiting a top-talent individual for the role of Analyst Intern. We are a Kansas City revenue-based venture fund with a mission to improve access to capital for technology companies in underfunded markets. Novel is focused on investing in early-stage enterprise software companies across the country. Our approach is unique because we provide financing to companies that in many cases don’t fit the traditional venture-capital equity model.

If you are a college student or graduate excited by the opportunity to be a part of a fast-growing venture firm and looking for a chance to “break into” venture capital, this is your opportunity!

Strong candidates will find intrinsic reward in an unstructured environment where individuals own their actions and have outsized impact. This role requires that you can function with the highest level of integrity within a highly confidential environment. You must believe in and demonstrate the utmost respect and empathy for all entrepreneurs and their work.

The Analyst Intern will work directly with the managing directors and analysts and will have the following responsibilities
Source, analyze and prioritize a dynamic data set of investment opportunities in our scope of geography and industry.
Coordinate communication and meetings with CEOs of prospective companies.
Manage integrated marketing campaigns across email, website, and social channels targeted to early-stage entrepreneurs.
Identify and catalog content and best practices relevant to prospective portfolio companies.

A successful Analyst Intern will have the following characteristics
Superior communication and interpersonal skills.
Deadline-driven and ability to work independently.
Strong analytical, problem-solving and critical thinking skills and impeccable business judgement.
Excellent attention to detail, even when given multiple assignments.


Requirements
College senior or graduate pursuing an MBA, Marketing, or Finance-related degree.
Proven and engaged leader in academics, volunteer work and/or curricular activities.
Personal connection with startups or entrepreneurship.
Passion for venture investing.


Benefits
We expect the candidate to be available a minimum of 20 hours per week but we are flexible with the internship schedule.
On-site opportunity.
Part-time paid internship.",https://www.linkedin.com/jobs/view/externalApply/2459067353?url=http%3A%2F%2Fwww%2Emersofmich%2Ecom%2FMERS%2FAbout-MERS%2FCareers%3Fgnk%3Djob%26gni%3D8a7887ac782799c6017827e936d01551%26gns%3DLinkedIn%252BLimited&urlHash=7n7_&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=61HN5c1R0%2Bbxly0tqvOBrw%3D%3D&trk=public_jobs_apply-link-offsite
2022 Point72 Academy Summer Internship Program - New York,Point72,"New York, NY","We’re training the next generation of Point72 Investors

Point72 is a global asset management firm that dedicates significant time and resources to the careers of its Portfolio Managers (PMs) and Analysts. PMs make investments, but Analysts do the deep and thorough fundamental research on which they rely. Today’s Analysts are tomorrow’s PMs and Point72 invests a lot of time in finding and training them. That’s why we started the Point72 Academy – to train the next generation of Point72 Analysts.

Point72 Academy Summer Internship

Students interested in investing careers who are graduating in Fall 2022 or Spring 2023 are invited to apply to our 8-week summer program that runs from June through August 2022 in our New York office. You will learn through portfolio casework that will support a real investment team, and time with your dedicated mentor – an Academy program alum or Equities Research Analyst.

Point72 provides a competitive salary. Upon successful completion of your internship, you will receive first consideration for full-time employment in the 2023 Academy Associate Program.

What To Expect

WEEKS 1-2: Training Camp

Quickly learn the basic knowledge and skills you need to add value as an Analyst with the global intern class.
Financial modeling
Basic accounting
Team projects
Presentation training
Compliance training

WEEKS 3-5: Portfolio Cases

Building on the fundamentals, you move from the classroom to the desk, contributing to a portfolio team.
Experience life as an Analyst
Apply skills to real life situations
Develop sector expertise

WEEKS 6-8: Covering Companies

You will dive deeper into data analysis – using more and more sophisticated data sources and refining your models.
Cover companies for earnings
Rigorous modeling and financial analysis
The summer program ends with you pitching an investment idea and learning how well you did.
Celebration dinner


Career Progression: Point72 offers you a clear path for a successful career based on your skills, abilities, and work ethic. The majority of our Summer Internship participants receive offers to join the Academy Associate Program.

We’re looking for the best. Apply now if you:
will receive a bachelor’s degree or equivalent in Fall 2022 or Spring 2023
have a minimum cumulative GPA of 3.3/4.0 (or equivalent)
are mature, extremely bright, self-motivated, and eager to learn
demonstrate a passion for the capital markets
have a fierce commitment to ethics, integrity, and compliance
can manage multiple tasks and deadlines in a fast-paced environment
have strong analytical, writing, verbal communication, and technical skills


About Point72

Point72 Asset Management is a global firm led by Steven Cohen that invests in multiple asset classes and strategies worldwide. Resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. We’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking. For more information, visit www.Point72.com/working-here.

Point72 is an Equal Opportunity Employer. Point72 is committed to the principles of equal employment opportunity for all employees and applicants for employment. Point72 complies with applicable, local, state and federal laws on the subject of equal employment opportunity.

Deadline for applications for this position is 5:00 PM EST on Thursday, May 13, 2021.

Application review will begin on Wednesday, March 31, 2021.

Point72 is an Equal Opportunity Employer. Point72 is committed to the principles of equal employment opportunity for all employees and applicants for employment. Point72 complies with applicable, local, state and federal laws on the subject of equal employment opportunity.",https://www.linkedin.com/jobs/view/externalApply/2435014070?url=https%3A%2F%2Fcareers%2Epoint72%2Ecom%2FCSJobDetail%3FjobName%3D2022-point72-academy-summer-internship-program-new-york%26jobCode%3DCPA-0007359&urlHash=pifL&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=2%2BwGrhPcr%2FenZ6NNPloQWg%3D%3D&trk=public_jobs_apply-link-offsite
Ops Analyst - Junior (Intern),Prime Trust,"Las Vegas, NV","About Prime Trust

Prime Trust is a technology-driven institution that provides open banking solutions for FinTech innovators. We power financial applications, payment processors, cryptocurrency exchanges, ATS', OTD desks, crowdfunding portals, real estate platforms, brokers, investment advisors, and others with API solutions to create world-class financial services at scale.

Position: Ops Analyst - Junior (Intern)

Job Brief

Responsibilities

As a vital member of the operations team at Prime Trust, you will be responsible for the day to day operations, including, but not limited to

Prime Trust is looking for a hard-working and self-driven individual to join our fast-paced and innovative operations team. We are a rapidly growing, tech-driven trust company that emphasizes Open Banking. The right candidate would be someone looking for an entry-level opportunity to gain the knowledge and skills required to succeed in a financial operations environment.
Monitor client trading-related activity in a variety of crypto and fiat currencies
Monitor settlement platform(s) and troubleshoot any issues
Front-line contact for operations-related matters and inquiries, including OTC needs
Produce daily, weekly and monthly reporting for internal stakeholders as well as customers
Develop and maintain relationships with clients’ operations areas
Initiate and manage asset transfers to ensure timely processing throughout the business day
Identify, analyze, and resolve account reconciliation issues
Assist internal teams with related operational requests
Provide first-class service to external counterparties and internal stakeholders
Assist in processing asset transfers during non-business hours

Experience And Skills
Deep understanding of public, private, and digital securities and assets
Prior experience and knowledge in legacy and crypto markets
Prior experience in a software or financial environment preferred but not required
Communication Skills - Communicates well with peers, colleagues, and clients regularly. Demonstrates strong public speaking skills, which allows for confident explanations of results and datasets.
Technical Knowledge - Has a proficient understanding of capital markets as well as digital assets. Understands how liquidity functions as a product and the role of a custodian in financial industries.
Critical Thinking & Problem Solving - Identifies constraints, bottlenecks, and potential problems for various internal and external processes with limited, exact resolution. Willingness to consistently take ownership of issues while providing a solution with appropriate documentation/explanation.
Detail Oriented - Demonstrates the ability to address details specific to individual tasks and understand the big picture associated with a given job.
Conflict Resolution – Able to address internal and external conflicts related to tasks/processes they own.
Time Management – Demonstrates efficient use of time management to meet time-sensitive tasks or goals. Understands the necessity of staying organized. Works efficiently with a pre-defined schedule or set of existing priorities and effectively prioritizes situations and emergencies.
Work Style, Ethic, and Initiative – Works well independently and in groups. Demonstrates ability to communicate and work accordingly with other departments and external businesses. Able to stay focused and maintain drive throughout a busy and heavy workflow and deliver on deadlines. Self-motivated and understands what needs to be done without needing to be told what to do.
Education

A BS/BA Degree Is Preferred But Not Required

Job Type: Part-time position

Salary: $16/hr",https://www.linkedin.com/jobs/view/externalApply/2487375260?url=https%3A%2F%2Fht-jobs%2Enet%2Flpulqcf%3Fs%3Dlif&urlHash=RuS6&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=tZxwaVhMRIGGCBaEs6wm0A%3D%3D&trk=public_jobs_apply-link-offsite
Options Institute Analyst Summer Intern,Cboe Global Markets,"Chicago, IL","About Cboe

Job Description

Cboe is one of the world’s largest exchange holding companies, offering cutting-edge trading and investment solutions to investors around the world.

Multi-Asset Solutions (MAS)

Cboe’s Multi-Asset Solutions team leads the firm’s research, development, and innovation related for all listed, tradable products and services, as well as the corresponding data and analysis tools. Globally recognized products and services include SPX and VIX options, LiveVol, Silexx, and the Options Institute (“Institute”).

MAS: Options Institute

The Institute continues to set the bar for investor education worldwide. We are actively positioned to grow and lead the way for greater understanding of the Cboe’s full suite of derivatives products through expanded curriculum, education tools and experience. With deep expertise in both trading and instruction, the Institute empowers novice and advanced investors alike with knowledge to more effectively understand and utilize derivatives knowledge, products, and strategies for investment and risk management purposes.

Job Description and Responsibilities: Options Institute Analyst Internship

The Analyst intern reports to the Director of Strategy (OI) and assists in establishing, implementing, and optimizing processes and workflows within the Institute. In this role, the Analyst gains in-depth exposure to Cboe’s various products and services while working on projects that impact multiple areas of the business. Additionally during the internship, the Analyst intern will choose an independent project to lead, design, and implement in order to develop project design and management skills.

What We’re Looking For
Pursuing a degree in Finance, Math, Engineering, Economics, Neuroscience or a related major
Curiosity about complex systems and effective methods for catalyzing educational engagement
Preference to work collaboratively across multi-disciplinary teams while also thriving on independent project assignments
Ability to work in a dynamic environment and a willingness to adapt
Deep interest in strategy conceptualization, design and implementation and process optimization
Advanced knowledge of Microsoft Office, specifically Excel

Technical Interests
Workflow tools (Atlassian suite; JIRA, Confluence, SalesForce, Tableau/Qlik preferred
Multi-lingual preferred

Cboe Global Markets is an Equal Opportunity Employer. For more information, please click the following links:

Equal Employment Opportunity is The Law (in English)

Equal Employment Opportunity is The Law (in Spanish)

Equal Employment Opportunity is The Law (Supplement)

E-Verify Participation Poster (English & Spanish)

Right to Work Poster (English)

Right to Work Poster (Spanish)",https://www.linkedin.com/jobs/view/externalApply/2445867445?url=https%3A%2F%2Fcboe%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal_Career_CBOE%2Fjob%2FChicago-HQ-OPO%2FOptions-Institute-Analyst-Summer-Intern_R-1268%3Fsource%3DLinkedin&urlHash=vyOD&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=ohQvc3SGh7q4d02qgJ5V6w%3D%3D&trk=public_jobs_apply-link-offsite
Junior Investment Specialist/CPM #170108,Credit Suisse,"New York, NY","We Offer

The role will support the Senior Investment Specialists and Portfolio Managers in the interaction with new and existing clients globally. The Investment Specialist Group (ISG) sits within Credit Suisse Asset Management and is responsible for capital formation, investment boutique strategy and client retention for new and existing investment businesses. Among the responsibilities are

Work closely with Portfolio Managers, Business Development, Distribution and Investor Relations to launch new products, demonstrate the Firm’s investment expertise and effectively manage ongoing client dialogue.
Show drive and work persistently to build positive impact and value for the Firm. Approach situations with an ambitious perspective.
Take visible responsibility for establishing, preserving and growing relationships with internal and external business partners.
Communicate effectively across all levels of the organization.
Articulate in detail economic, strategy and product-specific investment topics to internal business partners and external clients/prospects.
Ensure quality and velocity of content. Prepare product-specific content for new client deliverables including RFPs, DDQs, marketing materials, investor reporting, white papers, etc.
Coordinate multiple workflows simultaneously, displaying strong project management skills and tenacity.
Prepare and support Portfolio Managers and Senior Investment Specialists in various client engagements. Manage ongoing client dialogue and due diligence efforts.
Drive product launches. Support Senior Investment Specialists in developing and executing on go-to-market strategy, identifying target markets and prospects and managing target list and pipeline.
Assist Senior Investment Specialists with business strategy. Develop positioning and messaging for new and ongoing sales and client retention efforts, gauge investor appetite for adjacencies and strategic growth, etc.
Possess result-orientation with the ability to execute as well as creatively solve problems; combine analytical and persuasion skills with confidence and flexibility when working with individuals and teams across organization. Use expertise to build strong outcomes.
Act with integrity and maintain confidentiality. Fully follow the code of conduct; act responsibly, protecting the reputation of the bank and mitigating risks and be accountable.


Your future colleagues

Credit Suisse Asset Management is a global Asset Manager with expertise in traditional and alternative investment strategies. The firm handles in excess of $400bln and engages with the most respected clients globally. The Investment Specialist Group (ISG) is responsible for business strategy, capital formation and client retention. ISG works closely with Business Development, Distribution and the Investment Boutiques to launch new products, demonstrate the firm’s investment expertise and effectively handle ongoing client dialogue. Working closely with internal partners, Investment Specialists are a critical liaison between CSAM’s investment boutiques and current and prospective investors. We are a department which values Diversity and Inclusion (D&I) and is committed to realizing the firm’s D&I ambition which is an integral part of our global cultural values.

You Offer

We are looking for

Bachelor’s Degree, preferably with a focus on economics, finance, business, science, engineering or a quantitative field
Detailed Knowledge of finance and investment management
Well-developed project management skills
Proficiency with Microsoft Office Excel and PowerPoint
Ability to develop deep technical product knowledge along with strong interpersonal and presentation skills
Proven sense of accountability and detail orientation
Equivalent experience of at least 2 years in a Product Specialist, Client PM, Structuring, Strategy, Portfolio Management or Research role within an Investment Bank, Asset Management or Capital Introduction function
Ability to work with a programming language such as Python preferred
Series 7 and 63 registration or willingness to take these exams
Understanding of the value of diversity in the workplace and dedication to fostering an inclusive culture in all aspects of working life so that people from all backgrounds receive equal treatment, realize their full potential and can bring their full, authentic selves to work


United States-NY-New York",https://www.linkedin.com/jobs/view/externalApply/2477437319?url=https%3A%2F%2Ftas-creditsuisse%2Etaleo%2Enet%2Fcareersection%2Fexternal_advsearch%2Fjobdetail%2Eftl%3Fjob%3D170108%26lang%3Den%26ms_iframe_src%3DSNS-10043&urlHash=fqGA&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=K%2BbNcB9g1xN935E9ddb0Zw%3D%3D&trk=public_jobs_apply-link-offsite
2021 IB Summer Analyst Program (New York),Cowen Inc.,"New York, NY","Program Description

We're currently considering candidates for intern opportunities with Cowen's New York based Industrials and Healthcare groups as part of our 2021 Investment Banking Summer Analyst Program.

Cowen’s IB Summer Analyst Program is a ten-week program that offers an unparalleled experience for rising university seniors. Approximately 40 students are hired annually across the U.S., with an ultimate goal of converting each intern into a full-time hire for the following year.

Training & Development

At the start of the internship program, a one-week formal training is held in New York City for all participants. Throughout the program, interns take part in weekly lunches with senior leaders throughout Cowen and are matched with Associate or Vice President level mentors to ensure a robust internship experience. Social events are part of each intern’s program, regardless of location, in an effort to better assimilate into the culture of our firm.

Role & Responsibilities

Interns can expect a fast-paced, demanding work environment that offers the chance to learn and grow professionally. Day-to-day activities of Summer Analysts vary, but include financial analysis and modeling, company and industry research, participating in the development of client presentations, and interactions with senior bankers and clients.

Application

To qualify as a candidate for Cowen's 2021 Investment Banking Summer Analyst Program you must have an anticipated graduation date between December 2021 and June 2022 .

Qualifications

Successful candidates will exhibit a common-sense approach to problem solving and a strong desire to learn, in addition to showing initiative, integrity, and creativity. The firm values individuals who are demonstrated team players and can interact with all levels of the organization. Strong academic performance, exceptional interpersonal skills, and superior analytical and communication skills are essential.",https://www.linkedin.com/jobs/view/externalApply/2473926770?url=https%3A%2F%2Fwww%2Ecowen%2Ecom%2Fjoin%2Fjob-details%2F%3Fgh_jid%3D4632154002&urlHash=RGet&refId=9d3d1100-33d7-4197-a0c8-2868521f0756&trackingId=eIL9QHq7OfWZyIKz6Wz5bw%3D%3D&trk=public_jobs_apply-link-offsite
