title,company,location,requirements,link
"VZ Product Management Intern, Summer 2021",Samsung Electronics America,"Berkeley Heights, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities



Position Summary

Product Experience
Identify areas for improvement of customer experience on current products and services.
Gather VOCs on recently launch enhanced experiences and develop recommendations on feature improvements. 
Data analysis of market and business trends, competitive and Samsung’s product offerings, quality metrics, quality issues (pre- and post- product launch), VoC device lifecycle management
Work with product management and product planning teams, customer service, reverse logistics, and manufacturing to drive improvements based on analysis.

Skills and Qualifications



Qualifications



MBA with technical background or experience.  Prefer mobile technologies background, having a passion for improving consumer electronics experience and bringing technology to market.  App design or development a plus.



Internship Eligibility Requirements:

Must be enrolled in an accredited University Maintain a 3.0 or higher GPA
Provide proper work authorization to University Relations
Attend Intern Orientation on first day

* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .



* Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and  provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.",https://www.linkedin.com/jobs/view/externalApply/2486458357?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F200-Connell-Drive-Berkeley-Heights-NJ-USA%2FVZ-Product-Management-Intern--Summer-2021_R38181&urlHash=GIVH&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=tH9c%2BLc0xiTwCeLjD99xnQ%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern - Summer 2021,MongoDB,"New York, NY","We are seeking talented students to help us build the next generation database platform. Join the team that is helping the world’s most sophisticated organizations transform their industries by harnessing the power of data. Our internship program is based in our New York City office.

As an intern you will work directly with MongoDB’s product managers, user experience designers and engineers. You will be fully integrated into the team helping to analyze user’s pains and advocate on their behalf, mine various data sources to discover new product requirements, develop and communicate product strategy to relevant stakeholders, maintain roadmaps and prioritize product/sprint backlogs, and deliver & launch new capabilities to drive our product strategy.

Our summer program is comprehensive and interactive - you won’t sit behind a desk all day. We have social outings (think team dinners, broadway shows, NYC sightseeing, and more) and an intern speaker series where you’ll hear from some of the most significant and important people in tech today. You’ll gain insight into what makes a billion dollar company run. At the end of the summer you’ll be a better program manager and a more informed citizen of the world.

What We Are Looking For In You...
You are in the process of receiving a Bachelor’s or Master's degree in Computer Science, Computer Engineering, Information Systems, Data Science, or related fields. Alternatively you have a background in STEM and are now pursuing your MBA
You have solid technical skills — our users are software engineers, DBA's, sysadmins, etc. Our product managers must be just as technical and have working knowledge in these areas to better advocate for our users; while not expected to write production code, you should be comfortable diving into new code, learning from existing examples, exploring APIs, triaging bugs, analyzing support cases, and speaking on any of the technical aspects of the tools in your portfolio
You are an excellent communicator, both through verbal and written means
You are curious and have a strong desire to learn and adapt; you are a self starter and thrive in ambiguity


What You'll Find At MongoDB…
You will get a crash course in product management at a marquee tech company
You will get first hand experience in how a $10B company makes short term and long term strategic decisions (despite our size, we have a very small, highly leveraged product team!)
You will get hands on experience in building “deep tech” products, such as distributed databases
You will get a mix of ‘product experience’, from building a business case for a new product line to tactical product management with engineering teams, to overseeing the commercialization of new products
You will have a front row seat to see a major secular shift in the database industry
You will understand the hard work necessary to consistently innovate and build a lasting business

*MongoDB, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.*",https://www.linkedin.com/jobs/view/externalApply/2486458357?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F200-Connell-Drive-Berkeley-Heights-NJ-USA%2FVZ-Product-Management-Intern--Summer-2021_R38181&urlHash=GIVH&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=tH9c%2BLc0xiTwCeLjD99xnQ%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Noodle,"New York, NY","Description

Remote Summer Intern

Online education is no longer a novel or niche idea. It is the fastest-growing segment in higher education, accounting for 20% of all enrollees and 35% of graduate-level certificates and degrees. It's also getting increasingly competitive, as more and better programs are launched each semester. Universities need to go online quickly, economically, and elegantly, creating programs that students can't wait to tell their friends about and that their professors want to teach.

Noodle helps universities bring programs online with flexibility, transparency, alignment, efficiency, and joy. That's why more top universities chose us last year than all other online program managers combined. We are a passionate team of technologists, educators, and experts. Online learning has the potential to transform higher education; if you’re interested in being part of that journey, keep reading!

About The Internship Program

Our remote program is scheduled to start June 1st, 2021

Applications will be accepted on a rolling basis until the cohort is full. Noodle interns are paid $18/hour and work an average of 40 hours per week. If you are applying to our internship program, you must have proper authorization to work in the U.S. for the duration of the program.

About The Role

The product internship is an opportunity for motivated applicants to develop product management skills by working closely with product professionals at Noodle. Interns will gain experience with all stages of the product development lifecycle as they assist our team turn complex problems and ideas into features and technical solutions.

Product interns will work closely with their manager, collaborating cross-functionally across teams as necessary.

As Our Product Intern You Will
Assess product opportunities and contribute meaningfully to ideation and prioritization for new initiatives and products
W rite, define, and present product requirement for our designers and engineers to execute against
Analyze current stakeholder experiences to define friction points and create seamless and effortless experiences
Perform competitive market and growth analysis and research
Run rituals associated with agile methodology
As part of the Noodle community, you will also be able to take part in remote company-wide meetings and gatherings and are encouraged to learn from Noodlers across all our teams and companies, not just your own.

For the majority of the program, interns from all departments will have the opportunity to take part in weekly leadership talks or workshops aimed at providing practical advice for career growth and expanding intellectual horizons. Planned topics include personal branding, design thinking, personal finance, job search strategy, and more.

About You

We’re looking for self-starters who are not afraid to ask questions, communicate openly, and who can proactively find ways to help their team solve problems.

Noodle interns...
are community oriented - they have a group-first mentality, are generous with their time and energy and always express gratitude for their teammates’ contributions
are intellectually curious
are comfortable working in collaborative environments online
have excellent verbal and written communication skills
are comfortable creating documentation in industry-standard software
Google Docs/MS Office (presentation software, spreadsheets, text-based documents)
can effectively manage their schedules and projects
have a growth mindset
If this looks like you, please apply with a note on why we’re a good match along with your most recent CV! We look forward to seeing your name.

Why Work With Us?

An internship at Noodle will challenge both your industry knowledge and ability to work in the fast-paced environment of a rapidly scaling company. As we grow, we expect every employee - from intern to CEO - to own and propel projects with real impact. Our summer internship program is built for highly-motivated, positive, disciplined individuals who are not afraid to fail.

We offer an array of professional work opportunities across our teams, and this year we’ll have a focus on how to build and thrive in a successful remote working environment. During your time at Noodle, you will be mentored by some of our best and brightest, challenged with projects that have lasting impact on our business function, and will present a capstone project with your cohort’s recommendations to our executive team.

Noodle is committed to creating a welcoming and inclusive workplace for everyone. We value and celebrate our differences because those differences are what make our team shine. We hire great people from a wide variety of backgrounds, not just because it’s the right thing to do, but because it makes us stronger as a whole. We are proud to be an equal opportunity workplace.",https://www.linkedin.com/jobs/view/externalApply/2457937648?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fnoodle%2Fjob%2FoLhUefwU&urlHash=WI0A&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=HtsaE%2FwQgX%2F28XnGFRxYbQ%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern – Summer 2021,"NanoString Technologies, Inc.",Greater Seattle Area,"Who We Are

NanoString Technologies ( NASDAQ: NSTG ) is a leading provider of life science tools for discovery and translational research. The company’s nCounter® Analysis System is used in life sciences research and has been cited in more than 3,800 peer-reviewed publications. The nCounter Analysis System offers a cost-effective way to easily profile the expression of hundreds of genes, proteins, miRNAs, or copy number variations, simultaneously with high sensitivity and precision, facilitating a wide variety of basic research and translational medicine applications. The company’s GeoMx® Digital Spatial Profiler enables highly-multiplexed spatial profiling of RNA and protein targets in a variety of sample types, including FFPE tissue sections. Built on pioneering principles in 2003, NanoString is blazing new trails and exploring new frontiers to adapt to the everchanging landscape and becoming smarter and more innovative in the process. We are dedicated to advancing scientific discovery and providing solutions that can have a meaningful impact in research and discovery.

Our purpose is to Map the Universe of Biology. We enable scientists to answer questions they have always wanted to ask to explore the boundaries of cellular structures and create an atlas of biological interactions that define life. We are relentless in our quest to Catalyze the Next Biological Revolution leading to Advancing the Human Condition. In addition to a pioneering spirit, we value: Grit. Authenticity. Ambition. Ingenuity. Customers. Join our team!

Job Summary

Are you excited about developing novel products and creating new markets? NanoString is developing the GeoMx™ Digital Spatial Profiler (DSP) to enable high-plex protein or RNA expression analysis with morphological context from just one FFPE slide. NanoString provides an innovative work environment and as an intern, you will engage with a variety of departments, including R&D, Marketing, Technical Services, and Sales while focusing on market research that will help us grow the GeoMx DSP portfolio. Our ideal candidate will be self-motivated and eager to help identify new market opportunities and sharpen product positioning.

Essential Responsibilities
Assessing the market opportunity for new product concepts and applications through qualitative and quantitative market research
Informing development of customer facing marketing materials
How to represent NanoString in meetings as well as put together top level internal presentations that help generate excitement for new commercial ideas


Requirements
Background in biological sciences or related field
Self-motivated, highly organized, and meticulous in details
Keen analytical skills and a creative problem-solving approach
Strong communication skills


Preferred Qualifications
Marketing experience is a plus

NanoString is an Equal Employment Opportunity and Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. NanoString does not accept unsolicited agency resumes and will not pay fees to any third-party agency or company that it does not have a signed agreement with.

Accommodations

If you require assistance or accommodation when applying for open positions please contact recruiting@nanostring.com

NanoString is an Equal Employment Opportunity and Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. NanoString does not accept unsolicited agency resumes and will not pay fees to any third-party agency or company that it does not have a signed agreement with.

Accommodations

If you require assistance or accommodation when applying for open positions please contact recruiting@nanostring.com .",https://www.linkedin.com/jobs/view/externalApply/2475116405?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fnanostring%2Fjobs%2F5150069002&urlHash=GoFR&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=DGfrSmtDbhmIVmqoRgrrmw%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern-Graduate (Ben),Kaiser Permanente,"Pleasanton, CA","Description

Lay the groundwork for a dynamic future with an industry leader. At Kaiser Permanente, you'll forge lasting relationships with colleagues across the organization while enjoying the opportunity to grow your experience and hone your expertise on assignments that have real impact. Our interns have worked on everything from analyzing financial software and developing new marketing strategies, to designing mobile apps and helping clinicians improve care delivery. We want you to get the most out of your time here and will give you projects that challenge you to think freely, question thoroughly, and explore deeply.

Project Description

The intern will participate in product vision, strategy, conduct discovery including rapid prototyping, requirement gathering, writing user stories and acceptance criteria as well as working with development team to release products.

Essential Functions
Contributing to a designated project or initiative to meet a KP business objective.
Report development and analytics.
Project management - planning, execution, and measurement.
Learning new applications needed to complete assignments or support the execution of business objectives.
Job shadowing in other functional areas.
Performing additional duties as required.
While COVID-19 continues to be prevalent in our communities, our non-care delivery staff are working on a temporary remote status and anticipate all 2021 interns will be considered remote workers. Candidates must reside in a market where KP is a registered and qualified employer.

Experience

Basic Qualifications:
N/A.
Education
Pursuing a graduate degree or have completed a graduate program from an accredited university within the last year.
Bachelor's degree required.
License, Certification, Registration
N/A.
Additional Requirements
Aptitude to perform data and process analytics and formulating solutions.
Working knowledge of MS Word, Excel, PowerPoint.
Preferred Qualifications
3.0 GPA or above
Advanced analytical and problem-solving skills
Proven ability to build effective working relationships as well as strong interpersonal skills.
Excellent verbal and written communication skills.
Ability to learn quickly and experience producing high quality work in short periods of time.",https://www.linkedin.com/jobs/view/externalApply/2444104663?url=https%3A%2F%2Fwww%2Ekaiserpermanentejobs%2Eorg%2Fjob%2Fpleasanton%2Fproduct-management-intern-graduate-ben%2F641%2F18969685&urlHash=53TO&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=bRJjMWdipVmJWt4PjiFQSA%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Block Renovation,"Brooklyn, NY","Block is a renovation platform transforming the $400 billion renovation industry. Today, doing a home renovation is an abysmal consumer experience and not easy for contractors either. Block democratizes access to high-end design, while combining design, construction, and materials into a streamlined experience. Block simplifies a complex and convoluted process and gives homeowners certainty on outcomes, quality, price, and time.

Our mission is to give homeowners a better way to improve the spaces they live in, and to give contractors a better way to work. We are building an ambitious, tenacious, and creative team who is unafraid of tackling new challenges. The founders are former leaders at Casper, HuffPost, and Rent the Runway. Investors include New Enterprise Associates, Lerer Hippeau Ventures, Obvious Ventures, and more.

Role And Responsibilities

As a Product Management Intern, you will support the discovery, strategy, and execution of digital experiences across the home renovation ecosystem. Your work will have breadth, allowing you to gain a holistic understanding of needs and challenges for our clients, contractors, and internal operations. Through collaborating with a cross-functional team including construction, design, and operations, you'll help deliver elegant solutions in a historically ignored space.

Key day-to-day responsibilities include:
Building and maintaining reports on product performance and any key metrics
Assess product opportunities and help define product requirements
Assist releases including migrations, QA, documentation, and training
Designing and conducting user research sessions as well as collating feedback


About You
Highly ambitious and goal-oriented
Enjoys working with datasets, preferably has experience working with SQL, or other programming languages
Clear communication skills to articulate priorities and maintain alignment through soft influence
Able to build for long term, but also able to find efficient short-term solutions
Bachelor's degree in relevant field with technical or product experience


Benefits
Being part of a fast-growing start-up revolutionizing the world of renovation
Working alongside and learning from an ambitious, kind, no-drama team
Exposure to talented early-employees of some of the most successful technology companies (ClassPass, Rent the Runway, Casper, Tesla and more)
Forming meaningful relationships with a fun and multicultural team


Company Philosophies

Force simplicity.

Problems are our fuel.

Be tenacious and calm.

Save money and time where we should.

Speed is advantage.

Stay humble -- in failure and success.",https://www.linkedin.com/jobs/view/externalApply/2487590986?url=https%3A%2F%2Fgrnh%2Ese%2F62b07eca3us&urlHash=yc5V&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=FIkyUOBiVGCvZiGwQoeeKQ%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Shipt,"Birmingham, AL","At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.
As we continue to transform the delivery space and our multi-sided marketplace, we are showcasing opportunities and mentorship for interns as we develop the next generation of our team.

Shipt is looking to hire Product Management Interns focused on addressing the needs of our customers, shoppers and retailers. You will have the opportunity to work on growth, experience, and retention projects and learn from a broad team of experienced, passionate mentors. You witness first-hand, what it looks like to shape the future of our company. We are founded on the mission of simplifying lives; serving members, shoppers, retailers and communities by offering convenience and freedom.

In this role, you will learn about user experience, operational, and integration challenges as your team seeks to find the optimal balance between the needs of our business and the needs of our customers and shoppers and retailers. A natural fit of our interns is when they are always asking questions to learn more about the ‘Why’ and ‘How’ of the world. You are a natural leader and take ownership and pride in the quality of your work.

Responsibilities
Collaborate with cross-functional stakeholders to develop product roadmaps
Identify important, unmet needs and create innovative ways of solving them
Clearly communicate key set of business priorities to all levels of organization
Create product requirements documents and functional specifications
Manage project delivery and business expectations

Required Qualifications
Junior, Senior or Master's student pursuing their Bachelor’s degree
A passion for understanding customer problems and creating products to solve those problems
Strong interest in managing the execution of complex projects, including design, development and go-to-market
Strong analytical skills and a track record of data-driven decision making
Proven ability to collaborate with multi-site, cross-functional teams
Ability to present ideas to engineering, end users and cross-functional teams
Knowledge of Agile software development process is a plus
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",https://www.linkedin.com/jobs/view/externalApply/2455983550?url=https%3A%2F%2Fshipt%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FShipt_External%2Fjob%2FBirmingham-AL%2FProduct-Management-Intern_R664%3Fsource%3DLinkedin&urlHash=Z46j&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=%2FWo0F1mkUzV7ib6ylqCHog%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern,Verizon Media,"Dulles, VA","At Verizon Media, we connect people to their passions. With brands like Yahoo, TechCrunch and more, we help people stay informed and entertained, communicate and transact while creating new ways for advertisers and partners to connect. From XR experiences to advertising and content technology, Verizon Media is an incubator of innovation and is revolutionizing the next generation of content creation in a 5G world.

2021 Product Management Intern

At Verizon Media, we connect people to their passions. With brands like Yahoo and TechCrunch, we help people stay informed and entertained, communicate and transact while creating new ways for advertisers and partners to connect. From XR experiences to advertising and content technology, Verizon Media is an incubator of innovation and is revolutionizing the next generation of content creation in a 5G world.

The Consumer Product Experiences (CPE) team is looking for aspiring product managers with a passion for technology, product, and design to join our Product Management Internship program and help tackle the biggest challenges in technology and media. This role will work directly with engineering, design, editorial, UXR and other groups to support our diverse set of Consumer-facing products. You will contribute directly to projects responsible for ensuring we reach our 2021 audience and revenue goals while meeting and exceeding the unique needs of our users.

About The Yahoo Product Management Internship Program

As a Verizon Media Product Management Intern you’ll join a team for 12 weeks and help execute the end-to-end product strategy and development for high-impact projects across the company. You’ll also be part of a selective community of product interns who will challenge and inspire you in your journey and be paired with senior product leaders to support your growth and evolution.

Responsibilities
Contribute to and execute product roadmaps oriented around our 2021 OKRs
Prioritize user needs and articulate what problem should be solved, for whom, how, and why
Work collaboratively with engineering, design and other key stakeholders.
Analyze performance based on agreed-upon success metrics
Work with product leads to groom the backlog and manage shifts in overarching priorities
Learn more about the broader Verizon Media business and its goals
Essential Qualities
Product sense: Strong product sense with an ability to envision technology solutions that address user needs and market opportunities
Analytical ability: Excellent problem solving and analytical skills: you should be able to break down open-ended problems and move forward in the face of ambiguity
Entrepreneurial spirit: Passion for technology products and services. Show us what you want to build. Tell us what products you love, how you want to change this space, and why
Communication skills: Strong written and oral communication skills in order to work effectively with engineering, design, and cross-functional teams

Nice To Have
Currently enrolled in a bachelor’s degree program in Computer Science or related technical field.

About Verizon Media

Verizon Media, a subsidiary of Verizon, is the parent entity of Yahoo, AOL, TechCrunch, RYOT, HuffPost, and dozens of other brands that together reach more than a billion people every month. Creating and operating a diversity of media, communications, search, and advertising products at scale requires talented people to smartly apply technology, product insight, and user-focused design.

Verizon Media is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Oath is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. Please let us know if you need a reasonable accommodation to apply for a job or participate in the application process.

Verizon Media is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Verizon Media is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please submit a request via the Accommodation Request Form ( https://www.verizonmedia.com/careers/contact-us.html ) or call 408-336-1409. Requests and calls received for non-disability related issues, such as following up on an application, will not receive a response.

At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion ( https://www.verizon.com/about/careers/work-culture ) page to learn more.

Currently work for Verizon Media? Please apply on our internal career site.",https://www.linkedin.com/jobs/view/externalApply/2466662395?url=https%3A%2F%2Fvzbuilders%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2Fcareers%2Fjob%2FUS---Dulles%2FProduct-Management-Intern_JR0015490%3Fsource%3DLinkedin&urlHash=PTRk&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=iyzs7kybdneNoD8TFyOC7A%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Product Management-Summer 2021",Lam Research,"Fremont, CA","Other Job Responsibilities
Participate and support creation of product roadmap
Create a structure to collect various stakeholders such as hardware engineering, Customer account technologists, process engineering, product support inputs in a way that can then be processed into meaningful action
Create templates for customer communications and subsequently use that for writing few technical communications
Minimum Qualifications

Completed Junior year in college, majoring in Industrial engineering or Mechanical engineering

Skills
Familiar with product development and product life cycle management activities
Familiar with mechanical and/or electrical design process and ability to participate meaningfully in design reviews.
Expert in MS Excel and Powerpoint
Preferred Qualifications

Pursuing Bachelors or Masters in the Industrial engineering and has prior internship experience.

Skills
Ability to drive value stream mapping activity and reasonably good at lean principles
Has taken one or two finance and/or business courses during Undergrad or Grad program
Our Commitment

We believe it is important for every person to feel valued, included, and empowered to achieve their full potential. By bringing unique individuals and viewpoints together, we achieve extraordinary results.

All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.

We Look Forward to Your Application",https://www.linkedin.com/jobs/view/externalApply/2475164426?url=https%3A%2F%2Fcareers%2Elamresearch%2Ecom%2Fjob%2FFremont-Intern%252C-Product-Management-Summer-2021-CA-94538%2F729717900%2F%3FfeedId%3D157600%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DLam_Linkedin&urlHash=hKaL&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=apOvbY%2BmFsotsd%2BstKFpdQ%3D%3D&trk=public_jobs_apply-link-offsite
Product Management Intern (Summer 2021),Credit Karma,"Charlotte, NC","Credit Karma is a mission-driven company, focused on championing financial progress for our more than 100 million members in the U.S., Canada and U.K. While we're best known for pioneering free credit scores, our members turn to us for tips as they work on their financial goals, including helping them monitor their credit, identity monitoring, searching for credit cards, shopping for loans (car, home and personal), and growing their savings* -- all for free. Credit Karma has grown significantly through the years: we've added more than 70 million members in the last five years alone and now have more than 1,100 employees across our offices in Oakland, Charlotte, Los Angeles and London.

Banking services provided by MVB Bank, Inc., Member FDIC

The Credit Karma Product Management Intern Program is a 10-12 week paid internship program located in Charlotte, NC. During your internship, you will be coordinated into a team where you will work on various projects to help Credit Karma fulfill its mission to make financial progress possible for everyone. Interns will have the opportunity to participate in weekly cohort meetings, team outings, events, and engage in discussions with Credit Karma leadership. If you want to be in a true learning environment and are eager to make an impact in your next internship, this is the place to be. We will equip you with the tools and relationship building techniques you need to be successful wherever life may take you.

As a Product Management intern, you'll partner alongside various Product teams, such as Core, various product verticals, and data. You’ll also have a cross-functional role in marrying high-quality user experiences and prioritization of user scenarios to drive engagement and revenue, helping our members make meaningful financial decisions.

Please note - our internship program will be located in Charlotte, NC. Should the internship need to be remote, we can only accommodate candidates working in California, North Carolina, Texas, Washington, Oregon, Nevada, Missouri, South Carolina, New York, Georgia, Colorado, Utah, Arkansas, and Washington D.C.

What You’ll Do
Concept and craft new experiences for our members that improve their financial lives
Partner with a specialized in-house growth engineering team to run experiments on our huge member base
Work with our data scientists to develop our next generation of machine learning algorithms to improve our organic recommendations and monetization strategies
Work alongside our design, data, engineering and marketing teams to identify user scenarios and craft user experiences that enterprise commitment and revenue


Minimum Requirements
A degree in a technical or business discipline, or working towards one - strong bonus for any courses in human-centered design or human-computer interaction
Flexible to react to changing priorities and able to prioritize and deliver in a deadline-oriented environment
Experience with, love of, and aptitude for crafting consumer product experiences - from positioning to pixel
A good sense of humility and desire to learn
Empathy and excitement for helping champion financial progress!


Equal Employment Opportunity

Credit Karma is committed to a diverse and inclusive work environment. We believe that such an environment advances long-term professional growth, creates a robust business, and supports our mission of championing financial progress for everyone. We offer generous benefits and perks with a single eye to nourishing an inclusive environment that recognizes the contributions of all and fosters diversity by supporting our internal Employee Resource Groups. We’ve worked hard to build an intensely collaborative and creative environment, a diverse and inclusive employee culture, and the opportunity for professional growth. As part of the Credit Karma team, your voice will be heard, your contributions will matter, and your unique background and experiences will be celebrated.

Credit Karma is also proud to be an Equal Opportunity Employer. We welcome all candidates without regard to race, color, religion, age, marital status, sex (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity or gender expression, national origin, veteran or military status, disability (physical or mental), genetic information, or any other protected characteristic. We prohibit discrimination of any kind and operate in compliance with the San Francisco Fair Chance Ordinance.

COVID-19 update: Protecting the health of our employees and the candidates interested in a career at Credit Karma is our top priority. We appreciate your understanding and being open and flexible with any changes related to our interviewing process.

Credit Karma is strongly committed to protecting personal data. Please take a look below to review our privacy policies:
GDPR Privacy Policy
California Consumer Privacy Act (CCPA)",https://www.linkedin.com/jobs/view/externalApply/2475164426?url=https%3A%2F%2Fcareers%2Elamresearch%2Ecom%2Fjob%2FFremont-Intern%252C-Product-Management-Summer-2021-CA-94538%2F729717900%2F%3FfeedId%3D157600%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DLam_Linkedin&urlHash=hKaL&refId=7436ffe9-3d9d-4671-9330-c177265bf844&trackingId=apOvbY%2BmFsotsd%2BstKFpdQ%3D%3D&trk=public_jobs_apply-link-offsite
