title,company,location,requirements,link
BOTTEGA VENETA Public Relations Intern,Bottega Veneta,"New York, NY","Summary

Bottega Veneta – Inspiring individuality with innovative
craftsmanship since 1966. Under the direction of Daniel Lee
creativity lies at the heart of all that we do. Born in Vicenza the
house is rooted in Italian culture yet maintains a truly global
outlook. An inclusive brand with exclusive products Bottega Veneta
is as much of a feeling as it is an aesthetic.

Job Description

We are currently seeking a Public Relations Intern who will report to the Communications Coordinator as part of our dynamic team in New York.

Your opportunity

This opportunity will allow you to gain experience within a luxury brand that will support you for your next endeavor and future career. You will gain a well-rounded overview of Communications as a whole and learn to thrive in a fast-paced environment.

How you will contribute

Managing samples to and from leading media outlets and stylists
Ensuring fluid communication between public relations department and corresponding national/regional press contacts
Maintaining up to date media contact lists
Monitoring credits and features in print and online media
Supporting event preparation and execution

Who you are

Able to work in a team environment
Ability to take initiative and perform tasks in a self-sufficient manner
Eager to learn
Students MUST be able to receive academic credit for this paid internship and work a minimum of two days.

Why work with us?

This is a fabulous opportunity to join the Kering adventure and to actively contribute to the development of the business by becoming part of a global Luxury Group that offers endless possibilities to learn and grow. Talent development is a managerial principle at Kering and we are committed to fostering internal mobility. Our common vision promotes leadership skills and helps every employee to reach their full potential in a stimulating and fulfilling workplace environment.

Kering is committed to building a diverse workforce. We believe diversity in all its forms – gender, age, nationality, culture, religious beliefs and sexual orientation – enriches the workplace. It opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to adapt to a changing world. As an Equal Opportunity Employer we welcome and consider applications from all qualified candidates, regardless of their background. 

EOE M/D/F/V

Job Type

Student (Fixed Term) (Trainee)

Start Date

2021-04-01

Schedule

Full time

Organization

Bottega Veneta Inc",https://www.linkedin.com/jobs/view/externalApply/2460102125?url=https%3A%2F%2Fars2%2Eequest%2Ecom%2F%3Fresponse_id%3D6057f47bf6d5c5cc8ce765439ce05535&urlHash=raqz&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=ZllIYyXKMUq6LoDV3LLOYQ%3D%3D&trk=public_jobs_apply-link-offsite
"Public Relations Intern, Spring 2021",Nadine Johnson Inc.,"New York, NY","Nadine Johnson & Associates (NJA), a leading NYC public relations firm, is looking for interns for our Spring 2021 program. The ideal candidates will have some knowledge of public relations, along with a strong interest in art, design, architecture, or hospitality.

The ideal candidate would be available five days per week, preferably full time and is comfortable working in the office.

Compensation is not provided, but we do offer a daily stipend of $50 to cover transportation and lunch, and/or school credit if applicable to your program. Internships will last approximately 4-5 months, based on academic schedules and other commitments, or roughly the length of your semester.

Tasks assigned will contribute to the interns development, experience and interest in the field of PR.

[

[

[

[

Requirements

The ideal candidate will:
Have some experience with (and interest) in public relations
Have a genuine interest in art, design, architecture, hospitality and/or knowledge of luxury brands
Have a zeal for reading, learning and news, including an interest in print and online media
Be a strong writer, good speller, and precise grammarian
Enjoy doing research and find the pursuit of information to be intrinsically rewarding
Be a team player and an effective communicator - the type of person who is comfortable speaking face-to-face with staffers of all levels, and not just communicating over Gchat
Love dogs! Our office dog Lupo provides our staff with endless entertainment
Primary Responsibilities Vary By Project, But May Include
Executing press clips and maintaining press reports
Providing administrative support including research, clipping and coordination
Overseeing organization, reading, and capturing of coverage in numerous periodicals
Using Google Alerts and other tools to track additional coverage
Learning to pitch and identifying appropriate editorial staff
Taking RSVPs for events
Preparing event materials such as facebooks and tip sheets
Assisting account executives with additional organizational tasks as needed
Assisting with admin work as needed (ordering supplies, answering the door, scheduling meetings etc...)
Benefits

Office dog, stipend for lunch and transportation, diverse and international office, casual environment, the opportunity to work with top tier clients from a wide spectrum of industries.

COVID-19 PRECAUTIONS

Daily temperature checks

PPE supplied

Socially distanced office layout

Routine office cleaning

Mandatory routine COVID testing for employees",https://www.linkedin.com/jobs/view/externalApply/2484909384?url=http%3A%2F%2F9nl%2Ees%2Fs7ifQS%3Fjz%3D48vxi27681102AIANYAACAAA4ICIAAABAAAQ%26tracking-details%3DYmlkPTAuMDImYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD1hZmEzZmQ0YmViNmEzZDE4Y2VhYjY1NTAwYjEwNTUxNSZlbWQ9MjUuMDAmcGhJZD04dnhpJmVCaWQ9MC4wMiZpQmlkPTAuMDI&urlHash=apr1&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=oZ4a6IuHqdEZMUKWINJYQw%3D%3D&trk=public_jobs_apply-link-offsite
Public Relations Intern,fortyseven communications,New York City Metropolitan Area,"To be considered, applicants must submit BOTH a resume AND a letter of intent to careers@fortyseven.com addressing both your interest in a public relations career and in working specifically with our agency.

**Note: This is NOT a summer internship; this position is available to college graduates who are available to begin a full-time internship immediately.

fortyseven communications seeks college graduates to train to become account coordinators at a dynamic agency with video game, digital entertainment and consumer technology accounts. The full-time position will place interns in real-world account roles with an opportunity to get hired as a permanent employee at the end of the internship.

Candidates must be excellent writers, energetic personalities and pop & digital culture lovers. Successful interns are extremely well organized, proactive, interested in learning about all facets of communications and have a fun, positive attitude. Interns need to be able to work productively with staff members at all levels, working on teams virtually (and in person, once we are ready to return to our offices safely at a date to be determined) with teammates spread amongst all three of fortyseven's offices across the country (LA, NY, SF). They must become well versed in agency procedures, and offer creative ideas and input. Position requires a serious interest in a communications career, excellent communication skills, a high level of professionalism, attention to detail/deadlines and strong research skills. Applicants will only be considered if your application email subject contains “Internship Application” and your name, and your letter of intent includes not only the requirements stated above but also an answer to one of the following questions: What is your current favorite app, game, show or product and why? Or what is your favorite news source, and why is it your favorite?


Position
Full-time, Paid

Responsibilities
Extensive research and reporting 
Basic PR writing 
Low-level client and media relations 
Compiling minutes/action items on client and team calls 
Additional account responsibilities could be event staffing, brainstorming and general office help

Requirements
College diploma
Excellent spoken and written English",https://www.linkedin.com/jobs/view/externalApply/2484909384?url=http%3A%2F%2F9nl%2Ees%2Fs7ifQS%3Fjz%3D48vxi27681102AIANYAACAAA4ICIAAABAAAQ%26tracking-details%3DYmlkPTAuMDImYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD1hZmEzZmQ0YmViNmEzZDE4Y2VhYjY1NTAwYjEwNTUxNSZlbWQ9MjUuMDAmcGhJZD04dnhpJmVCaWQ9MC4wMiZpQmlkPTAuMDI&urlHash=apr1&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=oZ4a6IuHqdEZMUKWINJYQw%3D%3D&trk=public_jobs_apply-link-offsite
Public Relations Intern,Huda Beauty,United States,"This individual will be in charge of:
Media monitoring and reporting
Monthly global reports
Daily media clippings to be sent to HB Global PR group (in real time)
Asset organization and distribution
Track and save assets from Global onto PR server
Send to JLPR
Product gifting – ordering, sorting, processing, etc.
Manage relationship with PIMS to ensure product inventory availability and maintenance
Manage product sends to editors, makeup artists, celebrities and key community members
Award Submissions and Tracking
Track media awards
Manage media award submissions
Research competitors and provide insights and information to ensure day-to-day relevancy
Stay up to date with any new media trends (TikTok, Instagram, Snapchat, ClubHouse, etc.)
Support day-to-day operations in the PR and marketing department
 Skills & Experience required:
·      1-2 years of PR experience preferred (internship experience is OK)
·      Currently working on completion of bachelor’s degree or has bachelor’s degree
·      Excellent attention to detail even when faced with quick deadlines and turnarounds
·      Strong communicator, excellent storyteller and creative writer; strong written & verbal communication skills
·      Strong worth ethic and initiative to take-on projects, learn and listen
·      Team player willing to wear many hats and thrives in a scrappy environment
·      Media and pop culture savvy with a strong pulse on the beauty, fashion and lifestyle industries
·      Highly organized with excellent project & time management skills
·      Works well autonomously and as part of a team, even in a virtual environment
·      Takes initiative and comfortable with ambiguity and a fast-paced environment
·      Curious and open to learning new things
·      Respect for all with a positive energy and outlook",https://www.linkedin.com/jobs/view/externalApply/2484909384?url=http%3A%2F%2F9nl%2Ees%2Fs7ifQS%3Fjz%3D48vxi27681102AIANYAACAAA4ICIAAABAAAQ%26tracking-details%3DYmlkPTAuMDImYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD1hZmEzZmQ0YmViNmEzZDE4Y2VhYjY1NTAwYjEwNTUxNSZlbWQ9MjUuMDAmcGhJZD04dnhpJmVCaWQ9MC4wMiZpQmlkPTAuMDI&urlHash=apr1&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=oZ4a6IuHqdEZMUKWINJYQw%3D%3D&trk=public_jobs_apply-link-offsite
Public Relations Intern - Summer 2021,Wachsman,"Manhattan, NY","About Wachsman:

Wachsman is a communications-based strategy and public relations consultancy focused on advising the next generation of leaders on the frontline of the new economy.

Born in the blockchain industry, Wachsman has become a critical partner to a wide array of the world's most exciting companies, including those across fintech and digital payments, data protection, digital art and culture, law, gaming, and healthcare. We pride ourselves on providing advisory services spanning strategic and communications consulting, reputation, issues, and risk management, and public policy and regulation to entrepreneurs, founders and risk takers in these industries.

Founded in 2015 with regional headquarters in New York, Dublin, and Singapore, Wachsman has quickly solidified its position as a trusted advisor to some of the world's most innovative companies, including in market entry, change management, product launches, mergers and acquisitions, corporate repositioning, and regulatory compliance.

Summer Internship 2021:

Wachsman is seeking an eager and motivated individual to join our United States team for a remote, full-time, paid, 10-week internship for Summer 2021. The ideal candidate enjoys a challenging and fast-paced environment, views public relations or integrated communications as a potential career, and has completed or is on track to complete a Bachelor's degree. We are looking for someone who is creative, interested in exploring the world of emerging technologies, and willing to work hard in an innovative and fearless agency environment. This role will be remote due to COVID but you will be provided with the technical support necessary to complete all work.

Qualifications:

Education: Must be a rising Senior full-time undergraduate student or a recent college graduate (communications, business, or marketing focus preferred but not required)
Availability: Must be able to work 9:00 AM - 6:00 PM ET, five days per week, for ten weeks between June and August.
Experience: Previous internship or related experience preferred but not required

Duties:

Assists in the coordination and execution of PR campaigns.
Researches and drafts press materials including press releases, pitches, opinion pieces, and journalist and client-facing emails.
Monitors and reports on daily media traction and news.
Researches potential pitch targets and creates targeted media lists
Undertakes industry research and generates story ideas and angles.
Develops and maintains relationships with media to secure and grow coverage.
Creates social media content and tracks social media campaigns.
Supports senior staff members and the larger team in various verticals of a communications agency including, but not limited to, new business development, event planning, creative brand positioning, web and graphic design, digital marketing, and agency operations

Skills & Requirements:

Exceptional written and verbal communication skills.
Strong attention to detail.
Self-motivated and able to work well in a collaborative environment, as well as individually.
Effectively manages time and is results driven.
Excellent interpersonal skills.
Familiarity with finance, emerging technology, or economics preferred.
Understanding of Google Workspace (G Suite) applications preferred.
Ability to maintain a high level of social, organizational, and professional standards.",https://www.linkedin.com/jobs/view/externalApply/2487594164?url=https%3A%2F%2Fgrnh%2Ese%2F7d2ca9903us&urlHash=p7_W&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=%2BwTZiyWzdFX3awa4tWc79Q%3D%3D&trk=public_jobs_apply-link-offsite
Paid Public Relations & Marketing Internship,617MediaGroup,"Boston, MA","PUBLIC RELATIONS / MARKETING INTERN – WALTHAM, MA

617MediaGroup, the Northeast's fastest-growing progressive communications agency, is looking for a PAID PR/Marketing Intern to join our growing team. At 617MediaGroup, we don't just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our clients, and our communities. 617MediaGroup is proud to be an equal opportunity workplace and is an affirmative action employer.

This candidate will ideally grow into a full-time position at the end of the internship. This is a part-time, paid internship. A minimum of 15 hours each week is required. Occasional nights and weekends may be required. Having your own car is preferred.

Who you are:

A fast and creative writer with an interest in the news and market trends
You've had internships before, preferably with a focus on PR or Marketing
You have basic knowledge of digital organizing, including text, email, and social media campaigning
You're dogged and organized
You have a problem-solver mindset with a can-do attitude
You thrive in fast-paced environments
You want to learn and grow with an exciting, mission-driven communications firms
You're ready to hit the ground running
You have an interest in and familiarity with professional photography

Who we are:

Veteran campaigners, communicators, designers, strategists, storytellers, web developers, and true believers. We love what we do. We're results-driven. And we only work with clients we believe in.

Who we are:

We move public opinion. We win tough fights. We tell stories simply, and with maximum impact. We offer comprehensive communication services: from earned media to paid, and social media to owned content. Copy and design. We do it all.",https://www.linkedin.com/jobs/view/externalApply/2487806137?url=https%3A%2F%2Fgrnh%2Ese%2F338f59642&urlHash=EKYY&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=o%2FLo%2B3Ttr8XH0cFVggZYQw%3D%3D&trk=public_jobs_apply-link-offsite
Public Relations Intern - Remote,ICF Next,"Chicago, IL","Join the next gen. We’re a new breed – a consulting agency. We combine the creativity of an agency with the depth and expertise of a consultancy. Our team is a mix of mission-driven strategists, marketers, technologists and data scientists, harnessing the insights, creativity and technology that moves people. This is what we call…Accelerated Change, Beautifully Delivered. Check us out at

Please note: The deadline to apply for this role is April 16th and interviews will begin in May 2021.

Who We’re Looking For

We are looking for a candidate available for a full-time paid Public Relations Internship starting in June through December 2021 within the ICF Next PR team. The intern will assist our PR account teams in the execution of program tactics with the objective of promoting and raising awareness for our client’s brand. Intern must have a solid work ethic, strong intellectual curiosity and a desire to work hard and have fun.

As a Public Relations Intern, You Will
Create media lists
Draft, disseminate and pitch media materials and press releases
Participate in brainstorms and project meetings
Identify and reach out to social influencers
Participate in brainstorms and project meetings
Create publicity materials and media kits
Conduct research and client, industry and pop culture media monitoring
Support right-time engagement programs
As a Public Relations Intern, You Will Have
Impeccable time management and prioritization skills
Ability to coordinate projects from inception to completion and meet demanding deadlines
Excellent verbal and written skills
Strong interpersonal and customer service skills
Previous agency experience, including internships, desired
Bilingual (Spanish) is a plus!
Basic Qualifications:
Bachelor’s degree in Public Relations, Mass Communications, Journalism, Strategic Communications or related field

Working at ICF

Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.

ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity). For more information, please read our

Reasonable Accommodations are available for disabled veterans and applicants with disabilities in all phases of the application and employment process. To request an accommodation please email and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. Read more about non-discrimination: and .

Chicago, IL (IL14)",https://www.linkedin.com/jobs/view/externalApply/2476100417?url=https%3A%2F%2Fwww%2Eicf%2Ecom%2Fcareers%2Fjobs%2Fpublic-relations-intern-remote-R2100920%3Fsource%3DLinkedin_Job&urlHash=H6fq&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=WylCSFUmGDIL%2Bv0Le2WMQA%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, PR & Advocacy North America",Charlotte Tilbury Beauty,"New York, United States","The Role

Charlotte Tilbury is looking for a motivated PR INTERN to assist in the day-to-day functions of North American PR & Advocacy. She / He / They will support all projects and execution. This role will assist the team in securing press coverage, organizing events, generating engagement, building a community of advocates, inspiring product trial and increasing awareness to make Charlotte Tilbury the most beloved beauty brand.

Reporting Relationships Reports to Sr. Manager, Influencer Marketing and Manager, PR & Advocacy

Role Responsibilities

General PR
Responsible for maintenance and communication of all PR shipments, product logistics, PR assets, management of PR inventory, and social tracking. Responsible for sourcing launch and events assets, including communication of all PR assets and collateral to external PR agencies
Staying in the know on all current competitive media and social landscape, and interest in new social media targets for brand relationship building opportunities

Sample Management for in-house team and agencies
Responsible for fulfilling daily image and sample requests
Handling all gift bags and samples, including delivery, messengers and logistics
Assist on NPD shipments and launch timings, cascading all information to the team
Assist end-to-end influencer campaigns including talent curation, influencer relations and reporting

Reporting
Collate relevant trends and competitor activity to circulate to the business
Tracking brand awards and celebrity fans
Updating and saving press releases accordingly


Requirements

The Person
College student or recent grad (communications or marketing major preferred)
Passion for beauty, trends, social media and storytelling
Must demonstrate flawless attention to details, be a team player, multi-tasker and creative thinker
Thrives in a highly entrepreneurial and fast-paced environment with an all-hands-on-deck and positive attitude
A natural relationship builder with the ability to work well with a network of peers, partners and industry contacts
Strong technical skills including MS Office, PowerPoint and social platforms
Excellent presentation, written and oral communication skills


Benefits

Culture of the Team

We win together as a team, supporting and developing each other through our careers. We embrace the challenge and work in an incredibly fast paced environment with high expectations set by the business, shaking it up with our creative lead, Charlotte Tilbury as we revolutionize the beauty industry. We love what we do, and we support each other while we share the magic with the world.

OUR MISSION

‘TO MAKE EVERYONE FEEL THE MOST BEAUTIFUL VERSION OF THEMSELVES’

WE WOULD LOVE TO WELCOME YOU TO OUR TEAM! APPLY TODAY!",https://www.linkedin.com/jobs/view/externalApply/2476100417?url=https%3A%2F%2Fwww%2Eicf%2Ecom%2Fcareers%2Fjobs%2Fpublic-relations-intern-remote-R2100920%3Fsource%3DLinkedin_Job&urlHash=H6fq&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=WylCSFUmGDIL%2Bv0Le2WMQA%3D%3D&trk=public_jobs_apply-link-offsite
Internship - Publicity (Summer 2021),300 Entertainment,"New York, NY","Brief:

The Public Relations team is responsible for crafting creative and engaging media campaigns for each artist on our roster and the label as a whole. We are looking for an intern that is detail-oriented but eager to learn and in tune with all things music, entertainment, and pop culture.

Overview:

300 Entertainment is an independent record label based in NYC, we are currently seeking interns to join our team for the Summer 2021 semester
Tentative Start/End Dates: 6/1/2021 - 8/13/2021
Location: Remote
Weekly Hours: 3+ days/week (24+ aggregate hours)
Compensation: $15/hour
Requirements: applicants must be 18+ years or older, eligible to work in the United States
Please limit applications to a maximum of 2 positions per candidate
Response Criteria: please keep all short form responses to 3 sentences or less (unless noted otherwise)


Roles & Responsibilities:

Daily press round ups for 300's full roster
Compiling press reports and organizing press archives
Press kit building (press releases, pitches, artist descriptions, media alerts, etc)
Maintaining, researching and updating media contacts, lists, and databases in Google Sheets, Robly, and Highrise
Media Audits
Contributing to brainstorms, press plans
Joining meetings and taking notes for PR team calls
Liaising promptly and accurately with journalists, fulfilling image requests and mailings (as needed)
Assistance with projects and events (as needed)",https://www.linkedin.com/jobs/view/externalApply/2487600508?url=https%3A%2F%2Fgrnh%2Ese%2F7e1ed7e83us&urlHash=p_kG&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=2BZzWdr1PRkSJrbxO5JYUQ%3D%3D&trk=public_jobs_apply-link-offsite
Public Relations Intern,Mission North,"Brooklyn, NY","Our motto is “Invest in Team First.” Day in and day out, every employee is given the opportunity to let his or her true talents shine, develop new skills and work in a team environment where everyone lifts each other up. We’re looking for big thinkers with an entrepreneurial and strategic mindset — people who are committed to exceptional client service, aren’t afraid to experiment with new ideas and want to work somewhere that feels like an extended family.

What makes us Mission North?
We’re a down-to-earth team that knows how to have fun at work and outside the office
We believe in lifelong learning and personal growth
Recognizing employees for their hard work is deeply embedded in our culture
And we offer some pretty amazing perks

This is a paid 3-month internship position in our Brooklyn office, with the opportunity to be hired full-time as an Account Coordinator. This internship is not currently available for current students.

Here’s what you would be doing day-to-day:  
Provide support to all team members across every core PR program
Build influencer databases by researching media and bloggers
Coordinate launch and tour logistics
Develop proficiency in media landscape on accounts
Scan media, analysis, and metric reporting
Manage industry and competitive news monitoring program
Assist in the development of proactive editorial pitches and other written communications

Qualifications include:
0-1 year of PR experience
Ability to set priorities and deliver results using excellent written and verbal communication skills
Proactive thinking
Deadline-oriented
Proven experience or examples dealing with members of the press and blogging communities is preferred
Excellent organizational and time management skills
Genuinely passionate about the technology industry
Experience working with clients (prior agency experience is a plus, but not required)",https://www.linkedin.com/jobs/view/externalApply/2448728390?url=https%3A%2F%2Fmissionnorth%2Ecom%2Fcareer-detail%3Fgh_jid%3D4645532002&urlHash=ynBN&refId=094ec541-bbd6-4516-909c-e78365f4032c&trackingId=qCW0XDJJhDhjM1ksXo0zlw%3D%3D&trk=public_jobs_apply-link-offsite
